Table Name:,2017 Unloaded CSO Preferred Structure Nonsmoker Super Preferred Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00011,0.00014,0.00022,0.00026,0.0003,0.00035,0.00039,0.00047,0.00052,0.00056,0.00062,0.0007,0.00079,0.00089,0.001,0.00112,0.00124,0.00138,0.00156,0.00179,0.00206,0.00234,0.0026,0.00283,0.0031
37,0.00011,0.00015,0.00023,0.00029,0.00033,0.00037,0.00043,0.0005,0.00054,0.00061,0.00068,0.00076,0.00085,0.00096,0.00107,0.00119,0.00133,0.00149,0.0017,0.00197,0.00226,0.00255,0.00281,0.00307,0.00339
38,0.00011,0.00016,0.00025,0.0003,0.00035,0.0004,0.00047,0.00052,0.00058,0.00066,0.00074,0.00083,0.00093,0.00104,0.00115,0.00128,0.00144,0.00163,0.00188,0.00218,0.00249,0.00278,0.00305,0.00337,0.00374
39,0.00011,0.00018,0.00028,0.00033,0.00038,0.00044,0.0005,0.00056,0.00063,0.00072,0.00081,0.0009,0.00101,0.00113,0.00125,0.0014,0.00158,0.00181,0.00211,0.00243,0.00275,0.00303,0.00335,0.00369,0.00418
40,0.00012,0.00021,0.0003,0.00036,0.00042,0.00048,0.00054,0.0006,0.00069,0.00079,0.00089,0.00098,0.0011,0.00124,0.00137,0.00154,0.00176,0.00204,0.00237,0.00271,0.00301,0.00333,0.00365,0.0041,0.00466
41,0.00013,0.00024,0.00033,0.00039,0.00045,0.00051,0.00057,0.00065,0.00075,0.00086,0.00096,0.00107,0.00121,0.00136,0.00151,0.00171,0.00198,0.00231,0.00267,0.003,0.00331,0.00363,0.00402,0.00458,0.00517
42,0.00016,0.00027,0.00035,0.00041,0.00048,0.00054,0.0006,0.0007,0.00082,0.00094,0.00104,0.00117,0.00133,0.0015,0.00168,0.00193,0.00225,0.00261,0.00298,0.0033,0.00361,0.00397,0.00445,0.00504,0.00572
43,0.00018,0.0003,0.00037,0.00045,0.00052,0.00057,0.00065,0.00076,0.00089,0.00101,0.00113,0.00127,0.00146,0.00166,0.00188,0.00217,0.00255,0.00294,0.00329,0.0036,0.00393,0.00437,0.00493,0.00561,0.00636
44,0.00021,0.00032,0.0004,0.00049,0.00055,0.00061,0.0007,0.00083,0.00096,0.00108,0.00122,0.0014,0.00161,0.00184,0.0021,0.00244,0.00286,0.00326,0.00359,0.00391,0.0043,0.00485,0.00551,0.00626,0.00709
45,0.00025,0.00034,0.00044,0.00054,0.00059,0.00066,0.00077,0.00091,0.00104,0.00117,0.00134,0.00155,0.00179,0.00204,0.00234,0.00273,0.00318,0.00358,0.0039,0.00428,0.00474,0.00543,0.00622,0.00705,0.00795
46,0.00028,0.00035,0.00047,0.00058,0.00064,0.00073,0.00086,0.001,0.00113,0.00128,0.00148,0.00172,0.00198,0.00226,0.0026,0.00304,0.0035,0.00389,0.00428,0.0047,0.00528,0.00614,0.007,0.00792,0.00899
47,0.00031,0.00037,0.00051,0.00063,0.0007,0.00082,0.00097,0.0011,0.00123,0.00142,0.00165,0.00191,0.00218,0.00249,0.00288,0.00335,0.00384,0.00426,0.00467,0.00517,0.00593,0.00695,0.0079,0.00897,0.01018
48,0.00034,0.00039,0.00056,0.00068,0.00078,0.00093,0.00108,0.0012,0.00136,0.00159,0.00185,0.00212,0.0024,0.00274,0.00317,0.00368,0.0042,0.00466,0.00514,0.00578,0.00671,0.00788,0.00895,0.01016,0.01157
49,0.00036,0.00042,0.00061,0.00075,0.00088,0.00105,0.00119,0.00132,0.00151,0.00179,0.00207,0.00233,0.00262,0.00299,0.00347,0.00403,0.00459,0.00509,0.00567,0.00647,0.0076,0.00891,0.01014,0.01153,0.01318
50,0.00037,0.00047,0.00068,0.00082,0.00099,0.00116,0.00129,0.00144,0.00168,0.00201,0.0023,0.00255,0.00286,0.00328,0.00381,0.00442,0.00502,0.00559,0.0063,0.00728,0.00859,0.01,0.01145,0.01316,0.01511
51,0.00037,0.00054,0.00075,0.0009,0.0011,0.00126,0.00138,0.00157,0.00189,0.00226,0.00254,0.00283,0.00313,0.00361,0.00421,0.00487,0.00551,0.00617,0.00705,0.00821,0.00964,0.01117,0.01287,0.01489,0.0172
52,0.00037,0.00062,0.00083,0.00101,0.00121,0.00134,0.00148,0.00173,0.00212,0.00251,0.00279,0.00311,0.00347,0.00404,0.00471,0.00542,0.00612,0.0069,0.00797,0.00931,0.0109,0.01256,0.01448,0.01681,0.0195
53,0.00038,0.0007,0.00093,0.00114,0.00132,0.00144,0.00162,0.00193,0.00237,0.00278,0.00309,0.00343,0.00389,0.00457,0.00531,0.0061,0.0069,0.00793,0.00906,0.01056,0.0123,0.01419,0.0164,0.01906,0.02211
54,0.00038,0.00077,0.00104,0.0013,0.00143,0.00157,0.00179,0.00217,0.00265,0.00307,0.00339,0.00381,0.00446,0.00525,0.00608,0.00689,0.00789,0.00899,0.01041,0.01207,0.01396,0.0163,0.01899,0.02203,0.02525
55,0.00039,0.00083,0.00116,0.00141,0.00154,0.00168,0.00197,0.00245,0.00296,0.00339,0.0038,0.00436,0.00516,0.00606,0.00689,0.00785,0.00892,0.01027,0.01195,0.01389,0.01604,0.01878,0.02181,0.02517,0.0293
56,0.00045,0.00087,0.00129,0.00152,0.00166,0.00187,0.00225,0.00279,0.0033,0.00377,0.0043,0.00504,0.00595,0.00687,0.00781,0.00889,0.01021,0.01184,0.01381,0.01599,0.01858,0.02166,0.02512,0.0293,0.03343
57,0.00055,0.0009,0.00142,0.00164,0.00183,0.00208,0.00259,0.00316,0.00368,0.00422,0.0049,0.00581,0.00684,0.00779,0.00879,0.01012,0.01173,0.01362,0.01583,0.01836,0.02125,0.02471,0.02889,0.03343,0.03818
58,0.00067,0.00094,0.00153,0.00179,0.00202,0.00238,0.00297,0.00355,0.00409,0.00475,0.0056,0.00667,0.00774,0.00878,0.01001,0.01154,0.0135,0.01572,0.01825,0.02111,0.02466,0.02875,0.03343,0.03818,0.04354
59,0.00083,0.001,0.00162,0.00196,0.00219,0.00272,0.00336,0.00395,0.00455,0.00536,0.00638,0.00752,0.00872,0.00998,0.01137,0.0132,0.01554,0.01806,0.02085,0.02406,0.02806,0.03274,0.03818,0.04354,0.04982
60,0.00098,0.00111,0.00169,0.00203,0.00243,0.00308,0.00374,0.00435,0.00506,0.00604,0.00724,0.00853,0.00983,0.01118,0.01285,0.01508,0.0178,0.02073,0.024,0.02793,0.03258,0.03818,0.04354,0.04982,0.05714
61,0.00109,0.00125,0.00178,0.00213,0.0027,0.00343,0.0041,0.00477,0.00563,0.00678,0.0081,0.00948,0.01089,0.01248,0.01453,0.01719,0.02033,0.02368,0.0275,0.03197,0.03726,0.04354,0.04982,0.05714,0.06571
62,0.00116,0.00144,0.00189,0.00229,0.00301,0.00378,0.00446,0.00522,0.00625,0.00756,0.00898,0.01044,0.01202,0.01393,0.01641,0.01952,0.02312,0.0271,0.03176,0.03706,0.04354,0.04982,0.05714,0.06571,0.0757
63,0.00121,0.00167,0.00207,0.00255,0.00337,0.00414,0.00486,0.00574,0.00694,0.0084,0.00992,0.01152,0.01333,0.01564,0.01857,0.02215,0.02626,0.03076,0.0361,0.04213,0.04982,0.05714,0.06571,0.0757,0.08726
64,0.00126,0.00189,0.00231,0.00289,0.00377,0.00453,0.00531,0.00635,0.00773,0.00933,0.01093,0.01264,0.01476,0.01745,0.02082,0.02502,0.02997,0.03566,0.04202,0.04982,0.05714,0.06571,0.0757,0.08726,0.10044
65,0.00132,0.00215,0.00262,0.00329,0.00425,0.00498,0.00586,0.00707,0.00862,0.0104,0.01212,0.01402,0.01649,0.0196,0.02342,0.0283,0.0342,0.04073,0.04851,0.05714,0.06571,0.0757,0.08726,0.10044,0.11487
66,0.00139,0.00241,0.00298,0.00374,0.0048,0.00553,0.00654,0.00791,0.00967,0.01167,0.0136,0.01573,0.01857,0.02212,0.02642,0.03246,0.04004,0.04807,0.05714,0.06571,0.0757,0.08726,0.10044,0.11487,0.1304
67,0.00149,0.00264,0.00339,0.00426,0.00543,0.0062,0.00733,0.0089,0.0109,0.01324,0.01552,0.01802,0.02133,0.02539,0.03023,0.03709,0.04611,0.05529,0.06571,0.0757,0.08726,0.10044,0.11487,0.1304,0.14689
68,0.00161,0.00287,0.00382,0.00486,0.00597,0.00698,0.00826,0.01006,0.01241,0.0152,0.01792,0.02117,0.02472,0.02935,0.03479,0.04295,0.0534,0.06392,0.0757,0.08726,0.10044,0.11487,0.1304,0.14689,0.16361
69,0.00177,0.00312,0.00431,0.00553,0.00674,0.00786,0.00931,0.0114,0.01447,0.01759,0.021,0.02467,0.02905,0.03464,0.04101,0.05028,0.06183,0.07381,0.08726,0.10044,0.11487,0.1304,0.14689,0.16361,0.1804
70,0.00191,0.00333,0.00477,0.00618,0.00744,0.00865,0.01037,0.01331,0.01638,0.02009,0.02451,0.02874,0.03449,0.04091,0.04971,0.05969,0.07334,0.08726,0.10044,0.11487,0.1304,0.14689,0.16361,0.1804,0.19645
71,0.00206,0.00351,0.00522,0.00683,0.00808,0.00956,0.01193,0.01503,0.01846,0.02279,0.02841,0.03443,0.04062,0.04911,0.05687,0.06944,0.08472,0.10044,0.11487,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108
72,0.00223,0.00371,0.00571,0.00753,0.00888,0.01098,0.01357,0.01688,0.02113,0.02678,0.03381,0.04035,0.04852,0.0566,0.06584,0.08042,0.09777,0.11487,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779
73,0.00244,0.00398,0.00629,0.00839,0.01026,0.01257,0.0155,0.01924,0.02472,0.0314,0.04003,0.04834,0.05643,0.06565,0.07975,0.09723,0.11487,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559
74,0.00272,0.00441,0.0071,0.00954,0.01172,0.01448,0.01803,0.02248,0.02894,0.03711,0.04799,0.05625,0.06543,0.07744,0.09351,0.11255,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495
75,0.003,0.0049,0.008,0.01086,0.01345,0.01682,0.02104,0.02631,0.03423,0.04371,0.05616,0.06532,0.07661,0.09239,0.11016,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546
76,0.00328,0.00536,0.00891,0.01241,0.01554,0.0195,0.02443,0.03085,0.03999,0.05067,0.06434,0.07545,0.09138,0.10914,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067
77,0.00341,0.00559,0.00941,0.01339,0.01718,0.02159,0.02735,0.03605,0.04642,0.05807,0.07419,0.08983,0.10824,0.1304,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825
78,0.00359,0.00589,0.01004,0.01458,0.01878,0.02437,0.03084,0.0419,0.05335,0.06661,0.08741,0.10617,0.12709,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002
79,0.00373,0.00614,0.01066,0.0157,0.0206,0.02676,0.0346,0.04656,0.0595,0.07638,0.10115,0.12332,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165
80,0.00387,0.00642,0.01133,0.01706,0.02242,0.02906,0.03841,0.05112,0.06627,0.0874,0.1177,0.14689,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279
81,0.00419,0.00702,0.01277,0.01939,0.02549,0.03319,0.04447,0.05841,0.07828,0.10405,0.13517,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305
82,0.00461,0.00783,0.01458,0.02235,0.02948,0.03814,0.05202,0.0706,0.09412,0.12833,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208
83,0.0053,0.00912,0.01739,0.02664,0.03548,0.04621,0.06361,0.08782,0.12053,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951
84,0.00623,0.01107,0.02179,0.03364,0.04492,0.05965,0.08197,0.11683,0.16361,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498
85,0.00736,0.01335,0.02682,0.04149,0.05639,0.07618,0.1061,0.13956,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812
86,0.00887,0.01644,0.03388,0.05311,0.07362,0.10092,0.13456,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857
87,0.01062,0.02024,0.04276,0.06868,0.09663,0.13048,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595
88,0.01237,0.02455,0.05324,0.08743,0.12483,0.1804,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5
89,0.01418,0.02891,0.0652,0.1096,0.15711,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5
90,0.01625,0.03409,0.07955,0.13795,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5
91,0.02046,0.05382,0.12283,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5
92,0.02907,0.08246,0.19645,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5
93,0.0431,0.12438,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5
94,0.06328,0.14553,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.09002,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Super Preferred, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00095,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00125,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00138,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00144,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00159,,,,,,,,,,,,,,,,,,,,,,,,
51,0.0017,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00184,,,,,,,,,,,,,,,,,,,,,,,,
53,0.002,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00216,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00231,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00246,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00259,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00274,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00291,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00312,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00342,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00379,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00423,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00471,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00525,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00584,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00648,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0072,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00804,,,,,,,,,,,,,,,,,,,,,,,,
70,0.00902,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01021,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01164,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01333,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01527,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01748,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01993,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02267,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02575,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0293,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03343,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03818,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04354,,,,,,,,,,,,,,,,,,,,,,,,
83,0.04982,,,,,,,,,,,,,,,,,,,,,,,,
