Table Name:,"2001 CSO Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
20,0.00029,0.00031,0.00033,0.00034,0.00036,0.0004,0.00044,0.00047,0.00052,0.00056,0.00062,0.00067,0.00073,0.00078,0.00083,0.00091,0.00096,0.00102,0.00108,0.00116,0.00123,0.00131,0.0014,0.00151,0.00164
21,0.00028,0.0003,0.00032,0.00035,0.00038,0.00042,0.00046,0.0005,0.00055,0.0006,0.00066,0.00071,0.00077,0.00083,0.00089,0.00096,0.00101,0.00108,0.00115,0.00123,0.00131,0.0014,0.00151,0.00164,0.00179
22,0.00026,0.00029,0.00033,0.00035,0.0004,0.00044,0.00048,0.00054,0.00059,0.00064,0.0007,0.00076,0.00081,0.00088,0.00094,0.001,0.00107,0.00115,0.00123,0.00131,0.0014,0.00151,0.00164,0.00179,0.00197
23,0.00025,0.00029,0.00032,0.00037,0.00041,0.00046,0.00051,0.00057,0.00063,0.00068,0.00074,0.0008,0.00086,0.00093,0.00098,0.00106,0.00113,0.00121,0.0013,0.0014,0.00151,0.00164,0.00179,0.00197,0.00218
24,0.00025,0.00029,0.00033,0.00038,0.00043,0.00048,0.00054,0.0006,0.00066,0.00072,0.00078,0.00084,0.00091,0.00097,0.00103,0.00112,0.0012,0.00129,0.00139,0.00151,0.00164,0.00179,0.00197,0.00218,0.00241
25,0.00024,0.0003,0.00034,0.0004,0.00045,0.00051,0.00057,0.00063,0.00069,0.00075,0.00082,0.00088,0.00095,0.00101,0.00109,0.00118,0.00128,0.00137,0.0015,0.00164,0.00179,0.00197,0.00218,0.00241,0.00267
26,0.00026,0.00031,0.00036,0.00042,0.00047,0.00054,0.0006,0.00065,0.00072,0.00079,0.00085,0.00091,0.00099,0.00107,0.00116,0.00126,0.00136,0.00148,0.00163,0.00179,0.00197,0.00218,0.00241,0.00267,0.00296
27,0.00027,0.00032,0.00038,0.00044,0.0005,0.00056,0.00062,0.00068,0.00075,0.00082,0.00089,0.00096,0.00105,0.00114,0.00123,0.00135,0.00147,0.00162,0.00178,0.00196,0.00218,0.00241,0.00267,0.00296,0.00329
28,0.00029,0.00034,0.0004,0.00046,0.00052,0.00058,0.00064,0.00072,0.00078,0.00085,0.00093,0.00101,0.0011,0.0012,0.00132,0.00145,0.0016,0.00177,0.00195,0.00216,0.00241,0.00267,0.00296,0.00329,0.00366
29,0.00031,0.00037,0.00042,0.00048,0.00054,0.00061,0.00067,0.00074,0.00081,0.00089,0.00098,0.00107,0.00117,0.00129,0.00143,0.00158,0.00175,0.00194,0.00215,0.00239,0.00266,0.00296,0.00329,0.00365,0.00405
30,0.00033,0.00039,0.00044,0.00051,0.00056,0.00063,0.0007,0.00077,0.00084,0.00094,0.00103,0.00114,0.00126,0.0014,0.00156,0.00173,0.00192,0.00214,0.00238,0.00264,0.00295,0.00328,0.00364,0.00404,0.00446
31,0.00036,0.00041,0.00047,0.00053,0.00059,0.00066,0.00073,0.00081,0.0009,0.001,0.0011,0.00123,0.00137,0.00153,0.00171,0.0019,0.00212,0.00236,0.00263,0.00292,0.00326,0.00363,0.00403,0.00445,0.00492
32,0.00038,0.00043,0.00049,0.00055,0.00062,0.0007,0.00078,0.00086,0.00096,0.00107,0.0012,0.00134,0.00151,0.00168,0.00188,0.0021,0.00234,0.00261,0.0029,0.00322,0.0036,0.004,0.00444,0.00491,0.00543
33,0.00039,0.00044,0.00051,0.00058,0.00065,0.00074,0.00083,0.00093,0.00103,0.00117,0.00132,0.00148,0.00166,0.00185,0.00207,0.00232,0.00259,0.00288,0.0032,0.00356,0.00397,0.0044,0.00488,0.00539,0.00595
34,0.0004,0.00046,0.00053,0.00061,0.00069,0.00079,0.00089,0.00101,0.00113,0.00128,0.00145,0.00163,0.00183,0.00205,0.00229,0.00256,0.00286,0.00318,0.00353,0.00392,0.00436,0.00484,0.00535,0.0059,0.00648
35,0.00042,0.00049,0.00055,0.00064,0.00074,0.00085,0.00097,0.0011,0.00125,0.00142,0.00159,0.0018,0.00202,0.00227,0.00254,0.00283,0.00316,0.00351,0.0039,0.00432,0.00479,0.00531,0.00584,0.00643,0.00705
36,0.00043,0.0005,0.00058,0.00069,0.00079,0.00092,0.00105,0.00121,0.00138,0.00156,0.00176,0.00199,0.00224,0.0025,0.0028,0.00312,0.00349,0.00387,0.0043,0.00475,0.00526,0.00581,0.00638,0.007,0.00767
37,0.00045,0.00053,0.00062,0.00073,0.00085,0.00099,0.00115,0.00132,0.00151,0.00172,0.00194,0.00219,0.00247,0.00276,0.00309,0.00345,0.00384,0.00426,0.00472,0.00522,0.00576,0.00634,0.00696,0.00762,0.00833
38,0.00047,0.00057,0.00067,0.00079,0.00093,0.00108,0.00126,0.00145,0.00165,0.00189,0.00214,0.00241,0.00271,0.00304,0.0034,0.00379,0.00422,0.00468,0.00518,0.00572,0.0063,0.00692,0.00758,0.00828,0.00903
39,0.00051,0.00061,0.00072,0.00086,0.00101,0.00118,0.00138,0.00159,0.00182,0.00207,0.00235,0.00265,0.00298,0.00335,0.00373,0.00417,0.00464,0.00514,0.00568,0.00626,0.00688,0.00755,0.00825,0.009,0.00979
40,0.00056,0.00067,0.0008,0.00094,0.00111,0.0013,0.00151,0.00174,0.002,0.00227,0.00258,0.00291,0.00328,0.00368,0.0041,0.00458,0.00509,0.00563,0.00621,0.00684,0.00751,0.00823,0.00899,0.00977,0.01061
41,0.0006,0.00073,0.00088,0.00104,0.00123,0.00143,0.00166,0.00191,0.00219,0.00249,0.00282,0.0032,0.00359,0.00403,0.0045,0.00502,0.00557,0.00616,0.0068,0.00748,0.00821,0.00897,0.00977,0.0106,0.0115
42,0.00066,0.00081,0.00097,0.00115,0.00136,0.00158,0.00184,0.00211,0.0024,0.00273,0.0031,0.0035,0.00394,0.00442,0.00494,0.0055,0.0061,0.00674,0.00743,0.00817,0.00895,0.00976,0.01059,0.01149,0.01248
43,0.00073,0.00089,0.00108,0.00128,0.00151,0.00176,0.00202,0.00232,0.00264,0.003,0.0034,0.00383,0.00431,0.00483,0.00541,0.00601,0.00667,0.00737,0.00813,0.00892,0.00974,0.01059,0.01148,0.01247,0.01356
44,0.00081,0.00099,0.0012,0.00142,0.00167,0.00194,0.00223,0.00255,0.00291,0.00329,0.00372,0.00419,0.00471,0.00528,0.0059,0.00656,0.00728,0.00805,0.00887,0.00973,0.01058,0.01148,0.01246,0.01356,0.01475
45,0.00089,0.00109,0.00132,0.00156,0.00184,0.00214,0.00246,0.00281,0.00319,0.00361,0.00406,0.00458,0.00514,0.00576,0.00643,0.00715,0.00793,0.00877,0.00967,0.01058,0.01148,0.01246,0.01354,0.01474,0.01607
46,0.00097,0.0012,0.00145,0.00172,0.00202,0.00234,0.0027,0.00307,0.00348,0.00394,0.00444,0.005,0.0056,0.00626,0.00699,0.00777,0.00862,0.00954,0.01053,0.01147,0.01246,0.01354,0.01474,0.01605,0.01756
47,0.00106,0.00131,0.00158,0.00188,0.0022,0.00255,0.00293,0.00334,0.00379,0.00428,0.00483,0.00543,0.00608,0.0068,0.00759,0.00843,0.00936,0.01036,0.01145,0.01245,0.01353,0.01473,0.01605,0.01755,0.01924
48,0.00114,0.0014,0.00172,0.00204,0.00238,0.00275,0.00317,0.00361,0.0041,0.00463,0.00522,0.00587,0.00658,0.00737,0.00823,0.00915,0.01016,0.01126,0.01244,0.01353,0.01472,0.01604,0.01755,0.01924,0.0211
49,0.00119,0.00151,0.00186,0.00219,0.00256,0.00296,0.0034,0.00388,0.0044,0.00498,0.00562,0.00633,0.0071,0.00796,0.00891,0.00992,0.01103,0.01224,0.01352,0.01472,0.01604,0.01755,0.01924,0.0211,0.02315
50,0.00126,0.00166,0.00201,0.00235,0.00274,0.00316,0.00363,0.00414,0.00471,0.00534,0.00604,0.00681,0.00765,0.0086,0.00963,0.01075,0.01197,0.01332,0.0147,0.01604,0.01755,0.01924,0.0211,0.02315,0.02539
51,0.00133,0.00183,0.00217,0.00251,0.00292,0.00336,0.00386,0.00441,0.00502,0.00571,0.00647,0.00731,0.00823,0.00927,0.01041,0.01165,0.01301,0.01451,0.01601,0.01755,0.01924,0.0211,0.02315,0.02539,0.02784
52,0.00141,0.00198,0.00233,0.00268,0.0031,0.00356,0.00408,0.00468,0.00534,0.00609,0.00692,0.00784,0.00886,0.01,0.01126,0.01263,0.01417,0.01584,0.0175,0.01924,0.0211,0.02315,0.02539,0.02784,0.03053
53,0.00149,0.00212,0.00249,0.00286,0.00328,0.00377,0.00432,0.00496,0.00568,0.00649,0.0074,0.00842,0.00955,0.01081,0.01221,0.01374,0.01545,0.01733,0.01918,0.02109,0.02314,0.02539,0.02784,0.03053,0.0335
54,0.00157,0.00226,0.00267,0.00305,0.00349,0.004,0.00459,0.00527,0.00605,0.00693,0.00794,0.00906,0.01031,0.01172,0.01328,0.01501,0.0169,0.01901,0.02103,0.02312,0.02538,0.02784,0.03053,0.0335,0.03677
55,0.00169,0.00242,0.00288,0.00327,0.00373,0.00426,0.0049,0.00563,0.00648,0.00744,0.00854,0.00978,0.01118,0.01275,0.01449,0.01643,0.01857,0.02092,0.02305,0.02536,0.02782,0.03053,0.03349,0.03676,0.04036
56,0.00182,0.0026,0.00311,0.00352,0.00401,0.00458,0.00526,0.00606,0.00698,0.00804,0.00924,0.01061,0.01216,0.01392,0.01586,0.01803,0.02045,0.02298,0.02527,0.02779,0.0305,0.03348,0.03675,0.04032,0.04428
57,0.00191,0.00278,0.00336,0.00379,0.00432,0.00495,0.00569,0.00657,0.00756,0.00873,0.01005,0.01156,0.01328,0.01523,0.01739,0.01983,0.02253,0.02519,0.02769,0.03046,0.03344,0.03671,0.04031,0.04425,0.0486
58,0.00203,0.00296,0.00362,0.00409,0.00467,0.00536,0.00617,0.00713,0.00823,0.00952,0.01097,0.01265,0.01455,0.01671,0.01913,0.02185,0.02487,0.0276,0.03035,0.03341,0.03667,0.04026,0.04422,0.04856,0.05335
59,0.00216,0.00314,0.00389,0.0044,0.00504,0.00581,0.00671,0.00777,0.00899,0.01041,0.01203,0.01388,0.016,0.01839,0.02108,0.0241,0.02742,0.03025,0.03327,0.03664,0.04022,0.04416,0.04853,0.0533,0.05853
60,0.00228,0.00333,0.00416,0.00472,0.00542,0.00628,0.00728,0.00847,0.00984,0.01142,0.01323,0.01528,0.01765,0.02031,0.0233,0.02665,0.03012,0.03317,0.03649,0.04014,0.0441,0.04844,0.05326,0.05851,0.06426
61,0.00242,0.00353,0.00444,0.00505,0.00582,0.00677,0.00789,0.00922,0.01077,0.01253,0.01457,0.01688,0.01952,0.02249,0.02582,0.02955,0.03303,0.03637,0.04001,0.044,0.04837,0.05316,0.05843,0.0642,0.0706
62,0.00262,0.00374,0.00471,0.00537,0.00622,0.00727,0.00853,0.01002,0.01177,0.01377,0.01606,0.01868,0.02163,0.02496,0.02869,0.03277,0.03621,0.03987,0.04387,0.04826,0.05306,0.05834,0.06411,0.07049,0.07752
63,0.00288,0.00426,0.00499,0.00569,0.00662,0.00779,0.00921,0.01089,0.01286,0.01512,0.01772,0.02068,0.02401,0.02773,0.03189,0.0361,0.0397,0.04372,0.0481,0.05291,0.0582,0.06401,0.07037,0.07739,0.08509
64,0.00318,0.00481,0.00529,0.00603,0.00705,0.00834,0.00993,0.01183,0.01405,0.01661,0.01957,0.02291,0.02664,0.03083,0.03547,0.03957,0.04353,0.04794,0.05273,0.05799,0.06384,0.07022,0.07724,0.08492,0.09343
65,0.00343,0.00513,0.00562,0.00641,0.00752,0.00896,0.01074,0.01288,0.0154,0.01831,0.02163,0.0254,0.02961,0.03432,0.03935,0.04343,0.0478,0.0526,0.05786,0.06368,0.07006,0.07707,0.0848,0.09324,0.10258
66,0.0036,0.00549,0.00598,0.00684,0.00807,0.00968,0.01169,0.0141,0.01695,0.02024,0.02399,0.02823,0.03298,0.03827,0.0434,0.04775,0.05256,0.05781,0.06359,0.06997,0.07695,0.08466,0.09312,0.10244,0.11263
67,0.00388,0.00588,0.0064,0.00735,0.00872,0.01053,0.0128,0.01551,0.01873,0.02244,0.02667,0.03143,0.03676,0.04267,0.04771,0.0525,0.05777,0.06355,0.06991,0.07689,0.08454,0.09303,0.1023,0.11256,0.12379
68,0.00429,0.00631,0.0069,0.00795,0.0095,0.01154,0.01409,0.01717,0.02078,0.02495,0.0297,0.03504,0.04099,0.04747,0.05247,0.0577,0.0635,0.06983,0.07684,0.08452,0.09295,0.10225,0.11246,0.12372,0.1361
69,0.00474,0.00678,0.00747,0.00867,0.01043,0.01274,0.01561,0.01909,0.02315,0.02783,0.03313,0.03909,0.04569,0.05245,0.05769,0.06345,0.06981,0.07678,0.08445,0.09287,0.10215,0.11234,0.12357,0.13598,0.14963
70,0.00526,0.00731,0.00813,0.00953,0.01155,0.01416,0.01741,0.02132,0.02588,0.03111,0.037,0.04362,0.05096,0.05766,0.06313,0.06962,0.07663,0.08437,0.09282,0.10203,0.11219,0.12334,0.13569,0.14941,0.16439
71,0.00655,0.00789,0.0089,0.01055,0.01287,0.01585,0.01952,0.0239,0.029,0.03483,0.04139,0.0487,0.0568,0.06279,0.06909,0.07634,0.08413,0.09272,0.10196,0.11209,0.12321,0.13546,0.14903,0.16397,0.18032
72,0.00786,0.00856,0.0098,0.01175,0.01442,0.01782,0.02197,0.02687,0.03256,0.03905,0.04631,0.05438,0.06224,0.06858,0.07602,0.08396,0.09258,0.10189,0.112,0.12309,0.13529,0.14881,0.16357,0.1797,0.19759
73,0.00851,0.00936,0.01088,0.01318,0.01626,0.02012,0.02479,0.03028,0.03661,0.0438,0.05181,0.06065,0.0681,0.07571,0.08378,0.09246,0.1018,0.11194,0.12295,0.13512,0.1486,0.1633,0.17941,0.19709,0.21658
74,0.00923,0.01031,0.01218,0.01489,0.01842,0.0228,0.02804,0.03419,0.04121,0.04915,0.05795,0.06762,0.07545,0.08362,0.0924,0.10174,0.11187,0.12293,0.13503,0.14848,0.16317,0.17924,0.19696,0.21638,0.2377
75,0.01007,0.01147,0.01374,0.01688,0.02092,0.02587,0.03172,0.03853,0.04629,0.055,0.06461,0.07517,0.0835,0.09236,0.10173,0.11182,0.12292,0.13502,0.1484,0.16316,0.17915,0.19685,0.21626,0.23765,0.26111
76,0.01114,0.01292,0.01561,0.01923,0.0238,0.02933,0.03584,0.04334,0.05183,0.06136,0.07183,0.08331,0.09227,0.10173,0.11182,0.12286,0.13496,0.1484,0.163,0.17915,0.19675,0.21615,0.23754,0.26111,0.28474
77,0.01255,0.01473,0.01787,0.02201,0.02714,0.03328,0.04047,0.04872,0.05799,0.06841,0.07976,0.09221,0.10169,0.11181,0.1228,0.13495,0.14826,0.16299,0.17898,0.19675,0.21615,0.23754,0.261,0.28474,0.30759
78,0.01373,0.01699,0.02062,0.02528,0.031,0.0378,0.04571,0.05472,0.06483,0.07612,0.08842,0.10163,0.11176,0.1228,0.13482,0.14825,0.16284,0.17897,0.19657,0.21615,0.23753,0.261,0.2846,0.30759,0.3326
79,0.01489,0.0198,0.02391,0.02914,0.03546,0.04294,0.05159,0.06139,0.07237,0.08456,0.09784,0.11164,0.12268,0.13476,0.14805,0.16283,0.1788,0.19656,0.21593,0.23743,0.26099,0.28459,0.30759,0.33234,0.36031
80,0.01659,0.02322,0.02783,0.03362,0.04059,0.04874,0.05815,0.06877,0.08064,0.0938,0.10805,0.12261,0.13469,0.14798,0.1626,0.1788,0.19646,0.21593,0.2373,0.26086,0.28459,0.30759,0.33221,0.35992,0.39085
81,0.01853,0.02734,0.03245,0.03879,0.0464,0.05526,0.06543,0.07689,0.08968,0.10385,0.11915,0.13462,0.1479,0.1626,0.17871,0.19638,0.21593,0.23729,0.26085,0.28459,0.30759,0.33194,0.35973,0.39085,0.42271
82,0.02058,0.03222,0.03784,0.04475,0.05298,0.06256,0.07347,0.0858,0.09954,0.11473,0.13111,0.14783,0.16244,0.17863,0.19637,0.21583,0.23729,0.26084,0.28458,0.30759,0.33169,0.35935,0.39085,0.42271,0.45532
83,0.02389,0.03774,0.04407,0.05153,0.06037,0.07066,0.08235,0.09557,0.11023,0.1264,0.1439,0.16244,0.17853,0.19627,0.21573,0.23729,0.26084,0.28446,0.30759,0.33142,0.35897,0.39085,0.42271,0.45532,0.48847
84,0.02856,0.04396,0.05117,0.05915,0.0686,0.07956,0.09209,0.10618,0.12176,0.13894,0.15759,0.17786,0.19618,0.21573,0.23706,0.26083,0.28446,0.30744,0.33129,0.35858,0.39085,0.42271,0.45532,0.48847,0.52219
85,0.03522,0.05105,0.05901,0.06766,0.07772,0.08938,0.10269,0.11762,0.13418,0.15243,0.17227,0.19382,0.21561,0.23705,0.26058,0.28445,0.30744,0.33103,0.35839,0.39085,0.42271,0.45532,0.48847,0.52219,0.55703
86,0.04273,0.05888,0.06753,0.07715,0.08775,0.10009,0.11419,0.12994,0.14748,0.16684,0.18789,0.21079,0.23546,0.26011,0.2843,0.30744,0.33077,0.35801,0.39085,0.42255,0.45516,0.48847,0.52219,0.55703,0.59195
87,0.05131,0.06741,0.07696,0.08745,0.09875,0.11169,0.12651,0.14314,0.16166,0.18212,0.2043,0.22856,0.25465,0.28087,0.30508,0.33061,0.35506,0.38773,0.41939,0.45187,0.48564,0.52034,0.55609,0.59195,0.62561
88,0.06298,0.07686,0.08728,0.09849,0.11065,0.12423,0.13974,0.15722,0.17672,0.19819,0.22155,0.24706,0.27311,0.29783,0.32378,0.35131,0.3803,0.41092,0.44316,0.47702,0.51246,0.54949,0.58808,0.62561,0.65776
89,0.07547,0.08719,0.09837,0.11044,0.12346,0.13773,0.15397,0.17223,0.19271,0.21518,0.23978,0.26541,0.29003,0.31547,0.34256,0.37123,0.40162,0.43372,0.46752,0.50301,0.54017,0.57897,0.61941,0.65776,0.69078
90,0.08712,0.09827,0.11032,0.1233,0.13725,0.1522,0.16918,0.18821,0.20957,0.23315,0.25817,0.28247,0.30711,0.33373,0.3619,0.3919,0.4237,0.4573,0.49269,0.52985,0.56875,0.60938,0.65172,0.69068,0.73205
91,0.09821,0.11022,0.12318,0.13708,0.1519,0.16759,0.18529,0.20515,0.2273,0.25168,0.27545,0.29919,0.32487,0.35254,0.38197,0.4133,0.44655,0.48167,0.51867,0.55753,0.59821,0.6407,0.68497,0.73098,0.77134
92,0.11016,0.12309,0.13696,0.15173,0.16736,0.184,0.20232,0.22302,0.24615,0.26925,0.29191,0.3166,0.3434,0.37207,0.40276,0.43546,0.47015,0.50683,0.54546,0.58604,0.62854,0.67293,0.71917,0.76721,0.81235
93,0.12304,0.13688,0.15163,0.1672,0.18377,0.20143,0.22035,0.24209,0.26421,0.28556,0.30906,0.33478,0.36248,0.39231,0.42427,0.45834,0.49451,0.53275,0.57305,0.6154,0.65974,0.70606,0.75429,0.8044,0.8559
94,0.13682,0.15155,0.1671,0.18362,0.20121,0.21987,0.23996,0.26046,0.28049,0.30258,0.32698,0.35349,0.38226,0.41327,0.44651,0.48196,0.51962,0.55946,0.60145,0.64558,0.69179,0.74006,0.79033,0.84253,0.89658
95,0.1515,0.16703,0.18352,0.20107,0.21965,0.23977,0.25885,0.27696,0.2975,0.32036,0.34545,0.37292,0.40275,0.43493,0.46946,0.50632,0.54548,0.58694,0.63065,0.67658,0.7247,0.77495,0.82727,0.88159,0.93906
96,0.16698,0.18345,0.20097,0.21951,0.23965,0.25885,0.27562,0.29424,0.31529,0.3387,0.36462,0.39304,0.42394,0.45731,0.49314,0.5314,0.5721,0.61518,0.66063,0.7084,0.75844,0.81071,0.8651,0.9245,1
97,0.18341,0.20091,0.21942,0.23958,0.25885,0.27562,0.29319,0.31217,0.33365,0.35776,0.3845,0.41386,0.44583,0.48039,0.51752,0.55723,0.59946,0.6442,0.6914,0.74102,0.79302,0.8473,0.90914,1,
98,0.20087,0.21937,0.23953,0.25885,0.27562,0.29319,0.31144,0.3307,0.35273,0.37752,0.40508,0.43538,0.46841,0.50417,0.54263,0.58377,0.62756,0.67397,0.72295,0.77444,0.8284,0.89326,1,,
99,0.21935,0.2395,0.25885,0.27562,0.29319,0.31144,0.33038,0.35103,0.37448,0.40073,0.42976,0.46156,0.4961,0.53338,0.57335,0.61598,0.66124,0.70906,0.7594,0.81218,0.87712,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table -  Female Nonsmoker.  Basis: Age Last Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
