Table Name:,"2001 VBT Preferred Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
20,0.0002,0.00021,0.00023,0.00025,0.00028,0.00032,0.00036,0.00039,0.00044,0.00049,0.00055,0.00062,0.00069,0.00074,0.0008,0.0009,0.00096,0.00103,0.0011,0.00118,0.00125,0.00133,0.00144,0.00157,0.00172
21,0.00018,0.0002,0.00023,0.00026,0.00029,0.00034,0.00039,0.00042,0.00048,0.00053,0.0006,0.00066,0.00073,0.0008,0.00087,0.00095,0.00102,0.0011,0.00118,0.00125,0.00133,0.00144,0.00157,0.00172,0.00188
22,0.00018,0.0002,0.00024,0.00027,0.00032,0.00036,0.00041,0.00046,0.00053,0.00059,0.00065,0.00072,0.00078,0.00086,0.00093,0.00101,0.00109,0.00117,0.00125,0.00133,0.00144,0.00157,0.00172,0.00188,0.00207
23,0.00016,0.0002,0.00024,0.00028,0.00033,0.00038,0.00043,0.0005,0.00056,0.00063,0.00069,0.00078,0.00084,0.00092,0.00099,0.00106,0.00114,0.00123,0.00133,0.00144,0.00157,0.00172,0.00188,0.00207,0.00231
24,0.00015,0.0002,0.00025,0.00029,0.00034,0.00041,0.00046,0.00053,0.0006,0.00067,0.00075,0.00081,0.0009,0.00096,0.00103,0.00113,0.00121,0.00131,0.00141,0.00157,0.00172,0.00188,0.00207,0.00231,0.00262
25,0.00015,0.0002,0.00026,0.0003,0.00035,0.00041,0.00049,0.00056,0.00063,0.00071,0.00079,0.00086,0.00093,0.00101,0.0011,0.00119,0.00129,0.00141,0.00154,0.00172,0.00188,0.00207,0.00231,0.00262,0.00297
26,0.00015,0.0002,0.00027,0.00032,0.00039,0.00046,0.00053,0.0006,0.00067,0.00076,0.00083,0.0009,0.00099,0.00107,0.00116,0.00127,0.00141,0.00154,0.00172,0.00187,0.00207,0.0023,0.00262,0.00297,0.00339
27,0.00016,0.00022,0.00028,0.00034,0.00041,0.00048,0.00055,0.00062,0.00071,0.00078,0.00086,0.00094,0.00104,0.00114,0.00125,0.00138,0.00153,0.0017,0.00187,0.00207,0.0023,0.00262,0.00297,0.00339,0.00387
28,0.00018,0.00023,0.00029,0.00036,0.00043,0.0005,0.00057,0.00065,0.00074,0.00081,0.0009,0.001,0.00111,0.00121,0.00134,0.00151,0.00167,0.00187,0.00207,0.0023,0.00262,0.00297,0.00339,0.00387,0.00439
29,0.00019,0.00026,0.00032,0.00038,0.00046,0.00053,0.0006,0.00069,0.00076,0.00085,0.00094,0.00106,0.00118,0.00131,0.00147,0.00165,0.00186,0.00207,0.0023,0.00262,0.00297,0.00339,0.00387,0.00439,0.00495
30,0.00021,0.00027,0.00033,0.00041,0.00047,0.00055,0.00062,0.0007,0.00079,0.0009,0.001,0.00113,0.00127,0.00143,0.00162,0.00182,0.00206,0.0023,0.00262,0.00297,0.00339,0.00387,0.00439,0.00495,0.00557
31,0.00024,0.00029,0.00036,0.00042,0.0005,0.00057,0.00065,0.00074,0.00083,0.00095,0.00107,0.00122,0.00139,0.00158,0.0018,0.00204,0.0023,0.00262,0.00297,0.00339,0.00387,0.00439,0.00495,0.00557,0.00625
32,0.00025,0.00031,0.00037,0.00045,0.00051,0.0006,0.00069,0.00078,0.0009,0.00104,0.00118,0.00135,0.00154,0.00176,0.00202,0.00229,0.00262,0.00296,0.00339,0.00387,0.00439,0.00495,0.00557,0.00625,0.00698
33,0.00027,0.00032,0.00039,0.00046,0.00055,0.00064,0.00074,0.00085,0.00098,0.00114,0.00132,0.00151,0.00173,0.00197,0.00226,0.00258,0.00294,0.00339,0.00387,0.00439,0.00495,0.00557,0.00625,0.00698,0.00776
34,0.00027,0.00033,0.00041,0.00049,0.00058,0.00069,0.0008,0.00094,0.00109,0.00127,0.00146,0.00169,0.00195,0.00223,0.00254,0.00291,0.00331,0.00387,0.00439,0.00495,0.00557,0.00625,0.00698,0.00776,0.00854
35,0.00027,0.00034,0.00042,0.00052,0.00062,0.00075,0.00089,0.00105,0.00123,0.00143,0.00165,0.00191,0.0022,0.00251,0.00286,0.00328,0.00373,0.00439,0.00495,0.00557,0.00625,0.00698,0.00776,0.00854,0.00942
36,0.00027,0.00036,0.00045,0.00056,0.00068,0.00082,0.00099,0.00117,0.00137,0.0016,0.00185,0.00213,0.00246,0.00279,0.00319,0.00363,0.00412,0.00495,0.00557,0.00625,0.00698,0.00776,0.00854,0.00942,0.01021
37,0.00029,0.00038,0.00048,0.0006,0.00074,0.00091,0.00109,0.0013,0.00153,0.00179,0.00207,0.00239,0.00272,0.00312,0.00354,0.004,0.00453,0.00557,0.00601,0.00698,0.00776,0.00854,0.00942,0.01021,0.01102
38,0.00031,0.00041,0.00052,0.00066,0.00083,0.00101,0.00122,0.00145,0.00172,0.00199,0.0023,0.00265,0.00303,0.00344,0.0039,0.00442,0.00498,0.00562,0.00641,0.00756,0.00854,0.00942,0.01021,0.01102,0.01195
39,0.00034,0.00045,0.00057,0.00074,0.00092,0.00113,0.00137,0.00162,0.0019,0.00223,0.00257,0.00295,0.00335,0.00382,0.0043,0.00485,0.00545,0.00612,0.00687,0.00827,0.00925,0.01021,0.01102,0.01195,0.01287
40,0.00038,0.0005,0.00066,0.00084,0.00104,0.00127,0.00153,0.00181,0.00213,0.00247,0.00284,0.00326,0.00371,0.00421,0.00473,0.00531,0.00597,0.00668,0.00751,0.00892,0.00987,0.01102,0.01185,0.01287,0.01384
41,0.00043,0.00057,0.00076,0.00095,0.00117,0.00143,0.0017,0.00202,0.00237,0.00275,0.00316,0.00361,0.0041,0.00463,0.00521,0.00583,0.00652,0.00727,0.00818,0.00957,0.01072,0.01172,0.01287,0.01384,0.0149
42,0.00049,0.00067,0.00087,0.00109,0.00134,0.00161,0.00193,0.00226,0.00264,0.00305,0.00349,0.00399,0.00452,0.00509,0.00571,0.00638,0.0071,0.0079,0.00887,0.01029,0.01145,0.01274,0.01384,0.01486,0.01602
43,0.00057,0.00077,0.00099,0.00125,0.00153,0.00183,0.00217,0.00255,0.00295,0.00339,0.00388,0.0044,0.00497,0.00559,0.00626,0.00696,0.00774,0.00859,0.00969,0.01099,0.01237,0.01364,0.01473,0.01592,0.01719
44,0.00066,0.00089,0.00115,0.00144,0.00174,0.00208,0.00244,0.00285,0.00329,0.00377,0.00428,0.00484,0.00546,0.00613,0.00684,0.00759,0.00841,0.00931,0.01042,0.01191,0.01331,0.01443,0.01569,0.01702,0.01841
45,0.00076,0.00103,0.00132,0.00164,0.00198,0.00236,0.00275,0.00319,0.00367,0.00418,0.00473,0.00533,0.00599,0.0067,0.00745,0.00825,0.00914,0.01009,0.01134,0.01287,0.01403,0.01532,0.01672,0.01815,0.01983
46,0.00086,0.00117,0.0015,0.00184,0.00223,0.00263,0.00307,0.00354,0.00405,0.0046,0.00519,0.00584,0.00653,0.00728,0.00809,0.00894,0.00987,0.01089,0.01247,0.0136,0.01492,0.01629,0.01775,0.01946,0.02141
47,0.00098,0.00132,0.00167,0.00206,0.00249,0.00293,0.0034,0.0039,0.00445,0.00505,0.00567,0.00636,0.0071,0.0079,0.00876,0.00966,0.01065,0.01174,0.0135,0.01442,0.01582,0.01731,0.01899,0.02095,0.02318
48,0.00111,0.00148,0.00187,0.0023,0.00273,0.00321,0.00372,0.00427,0.00486,0.00549,0.00617,0.0069,0.00769,0.00854,0.00946,0.01043,0.01147,0.01264,0.01402,0.01522,0.01675,0.01843,0.02041,0.02268,0.02517
49,0.00116,0.00156,0.00206,0.00251,0.00299,0.0035,0.00404,0.00462,0.00526,0.00594,0.00666,0.00745,0.0083,0.00922,0.01021,0.01124,0.01237,0.01366,0.01492,0.01609,0.01777,0.0197,0.02193,0.02448,0.02737
50,0.00123,0.00175,0.00225,0.00272,0.00322,0.00376,0.00434,0.00497,0.00564,0.00638,0.00716,0.00802,0.00893,0.00992,0.01099,0.0121,0.01333,0.01469,0.016,0.01737,0.01921,0.02134,0.02376,0.02652,0.02965
51,0.00131,0.00199,0.00247,0.00294,0.00347,0.00403,0.00466,0.00532,0.00605,0.00683,0.00768,0.0086,0.0096,0.01067,0.01182,0.01304,0.01438,0.01586,0.01705,0.01883,0.02089,0.02324,0.0259,0.02896,0.03243
52,0.00139,0.00224,0.0027,0.00318,0.00371,0.0043,0.00494,0.00566,0.00645,0.0073,0.00821,0.0092,0.01029,0.01146,0.01272,0.01405,0.01553,0.01674,0.01845,0.02046,0.02273,0.02529,0.02824,0.03161,0.03545
53,0.00149,0.00243,0.00294,0.00341,0.00396,0.00457,0.00525,0.00601,0.00685,0.00778,0.00877,0.00986,0.01105,0.01232,0.01371,0.01517,0.01646,0.01812,0.02003,0.02222,0.02473,0.02752,0.03076,0.03447,0.03762
54,0.00159,0.00263,0.00319,0.00366,0.00421,0.00485,0.00559,0.00639,0.00729,0.00828,0.00938,0.01058,0.01188,0.0133,0.01482,0.01623,0.01782,0.01964,0.02177,0.02418,0.0269,0.02993,0.03351,0.03585,0.0414
55,0.00168,0.00286,0.00347,0.00394,0.00452,0.00518,0.00595,0.0068,0.00778,0.00887,0.01007,0.01139,0.01282,0.01438,0.01607,0.01757,0.01932,0.02134,0.02367,0.02632,0.02927,0.03197,0.03419,0.03953,0.04501
56,0.00184,0.00301,0.0037,0.00419,0.00477,0.00547,0.00628,0.0072,0.00825,0.00943,0.01074,0.01219,0.01377,0.01551,0.0174,0.01905,0.021,0.02322,0.02577,0.02864,0.03143,0.03294,0.03809,0.04321,0.04946
57,0.0019,0.00317,0.00395,0.00445,0.00508,0.00581,0.00668,0.00767,0.00881,0.01008,0.0115,0.0131,0.01485,0.01677,0.01887,0.02071,0.02284,0.0253,0.02808,0.03099,0.03289,0.03765,0.04164,0.04763,0.0505
58,0.00193,0.00335,0.00419,0.00473,0.00541,0.00621,0.00714,0.00823,0.00946,0.01086,0.0124,0.01413,0.01607,0.01819,0.02052,0.02253,0.0249,0.02758,0.03055,0.03273,0.03708,0.04118,0.04603,0.04886,0.05309
59,0.00204,0.00348,0.00445,0.00504,0.00575,0.00664,0.00766,0.00885,0.01019,0.01173,0.01344,0.01534,0.01747,0.01979,0.02235,0.02459,0.02717,0.03013,0.0326,0.0366,0.04058,0.04553,0.04763,0.05166,0.05549
60,0.0021,0.00361,0.00469,0.00532,0.00612,0.00709,0.00822,0.00953,0.01103,0.01273,0.01461,0.0167,0.01904,0.0216,0.02442,0.0269,0.02974,0.03252,0.03606,0.03998,0.04486,0.04716,0.05009,0.05302,0.05946
61,0.00215,0.00374,0.00491,0.00559,0.00648,0.00755,0.0088,0.01026,0.01194,0.01383,0.01592,0.01825,0.02081,0.02365,0.02675,0.02948,0.03244,0.03558,0.03938,0.04419,0.04666,0.04976,0.05295,0.05749,0.06956
62,0.00227,0.00386,0.00512,0.00585,0.0068,0.00799,0.00939,0.01102,0.01289,0.01501,0.01735,0.01994,0.02282,0.02596,0.02939,0.03239,0.03509,0.03878,0.04353,0.0462,0.04942,0.05289,0.05743,0.06839,0.07457
63,0.00249,0.00398,0.00529,0.00607,0.0071,0.00841,0.00997,0.0118,0.01391,0.0163,0.01894,0.02185,0.02505,0.02855,0.03233,0.03478,0.03818,0.04303,0.04583,0.04912,0.05285,0.05719,0.06743,0.0732,0.08108
64,0.00272,0.00499,0.00548,0.00629,0.0074,0.00883,0.01058,0.01264,0.01501,0.01769,0.02065,0.02393,0.0275,0.0314,0.03466,0.03774,0.04236,0.04536,0.04879,0.05279,0.05693,0.06626,0.0721,0.07955,0.08736
65,0.00302,0.00519,0.00566,0.0065,0.00771,0.00929,0.01122,0.01352,0.01618,0.01923,0.02254,0.02621,0.0302,0.03454,0.03761,0.04169,0.04466,0.04846,0.05275,0.05689,0.06509,0.07074,0.07798,0.08636,0.09522
66,0.00311,0.00544,0.00588,0.00675,0.00804,0.00975,0.01187,0.0144,0.01733,0.02065,0.02432,0.02834,0.03273,0.03748,0.04103,0.04425,0.04816,0.05269,0.05663,0.06393,0.06964,0.07621,0.08539,0.09412,0.10443
67,0.00314,0.0057,0.00612,0.00704,0.00844,0.01031,0.01264,0.0154,0.0186,0.02223,0.02625,0.03065,0.03546,0.04062,0.0441,0.04767,0.05264,0.05639,0.06296,0.06827,0.07465,0.08362,0.09272,0.10283,0.11457
68,0.00348,0.00597,0.00643,0.00743,0.00895,0.01099,0.01353,0.01656,0.02005,0.02398,0.02836,0.03317,0.0384,0.04397,0.04754,0.05173,0.05613,0.06133,0.06714,0.07311,0.08189,0.09072,0.1009,0.11277,0.12541
69,0.00384,0.00627,0.00679,0.0079,0.00958,0.01182,0.01459,0.01787,0.02165,0.02591,0.03068,0.03586,0.04152,0.04737,0.05107,0.05508,0.05981,0.06535,0.07155,0.07956,0.08842,0.09867,0.11057,0.12489,0.14063
70,0.00423,0.0066,0.00722,0.00846,0.01034,0.0128,0.01583,0.0194,0.0235,0.02807,0.03319,0.0388,0.04481,0.05038,0.05433,0.05902,0.06457,0.07106,0.07869,0.08758,0.09811,0.1103,0.12436,0.14014,0.15799
71,0.00471,0.00697,0.00773,0.00916,0.01126,0.01397,0.01728,0.02114,0.02552,0.0304,0.0359,0.0419,0.04834,0.05353,0.05814,0.06364,0.07013,0.07764,0.08653,0.09683,0.10929,0.12384,0.13965,0.15757,0.17224
72,0.00694,0.00737,0.00832,0.00998,0.01233,0.01532,0.01892,0.0231,0.02778,0.03294,0.03882,0.04517,0.05198,0.05722,0.0607,0.06903,0.07653,0.08533,0.09554,0.10737,0.12205,0.13917,0.15729,0.17115,0.18585
73,0.00734,0.00785,0.00902,0.01096,0.01359,0.01688,0.02078,0.02523,0.03021,0.03565,0.0419,0.04862,0.05616,0.0605,0.06383,0.07524,0.08394,0.09403,0.10582,0.11941,0.13674,0.15687,0.17006,0.1838,0.20291
74,0.00777,0.00843,0.00988,0.0121,0.01504,0.01864,0.02283,0.02759,0.03285,0.03853,0.0451,0.05257,0.06031,0.06322,0.07369,0.0824,0.09235,0.10399,0.11752,0.13309,0.15335,0.16897,0.18175,0.20085,0.21888
75,0.00823,0.00917,0.01093,0.01345,0.0167,0.02059,0.02508,0.03012,0.03561,0.04152,0.0488,0.05708,0.06262,0.07215,0.07735,0.09147,0.10334,0.11699,0.13273,0.15279,0.1643,0.17988,0.19692,0.2156,0.23603
76,0.00896,0.01023,0.01235,0.01527,0.0189,0.02323,0.02817,0.03364,0.03959,0.04634,0.05459,0.06202,0.07073,0.07707,0.09059,0.10261,0.11646,0.13236,0.15237,0.16398,0.17902,0.1958,0.21416,0.23424,0.25619
77,0.00997,0.01159,0.01408,0.01741,0.02148,0.02623,0.03161,0.03753,0.04431,0.05198,0.06145,0.06925,0.07679,0.08972,0.10197,0.11593,0.132,0.15195,0.16383,0.17851,0.19505,0.21314,0.23311,0.25471,0.27805
78,0.01134,0.01334,0.01621,0.01992,0.02442,0.02962,0.03543,0.04215,0.04984,0.05866,0.06786,0.07656,0.08884,0.10124,0.11541,0.13163,0.15138,0.16367,0.17817,0.1943,0.21252,0.23222,0.25348,0.2767,0.30175
79,0.01174,0.0155,0.01877,0.02288,0.02779,0.03342,0.03997,0.04762,0.05639,0.06646,0.0763,0.08796,0.1006,0.11488,0.13127,0.15096,0.16336,0.17783,0.19374,0.2115,0.23154,0.25274,0.27589,0.30056,0.32711
80,0.01236,0.01819,0.02181,0.0263,0.0316,0.03798,0.04538,0.05402,0.06403,0.07556,0.0871,0.09996,0.11447,0.13079,0.15054,0.16321,0.17732,0.19299,0.21047,0.22997,0.25225,0.27508,0.29997,0.32678,0.35491
81,0.0138,0.02143,0.02539,0.03024,0.0362,0.04336,0.05176,0.06161,0.07305,0.08625,0.09929,0.11393,0.13042,0.14998,0.16289,0.17697,0.19225,0.20945,0.2284,0.25004,0.27481,0.29968,0.32646,0.35491,0.38835
82,0.01552,0.02526,0.02952,0.03497,0.0417,0.04976,0.05928,0.0705,0.08349,0.09859,0.11337,0.13006,0.14955,0.16274,0.17646,0.19169,0.20822,0.22683,0.24782,0.27185,0.29909,0.32614,0.35491,0.38835,0.42259
83,0.01721,0.02878,0.03452,0.04064,0.04819,0.05737,0.06812,0.08083,0.09571,0.11294,0.12965,0.14913,0.16258,0.17612,0.19094,0.20719,0.22548,0.24659,0.27023,0.29672,0.32581,0.35491,0.38835,0.42259,0.45763
84,0.02001,0.03405,0.0405,0.04737,0.05594,0.06628,0.07847,0.09292,0.10974,0.12933,0.14856,0.16227,0.17578,0.19038,0.20617,0.22503,0.24659,0.27023,0.29613,0.32452,0.35491,0.38835,0.42259,0.45763,0.49287
85,0.0244,0.04035,0.04657,0.05538,0.06502,0.07671,0.09054,0.10681,0.12602,0.1481,0.16206,0.1753,0.18963,0.20535,0.22503,0.24659,0.27023,0.29613,0.32452,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951
86,0.03276,0.04573,0.05481,0.06478,0.07567,0.09021,0.10453,0.12295,0.14454,0.1619,0.17486,0.18894,0.20535,0.22503,0.24659,0.27023,0.29613,0.32452,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951,0.56695
87,0.03671,0.05425,0.06452,0.07557,0.08997,0.10423,0.12056,0.14134,0.15809,0.17456,0.18837,0.20317,0.22149,0.24556,0.27023,0.29613,0.32452,0.35491,0.38835,0.42216,0.45717,0.49287,0.52951,0.56695,0.603
88,0.04787,0.06432,0.07545,0.08968,0.10396,0.12035,0.13898,0.15489,0.17068,0.1877,0.20223,0.21794,0.2383,0.26353,0.2904,0.31894,0.34843,0.38022,0.41365,0.44874,0.48548,0.52387,0.56392,0.603,0.638
89,0.06157,0.07538,0.08939,0.1037,0.12017,0.13881,0.15279,0.16766,0.18375,0.20129,0.21658,0.23349,0.25583,0.2825,0.31035,0.33955,0.37111,0.4044,0.43943,0.47621,0.51472,0.55496,0.59695,0.638,0.67
90,0.07526,0.08903,0.10344,0.11987,0.13863,0.1526,0.16559,0.18078,0.19726,0.21512,0.2314,0.24935,0.2801,0.30165,0.33039,0.36157,0.39457,0.4294,0.46607,0.50456,0.54489,0.58704,0.63103,0.67,0.7145
91,0.08874,0.10319,0.11967,0.13839,0.15234,0.16532,0.18031,0.19417,0.211,0.22954,0.24667,0.27237,0.296,0.32118,0.3518,0.38434,0.41882,0.45522,0.49355,0.53381,0.57599,0.6201,0.66614,0.7141,0.756
92,0.10293,0.11946,0.13827,0.15221,0.16503,0.17988,0.19381,0.20812,0.2251,0.2441,0.26522,0.28801,0.31216,0.34204,0.37395,0.40789,0.44386,0.48186,0.52188,0.56394,0.60803,0.65414,0.70229,0.75246,0.799
93,0.11927,0.13805,0.15194,0.16474,0.1794,0.19329,0.20746,0.22224,0.23952,0.25898,0.28043,0.30363,0.33256,0.36364,0.39685,0.4322,0.46969,0.50931,0.55107,0.59497,0.641,0.68917,0.73947,0.79191,0.846
94,0.13781,0.15181,0.16445,0.17892,0.19276,0.20697,0.22158,0.23668,0.25425,0.27387,0.29588,0.32366,0.35369,0.38597,0.4205,0.45727,0.4963,0.53758,0.5811,0.62688,0.6749,0.72517,0.77769,0.83246,0.88948
95,0.15155,0.16416,0.17844,0.19241,0.20659,0.22096,0.23576,0.25115,0.26923,0.28927,0.31566,0.34442,0.37554,0.40903,0.44489,0.48312,0.52371,0.56667,0.61199,0.65968,0.70974,0.76216,0.81695,0.87411,0.93363
96,0.16387,0.17764,0.19189,0.20602,0.22034,0.23509,0.25036,0.26609,0.28417,0.30892,0.33616,0.3659,0.39812,0.43283,0.47003,0.50972,0.5519,0.59657,0.64373,0.69338,0.74551,0.80014,0.85725,0.91685,1
97,0.17652,0.19084,0.20545,0.21972,0.23419,0.24964,0.26515,0.28096,0.30382,0.3293,0.35739,0.3881,0.42142,0.45736,0.49592,0.5371,0.58089,0.6273,0.67632,0.72796,0.78222,0.83909,0.89858,1,
98,0.18944,0.20411,0.21909,0.23329,0.24891,0.26463,0.28009,0.30078,0.32422,0.3504,0.37934,0.41102,0.44545,0.48263,0.52256,0.56524,0.61066,0.65884,0.70976,0.76343,0.81986,0.87903,1,,
99,0.2024,0.21744,0.23262,0.24818,0.26385,0.28009,0.30024,0.32136,0.34536,0.37224,0.40201,0.43466,0.4702,0.50863,0.54994,0.59414,0.64123,0.6912,0.74406,0.7998,0.85843,1,,,

