Table Name:,"2001 VBT Super Preferred Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.00014,0.00014,0.00015,0.00016,0.00016,0.00017,0.00017,0.00018,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024,0.00025,0.00026,0.00028,0.0003
10,,,,,,,0.00013,0.00014,0.00014,0.00015,0.00016,0.00016,0.00017,0.00018,0.00018,0.00019,0.0002,0.00021,0.00023,0.00024,0.00025,0.00026,0.00028,0.0003,0.00033
11,,,,,,0.00013,0.00014,0.00014,0.00015,0.00015,0.00016,0.00017,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00024,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035
12,,,,,0.00013,0.00013,0.00014,0.00014,0.00015,0.00015,0.00016,0.00017,0.00018,0.00019,0.00019,0.00021,0.00022,0.00023,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035,0.00038
13,,,,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00017,0.00018,0.00019,0.00021,0.00022,0.00023,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035,0.00038,0.0004
14,,,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002,0.00022,0.00023,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042
15,,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00016,0.00017,0.00019,0.0002,0.00022,0.00023,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045
16,0.00013,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00016,0.00018,0.00019,0.00021,0.00023,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045,0.00047
17,0.00013,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00019,0.00021,0.00023,0.00025,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045,0.00047,0.0005
18,0.00013,0.00012,0.00012,0.00013,0.00013,0.00014,0.00014,0.00016,0.00017,0.00018,0.0002,0.00022,0.00024,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045,0.00047,0.0005,0.00054
19,0.00012,0.00012,0.00012,0.00013,0.00013,0.00014,0.00015,0.00016,0.00018,0.0002,0.00022,0.00024,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045,0.00047,0.0005,0.00054,0.00058
20,0.00011,0.00011,0.00012,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.00021,0.00023,0.00025,0.00028,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045,0.00047,0.0005,0.00054,0.00058,0.00064
21,0.0001,0.0001,0.00011,0.00012,0.00013,0.00015,0.00017,0.00018,0.0002,0.00023,0.00025,0.00027,0.00029,0.00032,0.00034,0.00037,0.00039,0.00042,0.00044,0.00047,0.0005,0.00054,0.00058,0.00064,0.0007
22,9E-05,0.0001,0.00011,0.00012,0.00014,0.00016,0.00017,0.0002,0.00022,0.00024,0.00026,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044,0.00047,0.0005,0.00054,0.00058,0.00064,0.0007,0.00078
23,8E-05,9E-05,0.00011,0.00012,0.00014,0.00016,0.00018,0.00021,0.00023,0.00025,0.00028,0.0003,0.00033,0.00035,0.00038,0.00041,0.00043,0.00046,0.0005,0.00054,0.00058,0.00064,0.0007,0.00078,0.00089
24,7E-05,9E-05,0.00011,0.00013,0.00015,0.00017,0.00019,0.00022,0.00024,0.00027,0.00029,0.00031,0.00034,0.00037,0.00039,0.00043,0.00046,0.0005,0.00054,0.00058,0.00064,0.0007,0.00078,0.00089,0.00101
25,7E-05,9E-05,0.00011,0.00013,0.00015,0.00018,0.0002,0.00023,0.00025,0.00028,0.0003,0.00033,0.00036,0.00038,0.00041,0.00045,0.00049,0.00053,0.00058,0.00063,0.0007,0.00078,0.00088,0.00101,0.00114
26,7E-05,9E-05,0.00011,0.00014,0.00016,0.00019,0.00021,0.00023,0.00026,0.00029,0.00031,0.00034,0.00037,0.0004,0.00044,0.00048,0.00052,0.00057,0.00063,0.0007,0.00078,0.00088,0.00101,0.00114,0.0013
27,7E-05,9E-05,0.00012,0.00014,0.00017,0.00019,0.00022,0.00024,0.00027,0.0003,0.00033,0.00036,0.00039,0.00043,0.00046,0.00052,0.00056,0.00063,0.0007,0.00078,0.00088,0.00101,0.00114,0.0013,0.00149
28,8E-05,0.0001,0.00012,0.00015,0.00017,0.0002,0.00023,0.00025,0.00028,0.00031,0.00034,0.00037,0.00041,0.00045,0.0005,0.00056,0.00062,0.00069,0.00078,0.00087,0.00101,0.00114,0.0013,0.00149,0.00171
29,8E-05,0.00011,0.00013,0.00015,0.00018,0.00021,0.00023,0.00026,0.00029,0.00032,0.00036,0.00039,0.00043,0.00049,0.00054,0.00061,0.00068,0.00077,0.00087,0.00099,0.00113,0.0013,0.00148,0.00171,0.00195
30,9E-05,0.00011,0.00013,0.00016,0.00018,0.00021,0.00024,0.00027,0.0003,0.00034,0.00038,0.00042,0.00047,0.00053,0.0006,0.00067,0.00075,0.00086,0.00097,0.00111,0.00128,0.00147,0.00168,0.00194,0.00223
31,0.0001,0.00012,0.00014,0.00017,0.00019,0.00022,0.00025,0.00028,0.00032,0.00036,0.0004,0.00046,0.00051,0.00058,0.00066,0.00074,0.00084,0.00096,0.00109,0.00125,0.00144,0.00165,0.0019,0.0022,0.00253
32,0.0001,0.00012,0.00015,0.00017,0.0002,0.00023,0.00027,0.0003,0.00034,0.00039,0.00044,0.0005,0.00057,0.00064,0.00073,0.00083,0.00094,0.00107,0.00122,0.0014,0.00161,0.00185,0.00216,0.00248,0.00286
33,0.00011,0.00013,0.00015,0.00018,0.00021,0.00024,0.00028,0.00032,0.00037,0.00043,0.00049,0.00056,0.00063,0.00072,0.00081,0.00093,0.00105,0.00119,0.00136,0.00156,0.0018,0.00207,0.00242,0.00278,0.00322
34,0.00011,0.00013,0.00015,0.00019,0.00022,0.00026,0.0003,0.00036,0.00041,0.00047,0.00054,0.00062,0.00071,0.0008,0.00091,0.00103,0.00117,0.00133,0.00152,0.00173,0.002,0.0023,0.00266,0.00308,0.00355
35,0.00011,0.00013,0.00016,0.0002,0.00024,0.00028,0.00033,0.00039,0.00045,0.00053,0.0006,0.00069,0.00079,0.0009,0.00102,0.00115,0.0013,0.00148,0.00168,0.00192,0.00221,0.00254,0.00291,0.00336,0.00389
36,0.00011,0.00014,0.00017,0.00021,0.00026,0.00031,0.00037,0.00043,0.0005,0.00059,0.00067,0.00077,0.00088,0.001,0.00114,0.00128,0.00144,0.00164,0.00186,0.00212,0.00243,0.0028,0.0032,0.00369,0.00428
37,0.00011,0.00014,0.00018,0.00023,0.00028,0.00034,0.00041,0.00048,0.00056,0.00065,0.00075,0.00086,0.00098,0.00111,0.00126,0.00142,0.0016,0.00182,0.00206,0.00234,0.00268,0.00307,0.00354,0.00408,0.00467
38,0.00011,0.00015,0.00019,0.00025,0.0003,0.00037,0.00045,0.00053,0.00062,0.00072,0.00083,0.00096,0.00109,0.00123,0.0014,0.00157,0.00178,0.00201,0.00228,0.00258,0.00294,0.00339,0.00393,0.00449,0.00511
39,0.00012,0.00017,0.00021,0.00027,0.00034,0.00041,0.00049,0.00059,0.00069,0.0008,0.00092,0.00106,0.00121,0.00137,0.00154,0.00174,0.00196,0.00221,0.0025,0.00284,0.00324,0.00381,0.00438,0.00499,0.00561
40,0.00014,0.00019,0.00024,0.0003,0.00038,0.00046,0.00055,0.00065,0.00076,0.00088,0.00102,0.00117,0.00133,0.00151,0.0017,0.00192,0.00216,0.00244,0.00275,0.00313,0.00367,0.0043,0.00493,0.00555,0.00613
41,0.00015,0.00021,0.00027,0.00034,0.00042,0.00051,0.00061,0.00072,0.00084,0.00098,0.00113,0.00129,0.00147,0.00167,0.00188,0.00212,0.00238,0.00268,0.00303,0.00354,0.0042,0.00487,0.00553,0.00609,0.00666
42,0.00017,0.00023,0.00031,0.00038,0.00048,0.00057,0.00068,0.0008,0.00094,0.00108,0.00124,0.00143,0.00162,0.00184,0.00208,0.00233,0.00261,0.00295,0.0034,0.00407,0.00479,0.00549,0.00607,0.00662,0.00723
43,0.0002,0.00026,0.00035,0.00044,0.00054,0.00064,0.00076,0.00089,0.00104,0.0012,0.00138,0.00157,0.00179,0.00202,0.00228,0.00256,0.00287,0.00323,0.00389,0.00469,0.00545,0.00605,0.00658,0.00719,0.00784
44,0.00022,0.0003,0.00039,0.00049,0.0006,0.00072,0.00085,0.00099,0.00115,0.00132,0.00152,0.00173,0.00197,0.00222,0.0025,0.0028,0.00314,0.00361,0.0045,0.00541,0.00603,0.00658,0.00713,0.00782,0.0085
45,0.00025,0.00034,0.00044,0.00055,0.00067,0.0008,0.00095,0.0011,0.00127,0.00146,0.00167,0.0019,0.00215,0.00243,0.00274,0.00306,0.00344,0.00411,0.00517,0.00603,0.00656,0.00713,0.00776,0.00848,0.00928
46,0.00028,0.00038,0.00049,0.00061,0.00075,0.00089,0.00105,0.00121,0.0014,0.0016,0.00183,0.00208,0.00235,0.00265,0.00298,0.00334,0.00375,0.00465,0.00583,0.00654,0.00713,0.00776,0.00846,0.00922,0.01018
47,0.00031,0.00042,0.00054,0.00068,0.00082,0.00097,0.00114,0.00133,0.00153,0.00175,0.00199,0.00226,0.00256,0.00289,0.00325,0.00363,0.00408,0.00517,0.00647,0.00711,0.00772,0.00842,0.00922,0.01014,0.01114
48,0.00034,0.00046,0.0006,0.00074,0.00089,0.00106,0.00124,0.00144,0.00166,0.0019,0.00216,0.00246,0.00278,0.00314,0.00353,0.00395,0.00443,0.0057,0.00705,0.00772,0.00838,0.00918,0.01014,0.01114,0.01223
49,0.00035,0.00049,0.00065,0.0008,0.00096,0.00114,0.00133,0.00155,0.00178,0.00204,0.00233,0.00266,0.003,0.0034,0.00383,0.00429,0.00482,0.00629,0.00766,0.00838,0.00918,0.01014,0.01114,0.01223,0.01354
50,0.00037,0.00055,0.00071,0.00086,0.00103,0.00122,0.00142,0.00165,0.00191,0.00219,0.00251,0.00286,0.00324,0.00367,0.00414,0.00466,0.00525,0.0069,0.00832,0.00918,0.01014,0.01114,0.01223,0.01354,0.01488
51,0.00039,0.00061,0.00077,0.00092,0.0011,0.00129,0.00151,0.00176,0.00204,0.00235,0.00269,0.00307,0.00349,0.00397,0.00449,0.00505,0.00571,0.00758,0.00906,0.01014,0.01114,0.01223,0.01354,0.01488,0.01651
52,0.00041,0.00067,0.00083,0.00098,0.00116,0.00137,0.0016,0.00186,0.00216,0.00251,0.00288,0.0033,0.00376,0.00428,0.00486,0.00549,0.00625,0.0084,0.00994,0.01114,0.01223,0.01354,0.01488,0.01651,0.01856
53,0.00043,0.00072,0.00089,0.00104,0.00123,0.00145,0.00169,0.00198,0.0023,0.00267,0.00308,0.00354,0.00406,0.00464,0.00528,0.00598,0.00687,0.00926,0.01091,0.01219,0.0135,0.01488,0.01651,0.01856,0.02082
54,0.00045,0.00077,0.00095,0.00111,0.00131,0.00153,0.00179,0.0021,0.00245,0.00285,0.0033,0.00381,0.00439,0.00504,0.00576,0.00655,0.00759,0.01024,0.01196,0.01346,0.01484,0.01651,0.01856,0.02082,0.0235
55,0.00049,0.00083,0.00103,0.0012,0.0014,0.00163,0.00191,0.00224,0.00262,0.00306,0.00356,0.00413,0.00477,0.00549,0.00629,0.00719,0.00852,0.01154,0.01317,0.0148,0.01645,0.01856,0.02082,0.02344,0.02643
56,0.00053,0.00089,0.00112,0.0013,0.00151,0.00176,0.00206,0.00242,0.00283,0.00331,0.00386,0.00449,0.0052,0.00601,0.00691,0.00791,0.0097,0.01291,0.01443,0.01636,0.01844,0.02077,0.02344,0.0263,0.02802
57,0.00055,0.00096,0.00122,0.0014,0.00163,0.00191,0.00223,0.00263,0.00308,0.00361,0.00421,0.0049,0.00569,0.0066,0.0076,0.00873,0.01117,0.01414,0.01597,0.01833,0.02065,0.02331,0.0263,0.02794,0.02813
58,0.00058,0.00102,0.00132,0.00152,0.00177,0.00207,0.00243,0.00286,0.00336,0.00395,0.00461,0.00538,0.00626,0.00726,0.00838,0.00965,0.01288,0.01563,0.0179,0.02053,0.02319,0.02614,0.02787,0.02813,0.02904
59,0.00062,0.00108,0.00142,0.00164,0.00191,0.00225,0.00266,0.00313,0.00369,0.00434,0.00508,0.00593,0.00691,0.00802,0.00927,0.01067,0.01495,0.01754,0.02002,0.02305,0.026,0.02769,0.02796,0.02903,0.03089
60,0.00065,0.00115,0.00153,0.00176,0.00207,0.00245,0.0029,0.00343,0.00406,0.00478,0.00561,0.00656,0.00765,0.00889,0.01028,0.01223,0.01709,0.01967,0.02251,0.02577,0.02753,0.02778,0.02884,0.03089,0.03286
61,0.00069,0.00121,0.00163,0.00189,0.00222,0.00265,0.00315,0.00375,0.00446,0.00527,0.00621,0.00728,0.0085,0.00988,0.01144,0.01489,0.01917,0.02211,0.02528,0.0272,0.02765,0.02864,0.03069,0.03273,0.03709
62,0.00076,0.00128,0.00172,0.002,0.00237,0.00285,0.00341,0.00409,0.00489,0.00581,0.00687,0.00809,0.00946,0.01101,0.01275,0.01822,0.02155,0.02483,0.02673,0.02727,0.0284,0.03046,0.03251,0.03681,0.04105
63,0.00086,0.0015,0.00182,0.00212,0.00253,0.00305,0.00369,0.00446,0.00536,0.00641,0.00762,0.00899,0.01054,0.01228,0.01502,0.02118,0.02422,0.02647,0.02677,0.02788,0.03004,0.03228,0.03656,0.04078,0.04485
64,0.00097,0.00174,0.00193,0.00224,0.00269,0.00327,0.00399,0.00486,0.00588,0.00707,0.00844,0.01,0.01175,0.0137,0.0188,0.02379,0.02564,0.02672,0.02734,0.02938,0.0318,0.03619,0.04048,0.04456,0.05217
65,0.00105,0.00185,0.00204,0.00238,0.00287,0.00351,0.00433,0.00531,0.00648,0.00782,0.00937,0.01114,0.01311,0.01546,0.02299,0.02528,0.02569,0.02722,0.02898,0.03133,0.0358,0.04009,0.04439,0.05184,0.06146
66,0.0011,0.00199,0.00217,0.00253,0.00308,0.00381,0.00472,0.00584,0.00716,0.00869,0.01044,0.01243,0.01465,0.01882,0.0252,0.02549,0.0267,0.02888,0.03111,0.03555,0.0398,0.04408,0.05167,0.06128,0.07292
67,0.00119,0.00213,0.00233,0.00273,0.00334,0.00416,0.00519,0.00645,0.00794,0.00968,0.01165,0.01388,0.01639,0.02239,0.02544,0.02652,0.02877,0.031,0.03543,0.03966,0.04377,0.05149,0.0609,0.07292,0.08725
68,0.00135,0.00229,0.00252,0.00297,0.00365,0.00458,0.00575,0.00718,0.00886,0.01081,0.01303,0.01554,0.01834,0.02448,0.02647,0.02855,0.03088,0.03517,0.03952,0.04377,0.05133,0.0609,0.07272,0.08725,0.10493
69,0.00152,0.00247,0.00274,0.00326,0.00404,0.00509,0.00641,0.00803,0.00992,0.01211,0.01459,0.0174,0.0205,0.02642,0.02855,0.03076,0.03517,0.03938,0.04363,0.0513,0.06087,0.07268,0.0872,0.10493,0.12639
70,0.00172,0.00267,0.003,0.00361,0.00451,0.00571,0.00721,0.00902,0.01115,0.0136,0.01637,0.01948,0.02294,0.02855,0.02996,0.03452,0.03931,0.04361,0.0513,0.06084,0.07265,0.08711,0.10482,0.12639,0.14647
71,0.00231,0.00289,0.00331,0.00403,0.00508,0.00645,0.00815,0.01018,0.01257,0.0153,0.01838,0.02182,0.02595,0.0298,0.03304,0.0386,0.04349,0.05128,0.06084,0.07265,0.08711,0.10477,0.12626,0.1464,0.162
72,0.00289,0.00315,0.00368,0.00454,0.00576,0.00732,0.00924,0.01153,0.01419,0.01724,0.02065,0.02444,0.02869,0.03222,0.03786,0.04343,0.05123,0.06084,0.07265,0.08711,0.10477,0.12626,0.14633,0.16183,0.17754
73,0.00314,0.00347,0.00412,0.00515,0.00656,0.00834,0.01051,0.01307,0.01604,0.01941,0.02318,0.02759,0.03188,0.03712,0.04334,0.05118,0.06081,0.07265,0.08707,0.10472,0.1262,0.14626,0.16183,0.17745,0.19456
74,0.00342,0.00385,0.00467,0.00589,0.00751,0.00954,0.01198,0.01485,0.01814,0.02187,0.02623,0.03164,0.03688,0.04325,0.05116,0.06078,0.07261,0.08707,0.10466,0.12614,0.14619,0.16175,0.17745,0.19456,0.21321
75,0.00375,0.00434,0.00534,0.00677,0.00862,0.01092,0.01364,0.01682,0.02046,0.02477,0.03009,0.03674,0.04319,0.05113,0.06078,0.07258,0.08707,0.10466,0.12607,0.14619,0.16168,0.17736,0.19447,0.21321,0.23362
76,0.00419,0.00495,0.00616,0.00781,0.00991,0.01248,0.0155,0.01901,0.02319,0.02843,0.03495,0.04309,0.05108,0.06078,0.07258,0.08702,0.10461,0.12607,0.14603,0.16168,0.17727,0.19437,0.2131,0.23362,0.25598
77,0.00479,0.00574,0.00716,0.00905,0.01142,0.01426,0.01761,0.02166,0.02672,0.03312,0.04107,0.05104,0.06075,0.07258,0.08698,0.10461,0.12594,0.14603,0.16151,0.17727,0.19437,0.2131,0.23351,0.25598,0.28032
78,0.00527,0.00674,0.00838,0.01052,0.01316,0.01631,0.02018,0.02506,0.03123,0.03903,0.04875,0.06072,0.07254,0.08698,0.1045,0.12594,0.14588,0.16151,0.17709,0.19437,0.2131,0.23351,0.25585,0.28032,0.30681
79,0.00572,0.00801,0.00987,0.01227,0.01518,0.01882,0.02349,0.02942,0.03694,0.04644,0.05826,0.07246,0.08689,0.10445,0.12576,0.14588,0.16135,0.17709,0.19417,0.21301,0.23351,0.25585,0.28032,0.30654,0.33601
80,0.00643,0.00956,0.01165,0.01431,0.01768,0.02207,0.02772,0.03494,0.0441,0.05565,0.06993,0.08685,0.1044,0.12569,0.14567,0.16135,0.177,0.19417,0.21289,0.23339,0.25585,0.28032,0.30641,0.33563,0.36802
81,0.00724,0.01144,0.01376,0.01683,0.02091,0.02623,0.0331,0.04188,0.05301,0.06698,0.08419,0.10434,0.12562,0.14567,0.16127,0.17692,0.19417,0.21289,0.23339,0.25585,0.28032,0.30614,0.33544,0.36802,0.40134
82,0.0081,0.01368,0.01639,0.02011,0.02506,0.03154,0.03988,0.05053,0.06399,0.0808,0.10139,0.12556,0.14552,0.16118,0.17692,0.19407,0.21289,0.23339,0.25585,0.28032,0.30587,0.33506,0.36802,0.40134,0.43542
83,0.00957,0.01637,0.0198,0.02433,0.03036,0.03824,0.04837,0.06125,0.07741,0.09746,0.12193,0.14552,0.1611,0.17682,0.19398,0.21289,0.23339,0.25573,0.28032,0.3056,0.33469,0.36802,0.40134,0.43542,0.47002
84,0.01179,0.01978,0.02419,0.02973,0.03708,0.04663,0.05889,0.07439,0.09365,0.11743,0.1408,0.16044,0.17674,0.19398,0.21268,0.23339,0.25573,0.28017,0.30547,0.33431,0.36802,0.40134,0.43542,0.47002,0.5052
85,0.01532,0.02417,0.02971,0.03659,0.04552,0.05708,0.07182,0.0903,0.11317,0.13589,0.15499,0.17443,0.19388,0.21268,0.23315,0.25573,0.28017,0.3052,0.33412,0.36802,0.40134,0.43542,0.47002,0.5052,0.54149
86,0.01973,0.02967,0.03657,0.04524,0.05604,0.06994,0.08756,0.10946,0.13125,0.14984,0.16874,0.1892,0.21112,0.2327,0.25559,0.28017,0.30493,0.33375,0.36802,0.40118,0.43525,0.47002,0.5052,0.54149,0.57784
87,0.02546,0.03655,0.04519,0.05594,0.06906,0.08565,0.10652,0.12728,0.14503,0.16338,0.18315,0.20466,0.22759,0.25214,0.27776,0.30477,0.33074,0.36483,0.39795,0.43189,0.46713,0.5033,0.54052,0.57784,0.61295
88,0.03396,0.04519,0.05591,0.06899,0.08495,0.10465,0.12427,0.14102,0.15848,0.17762,0.19831,0.22074,0.24477,0.2705,0.29792,0.32691,0.35738,0.38947,0.42318,0.4585,0.49541,0.5339,0.57395,0.61295,0.64651
89,0.04438,0.05591,0.06899,0.08491,0.10416,0.12256,0.13814,0.15446,0.1727,0.1926,0.21424,0.23757,0.26269,0.2896,0.31817,0.34831,0.38017,0.41373,0.449,0.48596,0.52458,0.56484,0.60674,0.64651,0.68104
90,0.05591,0.06899,0.08491,0.10416,0.12231,0.13668,0.1518,0.1687,0.18761,0.20836,0.2308,0.25513,0.28124,0.30933,0.33898,0.37044,0.40372,0.43878,0.47564,0.51425,0.55462,0.5967,0.64049,0.68094,0.72372
91,0.06899,0.08491,0.10416,0.12231,0.13661,0.15054,0.16621,0.18374,0.20319,0.22476,0.24811,0.27332,0.30047,0.32961,0.36051,0.39331,0.42802,0.46461,0.50307,0.54339,0.58553,0.62947,0.67519,0.72263,0.76443
92,0.08491,0.10416,0.12231,0.13661,0.15054,0.16525,0.18136,0.19949,0.21964,0.24191,0.26604,0.29221,0.32047,0.35061,0.38277,0.41693,0.45309,0.49123,0.53132,0.57336,0.61731,0.66314,0.71082,0.76029,0.80687
93,0.10416,0.12231,0.13661,0.15054,0.16525,0.18081,0.1973,0.21592,0.23687,0.2597,0.28466,0.31185,0.34102,0.37232,0.40575,0.44128,0.47891,0.51862,0.56037,0.60417,0.64996,0.69771,0.74737,0.79889,0.8518
94,0.12231,0.13661,0.15054,0.16525,0.18081,0.19715,0.21406,0.23312,0.25463,0.27818,0.30405,0.33204,0.36227,0.39474,0.42945,0.46636,0.50548,0.54678,0.59022,0.63579,0.68345,0.73314,0.78483,0.83844,0.89387
95,0.13661,0.15054,0.16525,0.18081,0.19715,0.21406,0.23152,0.25109,0.27311,0.29743,0.32399,0.35293,0.38422,0.41787,0.45386,0.49218,0.5328,0.57571,0.62086,0.66824,0.71779,0.76946,0.82319,0.87889,0.93776
96,0.15054,0.16525,0.18081,0.19715,0.21406,0.23152,0.24976,0.26985,0.29237,0.31725,0.34463,0.37451,0.40687,0.44171,0.479,0.51873,0.56087,0.6054,0.65229,0.70149,0.75296,0.80663,0.86241,0.92323,1
97,0.16525,0.18081,0.19715,0.21406,0.23152,0.24976,0.26881,0.28925,0.31219,0.33777,0.36598,0.3968,0.43023,0.46625,0.50485,0.546,0.58968,0.63586,0.6845,0.73555,0.78895,0.84463,0.90792,1,
98,0.18081,0.19715,0.21406,0.23152,0.24976,0.26881,0.28852,0.30925,0.33274,0.359,0.38802,0.41978,0.45428,0.4915,0.53141,0.574,0.61923,0.66707,0.71748,0.77039,0.82575,0.89208,1,,
