Table Name:,"2001 VBT Super Preferred Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.00031,0.00036,0.00038,0.00039,0.00039,0.00039,0.00039,0.00039,0.00039,0.0004,0.00041,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00043,0.00045,0.00047,0.00049,0.00053
15,,0.00031,0.00036,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00039,0.0004,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00043,0.00045,0.00047,0.00049,0.00053,0.00056
16,0.00031,0.00035,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00039,0.00041,0.00041,0.00041,0.00041,0.00041,0.00042,0.00042,0.00043,0.00045,0.00047,0.00049,0.00053,0.00056,0.0006
17,0.00035,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00038,0.00039,0.00039,0.0004,0.0004,0.0004,0.0004,0.0004,0.00042,0.00043,0.00045,0.00047,0.00049,0.00053,0.00056,0.0006,0.00066
18,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00037,0.00037,0.00037,0.00038,0.00038,0.00038,0.0004,0.0004,0.0004,0.00043,0.00044,0.00047,0.00049,0.00052,0.00056,0.0006,0.00066,0.00073
19,0.00034,0.00034,0.00034,0.00034,0.00034,0.00035,0.00035,0.00035,0.00035,0.00035,0.00036,0.00036,0.00037,0.00039,0.0004,0.00042,0.00044,0.00047,0.00049,0.00052,0.00056,0.0006,0.00066,0.00073,0.00081
20,0.00032,0.00032,0.00032,0.00032,0.00032,0.00033,0.00033,0.00033,0.00033,0.00034,0.00034,0.00035,0.00036,0.00038,0.00041,0.00044,0.00046,0.00049,0.00052,0.00056,0.0006,0.00066,0.00073,0.00081,0.00091
21,0.00029,0.00029,0.00029,0.00029,0.0003,0.0003,0.00031,0.00031,0.00031,0.00033,0.00033,0.00035,0.00036,0.00039,0.00043,0.00046,0.00049,0.00052,0.00056,0.0006,0.00066,0.00073,0.00081,0.00091,0.001
22,0.00027,0.00027,0.00027,0.00028,0.00029,0.00029,0.0003,0.0003,0.0003,0.00032,0.00033,0.00034,0.00036,0.0004,0.00045,0.00049,0.00052,0.00056,0.0006,0.00066,0.00073,0.00081,0.00091,0.001,0.0011
23,0.00024,0.00024,0.00025,0.00027,0.00028,0.00028,0.00029,0.00029,0.0003,0.00031,0.00033,0.00035,0.00038,0.00042,0.00047,0.00052,0.00056,0.0006,0.00066,0.00073,0.00081,0.00091,0.001,0.0011,0.00118
24,0.0002,0.00021,0.00024,0.00026,0.00027,0.00028,0.00028,0.00029,0.0003,0.00032,0.00034,0.00037,0.0004,0.00044,0.0005,0.00056,0.0006,0.00066,0.00073,0.00081,0.00091,0.001,0.0011,0.00118,0.00126
25,0.00017,0.0002,0.00023,0.00026,0.00027,0.00028,0.00029,0.0003,0.00031,0.00034,0.00036,0.00039,0.00042,0.00048,0.00054,0.0006,0.00066,0.00073,0.00081,0.00091,0.001,0.0011,0.00118,0.00126,0.00137
26,0.00016,0.0002,0.00023,0.00026,0.00027,0.00028,0.0003,0.00031,0.00033,0.00036,0.00038,0.00042,0.00046,0.00052,0.00058,0.00066,0.00073,0.00081,0.00091,0.001,0.0011,0.00118,0.00126,0.00137,0.0015
27,0.00015,0.0002,0.00023,0.00027,0.00028,0.00029,0.00031,0.00033,0.00035,0.00038,0.00042,0.00046,0.0005,0.00057,0.00064,0.00073,0.00081,0.0009,0.001,0.0011,0.00118,0.00126,0.00137,0.0015,0.0017
28,0.00015,0.0002,0.00024,0.00027,0.00029,0.00031,0.00033,0.00035,0.00038,0.00042,0.00046,0.0005,0.00056,0.00062,0.0007,0.00081,0.00089,0.001,0.0011,0.00117,0.00126,0.00137,0.0015,0.0017,0.00194
29,0.00015,0.0002,0.00024,0.00027,0.0003,0.00033,0.00035,0.00038,0.00041,0.00046,0.0005,0.00055,0.00061,0.00068,0.00077,0.00088,0.00098,0.00108,0.00117,0.00126,0.00137,0.0015,0.00169,0.00194,0.00221
30,0.00014,0.0002,0.00024,0.00028,0.00031,0.00035,0.00038,0.0004,0.00044,0.00049,0.00053,0.00059,0.00066,0.00075,0.00085,0.00096,0.00106,0.00116,0.00125,0.00136,0.00146,0.00167,0.00191,0.00221,0.00253
31,0.00014,0.00019,0.00024,0.00028,0.00032,0.00036,0.00039,0.00043,0.00046,0.0005,0.00056,0.00063,0.00073,0.00083,0.00095,0.00105,0.00114,0.00124,0.00135,0.00145,0.00162,0.0019,0.00217,0.0025,0.00291
32,0.00013,0.00018,0.00024,0.00028,0.00033,0.00037,0.00041,0.00045,0.00048,0.00052,0.00059,0.00068,0.0008,0.00092,0.00103,0.00113,0.00123,0.00134,0.00145,0.0016,0.00186,0.00214,0.00245,0.00283,0.0033
33,0.00014,0.00019,0.00025,0.00029,0.00035,0.00039,0.00044,0.00047,0.00051,0.00056,0.00064,0.00075,0.00088,0.001,0.00111,0.00121,0.00133,0.00145,0.0016,0.00178,0.00208,0.00238,0.00275,0.0032,0.0037
34,0.00015,0.0002,0.00026,0.00031,0.00036,0.00041,0.00046,0.0005,0.00055,0.00061,0.00071,0.00082,0.00095,0.00108,0.0012,0.0013,0.00145,0.0016,0.00178,0.00198,0.00229,0.00264,0.00306,0.00354,0.00401
35,0.00016,0.00021,0.00026,0.00032,0.00038,0.00043,0.00048,0.00054,0.00061,0.00069,0.00079,0.0009,0.00103,0.00117,0.00129,0.00143,0.0016,0.00175,0.00195,0.0022,0.00253,0.00292,0.00336,0.00387,0.00418
36,0.00016,0.00022,0.00027,0.00033,0.00039,0.00045,0.00052,0.0006,0.00069,0.00078,0.00087,0.00098,0.00112,0.00127,0.00141,0.0016,0.00174,0.0019,0.00214,0.00243,0.00279,0.0032,0.00368,0.00414,0.0046
37,0.00018,0.00023,0.00029,0.00035,0.0004,0.00047,0.00056,0.00066,0.00077,0.00086,0.00095,0.00106,0.0012,0.00136,0.00153,0.00173,0.00187,0.00209,0.00236,0.00268,0.00306,0.00351,0.00401,0.00453,0.00535
38,0.00019,0.00026,0.00032,0.00037,0.00043,0.00051,0.00062,0.00073,0.00084,0.00093,0.00103,0.00114,0.0013,0.00147,0.00165,0.00184,0.00205,0.0023,0.0026,0.00292,0.00336,0.00387,0.00445,0.00521,0.00621
39,0.00021,0.00028,0.00034,0.0004,0.00047,0.00057,0.00069,0.00081,0.00091,0.00101,0.00111,0.00125,0.00141,0.0016,0.0018,0.00202,0.00226,0.00254,0.00286,0.00317,0.00371,0.0043,0.00504,0.00595,0.00689
40,0.00022,0.0003,0.00038,0.00044,0.00053,0.00064,0.00077,0.00088,0.00099,0.0011,0.00122,0.00138,0.00156,0.00176,0.00198,0.00222,0.00249,0.0028,0.00315,0.00349,0.00413,0.00482,0.00568,0.00671,0.0075
41,0.00023,0.00033,0.00042,0.0005,0.00059,0.00071,0.00084,0.00096,0.00108,0.00121,0.00136,0.00154,0.00173,0.00196,0.00221,0.00246,0.00274,0.00308,0.00349,0.0039,0.00463,0.00542,0.00637,0.00745,0.00829
42,0.00025,0.00036,0.00046,0.00055,0.00065,0.00077,0.00091,0.00103,0.00117,0.00132,0.0015,0.0017,0.00193,0.00219,0.00246,0.00269,0.00301,0.0034,0.00388,0.00442,0.00519,0.00605,0.00704,0.0081,0.00911
43,0.00026,0.00038,0.00049,0.00058,0.00069,0.00082,0.00097,0.00112,0.00127,0.00144,0.00164,0.00188,0.00216,0.00243,0.00269,0.00295,0.00333,0.00379,0.00434,0.00499,0.00578,0.00668,0.00768,0.00877,0.00979
44,0.00028,0.0004,0.00051,0.00061,0.00073,0.00087,0.00104,0.00122,0.00139,0.00158,0.0018,0.00211,0.0024,0.00265,0.00292,0.00326,0.0037,0.00423,0.00482,0.0054,0.00622,0.0073,0.00832,0.0096,0.01063
45,0.00031,0.00043,0.00054,0.00064,0.00078,0.00094,0.00113,0.00133,0.00153,0.00174,0.00201,0.00235,0.00263,0.00287,0.00321,0.00364,0.00415,0.00474,0.00528,0.00579,0.00676,0.00791,0.00907,0.01062,0.0119
46,0.00034,0.00045,0.00056,0.00068,0.00084,0.00103,0.00124,0.00147,0.00169,0.00195,0.00224,0.00258,0.00285,0.00314,0.00358,0.00409,0.00466,0.00526,0.00577,0.00638,0.0075,0.00862,0.01004,0.01188,0.01358
47,0.00037,0.00048,0.00059,0.00074,0.00091,0.00111,0.00135,0.00161,0.00186,0.00217,0.00246,0.00279,0.00309,0.00349,0.00402,0.0046,0.00522,0.00576,0.00638,0.00705,0.00822,0.00953,0.01124,0.01339,0.01551
48,0.0004,0.00052,0.00065,0.00081,0.00099,0.0012,0.00146,0.00175,0.00203,0.00236,0.00267,0.00303,0.00342,0.00391,0.00452,0.00517,0.00576,0.00637,0.00703,0.00781,0.00909,0.01067,0.01267,0.01508,0.01734
49,0.00043,0.00057,0.00072,0.00089,0.00107,0.0013,0.00158,0.0019,0.00218,0.00252,0.0029,0.00335,0.00385,0.00443,0.00508,0.00573,0.00633,0.00698,0.00768,0.00872,0.01018,0.01204,0.01426,0.01685,0.0191
50,0.00047,0.00063,0.0008,0.00098,0.00117,0.0014,0.0017,0.00202,0.00234,0.00271,0.00318,0.00377,0.00438,0.00502,0.00563,0.0063,0.00689,0.00754,0.0085,0.0098,0.01154,0.01364,0.01606,0.01886,0.02121
51,0.00051,0.00071,0.0009,0.00109,0.00128,0.00151,0.00181,0.00215,0.00252,0.00297,0.00356,0.00428,0.00496,0.00551,0.00615,0.00683,0.00742,0.00831,0.00954,0.01112,0.01311,0.01542,0.01808,0.0212,0.02385
52,0.00055,0.00078,0.00099,0.0012,0.0014,0.00164,0.00196,0.00235,0.00278,0.00334,0.00404,0.00485,0.00546,0.00597,0.00665,0.00735,0.00815,0.00931,0.01073,0.01261,0.01479,0.0173,0.02027,0.02384,0.02703
53,0.00057,0.00084,0.00109,0.00131,0.00153,0.0018,0.00216,0.00262,0.00312,0.0038,0.00458,0.00533,0.00591,0.00653,0.00725,0.00805,0.00912,0.01047,0.01208,0.01419,0.01656,0.01935,0.02273,0.02689,0.03088
54,0.00059,0.0009,0.00118,0.00142,0.00165,0.00197,0.00241,0.00296,0.00353,0.00428,0.00501,0.00575,0.00646,0.00719,0.00801,0.009,0.01022,0.01156,0.01356,0.01586,0.01848,0.02165,0.02556,0.03052,0.03546
55,0.00061,0.00096,0.00127,0.00153,0.0018,0.00219,0.00272,0.00334,0.00397,0.00466,0.00538,0.00624,0.0071,0.00796,0.00894,0.01013,0.01142,0.01272,0.01509,0.01765,0.0206,0.02426,0.02886,0.03493,0.04071
56,0.00063,0.00102,0.00136,0.00166,0.00199,0.00246,0.00307,0.00374,0.00439,0.00508,0.00592,0.00689,0.00786,0.00889,0.0101,0.0114,0.01272,0.01418,0.01673,0.01962,0.02302,0.0273,0.03271,0.04012,0.04665
57,0.00067,0.00108,0.00146,0.00182,0.00223,0.00277,0.00343,0.00413,0.00478,0.00559,0.00655,0.00766,0.00877,0.00999,0.01138,0.01272,0.01418,0.01575,0.01856,0.02188,0.02584,0.03087,0.03741,0.04606,0.05328
58,0.00073,0.00116,0.00157,0.00201,0.00251,0.00311,0.0038,0.00449,0.00513,0.00604,0.00713,0.00847,0.00986,0.01123,0.01269,0.01409,0.01575,0.01741,0.02065,0.02451,0.02914,0.035,0.04306,0.05269,0.06046
59,0.0008,0.00125,0.00171,0.00222,0.00281,0.00346,0.00417,0.00484,0.00547,0.00649,0.00776,0.0093,0.01101,0.01252,0.01406,0.01555,0.01741,0.01931,0.02308,0.02758,0.03287,0.04009,0.04931,0.0598,0.06834
60,0.0009,0.00136,0.00187,0.00245,0.00311,0.00381,0.00453,0.00519,0.00582,0.00699,0.00843,0.01011,0.012,0.01387,0.01551,0.01717,0.01931,0.02151,0.0259,0.03104,0.03741,0.04605,0.05609,0.06762,0.0773
61,0.00102,0.00148,0.00204,0.00268,0.00341,0.00417,0.0049,0.00556,0.00621,0.00754,0.00911,0.01088,0.01285,0.01506,0.01713,0.01903,0.02151,0.02406,0.02909,0.03505,0.04296,0.05255,0.06362,0.07661,0.08758
62,0.00111,0.00163,0.00225,0.00296,0.00375,0.00455,0.00532,0.00602,0.00673,0.00818,0.00984,0.01169,0.01379,0.0162,0.01891,0.02117,0.02406,0.02693,0.03266,0.04011,0.04923,0.05985,0.0723,0.08696,0.0991
63,0.00118,0.00179,0.0025,0.00329,0.00413,0.00499,0.00582,0.0066,0.0074,0.00895,0.0107,0.01269,0.01498,0.01768,0.02088,0.02367,0.02693,0.03018,0.03656,0.04614,0.05627,0.06826,0.08232,0.09855,0.11178
64,0.00122,0.00196,0.00278,0.00365,0.00457,0.00549,0.00639,0.00727,0.00818,0.00982,0.01171,0.01391,0.01648,0.01955,0.02322,0.02647,0.03014,0.03406,0.0407,0.05293,0.06442,0.07795,0.09354,0.11135,0.12558
65,0.00125,0.00218,0.00309,0.00405,0.00507,0.00606,0.00702,0.00799,0.00903,0.01081,0.0129,0.01536,0.01829,0.02179,0.0259,0.02962,0.03363,0.03804,0.04544,0.06062,0.07363,0.0887,0.10584,0.12519,0.14035
66,0.0013,0.00245,0.00346,0.00449,0.00566,0.00671,0.00773,0.00877,0.00994,0.01191,0.01426,0.01705,0.0204,0.02432,0.02889,0.03305,0.03729,0.04179,0.05174,0.06931,0.08382,0.10041,0.1191,0.13994,0.15534
67,0.00145,0.00276,0.00387,0.00499,0.00625,0.00744,0.0086,0.00977,0.01103,0.01325,0.01593,0.01914,0.0229,0.02728,0.0323,0.03668,0.04115,0.04705,0.0596,0.07911,0.09511,0.11319,0.13337,0.15499,0.17054
68,0.00166,0.00311,0.00433,0.00553,0.00669,0.00828,0.00956,0.0108,0.01218,0.01472,0.01777,0.02136,0.02555,0.03035,0.03573,0.04065,0.0464,0.0544,0.06844,0.08995,0.10744,0.12697,0.14797,0.17025,0.19047
69,0.00187,0.0035,0.00485,0.00614,0.007,0.0092,0.01044,0.01171,0.01379,0.01673,0.02019,0.02423,0.02886,0.03406,0.04,0.04596,0.05368,0.06283,0.07831,0.10183,0.12074,0.14104,0.16269,0.19023,0.21259
70,0.00227,0.00395,0.00542,0.00663,0.00774,0.01008,0.01127,0.01345,0.01575,0.0191,0.023,0.02749,0.03253,0.03829,0.04537,0.05319,0.06216,0.07224,0.08919,0.11466,0.13434,0.15532,0.18589,0.21245,0.23172
71,0.00293,0.00445,0.00607,0.00737,0.00893,0.01083,0.01231,0.01482,0.01691,0.02058,0.02477,0.02951,0.03493,0.04158,0.05021,0.06153,0.07162,0.08336,0.10116,0.12784,0.14821,0.18177,0.21237,0.23167,0.2491
72,0.00359,0.00525,0.00695,0.00848,0.00998,0.01153,0.01324,0.01566,0.01768,0.02157,0.02595,0.03097,0.03714,0.04514,0.05546,0.06944,0.08303,0.09781,0.1168,0.14321,0.17782,0.21229,0.23162,0.24909,0.26379
73,0.00424,0.0061,0.00786,0.00949,0.01098,0.01244,0.0146,0.01701,0.0189,0.02307,0.02779,0.03358,0.04107,0.05075,0.06315,0.0789,0.09773,0.11545,0.13743,0.17615,0.21221,0.23159,0.24906,0.26379,0.27925
74,0.00501,0.00662,0.00858,0.01056,0.01206,0.01397,0.01635,0.0184,0.02179,0.02633,0.03198,0.03925,0.04865,0.06069,0.07597,0.09534,0.11539,0.13588,0.17432,0.21213,0.23156,0.24903,0.26379,0.27925,0.29562
75,0.0055,0.00723,0.0094,0.01168,0.01342,0.01571,0.0179,0.02116,0.02618,0.03173,0.03898,0.04833,0.0603,0.07551,0.09463,0.1153,0.13574,0.17338,0.21205,0.23152,0.24901,0.26379,0.27925,0.29562,0.31292
76,0.00566,0.00794,0.01037,0.01291,0.01508,0.01739,0.02052,0.02539,0.03014,0.03802,0.0472,0.05898,0.07395,0.09278,0.11409,0.13554,0.17268,0.21198,0.23149,0.24899,0.26379,0.27925,0.29562,0.31292,0.33122
77,0.00593,0.00857,0.0114,0.01449,0.01691,0.01991,0.02464,0.02957,0.03644,0.04631,0.05793,0.0727,0.09129,0.11229,0.13464,0.17206,0.21115,0.23145,0.24895,0.26379,0.27925,0.29562,0.31292,0.33122,0.35058
78,0.00634,0.00928,0.01262,0.01644,0.01933,0.02391,0.02904,0.03591,0.0437,0.05502,0.06928,0.08726,0.10925,0.13374,0.17152,0.21043,0.23116,0.24879,0.26375,0.27925,0.29562,0.31292,0.33122,0.35058,0.37104
79,0.00682,0.01021,0.01419,0.01876,0.02321,0.02851,0.0354,0.0431,0.05127,0.06501,0.08219,0.10323,0.1288,0.17022,0.20982,0.2309,0.24851,0.26344,0.27921,0.29562,0.31292,0.33122,0.35058,0.37104,0.39266
80,0.00738,0.01146,0.01619,0.02162,0.02802,0.0349,0.04254,0.05074,0.06236,0.07924,0.09975,0.12647,0.16807,0.20928,0.23068,0.24826,0.26318,0.27894,0.29558,0.31292,0.33122,0.35058,0.37104,0.39266,0.41541
81,0.00811,0.01307,0.01875,0.02538,0.03343,0.042,0.05025,0.06183,0.07347,0.09791,0.12433,0.16728,0.20881,0.23049,0.24806,0.26296,0.2787,0.29534,0.31289,0.33122,0.35058,0.37104,0.39266,0.41541,0.43927
82,0.00918,0.0152,0.02212,0.0304,0.04046,0.04978,0.06132,0.07296,0.09322,0.12419,0.16695,0.20841,0.23032,0.24787,0.26277,0.2785,0.29513,0.31268,0.33119,0.35058,0.37104,0.39266,0.41541,0.43927,0.46447
83,0.0108,0.01809,0.02662,0.03687,0.04933,0.06083,0.07245,0.09273,0.12383,0.16666,0.20802,0.23017,0.24772,0.2626,0.27833,0.29495,0.3125,0.33102,0.35055,0.37104,0.39266,0.41541,0.43927,0.46447,0.4911
84,0.01323,0.02206,0.03249,0.04504,0.06035,0.07199,0.09226,0.12343,0.16565,0.20769,0.23004,0.24758,0.26245,0.27818,0.2948,0.31236,0.33088,0.35042,0.37102,0.39266,0.41541,0.43927,0.46447,0.4911,0.51922
85,0.0167,0.02733,0.04001,0.05534,0.07152,0.09182,0.12298,0.1647,0.20651,0.22992,0.24745,0.26233,0.27805,0.29467,0.31223,0.33076,0.35031,0.37094,0.39266,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891
86,0.02134,0.03431,0.04983,0.06855,0.0914,0.12256,0.16379,0.2054,0.22949,0.24734,0.26221,0.27793,0.29456,0.31212,0.33065,0.35022,0.37087,0.39263,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025
87,0.0275,0.04375,0.06296,0.09097,0.12217,0.16292,0.20444,0.22909,0.24692,0.26211,0.27783,0.29444,0.31201,0.33056,0.35014,0.37081,0.3926,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333
88,0.03607,0.05665,0.08616,0.12177,0.16216,0.20352,0.22873,0.24654,0.26173,0.27773,0.29436,0.31192,0.33048,0.35007,0.37076,0.39257,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821
89,0.04848,0.08062,0.11817,0.16137,0.20272,0.22841,0.2462,0.26137,0.27739,0.29427,0.31184,0.3304,0.35001,0.37071,0.39255,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501
90,0.07344,0.11401,0.15918,0.20191,0.22811,0.24589,0.26106,0.27707,0.29396,0.31177,0.33033,0.34996,0.37067,0.39253,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378
91,0.10868,0.15675,0.20111,0.22782,0.24561,0.26077,0.27678,0.29369,0.31151,0.33028,0.3499,0.37064,0.39252,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463
92,0.15408,0.2003,0.22752,0.24534,0.26051,0.27653,0.29343,0.31127,0.33006,0.34986,0.3706,0.3925,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762
93,0.19983,0.22724,0.24506,0.26026,0.27629,0.2932,0.31105,0.32987,0.34969,0.37058,0.39249,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281
94,0.22694,0.24478,0.26,0.27605,0.29299,0.31085,0.32969,0.34955,0.37047,0.39248,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028
95,0.2445,0.25974,0.27582,0.29279,0.31067,0.32953,0.34942,0.37038,0.39244,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993
96,0.25948,0.27559,0.29258,0.3105,0.32938,0.34929,0.37029,0.39241,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1
97,0.27535,0.29237,0.31032,0.32924,0.34918,0.37021,0.39237,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,
98,0.29217,0.31014,0.32909,0.34908,0.37014,0.39234,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,,
