Table Name:,2017 Unloaded CSO Preferred Structure Nonsmoker Preferred Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00029,0.0003,0.00027,0.00026,0.00026,0.00026,0.00028,0.00031,0.00033,0.00039,0.00043,0.00048,0.00053,0.00059,0.00065,0.00071,0.00082,0.00094,0.00103,0.00108,0.00115,0.00119,0.0013,0.00146,0.00164
25,0.00025,0.00026,0.00024,0.00024,0.00024,0.00025,0.00027,0.00031,0.00034,0.00041,0.00046,0.00051,0.00056,0.00063,0.00069,0.00076,0.00087,0.00098,0.00105,0.00109,0.00115,0.00124,0.00139,0.00156,0.00174
26,0.00022,0.00023,0.00022,0.00023,0.00024,0.00025,0.00028,0.00032,0.00035,0.00043,0.00049,0.00055,0.0006,0.00067,0.00074,0.00082,0.00093,0.00102,0.00107,0.00112,0.0012,0.00133,0.0015,0.00168,0.00188
27,0.00019,0.00021,0.00021,0.00023,0.00025,0.00026,0.0003,0.00034,0.00037,0.00047,0.00053,0.00059,0.00064,0.00072,0.00081,0.00088,0.00099,0.00106,0.00111,0.00118,0.00129,0.00144,0.00163,0.00182,0.00204
28,0.00017,0.00019,0.00021,0.00024,0.00026,0.00029,0.00032,0.00036,0.00041,0.00051,0.00058,0.00064,0.0007,0.00078,0.00086,0.00093,0.00103,0.0011,0.00118,0.00127,0.0014,0.00157,0.00177,0.00199,0.00223
29,0.00016,0.00017,0.00021,0.00025,0.00027,0.0003,0.00033,0.00038,0.00043,0.00053,0.00061,0.00067,0.00072,0.00081,0.00089,0.00098,0.00108,0.00117,0.00125,0.00137,0.00153,0.00172,0.00193,0.00217,0.00244
30,0.00014,0.00015,0.00021,0.00025,0.00027,0.0003,0.00033,0.00039,0.00045,0.00055,0.00062,0.00068,0.00074,0.00083,0.00091,0.00103,0.00115,0.00124,0.00134,0.00148,0.00166,0.00187,0.00211,0.00237,0.00266
31,0.00013,0.00015,0.00022,0.00026,0.00028,0.0003,0.00035,0.00041,0.0005,0.00059,0.00065,0.0007,0.00077,0.00085,0.00096,0.00109,0.00122,0.00132,0.00145,0.0016,0.0018,0.00204,0.0023,0.00258,0.00287
32,0.00013,0.00015,0.00023,0.00027,0.00029,0.00033,0.00038,0.00045,0.00055,0.00063,0.00069,0.00074,0.00081,0.0009,0.00103,0.00116,0.00129,0.00141,0.00155,0.00173,0.00196,0.00222,0.0025,0.00279,0.00307
33,0.00014,0.00016,0.00024,0.00028,0.00031,0.00036,0.00042,0.00049,0.00059,0.00067,0.00072,0.00077,0.00085,0.00097,0.0011,0.00124,0.00138,0.00151,0.00167,0.00187,0.00212,0.00242,0.00272,0.00301,0.00327
34,0.00014,0.00017,0.00026,0.0003,0.00034,0.0004,0.00045,0.00054,0.00064,0.0007,0.00075,0.00081,0.00092,0.00104,0.00117,0.00132,0.00147,0.00161,0.00179,0.00203,0.00232,0.00264,0.00295,0.00324,0.0035
35,0.00014,0.00017,0.00028,0.00033,0.00038,0.00044,0.00049,0.00059,0.00067,0.00073,0.00079,0.00088,0.001,0.00113,0.00126,0.00141,0.00157,0.00173,0.00194,0.00221,0.00254,0.00288,0.0032,0.00348,0.00377
36,0.00014,0.00019,0.0003,0.00036,0.00042,0.00047,0.00055,0.00064,0.00071,0.00078,0.00086,0.00096,0.00109,0.00122,0.00136,0.00151,0.00168,0.00187,0.00212,0.00243,0.00279,0.00315,0.00347,0.00377,0.00412
37,0.00014,0.0002,0.00033,0.00039,0.00046,0.00052,0.00061,0.00068,0.00075,0.00084,0.00094,0.00105,0.00118,0.00132,0.00147,0.00163,0.00182,0.00204,0.00234,0.0027,0.00308,0.00344,0.00376,0.00411,0.00453
38,0.00015,0.00023,0.00036,0.00042,0.00049,0.00057,0.00065,0.00073,0.00081,0.00093,0.00104,0.00115,0.00129,0.00144,0.0016,0.00177,0.00199,0.00226,0.00261,0.00301,0.0034,0.00376,0.00411,0.00451,0.00503
39,0.00015,0.00027,0.00039,0.00046,0.00054,0.00062,0.0007,0.00078,0.00089,0.00102,0.00114,0.00126,0.00142,0.00158,0.00175,0.00195,0.0022,0.00253,0.00293,0.00335,0.00374,0.0041,0.00449,0.00497,0.00561
40,0.00017,0.00031,0.00043,0.00051,0.00059,0.00067,0.00075,0.00084,0.00097,0.00112,0.00125,0.00138,0.00155,0.00173,0.00192,0.00216,0.00247,0.00286,0.0033,0.00372,0.0041,0.00448,0.00491,0.00553,0.00622
41,0.0002,0.00035,0.00047,0.00055,0.00064,0.00072,0.0008,0.00091,0.00106,0.00122,0.00135,0.0015,0.0017,0.00191,0.00213,0.00241,0.00279,0.00323,0.00369,0.0041,0.00447,0.00488,0.0054,0.0061,0.00686
42,0.00023,0.00039,0.0005,0.00059,0.00068,0.00076,0.00085,0.00099,0.00115,0.00131,0.00146,0.00164,0.00187,0.0021,0.00236,0.00271,0.00315,0.00363,0.00408,0.00447,0.00485,0.00533,0.00596,0.00672,0.00756
43,0.00027,0.00042,0.00053,0.00065,0.00073,0.0008,0.00091,0.00108,0.00125,0.00141,0.00158,0.00179,0.00205,0.00232,0.00263,0.00304,0.00354,0.00403,0.00446,0.00483,0.00526,0.00585,0.00659,0.00744,0.00836
44,0.00032,0.00045,0.00057,0.0007,0.00077,0.00086,0.001,0.00118,0.00135,0.00152,0.00171,0.00196,0.00226,0.00257,0.00292,0.00339,0.00393,0.00443,0.00483,0.00524,0.00574,0.00649,0.00735,0.00829,0.00929
45,0.00036,0.00047,0.00062,0.00076,0.00083,0.00094,0.00111,0.00129,0.00145,0.00164,0.00188,0.00217,0.00249,0.00283,0.00324,0.00376,0.00432,0.00481,0.00523,0.00571,0.00632,0.00725,0.00822,0.00924,0.01038
46,0.00041,0.00049,0.00067,0.00082,0.0009,0.00105,0.00123,0.00141,0.00158,0.0018,0.00208,0.0024,0.00274,0.00311,0.00357,0.00413,0.00472,0.00521,0.00568,0.00623,0.00702,0.00814,0.0092,0.01034,0.01164
47,0.00045,0.00052,0.00073,0.00089,0.001,0.00118,0.00137,0.00154,0.00173,0.002,0.00232,0.00265,0.00301,0.00341,0.00391,0.00452,0.00515,0.00567,0.00619,0.00686,0.00786,0.00916,0.01032,0.01162,0.0131
48,0.00048,0.00056,0.00079,0.00097,0.00112,0.00133,0.00152,0.00168,0.0019,0.00223,0.00258,0.00291,0.00327,0.00371,0.00427,0.00493,0.00559,0.00615,0.00678,0.00762,0.00883,0.01028,0.01159,0.01306,0.01478
49,0.00049,0.00061,0.00087,0.00105,0.00126,0.00148,0.00165,0.00183,0.00211,0.0025,0.00286,0.00318,0.00355,0.00404,0.00465,0.00537,0.00606,0.00669,0.00745,0.00848,0.00991,0.01148,0.013,0.01474,0.01674
50,0.0005,0.00068,0.00096,0.00116,0.0014,0.00162,0.00178,0.00199,0.00235,0.00279,0.00315,0.00348,0.00385,0.00441,0.00509,0.00586,0.00659,0.00731,0.00824,0.00948,0.01107,0.01275,0.01452,0.0166,0.01894
51,0.0005,0.00078,0.00106,0.00128,0.00154,0.00173,0.00189,0.00217,0.00262,0.0031,0.00345,0.00382,0.00422,0.00486,0.00563,0.00644,0.00723,0.00807,0.00919,0.01064,0.01237,0.01416,0.01618,0.01858,0.02132
52,0.0005,0.00088,0.00118,0.00144,0.00168,0.00184,0.00204,0.00239,0.00292,0.00342,0.00378,0.00418,0.00467,0.00543,0.00627,0.00716,0.00803,0.00908,0.01033,0.01196,0.01384,0.01583,0.0181,0.02083,0.02394
53,0.00051,0.00099,0.00131,0.00162,0.00182,0.00198,0.00224,0.00266,0.00325,0.00376,0.00415,0.0046,0.00526,0.00615,0.00708,0.00801,0.00905,0.01027,0.01172,0.01351,0.01554,0.01788,0.02056,0.02364,0.02699
54,0.00052,0.00107,0.00146,0.00179,0.00196,0.00213,0.00245,0.00299,0.00361,0.00413,0.00457,0.00515,0.00603,0.00703,0.008,0.00903,0.01021,0.0116,0.01335,0.01536,0.0176,0.02038,0.02348,0.0269,0.03066
55,0.00056,0.00113,0.00162,0.00193,0.0021,0.00231,0.00273,0.00338,0.00401,0.00455,0.00512,0.00589,0.00691,0.00798,0.009,0.01017,0.01153,0.0132,0.01525,0.01753,0.02012,0.02328,0.02676,0.03062,0.03479
56,0.00066,0.00117,0.00178,0.00208,0.00228,0.00256,0.00312,0.00381,0.00444,0.00505,0.00578,0.00675,0.0079,0.00898,0.0101,0.01146,0.01311,0.01508,0.0174,0.01998,0.02294,0.02645,0.0305,0.03479,0.03937
57,0.00081,0.00121,0.00193,0.00225,0.0025,0.00288,0.00356,0.00428,0.00492,0.00564,0.00655,0.00772,0.00894,0.01008,0.01135,0.01295,0.01496,0.01723,0.01983,0.02275,0.0262,0.0302,0.0347,0.03937,0.04461
58,0.00099,0.00128,0.00206,0.00244,0.00273,0.00327,0.00404,0.00475,0.00544,0.00631,0.00742,0.00871,0.01002,0.01133,0.0128,0.01467,0.01707,0.01967,0.02254,0.02579,0.0298,0.03442,0.03937,0.04461,0.05061
59,0.00119,0.00138,0.00216,0.00258,0.00297,0.0037,0.00451,0.00522,0.00601,0.00707,0.00838,0.00979,0.01122,0.01268,0.01438,0.01663,0.01943,0.02238,0.02562,0.02941,0.03397,0.03916,0.04461,0.05061,0.05758
60,0.00136,0.00154,0.00225,0.00268,0.00328,0.00413,0.00495,0.0057,0.00663,0.0079,0.00937,0.0109,0.01243,0.01407,0.01613,0.01882,0.02202,0.02539,0.02915,0.03359,0.0388,0.04461,0.05061,0.05758,0.06567
61,0.00147,0.00175,0.00237,0.00283,0.00363,0.00455,0.00537,0.00621,0.00732,0.00877,0.01035,0.01196,0.01363,0.01557,0.01807,0.02122,0.02486,0.02876,0.03325,0.03838,0.0443,0.05061,0.05758,0.06567,0.07508
62,0.00155,0.00201,0.00254,0.00308,0.00403,0.00497,0.0058,0.00677,0.00807,0.00968,0.01137,0.01308,0.01496,0.01728,0.02025,0.02387,0.028,0.03249,0.03777,0.04369,0.05061,0.05758,0.06567,0.07508,0.08593
63,0.0016,0.00229,0.0028,0.00344,0.00449,0.0054,0.00628,0.00741,0.00891,0.01067,0.01243,0.01427,0.01643,0.01917,0.02259,0.02676,0.0316,0.037,0.04314,0.05006,0.05758,0.06567,0.07508,0.08593,0.09833
64,0.00167,0.00259,0.00313,0.00388,0.00501,0.00589,0.00686,0.00816,0.00985,0.01177,0.01363,0.01561,0.01811,0.02126,0.02513,0.02996,0.03571,0.04213,0.04948,0.05758,0.06567,0.07508,0.08593,0.09833,0.11207
65,0.00174,0.00289,0.00353,0.00439,0.00561,0.00646,0.00755,0.00904,0.01093,0.01306,0.01507,0.01726,0.02013,0.02371,0.02803,0.03383,0.04092,0.04848,0.057,0.06567,0.07508,0.08593,0.09833,0.11207,0.12688
66,0.00184,0.00318,0.00399,0.00497,0.00629,0.00715,0.00838,0.01006,0.01219,0.01462,0.01691,0.0194,0.02269,0.02675,0.03157,0.03839,0.04711,0.05602,0.06567,0.07508,0.08593,0.09833,0.11207,0.12688,0.14245
67,0.00196,0.00345,0.00448,0.00562,0.00696,0.00797,0.00934,0.01125,0.0137,0.01654,0.01925,0.02231,0.02595,0.03054,0.03593,0.04382,0.05399,0.06411,0.07508,0.08593,0.09833,0.11207,0.12688,0.14245,0.1583
68,0.00212,0.00373,0.00503,0.00636,0.00771,0.00891,0.01044,0.01263,0.01565,0.01889,0.02219,0.02586,0.03002,0.03539,0.04153,0.05063,0.06204,0.07352,0.08593,0.09833,0.11207,0.12688,0.14245,0.1583,0.17413
69,0.0023,0.00399,0.00558,0.00712,0.00854,0.00983,0.01161,0.01442,0.01781,0.02151,0.02571,0.02987,0.03518,0.04144,0.04929,0.05925,0.0722,0.0851,0.09833,0.11207,0.12688,0.14245,0.1583,0.17413,0.18948
70,0.00247,0.00421,0.00609,0.00785,0.00928,0.01076,0.01304,0.0164,0.01994,0.02428,0.02964,0.03502,0.04126,0.04898,0.05752,0.06908,0.08386,0.09833,0.11207,0.12688,0.14245,0.1583,0.17413,0.18948,0.20365
71,0.00266,0.00442,0.00662,0.00861,0.01006,0.01205,0.0148,0.01831,0.02246,0.02783,0.03456,0.04114,0.04858,0.05712,0.06574,0.07962,0.09615,0.11207,0.12688,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845
72,0.00287,0.00468,0.00723,0.00948,0.01127,0.01371,0.01673,0.02056,0.02581,0.03241,0.04071,0.04842,0.0568,0.06559,0.0774,0.09366,0.11092,0.12688,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554
73,0.00316,0.00508,0.00802,0.01061,0.01286,0.01564,0.01916,0.02357,0.02999,0.03789,0.04818,0.05673,0.06552,0.07624,0.09155,0.10999,0.12688,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392
74,0.00349,0.00561,0.00899,0.01201,0.01463,0.01796,0.02215,0.02735,0.03502,0.04434,0.05658,0.06545,0.07579,0.08983,0.10689,0.12608,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364
75,0.00382,0.00616,0.01002,0.01362,0.01676,0.02074,0.02566,0.03188,0.04095,0.05153,0.06515,0.07539,0.0891,0.10597,0.12483,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431
76,0.00406,0.00655,0.01082,0.01504,0.01886,0.0234,0.02916,0.03724,0.04758,0.05925,0.07469,0.08816,0.10543,0.12445,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552
77,0.00424,0.00685,0.01145,0.01627,0.02068,0.02612,0.03268,0.04327,0.05477,0.06769,0.08671,0.10402,0.12357,0.14245,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699
78,0.00443,0.00717,0.01218,0.01761,0.02261,0.029,0.03666,0.04897,0.06173,0.07727,0.10066,0.12105,0.14173,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854
79,0.00459,0.00749,0.01294,0.01904,0.02468,0.03162,0.04083,0.05394,0.06856,0.08812,0.11617,0.13991,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981
80,0.00487,0.00802,0.01418,0.02116,0.02745,0.03521,0.04625,0.06032,0.07848,0.10247,0.13354,0.1583,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044
81,0.00532,0.00886,0.0161,0.02423,0.03148,0.04031,0.05376,0.07081,0.09321,0.12356,0.15406,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009
82,0.006,0.01013,0.01882,0.02843,0.03718,0.04761,0.06429,0.08664,0.11529,0.15086,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384
83,0.007,0.01207,0.02308,0.03499,0.04599,0.05967,0.0807,0.11126,0.14721,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501
84,0.00827,0.01462,0.02867,0.04363,0.05795,0.07651,0.10394,0.13893,0.17413,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956
85,0.0099,0.01786,0.03576,0.05479,0.07402,0.09911,0.13188,0.16599,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817
86,0.01192,0.02197,0.04495,0.06995,0.0958,0.12765,0.16385,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107
87,0.0141,0.02676,0.05584,0.08847,0.12232,0.16183,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731
88,0.01633,0.0318,0.0681,0.10958,0.15187,0.18948,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5
89,0.01879,0.03724,0.08199,0.13445,0.18172,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5
90,0.02274,0.05138,0.11179,0.17153,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5
91,0.03077,0.07843,0.16457,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5
92,0.04495,0.11545,0.20365,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5
93,0.06642,0.14915,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5
94,0.09593,0.19195,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.13404,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Preferred, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00143,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00149,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00159,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00173,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00193,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00208,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00228,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00249,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0027,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00291,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00311,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0033,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00352,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00378,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00412,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00456,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00507,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00565,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00628,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00696,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0077,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0085,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0094,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01044,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01167,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01314,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01487,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01687,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01912,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02162,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02437,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02742,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03085,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03479,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03937,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04461,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05061,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05758,,,,,,,,,,,,,,,,,,,,,,,,
84,0.06567,,,,,,,,,,,,,,,,,,,,,,,,
