Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Preferred Female ANB,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00013,0.00021,0.00033,0.00043,0.0005,0.00056,0.00059,0.00062,0.00066,0.00075,0.00089,0.00105,0.0012,0.00132,0.00143,0.00155,0.00172,0.00193,0.00219,0.00249,0.00277,0.00299,0.00322,0.00349,0.0038
38,0.00014,0.00022,0.00035,0.00046,0.00053,0.00059,0.00062,0.00065,0.00072,0.00084,0.00099,0.00115,0.0013,0.00142,0.00153,0.00168,0.00187,0.0021,0.00239,0.0027,0.00299,0.00322,0.00349,0.0038,0.00417
39,0.00015,0.00023,0.00037,0.00048,0.00057,0.00061,0.00065,0.00071,0.00079,0.00093,0.0011,0.00126,0.00141,0.00153,0.00165,0.00181,0.00203,0.00229,0.00259,0.00292,0.00322,0.00349,0.0038,0.00417,0.00458
40,0.00016,0.00025,0.00038,0.00049,0.0006,0.00065,0.0007,0.00078,0.00088,0.00104,0.00121,0.00136,0.00151,0.00164,0.00178,0.00197,0.0022,0.00248,0.00279,0.00315,0.00349,0.0038,0.00417,0.00458,0.00504
41,0.00016,0.00026,0.00039,0.00051,0.00063,0.0007,0.00077,0.00084,0.00097,0.00114,0.00131,0.00146,0.00162,0.00177,0.00194,0.00215,0.0024,0.00269,0.00302,0.00341,0.0038,0.00417,0.00458,0.00504,0.00554
42,0.00017,0.00028,0.0004,0.00054,0.00069,0.00077,0.00083,0.00092,0.00107,0.00125,0.00141,0.00157,0.00174,0.00192,0.00212,0.00236,0.00262,0.00292,0.00328,0.00372,0.00417,0.00458,0.00504,0.00554,0.00607
43,0.00019,0.00029,0.00041,0.0006,0.00074,0.00082,0.00088,0.001,0.00116,0.00135,0.00151,0.00168,0.00188,0.00211,0.00234,0.00259,0.00288,0.00322,0.00362,0.00408,0.00458,0.00504,0.00554,0.00607,0.00665
44,0.00021,0.0003,0.00045,0.00068,0.00079,0.00087,0.00095,0.00108,0.00126,0.00145,0.00162,0.00181,0.00207,0.00232,0.00256,0.00284,0.00314,0.0035,0.00393,0.00448,0.00504,0.00554,0.00607,0.00665,0.00729
45,0.00024,0.00031,0.00049,0.00075,0.00085,0.00093,0.00102,0.00118,0.00136,0.00155,0.00174,0.00197,0.00226,0.00255,0.00282,0.00311,0.00346,0.00387,0.00436,0.00493,0.00554,0.00607,0.00665,0.00729,0.008
46,0.00026,0.00031,0.00055,0.0008,0.00091,0.00101,0.00111,0.00128,0.00147,0.00166,0.00188,0.00217,0.00251,0.00282,0.0031,0.00343,0.00382,0.00427,0.0048,0.00541,0.00607,0.00665,0.00729,0.008,0.00883
47,0.00028,0.00033,0.00063,0.00086,0.00098,0.0011,0.00122,0.00139,0.00158,0.00179,0.00205,0.00239,0.00277,0.00309,0.00342,0.00379,0.00423,0.00471,0.00528,0.00592,0.00665,0.00729,0.008,0.00883,0.00983
48,0.00029,0.00036,0.00075,0.00094,0.00109,0.0012,0.00134,0.00152,0.0017,0.00194,0.00224,0.00264,0.00307,0.00342,0.00377,0.00419,0.00468,0.00521,0.00581,0.0065,0.00729,0.008,0.00883,0.00983,0.011
49,0.0003,0.00042,0.00088,0.00105,0.00119,0.00132,0.00148,0.00166,0.00185,0.00211,0.00246,0.00289,0.00335,0.00374,0.00411,0.00458,0.00513,0.0057,0.00635,0.00711,0.008,0.00883,0.00983,0.011,0.01236
50,0.00031,0.00054,0.00102,0.00118,0.00131,0.00145,0.00163,0.00179,0.00201,0.00231,0.0027,0.00314,0.00361,0.00401,0.00445,0.005,0.0056,0.00621,0.00692,0.00779,0.00883,0.00983,0.011,0.01236,0.01395
51,0.00032,0.0007,0.00115,0.0013,0.00145,0.00161,0.00177,0.00196,0.0022,0.00255,0.00296,0.0034,0.00386,0.0043,0.00481,0.00544,0.00608,0.00675,0.00753,0.00855,0.00983,0.011,0.01236,0.01395,0.01579
52,0.00033,0.00087,0.00123,0.00139,0.00157,0.00174,0.00193,0.00215,0.00244,0.00282,0.00325,0.00368,0.00414,0.00464,0.00523,0.00594,0.00658,0.0073,0.00827,0.00952,0.011,0.01236,0.01395,0.01579,0.01789
53,0.00034,0.00097,0.00129,0.0015,0.0017,0.0019,0.00212,0.00237,0.00271,0.00313,0.00356,0.00396,0.00444,0.00501,0.0057,0.00646,0.00723,0.00816,0.00929,0.01065,0.01236,0.01395,0.01579,0.01789,0.02033
54,0.00035,0.001,0.00135,0.00158,0.00186,0.00209,0.00235,0.00265,0.00303,0.00347,0.00388,0.00428,0.00481,0.00548,0.00628,0.00715,0.00806,0.00917,0.01049,0.01207,0.01395,0.01579,0.01789,0.02033,0.02317
55,0.00036,0.00101,0.00138,0.00164,0.00204,0.00232,0.00263,0.00297,0.00338,0.00381,0.0042,0.00462,0.00524,0.00603,0.00696,0.00798,0.00906,0.01033,0.01196,0.01395,0.01579,0.01789,0.02033,0.02317,0.02656
56,0.00037,0.00102,0.0014,0.00174,0.00227,0.00261,0.00295,0.00332,0.00373,0.00413,0.00451,0.005,0.00574,0.00669,0.00777,0.00898,0.0103,0.0118,0.01362,0.01579,0.01789,0.02033,0.02317,0.02656,0.03067
57,0.00039,0.00104,0.00141,0.0019,0.00256,0.00294,0.00331,0.00367,0.00407,0.00442,0.00481,0.0054,0.00631,0.00742,0.0087,0.01011,0.01164,0.01334,0.0154,0.01789,0.02033,0.02317,0.02656,0.03067,0.03542
58,0.0004,0.00106,0.00145,0.00214,0.00289,0.00329,0.00366,0.00399,0.00433,0.00469,0.00515,0.0059,0.00701,0.00832,0.00981,0.01145,0.0132,0.01513,0.0175,0.02033,0.02317,0.02656,0.03067,0.03542,0.04012
59,0.00043,0.00109,0.00153,0.00247,0.00325,0.00365,0.00398,0.00426,0.00458,0.00498,0.00558,0.00656,0.00791,0.00945,0.01117,0.01305,0.01507,0.01727,0.01996,0.02317,0.02656,0.03067,0.03542,0.04012,0.04525
60,0.00049,0.00113,0.00175,0.00279,0.00361,0.00397,0.00423,0.00449,0.00482,0.00534,0.00616,0.00742,0.00902,0.01077,0.01275,0.01488,0.01714,0.01952,0.02275,0.02656,0.03067,0.03542,0.04012,0.04525,0.05141
61,0.00058,0.00117,0.00206,0.00309,0.00392,0.00421,0.00444,0.00472,0.00515,0.00586,0.00696,0.00851,0.01036,0.0124,0.01458,0.01697,0.01948,0.0224,0.02621,0.03067,0.03542,0.04012,0.04525,0.05141,0.06089
62,0.0007,0.00131,0.00245,0.00327,0.00415,0.00439,0.00463,0.005,0.00561,0.00659,0.008,0.00984,0.01192,0.01414,0.01655,0.01922,0.02227,0.02616,0.03067,0.03542,0.04012,0.04525,0.05141,0.06089,0.06929
63,0.00083,0.0015,0.00286,0.00364,0.00431,0.00461,0.00496,0.00553,0.00635,0.00758,0.00932,0.01143,0.01372,0.01617,0.01887,0.02194,0.02589,0.03008,0.03542,0.04012,0.04525,0.05141,0.06089,0.06929,0.0787
64,0.00096,0.00185,0.00321,0.00388,0.00441,0.00487,0.00553,0.00631,0.00729,0.00886,0.01086,0.01313,0.01557,0.01823,0.02131,0.02547,0.02996,0.03542,0.04012,0.04525,0.05141,0.06089,0.06929,0.0787,0.08976
65,0.00107,0.00228,0.00348,0.00403,0.00463,0.00541,0.00627,0.00717,0.00848,0.01042,0.01265,0.01503,0.01768,0.02056,0.02416,0.02926,0.0345,0.04012,0.04525,0.05141,0.06089,0.06929,0.0787,0.08976,0.10205
66,0.00118,0.00241,0.00368,0.00416,0.00489,0.00599,0.00704,0.00825,0.00994,0.01226,0.01467,0.01711,0.02,0.02364,0.02782,0.03338,0.04012,0.04525,0.05141,0.06089,0.06929,0.0787,0.08976,0.10205,0.11555
67,0.00131,0.00251,0.00383,0.00431,0.0053,0.00666,0.00799,0.00955,0.01165,0.01435,0.01701,0.01983,0.02266,0.02661,0.03125,0.03772,0.04525,0.05141,0.06089,0.06929,0.0787,0.08976,0.10205,0.11555,0.12995
68,0.00145,0.0026,0.00397,0.00461,0.00588,0.00749,0.00912,0.01106,0.01359,0.0167,0.01965,0.02253,0.02646,0.03098,0.0352,0.04306,0.05141,0.06089,0.06929,0.0787,0.08976,0.10205,0.11555,0.12995,0.14562
69,0.00161,0.0027,0.00413,0.00509,0.00661,0.00846,0.01038,0.01272,0.01574,0.01933,0.02239,0.02632,0.03072,0.03513,0.04205,0.05108,0.06089,0.06929,0.0787,0.08976,0.10205,0.11555,0.12995,0.14562,0.16254
70,0.00178,0.00283,0.00433,0.00557,0.00748,0.00952,0.01173,0.01453,0.01813,0.02226,0.02617,0.03045,0.03511,0.04167,0.05078,0.06089,0.06929,0.0787,0.08976,0.10205,0.11555,0.12995,0.14562,0.16254,0.17964
71,0.00198,0.00299,0.00457,0.00622,0.00844,0.01064,0.01317,0.0165,0.02077,0.02549,0.03018,0.03469,0.04108,0.04923,0.05938,0.06929,0.0787,0.08976,0.10205,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809
72,0.00219,0.0032,0.0049,0.0071,0.00946,0.01181,0.01472,0.01867,0.0237,0.02926,0.03445,0.03932,0.04698,0.0569,0.0681,0.0787,0.08976,0.10205,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068
73,0.00243,0.00348,0.00532,0.00805,0.01051,0.01303,0.01638,0.02103,0.02709,0.0334,0.03901,0.04557,0.05483,0.06624,0.0787,0.08976,0.10205,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551
74,0.00279,0.00382,0.00587,0.00908,0.0116,0.01433,0.01819,0.02382,0.03089,0.03796,0.04411,0.05195,0.06264,0.07579,0.08976,0.10205,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259
75,0.00321,0.0042,0.00658,0.01018,0.01276,0.01575,0.02036,0.02698,0.03515,0.0431,0.04973,0.05912,0.07144,0.08687,0.10205,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155
76,0.00369,0.00471,0.00746,0.01136,0.01399,0.01743,0.02282,0.03057,0.04003,0.04882,0.05746,0.06905,0.08344,0.09964,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199
77,0.00416,0.00527,0.00853,0.01261,0.01543,0.01934,0.02565,0.03478,0.04563,0.05525,0.06722,0.08095,0.09725,0.11555,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742
78,0.0047,0.006,0.0098,0.01405,0.01703,0.02155,0.02903,0.03975,0.05213,0.06358,0.07749,0.0939,0.11362,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258
79,0.00524,0.00687,0.01135,0.0156,0.01882,0.0242,0.03313,0.04572,0.05962,0.07449,0.09167,0.11165,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703
80,0.00543,0.00795,0.01315,0.01728,0.02093,0.02743,0.03816,0.05287,0.06988,0.08835,0.10859,0.12995,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037
81,0.00589,0.00921,0.01515,0.01913,0.02343,0.03174,0.04437,0.06165,0.08083,0.10195,0.12632,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219
82,0.00647,0.01064,0.01735,0.02118,0.02783,0.03765,0.05224,0.07274,0.09651,0.12259,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721
83,0.00746,0.01232,0.02007,0.02557,0.03301,0.0447,0.06336,0.08962,0.11926,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811
84,0.00878,0.01425,0.02323,0.03085,0.03986,0.05434,0.08166,0.11447,0.14562,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554
85,0.01005,0.01676,0.02802,0.03725,0.04813,0.06876,0.10412,0.13654,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448
86,0.01113,0.02021,0.03384,0.04499,0.06056,0.09477,0.12855,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502
87,0.0123,0.02441,0.04088,0.05437,0.0815,0.12424,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724
88,0.01361,0.02949,0.0494,0.07135,0.11454,0.16254,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123
89,0.01507,0.03503,0.05964,0.09514,0.15011,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871
90,0.01668,0.04156,0.07856,0.13148,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494
91,0.02131,0.05478,0.12123,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487
92,0.03106,0.08432,0.17964,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699
93,0.04748,0.12548,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143
94,0.07192,0.152,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833
95,0.10655,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833,0.9478

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Preferred, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00036,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00039,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
39,0.001,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00104,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00126,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00136,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00149,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00166,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00209,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00232,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00255,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00277,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00299,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00322,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00349,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0038,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00417,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00458,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00504,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00554,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00607,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00665,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00729,,,,,,,,,,,,,,,,,,,,,,,,
69,0.008,,,,,,,,,,,,,,,,,,,,,,,,
70,0.00883,,,,,,,,,,,,,,,,,,,,,,,,
71,0.00983,,,,,,,,,,,,,,,,,,,,,,,,
72,0.011,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01236,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01395,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01579,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01789,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02033,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02317,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02656,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03067,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03542,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04012,,,,,,,,,,,,,,,,,,,,,,,,
83,0.04525,,,,,,,,,,,,,,,,,,,,,,,,
