Table Name:,2017 Loaded CSO Nonsmoker Gender-Blended 60% Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00014,0.00018,0.00023,0.00027,0.00029,0.00034,0.00039,0.00046,0.00054,0.00064,0.00071,0.00078,0.00085,0.00093,0.00101,0.00112,0.00125,0.00136,0.00147,0.00161,0.00179,0.002,0.00225,0.00252,0.00282
31,0.00013,0.00017,0.00024,0.00027,0.00031,0.00035,0.00042,0.00049,0.00058,0.00067,0.00074,0.0008,0.00088,0.00096,0.00107,0.0012,0.00133,0.00145,0.00158,0.00175,0.00195,0.0022,0.00247,0.00277,0.00307
32,0.00014,0.00018,0.00025,0.0003,0.00034,0.00039,0.00046,0.00053,0.00062,0.00071,0.00077,0.00084,0.00093,0.00102,0.00115,0.00129,0.00143,0.00156,0.00171,0.00189,0.00214,0.00241,0.00271,0.00302,0.00331
33,0.00014,0.00019,0.00027,0.00033,0.00037,0.00043,0.0005,0.00058,0.00067,0.00074,0.00081,0.00088,0.00098,0.00111,0.00124,0.00138,0.00153,0.00168,0.00185,0.00207,0.00235,0.00265,0.00296,0.00326,0.00354
34,0.00015,0.00019,0.0003,0.00035,0.00041,0.00047,0.00054,0.00063,0.0007,0.00078,0.00084,0.00093,0.00107,0.0012,0.00133,0.00148,0.00164,0.0018,0.00201,0.00226,0.00258,0.0029,0.00322,0.00352,0.0038
35,0.00015,0.00021,0.00032,0.00039,0.00045,0.00052,0.00059,0.00067,0.00075,0.00081,0.00089,0.00102,0.00116,0.0013,0.00144,0.0016,0.00177,0.00195,0.00219,0.00249,0.00284,0.00317,0.00349,0.00379,0.0041
36,0.00016,0.00022,0.00035,0.00043,0.0005,0.00056,0.00064,0.00072,0.00078,0.00086,0.00098,0.00111,0.00127,0.00141,0.00156,0.00172,0.0019,0.00212,0.0024,0.00274,0.00311,0.00345,0.00378,0.0041,0.00446
37,0.00016,0.00024,0.00038,0.00047,0.00054,0.00062,0.00069,0.00076,0.00083,0.00095,0.00108,0.00122,0.00138,0.00153,0.00168,0.00185,0.00206,0.00231,0.00264,0.00302,0.00341,0.00377,0.00409,0.00446,0.0049
38,0.00017,0.00027,0.00041,0.0005,0.00059,0.00066,0.00074,0.00081,0.00091,0.00104,0.00119,0.00133,0.0015,0.00166,0.00182,0.002,0.00224,0.00254,0.00291,0.00333,0.00374,0.00409,0.00446,0.00489,0.00542
39,0.00018,0.00029,0.00045,0.00054,0.00064,0.00072,0.00079,0.00088,0.00099,0.00115,0.00131,0.00146,0.00163,0.0018,0.00198,0.00219,0.00247,0.00282,0.00323,0.00367,0.00409,0.00446,0.00488,0.00538,0.00602
40,0.00019,0.00033,0.00047,0.00058,0.00068,0.00077,0.00085,0.00096,0.00109,0.00127,0.00143,0.00159,0.00178,0.00197,0.00217,0.00242,0.00274,0.00314,0.00358,0.00404,0.00446,0.00488,0.00534,0.00596,0.00665
41,0.00021,0.00038,0.0005,0.00062,0.00074,0.00083,0.00092,0.00103,0.0012,0.00138,0.00155,0.00172,0.00193,0.00215,0.00238,0.00268,0.00306,0.0035,0.00397,0.00443,0.00487,0.00532,0.00587,0.00657,0.00732
42,0.00025,0.00041,0.00053,0.00067,0.00079,0.00088,0.00098,0.00111,0.00131,0.00149,0.00167,0.00186,0.0021,0.00236,0.00264,0.00299,0.00342,0.0039,0.00438,0.00484,0.0053,0.00582,0.00647,0.00722,0.00805
43,0.00028,0.00043,0.00057,0.00074,0.00085,0.00094,0.00105,0.00122,0.00141,0.00161,0.0018,0.00203,0.00231,0.0026,0.00292,0.00332,0.00381,0.00431,0.00478,0.00526,0.00578,0.0064,0.00714,0.00797,0.00887
44,0.00033,0.00046,0.00062,0.00081,0.00091,0.001,0.00114,0.00132,0.00153,0.00173,0.00194,0.00221,0.00254,0.00287,0.00323,0.00369,0.00421,0.00473,0.00519,0.00572,0.00632,0.00706,0.00791,0.00882,0.00981
45,0.00037,0.00048,0.00067,0.00088,0.00097,0.00109,0.00125,0.00145,0.00164,0.00187,0.00212,0.00243,0.0028,0.00317,0.00357,0.00407,0.00464,0.00516,0.00566,0.00625,0.00694,0.00784,0.00878,0.00978,0.0109
46,0.00041,0.0005,0.00074,0.00095,0.00105,0.0012,0.00139,0.00158,0.00178,0.00203,0.00233,0.00269,0.00308,0.00348,0.00394,0.00449,0.00508,0.00563,0.00618,0.00683,0.00768,0.00872,0.00975,0.01088,0.01218
47,0.00045,0.00052,0.00082,0.00103,0.00116,0.00134,0.00154,0.00173,0.00194,0.00223,0.00258,0.00297,0.00339,0.00381,0.00432,0.00493,0.00556,0.00614,0.00675,0.0075,0.00853,0.00972,0.01087,0.01216,0.01365
48,0.00047,0.00057,0.00092,0.00112,0.00129,0.00149,0.0017,0.00188,0.00212,0.00247,0.00286,0.00326,0.0037,0.00417,0.00472,0.00538,0.00606,0.00669,0.00739,0.00828,0.00949,0.01085,0.01215,0.01363,0.01536
49,0.00049,0.00065,0.00103,0.00124,0.00144,0.00166,0.00185,0.00205,0.00234,0.00274,0.00315,0.00356,0.00402,0.00453,0.00514,0.00586,0.00659,0.00728,0.0081,0.00917,0.01058,0.01207,0.01358,0.01533,0.01734
50,0.00049,0.00076,0.00115,0.00136,0.0016,0.00181,0.002,0.00223,0.00259,0.00304,0.00346,0.00388,0.00434,0.00491,0.00559,0.00638,0.00716,0.00793,0.0089,0.01017,0.01177,0.0134,0.01518,0.01725,0.0196
51,0.00051,0.0009,0.00127,0.0015,0.00176,0.00196,0.00215,0.00243,0.00287,0.00337,0.00379,0.00423,0.00471,0.00536,0.00614,0.007,0.00782,0.00869,0.00986,0.01134,0.01313,0.01492,0.01695,0.01934,0.02207
52,0.00051,0.00103,0.00139,0.00165,0.00191,0.0021,0.00233,0.00268,0.00319,0.00372,0.00415,0.00461,0.00515,0.00592,0.00678,0.00771,0.00862,0.0097,0.01102,0.01271,0.0147,0.0167,0.019,0.02173,0.02483
53,0.00052,0.00113,0.00151,0.00183,0.00207,0.00227,0.00256,0.00298,0.00355,0.00409,0.00454,0.00503,0.00572,0.00661,0.00757,0.00858,0.00966,0.01094,0.01246,0.01433,0.01649,0.01885,0.02153,0.02462,0.02804
54,0.00053,0.0012,0.00164,0.00197,0.00224,0.00247,0.00282,0.00334,0.00395,0.0045,0.00498,0.00557,0.00642,0.00745,0.00849,0.00961,0.01086,0.01232,0.01416,0.01632,0.01865,0.02141,0.02451,0.02798,0.03186
55,0.00057,0.00125,0.00176,0.00211,0.00242,0.00271,0.00314,0.00376,0.00438,0.00494,0.0055,0.00624,0.00726,0.00837,0.00951,0.01079,0.01225,0.014,0.01615,0.0186,0.02123,0.02438,0.02788,0.03184,0.03625
56,0.00064,0.00128,0.00189,0.00227,0.00266,0.00301,0.00356,0.00421,0.00484,0.00543,0.00611,0.00703,0.00818,0.00937,0.01065,0.01214,0.0139,0.01594,0.01837,0.02113,0.02414,0.02767,0.03177,0.03625,0.04124
57,0.00075,0.00132,0.00201,0.00247,0.00295,0.00338,0.00402,0.00469,0.0053,0.00596,0.00679,0.0079,0.00919,0.01049,0.01195,0.01371,0.01579,0.01814,0.02087,0.024,0.02749,0.03156,0.0362,0.04124,0.0468
58,0.0009,0.00138,0.00212,0.00273,0.00325,0.00381,0.00451,0.00515,0.00578,0.00656,0.00757,0.00884,0.01029,0.0118,0.01348,0.01553,0.01799,0.02066,0.02371,0.02721,0.03128,0.03603,0.04124,0.0468,0.05295
59,0.00106,0.00147,0.00226,0.00297,0.00358,0.00426,0.00496,0.00559,0.00628,0.00724,0.00846,0.00993,0.01154,0.01325,0.0152,0.01761,0.02045,0.02347,0.02694,0.031,0.03571,0.04111,0.0468,0.05295,0.06007
60,0.00122,0.0016,0.00243,0.00316,0.00394,0.00469,0.00537,0.00603,0.00685,0.008,0.00945,0.01112,0.0129,0.01483,0.01713,0.01995,0.02317,0.02662,0.03067,0.03544,0.04088,0.0468,0.05295,0.06007,0.06882
61,0.00135,0.00179,0.00265,0.00337,0.0043,0.00507,0.00575,0.00649,0.0075,0.00888,0.01053,0.01236,0.01434,0.01657,0.01927,0.02252,0.02621,0.03032,0.03514,0.04058,0.04661,0.05295,0.06007,0.06882,0.07894
62,0.00145,0.00204,0.00294,0.00366,0.00467,0.00545,0.00617,0.00706,0.00828,0.00989,0.01172,0.01374,0.01596,0.01854,0.02167,0.02539,0.02971,0.03448,0.04016,0.0462,0.05295,0.06007,0.06882,0.07894,0.09002
63,0.00154,0.00236,0.00329,0.00404,0.00504,0.00586,0.0067,0.00778,0.00922,0.01104,0.01306,0.01525,0.01773,0.0207,0.02428,0.02867,0.03378,0.0395,0.04581,0.05259,0.06007,0.06882,0.07894,0.09002,0.10268
64,0.00163,0.00273,0.00365,0.00445,0.00549,0.00637,0.00737,0.00865,0.01032,0.0124,0.01457,0.01692,0.01971,0.02305,0.02712,0.03238,0.03838,0.0451,0.05221,0.06007,0.06882,0.07894,0.09002,0.10268,0.11682
65,0.00173,0.00307,0.00403,0.00487,0.00601,0.007,0.00817,0.00966,0.01162,0.014,0.01636,0.01889,0.02203,0.02586,0.03046,0.03668,0.04405,0.0515,0.05968,0.06882,0.07894,0.09002,0.10268,0.11682,0.13216
66,0.00185,0.00333,0.00443,0.00533,0.00664,0.00775,0.00911,0.01087,0.01315,0.0159,0.01854,0.02136,0.02482,0.0292,0.03436,0.04157,0.05054,0.05902,0.06882,0.07894,0.09002,0.10268,0.11682,0.13216,0.14839
67,0.00199,0.00356,0.00485,0.00589,0.00731,0.00864,0.01022,0.01228,0.01496,0.01815,0.02119,0.02449,0.02841,0.03333,0.03889,0.04729,0.05758,0.06776,0.07894,0.09002,0.10268,0.11682,0.13216,0.14839,0.16519
68,0.00217,0.0038,0.0053,0.00658,0.00811,0.00967,0.01148,0.0139,0.01717,0.02081,0.02435,0.02829,0.03289,0.03844,0.04496,0.05471,0.0663,0.07788,0.09002,0.10268,0.11682,0.13216,0.14839,0.16519,0.18242
69,0.00236,0.00402,0.00576,0.00731,0.00903,0.01073,0.01283,0.01586,0.0196,0.02378,0.02813,0.03269,0.03824,0.04481,0.05351,0.06428,0.07695,0.08944,0.10268,0.11682,0.13216,0.14839,0.16519,0.18242,0.19959
70,0.00256,0.00423,0.00621,0.00806,0.00992,0.01183,0.01441,0.01802,0.02211,0.02695,0.03246,0.03799,0.04457,0.05291,0.06271,0.07476,0.08859,0.10268,0.11682,0.13216,0.14839,0.16519,0.18242,0.19959,0.21617
71,0.00277,0.00445,0.0067,0.0089,0.01087,0.0132,0.01624,0.02019,0.025,0.03085,0.03756,0.04405,0.05206,0.06164,0.07189,0.08562,0.10118,0.11682,0.13216,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422
72,0.00302,0.00474,0.00728,0.00989,0.01214,0.01485,0.01825,0.02268,0.02862,0.03564,0.04364,0.05131,0.06054,0.07091,0.08382,0.09942,0.11602,0.13216,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524
73,0.00334,0.00514,0.00803,0.01109,0.01369,0.01671,0.02065,0.02582,0.03299,0.04122,0.0508,0.05964,0.06973,0.08208,0.09795,0.11538,0.13216,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799
74,0.00374,0.00567,0.00897,0.0125,0.01539,0.01889,0.02355,0.02967,0.03812,0.04767,0.05879,0.0684,0.08017,0.09561,0.11321,0.1316,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247
75,0.00415,0.00623,0.01003,0.0141,0.01737,0.02146,0.02694,0.0342,0.04411,0.05487,0.06742,0.07872,0.09355,0.11154,0.13072,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824
76,0.00451,0.00672,0.01097,0.01558,0.01938,0.02406,0.03046,0.03952,0.05084,0.06269,0.07756,0.09195,0.11002,0.12998,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341
77,0.00484,0.00719,0.01189,0.01699,0.02126,0.02679,0.03417,0.04559,0.05829,0.07151,0.08992,0.10791,0.12857,0.14839,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674
78,0.00519,0.00774,0.01297,0.01853,0.0233,0.02978,0.03845,0.05176,0.06594,0.082,0.10445,0.12578,0.14754,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978
79,0.00545,0.00836,0.01418,0.02017,0.02553,0.03279,0.04319,0.05785,0.07422,0.09446,0.12137,0.14586,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211
80,0.00578,0.00919,0.01581,0.02238,0.0284,0.03681,0.04924,0.06547,0.08535,0.10989,0.14028,0.16519,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335
81,0.00631,0.01033,0.01801,0.02532,0.03261,0.04244,0.0573,0.07675,0.10088,0.13127,0.16159,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312
82,0.0071,0.01185,0.02093,0.02957,0.03854,0.05016,0.06846,0.09334,0.12381,0.1586,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422
83,0.00828,0.01396,0.02511,0.03613,0.04714,0.06195,0.08578,0.11876,0.15539,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034
84,0.00971,0.01666,0.03066,0.04457,0.05857,0.07856,0.11013,0.14741,0.18242,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783
85,0.01133,0.02014,0.0378,0.05524,0.07397,0.10236,0.13891,0.17519,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676
86,0.01321,0.0246,0.04683,0.06929,0.09581,0.13323,0.17204,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721
87,0.01526,0.02983,0.0576,0.08745,0.1249,0.16973,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924
88,0.0174,0.03551,0.0699,0.11019,0.15883,0.19959,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292
89,0.01975,0.04175,0.08534,0.13919,0.19189,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833
90,0.02381,0.0556,0.11813,0.18083,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833,0.73554
91,0.03239,0.08303,0.17393,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833,0.73554,0.77462
92,0.04769,0.12275,0.21617,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833,0.73554,0.77462,0.81563
93,0.07109,0.15979,0.23422,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833,0.73554,0.77462,0.81563,0.85864
94,0.10378,0.2067,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833,0.73554,0.77462,0.81563,0.85864,0.90368
95,0.14696,0.25524,0.27799,0.30247,0.32824,0.35341,0.37674,0.39978,0.42211,0.44335,0.46312,0.48422,0.51034,0.53783,0.56676,0.59721,0.62924,0.66292,0.69833,0.73554,0.77462,0.81563,0.85864,0.90368,0.9508

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Nonsmoker Gender-Blended, 60%, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00129,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00141,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00161,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00167,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00176,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00185,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00198,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00215,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00237,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00261,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00286,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0031,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00333,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00356,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00381,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00411,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00446,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00492,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00544,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00604,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00669,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00739,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00814,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00896,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00988,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01094,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01219,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01367,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01541,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01742,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01972,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02228,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02513,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02833,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03199,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03625,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04124,,,,,,,,,,,,,,,,,,,,,,,,
81,0.0468,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05295,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06007,,,,,,,,,,,,,,,,,,,,,,,,
