Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Residual Standard Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0002,0.00023,0.00036,0.00041,0.00046,0.00054,0.00063,0.00074,0.00088,0.00098,0.00104,0.00111,0.00125,0.00142,0.0016,0.0018,0.002,0.00219,0.00242,0.00272,0.00309,0.00351,0.00393,0.00432,0.00467
35,0.00021,0.00024,0.00039,0.00045,0.00052,0.00059,0.00067,0.00081,0.00094,0.00102,0.00109,0.0012,0.00136,0.00154,0.00172,0.00193,0.00214,0.00235,0.00262,0.00296,0.00338,0.00383,0.00427,0.00465,0.005
36,0.00021,0.00026,0.00042,0.0005,0.00058,0.00066,0.00075,0.00089,0.00099,0.00107,0.00118,0.00131,0.00148,0.00167,0.00186,0.00207,0.00229,0.00253,0.00285,0.00325,0.00372,0.0042,0.00463,0.005,0.00542
37,0.00021,0.00028,0.00045,0.00055,0.00064,0.00071,0.00084,0.00095,0.00104,0.00116,0.00129,0.00144,0.00162,0.00181,0.00201,0.00223,0.00247,0.00275,0.00313,0.0036,0.00411,0.0046,0.005,0.00542,0.00595
38,0.00021,0.00031,0.00049,0.00059,0.00069,0.00079,0.00092,0.00101,0.00113,0.00127,0.00142,0.00158,0.00177,0.00197,0.00218,0.00242,0.00269,0.00303,0.00348,0.00401,0.00455,0.005,0.00542,0.00595,0.00659
39,0.00022,0.00036,0.00055,0.00065,0.00074,0.00087,0.00098,0.00109,0.00123,0.0014,0.00157,0.00174,0.00194,0.00216,0.00238,0.00264,0.00297,0.00338,0.00391,0.00448,0.005,0.00542,0.00595,0.00656,0.00736
40,0.00024,0.00042,0.0006,0.00071,0.00083,0.00094,0.00106,0.00118,0.00135,0.00155,0.00173,0.0019,0.00213,0.00237,0.00262,0.00292,0.00331,0.00381,0.0044,0.00499,0.00542,0.00595,0.00654,0.00727,0.00819
41,0.00027,0.00049,0.00066,0.00077,0.00089,0.00102,0.00113,0.00128,0.00148,0.0017,0.00188,0.00208,0.00234,0.00261,0.00289,0.00325,0.00374,0.00432,0.00494,0.00542,0.00595,0.00654,0.00718,0.0081,0.00904
42,0.00031,0.00055,0.00071,0.00083,0.00097,0.00108,0.0012,0.00138,0.00161,0.00184,0.00204,0.00227,0.00257,0.00288,0.00321,0.00365,0.00423,0.00488,0.00542,0.00595,0.00654,0.00712,0.0079,0.00885,0.00993
43,0.00037,0.00061,0.00075,0.00091,0.00104,0.00114,0.00129,0.0015,0.00175,0.00198,0.0022,0.00247,0.00282,0.00318,0.00357,0.0041,0.00477,0.00542,0.00595,0.00654,0.00708,0.00779,0.0087,0.00978,0.01095
44,0.00044,0.00064,0.00082,0.00099,0.0011,0.00121,0.00139,0.00164,0.00189,0.00213,0.00238,0.00271,0.00311,0.00351,0.00397,0.00459,0.00533,0.00595,0.00654,0.00707,0.00769,0.00857,0.00964,0.01082,0.01208
45,0.0005,0.00069,0.00088,0.00108,0.00118,0.00131,0.00154,0.0018,0.00204,0.00229,0.0026,0.00298,0.00342,0.00388,0.00441,0.00511,0.00588,0.00654,0.00707,0.00768,0.0084,0.00952,0.01075,0.01205,0.01341
46,0.00057,0.00072,0.00095,0.00117,0.00127,0.00145,0.00171,0.00197,0.00221,0.0025,0.00287,0.00329,0.00377,0.00427,0.00487,0.00562,0.00642,0.00706,0.00768,0.00835,0.00926,0.01063,0.01197,0.01337,0.01497
47,0.00064,0.00075,0.00103,0.00126,0.0014,0.00163,0.00191,0.00216,0.0024,0.00275,0.00319,0.00364,0.00414,0.00468,0.00535,0.00616,0.00699,0.00768,0.00831,0.0091,0.0103,0.01192,0.01337,0.01497,0.01673
48,0.00069,0.00079,0.00113,0.00137,0.00156,0.00184,0.00213,0.00236,0.00264,0.00307,0.00355,0.00402,0.00452,0.00511,0.00584,0.00672,0.00759,0.00831,0.00906,0.01006,0.01154,0.01337,0.01496,0.01673,0.0188
49,0.00073,0.00086,0.00123,0.00149,0.00175,0.00207,0.00234,0.00257,0.00292,0.00343,0.00394,0.0044,0.0049,0.00554,0.00635,0.00729,0.0082,0.009,0.0099,0.01115,0.01291,0.01493,0.01673,0.01876,0.02112
50,0.00074,0.00096,0.00135,0.00163,0.00196,0.00229,0.00252,0.00279,0.00324,0.00384,0.00435,0.00477,0.0053,0.00602,0.00691,0.00792,0.00888,0.00977,0.01088,0.01239,0.01443,0.01655,0.01867,0.02112,0.02388
51,0.00074,0.00109,0.0015,0.0018,0.00218,0.00247,0.00269,0.00304,0.00361,0.00428,0.00477,0.00525,0.00576,0.00657,0.00757,0.00865,0.00966,0.01068,0.01203,0.01382,0.016,0.01825,0.02071,0.02358,0.0268
52,0.00075,0.00124,0.00166,0.002,0.00239,0.00263,0.00287,0.00333,0.00403,0.00473,0.0052,0.00574,0.00633,0.00729,0.0084,0.00953,0.01062,0.01182,0.01345,0.01549,0.01786,0.02026,0.02298,0.02624,0.02994
53,0.00076,0.0014,0.00185,0.00226,0.00259,0.0028,0.00313,0.00368,0.00449,0.0052,0.00572,0.00629,0.00704,0.00817,0.00937,0.01061,0.01182,0.01344,0.01511,0.01736,0.0199,0.0226,0.02568,0.02934,0.03344
54,0.00077,0.00155,0.00207,0.00256,0.0028,0.00305,0.00345,0.00412,0.00499,0.00571,0.00625,0.00692,0.00801,0.00931,0.01061,0.01182,0.01343,0.01506,0.01717,0.0196,0.02231,0.02561,0.02932,0.03342,0.03763
55,0.00078,0.00166,0.00231,0.00277,0.00301,0.00325,0.00377,0.00465,0.00555,0.00625,0.00692,0.00787,0.0092,0.01061,0.01182,0.01342,0.01503,0.01702,0.01949,0.02229,0.02531,0.02911,0.03321,0.03761,0.04229
56,0.00091,0.00174,0.00256,0.00299,0.00323,0.0036,0.00429,0.00526,0.00616,0.00692,0.00783,0.00904,0.01053,0.01182,0.01341,0.01502,0.01701,0.01941,0.02226,0.0253,0.02894,0.03312,0.03761,0.04229,0.04744
57,0.0011,0.0018,0.00281,0.00323,0.00356,0.004,0.00492,0.00594,0.00683,0.00773,0.00886,0.01035,0.01182,0.0134,0.01499,0.01696,0.01934,0.02208,0.02523,0.02874,0.03266,0.03725,0.04229,0.04744,0.05356
58,0.00136,0.00188,0.00303,0.00352,0.00392,0.00456,0.00562,0.00665,0.00756,0.00866,0.01006,0.01175,0.01339,0.01499,0.0169,0.01915,0.02203,0.02519,0.0287,0.0326,0.03725,0.04228,0.04744,0.05356,0.06038
59,0.00167,0.00201,0.0032,0.00383,0.00425,0.0052,0.00635,0.00735,0.00836,0.00971,0.01138,0.01321,0.01497,0.0169,0.019,0.02167,0.02506,0.0286,0.03237,0.03664,0.04189,0.04742,0.05356,0.06038,0.06831
60,0.00198,0.00221,0.00335,0.00397,0.00469,0.00587,0.00704,0.00806,0.00925,0.01087,0.01282,0.01487,0.01684,0.01883,0.02125,0.02448,0.02836,0.03234,0.03664,0.04186,0.04738,0.05356,0.06038,0.06831,0.07744
61,0.00221,0.0025,0.00351,0.00415,0.00519,0.00651,0.00768,0.00878,0.01021,0.01211,0.01423,0.01636,0.01847,0.0208,0.02376,0.02757,0.03196,0.03649,0.0415,0.04715,0.05348,0.06038,0.06831,0.07744,0.08801
62,0.00235,0.00287,0.00373,0.00445,0.00576,0.00714,0.00831,0.00956,0.01125,0.01339,0.01563,0.01785,0.02017,0.02294,0.02651,0.03089,0.03584,0.04111,0.04708,0.05343,0.06038,0.06831,0.07744,0.08801,0.10019
63,0.00245,0.00332,0.00406,0.00493,0.00641,0.00777,0.00897,0.01043,0.0124,0.01473,0.0171,0.01947,0.02211,0.02542,0.02957,0.03453,0.04008,0.04607,0.05305,0.06015,0.06831,0.07744,0.08801,0.10019,0.11409
64,0.00254,0.00375,0.00452,0.00556,0.00715,0.00844,0.00973,0.01143,0.01366,0.01619,0.01861,0.0211,0.02415,0.02797,0.03266,0.03838,0.04513,0.05271,0.06013,0.06831,0.07744,0.08801,0.10019,0.11409,0.1297
65,0.00265,0.00424,0.00509,0.00628,0.00799,0.00921,0.01064,0.0126,0.01508,0.01783,0.02038,0.02309,0.02658,0.03091,0.03612,0.04267,0.05044,0.05882,0.06799,0.07744,0.08801,0.10019,0.11409,0.1297,0.14647
66,0.00278,0.00471,0.00575,0.00709,0.00893,0.01013,0.01174,0.01394,0.01669,0.01975,0.02254,0.0255,0.02946,0.0343,0.04005,0.04818,0.05822,0.06786,0.07744,0.08801,0.10019,0.11409,0.1297,0.14647,0.16416
67,0.00294,0.00512,0.00647,0.008,0.01,0.01121,0.013,0.01547,0.01857,0.02208,0.02532,0.02875,0.03325,0.0387,0.0451,0.05418,0.06599,0.07692,0.08801,0.10019,0.11409,0.1297,0.14647,0.16416,0.18163
68,0.00316,0.00553,0.00723,0.00902,0.01087,0.01246,0.01446,0.01724,0.02082,0.02494,0.02871,0.03316,0.03786,0.04397,0.05103,0.06173,0.07524,0.0875,0.10019,0.11409,0.1297,0.14647,0.16416,0.18163,0.19873
69,0.00343,0.00595,0.00808,0.01016,0.01214,0.01385,0.01606,0.01925,0.02387,0.02836,0.03307,0.03784,0.04371,0.05097,0.05916,0.0711,0.08572,0.0996,0.11409,0.1297,0.14647,0.16416,0.18163,0.19873,0.21528
70,0.00368,0.00628,0.00883,0.0112,0.01322,0.01502,0.01762,0.0221,0.02656,0.03179,0.03776,0.04344,0.0509,0.05912,0.07053,0.08304,0.09943,0.11409,0.1297,0.14647,0.16416,0.18163,0.19873,0.21528,0.2304
71,0.00393,0.00655,0.00955,0.01221,0.01414,0.01636,0.01995,0.02452,0.0294,0.03545,0.04318,0.05088,0.059,0.06997,0.0794,0.09507,0.11322,0.1297,0.14647,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434
72,0.00421,0.00684,0.0103,0.01329,0.01532,0.01849,0.0223,0.02706,0.03304,0.04091,0.05047,0.05888,0.06937,0.07928,0.09043,0.10839,0.12877,0.14647,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243
73,0.00455,0.00727,0.01122,0.01461,0.01744,0.02084,0.02504,0.03031,0.03802,0.04718,0.05876,0.06931,0.07923,0.09037,0.10787,0.12858,0.14647,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269
74,0.00503,0.00796,0.0125,0.0164,0.01962,0.02361,0.02865,0.03484,0.04379,0.05486,0.06918,0.07917,0.0903,0.10517,0.12459,0.14571,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471
75,0.0055,0.00876,0.01392,0.0184,0.02219,0.02697,0.03284,0.04,0.05077,0.06332,0.0791,0.09021,0.10416,0.12329,0.14445,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328
76,0.00596,0.00948,0.01534,0.02076,0.02537,0.03101,0.03788,0.04665,0.05903,0.07305,0.09001,0.10389,0.12306,0.14411,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209
77,0.00617,0.0098,0.01602,0.02223,0.02782,0.03409,0.04212,0.05415,0.06805,0.08309,0.10356,0.12255,0.14392,0.16416,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447
78,0.00645,0.01025,0.01702,0.02409,0.03023,0.03823,0.04714,0.06242,0.07747,0.09428,0.12062,0.14282,0.16334,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968
79,0.00667,0.01069,0.01805,0.02587,0.03303,0.04174,0.05252,0.06877,0.0855,0.10681,0.13763,0.16208,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866
80,0.0069,0.01115,0.01912,0.02801,0.0358,0.04513,0.058,0.07502,0.09449,0.12105,0.15827,0.18163,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965
81,0.00747,0.01216,0.0215,0.03175,0.04057,0.05136,0.06683,0.08519,0.11072,0.14256,0.17853,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936
82,0.00821,0.01355,0.02452,0.03651,0.0468,0.05884,0.07785,0.10231,0.13187,0.17354,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743
83,0.00945,0.01579,0.02923,0.04348,0.05623,0.07112,0.09479,0.12634,0.16691,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332
84,0.01113,0.01918,0.03664,0.05488,0.07087,0.09165,0.1216,0.16615,0.19873,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061
85,0.01319,0.02317,0.04514,0.06771,0.08923,0.11691,0.15652,0.1934,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939
86,0.01594,0.0285,0.05668,0.08576,0.11478,0.15188,0.192,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972
87,0.01914,0.03492,0.07059,0.10854,0.14619,0.18898,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217
88,0.02239,0.04199,0.08608,0.13365,0.18042,0.21528,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542
89,0.0258,0.04887,0.10244,0.16012,0.21039,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096
90,0.02971,0.05679,0.12086,0.19122,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843
91,0.03761,0.08797,0.17872,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794
92,0.05375,0.13012,0.2304,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958
93,0.08016,0.18197,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348
94,0.11843,0.21345,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977
95,0.16959,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977,0.94856

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Residual Standard, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00119,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00162,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00171,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00193,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00202,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00208,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00216,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00223,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00232,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00242,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00254,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00272,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00297,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00325,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00355,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00385,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00413,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0044,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00468,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00501,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00542,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00595,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00662,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00738,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00821,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00912,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01007,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0111,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01223,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0135,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01498,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01673,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0188,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02121,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02393,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02696,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03025,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03385,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0378,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04229,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04744,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05356,,,,,,,,,,,,,,,,,,,,,,,,
82,0.06038,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06831,,,,,,,,,,,,,,,,,,,,,,,,
