Table Name:,"2001 VBT Residual Standard Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.00072,0.00084,0.00091,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099
10,,,,,,,0.00072,0.00083,0.00091,0.00094,0.00094,0.00094,0.00094,0.00094,0.00095,0.00096,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099,0.00101
11,,,,,,0.00072,0.00083,0.0009,0.00092,0.00092,0.00092,0.00092,0.00093,0.00094,0.00096,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099,0.00101,0.00104
12,,,,,0.00072,0.00083,0.00089,0.00091,0.00091,0.00091,0.00091,0.00092,0.00093,0.00096,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099,0.00101,0.00104,0.00109
13,,,,0.00072,0.00083,0.00089,0.0009,0.0009,0.0009,0.0009,0.0009,0.00093,0.00095,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099,0.00101,0.00104,0.00109,0.00115
14,,,0.00072,0.00083,0.00089,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.00093,0.00096,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099,0.00101,0.00104,0.00109,0.00115,0.00123
15,,0.00072,0.00083,0.00089,0.00089,0.00089,0.00089,0.00089,0.00089,0.00089,0.00091,0.00094,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00099,0.00101,0.00104,0.00109,0.00115,0.00123,0.00132
16,0.00072,0.00082,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00089,0.00091,0.00095,0.00095,0.00096,0.00096,0.00096,0.00097,0.00099,0.00101,0.00104,0.00109,0.00115,0.00123,0.00132,0.00142
17,0.00082,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00088,0.00089,0.0009,0.00092,0.00092,0.00094,0.00094,0.00094,0.00099,0.001,0.00104,0.00109,0.00115,0.00123,0.00132,0.00142,0.00155
18,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00085,0.00086,0.00086,0.00088,0.00088,0.00089,0.00092,0.00094,0.00095,0.001,0.00104,0.00109,0.00115,0.00123,0.00132,0.00142,0.00155,0.00171
19,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.00082,0.00082,0.00082,0.00084,0.00084,0.00086,0.0009,0.00095,0.00098,0.00103,0.00109,0.00115,0.00123,0.00131,0.00142,0.00155,0.00171,0.00189
20,0.00074,0.00074,0.00074,0.00074,0.00074,0.00076,0.00076,0.00077,0.00078,0.00078,0.00079,0.00082,0.00084,0.00089,0.00097,0.00103,0.00108,0.00115,0.00123,0.00131,0.00142,0.00155,0.00171,0.00189,0.00212
21,0.00067,0.00067,0.00067,0.00068,0.0007,0.00071,0.00072,0.00072,0.00073,0.00075,0.00077,0.00081,0.00084,0.00091,0.001,0.00108,0.00115,0.00123,0.00131,0.00142,0.00155,0.00171,0.00189,0.00212,0.00235
22,0.00061,0.00061,0.00062,0.00064,0.00066,0.00067,0.00068,0.00069,0.0007,0.00074,0.00076,0.0008,0.00085,0.00094,0.00104,0.00114,0.00123,0.00131,0.00142,0.00155,0.00171,0.00189,0.00212,0.00235,0.00258
23,0.00054,0.00055,0.00058,0.00061,0.00064,0.00065,0.00067,0.00068,0.00069,0.00073,0.00077,0.00081,0.00088,0.00097,0.0011,0.00121,0.00131,0.00142,0.00155,0.00171,0.00189,0.00212,0.00235,0.00257,0.00277
24,0.00046,0.0005,0.00055,0.0006,0.00063,0.00064,0.00066,0.00068,0.00071,0.00075,0.0008,0.00085,0.00093,0.00103,0.00117,0.0013,0.00142,0.00155,0.00171,0.00189,0.00212,0.00235,0.00257,0.00275,0.0029
25,0.00039,0.00047,0.00054,0.0006,0.00062,0.00065,0.00067,0.00069,0.00074,0.00079,0.00084,0.00091,0.00099,0.00111,0.00125,0.00141,0.00155,0.00171,0.00189,0.00211,0.00234,0.00255,0.00274,0.0029,0.00308
26,0.00036,0.00046,0.00054,0.00061,0.00064,0.00066,0.00069,0.00073,0.00077,0.00084,0.0009,0.00098,0.00107,0.00122,0.00136,0.00155,0.00171,0.00189,0.00211,0.00234,0.00254,0.00272,0.00289,0.00308,0.00332
27,0.00035,0.00046,0.00054,0.00062,0.00066,0.00068,0.00072,0.00077,0.00083,0.0009,0.00098,0.00107,0.00118,0.00134,0.00149,0.0017,0.00189,0.0021,0.00233,0.00254,0.00272,0.00288,0.00307,0.00332,0.00362
28,0.00035,0.00046,0.00055,0.00062,0.00068,0.00072,0.00077,0.00083,0.00088,0.00097,0.00107,0.00118,0.0013,0.00146,0.00165,0.00188,0.00209,0.00233,0.00254,0.00272,0.00288,0.00307,0.00331,0.00362,0.00399
29,0.00034,0.00046,0.00056,0.00063,0.00071,0.00077,0.00083,0.00088,0.00096,0.00106,0.00117,0.00129,0.00142,0.00159,0.00181,0.00207,0.00229,0.00252,0.00271,0.00288,0.00307,0.00331,0.00361,0.00399,0.00444
30,0.00033,0.00046,0.00055,0.00064,0.00073,0.00081,0.00088,0.00094,0.00104,0.00113,0.00125,0.00138,0.00155,0.00175,0.002,0.00225,0.00248,0.00269,0.00288,0.00307,0.00331,0.0036,0.00398,0.00443,0.00495
31,0.00031,0.00044,0.00055,0.00064,0.00074,0.00083,0.00092,0.001,0.00108,0.00117,0.00131,0.00148,0.0017,0.00195,0.00222,0.00245,0.00267,0.00288,0.00307,0.00331,0.0036,0.00397,0.00442,0.00492,0.00549
32,0.00031,0.00043,0.00055,0.00066,0.00076,0.00086,0.00097,0.00104,0.00112,0.00122,0.00138,0.00159,0.00188,0.00215,0.00242,0.00264,0.00286,0.00307,0.00331,0.0036,0.00397,0.00442,0.0049,0.00545,0.00606
33,0.00033,0.00045,0.00058,0.00069,0.0008,0.00091,0.00102,0.0011,0.00119,0.0013,0.00149,0.00175,0.00205,0.00235,0.00261,0.00283,0.00306,0.00331,0.0036,0.00397,0.0044,0.00489,0.00542,0.00602,0.00663
34,0.00035,0.00047,0.0006,0.00072,0.00084,0.00096,0.00107,0.00118,0.00129,0.00144,0.00166,0.00192,0.00223,0.00253,0.00281,0.00304,0.00331,0.0036,0.00396,0.00439,0.00486,0.0054,0.00598,0.00659,0.00723
35,0.00036,0.00049,0.00062,0.00075,0.00088,0.001,0.00113,0.00128,0.00143,0.00162,0.00184,0.00211,0.00242,0.00273,0.00303,0.0033,0.0036,0.00396,0.00438,0.00482,0.00537,0.00595,0.00657,0.00721,0.00796
36,0.00038,0.00051,0.00064,0.00077,0.0009,0.00104,0.0012,0.00141,0.0016,0.00181,0.00203,0.00229,0.00261,0.00296,0.00329,0.0036,0.00395,0.00436,0.00482,0.00531,0.00592,0.00653,0.00719,0.00794,0.0088
37,0.00041,0.00054,0.00068,0.0008,0.00094,0.00111,0.00131,0.00156,0.00179,0.002,0.00222,0.00248,0.00281,0.00319,0.00357,0.00394,0.00435,0.0048,0.00531,0.00586,0.00649,0.00716,0.00792,0.00879,0.00984
38,0.00045,0.0006,0.00074,0.00086,0.00101,0.00121,0.00146,0.00172,0.00197,0.00218,0.0024,0.00268,0.00304,0.00344,0.00387,0.00431,0.00478,0.0053,0.00585,0.00645,0.00712,0.0079,0.00878,0.00984,0.01112
39,0.00048,0.00065,0.0008,0.00093,0.0011,0.00134,0.00163,0.00189,0.00213,0.00236,0.00261,0.00293,0.00331,0.00374,0.00421,0.00472,0.00525,0.00584,0.00644,0.00711,0.00787,0.00877,0.00984,0.0111,0.01254
40,0.00051,0.00071,0.00088,0.00103,0.00123,0.0015,0.0018,0.00207,0.00231,0.00256,0.00286,0.00324,0.00365,0.00411,0.00464,0.0052,0.0058,0.00642,0.00709,0.00786,0.00876,0.00984,0.01109,0.01248,0.01397
41,0.00054,0.00078,0.00098,0.00117,0.00139,0.00167,0.00198,0.00225,0.00252,0.00282,0.00318,0.00359,0.00405,0.00458,0.00518,0.00576,0.00638,0.00707,0.00784,0.00874,0.00981,0.01106,0.01243,0.01386,0.01515
42,0.00058,0.00084,0.00107,0.00129,0.00153,0.00181,0.00212,0.00242,0.00275,0.00309,0.00351,0.00397,0.00452,0.00512,0.00575,0.0063,0.00701,0.00781,0.00873,0.00977,0.01101,0.01234,0.01376,0.01508,0.01641
43,0.00061,0.00088,0.00114,0.00137,0.00161,0.00191,0.00226,0.00262,0.00298,0.00338,0.00383,0.00441,0.00506,0.00569,0.00629,0.00691,0.00775,0.00869,0.00976,0.01092,0.01226,0.01363,0.01501,0.01633,0.01802
44,0.00066,0.00094,0.0012,0.00144,0.00171,0.00204,0.00243,0.00284,0.00326,0.00369,0.00421,0.00494,0.00561,0.00622,0.00683,0.00763,0.00862,0.00971,0.01091,0.01219,0.01356,0.0149,0.01625,0.01786,0.01993
45,0.00073,0.001,0.00125,0.00151,0.00183,0.00221,0.00265,0.00312,0.00359,0.00407,0.00471,0.0055,0.00615,0.00673,0.00751,0.00851,0.00965,0.01088,0.01217,0.01354,0.01485,0.01614,0.01771,0.01977,0.02229
46,0.00079,0.00105,0.00131,0.0016,0.00197,0.00241,0.00291,0.00344,0.00396,0.00456,0.00526,0.00603,0.00667,0.00735,0.00839,0.00957,0.01085,0.01216,0.01353,0.01484,0.01604,0.01757,0.0196,0.02212,0.02505
47,0.00086,0.00112,0.00139,0.00172,0.00213,0.00261,0.00317,0.00376,0.00436,0.00508,0.00577,0.00654,0.00725,0.00816,0.00942,0.01078,0.01215,0.01351,0.01484,0.01604,0.01742,0.01942,0.02194,0.02493,0.0281
48,0.00092,0.00121,0.00152,0.00189,0.00231,0.00282,0.00342,0.0041,0.00475,0.00553,0.00626,0.0071,0.00801,0.00915,0.01059,0.01211,0.01351,0.01483,0.01603,0.01733,0.01926,0.02175,0.02474,0.02807,0.03138
49,0.00099,0.00133,0.00168,0.00208,0.00251,0.00304,0.00369,0.00444,0.00511,0.0059,0.00678,0.00784,0.00902,0.01037,0.01189,0.01349,0.01483,0.01603,0.01732,0.01908,0.02157,0.02454,0.02785,0.03136,0.03483
50,0.00109,0.00148,0.00188,0.00229,0.00273,0.00328,0.00397,0.00473,0.00548,0.00634,0.00744,0.00883,0.01026,0.01175,0.01319,0.01482,0.01602,0.01729,0.01906,0.02137,0.02432,0.02761,0.03108,0.03471,0.03846
51,0.0012,0.00166,0.00211,0.00254,0.003,0.00355,0.00424,0.00504,0.00591,0.00696,0.00834,0.01003,0.01163,0.01291,0.01439,0.016,0.01725,0.01901,0.02132,0.0241,0.02737,0.03082,0.03439,0.03822,0.04236
52,0.00127,0.00182,0.00232,0.00281,0.00329,0.00385,0.00458,0.00549,0.0065,0.00782,0.00948,0.01136,0.01278,0.01398,0.01558,0.0172,0.01894,0.02126,0.02388,0.02715,0.03057,0.03414,0.03793,0.04211,0.04668
53,0.00132,0.00196,0.00254,0.00308,0.00358,0.0042,0.00505,0.00614,0.00732,0.0089,0.01073,0.01249,0.01384,0.01529,0.01697,0.01885,0.02117,0.02384,0.02676,0.03036,0.03391,0.03769,0.04184,0.04653,0.05167
54,0.00137,0.0021,0.00277,0.00332,0.00388,0.00462,0.00565,0.00693,0.00828,0.01003,0.01173,0.01346,0.01513,0.01684,0.01875,0.02107,0.02379,0.02674,0.02992,0.03371,0.03748,0.04162,0.04629,0.05162,0.05745
55,0.00142,0.00225,0.00298,0.00358,0.00422,0.00513,0.00637,0.00782,0.00929,0.01093,0.01259,0.01462,0.01664,0.01864,0.02094,0.02373,0.02671,0.02987,0.03318,0.03725,0.0414,0.04607,0.05142,0.05745,0.0639
56,0.00148,0.00239,0.00318,0.00389,0.00467,0.00576,0.00718,0.00876,0.01029,0.01191,0.01387,0.01612,0.0184,0.02081,0.02364,0.02669,0.02982,0.0331,0.03665,0.04115,0.04583,0.0512,0.05736,0.0639,0.07106
57,0.00157,0.00253,0.00341,0.00426,0.00523,0.00649,0.00803,0.00967,0.0112,0.0131,0.01534,0.01794,0.02053,0.0234,0.02665,0.02978,0.03302,0.03653,0.04049,0.04559,0.05097,0.05716,0.0639,0.07106,0.07878
58,0.0017,0.0027,0.00369,0.0047,0.00588,0.0073,0.00891,0.01052,0.01202,0.01415,0.01671,0.01983,0.02309,0.02629,0.02972,0.03298,0.03643,0.04035,0.04485,0.05074,0.05695,0.06381,0.07106,0.07878,0.08685
59,0.00188,0.00291,0.00401,0.0052,0.00657,0.00812,0.00977,0.01135,0.01282,0.01522,0.01817,0.02177,0.02579,0.02932,0.03291,0.03641,0.04024,0.04471,0.04992,0.05673,0.06365,0.07106,0.07878,0.08685,0.0956
60,0.00211,0.00317,0.00437,0.00573,0.00727,0.00894,0.0106,0.01216,0.01363,0.01637,0.01974,0.02368,0.02811,0.03246,0.03632,0.04022,0.04458,0.04976,0.05581,0.06345,0.071,0.07878,0.08685,0.0956,0.10527
61,0.00238,0.00347,0.00477,0.00627,0.00799,0.00977,0.01146,0.01302,0.01454,0.01765,0.02133,0.02547,0.03008,0.03525,0.0401,0.04454,0.04961,0.05563,0.06242,0.0709,0.07878,0.08685,0.0956,0.10527,0.11598
62,0.0026,0.00382,0.00526,0.00693,0.00878,0.01067,0.01245,0.0141,0.01576,0.01916,0.02305,0.02738,0.03229,0.03794,0.04427,0.04956,0.05546,0.06223,0.06981,0.07878,0.08685,0.0956,0.10527,0.11598,0.12768
63,0.00275,0.0042,0.00586,0.00769,0.00969,0.01169,0.01362,0.01545,0.01734,0.02096,0.02506,0.02971,0.03508,0.0414,0.04889,0.0554,0.06203,0.06958,0.07783,0.08685,0.0956,0.10527,0.11598,0.12768,0.14021
64,0.00285,0.00459,0.0065,0.00854,0.0107,0.01286,0.01496,0.01702,0.01916,0.023,0.02742,0.03256,0.03858,0.04576,0.05433,0.06195,0.06936,0.07747,0.0863,0.0956,0.10527,0.11598,0.12768,0.14021,0.1534
65,0.00291,0.00509,0.00724,0.00949,0.01187,0.0142,0.01644,0.01872,0.02113,0.0253,0.03019,0.03596,0.04281,0.05101,0.06061,0.0693,0.07735,0.08584,0.09543,0.10527,0.11598,0.12768,0.14021,0.1534,0.16708
66,0.00304,0.00574,0.0081,0.01052,0.01325,0.01571,0.01809,0.02054,0.02327,0.02787,0.03337,0.03992,0.04776,0.05692,0.06762,0.07734,0.08584,0.09517,0.10527,0.11598,0.12768,0.14021,0.1534,0.16708,0.18041
67,0.00339,0.00647,0.00906,0.01168,0.01465,0.01741,0.02013,0.02287,0.02581,0.03102,0.03729,0.0448,0.05359,0.06385,0.07558,0.08583,0.09514,0.10524,0.11598,0.12768,0.14021,0.1534,0.16708,0.18041,0.19324
68,0.00388,0.00728,0.01014,0.01296,0.01567,0.01938,0.02237,0.0253,0.02851,0.03446,0.04161,0.05,0.05981,0.07104,0.08362,0.0951,0.10521,0.11598,0.12768,0.14021,0.1534,0.16708,0.18041,0.19324,0.20649
69,0.00438,0.0082,0.01135,0.01438,0.01639,0.02155,0.02445,0.02744,0.03228,0.03916,0.04724,0.0567,0.06753,0.07967,0.09354,0.10518,0.11598,0.12768,0.14021,0.1534,0.16708,0.18041,0.19324,0.20649,0.22025
70,0.00532,0.00924,0.01269,0.01553,0.01813,0.02361,0.02639,0.03148,0.03688,0.04471,0.05384,0.06435,0.07613,0.08958,0.10503,0.11598,0.12768,0.14021,0.1534,0.16708,0.18041,0.19324,0.20649,0.22022,0.23456
71,0.00687,0.01042,0.01421,0.01727,0.02091,0.02537,0.02882,0.03473,0.0396,0.04818,0.05801,0.0691,0.08179,0.09637,0.11296,0.12768,0.14021,0.15315,0.16701,0.18041,0.19324,0.20649,0.2202,0.23451,0.2491
72,0.00841,0.01229,0.01628,0.01986,0.02337,0.02701,0.031,0.03668,0.04139,0.05051,0.06075,0.07251,0.08607,0.10153,0.11889,0.13779,0.15309,0.16578,0.1792,0.19262,0.20649,0.22018,0.23446,0.24909,0.26379
73,0.00993,0.01428,0.01841,0.02223,0.02571,0.02912,0.03417,0.03982,0.04425,0.05402,0.06505,0.07778,0.09233,0.10871,0.12684,0.14648,0.16566,0.17712,0.18928,0.20573,0.22017,0.23442,0.24906,0.26379,0.27925
74,0.01174,0.01552,0.0201,0.02472,0.02824,0.0327,0.0383,0.04309,0.05099,0.0616,0.07399,0.08809,0.10399,0.12158,0.14067,0.16122,0.17704,0.18713,0.20332,0.22016,0.23439,0.24903,0.26379,0.27925,0.29562
75,0.01289,0.01695,0.02202,0.02735,0.03144,0.03678,0.04189,0.0495,0.06126,0.0734,0.08749,0.1033,0.12082,0.13981,0.16005,0.17691,0.18695,0.20212,0.22014,0.23436,0.24901,0.26379,0.27925,0.29562,0.31292
76,0.01327,0.01861,0.02429,0.03022,0.03532,0.0407,0.04802,0.0594,0.06981,0.0854,0.101,0.11829,0.13707,0.1571,0.17508,0.18668,0.20195,0.22013,0.23432,0.24899,0.26379,0.27925,0.29562,0.31292,0.33122
77,0.01388,0.02008,0.02668,0.03392,0.03958,0.04659,0.05763,0.0685,0.08172,0.09898,0.11604,0.13458,0.15436,0.17207,0.18534,0.2018,0.21999,0.23428,0.24895,0.26379,0.27925,0.29562,0.31292,0.33122,0.35058
78,0.01484,0.02172,0.02955,0.03848,0.04523,0.05592,0.06724,0.08053,0.09366,0.11056,0.12868,0.14807,0.1678,0.18419,0.20166,0.21987,0.23398,0.24879,0.26375,0.27925,0.29562,0.31292,0.33122,0.35058,0.37104
79,0.01597,0.02391,0.03323,0.04391,0.0543,0.06601,0.07938,0.09238,0.1028,0.12048,0.13913,0.15815,0.17714,0.20041,0.21977,0.23372,0.24851,0.26344,0.27921,0.29562,0.31292,0.33122,0.35058,0.37104,0.39266
80,0.01728,0.02682,0.03791,0.0506,0.06487,0.07827,0.09115,0.10175,0.11559,0.13416,0.15283,0.17374,0.19794,0.21968,0.2335,0.24826,0.26318,0.27894,0.29558,0.31292,0.33122,0.35058,0.37104,0.39266,0.41541
81,0.01899,0.03061,0.04388,0.05875,0.07508,0.08998,0.10076,0.11459,0.12469,0.14977,0.17053,0.19725,0.21961,0.2333,0.24806,0.26296,0.2787,0.29534,0.31289,0.33122,0.35058,0.37104,0.39266,0.41541,0.43927
82,0.02148,0.03558,0.05121,0.06825,0.08656,0.09981,0.11364,0.1238,0.14202,0.17034,0.19717,0.21954,0.23314,0.24787,0.26277,0.2785,0.29513,0.31268,0.33119,0.35058,0.37104,0.39266,0.41541,0.43927,0.46447
83,0.02528,0.04188,0.0598,0.07888,0.09891,0.11273,0.12295,0.14126,0.16983,0.19711,0.21948,0.23298,0.24772,0.2626,0.27833,0.29495,0.3125,0.33102,0.35055,0.37104,0.39266,0.41541,0.43927,0.46447,0.4911
84,0.03063,0.04953,0.06951,0.0903,0.11183,0.12213,0.14055,0.16926,0.19686,0.21942,0.23285,0.24758,0.26245,0.27818,0.2948,0.31236,0.33088,0.35042,0.37102,0.39266,0.41541,0.43927,0.46447,0.4911,0.51922
85,0.0375,0.05846,0.08021,0.10253,0.12134,0.13985,0.16865,0.19664,0.21922,0.23273,0.24745,0.26233,0.27805,0.29467,0.31223,0.33076,0.35031,0.37094,0.39266,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891
86,0.04563,0.06877,0.09229,0.11596,0.1392,0.16806,0.19633,0.21904,0.23228,0.24734,0.26221,0.27793,0.29456,0.31212,0.33065,0.35022,0.37087,0.39263,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025
87,0.05507,0.08097,0.10643,0.13854,0.16751,0.19604,0.21888,0.23189,0.24692,0.26211,0.27783,0.29444,0.31201,0.33056,0.35014,0.37081,0.3926,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333
88,0.06669,0.09569,0.13106,0.16695,0.19577,0.21873,0.23153,0.24654,0.26173,0.27773,0.29436,0.31192,0.33048,0.35007,0.37076,0.39257,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821
89,0.08178,0.12242,0.1619,0.19549,0.21859,0.23119,0.2462,0.26137,0.27739,0.29427,0.31184,0.3304,0.35001,0.37071,0.39255,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501
90,0.11128,0.15607,0.19332,0.21846,0.23089,0.24589,0.26106,0.27707,0.29396,0.31177,0.33033,0.34996,0.37067,0.39253,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378
91,0.1486,0.19082,0.21832,0.2306,0.24561,0.26077,0.27678,0.29369,0.31151,0.33028,0.3499,0.37064,0.39252,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463
92,0.18756,0.21819,0.2303,0.24534,0.26051,0.27653,0.29343,0.31127,0.33006,0.34986,0.3706,0.3925,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762
93,0.21794,0.23,0.24506,0.26026,0.27629,0.2932,0.31105,0.32987,0.34969,0.37058,0.39249,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281
94,0.22971,0.24478,0.26,0.27605,0.29299,0.31085,0.32969,0.34955,0.37047,0.39248,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028
95,0.2445,0.25974,0.27582,0.29279,0.31067,0.32953,0.34942,0.37038,0.39244,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993
96,0.25948,0.27559,0.29258,0.3105,0.32938,0.34929,0.37029,0.39241,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1
97,0.27535,0.29237,0.31032,0.32924,0.34918,0.37021,0.39237,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,
98,0.29217,0.31014,0.32909,0.34908,0.37014,0.39234,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,,
99,0.31003,0.329,0.349,0.37009,0.39231,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,,,

