Table Name:,"2001 VBT Residual Standard Select and Ultimate - Male Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,0.00068,0.00087,0.00105,0.00119,0.00128,0.00133,0.00138,0.00143,0.00152,0.0016,0.00168,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186,0.00193
11,,,,,,0.00068,0.00087,0.00105,0.00116,0.00125,0.00131,0.00137,0.00142,0.0015,0.00159,0.00167,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186,0.00193,0.00198
12,,,,,0.00068,0.00087,0.00105,0.00116,0.00124,0.0013,0.00135,0.0014,0.00149,0.00159,0.00167,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186,0.00193,0.00198,0.00209
13,,,,0.00068,0.00087,0.00105,0.00115,0.00123,0.00129,0.00133,0.00139,0.00147,0.00156,0.00165,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186,0.00193,0.00198,0.00209,0.0022
14,,,0.00068,0.00087,0.00105,0.00115,0.00122,0.00126,0.00132,0.00137,0.00143,0.00153,0.00163,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186,0.00193,0.00198,0.00209,0.0022,0.00237
15,,0.00068,0.00087,0.00105,0.00114,0.00119,0.00125,0.0013,0.00135,0.00142,0.00152,0.00159,0.00169,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186,0.00193,0.00198,0.00209,0.0022,0.00237,0.00254
16,0.00068,0.00087,0.00105,0.00114,0.00119,0.00123,0.00129,0.00133,0.0014,0.00148,0.00156,0.00164,0.00169,0.00175,0.00177,0.00179,0.00182,0.00186,0.00192,0.00198,0.00209,0.0022,0.00237,0.00254,0.00274
17,0.00087,0.00105,0.00114,0.00117,0.00122,0.00129,0.00133,0.00138,0.00147,0.00152,0.00158,0.00164,0.00167,0.00172,0.00174,0.00176,0.00186,0.00192,0.00198,0.00208,0.00219,0.00237,0.00254,0.00274,0.003
18,0.00105,0.00112,0.00116,0.00121,0.00125,0.0013,0.00137,0.00143,0.00149,0.00152,0.00156,0.0016,0.00164,0.00169,0.00176,0.00177,0.00192,0.00196,0.00208,0.00219,0.00237,0.00254,0.00274,0.003,0.00332
19,0.00107,0.00112,0.00116,0.00121,0.00125,0.00131,0.00138,0.00143,0.00147,0.00149,0.00152,0.00155,0.0016,0.00168,0.00177,0.00185,0.00196,0.00208,0.00219,0.00236,0.00254,0.00273,0.003,0.00332,0.00369
20,0.00105,0.00109,0.00114,0.00119,0.00123,0.00131,0.00134,0.00138,0.00141,0.00143,0.00147,0.0015,0.00158,0.00169,0.00185,0.00196,0.00208,0.00219,0.00236,0.00254,0.00273,0.00299,0.00332,0.00369,0.00414
21,0.001,0.00105,0.00108,0.00113,0.0012,0.00123,0.00129,0.0013,0.00134,0.00138,0.00143,0.0015,0.0016,0.00174,0.00191,0.00208,0.00219,0.00236,0.00254,0.00273,0.00299,0.00332,0.00369,0.00414,0.00462
22,0.00095,0.00099,0.00103,0.00109,0.00114,0.00117,0.00121,0.00124,0.00128,0.00135,0.00142,0.0015,0.00161,0.00178,0.002,0.00219,0.00236,0.00254,0.00273,0.00299,0.00332,0.00369,0.00414,0.00462,0.00506
23,0.00089,0.00093,0.00099,0.00106,0.00111,0.00116,0.00119,0.00122,0.00128,0.00135,0.00144,0.00155,0.00169,0.00186,0.00211,0.00235,0.00254,0.00273,0.00299,0.00332,0.00369,0.00414,0.00458,0.00506,0.00554
24,0.0008,0.00087,0.00095,0.00104,0.00111,0.00115,0.00119,0.00124,0.00131,0.00141,0.0015,0.00161,0.00176,0.00198,0.00227,0.00251,0.00273,0.00299,0.00332,0.00369,0.0041,0.00458,0.00506,0.00553,0.00579
25,0.00069,0.00079,0.00093,0.00105,0.00112,0.00117,0.00122,0.00128,0.00137,0.00148,0.00159,0.00172,0.0019,0.00212,0.0024,0.00272,0.00299,0.00332,0.00369,0.0041,0.00458,0.00505,0.00545,0.00578,0.00608
26,0.00063,0.00078,0.00094,0.00108,0.00115,0.0012,0.00125,0.00134,0.00143,0.00157,0.0017,0.00185,0.00204,0.00232,0.00262,0.00298,0.00332,0.00369,0.0041,0.00458,0.00505,0.00545,0.00578,0.00608,0.00649
27,0.0006,0.00079,0.00097,0.00111,0.0012,0.00125,0.00134,0.00143,0.00155,0.0017,0.00185,0.00203,0.00223,0.00256,0.00286,0.00328,0.00369,0.00409,0.00458,0.00505,0.00543,0.00578,0.00608,0.00649,0.00699
28,0.00061,0.00082,0.001,0.00114,0.00125,0.00132,0.00141,0.00152,0.00166,0.00184,0.00203,0.00223,0.00249,0.00283,0.00318,0.00365,0.00408,0.00458,0.00505,0.00542,0.00578,0.00608,0.00649,0.00699,0.00768
29,0.0006,0.00084,0.00103,0.00117,0.00132,0.00141,0.00152,0.00166,0.00179,0.00203,0.00223,0.00249,0.00275,0.0031,0.00353,0.00406,0.00458,0.00505,0.00542,0.00578,0.00608,0.00649,0.00699,0.00768,0.00847
30,0.00061,0.00085,0.00103,0.00121,0.00138,0.00152,0.00166,0.00179,0.00199,0.00223,0.00245,0.00271,0.003,0.00339,0.00388,0.00444,0.00495,0.00541,0.00578,0.00608,0.00649,0.00699,0.00768,0.00847,0.00947
31,0.00058,0.00084,0.00104,0.00124,0.00143,0.00163,0.00179,0.00195,0.00213,0.00235,0.00258,0.00291,0.00331,0.00378,0.00433,0.00488,0.00535,0.00578,0.00608,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057
32,0.00056,0.0008,0.00105,0.00125,0.00147,0.00166,0.00187,0.00205,0.00222,0.00243,0.00273,0.00315,0.00369,0.00427,0.00482,0.00532,0.00578,0.00608,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172
33,0.00061,0.00086,0.00109,0.00133,0.00156,0.00177,0.00199,0.00217,0.00235,0.00257,0.00293,0.00344,0.00409,0.00468,0.00523,0.00572,0.00608,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172,0.01288
34,0.00065,0.0009,0.00117,0.0014,0.00166,0.0019,0.00213,0.00234,0.00254,0.00282,0.00325,0.00383,0.00447,0.00511,0.00565,0.00608,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172,0.01288,0.01381
35,0.00071,0.00096,0.00123,0.00148,0.00174,0.00202,0.00226,0.00252,0.00281,0.00318,0.00366,0.00423,0.00488,0.00553,0.00608,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172,0.01288,0.01381,0.01483
36,0.00076,0.001,0.00128,0.00155,0.00183,0.00209,0.00239,0.00277,0.00316,0.00362,0.0041,0.00466,0.0053,0.006,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172,0.01288,0.01381,0.01482,0.01617
37,0.0008,0.00103,0.00132,0.0016,0.00188,0.0022,0.0026,0.00308,0.00357,0.00403,0.0045,0.00504,0.00574,0.00649,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172,0.01288,0.01381,0.01481,0.01613,0.01783
38,0.00086,0.00115,0.00146,0.00172,0.002,0.00238,0.00289,0.00345,0.00398,0.00446,0.00492,0.00548,0.0062,0.00699,0.00768,0.00847,0.00947,0.01057,0.01172,0.01288,0.01381,0.0148,0.0161,0.01779,0.01988
39,0.00095,0.00129,0.00158,0.00184,0.00217,0.00263,0.00324,0.00381,0.00438,0.00485,0.00533,0.00596,0.00676,0.00765,0.00847,0.00947,0.01057,0.01172,0.01288,0.01381,0.01479,0.01607,0.01775,0.01984,0.02216
40,0.00102,0.00139,0.00172,0.00202,0.00242,0.00298,0.0036,0.00422,0.00474,0.00527,0.00586,0.0066,0.00745,0.00841,0.00942,0.01056,0.01172,0.01288,0.01381,0.01478,0.01603,0.01771,0.01981,0.02214,0.02448
41,0.00108,0.0015,0.00192,0.00228,0.00274,0.00336,0.00403,0.00462,0.00518,0.0058,0.00652,0.00736,0.0083,0.00931,0.01052,0.01172,0.01288,0.01381,0.01477,0.016,0.01766,0.01977,0.02212,0.02447,0.02668
42,0.00115,0.00168,0.00216,0.0026,0.0031,0.00372,0.00439,0.00503,0.00569,0.00646,0.00728,0.0082,0.00925,0.01045,0.01172,0.01288,0.01381,0.01476,0.01597,0.01762,0.01974,0.0221,0.02447,0.0266,0.02879
43,0.00122,0.00177,0.00231,0.0028,0.00333,0.00396,0.00469,0.00543,0.00621,0.00709,0.008,0.00911,0.01039,0.01172,0.01288,0.01381,0.01475,0.01593,0.01758,0.0197,0.02208,0.02446,0.02652,0.02864,0.03087
44,0.00131,0.00191,0.00245,0.00296,0.00352,0.00421,0.00502,0.00591,0.00679,0.00776,0.00878,0.01021,0.01168,0.01288,0.01381,0.01474,0.0159,0.01754,0.01966,0.02206,0.02445,0.02645,0.02849,0.03073,0.03309
45,0.00146,0.00204,0.0026,0.00313,0.00377,0.00454,0.0055,0.00648,0.00752,0.00854,0.00981,0.01151,0.01288,0.01381,0.01474,0.01587,0.0175,0.01963,0.02204,0.02444,0.02637,0.02835,0.03058,0.03296,0.0353
46,0.0016,0.00217,0.00271,0.00328,0.00404,0.00495,0.00598,0.00711,0.00823,0.00942,0.0109,0.01255,0.01381,0.01474,0.01587,0.01746,0.01959,0.02202,0.02443,0.02629,0.0282,0.03043,0.03283,0.03525,0.03799
47,0.00176,0.00229,0.00283,0.00352,0.0044,0.00539,0.00655,0.00779,0.00899,0.01047,0.01193,0.01348,0.01474,0.01587,0.01746,0.01956,0.022,0.02442,0.02621,0.02806,0.03029,0.03271,0.03519,0.03799,0.04087
48,0.00193,0.00248,0.00311,0.00386,0.00475,0.0058,0.00705,0.00841,0.00977,0.01144,0.0128,0.01437,0.01587,0.01746,0.01956,0.02198,0.02441,0.02613,0.02791,0.03014,0.03258,0.03513,0.03799,0.04087,0.04484
49,0.00207,0.00274,0.00345,0.00427,0.00518,0.00626,0.00758,0.0091,0.0105,0.01211,0.01366,0.01545,0.01744,0.01956,0.02198,0.0244,0.02605,0.02776,0.03,0.03245,0.03508,0.03799,0.04087,0.04484,0.04881
50,0.00228,0.00305,0.00385,0.00469,0.00562,0.00674,0.00818,0.00973,0.01115,0.01278,0.01465,0.01699,0.01949,0.02198,0.0244,0.02597,0.02762,0.02985,0.03233,0.03502,0.03799,0.04087,0.04484,0.04881,0.0528
51,0.00254,0.00344,0.00433,0.00525,0.00616,0.00731,0.0087,0.01026,0.01184,0.01366,0.01601,0.01902,0.02187,0.0244,0.02597,0.02747,0.0297,0.0322,0.03496,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746
52,0.00282,0.00387,0.0049,0.00583,0.00677,0.00785,0.00925,0.0109,0.01273,0.01501,0.01789,0.02131,0.02424,0.02595,0.02747,0.02956,0.03208,0.03491,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215
53,0.00296,0.00422,0.00537,0.00643,0.00741,0.00855,0.01008,0.012,0.01407,0.01684,0.02012,0.02367,0.02561,0.02747,0.02956,0.03195,0.03485,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758
54,0.00307,0.00457,0.00591,0.00704,0.00805,0.00933,0.01115,0.01342,0.0158,0.01895,0.02233,0.02501,0.02744,0.02956,0.03195,0.03479,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388
55,0.00322,0.00497,0.00644,0.00758,0.00872,0.01029,0.01248,0.01508,0.01768,0.02091,0.0235,0.02665,0.02956,0.03195,0.03479,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104
56,0.00335,0.00527,0.00686,0.00816,0.00951,0.01147,0.01404,0.01693,0.01965,0.02215,0.02523,0.02881,0.03195,0.03479,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862
57,0.00345,0.00553,0.00729,0.00886,0.01055,0.01287,0.01574,0.01877,0.02151,0.02458,0.02811,0.03193,0.03479,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971
58,0.00372,0.00586,0.00781,0.00969,0.01182,0.01446,0.01746,0.02045,0.02309,0.02658,0.03054,0.03479,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552
59,0.00405,0.00625,0.00844,0.01069,0.0132,0.0161,0.01917,0.02203,0.02457,0.02846,0.03297,0.03799,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425
60,0.0045,0.00676,0.00916,0.01177,0.01466,0.01774,0.0208,0.02359,0.02602,0.03046,0.03569,0.04087,0.04484,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368
61,0.00503,0.00735,0.00994,0.01284,0.01606,0.01936,0.0224,0.02507,0.0275,0.03264,0.03845,0.0448,0.04881,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482
62,0.00564,0.00802,0.0108,0.01399,0.01752,0.02101,0.02412,0.02681,0.02938,0.03512,0.04118,0.04763,0.0528,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697
63,0.00602,0.00881,0.012,0.01552,0.01922,0.02289,0.02618,0.02912,0.03201,0.03811,0.04433,0.05097,0.05746,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993
64,0.00627,0.00965,0.01329,0.01713,0.02114,0.02502,0.0286,0.03194,0.03521,0.04159,0.04808,0.05518,0.06215,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344
65,0.00641,0.01045,0.01463,0.01895,0.02325,0.02741,0.03131,0.03501,0.03872,0.04549,0.05248,0.06028,0.06758,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727
66,0.00646,0.01161,0.01616,0.02068,0.02547,0.02975,0.03367,0.03751,0.04157,0.04871,0.05634,0.06498,0.07388,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727,0.2012
67,0.00681,0.01293,0.0178,0.02258,0.02793,0.03225,0.03623,0.04017,0.04449,0.05214,0.06058,0.07034,0.08104,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727,0.2012,0.21335
68,0.00781,0.01438,0.01964,0.02465,0.03,0.03509,0.03978,0.04421,0.04843,0.05681,0.06637,0.07733,0.08862,0.0971,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727,0.2012,0.21335,0.22555
69,0.00872,0.01598,0.02166,0.02689,0.03084,0.03833,0.04278,0.04679,0.05137,0.06054,0.07112,0.08279,0.09608,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727,0.2012,0.21335,0.22555,0.23799
70,0.00972,0.01776,0.02386,0.02932,0.03157,0.04154,0.04533,0.04932,0.05843,0.06871,0.0803,0.0935,0.10552,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727,0.2012,0.21335,0.22555,0.23799,0.25073
71,0.01241,0.01976,0.02628,0.03035,0.03611,0.04406,0.04749,0.0548,0.06335,0.07412,0.08689,0.10049,0.11425,0.12368,0.13482,0.14697,0.15993,0.17344,0.18727,0.2012,0.21335,0.22555,0.23799,0.25073,0.26485
72,0.01585,0.02196,0.02897,0.03485,0.04041,0.04587,0.0514,0.05715,0.06347,0.07467,0.08736,0.10126,0.11669,0.13375,0.14697,0.1591,0.17344,0.18727,0.2012,0.21335,0.22555,0.23799,0.25073,0.26485,0.2779
73,0.01838,0.02659,0.03333,0.0388,0.0434,0.04774,0.05231,0.06112,0.06497,0.07596,0.08906,0.10368,0.11993,0.1377,0.15677,0.17344,0.18623,0.2012,0.21147,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156
74,0.02153,0.02905,0.03606,0.04212,0.04691,0.05086,0.05906,0.06358,0.06794,0.08425,0.10098,0.10895,0.12608,0.14456,0.16407,0.18418,0.20037,0.21064,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586
75,0.02512,0.03056,0.03845,0.0462,0.05022,0.05723,0.06242,0.06769,0.08195,0.09966,0.10786,0.12503,0.14362,0.16332,0.18373,0.19779,0.20994,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083
76,0.0253,0.03341,0.04172,0.04972,0.05582,0.06188,0.06756,0.07971,0.09837,0.10733,0.12387,0.14318,0.16306,0.17938,0.19524,0.20925,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648
77,0.02553,0.03545,0.045,0.05427,0.06117,0.06742,0.07899,0.09708,0.10708,0.12328,0.13913,0.15894,0.17514,0.19272,0.20855,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285
78,0.02653,0.03733,0.0484,0.06025,0.06729,0.07807,0.09582,0.10683,0.12271,0.13553,0.15067,0.17099,0.19023,0.20786,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999
79,0.02793,0.03975,0.05295,0.06715,0.07686,0.09456,0.10658,0.12214,0.13376,0.1467,0.16694,0.18778,0.20717,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879
80,0.02937,0.04329,0.05867,0.07541,0.09333,0.10634,0.12157,0.13202,0.14503,0.16243,0.18318,0.20258,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663
81,0.03124,0.04786,0.06604,0.0856,0.10609,0.121,0.1303,0.14403,0.15987,0.17758,0.20191,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021
82,0.03385,0.05388,0.07525,0.09757,0.12044,0.12861,0.14304,0.159,0.17505,0.20123,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516
83,0.03808,0.0617,0.08613,0.11099,0.12693,0.14205,0.15814,0.17257,0.20056,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156
84,0.04452,0.07128,0.09833,0.12528,0.14108,0.15728,0.17011,0.19989,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949
85,0.05315,0.08244,0.11156,0.1401,0.15643,0.16769,0.19923,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905
86,0.06354,0.09514,0.12594,0.15559,0.1653,0.19857,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031
87,0.07534,0.10958,0.14203,0.16296,0.19791,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339
88,0.08888,0.12637,0.16064,0.19725,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838
89,0.10556,0.14631,0.1966,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541
90,0.12722,0.19595,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458
91,0.18301,0.22555,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603
92,0.22088,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988
93,0.23799,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627
94,0.25073,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536
95,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729
96,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1
97,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,
98,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,,
99,0.32083,0.33648,0.35285,0.36998,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,,,

