Table Name:,"2001 VBT Preferred Select and Ultimate - Male Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,Dates,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00046,0.00054,0.00058,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
1,,,,,,,,,,,,,,,,0.00044,0.00051,0.00057,0.00059,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
2,,,,,,,,,,,,,,,0.00042,0.00049,0.00055,0.00058,0.00059,0.0006,0.0006,0.0006,0.0006,0.0006,0.00062
3,,,,,,,,,,,,,,0.00041,0.00048,0.00053,0.00057,0.00059,0.0006,0.0006,0.0006,0.0006,0.0006,0.00061,0.00063
4,,,,,,,,,,,,,0.00041,0.00048,0.00053,0.00057,0.00059,0.0006,0.0006,0.0006,0.0006,0.0006,0.00061,0.00062,0.00062
5,,,,,,,,,,,,0.0004,0.00048,0.00053,0.00057,0.00059,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
6,,,,,,,,,,,0.0004,0.00048,0.00053,0.00057,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059
7,,,,,,,,,,0.0004,0.00048,0.00053,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058
8,,,,,,,,,0.00039,0.00048,0.00053,0.00057,0.00057,0.00057,0.00057,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058
9,,,,,,,,0.00039,0.00048,0.00053,0.00057,0.00057,0.00057,0.00057,0.00057,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059
10,,,,,,,0.00039,0.00047,0.00053,0.00056,0.00056,0.00056,0.00056,0.00056,0.00057,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006
11,,,,,,0.00039,0.00047,0.00053,0.00055,0.00055,0.00055,0.00055,0.00055,0.00056,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006,0.00061
12,,,,,0.00039,0.00047,0.00053,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006,0.00061,0.00064
13,,,,0.00039,0.00047,0.00053,0.00054,0.00054,0.00054,0.00054,0.00054,0.00055,0.00056,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006,0.00061,0.00064,0.00067
14,,,0.00039,0.00047,0.00053,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00055,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006,0.00061,0.00064,0.00067,0.00071
15,,0.00039,0.00047,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053,0.00055,0.00056,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006,0.00061,0.00064,0.00067,0.00071,0.00076
16,0.00039,0.00047,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053,0.00055,0.00057,0.00057,0.00058,0.00058,0.00058,0.00058,0.00059,0.0006,0.00061,0.00064,0.00067,0.00071,0.00076,0.00081
17,0.00047,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00053,0.00054,0.00055,0.00056,0.00056,0.00056,0.00056,0.00056,0.00059,0.0006,0.00061,0.00064,0.00067,0.00071,0.00076,0.00081,0.00088
18,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.00053,0.00053,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.0006,0.0006,0.00064,0.00067,0.00071,0.00076,0.00081,0.00088,0.00097
19,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.0005,0.0005,0.0005,0.00051,0.00051,0.00052,0.00054,0.00056,0.00057,0.0006,0.00064,0.00067,0.00071,0.00076,0.00081,0.00088,0.00097,0.00107
20,0.00046,0.00046,0.00046,0.00046,0.00046,0.00047,0.00047,0.00048,0.00048,0.00048,0.00048,0.00049,0.0005,0.00053,0.00057,0.0006,0.00063,0.00067,0.00071,0.00076,0.00081,0.00088,0.00097,0.00107,0.0012
21,0.00042,0.00042,0.00042,0.00042,0.00043,0.00043,0.00044,0.00044,0.00045,0.00046,0.00046,0.00048,0.0005,0.00054,0.00059,0.00063,0.00067,0.00071,0.00076,0.00081,0.00088,0.00097,0.00107,0.0012,0.00134
22,0.00039,0.00039,0.00039,0.00039,0.00041,0.00041,0.00041,0.00042,0.00042,0.00044,0.00046,0.00048,0.0005,0.00055,0.00061,0.00067,0.00071,0.00076,0.00081,0.00088,0.00097,0.00107,0.0012,0.00134,0.00147
23,0.00034,0.00034,0.00036,0.00037,0.00039,0.00039,0.0004,0.00041,0.00041,0.00043,0.00046,0.00048,0.00052,0.00057,0.00064,0.00071,0.00076,0.00081,0.00088,0.00097,0.00107,0.0012,0.00134,0.00147,0.00162
24,0.0003,0.00031,0.00034,0.00036,0.00038,0.00039,0.00039,0.00041,0.00042,0.00044,0.00047,0.0005,0.00054,0.0006,0.00068,0.00075,0.00081,0.00088,0.00097,0.00107,0.0012,0.00134,0.00147,0.00161,0.00169
25,0.00025,0.00028,0.00032,0.00036,0.00037,0.00039,0.0004,0.00041,0.00044,0.00046,0.00049,0.00053,0.00058,0.00064,0.00072,0.00081,0.00088,0.00097,0.00107,0.0012,0.00134,0.00147,0.00161,0.00169,0.00181
26,0.00022,0.00027,0.00032,0.00036,0.00038,0.00039,0.0004,0.00043,0.00045,0.00048,0.00052,0.00056,0.00062,0.00069,0.00078,0.00088,0.00097,0.00107,0.0012,0.00134,0.00147,0.00161,0.00169,0.00181,0.00196
27,0.00021,0.00027,0.00032,0.00037,0.00039,0.0004,0.00043,0.00045,0.00048,0.00052,0.00056,0.00061,0.00067,0.00076,0.00085,0.00097,0.00107,0.0012,0.00134,0.00147,0.0016,0.00169,0.00181,0.00196,0.00214
28,0.00021,0.00027,0.00033,0.00037,0.0004,0.00042,0.00044,0.00048,0.00051,0.00055,0.00061,0.00067,0.00074,0.00084,0.00094,0.00107,0.00119,0.00133,0.00147,0.00159,0.00169,0.00181,0.00196,0.00214,0.00241
29,0.0002,0.00027,0.00034,0.00038,0.00042,0.00044,0.00048,0.00051,0.00055,0.00061,0.00067,0.00074,0.00082,0.00091,0.00104,0.00118,0.00132,0.00147,0.00159,0.00169,0.00181,0.00196,0.00214,0.00241,0.0027
30,0.0002,0.00027,0.00033,0.00039,0.00043,0.00048,0.00051,0.00055,0.0006,0.00067,0.00073,0.0008,0.00088,0.00099,0.00113,0.00129,0.00143,0.00156,0.00169,0.00181,0.00196,0.00214,0.00239,0.0027,0.00304
31,0.00019,0.00027,0.00033,0.00039,0.00044,0.0005,0.00055,0.00059,0.00064,0.00069,0.00076,0.00085,0.00097,0.0011,0.00126,0.00141,0.00154,0.00167,0.00179,0.00193,0.00208,0.00236,0.00267,0.00304,0.00346
32,0.00018,0.00025,0.00033,0.00039,0.00045,0.0005,0.00056,0.00061,0.00066,0.00071,0.0008,0.00092,0.00107,0.00123,0.00139,0.00153,0.00166,0.00179,0.00193,0.00208,0.00234,0.00267,0.00301,0.00341,0.0039
33,0.00019,0.00027,0.00034,0.00041,0.00047,0.00053,0.0006,0.00064,0.00069,0.00075,0.00085,0.00099,0.00118,0.00134,0.0015,0.00164,0.00178,0.00193,0.00208,0.00231,0.00265,0.00297,0.00336,0.00382,0.00435
34,0.0002,0.00027,0.00036,0.00042,0.0005,0.00056,0.00063,0.00068,0.00074,0.00081,0.00094,0.0011,0.00128,0.00146,0.00162,0.00175,0.00193,0.00208,0.00231,0.00255,0.00291,0.00329,0.00375,0.00426,0.0048
35,0.00022,0.00029,0.00036,0.00044,0.00051,0.00059,0.00066,0.00073,0.00081,0.00091,0.00104,0.0012,0.00139,0.00157,0.00174,0.00189,0.00208,0.00231,0.00255,0.00284,0.00321,0.00364,0.00412,0.00465,0.00514
36,0.00022,0.0003,0.00038,0.00046,0.00054,0.00061,0.00069,0.0008,0.0009,0.00103,0.00116,0.00132,0.00151,0.0017,0.00188,0.00208,0.00231,0.00251,0.0028,0.00312,0.00355,0.00401,0.00451,0.00509,0.00547
37,0.00024,0.00031,0.00039,0.00047,0.00055,0.00064,0.00075,0.00088,0.00102,0.00114,0.00127,0.00142,0.00162,0.00184,0.00205,0.00231,0.00249,0.00276,0.00308,0.00345,0.0039,0.00438,0.00494,0.00545,0.00624
38,0.00026,0.00034,0.00043,0.0005,0.00058,0.00069,0.00083,0.00098,0.00113,0.00125,0.00138,0.00154,0.00174,0.00197,0.00222,0.00246,0.00274,0.00304,0.0034,0.0038,0.00427,0.00481,0.00541,0.00615,0.00715
39,0.00028,0.00038,0.00046,0.00054,0.00063,0.00076,0.00092,0.00108,0.00123,0.00136,0.00149,0.00167,0.00189,0.00214,0.00241,0.0027,0.003,0.00336,0.00375,0.00415,0.00469,0.00533,0.00607,0.00704,0.0082
40,0.0003,0.00041,0.0005,0.00058,0.00069,0.00085,0.00102,0.00119,0.00132,0.00146,0.00162,0.00183,0.00207,0.00234,0.00263,0.00295,0.00331,0.0037,0.00412,0.00454,0.00521,0.00593,0.00687,0.00794,0.00895
41,0.00032,0.00044,0.00055,0.00066,0.00078,0.00095,0.00113,0.00129,0.00144,0.0016,0.0018,0.00204,0.0023,0.00258,0.00292,0.00328,0.00365,0.00406,0.00454,0.00504,0.00581,0.0067,0.00771,0.00892,0.00981
42,0.00034,0.00049,0.00062,0.00074,0.00088,0.00105,0.00123,0.0014,0.00158,0.00177,0.002,0.00226,0.00255,0.00289,0.00328,0.00361,0.004,0.00447,0.00503,0.00565,0.00654,0.00751,0.00864,0.0098,0.01076
43,0.00036,0.00051,0.00067,0.0008,0.00095,0.00111,0.00131,0.0015,0.00171,0.00193,0.00219,0.00249,0.00286,0.00323,0.00361,0.00393,0.00441,0.00496,0.00562,0.00638,0.00732,0.00834,0.00945,0.01056,0.01181
44,0.00038,0.00055,0.0007,0.00084,0.00099,0.00118,0.00139,0.00163,0.00186,0.00211,0.00239,0.00279,0.00319,0.00357,0.00391,0.00433,0.00488,0.00554,0.00629,0.00713,0.00811,0.00917,0.01028,0.01149,0.01269
45,0.00042,0.00059,0.00074,0.00088,0.00106,0.00126,0.00151,0.00177,0.00204,0.0023,0.00265,0.00312,0.00352,0.00386,0.00425,0.0048,0.00545,0.00619,0.00697,0.00772,0.00871,0.00997,0.01109,0.01264,0.01407
46,0.00046,0.00062,0.00076,0.00092,0.00113,0.00138,0.00166,0.00196,0.00225,0.00257,0.00298,0.00345,0.00384,0.00418,0.00473,0.00538,0.00613,0.00694,0.0077,0.00852,0.00963,0.01076,0.0122,0.01406,0.01581
47,0.0005,0.00064,0.0008,0.00099,0.00123,0.0015,0.00182,0.00216,0.00249,0.00288,0.0033,0.00376,0.00414,0.00461,0.0053,0.00606,0.00688,0.00769,0.00851,0.00933,0.01047,0.01181,0.01358,0.01581,0.01813
48,0.00054,0.00069,0.00087,0.00108,0.00132,0.00162,0.00197,0.00235,0.00272,0.00319,0.0036,0.00406,0.00452,0.00515,0.00596,0.00683,0.00768,0.0085,0.00933,0.01013,0.01147,0.01315,0.01528,0.01787,0.02041
49,0.00057,0.00076,0.00096,0.00118,0.00144,0.00175,0.00212,0.00256,0.00295,0.00342,0.00389,0.00443,0.00505,0.00579,0.0067,0.00765,0.00849,0.00933,0.01009,0.01117,0.01277,0.01481,0.01726,0.02006,0.02266
50,0.00062,0.00083,0.00106,0.0013,0.00156,0.00188,0.0023,0.00275,0.00316,0.00364,0.00422,0.00494,0.00573,0.0066,0.00751,0.00848,0.00927,0.01002,0.01101,0.01245,0.01439,0.01673,0.01938,0.02231,0.02494
51,0.00069,0.00094,0.00119,0.00144,0.00171,0.00204,0.00246,0.00291,0.00339,0.00394,0.00468,0.00561,0.00654,0.00744,0.00825,0.00923,0.00995,0.01088,0.01228,0.01405,0.01632,0.01889,0.02171,0.02487,0.02772
52,0.00075,0.00104,0.00133,0.0016,0.00188,0.0022,0.00262,0.00312,0.00368,0.00438,0.00529,0.00638,0.00736,0.00799,0.00895,0.00989,0.01076,0.01212,0.01383,0.01594,0.01841,0.02114,0.02419,0.02771,0.03092
53,0.00078,0.00113,0.00145,0.00176,0.00206,0.0024,0.00286,0.00345,0.0041,0.00497,0.00603,0.0072,0.00792,0.00872,0.00967,0.01068,0.01198,0.01363,0.01548,0.01797,0.02059,0.02352,0.02691,0.03092,0.03484
54,0.00081,0.00121,0.00159,0.00192,0.00223,0.00263,0.00318,0.00389,0.00465,0.00566,0.00679,0.00773,0.00862,0.00957,0.01062,0.01187,0.01346,0.01528,0.01743,0.02008,0.02289,0.02614,0.02999,0.03463,0.03939
55,0.00083,0.0013,0.00172,0.00206,0.00241,0.0029,0.00358,0.0044,0.00525,0.00633,0.00724,0.00837,0.00946,0.01056,0.0118,0.01333,0.01508,0.01693,0.01945,0.02231,0.02541,0.02909,0.03354,0.03906,0.04475
56,0.00087,0.00139,0.00184,0.00223,0.00264,0.00324,0.00404,0.00496,0.00586,0.00673,0.00782,0.00911,0.01043,0.01173,0.01324,0.01505,0.0169,0.01879,0.02154,0.0247,0.02822,0.03248,0.03769,0.04433,0.05063
57,0.0009,0.00146,0.00197,0.00243,0.00294,0.00365,0.00454,0.00552,0.00644,0.0075,0.00876,0.01017,0.01157,0.01316,0.01503,0.01687,0.01877,0.0209,0.02383,0.02741,0.03146,0.03644,0.04252,0.05021,0.05739
58,0.00097,0.00156,0.00211,0.00267,0.00331,0.00412,0.00506,0.00604,0.00695,0.00815,0.00958,0.01128,0.01299,0.01483,0.01684,0.01875,0.02085,0.0231,0.0264,0.03053,0.03526,0.04105,0.04821,0.05698,0.06456
59,0.00106,0.00167,0.0023,0.00295,0.00372,0.00461,0.00559,0.00654,0.00742,0.00876,0.0104,0.01243,0.01463,0.01662,0.0187,0.02071,0.02301,0.02555,0.02936,0.03419,0.03967,0.04623,0.05475,0.06415,0.07234
60,0.00119,0.00181,0.0025,0.00327,0.00414,0.0051,0.00609,0.00703,0.0079,0.00942,0.01133,0.01361,0.01621,0.01845,0.02066,0.02285,0.02545,0.0283,0.03284,0.03842,0.04451,0.05255,0.06162,0.07182,0.08091
61,0.00134,0.00198,0.00272,0.00358,0.00456,0.00559,0.00659,0.0075,0.00839,0.01014,0.01227,0.01471,0.0174,0.02038,0.02279,0.02526,0.02827,0.03157,0.03686,0.04307,0.05046,0.05923,0.06912,0.08041,0.09077
62,0.00151,0.00217,0.00298,0.00392,0.00499,0.00609,0.00712,0.00806,0.009,0.01096,0.01323,0.01575,0.01857,0.02178,0.02519,0.02804,0.03155,0.03538,0.04127,0.04853,0.05697,0.06654,0.07747,0.09031,0.10184
63,0.00161,0.00239,0.00332,0.00436,0.0055,0.00666,0.00776,0.00879,0.00985,0.01195,0.01433,0.01699,0.02003,0.02359,0.02778,0.03128,0.03536,0.03957,0.0463,0.05488,0.06412,0.07475,0.08717,0.10143,0.11404
64,0.00169,0.00263,0.00369,0.00484,0.00608,0.00732,0.00852,0.00969,0.01089,0.0131,0.01563,0.01854,0.02192,0.02593,0.03072,0.03504,0.03951,0.04438,0.05154,0.06186,0.07213,0.0842,0.09802,0.11368,0.12726
65,0.00173,0.00286,0.00408,0.00538,0.00671,0.00806,0.00937,0.01067,0.01202,0.0144,0.01716,0.02041,0.02423,0.02883,0.03431,0.03913,0.04425,0.04974,0.05719,0.06969,0.0814,0.09483,0.11002,0.12701,0.14144
66,0.00176,0.00323,0.00457,0.00596,0.00748,0.00892,0.0103,0.01171,0.01325,0.01586,0.01895,0.0226,0.02699,0.03223,0.03825,0.04386,0.04919,0.05498,0.06369,0.07848,0.09153,0.10637,0.12289,0.14113,0.15631
67,0.00188,0.00364,0.00511,0.00662,0.00836,0.00986,0.01133,0.01285,0.01457,0.01748,0.02097,0.02516,0.03016,0.03591,0.04271,0.04876,0.05447,0.0606,0.07196,0.08836,0.10279,0.11887,0.13665,0.15604,0.1705
68,0.00218,0.0041,0.00572,0.00734,0.00915,0.01096,0.01273,0.0145,0.0163,0.01963,0.02365,0.02846,0.03399,0.04054,0.0478,0.05404,0.06018,0.06844,0.08119,0.0993,0.11497,0.13231,0.15123,0.17028,0.18549
69,0.00246,0.00461,0.00641,0.00815,0.00958,0.01222,0.01402,0.01575,0.01779,0.02158,0.02612,0.03137,0.03759,0.04449,0.05232,0.0599,0.06792,0.07739,0.09143,0.11117,0.1281,0.14652,0.16516,0.1853,0.20718
70,0.00277,0.00519,0.00716,0.00904,0.01,0.01355,0.01521,0.01705,0.02084,0.02529,0.03044,0.03653,0.0433,0.05097,0.05982,0.06756,0.0769,0.08734,0.10262,0.12397,0.14193,0.16008,0.17972,0.20704,0.22456
71,0.00358,0.00586,0.00802,0.00952,0.01168,0.01469,0.01634,0.02062,0.02328,0.0282,0.03401,0.0405,0.04785,0.05633,0.0667,0.07657,0.08687,0.09816,0.11468,0.13748,0.15521,0.17438,0.20696,0.22449,0.24288
72,0.00463,0.0066,0.00897,0.01113,0.01333,0.01564,0.01813,0.02089,0.02406,0.02941,0.03536,0.04214,0.04999,0.05957,0.07127,0.08632,0.09775,0.1108,0.12768,0.15048,0.16921,0.20687,0.22445,0.24286,0.25732
73,0.00543,0.0081,0.01049,0.01262,0.01462,0.01665,0.01894,0.02299,0.02544,0.031,0.0373,0.04461,0.05355,0.06445,0.07769,0.09362,0.11071,0.12617,0.14416,0.16665,0.20679,0.22442,0.2428,0.25732,0.27249
74,0.00643,0.00897,0.01153,0.01396,0.01614,0.01817,0.02195,0.02464,0.0275,0.03364,0.04054,0.04898,0.0593,0.07183,0.08693,0.105,0.1261,0.1425,0.16297,0.20671,0.22439,0.24276,0.25732,0.27249,0.28855
75,0.0076,0.00958,0.0125,0.0156,0.01764,0.02095,0.02385,0.02691,0.03359,0.04017,0.04864,0.0589,0.07137,0.08639,0.10437,0.1261,0.14245,0.16114,0.20663,0.22436,0.24272,0.25732,0.27249,0.28855,0.30555
76,0.00781,0.01068,0.01383,0.01711,0.01996,0.02304,0.02627,0.03238,0.0398,0.0483,0.0585,0.07091,0.08586,0.10374,0.125,0.14223,0.16087,0.20654,0.22433,0.24268,0.25732,0.27249,0.28855,0.30555,0.32354
77,0.00805,0.01156,0.01521,0.01903,0.02228,0.02566,0.03123,0.03879,0.04421,0.05618,0.06827,0.08285,0.10031,0.12107,0.14049,0.16064,0.20566,0.2243,0.24264,0.25732,0.27249,0.28855,0.30555,0.32354,0.34258
78,0.00855,0.01244,0.0167,0.02155,0.02507,0.03012,0.03783,0.04366,0.05596,0.0682,0.08275,0.10019,0.12094,0.14032,0.16043,0.20489,0.224,0.2426,0.25728,0.27249,0.28855,0.30555,0.32354,0.34258,0.36274
79,0.0092,0.01353,0.01865,0.02449,0.02908,0.03689,0.04313,0.05504,0.06136,0.07518,0.09156,0.11109,0.13317,0.1585,0.20423,0.22373,0.24231,0.25696,0.27245,0.28855,0.30555,0.32354,0.34258,0.36274,0.38406
80,0.00989,0.01506,0.0211,0.02806,0.03599,0.0426,0.05415,0.0607,0.07223,0.08841,0.1075,0.12911,0.15469,0.20366,0.2235,0.24205,0.25669,0.27216,0.28851,0.30555,0.32354,0.34258,0.36274,0.38406,0.40663
81,0.01077,0.01702,0.02426,0.03252,0.04213,0.05331,0.06006,0.07154,0.08468,0.10347,0.12455,0.15364,0.20316,0.2233,0.24184,0.25646,0.27191,0.28825,0.30552,0.32354,0.34258,0.36274,0.38406,0.40663,0.43021
82,0.01194,0.0196,0.02826,0.03823,0.04974,0.05945,0.07088,0.08402,0.09312,0.12436,0.15352,0.20272,0.22314,0.24165,0.25626,0.2717,0.28803,0.30529,0.32351,0.34258,0.36274,0.38406,0.40663,0.43021,0.45516
83,0.01376,0.02297,0.03339,0.04527,0.0589,0.07025,0.08339,0.09253,0.12391,0.15341,0.20231,0.22298,0.24149,0.25608,0.27152,0.28784,0.3051,0.32332,0.34255,0.36274,0.38406,0.40663,0.43021,0.45516,0.48156
84,0.01649,0.02744,0.03974,0.05372,0.06963,0.08279,0.09195,0.12336,0.15304,0.20195,0.22284,0.24134,0.25593,0.27136,0.28768,0.30494,0.32316,0.34241,0.36271,0.38406,0.40663,0.43021,0.45516,0.48156,0.50949
85,0.02038,0.03314,0.04747,0.06361,0.08219,0.0914,0.12284,0.15269,0.20069,0.22272,0.24121,0.2558,0.27122,0.28754,0.3048,0.32303,0.34228,0.36261,0.38405,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905
86,0.02548,0.0402,0.05674,0.07558,0.09087,0.12234,0.15221,0.1995,0.22227,0.24109,0.25567,0.2711,0.28742,0.30468,0.32291,0.34218,0.36253,0.384,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031
87,0.03177,0.04915,0.06858,0.09035,0.12188,0.15176,0.19846,0.22187,0.24066,0.25557,0.27099,0.2873,0.30457,0.32281,0.34208,0.36245,0.38395,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339
88,0.03979,0.06082,0.0838,0.12141,0.15134,0.19747,0.2215,0.24027,0.25517,0.27089,0.28721,0.30447,0.32272,0.342,0.36239,0.38391,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838
89,0.05081,0.07622,0.11674,0.15091,0.19662,0.22117,0.23992,0.2548,0.27053,0.28712,0.30438,0.32263,0.34193,0.36233,0.38388,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541
90,0.0664,0.11133,0.14753,0.19574,0.22086,0.23959,0.25447,0.27019,0.28679,0.30431,0.32256,0.34187,0.36229,0.38385,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458
91,0.10437,0.14363,0.19488,0.22056,0.2393,0.25417,0.26989,0.28649,0.30402,0.3225,0.34181,0.36224,0.38382,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603
92,0.13865,0.194,0.22026,0.23902,0.2539,0.26962,0.28622,0.30377,0.32226,0.34176,0.3622,0.3838,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988
93,0.1935,0.21996,0.23873,0.25364,0.26937,0.28598,0.30353,0.32205,0.34157,0.36217,0.38378,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627
94,0.21966,0.23844,0.25337,0.26912,0.28576,0.30332,0.32185,0.34141,0.36203,0.38376,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536
95,0.23815,0.2531,0.26888,0.28554,0.30312,0.32167,0.34125,0.36192,0.3837,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729
96,0.25283,0.26863,0.28532,0.30293,0.32151,0.34111,0.36181,0.38364,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1
97,0.26838,0.2851,0.30274,0.32135,0.34098,0.36171,0.38358,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,
98,0.28488,0.30255,0.32119,0.34086,0.36162,0.38353,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,,
