Table Name:,"2001 VBT Residual Standard Select and Ultimate - Female Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,Dates,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00039,0.00043,0.00048,0.00052,0.00056,0.00059,0.00062,0.00065,0.00069
1,,,,,,,,,,,,,,,,0.00038,0.00043,0.00047,0.00051,0.00056,0.00059,0.00062,0.00065,0.00068,0.00073
2,,,,,,,,,,,,,,,0.00036,0.00042,0.00046,0.00051,0.00053,0.00059,0.00062,0.00065,0.00068,0.00073,0.00078
3,,,,,,,,,,,,,,0.00036,0.0004,0.00044,0.00049,0.00053,0.00057,0.00061,0.00065,0.00068,0.00073,0.00078,0.00084
4,,,,,,,,,,,,,0.00036,0.0004,0.00044,0.00048,0.00052,0.00057,0.00061,0.00065,0.00068,0.00073,0.00078,0.00084,0.0009
5,,,,,,,,,,,,0.00035,0.00039,0.00043,0.00048,0.00052,0.00056,0.00061,0.00065,0.00068,0.00072,0.00078,0.00083,0.0009,0.00094
6,,,,,,,,,,,0.00035,0.00039,0.00043,0.00047,0.00051,0.00056,0.00059,0.00065,0.00068,0.00072,0.00077,0.00083,0.00089,0.00094,0.00099
7,,,,,,,,,,0.00035,0.00038,0.00042,0.00047,0.0005,0.00054,0.00059,0.00063,0.00068,0.00072,0.00077,0.00083,0.00089,0.00094,0.00099,0.00108
8,,,,,,,,,0.00034,0.00038,0.00042,0.00045,0.0005,0.00053,0.00058,0.00063,0.00067,0.00072,0.00076,0.00083,0.00089,0.00094,0.00099,0.00108,0.00116
9,,,,,,,,0.00034,0.00036,0.00041,0.00044,0.00048,0.00053,0.00057,0.00061,0.00067,0.00071,0.00076,0.00082,0.00089,0.00094,0.00099,0.00108,0.00116,0.00126
10,,,,,,,0.00032,0.00036,0.00039,0.00044,0.00047,0.00051,0.00057,0.0006,0.00066,0.00071,0.00075,0.00081,0.00089,0.00094,0.00099,0.00107,0.00116,0.00125,0.00138
11,,,,,,0.00031,0.00035,0.00039,0.00042,0.00046,0.0005,0.00054,0.0006,0.00064,0.0007,0.00075,0.00081,0.00087,0.00094,0.00099,0.00107,0.00115,0.00125,0.00137,0.0015
12,,,,,0.00031,0.00034,0.00037,0.00041,0.00044,0.00049,0.00053,0.00058,0.00063,0.00069,0.00073,0.00081,0.00087,0.00092,0.00099,0.00107,0.00115,0.00125,0.00137,0.0015,0.00162
13,,,,0.00031,0.00033,0.00036,0.00039,0.00043,0.00047,0.00051,0.00057,0.00062,0.00067,0.00073,0.00079,0.00087,0.00092,0.00099,0.00107,0.00115,0.00125,0.00137,0.0015,0.00161,0.00173
14,,,0.00031,0.00033,0.00035,0.00038,0.00042,0.00044,0.0005,0.00053,0.0006,0.00066,0.00072,0.00078,0.00085,0.00092,0.00099,0.00107,0.00115,0.00125,0.00137,0.00149,0.00161,0.00172,0.00184
15,,0.00031,0.00033,0.00035,0.00037,0.00041,0.00043,0.00047,0.00052,0.00057,0.00063,0.0007,0.00076,0.00083,0.00091,0.00099,0.00107,0.00115,0.00125,0.00137,0.00149,0.0016,0.00171,0.00184,0.00196
16,0.00031,0.00033,0.00035,0.00036,0.00039,0.00042,0.00045,0.0005,0.00056,0.00061,0.00067,0.00075,0.00082,0.0009,0.00099,0.00107,0.00115,0.00125,0.00137,0.00149,0.0016,0.00171,0.00184,0.00196,0.00209
17,0.00033,0.00034,0.00036,0.00037,0.00041,0.00043,0.00048,0.00054,0.0006,0.00065,0.00073,0.00081,0.00089,0.00098,0.00107,0.00115,0.00125,0.00137,0.00149,0.0016,0.00171,0.00184,0.00196,0.00209,0.00225
18,0.00033,0.00035,0.00036,0.00039,0.00042,0.00045,0.00051,0.00057,0.00064,0.0007,0.00079,0.00088,0.00097,0.00107,0.00115,0.00125,0.00137,0.00149,0.0016,0.00171,0.00184,0.00196,0.00209,0.00225,0.00243
19,0.00033,0.00035,0.00037,0.00041,0.00044,0.00049,0.00055,0.00061,0.00069,0.00075,0.00085,0.00095,0.00106,0.00115,0.00125,0.00137,0.00149,0.0016,0.00171,0.00184,0.00196,0.00209,0.00225,0.00243,0.00265
20,0.00031,0.00034,0.00037,0.00041,0.00046,0.00053,0.0006,0.00065,0.00074,0.00082,0.00092,0.00103,0.00114,0.00125,0.00135,0.00148,0.0016,0.00171,0.00183,0.00196,0.00209,0.00225,0.00243,0.00265,0.0029
21,0.00029,0.00033,0.00037,0.00043,0.00049,0.00056,0.00063,0.00071,0.00081,0.0009,0.001,0.00111,0.00121,0.00134,0.00145,0.00158,0.0017,0.00182,0.00195,0.00209,0.00225,0.00243,0.00265,0.0029,0.00319
22,0.00027,0.00032,0.00038,0.00044,0.00052,0.00059,0.00067,0.00077,0.00087,0.00098,0.00108,0.0012,0.0013,0.00143,0.00154,0.00167,0.00179,0.00194,0.00208,0.00225,0.00243,0.00265,0.0029,0.00319,0.00353
23,0.00026,0.00032,0.00038,0.00046,0.00054,0.00063,0.00072,0.00082,0.00093,0.00105,0.00116,0.00129,0.00139,0.00152,0.00165,0.00177,0.00192,0.00208,0.00225,0.00243,0.00265,0.0029,0.00319,0.00353,0.00397
24,0.00025,0.00033,0.0004,0.00048,0.00057,0.00067,0.00077,0.00088,0.001,0.00111,0.00124,0.00135,0.00147,0.0016,0.00173,0.00191,0.00208,0.00222,0.00243,0.00264,0.0029,0.00319,0.00353,0.00397,0.00449
25,0.00024,0.00033,0.00042,0.00051,0.00061,0.00071,0.00083,0.00093,0.00106,0.00118,0.00131,0.00141,0.00154,0.00168,0.00181,0.00202,0.00221,0.00238,0.00264,0.00289,0.00318,0.00353,0.00397,0.00449,0.00506
26,0.00025,0.00034,0.00044,0.00053,0.00064,0.00075,0.00087,0.00098,0.00111,0.00124,0.00136,0.00148,0.00163,0.00178,0.00194,0.00213,0.00236,0.0026,0.00289,0.00318,0.00353,0.00397,0.00449,0.00506,0.00568
27,0.00027,0.00036,0.00046,0.00056,0.00068,0.00079,0.0009,0.00102,0.00116,0.00128,0.00142,0.00156,0.00172,0.00189,0.00209,0.00232,0.00257,0.00287,0.00318,0.00353,0.00397,0.00449,0.00506,0.00568,0.00634
28,0.00029,0.00039,0.00049,0.0006,0.00071,0.00082,0.00094,0.00108,0.00121,0.00134,0.00149,0.00165,0.00184,0.00203,0.00227,0.00254,0.00284,0.00317,0.00353,0.00397,0.00449,0.00506,0.00568,0.00634,0.00706
29,0.00032,0.00043,0.00052,0.00063,0.00074,0.00086,0.00098,0.00112,0.00125,0.00141,0.00156,0.00176,0.00197,0.0022,0.00249,0.00279,0.00317,0.00353,0.00397,0.00449,0.00506,0.00568,0.00634,0.00706,0.00783
30,0.00036,0.00045,0.00055,0.00066,0.00078,0.0009,0.00102,0.00116,0.00131,0.00148,0.00167,0.00189,0.00214,0.00242,0.00275,0.00311,0.00353,0.00397,0.00449,0.00506,0.00568,0.00634,0.00706,0.00783,0.00865
31,0.00039,0.00048,0.00059,0.0007,0.00081,0.00095,0.00108,0.00123,0.0014,0.0016,0.00182,0.00207,0.00236,0.00269,0.00307,0.00349,0.00397,0.00449,0.00506,0.00568,0.00634,0.00706,0.00783,0.00865,0.00951
32,0.00042,0.00051,0.00061,0.00073,0.00085,0.001,0.00116,0.00132,0.00152,0.00175,0.00201,0.0023,0.00263,0.003,0.00345,0.00392,0.00447,0.00506,0.00568,0.00634,0.00706,0.00783,0.00865,0.00951,0.01042
33,0.00043,0.00052,0.00063,0.00076,0.00091,0.00107,0.00124,0.00145,0.00167,0.00194,0.00224,0.00258,0.00297,0.00338,0.00387,0.00442,0.00502,0.00568,0.00634,0.00706,0.00783,0.00865,0.00951,0.01042,0.01133
34,0.00043,0.00054,0.00066,0.00081,0.00097,0.00116,0.00136,0.0016,0.00187,0.00217,0.00251,0.0029,0.00334,0.00382,0.00436,0.00498,0.00565,0.00634,0.00706,0.00783,0.00865,0.00951,0.01042,0.01133,0.01228
35,0.00043,0.00056,0.0007,0.00087,0.00104,0.00126,0.00151,0.00178,0.00209,0.00243,0.00282,0.00325,0.00375,0.00427,0.00488,0.00556,0.0063,0.00706,0.00783,0.00865,0.00951,0.01042,0.01133,0.01228,0.01331
36,0.00045,0.00059,0.00074,0.00093,0.00114,0.00139,0.00167,0.00199,0.00233,0.00273,0.00316,0.00364,0.00417,0.00476,0.00542,0.00615,0.00695,0.00783,0.00865,0.00951,0.01042,0.01133,0.01228,0.01331,0.0144
37,0.00048,0.00063,0.0008,0.00101,0.00126,0.00155,0.00186,0.00222,0.00261,0.00305,0.00352,0.00406,0.00464,0.00528,0.00599,0.00679,0.00764,0.00859,0.00951,0.01042,0.01133,0.01228,0.01331,0.0144,0.01559
38,0.00052,0.00068,0.00088,0.00113,0.00141,0.00172,0.00208,0.00248,0.00291,0.0034,0.00392,0.00451,0.00515,0.00585,0.00661,0.00747,0.00838,0.00937,0.01041,0.01133,0.01228,0.01331,0.0144,0.01559,0.01684
39,0.00057,0.00076,0.00099,0.00127,0.00158,0.00193,0.00233,0.00277,0.00324,0.00378,0.00436,0.005,0.00569,0.00646,0.00728,0.00819,0.00917,0.01022,0.01132,0.01228,0.01331,0.0144,0.01559,0.01684,0.01812
40,0.00065,0.00087,0.00114,0.00144,0.00177,0.00217,0.0026,0.00308,0.00362,0.00421,0.00483,0.00553,0.00629,0.00712,0.00801,0.00898,0.01003,0.01114,0.01228,0.01331,0.0144,0.01559,0.01684,0.01812,0.01949
41,0.00074,0.001,0.00131,0.00164,0.00202,0.00245,0.00292,0.00345,0.00403,0.00468,0.00536,0.00612,0.00694,0.00783,0.0088,0.00984,0.01094,0.01211,0.01331,0.0144,0.01559,0.01684,0.01812,0.01949,0.02098
42,0.00086,0.00116,0.0015,0.00188,0.00231,0.00278,0.0033,0.00388,0.0045,0.00519,0.00594,0.00676,0.00764,0.0086,0.00965,0.01075,0.01192,0.01316,0.0144,0.01559,0.01684,0.01812,0.01949,0.02098,0.0226
43,0.001,0.00133,0.00172,0.00216,0.00264,0.00315,0.00372,0.00435,0.00502,0.00576,0.00658,0.00745,0.0084,0.00944,0.01056,0.01174,0.01298,0.01429,0.01559,0.01684,0.01812,0.01949,0.02098,0.0226,0.02439
44,0.00115,0.00154,0.00199,0.00248,0.003,0.00357,0.00419,0.00487,0.0056,0.0064,0.00726,0.0082,0.00923,0.01034,0.01152,0.01278,0.0141,0.01549,0.01684,0.01812,0.01949,0.02098,0.0226,0.02439,0.02636
45,0.00131,0.00177,0.00227,0.0028,0.00339,0.00402,0.00469,0.00542,0.00622,0.00707,0.00799,0.009,0.01009,0.01127,0.01253,0.01386,0.01527,0.01674,0.01812,0.01949,0.02098,0.0226,0.02439,0.02636,0.02853
46,0.00148,0.002,0.00256,0.00314,0.0038,0.00448,0.00521,0.00599,0.00685,0.00777,0.00875,0.00983,0.01098,0.01223,0.01358,0.01499,0.01648,0.01806,0.01949,0.02098,0.0226,0.02439,0.02636,0.02853,0.03099
47,0.00168,0.00225,0.00285,0.00351,0.0042,0.00495,0.00573,0.00658,0.0075,0.00849,0.00954,0.01069,0.01192,0.01325,0.01468,0.01619,0.01777,0.01945,0.02098,0.0226,0.02439,0.02636,0.02853,0.03099,0.03374
48,0.00182,0.00245,0.00316,0.00387,0.00461,0.00541,0.00625,0.00716,0.00815,0.00921,0.01034,0.01157,0.01289,0.01431,0.01585,0.01746,0.01915,0.02096,0.0226,0.02438,0.02631,0.02852,0.03099,0.03373,0.03671
49,0.00192,0.00267,0.00347,0.00421,0.005,0.00585,0.00675,0.00773,0.00879,0.00993,0.01114,0.01247,0.01389,0.01542,0.01708,0.01881,0.02065,0.02259,0.02437,0.0262,0.02839,0.0309,0.03365,0.03663,0.03984
50,0.00204,0.00301,0.0038,0.00456,0.00539,0.00628,0.00725,0.00829,0.00942,0.01065,0.01196,0.0134,0.01493,0.01659,0.01838,0.02026,0.02226,0.02436,0.02608,0.02818,0.0307,0.03344,0.0364,0.03962,0.04307
51,0.00217,0.00341,0.00417,0.00493,0.00579,0.00671,0.00774,0.00885,0.01007,0.01139,0.01281,0.01435,0.01603,0.01783,0.01978,0.02183,0.02401,0.02597,0.02796,0.03049,0.03322,0.03617,0.03934,0.04278,0.04645
52,0.00231,0.00376,0.00455,0.00531,0.00618,0.00715,0.00821,0.0094,0.01071,0.01215,0.01369,0.01537,0.01719,0.01916,0.0213,0.02354,0.02568,0.02774,0.03025,0.03301,0.03597,0.0391,0.0425,0.04616,0.05032
53,0.00248,0.00408,0.00494,0.0057,0.00658,0.00759,0.00873,0.00999,0.01139,0.01294,0.01463,0.01648,0.01847,0.02064,0.02298,0.0253,0.0275,0.03002,0.03278,0.03577,0.03895,0.04226,0.0459,0.05016,0.05443
54,0.00263,0.00442,0.00537,0.00612,0.00704,0.00808,0.0093,0.01063,0.01214,0.01382,0.01567,0.0177,0.01991,0.0223,0.02489,0.02724,0.02978,0.03255,0.03557,0.0388,0.04218,0.04577,0.05003,0.0544,0.05863
55,0.00284,0.00472,0.00578,0.00655,0.00749,0.00858,0.00985,0.01128,0.01292,0.01475,0.01677,0.019,0.02143,0.02408,0.02697,0.02951,0.03231,0.03535,0.03863,0.04209,0.04575,0.05001,0.05437,0.0586,0.06316
56,0.00302,0.00498,0.00617,0.00696,0.00794,0.00909,0.01044,0.01198,0.01375,0.01572,0.01792,0.02038,0.02307,0.02601,0.02922,0.03203,0.03511,0.03845,0.04199,0.04572,0.05,0.05434,0.05858,0.06316,0.06873
57,0.00308,0.00525,0.00656,0.0074,0.00845,0.00969,0.01114,0.01282,0.01472,0.01687,0.01926,0.02195,0.02491,0.02817,0.03173,0.03483,0.03822,0.04186,0.04569,0.04999,0.05431,0.05856,0.06316,0.06869,0.07524
58,0.00319,0.0055,0.00697,0.00788,0.009,0.01036,0.01193,0.01377,0.01584,0.0182,0.02082,0.02375,0.02702,0.0306,0.03454,0.03796,0.04168,0.04563,0.04997,0.05428,0.05854,0.06316,0.06864,0.07509,0.08201
59,0.00333,0.00571,0.00737,0.00835,0.00957,0.01107,0.0128,0.01482,0.0171,0.01971,0.0226,0.02582,0.02941,0.03334,0.03767,0.04147,0.04554,0.04994,0.05425,0.05852,0.06316,0.06859,0.07494,0.08181,0.08875
60,0.00342,0.00592,0.00773,0.0088,0.01015,0.0118,0.01372,0.01595,0.0185,0.0214,0.02459,0.02816,0.0321,0.03645,0.0412,0.04541,0.0499,0.0542,0.0585,0.06316,0.06854,0.0748,0.08161,0.0885,0.09494
61,0.00356,0.00612,0.00808,0.00922,0.0107,0.01252,0.01466,0.01714,0.02001,0.02323,0.0268,0.03076,0.03514,0.03996,0.0452,0.04982,0.05417,0.05848,0.06316,0.06849,0.07465,0.08141,0.08825,0.09464,0.10106
62,0.00383,0.00632,0.00839,0.0096,0.0112,0.01321,0.0156,0.01839,0.0216,0.02523,0.02924,0.03366,0.03856,0.0439,0.0497,0.05409,0.05847,0.06316,0.06844,0.0745,0.08121,0.08801,0.09434,0.10076,0.1074
63,0.0042,0.00723,0.00868,0.00995,0.01168,0.01389,0.01656,0.01969,0.0233,0.02739,0.03189,0.03686,0.04232,0.04827,0.05395,0.05839,0.06316,0.0684,0.07435,0.08101,0.08776,0.09405,0.10046,0.1071,0.11439
64,0.00463,0.00821,0.00898,0.0103,0.01218,0.01461,0.01757,0.02108,0.02513,0.02974,0.03479,0.04037,0.04647,0.05309,0.05819,0.06313,0.06839,0.0742,0.08081,0.08751,0.09375,0.10016,0.1068,0.11409,0.12169
65,0.00494,0.00857,0.0093,0.01068,0.0127,0.01535,0.01861,0.0225,0.027,0.03213,0.03775,0.04394,0.05067,0.05798,0.06302,0.06836,0.0741,0.08061,0.08726,0.09345,0.09986,0.1065,0.11379,0.12139,0.12871
66,0.00503,0.00898,0.00967,0.01111,0.01329,0.01617,0.01975,0.02401,0.02895,0.03454,0.04073,0.04752,0.0549,0.06288,0.06824,0.074,0.08041,0.08702,0.09315,0.09956,0.1062,0.1135,0.12109,0.12842,0.13577
67,0.00533,0.00941,0.01011,0.01166,0.01401,0.01717,0.02109,0.02575,0.03114,0.03722,0.04399,0.0514,0.05946,0.0681,0.07377,0.08,0.08677,0.09294,0.09926,0.1059,0.1132,0.12079,0.12812,0.13547,0.14328
68,0.0059,0.00987,0.01065,0.01235,0.01493,0.01838,0.02266,0.02774,0.03359,0.04019,0.04756,0.05559,0.06434,0.07353,0.07938,0.08599,0.09245,0.09915,0.1056,0.1129,0.12049,0.12782,0.13517,0.14284,0.15058
69,0.00651,0.01037,0.01129,0.01318,0.01606,0.01984,0.02451,0.03003,0.03637,0.04348,0.05144,0.06012,0.0695,0.0787,0.08485,0.09141,0.09821,0.10519,0.11214,0.11978,0.12731,0.13485,0.14239,0.15,0.15691
70,0.00721,0.01094,0.01205,0.0142,0.01741,0.02158,0.02668,0.03266,0.03949,0.04709,0.05563,0.06497,0.07499,0.08365,0.0901,0.09686,0.10388,0.11102,0.11841,0.12589,0.13387,0.14192,0.14942,0.15643,0.16573
71,0.00938,0.01156,0.01294,0.01542,0.01902,0.0236,0.02917,0.03563,0.04293,0.05101,0.06016,0.0701,0.08075,0.08873,0.09393,0.10232,0.1095,0.11681,0.1243,0.13183,0.14027,0.14884,0.15601,0.165,0.1784
72,0.0115,0.01226,0.01398,0.01687,0.02089,0.02594,0.03198,0.03892,0.0467,0.05524,0.06499,0.0755,0.08662,0.09301,0.09615,0.10772,0.11503,0.12247,0.13001,0.13754,0.14649,0.15553,0.16435,0.17688,0.19351
73,0.01218,0.01312,0.01524,0.01858,0.02306,0.02861,0.03513,0.04254,0.05078,0.05973,0.07004,0.08106,0.09199,0.09554,0.10249,0.113,0.12038,0.12786,0.13546,0.14298,0.15245,0.16362,0.17536,0.19146,0.20999
74,0.0129,0.01418,0.01677,0.02059,0.02556,0.0316,0.03859,0.04648,0.05512,0.06446,0.07522,0.08658,0.09495,0.10094,0.10846,0.11868,0.12629,0.13395,0.1416,0.15004,0.15956,0.17392,0.18858,0.2074,0.2264
75,0.01386,0.01563,0.01875,0.02313,0.02867,0.03529,0.04287,0.05132,0.06053,0.07036,0.08159,0.09187,0.09946,0.10709,0.11439,0.12525,0.13322,0.14108,0.14964,0.15911,0.171,0.18705,0.2046,0.22379,0.24476
76,0.01526,0.01758,0.0213,0.02632,0.03252,0.03983,0.04812,0.05728,0.06719,0.07759,0.08942,0.09796,0.1058,0.11364,0.12424,0.13245,0.14056,0.14922,0.15881,0.1706,0.18625,0.20353,0.2225,0.24312,0.26551
77,0.01717,0.02008,0.0244,0.03006,0.03697,0.04497,0.05396,0.06381,0.0743,0.08526,0.09653,0.1045,0.11288,0.1232,0.13173,0.14005,0.14875,0.15851,0.17036,0.18563,0.20284,0.22154,0.24195,0.2641,0.28799
78,0.0186,0.02323,0.02817,0.03446,0.04204,0.05075,0.06038,0.07084,0.08187,0.09333,0.10325,0.11215,0.1222,0.13095,0.13952,0.14833,0.15806,0.17012,0.18519,0.20197,0.2209,0.24113,0.26306,0.28671,0.31218
79,0.01942,0.02713,0.03268,0.03959,0.0478,0.05717,0.06736,0.07833,0.08984,0.10169,0.11142,0.1212,0.13029,0.13896,0.14792,0.15775,0.16972,0.18467,0.20121,0.21964,0.24054,0.26229,0.286,0.31135,0.33829
80,0.02107,0.0319,0.03799,0.04551,0.05429,0.06419,0.07485,0.08625,0.09815,0.11035,0.1202,0.12958,0.1385,0.14737,0.15738,0.16948,0.18406,0.20034,0.21838,0.2387,0.2619,0.28542,0.31088,0.3381,0.36802
81,0.02361,0.03758,0.04419,0.05221,0.06146,0.07175,0.08283,0.09459,0.10675,0.11919,0.12882,0.13799,0.14696,0.157,0.16907,0.18362,0.19939,0.21712,0.23686,0.25939,0.28502,0.31058,0.33791,0.36802,0.40134
82,0.02636,0.0435,0.05126,0.05966,0.06926,0.07989,0.09121,0.1032,0.11554,0.12811,0.13743,0.14655,0.1567,0.16884,0.183,0.19862,0.21585,0.23545,0.25744,0.28233,0.3101,0.33772,0.36802,0.40134,0.43542
83,0.02996,0.0503,0.05918,0.06781,0.07765,0.08851,0.09995,0.11203,0.12443,0.13699,0.14604,0.15633,0.1686,0.18256,0.19775,0.21508,0.23469,0.25675,0.28116,0.3082,0.33753,0.36802,0.40134,0.43542,0.47002
84,0.03555,0.05869,0.0671,0.07661,0.08657,0.09749,0.10896,0.12097,0.1333,0.14564,0.15592,0.16821,0.18204,0.19708,0.21452,0.23444,0.25675,0.28116,0.30786,0.33677,0.36802,0.40134,0.43542,0.47002,0.5052
85,0.04503,0.06636,0.07558,0.08599,0.0959,0.10754,0.11812,0.12991,0.14203,0.1556,0.1679,0.18146,0.19667,0.21406,0.23444,0.25675,0.28116,0.30786,0.33677,0.36802,0.40134,0.43542,0.47002,0.5052,0.54149
86,0.05358,0.07452,0.08539,0.09566,0.10666,0.11775,0.12726,0.13873,0.15191,0.16767,0.18097,0.19531,0.2125,0.23399,0.25675,0.28116,0.30786,0.33677,0.36802,0.40118,0.43525,0.47002,0.5052,0.54149,0.57784
87,0.06293,0.08482,0.0954,0.10642,0.11743,0.12696,0.13622,0.14869,0.16384,0.1805,0.19458,0.20972,0.22885,0.25329,0.27874,0.30555,0.33416,0.36483,0.39795,0.43189,0.46713,0.5033,0.54052,0.57784,0.61295
88,0.07813,0.09521,0.10617,0.1171,0.1267,0.13601,0.14644,0.16074,0.17661,0.19379,0.2086,0.22476,0.24588,0.27158,0.29868,0.32729,0.35738,0.38947,0.42318,0.4585,0.49541,0.5339,0.57395,0.61295,0.64651
89,0.09312,0.1059,0.11677,0.12638,0.13583,0.14626,0.15866,0.17362,0.18982,0.20743,0.22309,0.24037,0.26619,0.2905,0.31853,0.34831,0.38017,0.41373,0.449,0.48596,0.52458,0.56484,0.60674,0.64651,0.68104
90,0.10565,0.11639,0.12612,0.13554,0.14604,0.15843,0.17229,0.18681,0.20338,0.22146,0.23804,0.25922,0.28676,0.30968,0.33898,0.37044,0.40372,0.43878,0.47564,0.51425,0.55462,0.5967,0.64049,0.68094,0.72372
91,0.11605,0.12586,0.13537,0.14585,0.15816,0.17194,0.18639,0.2004,0.21722,0.23588,0.25464,0.27896,0.30268,0.32961,0.36051,0.39331,0.42802,0.46461,0.50307,0.54339,0.58553,0.62947,0.67519,0.72263,0.76443
92,0.1256,0.13514,0.14566,0.15796,0.17157,0.18592,0.1999,0.21436,0.2314,0.25051,0.27166,0.29451,0.32047,0.35061,0.38277,0.41693,0.45309,0.49123,0.53132,0.57336,0.61731,0.66314,0.71082,0.76029,0.80687
93,0.13492,0.14548,0.15768,0.17119,0.18542,0.1994,0.2137,0.22856,0.24588,0.26532,0.2869,0.31185,0.34102,0.37232,0.40575,0.44128,0.47891,0.51862,0.56037,0.60417,0.64996,0.69771,0.74737,0.79889,0.8518
94,0.14523,0.15748,0.17082,0.185,0.19894,0.21316,0.22779,0.24294,0.26065,0.28035,0.30405,0.33204,0.36227,0.39474,0.42945,0.46636,0.50548,0.54678,0.59022,0.63579,0.68345,0.73314,0.78483,0.83844,0.89387
95,0.1572,0.1703,0.18451,0.19849,0.21267,0.22715,0.24208,0.25755,0.27554,0.29743,0.32399,0.35293,0.38422,0.41787,0.45386,0.49218,0.5328,0.57571,0.62086,0.66824,0.71779,0.76946,0.82319,0.87889,0.93776
96,0.16963,0.1836,0.19795,0.21208,0.22641,0.2414,0.2567,0.27238,0.29237,0.31725,0.34463,0.37451,0.40687,0.44171,0.479,0.51873,0.56087,0.6054,0.65229,0.70149,0.75296,0.80663,0.86241,0.92323,1
97,0.18235,0.19678,0.21149,0.22567,0.24057,0.25607,0.27148,0.28925,0.31219,0.33777,0.36598,0.3968,0.43023,0.46625,0.50485,0.546,0.58968,0.63586,0.6845,0.73555,0.78895,0.84463,0.90792,1,
98,0.19524,0.21002,0.22502,0.23975,0.25532,0.27118,0.28852,0.30925,0.33274,0.359,0.38802,0.41978,0.45428,0.4915,0.53141,0.574,0.61923,0.66707,0.71748,0.77039,0.82575,0.89208,1,,
99,0.20907,0.2241,0.23938,0.25491,0.27074,0.28852,0.30893,0.33106,0.35599,0.38372,0.41423,0.4475,0.48351,0.52224,0.56366,0.60773,0.65442,0.70367,0.75542,0.80958,0.87599,1,,,

