Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Preferred Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00017,0.00018,0.00028,0.00034,0.00037,0.00041,0.00048,0.00057,0.00069,0.00079,0.00085,0.00091,0.00099,0.00113,0.00127,0.00144,0.0016,0.00175,0.00193,0.00215,0.00244,0.00277,0.00311,0.00346,0.00378
34,0.00017,0.0002,0.00031,0.00035,0.00039,0.00046,0.00053,0.00063,0.00074,0.00083,0.00088,0.00094,0.00106,0.00121,0.00136,0.00153,0.0017,0.00187,0.00207,0.00232,0.00265,0.00301,0.00338,0.00372,0.00403
35,0.00017,0.0002,0.00033,0.00038,0.00044,0.0005,0.00056,0.00069,0.00079,0.00086,0.00092,0.00101,0.00115,0.0013,0.00146,0.00163,0.00182,0.002,0.00223,0.00252,0.00289,0.00328,0.00366,0.00399,0.00431
36,0.00018,0.00022,0.00035,0.00042,0.00048,0.00055,0.00063,0.00075,0.00083,0.0009,0.00099,0.0011,0.00125,0.00141,0.00157,0.00175,0.00194,0.00215,0.00242,0.00276,0.00317,0.00358,0.00396,0.0043,0.00467
37,0.00018,0.00023,0.00038,0.00046,0.00054,0.00059,0.0007,0.0008,0.00087,0.00097,0.00108,0.00121,0.00136,0.00152,0.00169,0.00188,0.00209,0.00232,0.00264,0.00305,0.00349,0.00391,0.00429,0.00466,0.00512
38,0.00018,0.00026,0.00041,0.00049,0.00057,0.00065,0.00076,0.00084,0.00094,0.00106,0.00119,0.00132,0.00148,0.00165,0.00183,0.00203,0.00226,0.00255,0.00294,0.00339,0.00386,0.00428,0.00466,0.00511,0.00564
39,0.00018,0.0003,0.00045,0.00054,0.00062,0.00072,0.00081,0.00091,0.00102,0.00117,0.00131,0.00145,0.00162,0.0018,0.00199,0.00221,0.00249,0.00284,0.00329,0.00378,0.00425,0.00465,0.00511,0.0056,0.0063
40,0.00019,0.00035,0.0005,0.00059,0.00068,0.00078,0.00087,0.00098,0.00112,0.00128,0.00143,0.00158,0.00177,0.00198,0.00218,0.00244,0.00277,0.0032,0.0037,0.0042,0.00465,0.0051,0.00556,0.0062,0.007
41,0.00022,0.0004,0.00054,0.00064,0.00073,0.00084,0.00093,0.00105,0.00122,0.0014,0.00156,0.00172,0.00194,0.00217,0.00241,0.00271,0.00312,0.00361,0.00415,0.00464,0.0051,0.00554,0.0061,0.00691,0.00773
42,0.00026,0.00045,0.00058,0.00068,0.00079,0.00089,0.00099,0.00114,0.00133,0.00151,0.00168,0.00187,0.00213,0.00239,0.00267,0.00304,0.00353,0.00408,0.00462,0.00509,0.00553,0.00603,0.00671,0.00755,0.0085
43,0.0003,0.0005,0.00061,0.00074,0.00085,0.00093,0.00105,0.00123,0.00144,0.00163,0.00181,0.00204,0.00233,0.00263,0.00296,0.00341,0.00398,0.00456,0.00508,0.00552,0.00598,0.0066,0.0074,0.00835,0.00938
44,0.00035,0.00052,0.00066,0.00081,0.0009,0.00099,0.00114,0.00134,0.00155,0.00175,0.00196,0.00223,0.00257,0.00291,0.0033,0.00382,0.00444,0.00503,0.00551,0.00595,0.0065,0.00727,0.00821,0.00925,0.01038
45,0.00041,0.00056,0.00072,0.00088,0.00096,0.00107,0.00125,0.00147,0.00167,0.00188,0.00214,0.00246,0.00283,0.00321,0.00366,0.00425,0.00491,0.00549,0.00595,0.00648,0.00711,0.00809,0.00918,0.01033,0.01155
46,0.00046,0.00058,0.00077,0.00095,0.00103,0.00118,0.00139,0.00161,0.00181,0.00205,0.00235,0.00271,0.00311,0.00353,0.00404,0.00468,0.00537,0.00592,0.00646,0.00705,0.00785,0.00906,0.01025,0.0115,0.01294
47,0.00052,0.00061,0.00084,0.00102,0.00114,0.00132,0.00156,0.00176,0.00196,0.00226,0.00262,0.003,0.00341,0.00387,0.00444,0.00513,0.00585,0.00644,0.007,0.0077,0.00875,0.01018,0.01147,0.0129,0.01451
48,0.00056,0.00064,0.00091,0.00111,0.00126,0.0015,0.00173,0.00192,0.00215,0.00251,0.00291,0.00331,0.00374,0.00423,0.00486,0.00561,0.00636,0.00699,0.00765,0.00853,0.00982,0.01144,0.01287,0.01448,0.01634
49,0.00059,0.00069,0.00099,0.0012,0.00142,0.00168,0.0019,0.00209,0.00238,0.00281,0.00324,0.00362,0.00405,0.00459,0.00528,0.00609,0.00688,0.00757,0.00838,0.00947,0.01103,0.01282,0.01445,0.01628,0.01843
50,0.00059,0.00077,0.00109,0.00132,0.00159,0.00186,0.00205,0.00227,0.00265,0.00314,0.00357,0.00393,0.00438,0.00499,0.00576,0.00663,0.00746,0.00825,0.00923,0.01056,0.01236,0.01425,0.01616,0.01841,0.02092
51,0.0006,0.00087,0.0012,0.00145,0.00176,0.002,0.00219,0.00247,0.00295,0.0035,0.00391,0.00433,0.00476,0.00546,0.00631,0.00724,0.00813,0.00903,0.01023,0.0118,0.01374,0.01577,0.018,0.02062,0.02358
52,0.0006,0.00099,0.00133,0.00161,0.00193,0.00212,0.00233,0.00271,0.00329,0.00387,0.00427,0.00473,0.00524,0.00606,0.00701,0.00799,0.00895,0.01001,0.01146,0.01327,0.01539,0.01756,0.02004,0.02304,0.02647
53,0.00061,0.00112,0.00148,0.00181,0.00209,0.00226,0.00253,0.00299,0.00366,0.00426,0.0047,0.00518,0.00583,0.0068,0.00783,0.00892,0.01001,0.01141,0.0129,0.0149,0.01719,0.01965,0.02248,0.02586,0.02969
54,0.00061,0.00124,0.00165,0.00205,0.00225,0.00245,0.00278,0.00334,0.00406,0.00467,0.00513,0.00571,0.00663,0.00775,0.00889,0.01,0.01135,0.01281,0.01469,0.01688,0.01934,0.02235,0.02578,0.02959,0.03357
55,0.00062,0.00132,0.00184,0.00221,0.00241,0.00261,0.00304,0.00377,0.00451,0.00513,0.0057,0.00649,0.00762,0.00887,0.01,0.0113,0.01272,0.01451,0.01672,0.01924,0.022,0.0255,0.0293,0.03347,0.03825
56,0.00071,0.00137,0.00203,0.00238,0.00258,0.00289,0.00345,0.00425,0.005,0.00566,0.00641,0.00745,0.00872,0.00997,0.01125,0.01268,0.01443,0.01657,0.01914,0.02194,0.02524,0.02912,0.03341,0.03825,0.04317
57,0.00086,0.00142,0.00222,0.00256,0.00283,0.0032,0.00395,0.00479,0.00553,0.0063,0.00725,0.00851,0.00994,0.01122,0.01256,0.0143,0.01643,0.01888,0.02173,0.02495,0.02858,0.03288,0.03803,0.04317,0.04891
58,0.00106,0.00147,0.00238,0.00278,0.00311,0.00363,0.0045,0.00535,0.00611,0.00704,0.00822,0.0097,0.01116,0.01254,0.01417,0.01617,0.01874,0.0216,0.02482,0.0284,0.03283,0.03786,0.04317,0.04891,0.05534
59,0.0013,0.00157,0.00251,0.00301,0.00336,0.00413,0.00507,0.0059,0.00675,0.00788,0.0093,0.01085,0.01247,0.01414,0.01595,0.01833,0.02136,0.02458,0.02807,0.03205,0.03698,0.04269,0.04891,0.05534,0.06284
60,0.00153,0.00172,0.00261,0.00311,0.00369,0.00464,0.0056,0.00645,0.00745,0.00882,0.01047,0.01222,0.01395,0.01571,0.01786,0.02075,0.02424,0.02793,0.03199,0.03683,0.04253,0.04891,0.05534,0.06284,0.07154
61,0.0017,0.00193,0.00273,0.00324,0.00408,0.00514,0.0061,0.00702,0.00821,0.00981,0.01162,0.01345,0.01531,0.01737,0.02002,0.02343,0.02741,0.03159,0.03628,0.04177,0.04821,0.05534,0.06284,0.07154,0.08165
62,0.0018,0.00221,0.00289,0.00346,0.00451,0.00562,0.00659,0.00763,0.00905,0.01085,0.01276,0.01469,0.01674,0.01921,0.0224,0.02635,0.03087,0.03578,0.04153,0.04799,0.05534,0.06284,0.07154,0.08165,0.09338
63,0.00187,0.00255,0.00314,0.00383,0.00501,0.00611,0.00711,0.00833,0.00997,0.01195,0.01398,0.01606,0.0184,0.02135,0.02509,0.02959,0.0347,0.04025,0.0468,0.0541,0.06284,0.07154,0.08165,0.09338,0.10686
64,0.00193,0.00287,0.00348,0.00431,0.00558,0.00664,0.00771,0.00913,0.011,0.01315,0.01525,0.01745,0.02017,0.0236,0.02784,0.03308,0.03925,0.04627,0.05402,0.06284,0.07154,0.08165,0.09338,0.10686,0.12214
65,0.00201,0.00324,0.00392,0.00487,0.00624,0.00725,0.00845,0.01008,0.01217,0.01453,0.01676,0.01918,0.02231,0.02622,0.03099,0.03703,0.04426,0.05217,0.06153,0.07154,0.08165,0.09338,0.10686,0.12214,0.13873
66,0.00211,0.0036,0.00443,0.0055,0.00698,0.00798,0.00933,0.01118,0.01352,0.01616,0.01862,0.0213,0.02487,0.02929,0.0346,0.04207,0.05138,0.06109,0.07154,0.08165,0.09338,0.10686,0.12214,0.13873,0.15644
67,0.00223,0.00392,0.00499,0.00622,0.00784,0.00886,0.01037,0.01246,0.01511,0.01815,0.02104,0.02416,0.02827,0.03329,0.03922,0.04764,0.05865,0.06965,0.08165,0.09338,0.10686,0.12214,0.13873,0.15644,0.17471
68,0.0024,0.00423,0.00559,0.00703,0.00855,0.00989,0.01158,0.01396,0.01704,0.02063,0.02406,0.02809,0.03244,0.03812,0.04472,0.05468,0.06736,0.07989,0.09338,0.10686,0.12214,0.13873,0.15644,0.17471,0.193
69,0.00261,0.00457,0.00626,0.00794,0.00958,0.01104,0.01294,0.01568,0.01967,0.02364,0.02791,0.03242,0.03776,0.04458,0.05226,0.06348,0.07735,0.09151,0.10686,0.12214,0.13873,0.15644,0.17471,0.193,0.21113
70,0.00281,0.00484,0.00687,0.0088,0.01049,0.01205,0.01429,0.01814,0.02205,0.02673,0.03225,0.03741,0.04444,0.05219,0.06282,0.07475,0.09104,0.10686,0.12214,0.13873,0.15644,0.17471,0.193,0.21113,0.22817
71,0.00301,0.00507,0.00746,0.00965,0.01129,0.01321,0.0163,0.02028,0.02462,0.03006,0.03706,0.04444,0.05191,0.06215,0.0713,0.08629,0.10436,0.12214,0.13873,0.15644,0.17471,0.193,0.21113,0.22817,0.2434
72,0.00324,0.00532,0.0081,0.01057,0.01232,0.01504,0.01837,0.02258,0.02793,0.035,0.04371,0.05164,0.06149,0.07106,0.08192,0.09921,0.11959,0.13873,0.15644,0.17471,0.193,0.21113,0.22817,0.2434,0.26243
73,0.00352,0.00568,0.00887,0.01168,0.01412,0.01709,0.02081,0.02552,0.03241,0.04072,0.05136,0.0614,0.07099,0.08182,0.09853,0.11912,0.13873,0.15644,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269
74,0.00391,0.00625,0.00994,0.0132,0.01601,0.01952,0.02401,0.02958,0.03765,0.04775,0.06111,0.07092,0.08172,0.09584,0.11474,0.13698,0.15644,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471
75,0.00429,0.00692,0.01114,0.01492,0.01824,0.0225,0.02778,0.03431,0.04412,0.05572,0.07086,0.08163,0.09487,0.11346,0.13422,0.15644,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328
76,0.00467,0.00752,0.01235,0.01695,0.02098,0.02598,0.03216,0.04012,0.05142,0.06445,0.08099,0.09401,0.11274,0.13338,0.15644,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209
77,0.00485,0.00782,0.01297,0.01822,0.0231,0.02867,0.03589,0.04674,0.05951,0.07361,0.093,0.11141,0.13283,0.15644,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447
78,0.00508,0.00821,0.01381,0.01981,0.02518,0.03227,0.04033,0.05413,0.06809,0.08401,0.10898,0.13084,0.15487,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968
79,0.00527,0.00856,0.01466,0.0213,0.02757,0.03534,0.0451,0.05991,0.07558,0.09581,0.12531,0.1509,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866
80,0.00546,0.00895,0.01556,0.02311,0.02995,0.0383,0.04995,0.06558,0.08388,0.10915,0.14504,0.17471,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965
81,0.00592,0.00977,0.01752,0.02623,0.034,0.04368,0.0577,0.07472,0.09871,0.1293,0.16553,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936
82,0.00651,0.0109,0.02,0.03021,0.03928,0.05012,0.06736,0.09004,0.11816,0.15853,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743
83,0.00749,0.0127,0.02384,0.03599,0.04724,0.06065,0.0822,0.11161,0.15051,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332
84,0.00882,0.01542,0.02989,0.04545,0.05978,0.07823,0.10569,0.14783,0.193,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061
85,0.01044,0.01861,0.03681,0.05606,0.07503,0.09984,0.13644,0.17546,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939
86,0.0126,0.02291,0.04636,0.07139,0.09725,0.13103,0.17081,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972
87,0.01511,0.02815,0.05813,0.09135,0.12582,0.16638,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217
88,0.01764,0.03399,0.07164,0.11444,0.15907,0.21113,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542
89,0.02027,0.03979,0.08651,0.1404,0.19457,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096
90,0.02329,0.04657,0.10383,0.17243,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843
91,0.02941,0.07282,0.15705,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794
92,0.04192,0.10964,0.22817,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958
93,0.06234,0.15943,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348
94,0.09184,0.18672,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977
95,0.13112,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977,0.94856

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Preferred, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00141,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0015,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00159,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00168,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00177,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00189,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00195,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00203,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00223,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0026,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00284,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0031,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00336,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00359,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00382,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00406,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00433,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00467,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00513,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00569,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00634,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00705,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00783,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00865,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00955,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01053,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01165,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01297,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01454,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0164,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01859,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02107,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02385,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02691,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03027,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03399,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03825,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04317,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04891,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05534,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06284,,,,,,,,,,,,,,,,,,,,,,,,
84,0.07154,,,,,,,,,,,,,,,,,,,,,,,,
