Table Name:,"2001 VBT Residual Standard Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00037,0.00042,0.00046,0.00051,0.00054,0.00058,0.00061,0.00063,0.00068
1,,,,,,,,,,,,,,,,0.00036,0.00041,0.00045,0.0005,0.00054,0.00058,0.00061,0.00063,0.00067,0.0007
2,,,,,,,,,,,,,,,0.00035,0.00041,0.00045,0.0005,0.00052,0.00058,0.00061,0.00063,0.00067,0.0007,0.00076
3,,,,,,,,,,,,,,0.00035,0.00038,0.00043,0.00047,0.00052,0.00055,0.0006,0.00063,0.00067,0.0007,0.00076,0.00081
4,,,,,,,,,,,,,0.00035,0.00038,0.00043,0.00046,0.00051,0.00055,0.0006,0.00063,0.00067,0.0007,0.00076,0.00081,0.00087
5,,,,,,,,,,,,0.00034,0.00037,0.00042,0.00046,0.00051,0.00054,0.0006,0.00063,0.00067,0.0007,0.00076,0.00081,0.00087,0.00094
6,,,,,,,,,,,0.00034,0.00037,0.00042,0.00045,0.0005,0.00054,0.00058,0.00063,0.00067,0.0007,0.00074,0.00081,0.00086,0.00093,0.00095
7,,,,,,,,,,0.00034,0.00036,0.00041,0.00045,0.00049,0.00053,0.00058,0.00061,0.00067,0.0007,0.00074,0.00081,0.00086,0.00093,0.00095,0.00104
8,,,,,,,,,0.00033,0.00036,0.00041,0.00044,0.00049,0.00052,0.00056,0.00061,0.00065,0.0007,0.00074,0.00081,0.00086,0.00093,0.00095,0.00104,0.00112
9,,,,,,,,0.00033,0.00035,0.0004,0.00044,0.00046,0.00052,0.00055,0.0006,0.00065,0.0007,0.00074,0.00079,0.00086,0.00093,0.00095,0.00104,0.00112,0.00121
10,,,,,,,0.0003,0.00035,0.00038,0.00043,0.00045,0.0005,0.00055,0.00059,0.00063,0.00069,0.00073,0.00079,0.00086,0.00093,0.00095,0.00104,0.00112,0.00121,0.00132
11,,,,,,0.00029,0.00034,0.00038,0.00041,0.00045,0.00049,0.00053,0.00059,0.00062,0.00069,0.00073,0.00078,0.00084,0.00093,0.00095,0.00104,0.00111,0.0012,0.0013,0.00144
12,,,,,0.00029,0.00033,0.00037,0.0004,0.00044,0.00047,0.00052,0.00056,0.00062,0.00067,0.00071,0.00078,0.00084,0.0009,0.00095,0.00104,0.00111,0.0012,0.0013,0.00144,0.00156
13,,,,0.00029,0.00033,0.00035,0.00038,0.00043,0.00045,0.00051,0.00055,0.0006,0.00065,0.00071,0.00076,0.00084,0.0009,0.00095,0.00104,0.00111,0.0012,0.0013,0.00144,0.00156,0.00169
14,,,0.00029,0.00033,0.00034,0.00037,0.00041,0.00044,0.00049,0.00052,0.00059,0.00064,0.0007,0.00076,0.00082,0.0009,0.00095,0.00104,0.00111,0.0012,0.0013,0.00144,0.00156,0.00167,0.00178
15,,0.00029,0.00033,0.00034,0.00037,0.0004,0.00043,0.00045,0.00051,0.00055,0.00062,0.00068,0.00074,0.0008,0.00088,0.00095,0.00104,0.00111,0.0012,0.0013,0.00144,0.00155,0.00166,0.00177,0.00191
16,0.00029,0.00033,0.00034,0.00036,0.00038,0.00042,0.00044,0.00049,0.00054,0.00059,0.00064,0.00072,0.00079,0.00087,0.00095,0.00104,0.00111,0.0012,0.0013,0.00144,0.00155,0.00166,0.00177,0.00191,0.00202
17,0.00033,0.00034,0.00036,0.00037,0.0004,0.00043,0.00047,0.00052,0.00058,0.00063,0.0007,0.00078,0.00086,0.00094,0.00104,0.00111,0.0012,0.0013,0.00144,0.00155,0.00166,0.00177,0.00191,0.00202,0.00216
18,0.00033,0.00035,0.00036,0.00038,0.00042,0.00044,0.0005,0.00056,0.00062,0.00068,0.00076,0.00085,0.00093,0.00103,0.00111,0.0012,0.0013,0.00144,0.00155,0.00166,0.00177,0.00191,0.00202,0.00216,0.00234
19,0.00033,0.00035,0.00037,0.00041,0.00043,0.00047,0.00053,0.00059,0.00067,0.00072,0.00082,0.00091,0.00102,0.00111,0.0012,0.0013,0.00144,0.00155,0.00166,0.00177,0.00191,0.00202,0.00216,0.00234,0.00253
20,0.00032,0.00034,0.00037,0.00041,0.00045,0.00052,0.00058,0.00063,0.00071,0.00079,0.00089,0.001,0.00111,0.0012,0.0013,0.00144,0.00155,0.00166,0.00177,0.00191,0.00202,0.00216,0.00234,0.00253,0.00277
21,0.00029,0.00033,0.00037,0.00042,0.00047,0.00054,0.00062,0.00068,0.00078,0.00086,0.00096,0.00107,0.00117,0.0013,0.00141,0.00153,0.00165,0.00177,0.0019,0.00202,0.00216,0.00234,0.00253,0.00277,0.00304
22,0.00028,0.00032,0.00038,0.00044,0.00051,0.00058,0.00065,0.00074,0.00085,0.00095,0.00105,0.00116,0.00126,0.00139,0.0015,0.00163,0.00175,0.00188,0.00201,0.00216,0.00234,0.00253,0.00277,0.00304,0.00334
23,0.00026,0.00032,0.00037,0.00045,0.00053,0.00061,0.0007,0.0008,0.0009,0.00102,0.00112,0.00125,0.00135,0.00148,0.00159,0.00172,0.00184,0.002,0.00216,0.00234,0.00253,0.00277,0.00304,0.00334,0.00372
24,0.00025,0.00033,0.0004,0.00047,0.00055,0.00065,0.00074,0.00085,0.00097,0.00108,0.00121,0.00133,0.00144,0.00157,0.00171,0.00183,0.002,0.00216,0.00234,0.00253,0.00277,0.00304,0.00334,0.00372,0.00422
25,0.00024,0.00033,0.00041,0.0005,0.0006,0.00069,0.00081,0.00091,0.00104,0.00115,0.00128,0.00138,0.0015,0.00164,0.00176,0.002,0.00216,0.00228,0.00252,0.00276,0.00303,0.00334,0.00372,0.00422,0.00477
26,0.00024,0.00033,0.00043,0.00052,0.00062,0.00073,0.00086,0.00096,0.00108,0.00122,0.00134,0.00144,0.00159,0.00173,0.00187,0.00205,0.00227,0.00248,0.00276,0.00303,0.00334,0.00372,0.00422,0.00477,0.00536
27,0.00026,0.00035,0.00045,0.00054,0.00067,0.00078,0.00088,0.001,0.00114,0.00126,0.00139,0.00152,0.00167,0.00184,0.00201,0.00222,0.00246,0.00273,0.00303,0.00334,0.00372,0.00422,0.00477,0.00536,0.006
28,0.00028,0.00037,0.00047,0.00059,0.00069,0.0008,0.00093,0.00105,0.00119,0.00131,0.00146,0.00161,0.00178,0.00195,0.00217,0.00243,0.00269,0.00301,0.00334,0.00372,0.00422,0.00477,0.00536,0.006,0.00669
29,0.0003,0.00042,0.00051,0.00061,0.00073,0.00085,0.00096,0.00111,0.00123,0.00138,0.00152,0.0017,0.0019,0.00211,0.00237,0.00265,0.003,0.00334,0.00372,0.00422,0.00477,0.00536,0.006,0.00669,0.00744
30,0.00034,0.00044,0.00053,0.00065,0.00076,0.00088,0.001,0.00113,0.00128,0.00144,0.00161,0.00182,0.00204,0.0023,0.00261,0.00293,0.00334,0.00372,0.00422,0.00477,0.00536,0.006,0.00669,0.00744,0.00823
31,0.00038,0.00047,0.00058,0.00068,0.0008,0.00093,0.00105,0.0012,0.00134,0.00153,0.00173,0.00196,0.00225,0.00255,0.0029,0.0033,0.00372,0.00422,0.00477,0.00536,0.006,0.00669,0.00744,0.00823,0.00907
32,0.00041,0.0005,0.0006,0.00072,0.00082,0.00097,0.00112,0.00126,0.00146,0.00167,0.00191,0.00218,0.00248,0.00283,0.00325,0.00369,0.00422,0.00477,0.00536,0.006,0.00669,0.00744,0.00823,0.00907,0.00995
33,0.00043,0.00052,0.00062,0.00074,0.00089,0.00104,0.0012,0.00138,0.00158,0.00184,0.00212,0.00243,0.00279,0.00318,0.00365,0.00416,0.00473,0.00536,0.006,0.00669,0.00744,0.00823,0.00907,0.00995,0.01089
34,0.00043,0.00053,0.00065,0.00079,0.00094,0.00111,0.00129,0.00152,0.00176,0.00204,0.00236,0.00273,0.00315,0.00359,0.0041,0.00468,0.00532,0.006,0.00669,0.00744,0.00823,0.00907,0.00995,0.01089,0.01178
35,0.00043,0.00055,0.00068,0.00084,0.001,0.00121,0.00143,0.00169,0.00198,0.0023,0.00266,0.00308,0.00354,0.00405,0.00462,0.00528,0.00599,0.00669,0.00744,0.00823,0.00907,0.00995,0.01089,0.01178,0.01278
36,0.00044,0.00058,0.00072,0.0009,0.00109,0.00132,0.00159,0.00188,0.0022,0.00257,0.00298,0.00343,0.00396,0.0045,0.00515,0.00585,0.00662,0.00744,0.00823,0.00907,0.00995,0.01089,0.01178,0.01278,0.01385
37,0.00046,0.00061,0.00077,0.00097,0.0012,0.00147,0.00176,0.0021,0.00246,0.00289,0.00334,0.00385,0.00439,0.00502,0.0057,0.00646,0.00729,0.00823,0.00907,0.00995,0.01089,0.01178,0.01278,0.01385,0.01496
38,0.0005,0.00065,0.00084,0.00106,0.00133,0.00163,0.00196,0.00234,0.00277,0.00321,0.00371,0.00427,0.00489,0.00555,0.00629,0.00712,0.008,0.00896,0.00995,0.01089,0.01178,0.01278,0.01385,0.01496,0.01622
39,0.00054,0.00072,0.00093,0.0012,0.00149,0.00182,0.0022,0.00262,0.00306,0.00359,0.00414,0.00475,0.00541,0.00615,0.00693,0.00782,0.00876,0.00978,0.01087,0.01178,0.01278,0.01385,0.01496,0.01622,0.01747
40,0.00061,0.00081,0.00106,0.00135,0.00167,0.00204,0.00246,0.00292,0.00343,0.00398,0.00458,0.00525,0.00598,0.00678,0.00763,0.00857,0.00959,0.01067,0.01178,0.01278,0.01385,0.01496,0.01622,0.01747,0.01878
41,0.0007,0.00093,0.00122,0.00153,0.00188,0.0023,0.00274,0.00325,0.00381,0.00444,0.00509,0.00582,0.00661,0.00746,0.0084,0.0094,0.01048,0.01161,0.01278,0.01385,0.01496,0.01622,0.01747,0.01878,0.02022
42,0.00079,0.00108,0.0014,0.00176,0.00216,0.0026,0.0031,0.00365,0.00425,0.00492,0.00563,0.00643,0.00728,0.0082,0.00921,0.01028,0.01141,0.01261,0.01385,0.01496,0.01622,0.01747,0.01878,0.02022,0.02175
43,0.00093,0.00124,0.0016,0.00201,0.00247,0.00296,0.0035,0.00411,0.00475,0.00546,0.00625,0.00709,0.00801,0.00901,0.01009,0.01123,0.01244,0.01372,0.01496,0.01622,0.01747,0.01878,0.02022,0.02175,0.02346
44,0.00107,0.00143,0.00185,0.00232,0.00281,0.00335,0.00394,0.00459,0.0053,0.00607,0.00691,0.00781,0.0088,0.00988,0.01103,0.01225,0.01352,0.01487,0.01622,0.01747,0.01878,0.02022,0.02175,0.02346,0.02535
45,0.00123,0.00166,0.00213,0.00264,0.00319,0.0038,0.00444,0.00515,0.00591,0.00674,0.00762,0.0086,0.00966,0.0108,0.01201,0.01331,0.01468,0.01611,0.01747,0.01878,0.02022,0.02175,0.02346,0.02535,0.0274
46,0.00139,0.00188,0.00242,0.00297,0.00359,0.00424,0.00495,0.0057,0.00653,0.00741,0.00837,0.00941,0.01053,0.01174,0.01305,0.01441,0.01586,0.01739,0.01878,0.02022,0.02175,0.02346,0.02535,0.0274,0.02969
47,0.00158,0.00212,0.0027,0.00332,0.00401,0.00472,0.00547,0.00629,0.00718,0.00814,0.00914,0.01026,0.01144,0.01273,0.01412,0.01557,0.01712,0.01874,0.02022,0.02175,0.02346,0.02535,0.0274,0.02969,0.03232
48,0.00178,0.00238,0.00301,0.0037,0.0044,0.00518,0.00599,0.00688,0.00783,0.00885,0.00995,0.01112,0.0124,0.01377,0.01525,0.01682,0.01844,0.02018,0.02175,0.02346,0.02535,0.0274,0.02969,0.03232,0.0352
49,0.00187,0.00252,0.00332,0.00405,0.00482,0.00564,0.00651,0.00745,0.00848,0.00957,0.01074,0.01202,0.01338,0.01486,0.01645,0.01812,0.01988,0.02175,0.02346,0.02532,0.0273,0.02968,0.03232,0.03519,0.03828
50,0.00198,0.00282,0.00362,0.00438,0.00519,0.00606,0.007,0.00801,0.0091,0.01029,0.01155,0.01293,0.0144,0.01599,0.01772,0.01951,0.02143,0.02345,0.0253,0.0271,0.02951,0.03215,0.03502,0.03812,0.04147
51,0.00211,0.00321,0.00398,0.00474,0.0056,0.0065,0.00751,0.00858,0.00975,0.01101,0.01238,0.01387,0.01547,0.0172,0.01906,0.02103,0.0231,0.02529,0.02689,0.02929,0.03192,0.03478,0.03784,0.04118,0.04474
52,0.00223,0.00361,0.00436,0.00512,0.00598,0.00693,0.00797,0.00912,0.01039,0.01177,0.01324,0.01484,0.01659,0.01847,0.02051,0.02265,0.02494,0.02667,0.02906,0.03172,0.03457,0.0376,0.0409,0.04445,0.04825
53,0.0024,0.00392,0.00474,0.0055,0.00638,0.00737,0.00846,0.00968,0.01104,0.01254,0.01414,0.0159,0.01781,0.01986,0.0221,0.02446,0.02643,0.02884,0.03147,0.03435,0.03743,0.04065,0.04417,0.04795,0.05249
54,0.00256,0.00424,0.00515,0.0059,0.00679,0.00782,0.00901,0.0103,0.01175,0.01335,0.01512,0.01706,0.01915,0.02144,0.02389,0.02617,0.0286,0.03124,0.03414,0.03725,0.04053,0.04393,0.04771,0.05248,0.05647
55,0.00271,0.0046,0.0056,0.00635,0.00729,0.00835,0.00959,0.01097,0.01254,0.0143,0.01623,0.01836,0.02068,0.02318,0.02591,0.02833,0.03099,0.0339,0.03706,0.04042,0.04389,0.0477,0.05246,0.05643,0.06091
56,0.00297,0.00485,0.00597,0.00675,0.0077,0.00881,0.01012,0.0116,0.01331,0.0152,0.01731,0.01965,0.0222,0.02501,0.02805,0.03072,0.03367,0.03686,0.04027,0.04384,0.0477,0.05244,0.05639,0.06091,0.06556
57,0.00307,0.00511,0.00637,0.00717,0.00818,0.00937,0.01077,0.01237,0.0142,0.01625,0.01854,0.02112,0.02395,0.02704,0.03042,0.03338,0.03661,0.04011,0.04379,0.04769,0.05242,0.05635,0.06091,0.06556,0.07213
58,0.0031,0.00539,0.00676,0.00763,0.00872,0.01001,0.01151,0.01327,0.01525,0.0175,0.01999,0.02279,0.0259,0.02933,0.03308,0.03633,0.0399,0.04368,0.04768,0.0524,0.05631,0.06091,0.06556,0.07203,0.07859
59,0.00328,0.00561,0.00718,0.00813,0.00928,0.01071,0.01235,0.01427,0.01643,0.01891,0.02167,0.02474,0.02816,0.0319,0.03604,0.03965,0.04353,0.04767,0.05237,0.05627,0.06091,0.06556,0.07193,0.07839,0.08572
60,0.00339,0.00581,0.00756,0.00858,0.00986,0.01143,0.01326,0.01537,0.01778,0.02052,0.02355,0.02693,0.0307,0.03482,0.03936,0.04337,0.04764,0.05232,0.05623,0.06091,0.06556,0.07183,0.07819,0.08552,0.09206
61,0.00346,0.00603,0.00791,0.00902,0.01044,0.01217,0.01419,0.01653,0.01924,0.02229,0.02566,0.02942,0.03355,0.03813,0.04312,0.04754,0.05227,0.05619,0.06091,0.06556,0.07173,0.07799,0.08532,0.09176,0.09812
62,0.00366,0.00622,0.00825,0.00942,0.01096,0.01288,0.01513,0.01776,0.02079,0.0242,0.02798,0.03215,0.03679,0.04186,0.04738,0.05222,0.05617,0.06091,0.06556,0.07163,0.07779,0.08512,0.09146,0.09782,0.10431
63,0.00401,0.00642,0.00853,0.00978,0.01144,0.01355,0.01607,0.01903,0.02242,0.02628,0.03053,0.03522,0.04039,0.04602,0.05213,0.05607,0.06091,0.06556,0.07153,0.07759,0.08492,0.09116,0.09752,0.10401,0.11084
64,0.00439,0.00805,0.00884,0.01013,0.01193,0.01424,0.01705,0.02037,0.0242,0.02852,0.03329,0.03857,0.04434,0.05063,0.05588,0.06084,0.06556,0.07143,0.07739,0.08472,0.09086,0.09722,0.10371,0.11054,0.11839
65,0.00488,0.00837,0.00913,0.01048,0.01244,0.01498,0.01809,0.0218,0.02609,0.031,0.03634,0.04225,0.04869,0.05568,0.06064,0.06556,0.07142,0.07719,0.08452,0.09056,0.09692,0.10341,0.11024,0.11809,0.12543
66,0.00501,0.00877,0.00948,0.01088,0.01297,0.01572,0.01914,0.02321,0.02794,0.03329,0.03921,0.0457,0.05276,0.06042,0.06556,0.07135,0.07699,0.08432,0.09026,0.09662,0.10311,0.10994,0.11779,0.12513,0.13247
67,0.00506,0.00919,0.00986,0.01135,0.01361,0.01662,0.02037,0.02483,0.02999,0.03583,0.04232,0.04942,0.05716,0.06549,0.0711,0.07686,0.08412,0.08996,0.09632,0.10281,0.10964,0.11749,0.12483,0.13217,0.13957
68,0.00561,0.00963,0.01036,0.01197,0.01442,0.01772,0.02182,0.02669,0.03232,0.03866,0.04573,0.05348,0.0619,0.07089,0.07664,0.0834,0.08966,0.09621,0.10251,0.10934,0.11719,0.12453,0.13187,0.13927,0.1476
69,0.0062,0.01011,0.01095,0.01273,0.01545,0.01905,0.02352,0.02881,0.03491,0.04178,0.04947,0.05782,0.06694,0.07637,0.08234,0.08881,0.09552,0.10241,0.10904,0.11689,0.12423,0.13157,0.13897,0.14698,0.15407
70,0.00682,0.01064,0.01164,0.01364,0.01667,0.02064,0.02553,0.03128,0.03789,0.04526,0.05351,0.06256,0.07225,0.08122,0.08759,0.09426,0.10119,0.10829,0.11562,0.12305,0.13083,0.13863,0.14636,0.15354,0.16027
71,0.0076,0.01124,0.01246,0.01476,0.01816,0.02253,0.02786,0.03408,0.04115,0.04901,0.05787,0.06755,0.07794,0.0863,0.09285,0.09973,0.10687,0.11408,0.12157,0.12912,0.13736,0.14574,0.15301,0.15984,0.17224
72,0.01118,0.01188,0.01342,0.01609,0.01989,0.0247,0.03051,0.03724,0.04478,0.05311,0.06259,0.07283,0.0838,0.09138,0.09513,0.1052,0.11244,0.1199,0.12741,0.13494,0.14364,0.15247,0.15956,0.17115,0.18585
73,0.01183,0.01265,0.01455,0.01766,0.02191,0.02721,0.0335,0.04067,0.04871,0.05748,0.06755,0.07838,0.08969,0.09481,0.09727,0.11054,0.11794,0.12539,0.13299,0.14054,0.14981,0.15913,0.17006,0.1838,0.20291
74,0.01253,0.01359,0.01594,0.01951,0.02424,0.03005,0.03681,0.04449,0.05296,0.06212,0.07271,0.08396,0.09451,0.09635,0.10827,0.11577,0.12315,0.13069,0.13831,0.14582,0.15556,0.16897,0.18175,0.20085,0.21888
75,0.01327,0.01478,0.01762,0.02169,0.02692,0.0332,0.04044,0.04856,0.05741,0.06695,0.07793,0.08945,0.09543,0.10601,0.10868,0.12198,0.12988,0.13769,0.14542,0.15499,0.1643,0.17988,0.19692,0.2156,0.23603
76,0.01445,0.01649,0.01991,0.02461,0.03047,0.03746,0.04541,0.05423,0.06383,0.07401,0.08555,0.09452,0.10392,0.10829,0.1208,0.12897,0.13706,0.14502,0.15457,0.16398,0.17902,0.1958,0.21416,0.23424,0.25619
77,0.01608,0.01869,0.02271,0.02807,0.03464,0.04229,0.05096,0.06051,0.07077,0.08146,0.09365,0.10175,0.10789,0.11964,0.12816,0.13644,0.14462,0.15414,0.16383,0.17851,0.19505,0.21314,0.23311,0.25471,0.27805
78,0.01828,0.0215,0.02613,0.03211,0.03938,0.04776,0.05712,0.06732,0.0781,0.0894,0.0997,0.10757,0.11847,0.12724,0.13582,0.14422,0.15357,0.16367,0.17817,0.1943,0.21252,0.23222,0.25348,0.2767,0.30175
79,0.01893,0.02499,0.03027,0.03688,0.0448,0.05388,0.06384,0.07462,0.08595,0.09765,0.1072,0.11729,0.12643,0.13521,0.14381,0.15313,0.16336,0.17783,0.19374,0.2115,0.23154,0.25274,0.27589,0.30056,0.32711
80,0.01992,0.02932,0.03516,0.0424,0.05094,0.06065,0.07111,0.08233,0.09409,0.10617,0.11614,0.12563,0.13471,0.14329,0.15271,0.16321,0.17732,0.19299,0.21047,0.22997,0.25225,0.27508,0.29997,0.32678,0.35491
81,0.02224,0.03455,0.04093,0.04875,0.05781,0.06795,0.07888,0.09052,0.10264,0.11502,0.12479,0.13409,0.14289,0.15214,0.16289,0.17697,0.19225,0.20945,0.2284,0.25004,0.27481,0.29968,0.32646,0.35491,0.38835
82,0.02502,0.04072,0.04759,0.05585,0.06534,0.07583,0.08711,0.09906,0.11133,0.1239,0.13343,0.14249,0.15171,0.16274,0.17646,0.19169,0.20822,0.22683,0.24782,0.27185,0.29909,0.32614,0.35491,0.38835,0.42259
83,0.02774,0.0464,0.05512,0.0637,0.07345,0.08429,0.09571,0.10779,0.12028,0.13291,0.14205,0.15129,0.16258,0.17612,0.19094,0.20719,0.22548,0.24659,0.27023,0.29672,0.32581,0.35491,0.38835,0.42259,0.45763
84,0.03225,0.05438,0.06347,0.0722,0.08218,0.09312,0.10464,0.11678,0.12915,0.1417,0.1507,0.16227,0.17578,0.19038,0.20617,0.22503,0.24659,0.27023,0.29613,0.32452,0.35491,0.38835,0.42259,0.45763,0.49287
85,0.03896,0.06324,0.07097,0.08137,0.09135,0.1023,0.11378,0.12571,0.13806,0.15024,0.16206,0.1753,0.18963,0.20535,0.22503,0.24659,0.27023,0.29613,0.32452,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951
86,0.05134,0.06969,0.08054,0.09102,0.1009,0.11338,0.12302,0.13471,0.14663,0.1619,0.17486,0.18894,0.20535,0.22503,0.24659,0.27023,0.29613,0.32452,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951,0.56695
87,0.05594,0.07971,0.09066,0.10077,0.11307,0.12267,0.13209,0.14338,0.15809,0.17456,0.18837,0.20317,0.22149,0.24556,0.27023,0.29613,0.32452,0.35491,0.38835,0.42216,0.45717,0.49287,0.52951,0.56695,0.603
88,0.07033,0.09038,0.10061,0.11271,0.12235,0.13185,0.14098,0.15489,0.17068,0.1877,0.20223,0.21794,0.2383,0.26353,0.2904,0.31894,0.34843,0.38022,0.41365,0.44874,0.48548,0.52387,0.56392,0.603,0.638
89,0.08651,0.10052,0.11235,0.12204,0.13166,0.14081,0.15279,0.16766,0.18375,0.20129,0.21658,0.23349,0.25583,0.2825,0.31035,0.33955,0.37111,0.4044,0.43943,0.47621,0.51472,0.55496,0.59695,0.638,0.67
90,0.10036,0.11189,0.12174,0.13133,0.14063,0.1526,0.16559,0.18078,0.19726,0.21512,0.2314,0.24935,0.2801,0.30165,0.33039,0.36157,0.39457,0.4294,0.46607,0.50456,0.54489,0.58704,0.63103,0.67,0.7145
91,0.11153,0.12145,0.13111,0.14039,0.15234,0.16532,0.18031,0.19417,0.211,0.22954,0.24667,0.27237,0.296,0.32118,0.3518,0.38434,0.41882,0.45522,0.49355,0.53381,0.57599,0.6201,0.66614,0.7141,0.756
92,0.12114,0.13089,0.14027,0.15221,0.16503,0.17988,0.19381,0.20812,0.2251,0.2441,0.26522,0.28801,0.31216,0.34204,0.37395,0.40789,0.44386,0.48186,0.52188,0.56394,0.60803,0.65414,0.70229,0.75246,0.799
93,0.13067,0.14004,0.15194,0.16474,0.1794,0.19329,0.20746,0.22224,0.23952,0.25898,0.28043,0.30363,0.33256,0.36364,0.39685,0.4322,0.46969,0.50931,0.55107,0.59497,0.641,0.68917,0.73947,0.79191,0.846
94,0.1398,0.15181,0.16445,0.17892,0.19276,0.20697,0.22158,0.23668,0.25425,0.27387,0.29588,0.32366,0.35369,0.38597,0.4205,0.45727,0.4963,0.53758,0.5811,0.62688,0.6749,0.72517,0.77769,0.83246,0.88948
95,0.15155,0.16416,0.17844,0.19241,0.20659,0.22096,0.23576,0.25115,0.26923,0.28927,0.31566,0.34442,0.37554,0.40903,0.44489,0.48312,0.52371,0.56667,0.61199,0.65968,0.70974,0.76216,0.81695,0.87411,0.93363
96,0.16387,0.17764,0.19189,0.20602,0.22034,0.23509,0.25036,0.26609,0.28417,0.30892,0.33616,0.3659,0.39812,0.43283,0.47003,0.50972,0.5519,0.59657,0.64373,0.69338,0.74551,0.80014,0.85725,0.91685,1
97,0.17652,0.19084,0.20545,0.21972,0.23419,0.24964,0.26515,0.28096,0.30382,0.3293,0.35739,0.3881,0.42142,0.45736,0.49592,0.5371,0.58089,0.6273,0.67632,0.72796,0.78222,0.83909,0.89858,1,
98,0.18944,0.20411,0.21909,0.23329,0.24891,0.26463,0.28009,0.30078,0.32422,0.3504,0.37934,0.41102,0.44545,0.48263,0.52256,0.56524,0.61066,0.65884,0.70976,0.76343,0.81986,0.87903,1,,
99,0.2024,0.21744,0.23262,0.24818,0.26385,0.28009,0.30024,0.32136,0.34536,0.37224,0.40201,0.43466,0.4702,0.50863,0.54994,0.59414,0.64123,0.6912,0.74406,0.7998,0.85843,1,,,

