Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Super Preferred Female ALB,,,,,,,,,,,,,,,,,,,,,,,,
26,9E-05,0.00013,0.00014,0.00016,0.00018,0.0002,0.00023,0.00027,0.00031,0.00035,0.00039,0.00044,0.00052,0.00058,0.00062,0.00065,0.00069,0.00075,0.00082,0.00088,0.00094,0.00098,0.00104,0.00112,0.00121
27,8E-05,0.00012,0.00014,0.00016,0.00018,0.00021,0.00024,0.00029,0.00033,0.00038,0.00043,0.00049,0.00056,0.00061,0.00064,0.00067,0.00071,0.00078,0.00085,0.00092,0.00098,0.00104,0.00112,0.00121,0.00132
28,7E-05,0.00012,0.00014,0.00016,0.00018,0.00021,0.00026,0.00031,0.00036,0.00041,0.00047,0.00053,0.0006,0.00063,0.00066,0.00069,0.00074,0.00081,0.00089,0.00097,0.00104,0.00112,0.00121,0.00132,0.00148
29,7E-05,0.00013,0.00015,0.00016,0.00019,0.00023,0.00028,0.00033,0.00039,0.00044,0.0005,0.00056,0.00062,0.00065,0.00068,0.00072,0.00079,0.00087,0.00095,0.00103,0.00112,0.00121,0.00132,0.00148,0.00165
30,7E-05,0.00013,0.00015,0.00017,0.0002,0.00025,0.0003,0.00036,0.00042,0.00047,0.00052,0.00058,0.00064,0.00067,0.00071,0.00076,0.00085,0.00094,0.00102,0.0011,0.00121,0.00132,0.00148,0.00165,0.00184
31,7E-05,0.00013,0.00016,0.00018,0.00022,0.00027,0.00033,0.00039,0.00044,0.00049,0.00054,0.0006,0.00066,0.0007,0.00076,0.00083,0.00092,0.001,0.00109,0.00119,0.00132,0.00148,0.00165,0.00184,0.00203
32,8E-05,0.00014,0.00017,0.0002,0.00025,0.0003,0.00036,0.00041,0.00045,0.0005,0.00055,0.00062,0.00069,0.00075,0.00082,0.0009,0.00099,0.00108,0.00118,0.00131,0.00148,0.00165,0.00184,0.00203,0.00221
33,8E-05,0.00015,0.00019,0.00023,0.00029,0.00033,0.00039,0.00044,0.00047,0.00051,0.00057,0.00064,0.00073,0.00081,0.00089,0.00097,0.00107,0.00117,0.00129,0.00145,0.00165,0.00184,0.00203,0.00221,0.00239
34,8E-05,0.00015,0.00021,0.00027,0.00032,0.00036,0.00042,0.00046,0.00048,0.00053,0.00059,0.00068,0.00079,0.00088,0.00096,0.00105,0.00116,0.00128,0.00143,0.00162,0.00184,0.00203,0.00221,0.00239,0.00258
35,9E-05,0.00016,0.00024,0.0003,0.00035,0.00039,0.00045,0.00048,0.0005,0.00055,0.00063,0.00074,0.00087,0.00096,0.00105,0.00114,0.00126,0.0014,0.00158,0.0018,0.00203,0.00221,0.00239,0.00258,0.00278
36,0.0001,0.00017,0.00026,0.00033,0.00038,0.00043,0.00047,0.0005,0.00052,0.00059,0.00069,0.00082,0.00094,0.00104,0.00113,0.00123,0.00136,0.00152,0.00173,0.00197,0.00221,0.00239,0.00258,0.00278,0.00303
37,0.00011,0.00018,0.00028,0.00035,0.00041,0.00046,0.00049,0.00052,0.00056,0.00065,0.00077,0.0009,0.00102,0.00112,0.00121,0.00132,0.00147,0.00166,0.00189,0.00215,0.00239,0.00258,0.00278,0.00303,0.00331
38,0.00012,0.00018,0.00029,0.00038,0.00044,0.00049,0.00051,0.00055,0.00061,0.00072,0.00085,0.00098,0.0011,0.0012,0.0013,0.00143,0.0016,0.00181,0.00205,0.00232,0.00258,0.00278,0.00303,0.00331,0.00364
39,0.00012,0.00019,0.0003,0.00039,0.00047,0.00051,0.00055,0.0006,0.00067,0.0008,0.00093,0.00106,0.00118,0.00129,0.0014,0.00155,0.00173,0.00196,0.00222,0.00251,0.00278,0.00303,0.00331,0.00364,0.00401
40,0.00013,0.0002,0.00031,0.0004,0.00049,0.00054,0.00059,0.00065,0.00074,0.00088,0.00102,0.00114,0.00127,0.00139,0.00152,0.00168,0.00189,0.00212,0.00239,0.00271,0.00303,0.00331,0.00364,0.00401,0.00443
41,0.00014,0.00022,0.00031,0.00042,0.00053,0.00059,0.00064,0.00071,0.00082,0.00096,0.0011,0.00122,0.00136,0.0015,0.00165,0.00184,0.00206,0.0023,0.0026,0.00295,0.00331,0.00364,0.00401,0.00443,0.00488
42,0.00014,0.00023,0.00032,0.00045,0.00057,0.00064,0.00069,0.00077,0.0009,0.00105,0.00118,0.00131,0.00147,0.00164,0.00182,0.00202,0.00226,0.00253,0.00285,0.00324,0.00364,0.00401,0.00443,0.00488,0.00537
43,0.00016,0.00024,0.00034,0.00051,0.00061,0.00068,0.00073,0.00083,0.00097,0.00113,0.00126,0.00141,0.0016,0.0018,0.002,0.00222,0.00247,0.00277,0.00312,0.00356,0.00401,0.00443,0.00488,0.00537,0.0059
44,0.00018,0.00024,0.00037,0.00057,0.00066,0.00072,0.00079,0.0009,0.00105,0.00121,0.00136,0.00153,0.00176,0.00198,0.0022,0.00244,0.00272,0.00304,0.00344,0.00392,0.00443,0.00488,0.00537,0.0059,0.0065
45,0.0002,0.00025,0.00041,0.00062,0.0007,0.00077,0.00085,0.00098,0.00114,0.0013,0.00146,0.00168,0.00194,0.00219,0.00242,0.00269,0.003,0.00337,0.00381,0.00432,0.00488,0.00537,0.0059,0.0065,0.00719
46,0.00021,0.00025,0.00047,0.00066,0.00075,0.00084,0.00093,0.00107,0.00122,0.00139,0.00159,0.00185,0.00215,0.00241,0.00267,0.00297,0.00333,0.00373,0.00421,0.00475,0.00537,0.0059,0.0065,0.00719,0.00801
47,0.00023,0.00027,0.00055,0.00072,0.00082,0.00092,0.00102,0.00117,0.00132,0.00151,0.00174,0.00204,0.00238,0.00266,0.00296,0.0033,0.00369,0.00413,0.00464,0.00523,0.0059,0.0065,0.00719,0.00801,0.00899
48,0.00023,0.00031,0.00065,0.00079,0.00091,0.001,0.00113,0.00127,0.00143,0.00164,0.00191,0.00225,0.00263,0.00293,0.00325,0.00363,0.00408,0.00456,0.00511,0.00575,0.0065,0.00719,0.00801,0.00899,0.01014
49,0.00024,0.00038,0.00075,0.00089,0.001,0.00111,0.00125,0.00139,0.00156,0.00179,0.00209,0.00246,0.00285,0.00319,0.00354,0.00398,0.00448,0.005,0.0056,0.00633,0.00719,0.00801,0.00899,0.01014,0.01149
50,0.00025,0.00049,0.00085,0.00099,0.0011,0.00123,0.00137,0.00151,0.0017,0.00197,0.0023,0.00268,0.00307,0.00343,0.00384,0.00436,0.0049,0.00546,0.00613,0.00697,0.00801,0.00899,0.01014,0.01149,0.01306
51,0.00026,0.00062,0.00093,0.00107,0.00121,0.00134,0.00149,0.00166,0.00188,0.00218,0.00254,0.00291,0.0033,0.0037,0.00418,0.00477,0.00534,0.00595,0.00673,0.00775,0.00899,0.01014,0.01149,0.01306,0.01488
52,0.00027,0.00073,0.001,0.00116,0.00131,0.00146,0.00163,0.00183,0.00209,0.00243,0.00279,0.00315,0.00355,0.00401,0.00457,0.00522,0.00585,0.00658,0.00752,0.0087,0.01014,0.01149,0.01306,0.01488,0.01699
53,0.00028,0.00078,0.00105,0.00123,0.00143,0.00161,0.0018,0.00204,0.00234,0.0027,0.00306,0.00341,0.00384,0.00438,0.00503,0.00575,0.0065,0.00742,0.00852,0.00985,0.01149,0.01306,0.01488,0.01699,0.01947
54,0.00028,0.0008,0.00109,0.00129,0.00157,0.00178,0.00201,0.00229,0.00262,0.00299,0.00333,0.0037,0.00419,0.00483,0.00558,0.00642,0.00731,0.00839,0.00972,0.01135,0.01306,0.01488,0.01699,0.01947,0.02242
55,0.00029,0.00081,0.00111,0.00136,0.00174,0.00199,0.00226,0.00256,0.00292,0.00327,0.00361,0.00401,0.0046,0.00536,0.00624,0.00724,0.00832,0.00957,0.01114,0.01306,0.01488,0.01699,0.01947,0.02242,0.02598
56,0.0003,0.00082,0.00112,0.00146,0.00195,0.00224,0.00255,0.00286,0.00321,0.00353,0.00388,0.00435,0.00507,0.00598,0.00702,0.00819,0.00948,0.01093,0.01271,0.01488,0.01699,0.01947,0.02242,0.02598,0.03019
57,0.00031,0.00084,0.00115,0.00163,0.0022,0.00253,0.00284,0.00315,0.00346,0.00378,0.00416,0.00475,0.00563,0.0067,0.00793,0.0093,0.01079,0.01246,0.0145,0.01699,0.01947,0.02242,0.02598,0.03019,0.03472
58,0.00033,0.00086,0.0012,0.00186,0.00247,0.00283,0.00313,0.0034,0.00369,0.00403,0.0045,0.00526,0.00634,0.0076,0.00904,0.01063,0.01235,0.01427,0.01662,0.01947,0.02242,0.02598,0.03019,0.03472,0.03946
59,0.00036,0.00089,0.00132,0.00213,0.00274,0.00311,0.00337,0.00362,0.00391,0.00432,0.00495,0.00592,0.00723,0.0087,0.01036,0.01219,0.01416,0.01631,0.01908,0.02242,0.02598,0.03019,0.03472,0.03946,0.04492
60,0.00043,0.00092,0.00154,0.00239,0.00304,0.00335,0.00358,0.00382,0.00416,0.00471,0.00556,0.00679,0.00833,0.01002,0.01191,0.01399,0.01621,0.0187,0.02203,0.02598,0.03019,0.03472,0.03946,0.04492,0.05258
61,0.00051,0.001,0.00183,0.00259,0.0033,0.00354,0.00376,0.00405,0.00452,0.00526,0.00637,0.00787,0.00963,0.01155,0.01366,0.016,0.01861,0.02182,0.0258,0.03019,0.03472,0.03946,0.04492,0.05258,0.06141
62,0.00061,0.00113,0.00215,0.00282,0.00348,0.00372,0.00399,0.00441,0.00505,0.00602,0.00741,0.00917,0.01114,0.01328,0.01564,0.01833,0.02162,0.02545,0.03019,0.03472,0.03946,0.04492,0.05258,0.06141,0.07018
63,0.00072,0.00136,0.00247,0.00308,0.0036,0.00394,0.00438,0.00499,0.00579,0.00703,0.00869,0.01066,0.01281,0.01517,0.01787,0.02126,0.02524,0.02987,0.03472,0.03946,0.04492,0.05258,0.06141,0.07018,0.08033
64,0.00082,0.00168,0.00273,0.00326,0.00374,0.00429,0.00496,0.00571,0.00673,0.00829,0.01018,0.0123,0.01465,0.01723,0.02037,0.02473,0.02935,0.03472,0.03946,0.04492,0.05258,0.06141,0.07018,0.08033,0.09194
65,0.00091,0.00191,0.00294,0.00339,0.00396,0.00478,0.00562,0.00656,0.0079,0.00981,0.01191,0.01414,0.01671,0.01977,0.02346,0.0285,0.03426,0.03946,0.04492,0.05258,0.06141,0.07018,0.08033,0.09194,0.10485
66,0.00101,0.00201,0.0031,0.00352,0.00427,0.00533,0.00639,0.00762,0.00932,0.01158,0.01391,0.01636,0.01906,0.02265,0.02685,0.03257,0.03946,0.04492,0.05258,0.06141,0.07018,0.08033,0.09194,0.10485,0.11891
67,0.00113,0.0021,0.00323,0.00372,0.0047,0.006,0.00731,0.00888,0.01097,0.01361,0.01621,0.01889,0.02211,0.02613,0.0304,0.03723,0.04492,0.05258,0.06141,0.07018,0.08033,0.09194,0.10485,0.11891,0.13416
68,0.00125,0.00219,0.00337,0.00407,0.00528,0.0068,0.00838,0.01031,0.01283,0.01591,0.01872,0.02195,0.02591,0.0302,0.03555,0.04364,0.05258,0.06141,0.07018,0.08033,0.09194,0.10485,0.11891,0.13416,0.15081
69,0.0014,0.0023,0.00354,0.00449,0.00599,0.00771,0.00956,0.01189,0.01492,0.01848,0.02178,0.02568,0.03003,0.0353,0.04298,0.05238,0.06141,0.07018,0.08033,0.09194,0.10485,0.11891,0.13416,0.15081,0.16846
70,0.00155,0.00242,0.00374,0.00499,0.00681,0.00869,0.01084,0.01363,0.01725,0.02136,0.02544,0.02966,0.03496,0.04202,0.0513,0.06141,0.07018,0.08033,0.09194,0.10485,0.11891,0.13416,0.15081,0.16846,0.1872
71,0.00173,0.00259,0.004,0.00567,0.00769,0.00974,0.01222,0.01555,0.01985,0.02466,0.02936,0.0339,0.04066,0.04935,0.0597,0.07018,0.08033,0.09194,0.10485,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815
72,0.00192,0.0028,0.00433,0.00648,0.00863,0.01084,0.01371,0.01767,0.02281,0.0284,0.03358,0.03911,0.04726,0.05757,0.06938,0.08033,0.09194,0.10485,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156
73,0.00218,0.00308,0.00476,0.00736,0.0096,0.01201,0.01533,0.02008,0.02619,0.03252,0.03821,0.04518,0.05483,0.06675,0.08033,0.09194,0.10485,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715
74,0.00251,0.00339,0.00533,0.00832,0.01064,0.01328,0.0172,0.02289,0.03003,0.03718,0.04341,0.05178,0.06295,0.07686,0.09194,0.10485,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478
75,0.00289,0.00378,0.00603,0.00935,0.01173,0.01471,0.01934,0.02604,0.03433,0.04234,0.04978,0.05997,0.073,0.08851,0.10485,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407
76,0.0033,0.00425,0.00689,0.01044,0.01294,0.01635,0.02176,0.02961,0.03917,0.04802,0.058,0.07035,0.08541,0.10309,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218
77,0.00374,0.00481,0.00792,0.01164,0.01431,0.01822,0.0246,0.03386,0.04483,0.05499,0.06756,0.08233,0.1001,0.11891,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726
78,0.00415,0.0055,0.00914,0.01296,0.01584,0.02043,0.02804,0.03894,0.05142,0.06412,0.07928,0.0972,0.11711,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191
79,0.00442,0.00634,0.0106,0.01439,0.01759,0.02309,0.03222,0.04503,0.05975,0.07588,0.09423,0.11593,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572
80,0.00468,0.00735,0.01226,0.01595,0.01966,0.0265,0.03737,0.05241,0.06973,0.089,0.11103,0.13416,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829
81,0.00511,0.00851,0.01409,0.01769,0.02274,0.03111,0.04381,0.06163,0.08225,0.10533,0.13073,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924
82,0.00575,0.00985,0.01624,0.02053,0.02701,0.03697,0.05248,0.07458,0.10033,0.12844,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109
83,0.00669,0.0114,0.01881,0.02479,0.03237,0.04449,0.06588,0.09392,0.12629,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727
84,0.00788,0.01331,0.02227,0.02993,0.03912,0.05531,0.08453,0.11609,0.15081,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485
85,0.00898,0.01589,0.02693,0.03625,0.04848,0.07369,0.10654,0.14263,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389
86,0.00994,0.01922,0.03268,0.0441,0.06389,0.09976,0.1383,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447
87,0.01099,0.0233,0.03978,0.05639,0.08933,0.13607,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665
88,0.01216,0.02804,0.04854,0.07576,0.12292,0.16846,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051
89,0.01345,0.03349,0.06222,0.10479,0.15872,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612
90,0.01608,0.04241,0.09098,0.14909,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355
91,0.02214,0.0618,0.14318,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288
92,0.03315,0.09504,0.1872,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418
93,0.05029,0.12738,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575
94,0.07498,0.17749,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575,0.90289
95,0.10893,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575,0.90289,0.95039

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Super Preferred, Female, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00029,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00037,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00091,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00104,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00148,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00184,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00203,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00221,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00258,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00278,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00303,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00331,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00364,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00401,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00443,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00488,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00537,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0065,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00719,,,,,,,,,,,,,,,,,,,,,,,,
70,0.00801,,,,,,,,,,,,,,,,,,,,,,,,
71,0.00899,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01014,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01149,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01306,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01488,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01699,,,,,,,,,,,,,,,,,,,,,,,,
77,0.01947,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02242,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02598,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03019,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03472,,,,,,,,,,,,,,,,,,,,,,,,
82,0.03946,,,,,,,,,,,,,,,,,,,,,,,,
