Table Name:,"2001 CSO Preferred Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,0.00029,0.00031,0.00035,0.00037,0.0004,0.00044,0.00046,0.0005,0.00053,0.00055,0.00059,0.00064,0.00067,0.00072,0.00075
7,,,,,,,,,,0.00029,0.0003,0.00034,0.00037,0.00039,0.00043,0.00046,0.00049,0.00053,0.00055,0.00059,0.00064,0.00067,0.00072,0.00075,0.00081
8,,,,,,,,,0.00028,0.0003,0.00034,0.00036,0.00039,0.00042,0.00045,0.00049,0.00053,0.00055,0.00059,0.00064,0.00067,0.00072,0.00075,0.00081,0.00087
9,,,,,,,,0.00028,0.0003,0.00034,0.00036,0.00038,0.00042,0.00044,0.00048,0.00053,0.00055,0.00059,0.00063,0.00067,0.00072,0.00075,0.00081,0.00087,0.00094
10,,,,,,,0.00027,0.0003,0.00033,0.00036,0.00037,0.00041,0.00044,0.00047,0.00051,0.00055,0.00059,0.00063,0.00067,0.00072,0.00075,0.00081,0.00087,0.00094,0.00103
11,,,,,,0.00026,0.00029,0.00033,0.00034,0.00037,0.0004,0.00043,0.00047,0.00051,0.00055,0.00059,0.00062,0.00066,0.00072,0.00075,0.00081,0.00087,0.00093,0.00101,0.00112
12,,,,,0.00026,0.00028,0.00032,0.00034,0.00036,0.00039,0.00042,0.00046,0.00051,0.00053,0.00057,0.00062,0.00066,0.00071,0.00075,0.00081,0.00087,0.00093,0.00101,0.00112,0.0012
13,,,,0.00026,0.00028,0.00031,0.00033,0.00036,0.00038,0.00042,0.00045,0.00049,0.00053,0.00057,0.00061,0.00066,0.00071,0.00075,0.00081,0.00087,0.00093,0.00101,0.00112,0.0012,0.0013
14,,,0.00026,0.00028,0.0003,0.00032,0.00034,0.00037,0.0004,0.00043,0.00048,0.00052,0.00056,0.00061,0.00065,0.00071,0.00075,0.00081,0.00087,0.00093,0.00101,0.00112,0.0012,0.00129,0.00138
15,,0.00026,0.00028,0.0003,0.00032,0.00034,0.00037,0.00038,0.00043,0.00046,0.00051,0.00055,0.0006,0.00064,0.0007,0.00075,0.00081,0.00087,0.00093,0.00101,0.00112,0.00119,0.00128,0.00137,0.00146
16,0.00026,0.00028,0.0003,0.00031,0.00033,0.00036,0.00037,0.00041,0.00046,0.00048,0.00053,0.00059,0.00063,0.00069,0.00075,0.00081,0.00087,0.00093,0.00101,0.00112,0.00119,0.00128,0.00137,0.00146,0.00155
17,0.00028,0.0003,0.00031,0.00032,0.00035,0.00037,0.0004,0.00044,0.00048,0.00052,0.00057,0.00062,0.00068,0.00074,0.00081,0.00087,0.00093,0.00101,0.00112,0.00119,0.00128,0.00137,0.00146,0.00155,0.00165
18,0.00029,0.00031,0.00031,0.00034,0.00036,0.00038,0.00043,0.00047,0.00052,0.00056,0.00061,0.00068,0.00073,0.00081,0.00087,0.00093,0.00101,0.00112,0.00119,0.00128,0.00137,0.00146,0.00155,0.00165,0.00178
19,0.00029,0.00031,0.00033,0.00035,0.00038,0.00041,0.00045,0.00049,0.00055,0.00059,0.00066,0.00073,0.0008,0.00087,0.00093,0.00101,0.00112,0.00119,0.00128,0.00137,0.00146,0.00155,0.00165,0.00178,0.00194
20,0.00029,0.00031,0.00033,0.00036,0.0004,0.00044,0.00049,0.00053,0.00058,0.00064,0.00071,0.00079,0.00087,0.00093,0.00101,0.00112,0.00119,0.00128,0.00137,0.00146,0.00155,0.00165,0.00178,0.00194,0.00211
21,0.00028,0.0003,0.00034,0.00038,0.00041,0.00047,0.00053,0.00056,0.00063,0.00069,0.00077,0.00084,0.00092,0.00101,0.00109,0.00118,0.00127,0.00137,0.00146,0.00155,0.00165,0.00178,0.00194,0.00211,0.0023
22,0.00028,0.00031,0.00036,0.00039,0.00045,0.0005,0.00055,0.00061,0.00069,0.00076,0.00083,0.00091,0.00099,0.00108,0.00116,0.00126,0.00136,0.00145,0.00155,0.00165,0.00178,0.00194,0.00211,0.0023,0.00251
23,0.00027,0.00032,0.00036,0.00041,0.00047,0.00052,0.00058,0.00066,0.00073,0.00081,0.00088,0.00099,0.00106,0.00115,0.00124,0.00133,0.00142,0.00153,0.00165,0.00178,0.00194,0.00211,0.0023,0.00251,0.00278
24,0.00027,0.00032,0.00038,0.00043,0.00048,0.00056,0.00062,0.0007,0.00078,0.00086,0.00096,0.00103,0.00113,0.00121,0.0013,0.00141,0.00151,0.00163,0.00175,0.00194,0.00211,0.0023,0.00251,0.00278,0.00313
25,0.00027,0.00033,0.0004,0.00044,0.0005,0.00057,0.00066,0.00074,0.00082,0.00092,0.00101,0.00109,0.00118,0.00128,0.00138,0.00149,0.00161,0.00175,0.00191,0.00211,0.0023,0.00251,0.00278,0.00313,0.00351
26,0.00028,0.00034,0.00041,0.00047,0.00055,0.00063,0.00071,0.00079,0.00088,0.00098,0.00106,0.00115,0.00126,0.00135,0.00146,0.00159,0.00175,0.00191,0.00211,0.00229,0.00251,0.00277,0.00313,0.00351,0.00397
27,0.0003,0.00036,0.00043,0.0005,0.00058,0.00066,0.00074,0.00083,0.00093,0.00101,0.00111,0.00121,0.00132,0.00144,0.00157,0.00172,0.0019,0.00209,0.00229,0.00251,0.00277,0.00313,0.00351,0.00397,0.00449
28,0.00032,0.00038,0.00045,0.00053,0.00061,0.00069,0.00078,0.00087,0.00097,0.00106,0.00117,0.00128,0.00141,0.00153,0.00168,0.00188,0.00206,0.00229,0.00251,0.00277,0.00313,0.00351,0.00397,0.00449,0.00505
29,0.00034,0.00042,0.00049,0.00056,0.00065,0.00074,0.00082,0.00092,0.00101,0.00112,0.00122,0.00136,0.0015,0.00165,0.00184,0.00204,0.00228,0.00251,0.00277,0.00313,0.00351,0.00397,0.00449,0.00505,0.00565
30,0.00037,0.00044,0.00051,0.0006,0.00068,0.00077,0.00085,0.00095,0.00106,0.00118,0.0013,0.00145,0.00161,0.0018,0.00201,0.00224,0.0025,0.00277,0.00313,0.00351,0.00397,0.00449,0.00505,0.00565,0.00632
31,0.00041,0.00047,0.00055,0.00063,0.00072,0.0008,0.0009,0.00101,0.00111,0.00125,0.00139,0.00156,0.00176,0.00197,0.00222,0.00248,0.00277,0.00313,0.00351,0.00397,0.00449,0.00505,0.00565,0.00632,0.00706
32,0.00043,0.0005,0.00058,0.00067,0.00074,0.00085,0.00096,0.00106,0.0012,0.00136,0.00152,0.00172,0.00193,0.00218,0.00246,0.00276,0.00313,0.0035,0.00397,0.00449,0.00505,0.00565,0.00632,0.00706,0.00784
33,0.00046,0.00053,0.00061,0.00069,0.0008,0.0009,0.00102,0.00115,0.0013,0.00148,0.00169,0.0019,0.00215,0.00241,0.00273,0.00309,0.00348,0.00397,0.00449,0.00505,0.00565,0.00632,0.00706,0.00784,0.00868
34,0.00048,0.00055,0.00064,0.00074,0.00084,0.00097,0.0011,0.00126,0.00143,0.00164,0.00185,0.00211,0.00239,0.0027,0.00305,0.00345,0.00389,0.00449,0.00505,0.00565,0.00632,0.00706,0.00784,0.00868,0.00952
35,0.00049,0.00057,0.00067,0.00078,0.0009,0.00105,0.00121,0.00139,0.0016,0.00182,0.00207,0.00235,0.00267,0.00302,0.0034,0.00386,0.00435,0.00505,0.00565,0.00632,0.00706,0.00784,0.00868,0.00952,0.01047
36,0.0005,0.00061,0.00071,0.00084,0.00098,0.00114,0.00133,0.00153,0.00176,0.00202,0.00229,0.0026,0.00297,0.00333,0.00377,0.00425,0.00478,0.00565,0.00632,0.00706,0.00784,0.00868,0.00952,0.01047,0.01134
37,0.00054,0.00064,0.00076,0.0009,0.00106,0.00125,0.00145,0.00169,0.00195,0.00223,0.00254,0.0029,0.00326,0.0037,0.00416,0.00466,0.00523,0.00632,0.00681,0.00784,0.00868,0.00952,0.01047,0.01134,0.01222
38,0.00057,0.00069,0.00082,0.00098,0.00117,0.00137,0.00161,0.00186,0.00216,0.00246,0.0028,0.00319,0.00361,0.00406,0.00456,0.00512,0.00573,0.00642,0.00727,0.00848,0.00952,0.01047,0.01134,0.01222,0.01324
39,0.00062,0.00075,0.00089,0.00108,0.00128,0.00152,0.00178,0.00206,0.00237,0.00273,0.00311,0.00353,0.00396,0.00448,0.005,0.0056,0.00625,0.00698,0.00779,0.00925,0.0103,0.01134,0.01222,0.01324,0.01425
40,0.00068,0.00082,0.001,0.0012,0.00143,0.00168,0.00197,0.00228,0.00263,0.00301,0.00341,0.00387,0.00437,0.00491,0.00548,0.00611,0.00683,0.0076,0.00849,0.00997,0.01099,0.01222,0.01314,0.01425,0.01532
41,0.00075,0.00091,0.00112,0.00134,0.00158,0.00187,0.00217,0.00252,0.00291,0.00332,0.00377,0.00426,0.0048,0.00538,0.00601,0.00669,0.00744,0.00825,0.00923,0.01069,0.01192,0.01301,0.01425,0.01532,0.01649
42,0.00083,0.00103,0.00125,0.0015,0.00178,0.00208,0.00243,0.00279,0.00321,0.00366,0.00414,0.00469,0.00527,0.00589,0.00656,0.00729,0.00808,0.00895,0.00999,0.01149,0.01274,0.01412,0.01532,0.01645,0.01772
43,0.00093,0.00115,0.0014,0.00169,0.002,0.00233,0.0027,0.00312,0.00356,0.00404,0.00458,0.00514,0.00577,0.00644,0.00717,0.00794,0.00879,0.00971,0.01089,0.01228,0.01375,0.01512,0.01632,0.01762,0.01902
44,0.00104,0.0013,0.00159,0.00191,0.00224,0.00261,0.00301,0.00346,0.00394,0.00446,0.00502,0.00563,0.00631,0.00704,0.00781,0.00863,0.00953,0.01051,0.0117,0.01329,0.01479,0.01601,0.01739,0.01885,0.02038
45,0.00117,0.00147,0.00178,0.00214,0.00251,0.00293,0.00336,0.00384,0.00436,0.00492,0.00552,0.00618,0.0069,0.00767,0.00849,0.00936,0.01033,0.01137,0.01271,0.01434,0.01561,0.01702,0.01855,0.02011,0.02194
46,0.00129,0.00163,0.002,0.00237,0.0028,0.00323,0.00372,0.00423,0.00479,0.00539,0.00603,0.00674,0.0075,0.00832,0.0092,0.01013,0.01115,0.01226,0.01394,0.01518,0.01662,0.01811,0.01971,0.02157,0.02369
47,0.00144,0.00181,0.0022,0.00262,0.00309,0.00357,0.00409,0.00464,0.00524,0.00589,0.00657,0.00732,0.00813,0.00901,0.00995,0.01093,0.01202,0.01321,0.01507,0.01611,0.01764,0.01927,0.0211,0.02322,0.02563
48,0.0016,0.002,0.00243,0.0029,0.00337,0.00389,0.00445,0.00505,0.0057,0.00639,0.00713,0.00793,0.00879,0.00972,0.01073,0.01179,0.01293,0.01421,0.01571,0.01703,0.0187,0.02053,0.02268,0.02513,0.02781
49,0.00168,0.00212,0.00266,0.00315,0.00367,0.00423,0.00482,0.00545,0.00615,0.0069,0.00768,0.00855,0.00948,0.01048,0.01156,0.01269,0.01393,0.01534,0.01673,0.01804,0.01987,0.02196,0.02437,0.02712,0.03023
50,0.00178,0.00234,0.00288,0.0034,0.00395,0.00454,0.00517,0.00586,0.00659,0.0074,0.00825,0.00919,0.01019,0.01127,0.01244,0.01366,0.015,0.01649,0.01794,0.01946,0.02147,0.02378,0.02639,0.02937,0.03274
51,0.0019,0.00262,0.00314,0.00366,0.00424,0.00486,0.00555,0.00627,0.00707,0.00792,0.00885,0.00985,0.01094,0.01211,0.01337,0.01471,0.01617,0.01779,0.01913,0.02108,0.02332,0.02587,0.02874,0.03204,0.03577
52,0.00202,0.00291,0.00342,0.00395,0.00453,0.00518,0.00588,0.00667,0.00753,0.00846,0.00946,0.01054,0.01173,0.013,0.01438,0.01584,0.01746,0.01882,0.02069,0.02288,0.02535,0.02813,0.03131,0.03494,0.03907
53,0.00216,0.00314,0.0037,0.00423,0.00483,0.00551,0.00625,0.00709,0.008,0.00902,0.0101,0.01129,0.01259,0.01397,0.01549,0.01709,0.01853,0.02035,0.02244,0.02483,0.02755,0.03058,0.03408,0.03808,0.04154
54,0.0023,0.00339,0.004,0.00453,0.00514,0.00585,0.00666,0.00754,0.00852,0.0096,0.0108,0.01211,0.01352,0.01507,0.01673,0.01828,0.02004,0.02204,0.02436,0.02699,0.02994,0.03323,0.0371,0.03975,0.04566
55,0.00243,0.00366,0.00433,0.00486,0.00551,0.00624,0.00709,0.00802,0.00909,0.01028,0.01159,0.01302,0.01458,0.01627,0.01811,0.01977,0.0217,0.02391,0.02646,0.02934,0.03255,0.03553,0.03807,0.04377,0.04964
56,0.00264,0.00386,0.00462,0.00517,0.00582,0.0066,0.00749,0.0085,0.00965,0.01094,0.01236,0.01394,0.01565,0.01754,0.01959,0.02141,0.02356,0.02599,0.02877,0.0319,0.03497,0.0368,0.0423,0.04782,0.0545
57,0.00275,0.00408,0.00492,0.00549,0.0062,0.00701,0.00797,0.00906,0.0103,0.01169,0.01323,0.01497,0.01686,0.01894,0.02122,0.02325,0.02559,0.02828,0.03131,0.0345,0.03671,0.04182,0.0462,0.05262,0.05596
58,0.00283,0.00431,0.00522,0.00584,0.0066,0.00749,0.00851,0.00971,0.01105,0.01257,0.01425,0.01612,0.01822,0.02052,0.02303,0.02525,0.02785,0.03078,0.03402,0.03651,0.0412,0.04568,0.05095,0.05425,0.05902
59,0.00299,0.0045,0.00555,0.00622,0.00701,0.008,0.00912,0.01042,0.01189,0.01356,0.01541,0.01747,0.01977,0.02228,0.02504,0.02751,0.03033,0.03356,0.03633,0.04067,0.04502,0.05038,0.05293,0.05749,0.06193
60,0.00311,0.00469,0.00585,0.00657,0.00746,0.00853,0.00978,0.01121,0.01284,0.01468,0.01671,0.01897,0.0215,0.02426,0.0273,0.03002,0.03313,0.0362,0.04006,0.04434,0.04962,0.05236,0.0558,0.05932,0.06645
61,0.00322,0.00489,0.00615,0.00692,0.00791,0.00909,0.01046,0.01205,0.01387,0.01591,0.01817,0.02068,0.02344,0.0265,0.02984,0.03283,0.03608,0.03954,0.04369,0.04889,0.05179,0.05538,0.05914,0.06435,0.0772
62,0.00341,0.00508,0.00643,0.00726,0.00832,0.00963,0.01116,0.01293,0.01495,0.01724,0.01976,0.02255,0.02565,0.02902,0.03271,0.03599,0.039,0.04304,0.04817,0.05127,0.05497,0.05899,0.06417,0.07588,0.08288
63,0.00369,0.00528,0.00668,0.00757,0.00872,0.01015,0.01185,0.01384,0.01611,0.01868,0.02152,0.02464,0.02808,0.03184,0.03589,0.03865,0.04239,0.04761,0.05083,0.05459,0.05885,0.06381,0.07477,0.08132,0.09012
64,0.004,0.00636,0.00696,0.00788,0.00912,0.01069,0.01259,0.01481,0.01736,0.02024,0.02341,0.02692,0.03075,0.03492,0.03848,0.04189,0.04688,0.05028,0.05417,0.05869,0.06342,0.07343,0.08003,0.08835,0.09718
65,0.00437,0.00665,0.00723,0.00819,0.00954,0.01127,0.01336,0.01584,0.01869,0.02195,0.02549,0.02942,0.03368,0.03832,0.04171,0.04615,0.04951,0.05376,0.05855,0.06326,0.07211,0.07848,0.08655,0.0959,0.10587
66,0.00454,0.00698,0.00754,0.00854,0.00998,0.01185,0.01415,0.01687,0.02001,0.02356,0.02748,0.03177,0.03646,0.04153,0.04543,0.04904,0.05338,0.0584,0.06288,0.07081,0.07722,0.08459,0.09469,0.10447,0.11601
67,0.00465,0.00733,0.00788,0.00895,0.0105,0.01255,0.01507,0.01804,0.02146,0.02534,0.02964,0.03433,0.03947,0.04498,0.04884,0.05283,0.05828,0.06256,0.06973,0.07572,0.08288,0.09275,0.10287,0.11416,0.12727
68,0.00508,0.0077,0.0083,0.00946,0.01115,0.01337,0.01612,0.01937,0.02311,0.02731,0.03199,0.03712,0.04271,0.04866,0.05264,0.0573,0.06222,0.06801,0.07448,0.08121,0.09087,0.1007,0.11203,0.12523,0.13942
69,0.00554,0.00811,0.00878,0.01005,0.01191,0.01436,0.01735,0.02088,0.02493,0.02948,0.03457,0.0401,0.04615,0.05241,0.05657,0.06109,0.06639,0.07259,0.07954,0.08841,0.09825,0.10964,0.12285,0.13869,0.15619
70,0.00603,0.00855,0.00933,0.01075,0.01283,0.01551,0.01878,0.02262,0.02702,0.03191,0.03738,0.04338,0.04981,0.05584,0.06029,0.06556,0.07176,0.07899,0.08747,0.09734,0.10899,0.12247,0.13801,0.15549,0.1753
71,0.00663,0.00905,0.00998,0.0116,0.01392,0.01687,0.02044,0.02459,0.02929,0.03453,0.04041,0.04684,0.05374,0.05944,0.06461,0.07076,0.07798,0.08633,0.09617,0.10757,0.1213,0.13729,0.15473,0.1745,0.19124
72,0.00898,0.00958,0.01071,0.01258,0.01517,0.01841,0.0223,0.0268,0.03183,0.03737,0.04368,0.05049,0.05781,0.06361,0.06772,0.07678,0.08511,0.09484,0.10613,0.11919,0.13527,0.15398,0.17384,0.18961,0.20654
73,0.0095,0.01019,0.01157,0.01373,0.01662,0.02019,0.0244,0.02919,0.03455,0.04041,0.04712,0.05435,0.06246,0.06741,0.07145,0.0837,0.09331,0.10445,0.11744,0.13239,0.15126,0.17307,0.18803,0.20381,0.22531
74,0.01007,0.01093,0.0126,0.01506,0.01828,0.02218,0.02671,0.03185,0.03752,0.04366,0.05075,0.05878,0.06715,0.07075,0.08204,0.09165,0.10263,0.11544,0.13031,0.14738,0.16932,0.1867,0.20144,0.22286,0.24346
75,0.01068,0.01183,0.01383,0.01662,0.02017,0.02439,0.02925,0.0347,0.04065,0.04707,0.05492,0.06383,0.07007,0.0804,0.08649,0.10167,0.1147,0.12967,0.14688,0.16857,0.18177,0.19934,0.21865,0.23991,0.26329
76,0.01159,0.01309,0.01548,0.01869,0.02265,0.02735,0.0327,0.03863,0.04509,0.05241,0.06129,0.06943,0.07894,0.08618,0.10075,0.11393,0.12909,0.14646,0.16809,0.18138,0.19838,0.21741,0.23835,0.26138,0.28671
77,0.0128,0.01468,0.01746,0.02111,0.02555,0.03071,0.03654,0.04298,0.05033,0.05864,0.06883,0.07742,0.08587,0.09985,0.11326,0.12853,0.14606,0.16762,0.18118,0.1978,0.21658,0.23722,0.26014,0.28512,0.30714
78,0.01439,0.01667,0.01987,0.02394,0.02884,0.0345,0.04082,0.04811,0.05645,0.06599,0.076,0.08561,0.09893,0.1125,0.12798,0.14566,0.16701,0.18097,0.1974,0.21575,0.23652,0.25914,0.28377,0.30579,0.32931
79,0.01503,0.01911,0.02274,0.02725,0.03261,0.03875,0.04588,0.05418,0.06368,0.07457,0.08532,0.09802,0.11182,0.12741,0.14526,0.16655,0.18062,0.19701,0.21512,0.23542,0.25838,0.28294,0.30498,0.32812,0.35314
80,0.01593,0.02212,0.02613,0.03107,0.03688,0.04383,0.05188,0.06125,0.07209,0.08455,0.09713,0.11115,0.12697,0.14475,0.16609,0.18042,0.19644,0.21429,0.2343,0.25672,0.28239,0.30417,0.32753,0.35281,0.37941
81,0.01767,0.02571,0.03011,0.03546,0.04199,0.04979,0.05893,0.06961,0.08199,0.09624,0.11045,0.12639,0.14433,0.16548,0.18005,0.19602,0.21346,0.23317,0.25503,0.28008,0.3039,0.32724,0.35249,0.37941,0.41132
82,0.01974,0.02993,0.03469,0.0407,0.04807,0.05686,0.06721,0.07937,0.09342,0.10971,0.12579,0.14393,0.165,0.17983,0.19542,0.21279,0.2318,0.2533,0.27767,0.30094,0.32665,0.35217,0.37941,0.41132,0.44402
83,0.02181,0.0339,0.04019,0.04694,0.05521,0.06522,0.07691,0.09069,0.10677,0.12533,0.14348,0.16453,0.17962,0.19501,0.21195,0.23065,0.25181,0.2763,0.29932,0.32428,0.35184,0.37941,0.41132,0.44402,0.47753
84,0.02505,0.03968,0.04675,0.05433,0.06371,0.07499,0.08824,0.10389,0.12206,0.14313,0.16393,0.17928,0.19463,0.21134,0.22958,0.25133,0.27627,0.29932,0.32369,0.35055,0.37941,0.41132,0.44402,0.47753,0.51124
85,0.02993,0.04655,0.05347,0.06309,0.07365,0.08639,0.10142,0.11904,0.13975,0.16344,0.17904,0.19411,0.21055,0.22874,0.25133,0.27627,0.29932,0.32369,0.35055,0.37941,0.41132,0.44402,0.47753,0.51124,0.54635
86,0.03888,0.05259,0.06247,0.07335,0.08528,0.10101,0.11665,0.13658,0.1598,0.17886,0.19365,0.20984,0.22874,0.25133,0.27627,0.29932,0.32369,0.35055,0.37941,0.41132,0.44402,0.47753,0.51124,0.54635,0.58226
87,0.04347,0.06186,0.07304,0.08511,0.10068,0.11624,0.13404,0.15645,0.17491,0.19326,0.20916,0.2264,0.24764,0.2752,0.29932,0.32369,0.35055,0.37941,0.41132,0.44359,0.47707,0.51124,0.54635,0.58226,0.61678
88,0.05539,0.07278,0.08492,0.10029,0.11585,0.13366,0.15386,0.17145,0.18909,0.20819,0.22505,0.2435,0.26717,0.29262,0.31796,0.34497,0.37293,0.40319,0.43508,0.46864,0.50385,0.54071,0.57923,0.61678,0.65025
89,0.06996,0.08479,0.09992,0.11548,0.13334,0.1535,0.16909,0.18576,0.20389,0.22372,0.24159,0.26157,0.28492,0.31006,0.33638,0.36405,0.39408,0.42583,0.45933,0.49458,0.53156,0.57027,0.61073,0.65025,0.68072
90,0.08462,0.0995,0.11514,0.13294,0.15318,0.16871,0.18342,0.20059,0.21931,0.23973,0.25891,0.27844,0.30766,0.32768,0.35489,0.38454,0.416,0.4493,0.48444,0.5214,0.5602,0.60082,0.64328,0.68072,0.72369
91,0.09916,0.11483,0.13266,0.15283,0.1683,0.18296,0.19984,0.21583,0.23514,0.25653,0.27576,0.29993,0.32203,0.34568,0.37477,0.40577,0.43872,0.47359,0.51039,0.54912,0.58977,0.63235,0.67686,0.72329,0.76366
92,0.11451,0.13237,0.15262,0.16804,0.18249,0.19917,0.21513,0.23177,0.25146,0.27319,0.29278,0.31404,0.33666,0.36501,0.39538,0.42779,0.46223,0.4987,0.53719,0.57772,0.62028,0.66486,0.71148,0.76012,0.80512
93,0.13212,0.15231,0.16766,0.18205,0.19848,0.21432,0.23069,0.248,0.26861,0.28654,0.30646,0.32813,0.35553,0.38507,0.41675,0.45057,0.48653,0.52462,0.56485,0.60722,0.65172,0.69836,0.74713,0.79803,0.85059
94,0.152,0.16744,0.18164,0.19784,0.21358,0.2299,0.2469,0.26577,0.28181,0.2999,0.32038,0.34663,0.37512,0.40587,0.43887,0.47411,0.51161,0.55136,0.59335,0.6376,0.68409,0.73283,0.78381,0.83705,0.89254
95,0.16711,0.18125,0.19723,0.21306,0.22929,0.24596,0.26485,0.27871,0.29526,0.31377,0.33863,0.36585,0.39544,0.4274,0.46173,0.49843,0.53749,0.57892,0.62271,0.66887,0.7174,0.76828,0.82154,0.87717,0.93516
96,0.18088,0.19632,0.21241,0.22854,0.24509,0.26418,0.27792,0.29212,0.30867,0.33189,0.35759,0.3858,0.41649,0.44967,0.48534,0.5235,0.56415,0.60729,0.65292,0.70104,0.75163,0.80473,0.86031,0.91838,1
97,0.19509,0.21123,0.22783,0.24428,0.26328,0.2772,0.29118,0.30546,0.32679,0.35073,0.37729,0.40647,0.43826,0.47267,0.5097,0.54935,0.59161,0.63649,0.68398,0.73408,0.78681,0.84215,0.90011,1,
98,0.2097,0.22635,0.2435,0.26238,0.27647,0.29066,0.30459,0.32375,0.34565,0.3703,0.39771,0.42786,0.46076,0.49641,0.53481,0.57596,0.61985,0.6665,0.71588,0.76802,0.82292,0.88056,1,,
