Table Name:,"2001 CSO Preferred Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
16,0.00051,0.00057,0.00061,0.00062,0.00062,0.00063,0.00063,0.00064,0.00064,0.00065,0.00067,0.0007,0.00071,0.00073,0.00074,0.00075,0.00077,0.00079,0.00081,0.00084,0.00089,0.00094,0.001,0.00106,0.00114
17,0.00057,0.0006,0.00061,0.00061,0.00062,0.00062,0.00063,0.00063,0.00065,0.00066,0.00068,0.0007,0.00071,0.00072,0.00073,0.00074,0.00079,0.0008,0.00084,0.00089,0.00094,0.001,0.00106,0.00114,0.00124
18,0.00059,0.00059,0.0006,0.0006,0.00061,0.00061,0.00062,0.00063,0.00064,0.00065,0.00067,0.00068,0.0007,0.00072,0.00074,0.00076,0.0008,0.00084,0.00089,0.00094,0.001,0.00106,0.00114,0.00124,0.00136
19,0.00057,0.00057,0.00058,0.00058,0.00059,0.0006,0.0006,0.00062,0.00063,0.00064,0.00065,0.00067,0.00069,0.00072,0.00076,0.00079,0.00083,0.00089,0.00094,0.001,0.00106,0.00114,0.00124,0.00136,0.00149
20,0.00054,0.00054,0.00055,0.00055,0.00056,0.00057,0.00058,0.0006,0.00061,0.00063,0.00064,0.00066,0.00068,0.00073,0.00078,0.00083,0.00088,0.00094,0.001,0.00106,0.00114,0.00124,0.00136,0.00149,0.00165
21,0.00051,0.00051,0.00052,0.00052,0.00054,0.00055,0.00056,0.00058,0.00059,0.00062,0.00063,0.00066,0.00069,0.00075,0.00082,0.00088,0.00094,0.001,0.00106,0.00114,0.00124,0.00136,0.00149,0.00165,0.00182
22,0.00047,0.00048,0.00049,0.0005,0.00053,0.00054,0.00055,0.00057,0.00058,0.00061,0.00064,0.00067,0.00071,0.00078,0.00086,0.00094,0.001,0.00106,0.00114,0.00124,0.00136,0.00149,0.00165,0.00182,0.00198
23,0.00043,0.00044,0.00047,0.00049,0.00052,0.00053,0.00055,0.00057,0.00059,0.00062,0.00066,0.00069,0.00075,0.00082,0.00091,0.00099,0.00106,0.00114,0.00124,0.00136,0.00149,0.00165,0.00182,0.00198,0.00212
24,0.00039,0.00042,0.00046,0.00049,0.00052,0.00054,0.00056,0.00058,0.00061,0.00064,0.00068,0.00073,0.00079,0.00087,0.00096,0.00106,0.00114,0.00124,0.00136,0.00149,0.00165,0.00182,0.00198,0.00212,0.00225
25,0.00036,0.0004,0.00045,0.0005,0.00053,0.00055,0.00057,0.0006,0.00064,0.00067,0.00072,0.00078,0.00085,0.00093,0.00103,0.00114,0.00124,0.00136,0.00149,0.00165,0.00182,0.00198,0.00212,0.00225,0.00242
26,0.00034,0.0004,0.00046,0.00052,0.00055,0.00057,0.0006,0.00063,0.00067,0.00072,0.00077,0.00083,0.00091,0.001,0.00111,0.00124,0.00136,0.00149,0.00165,0.00182,0.00197,0.00212,0.00225,0.00242,0.00262
27,0.00034,0.00041,0.00048,0.00053,0.00057,0.00059,0.00063,0.00067,0.00071,0.00077,0.00083,0.0009,0.00098,0.0011,0.00121,0.00136,0.00149,0.00165,0.00182,0.00197,0.00211,0.00225,0.00242,0.00262,0.00288
28,0.00035,0.00042,0.0005,0.00055,0.00059,0.00062,0.00066,0.00071,0.00076,0.00083,0.0009,0.00098,0.00108,0.00119,0.00133,0.00148,0.00164,0.00181,0.00197,0.00211,0.00225,0.00242,0.00262,0.00288,0.00321
29,0.00035,0.00043,0.00051,0.00057,0.00062,0.00066,0.00071,0.00076,0.00082,0.0009,0.00098,0.00107,0.00117,0.00129,0.00144,0.00162,0.00179,0.00195,0.00211,0.00225,0.00242,0.00262,0.00287,0.00321,0.00357
30,0.00036,0.00044,0.00051,0.00058,0.00064,0.00071,0.00076,0.00082,0.00088,0.00096,0.00104,0.00114,0.00126,0.0014,0.00158,0.00176,0.00192,0.00208,0.00224,0.0024,0.00259,0.00286,0.00318,0.00357,0.00399
31,0.00036,0.00045,0.00052,0.00059,0.00066,0.00073,0.0008,0.00086,0.00093,0.001,0.0011,0.00122,0.00138,0.00155,0.00174,0.00191,0.00207,0.00223,0.00239,0.00257,0.00282,0.00317,0.00354,0.00397,0.00448
32,0.00037,0.00045,0.00054,0.00062,0.00069,0.00076,0.00084,0.0009,0.00097,0.00105,0.00116,0.00131,0.00151,0.0017,0.00188,0.00205,0.00222,0.00239,0.00257,0.0028,0.00314,0.00352,0.00393,0.00441,0.00498
33,0.00039,0.00047,0.00056,0.00065,0.00073,0.00081,0.00089,0.00096,0.00103,0.00112,0.00125,0.00143,0.00164,0.00184,0.00202,0.00219,0.00239,0.00257,0.0028,0.00308,0.00347,0.00387,0.00435,0.00489,0.00549
34,0.00041,0.00049,0.00059,0.00067,0.00077,0.00085,0.00094,0.00102,0.00111,0.00122,0.00137,0.00156,0.00177,0.00198,0.00218,0.00235,0.00257,0.0028,0.00308,0.00339,0.0038,0.00426,0.00479,0.00537,0.00595
35,0.00043,0.00052,0.00061,0.00071,0.0008,0.0009,0.00099,0.0011,0.00121,0.00135,0.00151,0.0017,0.00191,0.00213,0.00234,0.00255,0.0028,0.00306,0.00337,0.00372,0.00417,0.00468,0.00523,0.00585,0.00636
36,0.00046,0.00055,0.00064,0.00074,0.00084,0.00094,0.00106,0.0012,0.00134,0.00149,0.00165,0.00183,0.00206,0.0023,0.00253,0.0028,0.00305,0.00333,0.00368,0.00408,0.00457,0.00511,0.0057,0.00632,0.00698
37,0.00049,0.00058,0.00069,0.00078,0.00088,0.001,0.00115,0.00131,0.00148,0.00163,0.00179,0.00198,0.00221,0.00247,0.00274,0.00303,0.00331,0.00364,0.00403,0.00447,0.00499,0.00557,0.00622,0.00693,0.0079
38,0.00053,0.00064,0.00074,0.00084,0.00094,0.00108,0.00126,0.00144,0.00161,0.00177,0.00193,0.00214,0.00238,0.00266,0.00296,0.00327,0.00361,0.00399,0.00442,0.00488,0.00545,0.00612,0.00687,0.0078,0.00897
39,0.00057,0.00069,0.0008,0.0009,0.00102,0.00119,0.00138,0.00157,0.00174,0.0019,0.00208,0.00232,0.00259,0.00289,0.00321,0.00357,0.00395,0.00438,0.00484,0.00532,0.00599,0.00676,0.00768,0.00879,0.00997
40,0.00061,0.00074,0.00086,0.00098,0.00112,0.00131,0.00151,0.0017,0.00187,0.00206,0.00228,0.00254,0.00283,0.00315,0.00352,0.00391,0.00433,0.00479,0.0053,0.00583,0.00663,0.00752,0.00858,0.00983,0.01088
41,0.00065,0.0008,0.00094,0.00108,0.00124,0.00143,0.00164,0.00184,0.00204,0.00225,0.0025,0.0028,0.00311,0.00347,0.00389,0.00429,0.00473,0.00524,0.00583,0.00646,0.00738,0.0084,0.00956,0.01086,0.0119
42,0.00069,0.00086,0.00102,0.00117,0.00135,0.00154,0.00176,0.00198,0.00221,0.00245,0.00274,0.00306,0.00344,0.00385,0.00429,0.00468,0.00518,0.00576,0.00644,0.00722,0.00822,0.00931,0.01054,0.01179,0.01303
43,0.00073,0.00091,0.00109,0.00125,0.00143,0.00164,0.00187,0.00213,0.00238,0.00266,0.00298,0.00337,0.00381,0.00424,0.00466,0.0051,0.00569,0.00637,0.00715,0.00805,0.0091,0.01025,0.01147,0.01276,0.01413
44,0.00078,0.00097,0.00115,0.00132,0.00152,0.00174,0.00201,0.0023,0.00259,0.00289,0.00325,0.00374,0.00419,0.00461,0.00505,0.0056,0.00628,0.00706,0.00791,0.00881,0.0099,0.01118,0.01242,0.01393,0.0154
45,0.00084,0.00104,0.00121,0.00139,0.00162,0.00188,0.00218,0.0025,0.00283,0.00317,0.0036,0.00412,0.00458,0.00498,0.00552,0.0062,0.00698,0.00785,0.00871,0.0096,0.01077,0.0121,0.01351,0.01536,0.01712
46,0.00091,0.00109,0.00127,0.00148,0.00174,0.00204,0.00238,0.00274,0.0031,0.00351,0.00398,0.0045,0.00495,0.00543,0.00612,0.00691,0.00779,0.00869,0.00959,0.01052,0.01177,0.01315,0.0149,0.01711,0.01933
47,0.00097,0.00115,0.00136,0.00159,0.00187,0.0022,0.00257,0.00298,0.00339,0.00387,0.00435,0.00487,0.00536,0.00599,0.00682,0.00772,0.00866,0.00958,0.01052,0.01145,0.01283,0.01449,0.01661,0.01919,0.02183
48,0.00104,0.00124,0.00147,0.00172,0.00202,0.00236,0.00277,0.00323,0.00367,0.0042,0.0047,0.00527,0.00589,0.00666,0.0076,0.00861,0.00956,0.01051,0.01143,0.01251,0.01413,0.01615,0.01863,0.02152,0.02432
49,0.00111,0.00135,0.0016,0.00187,0.00218,0.00254,0.00298,0.00349,0.00394,0.00448,0.00508,0.00578,0.00657,0.00747,0.00847,0.00954,0.01047,0.01139,0.0124,0.01381,0.01575,0.01812,0.02087,0.02396,0.02682
50,0.00121,0.00147,0.00175,0.00204,0.00236,0.00273,0.00321,0.00372,0.00423,0.00481,0.00555,0.00645,0.0074,0.00838,0.00935,0.01044,0.01132,0.0123,0.01364,0.01541,0.0177,0.02035,0.02332,0.0266,0.02961
51,0.00131,0.00162,0.00193,0.00224,0.00257,0.00294,0.00343,0.00396,0.00455,0.00525,0.00616,0.00726,0.00831,0.00918,0.01018,0.01126,0.01219,0.01349,0.01521,0.01733,0.0199,0.02278,0.02596,0.02957,0.0329
52,0.00139,0.00175,0.00211,0.00244,0.00279,0.00318,0.00369,0.0043,0.00498,0.00584,0.00692,0.00815,0.0091,0.00993,0.01101,0.01212,0.01335,0.01502,0.01699,0.01949,0.02225,0.02533,0.02882,0.03289,0.03678
53,0.00146,0.00188,0.00228,0.00266,0.00302,0.00345,0.00403,0.00475,0.00554,0.00657,0.00776,0.00892,0.00984,0.01084,0.01197,0.01326,0.01486,0.01678,0.01898,0.02177,0.02473,0.02809,0.03201,0.03667,0.04138
54,0.00153,0.00202,0.00247,0.00286,0.00326,0.00377,0.00446,0.0053,0.0062,0.00734,0.00846,0.00961,0.01073,0.01189,0.01318,0.01473,0.01658,0.01862,0.02117,0.02418,0.0274,0.03117,0.03566,0.0411,0.04673
55,0.0016,0.00216,0.00265,0.00307,0.00353,0.00414,0.00497,0.00592,0.00689,0.00797,0.00908,0.01042,0.01176,0.01311,0.01464,0.01649,0.01849,0.02058,0.02346,0.02674,0.03036,0.03466,0.03987,0.04635,0.0528
56,0.00169,0.00229,0.00283,0.00332,0.00386,0.00459,0.00553,0.00657,0.00759,0.00866,0.00996,0.01144,0.01295,0.01456,0.01643,0.01845,0.02054,0.02279,0.0259,0.02957,0.0337,0.03869,0.04475,0.05237,0.05962
57,0.00179,0.00243,0.00303,0.00361,0.00427,0.00511,0.00612,0.00721,0.00823,0.00948,0.01096,0.01267,0.01438,0.01627,0.01841,0.0205,0.02274,0.0252,0.02862,0.0328,0.03757,0.04337,0.05045,0.05919,0.06714
58,0.00193,0.00259,0.00326,0.00394,0.00473,0.00568,0.00674,0.00782,0.00883,0.01024,0.01192,0.01395,0.01608,0.01818,0.02044,0.02264,0.02511,0.0278,0.03169,0.03654,0.04207,0.0487,0.05705,0.06671,0.07523
59,0.0021,0.00278,0.00352,0.00432,0.00523,0.00626,0.00736,0.00842,0.00943,0.01101,0.01294,0.01527,0.01786,0.02019,0.02257,0.02493,0.02768,0.0307,0.03525,0.04086,0.04712,0.05493,0.06431,0.07475,0.08409
60,0.0023,0.00301,0.00381,0.00471,0.00574,0.00684,0.00796,0.00901,0.01004,0.01184,0.01403,0.01658,0.01944,0.02228,0.02486,0.02747,0.0306,0.03405,0.03937,0.04573,0.05299,0.06198,0.0721,0.08356,0.09406
61,0.00253,0.00326,0.00413,0.00512,0.00626,0.00744,0.00859,0.00965,0.01072,0.01276,0.01515,0.01784,0.02083,0.02419,0.02738,0.03035,0.03398,0.03795,0.044,0.05126,0.05975,0.06957,0.0807,0.09355,0.10536
62,0.00273,0.00354,0.00451,0.0056,0.00683,0.00809,0.00929,0.01043,0.0116,0.01383,0.01636,0.01918,0.02237,0.02605,0.03016,0.03369,0.03788,0.04236,0.04918,0.05768,0.06717,0.07799,0.09046,0.10489,0.11793
63,0.0029,0.00385,0.00495,0.00616,0.00748,0.00882,0.01012,0.01139,0.01271,0.01507,0.01776,0.0208,0.02429,0.0284,0.03324,0.03754,0.04226,0.04731,0.05484,0.06492,0.0754,0.08756,0.10157,0.1175,0.13168
64,0.00304,0.00418,0.00543,0.00678,0.0082,0.00965,0.01107,0.01249,0.01396,0.01648,0.01939,0.02275,0.02666,0.03132,0.03684,0.04185,0.04715,0.05289,0.06085,0.07297,0.08476,0.09841,0.11391,0.13131,0.14651
65,0.00316,0.00457,0.00597,0.00745,0.00903,0.01059,0.01211,0.01366,0.01533,0.01807,0.02128,0.02504,0.02949,0.0348,0.04099,0.04668,0.05247,0.05874,0.06755,0.082,0.09528,0.1104,0.12736,0.14616,0.16228
66,0.00332,0.00506,0.0066,0.00819,0.00999,0.01163,0.01325,0.01493,0.01681,0.01984,0.02344,0.0277,0.03278,0.03871,0.0456,0.05196,0.0581,0.06478,0.07561,0.09211,0.10685,0.12342,0.14179,0.16191,0.17822
67,0.00363,0.0056,0.00729,0.00902,0.01097,0.01281,0.01464,0.01653,0.01856,0.02198,0.02607,0.03094,0.03664,0.04326,0.05082,0.05757,0.06418,0.07215,0.08512,0.10338,0.11954,0.13748,0.15717,0.17789,0.1943
68,0.00402,0.0062,0.00807,0.00992,0.01173,0.01417,0.01618,0.01819,0.02041,0.0243,0.02896,0.0344,0.04075,0.048,0.05614,0.06371,0.07154,0.08129,0.0957,0.11575,0.13328,0.15252,0.17283,0.19404,0.21399
69,0.00443,0.00687,0.00893,0.01093,0.01233,0.01565,0.01764,0.01971,0.02294,0.02743,0.03268,0.03881,0.04582,0.05369,0.06268,0.07109,0.08062,0.09156,0.10735,0.12915,0.14796,0.16781,0.18862,0.21381,0.23564
70,0.00512,0.00763,0.00989,0.01178,0.01356,0.0171,0.01904,0.02241,0.026,0.03109,0.03702,0.04383,0.05147,0.06019,0.07052,0.08013,0.0909,0.10286,0.12003,0.1435,0.16293,0.1833,0.21066,0.23552,0.25539
71,0.00617,0.00847,0.01094,0.01299,0.01541,0.01835,0.02072,0.02461,0.02791,0.0335,0.03989,0.04711,0.05537,0.06514,0.077,0.09032,0.10224,0.11561,0.13375,0.15819,0.17817,0.20765,0.23546,0.25534,0.27415
72,0.00722,0.00973,0.01233,0.01471,0.01707,0.01954,0.02226,0.02605,0.02929,0.03525,0.04195,0.04964,0.05877,0.06985,0.08327,0.09986,0.11521,0.1308,0.14982,0.17433,0.20474,0.23539,0.25529,0.27414,0.29118
73,0.00826,0.01108,0.01378,0.01632,0.01869,0.02105,0.02444,0.02823,0.03137,0.03777,0.04501,0.05361,0.06407,0.07674,0.09201,0.11023,0.13064,0.14814,0.16914,0.2033,0.23533,0.25526,0.2741,0.29118,0.30926
74,0.00952,0.01201,0.01501,0.01805,0.02048,0.02351,0.02726,0.0306,0.03589,0.04288,0.05127,0.06144,0.07377,0.08861,0.10635,0.12756,0.14804,0.16734,0.20125,0.23527,0.25522,0.27408,0.29118,0.30926,0.32854
75,0.01042,0.0131,0.01642,0.01993,0.02273,0.02634,0.02987,0.03499,0.04266,0.0509,0.06105,0.07332,0.08809,0.10575,0.1267,0.14792,0.16718,0.2002,0.23521,0.25518,0.27406,0.29118,0.30926,0.32854,0.34911
76,0.01086,0.01434,0.01806,0.02197,0.02542,0.02912,0.03405,0.0415,0.04866,0.05969,0.07178,0.08635,0.10378,0.12447,0.1465,0.16694,0.19965,0.23514,0.25515,0.27403,0.29118,0.30926,0.32854,0.34911,0.36876
77,0.01148,0.0155,0.01982,0.02456,0.02841,0.03315,0.04039,0.04782,0.05744,0.07049,0.08487,0.10209,0.12254,0.14427,0.16587,0.19915,0.2345,0.25511,0.27399,0.29118,0.30926,0.32854,0.34911,0.36876,0.38619
78,0.01232,0.01679,0.02189,0.0277,0.03227,0.03929,0.04698,0.0566,0.06693,0.08106,0.09779,0.11772,0.1408,0.16486,0.19872,0.23393,0.25481,0.27383,0.29114,0.30926,0.32854,0.34911,0.36876,0.38619,0.40473
79,0.01328,0.01844,0.02448,0.0314,0.03823,0.04613,0.05576,0.06597,0.0759,0.09213,0.11128,0.13349,0.15916,0.19739,0.23344,0.25452,0.27353,0.29082,0.30921,0.32854,0.34911,0.36876,0.38619,0.40473,0.42444
80,0.0144,0.02058,0.02774,0.03595,0.04539,0.05501,0.06512,0.07512,0.08868,0.10759,0.12935,0.15643,0.19506,0.23301,0.25428,0.27327,0.29054,0.30893,0.3285,0.34911,0.36876,0.38619,0.40473,0.42444,0.44527
81,0.0158,0.02329,0.03184,0.04163,0.05296,0.06432,0.07438,0.08789,0.10059,0.12707,0.15389,0.19428,0.23264,0.25407,0.27304,0.2903,0.30868,0.32824,0.34908,0.36876,0.38619,0.40473,0.42444,0.44527,0.46721
82,0.01773,0.02678,0.03701,0.04871,0.06217,0.07371,0.08719,0.09989,0.12137,0.15373,0.19401,0.23231,0.2539,0.27284,0.29009,0.30846,0.32802,0.34885,0.36873,0.38619,0.40473,0.42444,0.44527,0.46721,0.4905
83,0.02051,0.0313,0.04347,0.05731,0.07311,0.08656,0.09927,0.12078,0.1533,0.19377,0.23201,0.25373,0.27267,0.28991,0.30827,0.32783,0.34866,0.36855,0.38616,0.40473,0.42444,0.44527,0.46721,0.4905,0.51521
84,0.02441,0.03709,0.05134,0.06747,0.08592,0.09867,0.12021,0.15282,0.19298,0.23174,0.25358,0.27251,0.28975,0.3081,0.32766,0.3485,0.3684,0.38604,0.40471,0.42444,0.44527,0.46721,0.4905,0.51521,0.54143
85,0.02958,0.04428,0.06081,0.07955,0.09807,0.11965,0.15229,0.19221,0.23081,0.25345,0.27237,0.28961,0.30796,0.32751,0.34835,0.36827,0.38593,0.40463,0.42444,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922
86,0.03607,0.05325,0.07252,0.09432,0.11913,0.15178,0.19145,0.22994,0.25299,0.27224,0.28947,0.30783,0.32738,0.34823,0.36815,0.38584,0.40456,0.42441,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865
87,0.04419,0.06472,0.08747,0.11861,0.15131,0.19073,0.22917,0.25257,0.27181,0.28936,0.30771,0.32726,0.34811,0.36805,0.38575,0.4045,0.42437,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983
88,0.05486,0.07966,0.11291,0.15083,0.19008,0.22844,0.25218,0.27141,0.28896,0.3076,0.32716,0.34801,0.36797,0.38568,0.40445,0.42435,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283
89,0.06956,0.10628,0.14671,0.18941,0.2278,0.25183,0.27104,0.28858,0.30724,0.32707,0.34792,0.36788,0.38562,0.4044,0.42433,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775
90,0.09773,0.14193,0.18716,0.22715,0.2515,0.2707,0.28824,0.30689,0.32674,0.34785,0.36781,0.38557,0.40437,0.42431,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465
91,0.13581,0.18462,0.22651,0.25119,0.27039,0.28793,0.30658,0.32644,0.34756,0.36776,0.38552,0.40433,0.42429,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363
92,0.1817,0.22586,0.25087,0.2701,0.28764,0.3063,0.32616,0.34731,0.36752,0.38547,0.4043,0.42428,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476
93,0.22543,0.25055,0.26979,0.28736,0.30604,0.32591,0.34706,0.36732,0.3853,0.40427,0.42427,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813
94,0.25023,0.26948,0.28708,0.30578,0.32568,0.34685,0.36713,0.38516,0.40416,0.42426,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038
95,0.26918,0.2868,0.30553,0.32545,0.34665,0.36695,0.38503,0.40407,0.42422,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167
96,0.28652,0.30527,0.32523,0.34645,0.36679,0.3849,0.40398,0.42418,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1
97,0.30501,0.32499,0.34626,0.36664,0.38479,0.4039,0.42414,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,
98,0.32477,0.34606,0.36649,0.38468,0.40383,0.42411,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,,
