Table Name:,2017 Unloaded CSO Preferred Structure Nonsmoker Residual Standard Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00026,0.00028,0.00026,0.00027,0.00027,0.00028,0.00032,0.00036,0.00039,0.00047,0.00054,0.00061,0.00066,0.00074,0.00082,0.0009,0.00104,0.00115,0.00122,0.00125,0.00133,0.00146,0.00164,0.00185,0.00206
27,0.00023,0.00025,0.00025,0.00026,0.00027,0.00029,0.00033,0.00038,0.00041,0.00051,0.00059,0.00065,0.00071,0.0008,0.00089,0.00097,0.0011,0.0012,0.00124,0.00131,0.00142,0.00158,0.00178,0.002,0.00224
28,0.0002,0.00023,0.00024,0.00027,0.00029,0.00032,0.00036,0.0004,0.00045,0.00056,0.00064,0.00071,0.00077,0.00087,0.00096,0.00105,0.00117,0.00124,0.00131,0.0014,0.00154,0.00172,0.00194,0.00218,0.00244
29,0.00018,0.00021,0.00024,0.00028,0.00031,0.00034,0.00038,0.00044,0.00049,0.00061,0.00069,0.00077,0.00083,0.00093,0.00103,0.00111,0.00121,0.00131,0.0014,0.00151,0.00168,0.00189,0.00212,0.00238,0.00268
30,0.00018,0.00019,0.00025,0.00029,0.00031,0.00034,0.00038,0.00044,0.0005,0.00063,0.00071,0.00078,0.00084,0.00095,0.00103,0.00115,0.00129,0.00139,0.0015,0.00164,0.00184,0.00207,0.00232,0.00261,0.00293
31,0.00015,0.00017,0.00025,0.00029,0.00032,0.00035,0.00039,0.00045,0.00055,0.00066,0.00073,0.00079,0.00087,0.00097,0.00108,0.00123,0.00137,0.00148,0.00161,0.00178,0.002,0.00226,0.00254,0.00285,0.00318
32,0.00015,0.00017,0.00025,0.0003,0.00033,0.00036,0.00042,0.0005,0.00061,0.00071,0.00078,0.00084,0.00092,0.00102,0.00116,0.00131,0.00146,0.00159,0.00174,0.00193,0.00218,0.00246,0.00277,0.00311,0.00342
33,0.00016,0.00018,0.00027,0.00032,0.00035,0.0004,0.00047,0.00055,0.00067,0.00077,0.00083,0.00088,0.00096,0.00109,0.00124,0.0014,0.00156,0.0017,0.00187,0.00209,0.00237,0.00269,0.00303,0.00336,0.00366
34,0.00017,0.00019,0.0003,0.00034,0.00038,0.00045,0.00052,0.00061,0.00073,0.00081,0.00086,0.00092,0.00104,0.00118,0.00133,0.0015,0.00167,0.00183,0.00202,0.00227,0.00258,0.00294,0.00329,0.00362,0.00392
35,0.00017,0.0002,0.00032,0.00037,0.00043,0.00049,0.00055,0.00067,0.00078,0.00085,0.0009,0.001,0.00113,0.00128,0.00143,0.00161,0.00178,0.00196,0.00219,0.00248,0.00283,0.00321,0.00358,0.0039,0.00421
36,0.00017,0.00022,0.00034,0.00041,0.00048,0.00054,0.00062,0.00074,0.00082,0.00089,0.00098,0.00109,0.00123,0.00139,0.00155,0.00173,0.00191,0.00212,0.00238,0.00272,0.00312,0.00352,0.00389,0.00421,0.00456
37,0.00017,0.00023,0.00037,0.00046,0.00053,0.00059,0.00069,0.00079,0.00086,0.00096,0.00107,0.0012,0.00135,0.00151,0.00167,0.00186,0.00207,0.0023,0.00262,0.00301,0.00345,0.00386,0.00421,0.00456,0.00501
38,0.00017,0.00026,0.00041,0.00048,0.00057,0.00065,0.00076,0.00084,0.00094,0.00106,0.00118,0.00132,0.00148,0.00165,0.00182,0.00202,0.00225,0.00254,0.00292,0.00336,0.00382,0.00421,0.00456,0.00501,0.00555
39,0.00018,0.0003,0.00045,0.00053,0.00062,0.00072,0.00081,0.00091,0.00102,0.00117,0.00131,0.00145,0.00162,0.0018,0.00199,0.00221,0.00249,0.00283,0.00328,0.00376,0.00421,0.00456,0.00501,0.00553,0.00621
40,0.00019,0.00035,0.0005,0.00059,0.00069,0.00078,0.00088,0.00098,0.00112,0.00129,0.00144,0.00159,0.00178,0.00198,0.00219,0.00244,0.00278,0.0032,0.00369,0.00419,0.00456,0.00501,0.00551,0.00613,0.00691
41,0.00022,0.0004,0.00055,0.00064,0.00074,0.00084,0.00094,0.00106,0.00123,0.00141,0.00157,0.00174,0.00196,0.00219,0.00242,0.00273,0.00313,0.00362,0.00415,0.00456,0.00501,0.00551,0.00606,0.00684,0.00763
42,0.00026,0.00046,0.00059,0.00069,0.00081,0.0009,0.001,0.00115,0.00135,0.00153,0.0017,0.00189,0.00215,0.00241,0.00269,0.00306,0.00355,0.0041,0.00456,0.00501,0.00551,0.00601,0.00667,0.00748,0.00839
43,0.00031,0.0005,0.00063,0.00076,0.00086,0.00095,0.00107,0.00125,0.00146,0.00165,0.00184,0.00207,0.00236,0.00266,0.003,0.00344,0.00401,0.00456,0.00501,0.00551,0.00597,0.00657,0.00735,0.00827,0.00926
44,0.00036,0.00054,0.00068,0.00082,0.00092,0.00101,0.00116,0.00137,0.00158,0.00178,0.00199,0.00227,0.00261,0.00295,0.00334,0.00386,0.00448,0.00501,0.00551,0.00596,0.00649,0.00724,0.00815,0.00916,0.01023
45,0.00042,0.00057,0.00073,0.0009,0.00098,0.00109,0.00128,0.0015,0.00171,0.00192,0.00218,0.0025,0.00287,0.00325,0.00371,0.00429,0.00495,0.00551,0.00596,0.00648,0.00709,0.00805,0.0091,0.01021,0.01137
46,0.00048,0.0006,0.00079,0.00097,0.00106,0.00121,0.00143,0.00165,0.00185,0.00209,0.0024,0.00276,0.00316,0.00358,0.0041,0.00473,0.00541,0.00595,0.00648,0.00705,0.00783,0.009,0.01014,0.01133,0.0127
47,0.00053,0.00062,0.00086,0.00105,0.00117,0.00136,0.0016,0.00181,0.00201,0.00231,0.00267,0.00306,0.00348,0.00393,0.0045,0.00519,0.00589,0.00648,0.00702,0.00769,0.00872,0.01009,0.01133,0.0127,0.01421
48,0.00058,0.00066,0.00094,0.00114,0.0013,0.00154,0.00178,0.00198,0.00221,0.00257,0.00298,0.00338,0.00381,0.0043,0.00492,0.00567,0.00641,0.00702,0.00766,0.00852,0.00977,0.01133,0.01269,0.01421,0.01597
49,0.00061,0.00071,0.00103,0.00124,0.00146,0.00173,0.00196,0.00215,0.00245,0.00288,0.00331,0.0037,0.00413,0.00467,0.00535,0.00615,0.00693,0.0076,0.00838,0.00944,0.01094,0.01267,0.01421,0.01595,0.01797
50,0.00062,0.0008,0.00113,0.00136,0.00164,0.00192,0.00211,0.00234,0.00272,0.00323,0.00366,0.00402,0.00447,0.00507,0.00583,0.00669,0.00751,0.00827,0.00922,0.0105,0.01224,0.01405,0.01586,0.01797,0.02033
51,0.00062,0.00091,0.00125,0.0015,0.00183,0.00207,0.00226,0.00255,0.00304,0.0036,0.00401,0.00442,0.00485,0.00555,0.00639,0.00731,0.00817,0.00905,0.0102,0.01172,0.01358,0.01551,0.01761,0.02007,0.02283
52,0.00063,0.00104,0.00139,0.00168,0.002,0.0022,0.00241,0.0028,0.00339,0.00398,0.00438,0.00484,0.00534,0.00616,0.0071,0.00806,0.00899,0.01002,0.01141,0.01315,0.01518,0.01723,0.01956,0.02236,0.02554
53,0.00063,0.00117,0.00155,0.00189,0.00218,0.00235,0.00263,0.0031,0.00378,0.00438,0.00483,0.00531,0.00595,0.00691,0.00793,0.00899,0.01002,0.0114,0.01283,0.01475,0.01692,0.01924,0.02188,0.02502,0.02854
54,0.00064,0.0013,0.00173,0.00215,0.00235,0.00256,0.0029,0.00347,0.00421,0.00482,0.00528,0.00585,0.00677,0.00788,0.00898,0.01002,0.01139,0.01279,0.01459,0.01667,0.019,0.02182,0.02501,0.02853,0.03215
55,0.00066,0.00139,0.00194,0.00232,0.00253,0.00274,0.00317,0.00392,0.00468,0.00528,0.00585,0.00666,0.00779,0.00898,0.01002,0.01138,0.01276,0.01447,0.01658,0.01897,0.02156,0.02483,0.02834,0.03213,0.03616
56,0.00076,0.00146,0.00215,0.00251,0.00272,0.00303,0.00361,0.00444,0.0052,0.00584,0.00662,0.00765,0.00892,0.01002,0.01137,0.01276,0.01445,0.01651,0.01895,0.02155,0.02468,0.02827,0.03213,0.03616,0.0406
57,0.00092,0.00151,0.00236,0.00272,0.003,0.00337,0.00415,0.00501,0.00577,0.00654,0.0075,0.00876,0.01002,0.01137,0.01273,0.01441,0.01645,0.0188,0.0215,0.02451,0.02787,0.03182,0.03616,0.0406,0.04587
58,0.00114,0.00158,0.00254,0.00296,0.00331,0.00384,0.00474,0.00562,0.00639,0.00733,0.00852,0.00996,0.01136,0.01273,0.01436,0.01629,0.01875,0.02147,0.02448,0.02782,0.03182,0.03615,0.0406,0.04587,0.05177
59,0.00141,0.00169,0.00269,0.00323,0.00358,0.00439,0.00536,0.00622,0.00708,0.00823,0.00965,0.0112,0.01271,0.01436,0.01616,0.01845,0.02135,0.02439,0.02763,0.0313,0.03582,0.04058,0.04587,0.05177,0.05861
60,0.00167,0.00186,0.00282,0.00334,0.00396,0.00495,0.00595,0.00682,0.00783,0.00922,0.01088,0.01262,0.01431,0.01602,0.01809,0.02086,0.02419,0.0276,0.0313,0.03579,0.04055,0.04587,0.05177,0.05861,0.06651
61,0.00186,0.00211,0.00296,0.0035,0.00439,0.00551,0.0065,0.00744,0.00865,0.01028,0.01209,0.01391,0.01571,0.0177,0.02024,0.02351,0.02728,0.03117,0.03548,0.04035,0.04581,0.05177,0.05861,0.06651,0.07565
62,0.00198,0.00242,0.00315,0.00376,0.00487,0.00604,0.00703,0.0081,0.00955,0.01137,0.01329,0.01519,0.01717,0.01955,0.02261,0.02636,0.03061,0.03515,0.04029,0.04576,0.05177,0.05861,0.06651,0.07565,0.0862
63,0.00206,0.0028,0.00343,0.00417,0.00543,0.00658,0.0076,0.00885,0.01053,0.01252,0.01454,0.01657,0.01884,0.02167,0.02524,0.0295,0.03427,0.03943,0.04544,0.05157,0.05861,0.06651,0.07565,0.0862,0.09824
64,0.00214,0.00317,0.00382,0.0047,0.00606,0.00715,0.00825,0.00971,0.01161,0.01377,0.01584,0.01798,0.02059,0.02388,0.02791,0.03281,0.03862,0.04515,0.05155,0.05861,0.06651,0.07565,0.0862,0.09824,0.11178
65,0.00223,0.00359,0.00431,0.00532,0.00677,0.00781,0.00904,0.01071,0.01282,0.01518,0.01736,0.01969,0.02268,0.02641,0.03089,0.03652,0.04321,0.05043,0.05834,0.06651,0.07565,0.0862,0.09824,0.11178,0.12635
66,0.00235,0.00399,0.00487,0.00601,0.00758,0.0086,0.00997,0.01185,0.01421,0.01683,0.01922,0.02177,0.02516,0.02933,0.03427,0.04127,0.04991,0.05823,0.06651,0.07565,0.0862,0.09824,0.11178,0.12635,0.14173
67,0.00249,0.00434,0.00548,0.00679,0.00849,0.00953,0.01106,0.01317,0.01583,0.01883,0.02161,0.02456,0.02843,0.03312,0.03863,0.04645,0.05662,0.06606,0.07565,0.0862,0.09824,0.11178,0.12635,0.14173,0.15695
68,0.00267,0.00468,0.00614,0.00766,0.00924,0.0106,0.01231,0.01469,0.01776,0.02128,0.02452,0.02836,0.0324,0.03767,0.04375,0.05297,0.06461,0.07522,0.0862,0.09824,0.11178,0.12635,0.14173,0.15695,0.17188
69,0.00291,0.00505,0.00686,0.00863,0.01032,0.01179,0.01368,0.01642,0.02038,0.02423,0.02828,0.03238,0.03744,0.04369,0.05077,0.06107,0.07368,0.08569,0.09824,0.11178,0.12635,0.14173,0.15695,0.17188,0.18636
70,0.00312,0.00533,0.00751,0.00953,0.01125,0.0128,0.01503,0.01886,0.02269,0.02719,0.03232,0.03721,0.04364,0.05073,0.06057,0.07138,0.08554,0.09824,0.11178,0.12635,0.14173,0.15695,0.17188,0.18636,0.19963
71,0.00334,0.00556,0.00812,0.0104,0.01205,0.01395,0.01703,0.02095,0.02513,0.03034,0.03699,0.04362,0.05063,0.06009,0.06825,0.08179,0.09749,0.11178,0.12635,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108
72,0.00358,0.00582,0.00877,0.01133,0.01306,0.01578,0.01905,0.02313,0.02828,0.03504,0.04327,0.05052,0.05958,0.06815,0.0778,0.09333,0.11098,0.12635,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779
73,0.00387,0.00619,0.00956,0.01246,0.01489,0.0178,0.02141,0.02594,0.03257,0.04045,0.05042,0.05952,0.0681,0.07774,0.09288,0.11082,0.12635,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559
74,0.00428,0.00678,0.01066,0.014,0.01676,0.02019,0.02452,0.02984,0.03754,0.04707,0.05942,0.06805,0.07768,0.09056,0.10738,0.12569,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495
75,0.00469,0.00747,0.01188,0.01572,0.01897,0.02308,0.02813,0.03429,0.04356,0.05438,0.06799,0.07761,0.08969,0.10626,0.1246,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546
76,0.00508,0.00809,0.01311,0.01775,0.02172,0.02656,0.03247,0.04003,0.05069,0.0628,0.07744,0.08946,0.10605,0.12431,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067
77,0.00526,0.00837,0.0137,0.01902,0.02383,0.02923,0.03614,0.04651,0.0585,0.07149,0.08918,0.10562,0.12415,0.14173,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825
78,0.00551,0.00877,0.01457,0.02064,0.02592,0.03281,0.04049,0.05366,0.06665,0.08118,0.10395,0.1232,0.14102,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002
79,0.00571,0.00914,0.01546,0.02218,0.02834,0.03585,0.04515,0.05916,0.07363,0.09205,0.11872,0.13993,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165
80,0.0059,0.00955,0.01639,0.02403,0.03075,0.03879,0.0499,0.0646,0.08144,0.10442,0.13665,0.15695,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279
81,0.0064,0.01043,0.01845,0.02726,0.03487,0.04418,0.05755,0.07342,0.0955,0.12309,0.15428,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305
82,0.00704,0.01163,0.02106,0.03139,0.04026,0.05067,0.06709,0.08826,0.11385,0.14997,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208
83,0.00811,0.01356,0.02512,0.03741,0.04842,0.0613,0.08177,0.10908,0.14424,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951
84,0.00956,0.01649,0.03152,0.04726,0.06108,0.07906,0.10498,0.14357,0.17188,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498
85,0.01133,0.01993,0.03887,0.05836,0.07697,0.10094,0.13526,0.16727,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812
86,0.01371,0.02454,0.04885,0.07398,0.0991,0.13125,0.16606,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857
87,0.01648,0.0301,0.06089,0.09371,0.12633,0.16345,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595
88,0.0193,0.03622,0.07432,0.1155,0.15605,0.18636,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5
89,0.02225,0.04219,0.08852,0.13849,0.18213,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5
90,0.02565,0.04908,0.10453,0.16553,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5
91,0.0325,0.07608,0.15471,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5
92,0.04649,0.11264,0.19963,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5
93,0.06939,0.15766,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5
94,0.10261,0.1851,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.14707,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Residual Standard, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00111,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00142,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00168,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00172,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00179,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00193,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00202,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00227,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00248,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00272,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00297,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00322,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00346,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00369,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00393,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00421,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00456,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00501,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00558,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00622,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00693,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0077,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00852,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0094,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01035,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01144,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01271,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01421,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01598,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01804,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02038,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02297,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0258,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02889,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03229,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03616,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0406,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04587,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05177,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05861,,,,,,,,,,,,,,,,,,,,,,,,
