Table Name:,2017 Unloaded CSO Smoker Distinct Nonsmoker Male ALB ,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00019,0.00021,0.00021,0.00023,0.00025,0.00027,0.0003,0.00034,0.00038,0.00047,0.00054,0.0006,0.00065,0.00073,0.00082,0.00089,0.001,0.00107,0.00112,0.0012,0.0013,0.00146,0.00164,0.00185,0.00207
28,0.00017,0.00019,0.00021,0.00024,0.00026,0.00029,0.00032,0.00037,0.00041,0.00051,0.00059,0.00065,0.0007,0.00079,0.00088,0.00095,0.00104,0.00112,0.00119,0.00128,0.00142,0.00159,0.00179,0.00201,0.00226
29,0.00016,0.00017,0.00021,0.00025,0.00027,0.0003,0.00034,0.00038,0.00043,0.00054,0.00062,0.00068,0.00073,0.00082,0.0009,0.00099,0.0011,0.00118,0.00127,0.00139,0.00154,0.00174,0.00196,0.0022,0.00247
30,0.00014,0.00016,0.00022,0.00025,0.00027,0.0003,0.00034,0.00039,0.00046,0.00056,0.00063,0.00069,0.00075,0.00084,0.00092,0.00104,0.00116,0.00126,0.00136,0.0015,0.00168,0.0019,0.00214,0.0024,0.00269
31,0.00013,0.00015,0.00022,0.00026,0.00028,0.00031,0.00035,0.00041,0.00051,0.0006,0.00066,0.00071,0.00078,0.00087,0.00097,0.00111,0.00124,0.00134,0.00147,0.00162,0.00183,0.00207,0.00233,0.00262,0.0029
32,0.00014,0.00015,0.00023,0.00027,0.0003,0.00033,0.00039,0.00045,0.00056,0.00064,0.0007,0.00075,0.00082,0.00092,0.00104,0.00118,0.00131,0.00143,0.00158,0.00176,0.00198,0.00225,0.00254,0.00283,0.00311
33,0.00014,0.00016,0.00025,0.00029,0.00032,0.00037,0.00043,0.0005,0.0006,0.00068,0.00073,0.00078,0.00087,0.00099,0.00111,0.00126,0.0014,0.00153,0.00169,0.0019,0.00216,0.00245,0.00276,0.00305,0.00332
34,0.00015,0.00017,0.00027,0.00031,0.00035,0.0004,0.00046,0.00055,0.00065,0.00071,0.00076,0.00083,0.00094,0.00106,0.00119,0.00134,0.00149,0.00164,0.00182,0.00206,0.00235,0.00268,0.00299,0.00329,0.00355
35,0.00015,0.00018,0.00028,0.00034,0.00039,0.00044,0.0005,0.0006,0.00068,0.00074,0.00081,0.0009,0.00102,0.00115,0.00128,0.00144,0.00159,0.00176,0.00197,0.00225,0.00258,0.00292,0.00325,0.00354,0.00383
36,0.00015,0.00019,0.00031,0.00037,0.00043,0.00048,0.00056,0.00065,0.00072,0.00079,0.00088,0.00098,0.00111,0.00124,0.00138,0.00154,0.00171,0.0019,0.00216,0.00248,0.00284,0.0032,0.00352,0.00383,0.00418
37,0.00015,0.00021,0.00033,0.0004,0.00047,0.00053,0.00062,0.00069,0.00077,0.00086,0.00096,0.00107,0.00121,0.00135,0.0015,0.00166,0.00185,0.00208,0.00238,0.00275,0.00314,0.0035,0.00383,0.00418,0.00461
38,0.00015,0.00024,0.00037,0.00043,0.0005,0.00058,0.00067,0.00074,0.00083,0.00095,0.00106,0.00118,0.00132,0.00147,0.00163,0.00181,0.00203,0.0023,0.00266,0.00307,0.00347,0.00382,0.00418,0.00459,0.00512
39,0.00016,0.00028,0.0004,0.00047,0.00055,0.00064,0.00072,0.0008,0.00091,0.00104,0.00117,0.00129,0.00145,0.00161,0.00178,0.00199,0.00225,0.00258,0.00299,0.00342,0.00381,0.00418,0.00457,0.00506,0.00571
40,0.00018,0.00032,0.00044,0.00052,0.0006,0.00069,0.00077,0.00086,0.00099,0.00114,0.00127,0.00141,0.00158,0.00177,0.00196,0.0022,0.00252,0.00292,0.00336,0.00379,0.00418,0.00457,0.00501,0.00563,0.00633
41,0.0002,0.00036,0.00048,0.00056,0.00065,0.00073,0.00082,0.00093,0.00109,0.00124,0.00138,0.00154,0.00174,0.00195,0.00217,0.00247,0.00285,0.0033,0.00377,0.00418,0.00456,0.00497,0.00551,0.00622,0.00699
42,0.00024,0.0004,0.00051,0.00061,0.0007,0.00078,0.00087,0.00101,0.00118,0.00134,0.00149,0.00168,0.00191,0.00215,0.00242,0.00277,0.00322,0.00371,0.00417,0.00456,0.00495,0.00544,0.00608,0.00685,0.0077
43,0.00028,0.00043,0.00055,0.00066,0.00075,0.00082,0.00094,0.0011,0.00128,0.00145,0.00162,0.00183,0.0021,0.00238,0.00269,0.00311,0.00362,0.00413,0.00456,0.00494,0.00537,0.00598,0.00673,0.00759,0.00852
44,0.00032,0.00046,0.00059,0.00072,0.00079,0.00088,0.00102,0.00121,0.00138,0.00156,0.00176,0.00201,0.00232,0.00263,0.00299,0.00347,0.00402,0.00453,0.00493,0.00536,0.00586,0.00662,0.0075,0.00845,0.00946
45,0.00037,0.00049,0.00064,0.00078,0.00085,0.00096,0.00114,0.00132,0.00149,0.00169,0.00193,0.00222,0.00255,0.0029,0.00332,0.00385,0.00443,0.00492,0.00535,0.00584,0.00645,0.0074,0.00839,0.00943,0.01058
46,0.00042,0.00051,0.00069,0.00084,0.00093,0.00107,0.00127,0.00145,0.00162,0.00185,0.00214,0.00246,0.00281,0.00319,0.00366,0.00423,0.00484,0.00534,0.00581,0.00637,0.00717,0.00831,0.00938,0.01054,0.01186
47,0.00046,0.00053,0.00075,0.00092,0.00103,0.00121,0.00141,0.00159,0.00177,0.00205,0.00238,0.00272,0.00308,0.0035,0.00401,0.00464,0.00527,0.0058,0.00633,0.00701,0.00803,0.00935,0.01052,0.01184,0.01334
48,0.00049,0.00057,0.00082,0.00099,0.00115,0.00137,0.00156,0.00173,0.00195,0.00229,0.00265,0.00299,0.00336,0.00381,0.00438,0.00505,0.00572,0.0063,0.00693,0.00779,0.00902,0.0105,0.01182,0.01331,0.01505
49,0.00051,0.00063,0.0009,0.00108,0.00129,0.00152,0.0017,0.00188,0.00217,0.00257,0.00294,0.00326,0.00364,0.00414,0.00477,0.0055,0.0062,0.00684,0.00762,0.00867,0.01012,0.01172,0.01325,0.01502,0.01704
50,0.00051,0.00071,0.00099,0.00119,0.00144,0.00166,0.00183,0.00205,0.00242,0.00287,0.00324,0.00357,0.00395,0.00452,0.00522,0.006,0.00675,0.00748,0.00842,0.00968,0.0113,0.013,0.01479,0.0169,0.01927
51,0.00052,0.0008,0.00109,0.00132,0.00159,0.00178,0.00195,0.00224,0.00269,0.00319,0.00354,0.00392,0.00433,0.00498,0.00577,0.0066,0.00739,0.00825,0.00939,0.01086,0.01262,0.01444,0.01648,0.01891,0.02167
52,0.00052,0.00091,0.00121,0.00148,0.00173,0.00189,0.0021,0.00246,0.003,0.00352,0.00388,0.00429,0.00479,0.00557,0.00643,0.00733,0.00821,0.00928,0.01055,0.01221,0.01412,0.01612,0.01842,0.02118,0.02432
53,0.00052,0.00102,0.00135,0.00167,0.00187,0.00204,0.0023,0.00274,0.00334,0.00386,0.00426,0.00472,0.0054,0.0063,0.00725,0.0082,0.00926,0.0105,0.01196,0.01377,0.01583,0.0182,0.02091,0.02402,0.0274
54,0.00053,0.0011,0.00151,0.00184,0.00201,0.00219,0.00252,0.00308,0.00371,0.00424,0.00469,0.00528,0.00618,0.0072,0.00819,0.00924,0.01044,0.01184,0.01362,0.01566,0.01792,0.02073,0.02386,0.02732,0.03108
55,0.00058,0.00116,0.00167,0.00199,0.00216,0.00238,0.00281,0.00347,0.00412,0.00468,0.00525,0.00604,0.00709,0.00817,0.00921,0.0104,0.01177,0.01348,0.01555,0.01785,0.02048,0.02367,0.02717,0.03104,0.03522
56,0.00068,0.00121,0.00184,0.00214,0.00235,0.00264,0.00321,0.00392,0.00456,0.00519,0.00593,0.00692,0.0081,0.00919,0.01033,0.01171,0.01338,0.01538,0.01773,0.02033,0.02333,0.02687,0.03095,0.03522,0.03983
57,0.00083,0.00125,0.00199,0.00232,0.00258,0.00296,0.00366,0.0044,0.00505,0.00579,0.00672,0.00791,0.00916,0.01031,0.0116,0.01323,0.01526,0.01756,0.02019,0.02314,0.02662,0.03065,0.03515,0.03983,0.04509
58,0.00102,0.00132,0.00212,0.00251,0.00281,0.00337,0.00415,0.00488,0.00558,0.00648,0.00761,0.00892,0.01026,0.01159,0.01307,0.01498,0.0174,0.02003,0.02294,0.02621,0.03026,0.0349,0.03983,0.04509,0.05112
59,0.00123,0.00142,0.00222,0.00266,0.00306,0.00381,0.00463,0.00537,0.00617,0.00725,0.00858,0.01002,0.01147,0.01296,0.01468,0.01696,0.01979,0.02278,0.02604,0.02986,0.03445,0.03965,0.04509,0.05112,0.05812
60,0.0014,0.00159,0.00232,0.00276,0.00337,0.00425,0.00508,0.00586,0.0068,0.00809,0.00959,0.01115,0.01271,0.01437,0.01645,0.01918,0.02241,0.02582,0.0296,0.03407,0.03932,0.04509,0.05112,0.05812,0.06625
61,0.00152,0.0018,0.00244,0.00291,0.00373,0.00468,0.00551,0.00637,0.0075,0.00898,0.01059,0.01223,0.01392,0.01589,0.01842,0.0216,0.02529,0.02922,0.03373,0.0389,0.04482,0.05112,0.05812,0.06625,0.07568
62,0.00159,0.00207,0.00262,0.00317,0.00414,0.0051,0.00596,0.00694,0.00827,0.00991,0.01162,0.01336,0.01527,0.01762,0.02062,0.02428,0.02844,0.03297,0.03829,0.04425,0.05112,0.05812,0.06625,0.07568,0.08656
63,0.00165,0.00236,0.00288,0.00354,0.00461,0.00554,0.00645,0.00759,0.00912,0.01091,0.0127,0.01456,0.01676,0.01952,0.02298,0.02719,0.03208,0.03751,0.04369,0.05061,0.05812,0.06625,0.07568,0.08656,0.09897
64,0.00172,0.00266,0.00322,0.00399,0.00514,0.00604,0.00703,0.00836,0.01008,0.01203,0.01391,0.01592,0.01845,0.02163,0.02553,0.03041,0.03621,0.04266,0.05006,0.05812,0.06625,0.07568,0.08656,0.09897,0.11272
65,0.00179,0.00298,0.00363,0.00451,0.00575,0.00662,0.00773,0.00925,0.01117,0.01334,0.01537,0.01758,0.02049,0.0241,0.02845,0.0343,0.04144,0.04905,0.05757,0.06625,0.07568,0.08656,0.09897,0.11272,0.12752
66,0.00189,0.00327,0.0041,0.0051,0.00645,0.00733,0.00857,0.01028,0.01245,0.01491,0.01723,0.01974,0.02307,0.02715,0.03201,0.03889,0.04767,0.05662,0.06625,0.07568,0.08656,0.09897,0.11272,0.12752,0.14304
67,0.00202,0.00355,0.0046,0.00576,0.00713,0.00816,0.00955,0.01148,0.01397,0.01685,0.01959,0.02268,0.02634,0.03096,0.03639,0.04433,0.05457,0.06473,0.07568,0.08656,0.09897,0.11272,0.12752,0.14304,0.1588
68,0.00218,0.00383,0.00515,0.00651,0.00789,0.0091,0.01066,0.01288,0.01595,0.01923,0.02256,0.02625,0.03044,0.03584,0.04202,0.05117,0.06264,0.07416,0.08656,0.09897,0.11272,0.12752,0.14304,0.1588,0.17451
69,0.00236,0.00409,0.00571,0.00728,0.00873,0.01004,0.01184,0.01469,0.01812,0.02187,0.0261,0.03028,0.03563,0.04192,0.04982,0.05983,0.07283,0.08574,0.09897,0.11272,0.12752,0.14304,0.1588,0.17451,0.18973
70,0.00253,0.00431,0.00623,0.00802,0.00947,0.01098,0.01329,0.01669,0.02026,0.02464,0.03006,0.03547,0.04174,0.0495,0.05808,0.06968,0.08451,0.09897,0.11272,0.12752,0.14304,0.1588,0.17451,0.18973,0.20375
71,0.00272,0.00452,0.00677,0.00879,0.01026,0.01227,0.01506,0.01861,0.0228,0.02821,0.035,0.04162,0.0491,0.05768,0.06631,0.08023,0.09681,0.11272,0.12752,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845
72,0.00294,0.00479,0.00738,0.00967,0.01149,0.01395,0.01701,0.02087,0.02617,0.03282,0.04119,0.04894,0.05735,0.06616,0.07799,0.0943,0.11157,0.12752,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554
73,0.00323,0.00519,0.00818,0.01081,0.01309,0.01589,0.01944,0.02389,0.03037,0.03833,0.0487,0.05728,0.06608,0.07683,0.09218,0.11065,0.12752,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392
74,0.00357,0.00573,0.00916,0.01222,0.01487,0.01823,0.02246,0.0277,0.03543,0.04481,0.05712,0.06601,0.07637,0.09044,0.10753,0.12673,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364
75,0.0039,0.00628,0.0102,0.01384,0.01702,0.02103,0.026,0.03226,0.04139,0.05204,0.06573,0.07598,0.08972,0.10662,0.12547,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431
76,0.00414,0.00667,0.011,0.01528,0.01914,0.02372,0.02952,0.03766,0.04807,0.0598,0.07531,0.08881,0.1061,0.1251,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552
77,0.00432,0.00697,0.01164,0.01652,0.02097,0.02646,0.03307,0.04374,0.05531,0.06828,0.08738,0.10471,0.12426,0.14304,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699
78,0.00451,0.0073,0.01238,0.01787,0.02292,0.02936,0.03708,0.04948,0.0623,0.07789,0.10136,0.12177,0.14236,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854
79,0.00467,0.00762,0.01314,0.01931,0.02501,0.032,0.04128,0.05447,0.06916,0.08878,0.11691,0.14055,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981
80,0.00496,0.00815,0.0144,0.02146,0.02781,0.03563,0.04675,0.06089,0.07913,0.10319,0.13431,0.1588,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044
81,0.00542,0.00901,0.01634,0.02456,0.03188,0.04078,0.05432,0.07146,0.09394,0.12437,0.15469,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009
82,0.00611,0.01029,0.0191,0.02882,0.03765,0.04816,0.06494,0.0874,0.11614,0.15152,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384
83,0.00712,0.01227,0.02342,0.03547,0.04657,0.06035,0.08151,0.1122,0.14791,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501
84,0.00841,0.01486,0.0291,0.04423,0.05867,0.07738,0.10496,0.14005,0.17451,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956
85,0.01008,0.01815,0.0363,0.05553,0.07493,0.10019,0.1331,0.16677,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817
86,0.01213,0.02233,0.04561,0.07087,0.0969,0.1289,0.16469,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107
87,0.01436,0.02719,0.05664,0.08954,0.12354,0.16267,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731
88,0.01664,0.03231,0.069,0.11073,0.15306,0.18973,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5
89,0.01915,0.03783,0.08299,0.13562,0.18241,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5
90,0.02319,0.05216,0.11297,0.17222,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5
91,0.0314,0.07954,0.16535,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5
92,0.0459,0.11682,0.20375,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5
93,0.06787,0.15075,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5
94,0.0981,0.19289,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.13717,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Smoker Distinct Nonsmoker, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00136,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00145,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0015,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00161,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00167,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00183,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00195,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00211,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0023,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00252,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00274,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00295,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00315,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00335,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00357,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00384,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00419,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00463,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00515,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00574,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00639,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00709,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00784,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00865,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00957,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01063,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01188,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01337,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01513,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01715,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01944,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02196,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02474,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02781,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03126,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03522,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03983,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04509,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05112,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05812,,,,,,,,,,,,,,,,,,,,,,,,
84,0.06625,,,,,,,,,,,,,,,,,,,,,,,,
