Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Preferred Female ALB,,,,,,,,,,,,,,,,,,,,,,,,
31,9E-05,0.00016,0.00019,0.00022,0.00027,0.00033,0.00039,0.00047,0.00052,0.00058,0.00064,0.00071,0.00079,0.00084,0.0009,0.00098,0.00109,0.00119,0.0013,0.00142,0.00157,0.00176,0.00197,0.0022,0.00244
32,9E-05,0.00017,0.00021,0.00025,0.0003,0.00037,0.00043,0.0005,0.00055,0.0006,0.00066,0.00074,0.00083,0.0009,0.00098,0.00107,0.00119,0.00129,0.00141,0.00156,0.00176,0.00197,0.0022,0.00244,0.00266
33,0.0001,0.00018,0.00023,0.00028,0.00034,0.0004,0.00047,0.00053,0.00056,0.00062,0.00069,0.00077,0.00088,0.00097,0.00107,0.00117,0.00129,0.00141,0.00155,0.00174,0.00197,0.0022,0.00244,0.00266,0.00288
34,0.0001,0.00018,0.00026,0.00032,0.00039,0.00044,0.00051,0.00056,0.00058,0.00064,0.00072,0.00083,0.00096,0.00106,0.00117,0.00127,0.0014,0.00154,0.00172,0.00194,0.0022,0.00244,0.00266,0.00288,0.00311
35,0.00011,0.00019,0.00029,0.00036,0.00042,0.00048,0.00055,0.00058,0.00061,0.00067,0.00077,0.00091,0.00105,0.00116,0.00127,0.00138,0.00152,0.00169,0.0019,0.00216,0.00244,0.00266,0.00288,0.00311,0.00336
36,0.00012,0.00021,0.00032,0.0004,0.00047,0.00053,0.00058,0.00061,0.00064,0.00072,0.00085,0.001,0.00115,0.00126,0.00138,0.0015,0.00165,0.00185,0.0021,0.00238,0.00266,0.00288,0.00311,0.00336,0.00365
37,0.00013,0.00022,0.00034,0.00045,0.00051,0.00057,0.0006,0.00064,0.00069,0.0008,0.00094,0.0011,0.00125,0.00137,0.00148,0.00161,0.00179,0.00202,0.00229,0.00259,0.00288,0.00311,0.00336,0.00365,0.00398
38,0.00014,0.00023,0.00036,0.00047,0.00055,0.0006,0.00063,0.00068,0.00075,0.00088,0.00104,0.0012,0.00135,0.00148,0.00159,0.00174,0.00195,0.0022,0.00249,0.00281,0.00311,0.00336,0.00365,0.00398,0.00437
39,0.00015,0.00024,0.00037,0.00049,0.00059,0.00063,0.00068,0.00074,0.00083,0.00098,0.00115,0.00131,0.00146,0.00158,0.00172,0.00189,0.00212,0.00238,0.00269,0.00303,0.00336,0.00365,0.00398,0.00437,0.00481
40,0.00016,0.00025,0.00038,0.0005,0.00061,0.00067,0.00074,0.00081,0.00092,0.00109,0.00126,0.00141,0.00156,0.00171,0.00186,0.00206,0.0023,0.00258,0.00291,0.00328,0.00365,0.00398,0.00437,0.00481,0.00529
41,0.00017,0.00027,0.00039,0.00052,0.00066,0.00074,0.0008,0.00088,0.00102,0.0012,0.00136,0.00151,0.00168,0.00185,0.00203,0.00225,0.00251,0.0028,0.00315,0.00357,0.00398,0.00437,0.00481,0.00529,0.0058
42,0.00018,0.00029,0.0004,0.00057,0.00071,0.00079,0.00086,0.00096,0.00111,0.0013,0.00146,0.00162,0.00181,0.00202,0.00223,0.00247,0.00275,0.00307,0.00345,0.0039,0.00437,0.00481,0.00529,0.0058,0.00636
43,0.0002,0.0003,0.00043,0.00064,0.00076,0.00085,0.00092,0.00104,0.00121,0.0014,0.00157,0.00174,0.00197,0.00221,0.00245,0.00272,0.00301,0.00336,0.00378,0.00428,0.00481,0.00529,0.0058,0.00636,0.00697
44,0.00022,0.0003,0.00047,0.00071,0.00082,0.0009,0.00098,0.00113,0.00131,0.0015,0.00168,0.00189,0.00216,0.00243,0.00269,0.00298,0.0033,0.00368,0.00414,0.00471,0.00529,0.0058,0.00636,0.00697,0.00764
45,0.00025,0.00031,0.00052,0.00077,0.00088,0.00097,0.00107,0.00123,0.00141,0.00161,0.00181,0.00207,0.00238,0.00269,0.00296,0.00327,0.00364,0.00407,0.00458,0.00517,0.0058,0.00636,0.00697,0.00764,0.00842
46,0.00027,0.00032,0.00059,0.00083,0.00095,0.00105,0.00117,0.00134,0.00152,0.00173,0.00197,0.00228,0.00264,0.00295,0.00326,0.00361,0.00402,0.00449,0.00504,0.00566,0.00636,0.00697,0.00764,0.00842,0.00933
47,0.00029,0.00034,0.00069,0.0009,0.00103,0.00115,0.00128,0.00145,0.00164,0.00187,0.00215,0.00251,0.00292,0.00325,0.00359,0.00399,0.00445,0.00496,0.00554,0.00621,0.00697,0.00764,0.00842,0.00933,0.01041
48,0.0003,0.00039,0.00081,0.001,0.00114,0.00126,0.00141,0.00159,0.00178,0.00203,0.00235,0.00276,0.00321,0.00358,0.00394,0.00439,0.00491,0.00545,0.00608,0.0068,0.00764,0.00842,0.00933,0.01041,0.01168
49,0.00031,0.00048,0.00095,0.00112,0.00125,0.00139,0.00155,0.00173,0.00193,0.00221,0.00258,0.00302,0.00348,0.00387,0.00428,0.00479,0.00537,0.00596,0.00663,0.00745,0.00842,0.00933,0.01041,0.01168,0.01315
50,0.00032,0.00062,0.00109,0.00124,0.00138,0.00153,0.0017,0.00187,0.00211,0.00243,0.00283,0.00327,0.00374,0.00416,0.00463,0.00522,0.00584,0.00648,0.00722,0.00817,0.00933,0.01041,0.01168,0.01315,0.01487
51,0.00033,0.00078,0.00119,0.00135,0.00151,0.00168,0.00185,0.00205,0.00232,0.00268,0.0031,0.00354,0.004,0.00447,0.00502,0.00569,0.00633,0.00702,0.0079,0.00903,0.01041,0.01168,0.01315,0.01487,0.01683
52,0.00034,0.00092,0.00126,0.00145,0.00164,0.00182,0.00202,0.00226,0.00257,0.00298,0.0034,0.00382,0.00429,0.00482,0.00546,0.0062,0.00691,0.00773,0.00878,0.01008,0.01168,0.01315,0.01487,0.01683,0.0191
53,0.00035,0.00098,0.00132,0.00154,0.00178,0.002,0.00223,0.00251,0.00287,0.0033,0.00372,0.00412,0.00463,0.00525,0.00599,0.0068,0.00765,0.00866,0.00989,0.01136,0.01315,0.01487,0.01683,0.0191,0.02173
54,0.00036,0.001,0.00136,0.00161,0.00195,0.00221,0.00249,0.00281,0.00321,0.00364,0.00404,0.00445,0.00502,0.00576,0.00662,0.00756,0.00856,0.00975,0.01122,0.01301,0.01487,0.01683,0.0191,0.02173,0.02484
55,0.00037,0.00101,0.00139,0.00169,0.00216,0.00246,0.00279,0.00314,0.00356,0.00397,0.00436,0.00481,0.00549,0.00636,0.00736,0.00848,0.00968,0.01106,0.01278,0.01487,0.01683,0.0191,0.02173,0.02484,0.02859
56,0.00038,0.00103,0.00141,0.00182,0.00241,0.00277,0.00313,0.00349,0.0039,0.00427,0.00466,0.0052,0.00602,0.00706,0.00823,0.00954,0.01097,0.01256,0.0145,0.01683,0.0191,0.02173,0.02484,0.02859,0.03301
57,0.00039,0.00105,0.00143,0.00202,0.00272,0.00311,0.00348,0.00383,0.0042,0.00455,0.00498,0.00565,0.00666,0.00787,0.00925,0.01078,0.01241,0.01423,0.01644,0.0191,0.02173,0.02484,0.02859,0.03301,0.03773
58,0.00041,0.00107,0.00149,0.0023,0.00307,0.00347,0.00382,0.00413,0.00445,0.00483,0.00537,0.00623,0.00746,0.00889,0.01049,0.01225,0.01413,0.01619,0.01872,0.02173,0.02484,0.02859,0.03301,0.03773,0.04263
59,0.00046,0.00111,0.00164,0.00263,0.00343,0.00381,0.00411,0.00437,0.0047,0.00516,0.00587,0.00698,0.00846,0.01011,0.01195,0.01396,0.0161,0.01838,0.02134,0.02484,0.02859,0.03301,0.03773,0.04263,0.04826
60,0.00054,0.00115,0.0019,0.00294,0.00376,0.00409,0.00433,0.0046,0.00498,0.0056,0.00656,0.00796,0.00969,0.01158,0.01366,0.01592,0.0183,0.02094,0.02446,0.02859,0.03301,0.03773,0.04263,0.04826,0.05603
61,0.00064,0.00124,0.00226,0.00318,0.00403,0.0043,0.00453,0.00486,0.00538,0.00622,0.00748,0.00917,0.01114,0.01326,0.01556,0.01809,0.02086,0.02426,0.02841,0.03301,0.03773,0.04263,0.04826,0.05603,0.06496
62,0.00076,0.0014,0.00265,0.00346,0.00423,0.0045,0.00479,0.00527,0.00598,0.00708,0.00866,0.01063,0.01282,0.01515,0.0177,0.02057,0.02406,0.02809,0.03301,0.03773,0.04263,0.04826,0.05603,0.06496,0.07383
63,0.0009,0.00167,0.00303,0.00376,0.00436,0.00474,0.00524,0.00592,0.00682,0.00822,0.01008,0.01228,0.01464,0.01719,0.02008,0.02368,0.0279,0.03271,0.03773,0.04263,0.04826,0.05603,0.06496,0.07383,0.084
64,0.00102,0.00206,0.00334,0.00396,0.00452,0.00514,0.0059,0.00674,0.00788,0.00963,0.01175,0.01407,0.01662,0.01938,0.02272,0.02734,0.0322,0.03773,0.04263,0.04826,0.05603,0.06496,0.07383,0.084,0.09562
65,0.00113,0.00234,0.00358,0.0041,0.00476,0.0057,0.00665,0.00771,0.00921,0.01134,0.01365,0.01606,0.01883,0.02208,0.02597,0.03129,0.03726,0.04263,0.04826,0.05603,0.06496,0.07383,0.084,0.09562,0.10844
66,0.00125,0.00246,0.00376,0.00424,0.0051,0.00632,0.00751,0.0089,0.01079,0.0133,0.01583,0.01846,0.02132,0.02511,0.02951,0.03551,0.04263,0.04826,0.05603,0.06496,0.07383,0.084,0.09562,0.10844,0.12231
67,0.00138,0.00255,0.0039,0.00446,0.00559,0.00707,0.00855,0.0103,0.01261,0.01552,0.01832,0.02116,0.02454,0.02877,0.03319,0.04034,0.04826,0.05603,0.06496,0.07383,0.084,0.09562,0.10844,0.12231,0.13724
68,0.00153,0.00265,0.00405,0.00485,0.00625,0.00797,0.00974,0.01188,0.01466,0.01801,0.02101,0.0244,0.02856,0.03303,0.03856,0.04698,0.05603,0.06496,0.07383,0.084,0.09562,0.10844,0.12231,0.13724,0.15341
69,0.0017,0.00277,0.00423,0.00533,0.00704,0.00898,0.01105,0.01361,0.01693,0.02078,0.02426,0.02836,0.03288,0.03834,0.04632,0.05586,0.06496,0.07383,0.084,0.09562,0.10844,0.12231,0.13724,0.15341,0.17033
70,0.00188,0.00291,0.00445,0.00589,0.00796,0.01008,0.01245,0.01551,0.01944,0.02385,0.02815,0.03254,0.03804,0.04537,0.05497,0.06496,0.07383,0.084,0.09562,0.10844,0.12231,0.13724,0.15341,0.17033,0.18795
71,0.00208,0.0031,0.00473,0.00665,0.00895,0.01122,0.01394,0.01758,0.02222,0.02735,0.03228,0.03696,0.04397,0.05297,0.06361,0.07383,0.084,0.09562,0.10844,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815
72,0.00231,0.00334,0.00511,0.00757,0.00998,0.01241,0.01554,0.01984,0.02537,0.0313,0.03669,0.04238,0.05081,0.06143,0.07322,0.084,0.09562,0.10844,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156
73,0.00261,0.00365,0.0056,0.00856,0.01105,0.01367,0.01728,0.02241,0.02896,0.03564,0.04151,0.04869,0.05862,0.07085,0.084,0.09562,0.10844,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715
74,0.003,0.00401,0.00623,0.00963,0.01218,0.01503,0.01927,0.02538,0.03299,0.04048,0.04686,0.05544,0.0669,0.08111,0.09562,0.10844,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478
75,0.00345,0.00445,0.00702,0.01076,0.01337,0.01658,0.02157,0.02875,0.03755,0.0459,0.0535,0.06394,0.07722,0.09296,0.10844,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407
76,0.00392,0.00499,0.008,0.01198,0.0147,0.01838,0.02421,0.03264,0.04277,0.05196,0.0622,0.07479,0.09005,0.10718,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218
77,0.00443,0.00564,0.00916,0.01332,0.01622,0.02044,0.02732,0.03722,0.0488,0.0593,0.07218,0.08715,0.10502,0.12231,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726
78,0.00497,0.00644,0.01057,0.01482,0.01792,0.02286,0.03105,0.04268,0.05578,0.06885,0.08429,0.10234,0.12129,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191
79,0.00534,0.00741,0.01225,0.01643,0.01987,0.02579,0.0356,0.04921,0.0646,0.08115,0.09972,0.12026,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572
80,0.00566,0.00858,0.01414,0.0182,0.02217,0.02955,0.0412,0.05714,0.07516,0.09484,0.11695,0.13724,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829
81,0.00618,0.00992,0.01624,0.02015,0.0256,0.03465,0.04821,0.06702,0.08834,0.11172,0.13532,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924
82,0.00696,0.01147,0.0187,0.02335,0.03038,0.04111,0.05765,0.08086,0.10731,0.13335,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109
83,0.00811,0.01328,0.02164,0.02818,0.03637,0.04941,0.07221,0.10146,0.1316,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727
84,0.00941,0.0155,0.0256,0.034,0.04391,0.06135,0.09241,0.12484,0.15341,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485
85,0.01059,0.01847,0.03089,0.04105,0.05419,0.0813,0.11567,0.14859,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389
86,0.01171,0.02229,0.0373,0.04957,0.07071,0.10877,0.14438,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447
87,0.01295,0.02692,0.04505,0.06262,0.09732,0.14212,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665
88,0.01434,0.03221,0.05439,0.08281,0.13124,0.17033,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051
89,0.01587,0.03823,0.06881,0.11241,0.16367,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612
90,0.01898,0.04803,0.09902,0.15387,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355
91,0.02614,0.06914,0.14855,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288
92,0.03914,0.104,0.18795,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418
93,0.05941,0.13785,0.20815,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575
94,0.08859,0.18352,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575,0.90289
95,0.12873,0.23156,0.25715,0.28478,0.31407,0.34218,0.36726,0.39191,0.41572,0.43829,0.45924,0.48109,0.50727,0.53485,0.56389,0.59447,0.62665,0.66051,0.69612,0.73355,0.77288,0.81418,0.8575,0.90289,0.95039

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Preferred, Female, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00034,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00036,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00091,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00106,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00122,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00143,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00157,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00176,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00197,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0022,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00244,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00266,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00288,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00311,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00336,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00365,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00398,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00437,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00481,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00529,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0058,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00636,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00697,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00764,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00842,,,,,,,,,,,,,,,,,,,,,,,,
70,0.00933,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01041,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01168,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01315,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01487,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01683,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0191,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02173,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02484,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02859,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03301,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03773,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04263,,,,,,,,,,,,,,,,,,,,,,,,
83,0.04826,,,,,,,,,,,,,,,,,,,,,,,,
