Table Name:,"2001 CSO Residual Standard Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
16,0.00037,0.00038,0.00038,0.00038,0.00039,0.00041,0.00043,0.00045,0.00047,0.0005,0.00054,0.00059,0.00064,0.00069,0.00073,0.00078,0.00082,0.00089,0.00097,0.00103,0.00109,0.00116,0.00124,0.00132,0.00139
17,0.00038,0.00038,0.00038,0.00038,0.00039,0.00042,0.00043,0.00047,0.00049,0.00053,0.00058,0.00063,0.00068,0.00073,0.00078,0.00082,0.00089,0.00097,0.00103,0.00109,0.00116,0.00124,0.00132,0.00139,0.00149
18,0.00037,0.00037,0.00037,0.00038,0.0004,0.00042,0.00045,0.00048,0.00052,0.00057,0.00062,0.00067,0.00072,0.00078,0.00082,0.00089,0.00097,0.00103,0.00109,0.00116,0.00124,0.00132,0.00139,0.00149,0.00159
19,0.00035,0.00036,0.00037,0.00039,0.0004,0.00044,0.00047,0.00051,0.00055,0.00061,0.00066,0.00072,0.00077,0.00082,0.00089,0.00097,0.00103,0.00109,0.00116,0.00124,0.00132,0.00139,0.00149,0.00159,0.00171
20,0.00033,0.00034,0.00037,0.00038,0.00041,0.00045,0.0005,0.00054,0.00059,0.00064,0.0007,0.00076,0.00082,0.00089,0.00095,0.00103,0.00109,0.00116,0.00124,0.00132,0.00139,0.00149,0.00159,0.00171,0.00186
21,0.00031,0.00033,0.00036,0.00039,0.00043,0.00047,0.00053,0.00057,0.00062,0.00068,0.00074,0.00081,0.00087,0.00095,0.00101,0.00108,0.00115,0.00124,0.00131,0.00139,0.00149,0.00159,0.00171,0.00186,0.00204
22,0.00029,0.00032,0.00037,0.0004,0.00045,0.0005,0.00055,0.00061,0.00066,0.00072,0.00079,0.00086,0.00093,0.001,0.00106,0.00114,0.00122,0.0013,0.00139,0.00149,0.00159,0.00171,0.00186,0.00204,0.00224
23,0.00028,0.00032,0.00037,0.00041,0.00047,0.00052,0.00058,0.00064,0.00071,0.00076,0.00084,0.00091,0.00098,0.00105,0.00112,0.00121,0.00128,0.00137,0.00148,0.00159,0.00171,0.00186,0.00204,0.00224,0.00248
24,0.00027,0.00033,0.00037,0.00043,0.00048,0.00054,0.00061,0.00067,0.00075,0.00081,0.00089,0.00095,0.00102,0.0011,0.00118,0.00127,0.00135,0.00146,0.00158,0.00171,0.00186,0.00204,0.00224,0.00248,0.00274
25,0.00027,0.00033,0.00039,0.00045,0.0005,0.00057,0.00064,0.00071,0.00079,0.00086,0.00093,0.00099,0.00108,0.00115,0.00124,0.00134,0.00145,0.00156,0.0017,0.00186,0.00204,0.00224,0.00248,0.00273,0.00303
26,0.00028,0.00034,0.0004,0.00047,0.00053,0.0006,0.00067,0.00074,0.00082,0.00089,0.00096,0.00103,0.00113,0.00121,0.00131,0.00143,0.00155,0.00168,0.00185,0.00204,0.00224,0.00247,0.00273,0.00303,0.00336
27,0.0003,0.00035,0.00042,0.00049,0.00056,0.00063,0.0007,0.00078,0.00085,0.00092,0.001,0.00109,0.00119,0.00128,0.00139,0.00153,0.00166,0.00183,0.00202,0.00223,0.00247,0.00273,0.00303,0.00336,0.00373
28,0.00032,0.00038,0.00044,0.00051,0.00058,0.00065,0.00073,0.00081,0.00088,0.00096,0.00105,0.00115,0.00125,0.00136,0.0015,0.00165,0.00182,0.00201,0.00222,0.00245,0.00273,0.00303,0.00336,0.00373,0.00414
29,0.00034,0.00041,0.00046,0.00053,0.0006,0.00068,0.00075,0.00083,0.00091,0.00101,0.00111,0.00121,0.00132,0.00146,0.00162,0.00179,0.00199,0.00221,0.00244,0.00271,0.00302,0.00336,0.00373,0.00413,0.00456
30,0.00036,0.00043,0.00049,0.00056,0.00063,0.00071,0.00078,0.00086,0.00095,0.00106,0.00117,0.00129,0.00143,0.00159,0.00176,0.00197,0.00218,0.00243,0.00271,0.003,0.00335,0.00373,0.00412,0.00456,0.00501
31,0.00039,0.00045,0.00052,0.00059,0.00067,0.00074,0.00082,0.00091,0.00101,0.00113,0.00125,0.00139,0.00156,0.00174,0.00194,0.00216,0.00241,0.00269,0.00299,0.00332,0.00371,0.00412,0.00455,0.00501,0.00551
32,0.00041,0.00047,0.00054,0.00062,0.00069,0.00078,0.00088,0.00097,0.00108,0.00122,0.00136,0.00152,0.00171,0.00191,0.00214,0.00239,0.00267,0.00297,0.0033,0.00367,0.00409,0.00453,0.00501,0.0055,0.00605
33,0.00043,0.00049,0.00056,0.00064,0.00073,0.00083,0.00093,0.00105,0.00117,0.00132,0.00149,0.00167,0.00189,0.0021,0.00236,0.00265,0.00295,0.00329,0.00365,0.00406,0.00451,0.00497,0.00549,0.00604,0.00662
34,0.00045,0.00051,0.00058,0.00068,0.00077,0.00088,0.001,0.00115,0.00128,0.00145,0.00164,0.00185,0.00208,0.00233,0.00261,0.00292,0.00327,0.00364,0.00404,0.00447,0.00495,0.00547,0.00602,0.0066,0.00721
35,0.00046,0.00053,0.00061,0.00072,0.00082,0.00095,0.00109,0.00125,0.00141,0.0016,0.00181,0.00204,0.00231,0.00258,0.0029,0.00323,0.00362,0.00402,0.00445,0.00492,0.00544,0.006,0.00658,0.00721,0.00784
36,0.00047,0.00056,0.00065,0.00076,0.00088,0.00103,0.00119,0.00136,0.00155,0.00177,0.002,0.00226,0.00255,0.00285,0.00321,0.00358,0.004,0.00444,0.00491,0.00542,0.00597,0.00658,0.0072,0.00784,0.00851
37,0.00049,0.00058,0.00068,0.00081,0.00096,0.00112,0.0013,0.00149,0.00171,0.00195,0.00221,0.0025,0.00281,0.00315,0.00354,0.00395,0.0044,0.00488,0.00541,0.00595,0.00655,0.00719,0.00784,0.00851,0.00924
38,0.00052,0.00062,0.00074,0.00089,0.00104,0.00121,0.00142,0.00164,0.00187,0.00214,0.00243,0.00275,0.0031,0.00348,0.00389,0.00435,0.00484,0.00537,0.00593,0.00653,0.00717,0.00783,0.00851,0.00924,0.01001
39,0.00055,0.00067,0.00081,0.00097,0.00114,0.00133,0.00156,0.0018,0.00206,0.00236,0.00267,0.00302,0.00342,0.00384,0.00428,0.00479,0.00533,0.0059,0.0065,0.00715,0.00782,0.00851,0.00924,0.01001,0.01083
40,0.00061,0.00074,0.00089,0.00106,0.00125,0.00147,0.00171,0.00197,0.00227,0.00259,0.00294,0.00333,0.00376,0.00422,0.00471,0.00526,0.00585,0.00646,0.00712,0.00781,0.00851,0.00924,0.01001,0.01083,0.01172
41,0.00066,0.00082,0.00098,0.00117,0.00138,0.00162,0.00188,0.00217,0.00248,0.00284,0.00322,0.00366,0.00412,0.00463,0.00517,0.00577,0.0064,0.00708,0.00779,0.00851,0.00924,0.01001,0.01083,0.01172,0.01271
42,0.00073,0.0009,0.00108,0.00129,0.00153,0.00179,0.00208,0.00239,0.00274,0.00312,0.00354,0.00401,0.00451,0.00507,0.00568,0.00632,0.00701,0.00775,0.0085,0.00924,0.01001,0.01083,0.01172,0.01271,0.01381
43,0.00081,0.00099,0.00121,0.00144,0.0017,0.00199,0.00229,0.00264,0.00301,0.00342,0.0039,0.00438,0.00494,0.00555,0.00622,0.00692,0.00767,0.00847,0.00924,0.01001,0.01083,0.01172,0.01271,0.01381,0.01501
44,0.00089,0.0011,0.00134,0.00161,0.00189,0.0022,0.00253,0.00291,0.00331,0.00376,0.00426,0.0048,0.00541,0.00607,0.00679,0.00755,0.00838,0.00923,0.01001,0.01083,0.01172,0.01271,0.01381,0.01501,0.01633
45,0.00098,0.00122,0.00148,0.00177,0.00208,0.00242,0.0028,0.0032,0.00364,0.00413,0.00465,0.00526,0.0059,0.00662,0.0074,0.00823,0.00913,0.01001,0.01083,0.01172,0.01271,0.01381,0.01501,0.01633,0.0178
46,0.00107,0.00134,0.00163,0.00195,0.00229,0.00266,0.00307,0.00351,0.00398,0.0045,0.00509,0.00573,0.00643,0.0072,0.00805,0.00895,0.00992,0.01083,0.01172,0.01271,0.01381,0.01501,0.01633,0.0178,0.01946
47,0.00117,0.00146,0.00179,0.00213,0.0025,0.0029,0.00334,0.00382,0.00433,0.0049,0.00553,0.00622,0.00699,0.00782,0.00874,0.00972,0.01078,0.01172,0.01271,0.01381,0.01501,0.01633,0.0178,0.01946,0.02133
48,0.00126,0.00157,0.00194,0.00231,0.00271,0.00314,0.00361,0.00412,0.00469,0.00531,0.00599,0.00674,0.00757,0.00848,0.00948,0.01055,0.0117,0.01271,0.01381,0.01501,0.01633,0.0178,0.01946,0.02133,0.02339
49,0.00132,0.00169,0.0021,0.00248,0.00291,0.00337,0.00388,0.00443,0.00503,0.00571,0.00645,0.00727,0.00817,0.00917,0.01026,0.01143,0.01271,0.01381,0.01501,0.01633,0.0178,0.01946,0.02133,0.02339,0.02564
50,0.0014,0.00186,0.00226,0.00266,0.00311,0.00359,0.00414,0.00474,0.00539,0.00612,0.00693,0.00781,0.0088,0.0099,0.01109,0.01239,0.0138,0.01501,0.01633,0.0178,0.01946,0.02133,0.02339,0.02564,0.02812
51,0.00148,0.00205,0.00244,0.00285,0.00332,0.00383,0.00439,0.00504,0.00575,0.00654,0.00742,0.00839,0.00947,0.01067,0.01199,0.01343,0.01499,0.01633,0.0178,0.01946,0.02133,0.02339,0.02564,0.02812,0.03077
52,0.00156,0.00222,0.00263,0.00304,0.00352,0.00406,0.00465,0.00534,0.00611,0.00699,0.00794,0.00901,0.01019,0.01151,0.01298,0.01457,0.01632,0.0178,0.01946,0.02133,0.02339,0.02564,0.02812,0.03077,0.03362
53,0.00165,0.00238,0.00282,0.00324,0.00373,0.00429,0.00493,0.00568,0.0065,0.00745,0.0085,0.00967,0.01099,0.01245,0.01408,0.01585,0.0178,0.01946,0.02133,0.02339,0.02564,0.02812,0.03077,0.03362,0.03673
54,0.00175,0.00255,0.00302,0.00345,0.00396,0.00455,0.00523,0.00603,0.00692,0.00795,0.00911,0.01041,0.01187,0.0135,0.01532,0.01731,0.01946,0.02133,0.02339,0.02564,0.02812,0.03077,0.03362,0.03673,0.04012
55,0.00188,0.00272,0.00326,0.0037,0.00423,0.00486,0.00558,0.00644,0.00742,0.00854,0.00981,0.01125,0.01287,0.0147,0.01671,0.01896,0.02133,0.02339,0.02564,0.02812,0.03077,0.03362,0.03673,0.04012,0.04381
56,0.00203,0.00292,0.00352,0.00399,0.00455,0.00522,0.006,0.00693,0.008,0.00922,0.01062,0.01221,0.014,0.01605,0.0183,0.02081,0.02339,0.02564,0.02812,0.03077,0.03362,0.03673,0.04012,0.04381,0.04841
57,0.00213,0.00313,0.0038,0.0043,0.00491,0.00564,0.00649,0.00751,0.00867,0.01001,0.01155,0.01331,0.01529,0.01756,0.02008,0.0229,0.02564,0.02812,0.03077,0.03362,0.03673,0.04012,0.04381,0.04841,0.05405
58,0.00225,0.00334,0.0041,0.00464,0.00531,0.00611,0.00705,0.00816,0.00944,0.01093,0.01262,0.01457,0.01676,0.01928,0.02209,0.02525,0.02812,0.03077,0.03362,0.03673,0.04012,0.04381,0.04841,0.05405,0.05998
59,0.0024,0.00354,0.00442,0.005,0.00573,0.00663,0.00767,0.0089,0.01032,0.01197,0.01385,0.01599,0.01846,0.02123,0.02436,0.02786,0.03077,0.03362,0.03673,0.04012,0.04381,0.04841,0.05405,0.05998,0.06614
60,0.00254,0.00375,0.00473,0.00537,0.00618,0.00717,0.00833,0.0097,0.0113,0.01313,0.01524,0.01762,0.02037,0.02346,0.02693,0.03069,0.03362,0.03673,0.04012,0.04381,0.04841,0.05405,0.05998,0.06614,0.07299
61,0.0027,0.00398,0.00503,0.00574,0.00664,0.00773,0.00903,0.01057,0.01237,0.01442,0.01679,0.01948,0.02254,0.026,0.02987,0.03362,0.03673,0.04012,0.04381,0.04841,0.05405,0.05998,0.06614,0.07299,0.07986
62,0.00292,0.00422,0.00535,0.00611,0.00709,0.00831,0.00977,0.0115,0.01353,0.01585,0.01853,0.02157,0.025,0.02887,0.0332,0.03673,0.04012,0.04381,0.04841,0.05405,0.05998,0.06614,0.07299,0.07986,0.08755
63,0.00321,0.00482,0.00567,0.00648,0.00755,0.0089,0.01055,0.0125,0.01479,0.01743,0.02045,0.0239,0.02776,0.03209,0.03666,0.04012,0.04381,0.0484,0.05405,0.05997,0.06614,0.07298,0.07985,0.08754,0.09619
64,0.00355,0.00546,0.00601,0.00687,0.00804,0.00954,0.01139,0.01359,0.01617,0.01916,0.02259,0.02648,0.03083,0.0357,0.04011,0.04381,0.04839,0.05403,0.05996,0.06612,0.07296,0.07983,0.08751,0.09616,0.10462
65,0.00384,0.00583,0.00638,0.0073,0.00859,0.01025,0.01233,0.01482,0.01775,0.02113,0.025,0.02939,0.03428,0.03973,0.0438,0.04839,0.05402,0.05995,0.06611,0.07294,0.0798,0.08748,0.09612,0.10457,0.11343
66,0.00403,0.00624,0.0068,0.00779,0.00922,0.01108,0.01342,0.01623,0.01955,0.02338,0.02774,0.03268,0.03822,0.0438,0.04838,0.05402,0.05994,0.0661,0.07293,0.07979,0.08747,0.0961,0.10454,0.1134,0.12264
67,0.00435,0.00668,0.00728,0.00837,0.00996,0.01207,0.0147,0.01788,0.02161,0.02594,0.03087,0.03641,0.04263,0.04838,0.05402,0.05994,0.0661,0.07293,0.07979,0.08747,0.0961,0.10454,0.11339,0.12264,0.13231
68,0.00482,0.00717,0.00785,0.00907,0.01086,0.01323,0.0162,0.0198,0.02401,0.02886,0.03439,0.04062,0.04754,0.05402,0.05994,0.06609,0.07293,0.07979,0.08746,0.09609,0.10454,0.11338,0.12261,0.13228,0.14229
69,0.00534,0.00771,0.0085,0.0099,0.01194,0.01462,0.01797,0.02202,0.02676,0.0322,0.03838,0.04533,0.05302,0.05993,0.06609,0.07291,0.07977,0.08744,0.09606,0.10444,0.11328,0.1225,0.13214,0.14218,0.15253
70,0.00594,0.00832,0.00927,0.01089,0.01323,0.01627,0.02005,0.02461,0.02992,0.03601,0.04289,0.05059,0.05914,0.06607,0.07276,0.07974,0.08728,0.09597,0.10438,0.11315,0.12235,0.1319,0.14189,0.15231,0.16483
71,0.00744,0.00899,0.01015,0.01206,0.01476,0.01823,0.0225,0.02761,0.03354,0.04035,0.04798,0.05649,0.06581,0.07237,0.07956,0.08716,0.0957,0.10428,0.11307,0.12225,0.13177,0.14164,0.15193,0.16441,0.18032
72,0.00896,0.00975,0.01119,0.01345,0.01656,0.02052,0.02534,0.03106,0.03769,0.04525,0.0537,0.06308,0.07204,0.07915,0.087,0.09551,0.10413,0.11301,0.12215,0.13165,0.14147,0.1517,0.16401,0.1797,0.19759
73,0.0097,0.01066,0.01243,0.0151,0.01868,0.02318,0.02862,0.03501,0.04239,0.05076,0.06009,0.07029,0.07863,0.08685,0.09531,0.10399,0.11291,0.1221,0.1315,0.1413,0.15149,0.16374,0.17941,0.19709,0.21658
74,0.01051,0.01176,0.01393,0.01707,0.02118,0.02628,0.03239,0.03955,0.04773,0.05698,0.06712,0.07807,0.08658,0.09512,0.10393,0.11284,0.12202,0.13147,0.1412,0.15137,0.16361,0.17924,0.19696,0.21638,0.2377
75,0.01147,0.0131,0.01573,0.01938,0.02408,0.02983,0.03665,0.04459,0.05362,0.06369,0.07456,0.08625,0.09498,0.10387,0.11284,0.12196,0.13147,0.14119,0.15129,0.1636,0.17915,0.19685,0.21626,0.23765,0.26111
76,0.01272,0.01476,0.01789,0.02209,0.02742,0.03385,0.04142,0.05015,0.05997,0.07079,0.08239,0.09477,0.10378,0.11283,0.12196,0.1314,0.14113,0.15128,0.16344,0.17915,0.19675,0.21615,0.23754,0.26111,0.28474
77,0.01434,0.01685,0.02051,0.02531,0.03128,0.03843,0.0468,0.05632,0.06685,0.07843,0.09069,0.10371,0.11278,0.12195,0.13134,0.14113,0.15114,0.16343,0.17898,0.19675,0.21615,0.23754,0.261,0.28474,0.30759
78,0.01569,0.01947,0.02369,0.0291,0.03575,0.04366,0.0528,0.06303,0.07428,0.08652,0.09941,0.11272,0.1219,0.13134,0.14099,0.15114,0.16328,0.17897,0.19657,0.21615,0.23753,0.261,0.2846,0.30759,0.3326
79,0.01702,0.02272,0.0275,0.03357,0.04092,0.04954,0.05939,0.07029,0.08221,0.09503,0.10848,0.12177,0.13121,0.14092,0.15092,0.16327,0.1788,0.19656,0.21593,0.23743,0.26099,0.28459,0.30759,0.33234,0.36031
80,0.01897,0.02669,0.03204,0.03875,0.0468,0.05605,0.06653,0.07807,0.09059,0.10396,0.11782,0.13114,0.14085,0.15085,0.16304,0.1788,0.19646,0.21593,0.2373,0.26086,0.28459,0.30759,0.33221,0.35992,0.39085
81,0.02119,0.03147,0.03739,0.0447,0.05334,0.06319,0.07423,0.08633,0.09937,0.11319,0.12741,0.14078,0.15078,0.16304,0.17871,0.19638,0.21593,0.23729,0.26085,0.28459,0.30759,0.33194,0.35973,0.39085,0.42271
82,0.02355,0.03712,0.04359,0.05141,0.06055,0.07094,0.08245,0.09502,0.10847,0.12265,0.13709,0.15069,0.16288,0.17863,0.19637,0.21583,0.23729,0.26084,0.28458,0.30759,0.33169,0.35935,0.39085,0.42271,0.45532
83,0.02738,0.04347,0.05062,0.05887,0.06843,0.07926,0.09118,0.10411,0.11781,0.13214,0.14669,0.16288,0.17853,0.19627,0.21573,0.23729,0.26084,0.28446,0.30759,0.33142,0.35897,0.39085,0.42271,0.45532,0.48847
84,0.03274,0.05049,0.05846,0.06703,0.07694,0.08805,0.10029,0.11346,0.12727,0.14161,0.15801,0.17786,0.19618,0.21573,0.23706,0.26083,0.28446,0.30744,0.33129,0.35858,0.39085,0.42271,0.45532,0.48847,0.52219
85,0.04032,0.05833,0.06689,0.07587,0.086,0.09732,0.10971,0.12293,0.13674,0.15284,0.17227,0.19382,0.21561,0.23705,0.26058,0.28445,0.30744,0.33103,0.35839,0.39085,0.42271,0.45532,0.48847,0.52219,0.55703
86,0.0487,0.06674,0.07573,0.08536,0.09553,0.10691,0.11932,0.13242,0.14787,0.16684,0.18789,0.21079,0.23546,0.26011,0.2843,0.30744,0.33077,0.35801,0.39085,0.42255,0.45516,0.48847,0.52219,0.55703,0.59195
87,0.05805,0.0756,0.08516,0.09522,0.10547,0.11671,0.12892,0.14351,0.16166,0.18212,0.2043,0.22856,0.25465,0.28087,0.30508,0.33061,0.35506,0.38773,0.41939,0.45187,0.48564,0.52034,0.55609,0.59195,0.62562
88,0.07057,0.08506,0.09504,0.10522,0.11561,0.12658,0.14012,0.15722,0.17672,0.19819,0.22155,0.24706,0.27311,0.29783,0.32378,0.35131,0.3803,0.41092,0.44316,0.47702,0.51246,0.54949,0.58808,0.62562,0.65776
89,0.0835,0.09494,0.10509,0.1154,0.12581,0.13809,0.15397,0.17223,0.19271,0.21518,0.23978,0.26541,0.29003,0.31547,0.34256,0.37123,0.40162,0.43372,0.46752,0.50301,0.54017,0.57897,0.61942,0.65776,0.69078
90,0.09487,0.105,0.11527,0.12564,0.13761,0.1522,0.16918,0.18821,0.20957,0.23315,0.25817,0.28247,0.30711,0.33373,0.3619,0.3919,0.4237,0.4573,0.49269,0.52985,0.56875,0.60939,0.65173,0.69068,0.73205
91,0.10493,0.11519,0.12552,0.13744,0.1519,0.16759,0.18529,0.20515,0.2273,0.25168,0.27545,0.29919,0.32487,0.35254,0.38197,0.4133,0.44655,0.48167,0.51867,0.55753,0.59822,0.64071,0.68497,0.73098,0.77134
92,0.11512,0.12544,0.13733,0.15173,0.16736,0.184,0.20232,0.22302,0.24615,0.26925,0.29191,0.3166,0.3434,0.37207,0.40276,0.43546,0.47015,0.50683,0.54546,0.58605,0.62855,0.67293,0.71917,0.76721,0.81235
93,0.12537,0.13725,0.15163,0.1672,0.18377,0.20143,0.22035,0.24209,0.26421,0.28556,0.30906,0.33478,0.36248,0.39231,0.42427,0.45834,0.49451,0.53276,0.57306,0.61541,0.65974,0.70606,0.75429,0.8044,0.8559
94,0.13719,0.15155,0.1671,0.18362,0.20121,0.21987,0.23996,0.26046,0.28049,0.30258,0.32698,0.35349,0.38226,0.41327,0.44651,0.48196,0.51962,0.55947,0.60146,0.64558,0.69179,0.74006,0.79033,0.84253,0.89658
95,0.1515,0.16703,0.18352,0.20107,0.21965,0.23977,0.25885,0.27696,0.2975,0.32036,0.34545,0.37292,0.40275,0.43493,0.46946,0.50633,0.54549,0.58694,0.63065,0.67658,0.7247,0.77495,0.82727,0.88159,0.93906
96,0.16698,0.18345,0.20097,0.21951,0.23965,0.25885,0.27562,0.29424,0.31529,0.3387,0.36462,0.39304,0.42394,0.45731,0.49314,0.53141,0.5721,0.61518,0.66063,0.7084,0.75844,0.81071,0.8651,0.9245,1
97,0.18341,0.20091,0.21942,0.23958,0.25885,0.27562,0.29319,0.31217,0.33365,0.35776,0.3845,0.41386,0.44583,0.48039,0.51753,0.55723,0.59946,0.6442,0.6914,0.74102,0.79302,0.8473,0.90914,1,
98,0.20087,0.21937,0.23953,0.25885,0.27562,0.29319,0.31144,0.3307,0.35273,0.37752,0.40508,0.43538,0.46842,0.50418,0.54263,0.58377,0.62756,0.67397,0.72295,0.77444,0.8284,0.89326,1,,
