Table Name:,"2001 CSO Residual Standard Select and Ultimate - Female Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Residual Standard Select and Ultimate Table - Female Smoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00048,0.00052,0.00057,0.00062,0.00066,0.0007,0.00073,0.00077,0.00081
1,,,,,,,,,,,,,,,,0.00047,0.00052,0.00057,0.00061,0.00066,0.0007,0.00073,0.00077,0.00081,0.00086
2,,,,,,,,,,,,,,,0.00045,0.00051,0.00055,0.00061,0.00064,0.0007,0.00073,0.00077,0.00081,0.00086,0.00093
3,,,,,,,,,,,,,,0.00045,0.00049,0.00054,0.00059,0.00064,0.00068,0.00073,0.00077,0.00081,0.00086,0.00093,0.00099
4,,,,,,,,,,,,,0.00045,0.00049,0.00054,0.00058,0.00063,0.00068,0.00073,0.00077,0.00081,0.00086,0.00093,0.00099,0.00106
5,,,,,,,,,,,,0.00044,0.00048,0.00053,0.00058,0.00063,0.00067,0.00073,0.00077,0.00081,0.00085,0.00092,0.00098,0.00105,0.00111
6,,,,,,,,,,,0.00044,0.00048,0.00053,0.00057,0.00062,0.00067,0.00071,0.00077,0.00081,0.00085,0.00091,0.00098,0.00105,0.0011,0.00117
7,,,,,,,,,,0.00044,0.00047,0.00052,0.00057,0.00061,0.00065,0.00071,0.00075,0.00081,0.00085,0.00091,0.00098,0.00105,0.0011,0.00117,0.00127
8,,,,,,,,,0.00043,0.00047,0.00052,0.00055,0.00061,0.00064,0.00069,0.00075,0.0008,0.00085,0.0009,0.00098,0.00105,0.0011,0.00117,0.00127,0.00137
9,,,,,,,,0.00043,0.00045,0.00051,0.00054,0.00058,0.00064,0.00068,0.00073,0.00079,0.00085,0.0009,0.00097,0.00105,0.0011,0.00117,0.00127,0.00137,0.00148
10,,,,,,,0.00041,0.00045,0.00049,0.00054,0.00057,0.00062,0.00068,0.00072,0.00078,0.00084,0.00089,0.00096,0.00105,0.0011,0.00117,0.00126,0.00136,0.00147,0.00161
11,,,,,,0.0004,0.00044,0.00048,0.00052,0.00056,0.00061,0.00066,0.00072,0.00077,0.00083,0.00089,0.00095,0.00102,0.0011,0.00117,0.00126,0.00136,0.00146,0.0016,0.00174
12,,,,,0.0004,0.00043,0.00047,0.00051,0.00055,0.0006,0.00065,0.0007,0.00076,0.00082,0.00087,0.00095,0.00102,0.00109,0.00117,0.00126,0.00136,0.00146,0.0016,0.00174,0.00188
13,,,,0.0004,0.00042,0.00045,0.00049,0.00054,0.00058,0.00063,0.00069,0.00074,0.00081,0.00087,0.00093,0.00102,0.00109,0.00117,0.00126,0.00136,0.00146,0.0016,0.00174,0.00187,0.00201
14,,,0.0004,0.00042,0.00045,0.00048,0.00052,0.00055,0.00061,0.00065,0.00073,0.00079,0.00086,0.00092,0.001,0.00109,0.00117,0.00126,0.00136,0.00146,0.0016,0.00174,0.00187,0.002,0.00214
15,,0.0004,0.00042,0.00044,0.00047,0.00051,0.00054,0.00058,0.00064,0.00069,0.00076,0.00084,0.00091,0.00099,0.00108,0.00117,0.00126,0.00136,0.00146,0.0016,0.00174,0.00186,0.00199,0.00214,0.00228
16,0.0004,0.00042,0.00044,0.00046,0.00049,0.00053,0.00057,0.00062,0.00068,0.00074,0.00081,0.00089,0.00098,0.00107,0.00117,0.00126,0.00136,0.00146,0.0016,0.00174,0.00186,0.00199,0.00214,0.00228,0.00243
17,0.00042,0.00044,0.00046,0.00048,0.00052,0.00055,0.0006,0.00066,0.00073,0.00079,0.00087,0.00097,0.00106,0.00116,0.00126,0.00136,0.00146,0.0016,0.00174,0.00186,0.00199,0.00214,0.00228,0.00243,0.00261
18,0.00042,0.00045,0.00046,0.0005,0.00054,0.00057,0.00064,0.00071,0.00078,0.00084,0.00094,0.00104,0.00115,0.00126,0.00136,0.00146,0.0016,0.00174,0.00186,0.00199,0.00214,0.00228,0.00243,0.00261,0.00282
19,0.00043,0.00045,0.00047,0.00052,0.00056,0.00062,0.00069,0.00075,0.00083,0.00091,0.00102,0.00113,0.00125,0.00136,0.00146,0.0016,0.00174,0.00186,0.00199,0.00214,0.00228,0.00243,0.00261,0.00282,0.00306
20,0.00041,0.00044,0.00048,0.00053,0.00058,0.00066,0.00074,0.0008,0.0009,0.00099,0.0011,0.00122,0.00134,0.00146,0.00158,0.00173,0.00186,0.00199,0.00213,0.00228,0.00243,0.00261,0.00282,0.00306,0.00334
21,0.00039,0.00044,0.00049,0.00055,0.00062,0.0007,0.00078,0.00086,0.00098,0.00108,0.00119,0.00132,0.00143,0.00157,0.0017,0.00184,0.00198,0.00212,0.00227,0.00243,0.00261,0.00282,0.00306,0.00334,0.00366
22,0.00039,0.00044,0.0005,0.00058,0.00066,0.00074,0.00083,0.00093,0.00105,0.00117,0.00129,0.00142,0.00153,0.00168,0.0018,0.00195,0.00209,0.00226,0.00242,0.00261,0.00282,0.00306,0.00334,0.00366,0.00403
23,0.00038,0.00045,0.00052,0.0006,0.00068,0.00078,0.00088,0.001,0.00112,0.00125,0.00138,0.00152,0.00164,0.00178,0.00193,0.00207,0.00224,0.00242,0.00261,0.00282,0.00306,0.00334,0.00366,0.00403,0.0045
24,0.00037,0.00046,0.00054,0.00063,0.00073,0.00083,0.00095,0.00107,0.00121,0.00133,0.00147,0.0016,0.00173,0.00188,0.00203,0.00223,0.00242,0.00258,0.00281,0.00305,0.00333,0.00366,0.00403,0.0045,0.00506
25,0.00037,0.00047,0.00056,0.00066,0.00077,0.00088,0.00102,0.00114,0.00127,0.00141,0.00155,0.00167,0.00182,0.00198,0.00213,0.00236,0.00257,0.00276,0.00305,0.00333,0.00365,0.00403,0.0045,0.00506,0.00567
26,0.00039,0.00048,0.00059,0.00069,0.00082,0.00094,0.00107,0.00119,0.00134,0.00148,0.00162,0.00176,0.00193,0.0021,0.00228,0.00249,0.00275,0.00301,0.00333,0.00365,0.00403,0.0045,0.00506,0.00567,0.00633
27,0.00041,0.00051,0.00062,0.00074,0.00087,0.00099,0.00112,0.00125,0.00141,0.00154,0.0017,0.00186,0.00204,0.00223,0.00245,0.00271,0.00298,0.0033,0.00365,0.00403,0.0045,0.00506,0.00567,0.00633,0.00705
28,0.00044,0.00056,0.00066,0.00079,0.00091,0.00104,0.00117,0.00132,0.00147,0.00162,0.00179,0.00197,0.00218,0.00239,0.00265,0.00295,0.00328,0.00364,0.00403,0.0045,0.00506,0.00567,0.00633,0.00705,0.00782
29,0.00048,0.0006,0.0007,0.00083,0.00096,0.00109,0.00122,0.00138,0.00153,0.00171,0.00188,0.0021,0.00233,0.00259,0.0029,0.00322,0.00364,0.00403,0.0045,0.00506,0.00567,0.00633,0.00705,0.00782,0.00864
30,0.00053,0.00064,0.00075,0.00088,0.00101,0.00115,0.00128,0.00144,0.00161,0.0018,0.00201,0.00225,0.00253,0.00283,0.00319,0.00358,0.00403,0.0045,0.00506,0.00567,0.00633,0.00705,0.00782,0.00864,0.00951
31,0.00058,0.00068,0.0008,0.00093,0.00105,0.00121,0.00136,0.00152,0.00172,0.00194,0.00218,0.00245,0.00277,0.00312,0.00354,0.004,0.0045,0.00506,0.00567,0.00633,0.00705,0.00782,0.00864,0.00951,0.01043
32,0.00062,0.00072,0.00084,0.00097,0.00111,0.00128,0.00145,0.00163,0.00186,0.00211,0.0024,0.00271,0.00307,0.00347,0.00395,0.00446,0.00504,0.00567,0.00633,0.00705,0.00782,0.00864,0.00951,0.01043,0.0114
33,0.00064,0.00075,0.00088,0.00102,0.00119,0.00137,0.00156,0.00179,0.00203,0.00232,0.00265,0.00301,0.00343,0.00388,0.00441,0.00499,0.00563,0.00633,0.00705,0.00782,0.00864,0.00951,0.01043,0.0114,0.01239
34,0.00065,0.00078,0.00092,0.00109,0.00126,0.00147,0.0017,0.00196,0.00225,0.00258,0.00294,0.00337,0.00384,0.00435,0.00493,0.00559,0.00631,0.00705,0.00782,0.00864,0.00951,0.01043,0.0114,0.01239,0.01341
35,0.00067,0.00082,0.00097,0.00116,0.00135,0.0016,0.00187,0.00217,0.0025,0.00287,0.00328,0.00375,0.00428,0.00484,0.00549,0.00622,0.00701,0.00782,0.00864,0.00951,0.01043,0.0114,0.01239,0.01341,0.01452
36,0.00071,0.00087,0.00103,0.00124,0.00148,0.00175,0.00206,0.0024,0.00276,0.00319,0.00366,0.00417,0.00474,0.00537,0.00608,0.00686,0.00771,0.00864,0.00951,0.01043,0.0114,0.01239,0.01341,0.01452,0.0157
37,0.00075,0.00092,0.00111,0.00135,0.00162,0.00193,0.00227,0.00265,0.00308,0.00355,0.00406,0.00463,0.00525,0.00594,0.00669,0.00754,0.00845,0.00945,0.01043,0.0114,0.01239,0.01341,0.01452,0.0157,0.01697
38,0.00081,0.00099,0.00122,0.00149,0.00179,0.00213,0.00251,0.00294,0.00341,0.00393,0.00449,0.00512,0.0058,0.00655,0.00736,0.00827,0.00924,0.01029,0.01139,0.01239,0.01341,0.01452,0.0157,0.01697,0.01833
39,0.00088,0.00109,0.00135,0.00165,0.00198,0.00236,0.00279,0.00327,0.00378,0.00435,0.00497,0.00565,0.00639,0.00721,0.00808,0.00905,0.01009,0.01121,0.01238,0.01341,0.01452,0.0157,0.01697,0.01833,0.01971
40,0.00098,0.00122,0.00152,0.00184,0.00221,0.00263,0.00309,0.00362,0.00419,0.00482,0.00549,0.00623,0.00704,0.00792,0.00887,0.0099,0.01102,0.01219,0.01341,0.01452,0.0157,0.01697,0.01833,0.01971,0.0212
41,0.0011,0.00138,0.00171,0.00208,0.00248,0.00294,0.00345,0.00402,0.00464,0.00533,0.00606,0.00687,0.00774,0.00869,0.00972,0.01082,0.012,0.01324,0.01452,0.0157,0.01697,0.01833,0.01971,0.0212,0.02281
42,0.00124,0.00156,0.00193,0.00235,0.00281,0.00331,0.00387,0.00449,0.00515,0.00588,0.00668,0.00756,0.0085,0.00952,0.01063,0.01181,0.01305,0.01437,0.0157,0.01697,0.01833,0.01971,0.0212,0.02281,0.02457
43,0.0014,0.00177,0.00219,0.00266,0.00317,0.00372,0.00433,0.005,0.00572,0.00651,0.00738,0.0083,0.00932,0.01043,0.01161,0.01287,0.01419,0.01559,0.01697,0.01833,0.01971,0.0212,0.02281,0.02457,0.02652
44,0.00158,0.00201,0.00248,0.00301,0.00357,0.00418,0.00484,0.00556,0.00635,0.0072,0.00812,0.00912,0.01021,0.01139,0.01264,0.01399,0.01539,0.01687,0.01833,0.01971,0.0212,0.02281,0.02457,0.02652,0.02864
45,0.00177,0.00226,0.0028,0.00337,0.00399,0.00467,0.00539,0.00617,0.00701,0.00792,0.0089,0.00998,0.01114,0.01239,0.01373,0.01515,0.01665,0.01823,0.01971,0.0212,0.02281,0.02457,0.02652,0.02864,0.03099
46,0.00198,0.00252,0.00312,0.00374,0.00444,0.00517,0.00595,0.00679,0.0077,0.00868,0.00973,0.01088,0.01211,0.01344,0.01488,0.01637,0.01797,0.01965,0.0212,0.02281,0.02457,0.02652,0.02864,0.03099,0.03363
47,0.0022,0.00281,0.00345,0.00415,0.00489,0.00569,0.00652,0.00743,0.00841,0.00947,0.01059,0.01181,0.01312,0.01454,0.01607,0.01767,0.01937,0.02116,0.02281,0.02457,0.02652,0.02864,0.03099,0.03363,0.03659
48,0.00238,0.00305,0.0038,0.00456,0.00534,0.0062,0.00709,0.00807,0.00913,0.01025,0.01146,0.01277,0.01417,0.0157,0.01733,0.01906,0.02086,0.02279,0.02457,0.0265,0.0286,0.03098,0.03363,0.03659,0.03979
49,0.00252,0.00331,0.00415,0.00495,0.00579,0.00669,0.00765,0.0087,0.00983,0.01104,0.01234,0.01376,0.01527,0.0169,0.01867,0.02052,0.02248,0.02456,0.02649,0.02848,0.03085,0.03354,0.0365,0.03971,0.04316
50,0.00267,0.00369,0.00453,0.00534,0.00623,0.00718,0.00822,0.00933,0.01053,0.01184,0.01324,0.01477,0.01641,0.01817,0.02009,0.0221,0.02422,0.02648,0.02836,0.03064,0.03334,0.03629,0.03948,0.04294,0.04665
51,0.00284,0.00413,0.00494,0.00576,0.00668,0.00767,0.00877,0.00995,0.01126,0.01266,0.01418,0.01582,0.01761,0.01953,0.02161,0.0238,0.02612,0.02825,0.03041,0.03313,0.03607,0.03924,0.04266,0.04636,0.05033
52,0.00303,0.00454,0.00537,0.0062,0.00713,0.00817,0.00931,0.01058,0.01198,0.01352,0.01516,0.01694,0.01889,0.02098,0.02326,0.02566,0.02795,0.03019,0.03288,0.03586,0.03905,0.04241,0.04608,0.05002,0.0545
53,0.00324,0.0049,0.00582,0.00665,0.0076,0.00869,0.0099,0.01125,0.01275,0.0144,0.0162,0.01816,0.02029,0.0226,0.02509,0.02757,0.02995,0.03265,0.03562,0.03884,0.04226,0.04583,0.04976,0.05434,0.05895
54,0.00345,0.00529,0.00631,0.00713,0.00812,0.00925,0.01055,0.01198,0.01359,0.01539,0.01735,0.01952,0.02186,0.0244,0.02715,0.02967,0.03241,0.03539,0.03864,0.04211,0.04575,0.04964,0.0542,0.05892,0.06352
55,0.0037,0.00565,0.00678,0.00762,0.00865,0.00982,0.01119,0.01272,0.01448,0.01642,0.01857,0.02094,0.02353,0.02635,0.0294,0.03213,0.03515,0.03842,0.04194,0.04567,0.04961,0.05419,0.05889,0.0635,0.06847
56,0.00394,0.00597,0.00723,0.0081,0.00917,0.01042,0.01187,0.01353,0.01542,0.01751,0.01986,0.02247,0.02532,0.02845,0.03185,0.03486,0.03818,0.04176,0.04557,0.04958,0.05418,0.05886,0.06348,0.06847,0.0745
57,0.00406,0.0063,0.0077,0.00862,0.00977,0.01111,0.01267,0.01447,0.01651,0.01879,0.02134,0.02419,0.02734,0.03079,0.03456,0.03789,0.04153,0.04543,0.04955,0.05416,0.05883,0.06346,0.06847,0.07444,0.08149
58,0.00423,0.00662,0.00818,0.00918,0.01041,0.01188,0.01357,0.01554,0.01775,0.02026,0.02305,0.02617,0.02963,0.03342,0.03759,0.04126,0.04525,0.04949,0.05414,0.0588,0.06344,0.06846,0.07438,0.08134,0.08878
59,0.00445,0.00691,0.00866,0.00975,0.01108,0.01269,0.01456,0.01671,0.01915,0.02193,0.025,0.02842,0.03222,0.03638,0.04096,0.04504,0.04939,0.05411,0.05876,0.06341,0.06846,0.07433,0.08117,0.08857,0.09609
60,0.00461,0.0072,0.00912,0.01029,0.01176,0.01354,0.01561,0.01798,0.02071,0.02378,0.02717,0.03096,0.03513,0.03974,0.04476,0.04926,0.05406,0.05871,0.06338,0.06845,0.07427,0.08101,0.08836,0.09582,0.10288
61,0.00482,0.00749,0.00955,0.01081,0.01242,0.01439,0.01668,0.01932,0.02238,0.0258,0.02959,0.03379,0.03841,0.04351,0.04905,0.05398,0.05866,0.06335,0.06843,0.07421,0.08085,0.08814,0.09555,0.10256,0.10965
62,0.00518,0.00777,0.00996,0.0113,0.01304,0.01521,0.01776,0.02073,0.02414,0.02799,0.03223,0.03692,0.04209,0.04772,0.05384,0.05858,0.06332,0.06842,0.07414,0.08068,0.08791,0.09528,0.10223,0.10931,0.11669
63,0.00563,0.00878,0.01036,0.01177,0.01365,0.01602,0.01887,0.02221,0.02603,0.03036,0.03511,0.04037,0.04613,0.0524,0.05843,0.06323,0.0684,0.07407,0.08051,0.08768,0.09498,0.10188,0.10895,0.11633,0.12443
64,0.00616,0.00986,0.01077,0.01224,0.01428,0.01689,0.02005,0.02378,0.02807,0.03294,0.03826,0.04415,0.05057,0.05754,0.06301,0.06835,0.07404,0.08032,0.08744,0.0947,0.10153,0.1086,0.11595,0.12404,0.13251
65,0.00656,0.01032,0.0112,0.01274,0.01494,0.01779,0.02126,0.02539,0.03016,0.03556,0.04149,0.04801,0.0551,0.06279,0.06822,0.07399,0.08019,0.08721,0.0944,0.10117,0.10823,0.11558,0.12365,0.1321,0.14037
66,0.00674,0.01084,0.01169,0.0133,0.01567,0.01877,0.02259,0.02711,0.03234,0.03823,0.04477,0.0519,0.05967,0.06806,0.07385,0.08008,0.08698,0.09413,0.10084,0.10789,0.11522,0.12329,0.13173,0.13998,0.14838
67,0.00715,0.01139,0.01225,0.01399,0.01656,0.01994,0.02413,0.02907,0.03477,0.04119,0.04833,0.05613,0.06461,0.0737,0.07982,0.08655,0.09387,0.10061,0.10757,0.1149,0.12296,0.13139,0.13964,0.14804,0.15704
68,0.00783,0.01197,0.01293,0.01484,0.01765,0.02135,0.02591,0.0313,0.0375,0.04446,0.05223,0.06069,0.06989,0.07957,0.08591,0.09306,0.10011,0.10744,0.11457,0.12263,0.13106,0.1393,0.14768,0.15653,0.16564
69,0.00856,0.0126,0.01372,0.01583,0.01895,0.02301,0.02799,0.03384,0.04056,0.04807,0.05646,0.0656,0.07548,0.08519,0.09188,0.09901,0.10645,0.11411,0.12182,0.13028,0.13872,0.14728,0.15597,0.16491,0.17341
70,0.00938,0.01331,0.01463,0.01701,0.0205,0.02496,0.0304,0.03674,0.04397,0.052,0.06101,0.07085,0.08139,0.09061,0.09763,0.10501,0.11271,0.1206,0.12881,0.13718,0.14616,0.15534,0.16412,0.17264,0.18377
71,0.01169,0.01407,0.01568,0.01842,0.02231,0.02721,0.03313,0.03999,0.04772,0.05626,0.06592,0.07639,0.0876,0.09615,0.10198,0.11105,0.11895,0.12707,0.13544,0.14394,0.15348,0.1633,0.1719,0.18259,0.19808
72,0.01395,0.01493,0.01689,0.02006,0.02439,0.02979,0.03621,0.04358,0.05181,0.06084,0.07113,0.08221,0.09391,0.10092,0.10471,0.11704,0.12513,0.13343,0.14192,0.15052,0.16068,0.1711,0.18152,0.19597,0.21484
73,0.01478,0.01595,0.01834,0.02197,0.02679,0.03271,0.03964,0.04751,0.05624,0.06572,0.0766,0.08821,0.09977,0.10396,0.11162,0.12295,0.13117,0.13958,0.14823,0.15693,0.16776,0.1805,0.19404,0.21225,0.23323
74,0.01566,0.01719,0.02007,0.02421,0.02955,0.03598,0.04341,0.05178,0.06096,0.07086,0.08223,0.09423,0.10327,0.10993,0.11828,0.12934,0.13787,0.14655,0.15536,0.16513,0.17619,0.19237,0.20908,0.23032,0.252
75,0.0168,0.01885,0.02229,0.02701,0.03294,0.04,0.04806,0.05703,0.0668,0.07723,0.08911,0.10007,0.10838,0.1168,0.12493,0.13676,0.14575,0.15476,0.16461,0.1756,0.18924,0.20737,0.22729,0.24918,0.27322
76,0.01842,0.02105,0.02511,0.03051,0.03714,0.04492,0.05373,0.06346,0.07398,0.08504,0.09756,0.10682,0.11546,0.12414,0.13571,0.14493,0.15419,0.16415,0.17525,0.18877,0.20648,0.22611,0.24777,0.27147,0.29522
77,0.02057,0.02382,0.02851,0.03459,0.04197,0.05048,0.06004,0.07051,0.08166,0.09333,0.10535,0.11412,0.12334,0.13462,0.14418,0.15363,0.16363,0.17489,0.18848,0.20579,0.22534,0.24671,0.27019,0.29374,0.31621
78,0.02227,0.02726,0.03263,0.03937,0.04746,0.05673,0.06699,0.07811,0.08985,0.10209,0.11282,0.12258,0.13358,0.14336,0.15308,0.16318,0.1744,0.18819,0.20529,0.2244,0.24598,0.26927,0.29262,0.31494,0.33888
79,0.02338,0.0315,0.03751,0.04492,0.05369,0.06368,0.07453,0.08623,0.09852,0.11121,0.1218,0.13254,0.14266,0.15247,0.16273,0.17405,0.18774,0.20471,0.22355,0.24465,0.2686,0.29181,0.31423,0.33804,0.36346
80,0.02536,0.03665,0.04324,0.0513,0.06069,0.07126,0.08265,0.09484,0.1076,0.12069,0.13149,0.1419,0.15199,0.16214,0.17364,0.18745,0.20402,0.2226,0.24329,0.26668,0.29138,0.31364,0.33757,0.36326,0.39163
81,0.02827,0.04275,0.0499,0.05852,0.06843,0.07945,0.09131,0.10393,0.11702,0.13044,0.14111,0.15142,0.16169,0.1732,0.18697,0.20349,0.22153,0.24191,0.2647,0.28881,0.31324,0.33727,0.36307,0.39163,0.42344
82,0.03143,0.04914,0.05748,0.06653,0.07684,0.08827,0.10045,0.11336,0.12671,0.14035,0.15082,0.16123,0.17284,0.18667,0.20279,0.22066,0.24049,0.26313,0.28675,0.31054,0.33679,0.36288,0.39163,0.42344,0.456
83,0.03547,0.05645,0.06596,0.0753,0.08591,0.09763,0.11,0.1231,0.1366,0.15035,0.16069,0.17243,0.18638,0.20229,0.21972,0.23964,0.26228,0.28597,0.30936,0.33487,0.36268,0.39163,0.42344,0.456,0.4891
84,0.04156,0.06541,0.07451,0.08479,0.09558,0.10742,0.11991,0.13303,0.14658,0.16026,0.17199,0.18596,0.20173,0.21901,0.23904,0.26201,0.28595,0.30936,0.33453,0.36191,0.39163,0.42344,0.456,0.4891,0.52277
85,0.0516,0.07371,0.08368,0.09492,0.10574,0.11839,0.13007,0.14308,0.15656,0.17164,0.18563,0.20113,0.21857,0.23858,0.26201,0.28595,0.30936,0.33453,0.36191,0.39163,0.42344,0.456,0.4891,0.52277,0.55756
86,0.06079,0.08256,0.09426,0.10543,0.11741,0.12959,0.14029,0.15314,0.16785,0.18535,0.20057,0.21715,0.23697,0.26155,0.28595,0.30936,0.33453,0.36191,0.39163,0.42328,0.45584,0.4891,0.52277,0.55756,0.59243
87,0.07082,0.09363,0.1051,0.11709,0.12916,0.13985,0.15043,0.16443,0.18132,0.19993,0.21618,0.23386,0.25603,0.28252,0.307,0.33228,0.35936,0.38852,0.42013,0.45255,0.48627,0.52092,0.55661,0.59243,0.62605
88,0.08681,0.10484,0.11675,0.12872,0.13946,0.15005,0.16193,0.17793,0.19572,0.21505,0.23227,0.25128,0.27468,0.29985,0.32543,0.35252,0.38108,0.41166,0.44384,0.47764,0.51304,0.55001,0.58856,0.62605,0.65815
89,0.10267,0.11642,0.1283,0.13903,0.14972,0.16157,0.17559,0.19242,0.21072,0.23072,0.24906,0.26874,0.2944,0.31725,0.34376,0.37202,0.40235,0.4344,0.46814,0.50358,0.5407,0.57945,0.61985,0.65815,0.69112
90,0.11611,0.12786,0.13868,0.14933,0.1612,0.17518,0.1908,0.20736,0.22625,0.24699,0.26608,0.28745,0.31354,0.33492,0.36269,0.39263,0.42438,0.45793,0.49327,0.53037,0.56923,0.60982,0.65211,0.69102,0.73234
91,0.12746,0.13836,0.14907,0.1609,0.17474,0.19025,0.20664,0.22284,0.24221,0.26363,0.28291,0.30574,0.32794,0.35333,0.3827,0.41398,0.44717,0.48225,0.5192,0.55801,0.59865,0.64109,0.68531,0.73127,0.77159
92,0.13803,0.14876,0.16061,0.1744,0.18968,0.20591,0.22197,0.23882,0.2588,0.27881,0.29845,0.31977,0.34419,0.3728,0.40344,0.43608,0.47073,0.50735,0.54594,0.58648,0.62893,0.67327,0.71946,0.76745,0.81254
93,0.14847,0.16034,0.17401,0.18915,0.2052,0.22118,0.23774,0.25563,0.27419,0.2921,0.31216,0.33556,0.36321,0.393,0.4249,0.45892,0.49504,0.53324,0.57349,0.61579,0.66008,0.70635,0.75453,0.80459,0.85604
94,0.16002,0.17371,0.18866,0.20461,0.2205,0.23689,0.25461,0.27125,0.28743,0.30561,0.32776,0.35423,0.38294,0.41389,0.44709,0.48249,0.5201,0.5599,0.60184,0.64592,0.69209,0.7403,0.79052,0.84267,0.89668
95,0.17337,0.18803,0.20399,0.21988,0.23617,0.25379,0.27039,0.28433,0.3008,0.32114,0.34618,0.3736,0.40337,0.43551,0.46999,0.5068,0.54592,0.58733,0.63099,0.67687,0.72494,0.77514,0.82741,0.88168,0.93911
96,0.18728,0.20296,0.2192,0.23539,0.25291,0.2697,0.28348,0.29765,0.31608,0.33944,0.3653,0.39366,0.42451,0.45783,0.49362,0.53184,0.57249,0.61552,0.66092,0.70864,0.75863,0.81084,0.86519,0.92454,1
97,0.20161,0.2179,0.23466,0.25207,0.26888,0.28285,0.29674,0.31296,0.33438,0.35844,0.38513,0.41444,0.44635,0.48087,0.51796,0.55762,0.5998,0.64449,0.69164,0.74121,0.79316,0.84739,0.90918,1,
98,0.21623,0.23305,0.25134,0.26805,0.2821,0.29644,0.31223,0.33144,0.35341,0.37815,0.40566,0.43591,0.46889,0.50461,0.54302,0.58411,0.62785,0.67421,0.72313,0.77458,0.82849,0.8933,1,,
