Table Name:,"2001 CSO Preferred Select and Ultimate - Male Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Preferred Select and Ultimate Table - Male Nonsmoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00054,0.00062,0.00066,0.00069,0.00069,0.0007,0.0007,0.00071,0.00071
1,,,,,,,,,,,,,,,,0.00052,0.00059,0.00065,0.00068,0.00069,0.0007,0.0007,0.00071,0.00071,0.00072
2,,,,,,,,,,,,,,,0.0005,0.00057,0.00063,0.00067,0.00068,0.0007,0.0007,0.00071,0.00071,0.00072,0.00074
3,,,,,,,,,,,,,,0.00049,0.00056,0.00061,0.00066,0.00068,0.0007,0.0007,0.00071,0.00071,0.00072,0.00073,0.00076
4,,,,,,,,,,,,,0.00049,0.00056,0.00061,0.00066,0.00068,0.0007,0.0007,0.00071,0.00071,0.00072,0.00073,0.00075,0.00076
5,,,,,,,,,,,,0.00048,0.00056,0.00061,0.00066,0.00068,0.0007,0.0007,0.00071,0.00071,0.00072,0.00072,0.00073,0.00074,0.00075
6,,,,,,,,,,,0.00048,0.00056,0.00061,0.00066,0.00068,0.00069,0.00069,0.0007,0.0007,0.00071,0.00071,0.00072,0.00073,0.00074,0.00075
7,,,,,,,,,,0.00048,0.00056,0.00061,0.00066,0.00067,0.00068,0.00068,0.00069,0.00069,0.0007,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075
8,,,,,,,,,0.00047,0.00056,0.00061,0.00066,0.00066,0.00067,0.00067,0.00068,0.00069,0.0007,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076
9,,,,,,,,0.00047,0.00056,0.00061,0.00066,0.00066,0.00067,0.00067,0.00068,0.00068,0.0007,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078
10,,,,,,,0.00047,0.00055,0.00061,0.00065,0.00065,0.00066,0.00066,0.00067,0.00068,0.00069,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008
11,,,,,,0.00047,0.00055,0.00061,0.00064,0.00064,0.00065,0.00065,0.00066,0.00067,0.00069,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008,0.00082
12,,,,,0.00047,0.00055,0.00061,0.00064,0.00064,0.00065,0.00065,0.00066,0.00066,0.00069,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008,0.00082,0.00087
13,,,,0.00047,0.00055,0.00061,0.00063,0.00063,0.00064,0.00064,0.00065,0.00066,0.00068,0.0007,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008,0.00082,0.00087,0.00091
14,,,0.00047,0.00055,0.00061,0.00063,0.00063,0.00064,0.00064,0.00065,0.00065,0.00067,0.00069,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008,0.00082,0.00087,0.00091,0.00097
15,,0.00047,0.00055,0.00061,0.00062,0.00062,0.00063,0.00063,0.00064,0.00064,0.00067,0.00068,0.00071,0.00072,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008,0.00082,0.00087,0.00091,0.00097,0.00103
16,0.00047,0.00055,0.00061,0.00062,0.00062,0.00063,0.00063,0.00064,0.00064,0.00065,0.00067,0.0007,0.00071,0.00073,0.00074,0.00075,0.00076,0.00078,0.0008,0.00082,0.00087,0.00091,0.00097,0.00103,0.0011
17,0.00055,0.0006,0.00061,0.00061,0.00062,0.00062,0.00063,0.00063,0.00065,0.00066,0.00068,0.0007,0.00071,0.00072,0.00073,0.00074,0.00078,0.0008,0.00082,0.00087,0.00091,0.00097,0.00103,0.0011,0.00119
18,0.00059,0.0006,0.0006,0.00061,0.00061,0.00062,0.00062,0.00063,0.00065,0.00066,0.00067,0.00069,0.0007,0.00072,0.00074,0.00075,0.0008,0.00081,0.00087,0.00091,0.00097,0.00103,0.0011,0.00119,0.0013
19,0.00058,0.00058,0.00059,0.00059,0.0006,0.0006,0.00061,0.00062,0.00063,0.00064,0.00066,0.00067,0.00069,0.00072,0.00075,0.00077,0.00081,0.00087,0.00091,0.00097,0.00103,0.0011,0.00119,0.0013,0.00142
20,0.00055,0.00056,0.00056,0.00057,0.00057,0.00059,0.00059,0.00061,0.00062,0.00063,0.00064,0.00066,0.00068,0.00072,0.00077,0.00081,0.00086,0.00091,0.00097,0.00103,0.0011,0.00119,0.0013,0.00142,0.00157
21,0.00052,0.00052,0.00053,0.00053,0.00055,0.00055,0.00057,0.00058,0.0006,0.00062,0.00063,0.00066,0.00069,0.00074,0.0008,0.00086,0.00091,0.00097,0.00103,0.0011,0.00119,0.0013,0.00142,0.00157,0.00174
22,0.00049,0.0005,0.0005,0.00051,0.00053,0.00054,0.00055,0.00057,0.00058,0.00061,0.00064,0.00067,0.0007,0.00076,0.00084,0.00091,0.00097,0.00103,0.0011,0.00119,0.0013,0.00142,0.00157,0.00174,0.0019
23,0.00045,0.00045,0.00048,0.00049,0.00052,0.00053,0.00055,0.00057,0.00058,0.00061,0.00065,0.00068,0.00073,0.0008,0.00088,0.00097,0.00103,0.0011,0.00119,0.0013,0.00142,0.00157,0.00174,0.0019,0.00207
24,0.00041,0.00043,0.00046,0.00049,0.00052,0.00054,0.00055,0.00058,0.0006,0.00063,0.00067,0.00071,0.00077,0.00084,0.00094,0.00102,0.0011,0.00119,0.0013,0.00142,0.00157,0.00174,0.0019,0.00206,0.00218
25,0.00037,0.0004,0.00045,0.0005,0.00052,0.00055,0.00057,0.00059,0.00063,0.00066,0.0007,0.00076,0.00082,0.0009,0.00099,0.0011,0.00119,0.0013,0.00142,0.00157,0.00174,0.0019,0.00206,0.00218,0.00233
26,0.00034,0.0004,0.00046,0.00051,0.00054,0.00056,0.00058,0.00062,0.00065,0.00069,0.00075,0.0008,0.00088,0.00096,0.00107,0.00119,0.0013,0.00142,0.00157,0.00174,0.0019,0.00206,0.00218,0.00233,0.00251
27,0.00034,0.00041,0.00047,0.00053,0.00056,0.00058,0.00062,0.00065,0.00069,0.00075,0.0008,0.00087,0.00094,0.00105,0.00116,0.0013,0.00142,0.00157,0.00174,0.0019,0.00205,0.00218,0.00233,0.00251,0.00273
28,0.00035,0.00042,0.00049,0.00054,0.00058,0.00061,0.00064,0.00069,0.00074,0.00079,0.00087,0.00094,0.00103,0.00115,0.00127,0.00142,0.00156,0.00173,0.0019,0.00204,0.00218,0.00233,0.00251,0.00273,0.00304
29,0.00035,0.00043,0.00051,0.00056,0.00061,0.00064,0.00069,0.00074,0.00079,0.00087,0.00094,0.00103,0.00113,0.00124,0.00139,0.00155,0.00172,0.0019,0.00204,0.00218,0.00233,0.00251,0.00273,0.00304,0.00338
30,0.00036,0.00044,0.00051,0.00058,0.00063,0.00069,0.00074,0.00079,0.00086,0.00094,0.00102,0.00111,0.00121,0.00134,0.0015,0.00169,0.00186,0.00201,0.00218,0.00233,0.00251,0.00273,0.00302,0.00338,0.00376
31,0.00036,0.00045,0.00052,0.00059,0.00065,0.00073,0.00079,0.00085,0.00091,0.00098,0.00107,0.00118,0.00132,0.00147,0.00166,0.00184,0.00199,0.00216,0.00231,0.00248,0.00267,0.00299,0.00335,0.00376,0.00423
32,0.00036,0.00044,0.00053,0.0006,0.00068,0.00074,0.00082,0.00088,0.00095,0.00102,0.00113,0.00127,0.00144,0.00163,0.00182,0.00198,0.00215,0.00231,0.00248,0.00267,0.00297,0.00335,0.00373,0.00418,0.00473
33,0.00038,0.00047,0.00055,0.00064,0.00071,0.00079,0.00087,0.00093,0.001,0.00108,0.0012,0.00136,0.00158,0.00177,0.00195,0.00212,0.0023,0.00248,0.00267,0.00294,0.00332,0.00369,0.00413,0.00465,0.00524
34,0.0004,0.00048,0.00058,0.00066,0.00076,0.00083,0.00092,0.00099,0.00107,0.00116,0.00131,0.0015,0.00171,0.00191,0.0021,0.00227,0.00248,0.00267,0.00294,0.00322,0.00363,0.00406,0.00458,0.00514,0.00575
35,0.00043,0.00051,0.0006,0.00069,0.00078,0.00088,0.00097,0.00106,0.00116,0.00128,0.00144,0.00163,0.00184,0.00205,0.00226,0.00244,0.00267,0.00294,0.00322,0.00356,0.00398,0.00447,0.005,0.0056,0.00616
36,0.00044,0.00054,0.00063,0.00073,0.00083,0.00092,0.00102,0.00115,0.00127,0.00143,0.00158,0.00177,0.00199,0.00222,0.00243,0.00267,0.00294,0.00318,0.00352,0.00389,0.00437,0.00489,0.00546,0.00611,0.00656
37,0.00048,0.00056,0.00066,0.00076,0.00086,0.00097,0.0011,0.00125,0.00142,0.00156,0.00172,0.0019,0.00214,0.00239,0.00264,0.00294,0.00316,0.00348,0.00385,0.00427,0.00478,0.00533,0.00595,0.00654,0.00741
38,0.00051,0.00061,0.00072,0.00081,0.00091,0.00104,0.0012,0.00138,0.00155,0.0017,0.00186,0.00206,0.00229,0.00256,0.00285,0.00313,0.00346,0.00381,0.00422,0.00468,0.00521,0.00582,0.0065,0.00732,0.0084
39,0.00055,0.00067,0.00077,0.00087,0.00098,0.00113,0.00132,0.0015,0.00168,0.00184,0.002,0.00222,0.00248,0.00277,0.00308,0.00342,0.00377,0.00418,0.00463,0.00509,0.0057,0.00642,0.00724,0.00829,0.00955
40,0.00059,0.00072,0.00083,0.00093,0.00106,0.00125,0.00144,0.00164,0.0018,0.00197,0.00217,0.00242,0.0027,0.00301,0.00335,0.00372,0.00413,0.00458,0.00506,0.00555,0.00629,0.0071,0.00812,0.00929,0.0104
41,0.00063,0.00077,0.0009,0.00103,0.00118,0.00137,0.00158,0.00177,0.00195,0.00215,0.00239,0.00267,0.00297,0.0033,0.00369,0.0041,0.00453,0.005,0.00555,0.00612,0.00697,0.00795,0.00905,0.01037,0.01137
42,0.00067,0.00084,0.00099,0.00113,0.0013,0.0015,0.00171,0.00191,0.00213,0.00235,0.00262,0.00293,0.00326,0.00365,0.0041,0.00449,0.00494,0.00548,0.00611,0.00681,0.00779,0.00885,0.01008,0.01136,0.01244
43,0.00071,0.00088,0.00106,0.00122,0.0014,0.00159,0.00182,0.00205,0.00229,0.00255,0.00286,0.0032,0.00362,0.00405,0.00448,0.00487,0.00542,0.00604,0.00678,0.00763,0.00866,0.00978,0.011,0.01223,0.01362
44,0.00075,0.00094,0.00112,0.00129,0.00147,0.00169,0.00193,0.00221,0.00248,0.00278,0.0031,0.00355,0.004,0.00444,0.00485,0.00533,0.00596,0.0067,0.00753,0.00847,0.00955,0.01072,0.01195,0.01329,0.01464
45,0.00081,0.00101,0.00119,0.00136,0.00157,0.0018,0.00209,0.00239,0.0027,0.00301,0.00341,0.00393,0.00439,0.00479,0.00525,0.00587,0.0066,0.00743,0.0083,0.00915,0.01026,0.01164,0.01289,0.01458,0.01617
46,0.00088,0.00107,0.00124,0.00143,0.00167,0.00196,0.00228,0.00262,0.00296,0.00333,0.00379,0.00432,0.00477,0.00518,0.0058,0.00653,0.00737,0.00827,0.00913,0.01006,0.01129,0.01256,0.01414,0.01616,0.01809
47,0.00094,0.00111,0.00131,0.00153,0.00181,0.00212,0.00248,0.00287,0.00325,0.00369,0.00417,0.00469,0.00514,0.00568,0.00645,0.00729,0.00821,0.00912,0.01005,0.01099,0.01226,0.01375,0.01568,0.01808,0.0206
48,0.00101,0.00119,0.00141,0.00166,0.00194,0.00228,0.00267,0.0031,0.00353,0.00406,0.00453,0.00505,0.00559,0.0063,0.00719,0.00815,0.00911,0.01004,0.01099,0.01192,0.0134,0.01524,0.01755,0.02033,0.02309
49,0.00107,0.0013,0.00153,0.00179,0.0021,0.00245,0.00287,0.00337,0.00381,0.00434,0.00488,0.00549,0.00619,0.00702,0.00802,0.00907,0.01002,0.01098,0.01187,0.0131,0.01486,0.01708,0.01972,0.02273,0.02557
50,0.00116,0.0014,0.00167,0.00195,0.00226,0.00263,0.0031,0.00361,0.00408,0.00463,0.00528,0.00608,0.00696,0.00792,0.00893,0.01001,0.01092,0.0118,0.01293,0.01453,0.01665,0.01918,0.02205,0.02521,0.0281
51,0.00126,0.00155,0.00184,0.00214,0.00246,0.00284,0.00332,0.00383,0.00438,0.005,0.00582,0.00683,0.00785,0.00885,0.00977,0.01087,0.01172,0.0128,0.01436,0.0163,0.01877,0.02155,0.02461,0.02803,0.03117
52,0.00136,0.00169,0.00203,0.00234,0.00268,0.00305,0.00354,0.0041,0.00473,0.00551,0.00651,0.00769,0.00877,0.00951,0.01059,0.01166,0.01267,0.01419,0.01608,0.01838,0.02106,0.02403,0.02734,0.03115,0.03468
53,0.00143,0.00182,0.00219,0.00255,0.00291,0.00331,0.00384,0.0045,0.00523,0.00618,0.00734,0.00861,0.00943,0.01035,0.01143,0.01259,0.01404,0.01587,0.01791,0.02062,0.02347,0.02666,0.03034,0.03468,0.03896
54,0.0015,0.00195,0.00238,0.00277,0.00314,0.0036,0.00423,0.00501,0.00586,0.00696,0.00819,0.00924,0.01025,0.01133,0.01252,0.01393,0.01569,0.0177,0.02006,0.02295,0.02602,0.02956,0.03374,0.03874,0.0439
55,0.00156,0.00209,0.00256,0.00296,0.00338,0.00394,0.0047,0.0056,0.00654,0.00772,0.00874,0.00999,0.01121,0.01245,0.01385,0.01555,0.01749,0.01955,0.02231,0.02543,0.02882,0.03282,0.03764,0.04356,0.0497
56,0.00165,0.00223,0.00274,0.00319,0.00368,0.00435,0.00524,0.00625,0.00725,0.00822,0.00943,0.01085,0.01231,0.01377,0.01545,0.01745,0.01951,0.02163,0.02464,0.02809,0.03194,0.03656,0.04218,0.04927,0.05607
57,0.00173,0.00235,0.00293,0.00346,0.00405,0.00484,0.00582,0.0069,0.00793,0.0091,0.01049,0.01204,0.0136,0.01536,0.01742,0.01946,0.02159,0.02398,0.0272,0.0311,0.03552,0.0409,0.04744,0.05564,0.06338
58,0.00186,0.00251,0.00313,0.00377,0.00449,0.00539,0.00643,0.00752,0.00854,0.00987,0.01144,0.0133,0.01518,0.0172,0.01942,0.02156,0.02391,0.02645,0.03007,0.03456,0.0397,0.04594,0.05361,0.06295,0.07116
59,0.002,0.00268,0.00339,0.00412,0.00498,0.00597,0.00706,0.00812,0.00913,0.01061,0.0124,0.0146,0.01699,0.01918,0.02149,0.02375,0.02633,0.02919,0.03336,0.03859,0.04453,0.0516,0.06069,0.07073,0.07962
60,0.0022,0.00289,0.00366,0.00452,0.00549,0.00655,0.00766,0.00872,0.00973,0.01141,0.01348,0.01595,0.01875,0.02122,0.02368,0.02614,0.02906,0.03226,0.0372,0.04323,0.04983,0.05845,0.06816,0.07908,0.08895
61,0.00241,0.00313,0.00396,0.00491,0.006,0.00714,0.00827,0.00931,0.01035,0.01227,0.01459,0.01723,0.02014,0.02337,0.02606,0.02883,0.03219,0.03589,0.04163,0.04834,0.05631,0.06572,0.07633,0.08842,0.09967
62,0.00265,0.00339,0.0043,0.00534,0.00652,0.00775,0.00891,0.01,0.0111,0.01325,0.01572,0.01846,0.02153,0.02502,0.02873,0.03192,0.03582,0.04009,0.04648,0.05432,0.0634,0.07369,0.08543,0.09917,0.11169
63,0.00282,0.00369,0.00472,0.00587,0.00714,0.00843,0.00968,0.01087,0.01211,0.01441,0.01701,0.01992,0.02323,0.0271,0.03163,0.03551,0.04002,0.04472,0.05202,0.06124,0.0712,0.08264,0.09597,0.11124,0.12496
64,0.00298,0.00402,0.00519,0.00646,0.00783,0.00921,0.01057,0.01192,0.01331,0.01574,0.01852,0.0217,0.02538,0.02973,0.0349,0.03964,0.0446,0.05002,0.05781,0.06885,0.07993,0.09292,0.10776,0.12455,0.13935
65,0.0031,0.00434,0.00568,0.00711,0.00858,0.01009,0.01157,0.01306,0.01462,0.01724,0.02027,0.02382,0.02798,0.03296,0.03886,0.04415,0.04981,0.05591,0.06408,0.0774,0.09002,0.10447,0.1208,0.13904,0.15482
66,0.00322,0.0048,0.00627,0.0078,0.00948,0.01109,0.01266,0.01427,0.01605,0.01892,0.02231,0.02629,0.03105,0.03671,0.0432,0.04933,0.05526,0.06174,0.07126,0.08698,0.10105,0.11703,0.13482,0.15444,0.1711
67,0.00343,0.00532,0.00693,0.00859,0.0105,0.01218,0.01385,0.0156,0.01758,0.02078,0.0246,0.02915,0.03457,0.04078,0.0481,0.05473,0.06111,0.06802,0.08029,0.09773,0.1133,0.13065,0.14984,0.17075,0.18682
68,0.00383,0.00589,0.00766,0.00945,0.01144,0.01345,0.01544,0.01747,0.01955,0.0232,0.02758,0.03279,0.03878,0.04584,0.05368,0.06057,0.06746,0.07659,0.09037,0.10964,0.12658,0.14533,0.16579,0.18651,0.20349
69,0.00422,0.00652,0.00848,0.0104,0.01203,0.01489,0.01693,0.01893,0.02128,0.02543,0.03037,0.03607,0.04279,0.05026,0.05874,0.06705,0.07592,0.08637,0.10156,0.12261,0.14095,0.16093,0.18128,0.20329,0.22717
70,0.00465,0.00723,0.00938,0.01146,0.01263,0.01643,0.01836,0.0205,0.02464,0.02948,0.03507,0.04166,0.04899,0.0573,0.06687,0.07542,0.0857,0.09724,0.1138,0.13661,0.15613,0.17602,0.19759,0.22702,0.24659
71,0.00559,0.00804,0.0104,0.01211,0.01451,0.01779,0.01973,0.02435,0.02739,0.03274,0.03904,0.04609,0.05407,0.06326,0.07444,0.08523,0.09658,0.10909,0.12705,0.15149,0.17098,0.19213,0.22694,0.24651,0.26708
72,0.00676,0.00891,0.01149,0.01388,0.01633,0.01893,0.02174,0.02487,0.02845,0.03428,0.04078,0.04818,0.05674,0.06714,0.07977,0.09589,0.1085,0.12293,0.14142,0.16608,0.18684,0.22685,0.24647,0.26706,0.28379
73,0.00769,0.01056,0.01317,0.01555,0.01782,0.02016,0.0228,0.02725,0.03016,0.03625,0.04316,0.05117,0.06092,0.07276,0.08708,0.10425,0.12274,0.13978,0.15961,0.18423,0.22676,0.24644,0.267,0.28379,0.30149
74,0.00884,0.0116,0.0144,0.0171,0.01958,0.02195,0.02611,0.02924,0.03261,0.03935,0.04694,0.05618,0.06743,0.08104,0.0974,0.11691,0.13965,0.15786,0.18047,0.22668,0.24641,0.26696,0.28379,0.30149,0.32038
75,0.01021,0.01243,0.01562,0.01902,0.0214,0.0251,0.02844,0.03201,0.03929,0.04655,0.05582,0.06701,0.08056,0.09684,0.11626,0.13963,0.15779,0.1786,0.2266,0.24637,0.26692,0.28379,0.30149,0.32038,0.34054
76,0.01063,0.01378,0.01723,0.02085,0.02409,0.02761,0.03135,0.03806,0.04617,0.05546,0.06659,0.08008,0.09628,0.11561,0.13851,0.15756,0.17832,0.2265,0.24634,0.26688,0.28379,0.30149,0.32038,0.34054,0.3621
77,0.0111,0.01491,0.0189,0.02311,0.02679,0.03067,0.03683,0.04507,0.05127,0.06417,0.07733,0.09316,0.11207,0.13449,0.15577,0.17807,0.2256,0.24631,0.26684,0.28379,0.30149,0.32038,0.34054,0.3621,0.37921
78,0.01187,0.0161,0.02075,0.02605,0.03007,0.0357,0.04409,0.05071,0.06394,0.07725,0.09305,0.11194,0.13434,0.15558,0.17784,0.2248,0.246,0.26679,0.28375,0.30149,0.32038,0.34054,0.3621,0.37921,0.39744
79,0.01278,0.01749,0.02305,0.02939,0.03454,0.04301,0.05,0.0628,0.07013,0.08518,0.10301,0.12423,0.14827,0.17585,0.22411,0.24571,0.26649,0.28342,0.30145,0.32038,0.34054,0.3621,0.37921,0.39744,0.41684
80,0.01379,0.0194,0.02594,0.03347,0.04205,0.0494,0.06182,0.06936,0.0821,0.09972,0.1205,0.14407,0.17194,0.22352,0.24546,0.26621,0.28313,0.30115,0.32033,0.34054,0.3621,0.37921,0.39744,0.41684,0.43748
81,0.01502,0.02178,0.02959,0.03851,0.04887,0.06091,0.06864,0.0813,0.09585,0.11634,0.13941,0.17086,0.22299,0.24524,0.26598,0.28288,0.30088,0.32006,0.34051,0.3621,0.37921,0.39744,0.41684,0.43748,0.45913
82,0.01659,0.02483,0.03415,0.04488,0.05726,0.06795,0.08055,0.09507,0.10583,0.13921,0.17072,0.22253,0.24507,0.26577,0.28266,0.30065,0.31983,0.34027,0.36207,0.37921,0.39744,0.41684,0.43748,0.45913,0.48215
83,0.01889,0.02877,0.03997,0.05273,0.06738,0.0799,0.09442,0.10522,0.13874,0.17059,0.2221,0.24489,0.26559,0.28247,0.30045,0.31962,0.34006,0.36186,0.37918,0.39744,0.41684,0.43748,0.45913,0.48215,0.50662
84,0.02217,0.03391,0.04711,0.06214,0.07925,0.0938,0.10462,0.13817,0.17021,0.22172,0.24474,0.26543,0.2823,0.30028,0.31944,0.33989,0.36169,0.37904,0.39741,0.41684,0.43748,0.45913,0.48215,0.50662,0.53263
85,0.0267,0.04038,0.05577,0.07315,0.09317,0.10404,0.13762,0.16982,0.22042,0.24461,0.26528,0.28216,0.30012,0.31928,0.33973,0.36154,0.37891,0.39731,0.41683,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026
86,0.03253,0.04834,0.06614,0.08646,0.10348,0.13708,0.1693,0.21919,0.24414,0.26515,0.28201,0.29999,0.31915,0.3396,0.36141,0.37881,0.39723,0.41678,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959
87,0.03973,0.0584,0.07936,0.10293,0.13659,0.16882,0.21811,0.24371,0.2647,0.2819,0.29987,0.31902,0.33947,0.3613,0.37871,0.39715,0.41673,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074
88,0.04883,0.07143,0.09627,0.13609,0.16836,0.21708,0.24331,0.26428,0.28148,0.29975,0.31892,0.33936,0.3612,0.37863,0.39709,0.41669,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538
89,0.06119,0.08852,0.13132,0.1679,0.21619,0.24296,0.26391,0.28109,0.29937,0.31882,0.33926,0.3611,0.37856,0.39703,0.41666,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891
90,0.07847,0.12576,0.16442,0.21527,0.24262,0.26355,0.28073,0.29901,0.31847,0.33919,0.36102,0.3785,0.39699,0.41663,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615
91,0.11862,0.16042,0.21437,0.24229,0.26323,0.2804,0.29868,0.31814,0.33888,0.36096,0.37844,0.39694,0.4166,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567
92,0.15532,0.21345,0.24197,0.26293,0.2801,0.29839,0.31785,0.33861,0.3607,0.37839,0.3969,0.41658,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759
93,0.21292,0.24164,0.26261,0.27982,0.29811,0.31758,0.33834,0.36047,0.3782,0.39687,0.41656,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205
94,0.24132,0.26229,0.27952,0.29784,0.31734,0.33811,0.36025,0.37804,0.39673,0.41654,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922
95,0.26198,0.27923,0.29757,0.3171,0.33789,0.36005,0.37788,0.39662,0.41648,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922
96,0.27894,0.2973,0.31686,0.33768,0.35987,0.37774,0.39651,0.41642,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1
97,0.29703,0.31661,0.33747,0.35969,0.37761,0.39641,0.41636,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1,
98,0.31637,0.33726,0.35952,0.37749,0.39632,0.41631,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1,,
