Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Super Preferred Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0006,0.00062,0.00066,0.00063,0.00062,0.00062,0.00061,0.00056,0.00049,0.00046,0.00046,0.00045,0.00045,0.0005,0.00055,0.00059,0.00068,0.00079,0.00091,0.00103,0.00113,0.00119,0.00126,0.00134,0.00143
20,0.00051,0.00057,0.00057,0.00055,0.00053,0.00052,0.00051,0.00047,0.00043,0.00044,0.00044,0.00045,0.00046,0.00051,0.00057,0.00061,0.00071,0.00081,0.00094,0.00106,0.00115,0.00121,0.00128,0.00137,0.00147
21,0.00046,0.00052,0.00047,0.00045,0.00044,0.00043,0.00042,0.0004,0.00038,0.00042,0.00043,0.00045,0.00048,0.00053,0.00059,0.00064,0.00073,0.00084,0.00097,0.00108,0.00116,0.00121,0.00128,0.00139,0.00151
22,0.00041,0.00044,0.00039,0.00037,0.00036,0.00036,0.00036,0.00035,0.00035,0.0004,0.00043,0.00046,0.00049,0.00056,0.00062,0.00066,0.00075,0.00087,0.001,0.0011,0.00116,0.00122,0.00129,0.00141,0.00156
23,0.00035,0.00036,0.00033,0.00031,0.00031,0.00031,0.00031,0.00033,0.00034,0.0004,0.00043,0.00047,0.00052,0.00058,0.00064,0.00069,0.00079,0.00091,0.00103,0.00111,0.00117,0.00122,0.00129,0.00144,0.00161
24,0.0003,0.00031,0.00028,0.00027,0.00027,0.00027,0.00029,0.00032,0.00034,0.00041,0.00045,0.0005,0.00054,0.00061,0.00067,0.00073,0.00084,0.00096,0.00106,0.00111,0.00118,0.00122,0.00133,0.0015,0.00168
25,0.00026,0.00027,0.00025,0.00025,0.00025,0.00026,0.00028,0.00032,0.00035,0.00042,0.00047,0.00053,0.00058,0.00064,0.00071,0.00078,0.0009,0.00101,0.00108,0.00111,0.00118,0.00126,0.00142,0.0016,0.00179
26,0.00022,0.00024,0.00023,0.00024,0.00024,0.00026,0.00029,0.00033,0.00036,0.00044,0.0005,0.00056,0.00061,0.00068,0.00076,0.00083,0.00095,0.00104,0.00109,0.00114,0.00122,0.00135,0.00152,0.00171,0.00192
27,0.00019,0.00021,0.00021,0.00023,0.00025,0.00027,0.00031,0.00034,0.00038,0.00047,0.00054,0.0006,0.00065,0.00073,0.00081,0.00089,0.001,0.00107,0.00112,0.00119,0.0013,0.00145,0.00164,0.00184,0.00206
28,0.00017,0.00019,0.00021,0.00024,0.00026,0.00029,0.00032,0.00036,0.00041,0.00051,0.00058,0.00064,0.00069,0.00078,0.00086,0.00093,0.00103,0.0011,0.00117,0.00126,0.00139,0.00157,0.00176,0.00198,0.00223
29,0.00016,0.00017,0.00021,0.00024,0.00027,0.0003,0.00033,0.00038,0.00042,0.00053,0.0006,0.00066,0.00071,0.0008,0.00088,0.00096,0.00106,0.00115,0.00123,0.00134,0.0015,0.00169,0.0019,0.00214,0.00241
30,0.00014,0.00015,0.00021,0.00024,0.00027,0.0003,0.00033,0.00038,0.00044,0.00054,0.00061,0.00066,0.00072,0.0008,0.00089,0.001,0.00111,0.00121,0.00131,0.00144,0.00161,0.00182,0.00205,0.00231,0.00259
31,0.00013,0.00014,0.00021,0.00025,0.00027,0.0003,0.00034,0.00039,0.00048,0.00057,0.00062,0.00067,0.00074,0.00082,0.00092,0.00105,0.00117,0.00127,0.00139,0.00154,0.00173,0.00196,0.00222,0.00249,0.00277
32,0.00013,0.00014,0.00022,0.00026,0.00028,0.00031,0.00036,0.00043,0.00052,0.0006,0.00065,0.0007,0.00076,0.00086,0.00097,0.0011,0.00123,0.00134,0.00147,0.00164,0.00186,0.00211,0.00239,0.00267,0.00294
33,0.00013,0.00015,0.00023,0.00027,0.00029,0.00034,0.00039,0.00046,0.00056,0.00063,0.00067,0.00072,0.0008,0.00091,0.00103,0.00116,0.00129,0.00142,0.00157,0.00176,0.002,0.00228,0.00257,0.00285,0.00311
34,0.00013,0.00015,0.00024,0.00028,0.00032,0.00037,0.00042,0.0005,0.00059,0.00065,0.00069,0.00075,0.00085,0.00097,0.00109,0.00122,0.00136,0.0015,0.00167,0.00189,0.00216,0.00247,0.00277,0.00305,0.0033
35,0.00013,0.00016,0.00026,0.0003,0.00035,0.0004,0.00045,0.00054,0.00062,0.00067,0.00073,0.00081,0.00092,0.00103,0.00116,0.0013,0.00144,0.0016,0.00179,0.00205,0.00235,0.00268,0.00298,0.00326,0.00354
36,0.00013,0.00017,0.00027,0.00033,0.00038,0.00043,0.0005,0.00058,0.00064,0.0007,0.00078,0.00087,0.00099,0.00111,0.00124,0.00138,0.00154,0.00171,0.00194,0.00224,0.00258,0.00291,0.00322,0.00351,0.00385
37,0.00013,0.00019,0.00029,0.00036,0.00041,0.00047,0.00055,0.00061,0.00068,0.00076,0.00085,0.00095,0.00107,0.0012,0.00133,0.00148,0.00165,0.00186,0.00214,0.00247,0.00283,0.00317,0.00348,0.00382,0.00423
38,0.00013,0.00021,0.00032,0.00038,0.00044,0.00051,0.00058,0.00065,0.00073,0.00083,0.00093,0.00104,0.00116,0.0013,0.00144,0.0016,0.0018,0.00205,0.00238,0.00275,0.00312,0.00346,0.0038,0.00419,0.00469
39,0.00014,0.00024,0.00035,0.00041,0.00048,0.00055,0.00062,0.0007,0.00079,0.00091,0.00102,0.00113,0.00127,0.00142,0.00157,0.00175,0.00199,0.00229,0.00267,0.00306,0.00343,0.00378,0.00415,0.00462,0.00524
40,0.00015,0.00028,0.00038,0.00045,0.00052,0.00059,0.00066,0.00075,0.00086,0.00099,0.00111,0.00123,0.00138,0.00155,0.00172,0.00194,0.00223,0.00259,0.003,0.0034,0.00376,0.00413,0.00455,0.00515,0.00582
41,0.00017,0.00031,0.00041,0.00048,0.00056,0.00063,0.00071,0.00081,0.00094,0.00108,0.0012,0.00134,0.00152,0.00171,0.00191,0.00217,0.00252,0.00293,0.00336,0.00375,0.00411,0.0045,0.00502,0.0057,0.00644
42,0.0002,0.00035,0.00044,0.00052,0.0006,0.00067,0.00075,0.00087,0.00102,0.00116,0.0013,0.00146,0.00167,0.00188,0.00212,0.00244,0.00285,0.0033,0.00373,0.0041,0.00447,0.00494,0.00555,0.0063,0.00714
43,0.00024,0.00037,0.00047,0.00057,0.00064,0.00071,0.00081,0.00095,0.0011,0.00125,0.0014,0.00159,0.00184,0.00208,0.00237,0.00275,0.00321,0.00368,0.00409,0.00445,0.00487,0.00545,0.00618,0.00702,0.00794
44,0.00028,0.00039,0.0005,0.00062,0.00068,0.00076,0.00088,0.00104,0.00119,0.00135,0.00153,0.00176,0.00203,0.00231,0.00264,0.00308,0.00359,0.00406,0.00445,0.00486,0.00535,0.00608,0.00693,0.00787,0.00887
45,0.00032,0.00042,0.00055,0.00067,0.00073,0.00083,0.00098,0.00114,0.00129,0.00147,0.00168,0.00195,0.00224,0.00256,0.00294,0.00343,0.00396,0.00443,0.00485,0.00532,0.00592,0.00684,0.00781,0.00884,0.00999
46,0.00036,0.00044,0.00059,0.00073,0.0008,0.00093,0.00109,0.00126,0.00141,0.00161,0.00187,0.00216,0.00248,0.00283,0.00326,0.00379,0.00435,0.00483,0.0053,0.00584,0.00662,0.00773,0.00879,0.00996,0.01129
47,0.00039,0.00046,0.00064,0.00079,0.00089,0.00105,0.00122,0.00138,0.00154,0.00179,0.00209,0.0024,0.00273,0.00311,0.00359,0.00417,0.00477,0.00528,0.0058,0.00647,0.00746,0.00875,0.00993,0.01126,0.01279
48,0.00042,0.00049,0.0007,0.00086,0.00099,0.00118,0.00136,0.0015,0.00171,0.00201,0.00234,0.00265,0.00299,0.0034,0.00394,0.00457,0.0052,0.00577,0.00639,0.00723,0.00844,0.0099,0.01124,0.01276,0.01455
49,0.00043,0.00054,0.00077,0.00093,0.00112,0.00132,0.00148,0.00164,0.0019,0.00226,0.0026,0.0029,0.00326,0.00372,0.00431,0.005,0.00568,0.00631,0.00707,0.00811,0.00954,0.01114,0.0127,0.01451,0.01661
50,0.00044,0.00061,0.00085,0.00103,0.00125,0.00145,0.00159,0.00179,0.00213,0.00254,0.00288,0.00319,0.00355,0.00409,0.00475,0.00549,0.00622,0.00694,0.00788,0.00913,0.01074,0.01246,0.0143,0.01647,0.01896
51,0.00044,0.00069,0.00094,0.00114,0.00138,0.00155,0.00171,0.00197,0.00238,0.00283,0.00316,0.00352,0.00391,0.00453,0.00528,0.00608,0.00687,0.00771,0.00885,0.01032,0.01209,0.01395,0.01606,0.0186,0.02152
52,0.00045,0.00079,0.00105,0.00129,0.00151,0.00166,0.00185,0.00218,0.00267,0.00314,0.00349,0.00388,0.00436,0.00509,0.00592,0.0068,0.00768,0.00875,0.01003,0.01169,0.01364,0.01571,0.01812,0.02103,0.02437
53,0.00045,0.00088,0.00117,0.00145,0.00164,0.00179,0.00203,0.00243,0.00298,0.00347,0.00384,0.00429,0.00494,0.0058,0.00672,0.00767,0.00872,0.00997,0.01145,0.0133,0.01542,0.01789,0.02075,0.02406,0.02771
54,0.00046,0.00096,0.00131,0.00161,0.00177,0.00193,0.00224,0.00274,0.00333,0.00383,0.00426,0.00483,0.00568,0.00668,0.00765,0.00869,0.0099,0.01133,0.01314,0.01524,0.01761,0.02056,0.02389,0.02761,0.03188
55,0.0005,0.00101,0.00146,0.00174,0.0019,0.00211,0.0025,0.00311,0.00371,0.00424,0.00479,0.00556,0.00656,0.00762,0.00866,0.00986,0.01126,0.013,0.01513,0.01753,0.0203,0.02368,0.02745,0.03183,0.03662
56,0.00059,0.00105,0.00161,0.00188,0.00207,0.00234,0.00287,0.00353,0.00413,0.00473,0.00544,0.00641,0.00755,0.00864,0.00978,0.01118,0.0129,0.01495,0.01739,0.02014,0.02333,0.02713,0.03157,0.03662,0.04176
57,0.00073,0.0011,0.00175,0.00204,0.00229,0.00264,0.00329,0.00398,0.0046,0.00531,0.0062,0.00736,0.00859,0.00976,0.01106,0.01273,0.01482,0.01721,0.01997,0.02311,0.02686,0.03124,0.03638,0.04176,0.04761
58,0.00089,0.00116,0.00187,0.00223,0.0025,0.00302,0.00375,0.00444,0.00511,0.00597,0.00707,0.00836,0.00969,0.01104,0.01257,0.01453,0.01704,0.0198,0.02289,0.02642,0.03081,0.0359,0.04176,0.04761,0.05433
59,0.00107,0.00125,0.00197,0.00236,0.00274,0.00343,0.0042,0.0049,0.00568,0.00673,0.00803,0.00945,0.01092,0.01244,0.01422,0.01659,0.01954,0.02271,0.02623,0.03038,0.0354,0.04135,0.04761,0.05433,0.06217
60,0.00123,0.0014,0.00206,0.00246,0.00304,0.00385,0.00464,0.00538,0.00631,0.00756,0.00904,0.0106,0.01218,0.0139,0.01607,0.01891,0.02233,0.02598,0.0301,0.03498,0.04074,0.04761,0.05433,0.06217,0.07132
61,0.00134,0.0016,0.00218,0.00261,0.00338,0.00426,0.00506,0.00589,0.007,0.00845,0.01005,0.01171,0.01345,0.0155,0.01814,0.0215,0.02542,0.02968,0.0346,0.04026,0.04707,0.05433,0.06217,0.07132,0.08199
62,0.00141,0.00184,0.00235,0.00286,0.00377,0.00467,0.0055,0.00646,0.00777,0.00939,0.01111,0.0129,0.01488,0.01734,0.02049,0.02438,0.02886,0.03378,0.03958,0.04614,0.05433,0.06217,0.07132,0.08199,0.09435
63,0.00147,0.00211,0.00259,0.00321,0.00422,0.00511,0.00599,0.00712,0.00863,0.01042,0.01225,0.01417,0.01647,0.01938,0.02305,0.02757,0.03284,0.03874,0.04551,0.05349,0.06217,0.07132,0.08199,0.09435,0.10853
64,0.00153,0.00239,0.00292,0.00365,0.00473,0.00561,0.00658,0.0079,0.00961,0.01158,0.01352,0.01563,0.0183,0.02168,0.02586,0.03114,0.03743,0.04451,0.05268,0.06217,0.07132,0.08199,0.09435,0.10853,0.12434
65,0.00161,0.00269,0.00331,0.00415,0.00533,0.00619,0.0073,0.00881,0.01074,0.01295,0.01508,0.01742,0.02051,0.02439,0.02911,0.03544,0.04324,0.05166,0.06139,0.07132,0.08199,0.09435,0.10853,0.12434,0.14147
66,0.0017,0.00298,0.00376,0.00472,0.00602,0.0069,0.00815,0.00987,0.01207,0.01461,0.01706,0.01975,0.02332,0.02774,0.03305,0.04053,0.05013,0.06008,0.07132,0.08199,0.09435,0.10853,0.12434,0.14147,0.15974
67,0.00183,0.00325,0.00425,0.00537,0.0067,0.00775,0.00915,0.01112,0.01367,0.01666,0.01957,0.02291,0.02689,0.03193,0.03789,0.04658,0.05784,0.0692,0.08199,0.09435,0.10853,0.12434,0.14147,0.15974,0.17869
68,0.00199,0.00353,0.00479,0.00611,0.00747,0.00871,0.01031,0.01258,0.01574,0.01918,0.02275,0.02677,0.03136,0.03728,0.04411,0.05419,0.0669,0.07986,0.09435,0.10853,0.12434,0.14147,0.15974,0.17869,0.19778
69,0.00217,0.0038,0.00535,0.00689,0.00834,0.00969,0.01154,0.01448,0.01805,0.02202,0.02658,0.03116,0.03702,0.04397,0.05271,0.06383,0.07834,0.09321,0.10853,0.12434,0.14147,0.15974,0.17869,0.19778,0.2165
70,0.00234,0.00402,0.00588,0.00764,0.00911,0.01068,0.01306,0.01659,0.02037,0.02504,0.03087,0.0368,0.04372,0.05231,0.0619,0.07487,0.09152,0.10853,0.12434,0.14147,0.15974,0.17869,0.19778,0.2165,0.234
71,0.00253,0.00424,0.00642,0.00843,0.00995,0.01203,0.01492,0.01866,0.02312,0.02892,0.03625,0.04352,0.05181,0.06139,0.07117,0.08678,0.10552,0.12434,0.14147,0.15974,0.17869,0.19778,0.2165,0.234,0.2516
72,0.00275,0.00452,0.00704,0.00933,0.01121,0.01378,0.017,0.0211,0.02675,0.03391,0.04297,0.05155,0.06094,0.0709,0.08425,0.10263,0.12271,0.14147,0.15974,0.17869,0.19778,0.2165,0.234,0.2516,0.27103
73,0.00303,0.00493,0.00785,0.0105,0.01286,0.01582,0.01958,0.02434,0.03128,0.03988,0.05116,0.06073,0.07068,0.08285,0.10017,0.12112,0.14147,0.15974,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189
74,0.00336,0.00546,0.00884,0.01194,0.01472,0.01828,0.0228,0.02843,0.03677,0.04699,0.06047,0.0705,0.08225,0.09816,0.11755,0.14004,0.15974,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426
75,0.00368,0.00601,0.0099,0.01361,0.01694,0.02119,0.02651,0.03328,0.04316,0.05481,0.0699,0.08154,0.0971,0.11631,0.13858,0.15974,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768
76,0.00392,0.00641,0.01072,0.01508,0.0191,0.02396,0.03016,0.03891,0.05019,0.06309,0.08025,0.09555,0.11521,0.13795,0.15974,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089
77,0.0041,0.00671,0.01137,0.01633,0.02097,0.02678,0.03386,0.04529,0.0579,0.07225,0.09345,0.11313,0.13562,0.15974,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306
78,0.00428,0.00703,0.01208,0.01766,0.02294,0.02976,0.03804,0.05137,0.06544,0.08276,0.10892,0.13231,0.15769,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502
79,0.00444,0.00733,0.01282,0.01909,0.02504,0.03246,0.04241,0.05667,0.07285,0.09468,0.1262,0.15537,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637
80,0.0047,0.00784,0.01404,0.02122,0.02786,0.03616,0.04807,0.06344,0.08354,0.11041,0.14564,0.17869,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673
81,0.00513,0.00866,0.01592,0.02427,0.03192,0.04138,0.05589,0.07456,0.09945,0.13361,0.17141,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657
82,0.00577,0.00987,0.01859,0.02845,0.03767,0.04885,0.06684,0.09136,0.12337,0.16721,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631
83,0.00672,0.01174,0.02275,0.03495,0.04655,0.06117,0.08393,0.11756,0.16246,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238
84,0.00791,0.01419,0.0282,0.04351,0.05857,0.07836,0.10817,0.14733,0.19778,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981
85,0.00944,0.01729,0.03516,0.05469,0.07499,0.10185,0.13811,0.18282,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867
86,0.01132,0.02127,0.04434,0.07027,0.09796,0.13277,0.17976,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903
87,0.01334,0.02594,0.05546,0.08991,0.12711,0.17728,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096
88,0.01539,0.03094,0.06834,0.11327,0.16146,0.2165,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453
89,0.01762,0.03642,0.08339,0.14193,0.20185,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981
90,0.02123,0.05061,0.11573,0.19013,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687
91,0.02859,0.07821,0.18107,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578
92,0.04156,0.1182,0.234,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166
93,0.06112,0.15474,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594
94,0.08784,0.21079,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594,0.90421
95,0.12211,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594,0.90421,0.95108

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Super Preferred, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00066,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00138,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00152,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00157,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00163,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00169,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00177,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00197,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0023,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00248,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00267,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00285,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00301,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00317,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00336,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00359,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00389,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00428,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00476,,,,,,,,,,,,,,,,,,,,,,,,
63,0.0053,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00656,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00728,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00808,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00899,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01005,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01133,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01286,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01468,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0168,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01922,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02193,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02495,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02833,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03217,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03662,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04176,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04761,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05433,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06217,,,,,,,,,,,,,,,,,,,,,,,,
