Table Name:,"2001 CSO Super Preferred Select and Ultimate - Male Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.00037,0.00042,0.00046,0.0005,0.00051,0.00052,0.00053,0.00053,0.00054,0.00055,0.00055,0.00056,0.00057,0.00057
6,,,,,,,,,,,0.00037,0.00042,0.00046,0.0005,0.00051,0.00051,0.00052,0.00052,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057
7,,,,,,,,,,0.00037,0.00042,0.00046,0.0005,0.00051,0.00051,0.00052,0.00052,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058
8,,,,,,,,,0.00036,0.00042,0.00046,0.0005,0.0005,0.0005,0.00051,0.00051,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059
9,,,,,,,,0.00036,0.00042,0.00046,0.0005,0.0005,0.0005,0.00051,0.00051,0.00052,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006
10,,,,,,,0.00036,0.00042,0.00046,0.00049,0.00049,0.00049,0.0005,0.0005,0.00052,0.00053,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062
11,,,,,,0.00036,0.00042,0.00046,0.00049,0.00049,0.00049,0.0005,0.0005,0.00051,0.00053,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062,0.00065
12,,,,,0.00036,0.00042,0.00046,0.00048,0.00048,0.00048,0.00049,0.00049,0.00051,0.00053,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062,0.00065,0.00068
13,,,,0.00036,0.00042,0.00046,0.00048,0.00048,0.00048,0.00049,0.00049,0.00051,0.00052,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062,0.00065,0.00068,0.00071
14,,,0.00036,0.00042,0.00046,0.00048,0.00048,0.00048,0.00049,0.00049,0.0005,0.00052,0.00053,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062,0.00065,0.00068,0.00071,0.00076
15,,0.00036,0.00042,0.00046,0.00047,0.00047,0.00047,0.00048,0.00048,0.00049,0.00051,0.00052,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062,0.00065,0.00068,0.00071,0.00076,0.00081
16,0.00036,0.00042,0.00046,0.00047,0.00047,0.00047,0.00048,0.00048,0.00049,0.0005,0.00051,0.00054,0.00055,0.00056,0.00057,0.00058,0.00059,0.0006,0.00062,0.00065,0.00068,0.00071,0.00076,0.00081,0.00086
17,0.00042,0.00045,0.00046,0.00046,0.00046,0.00047,0.00047,0.00048,0.0005,0.00051,0.00052,0.00054,0.00054,0.00055,0.00056,0.00057,0.0006,0.00062,0.00065,0.00068,0.00071,0.00076,0.00081,0.00086,0.00093
18,0.00045,0.00046,0.00046,0.00046,0.00047,0.00047,0.00048,0.00049,0.0005,0.00051,0.00052,0.00053,0.00054,0.00056,0.00057,0.00058,0.00062,0.00064,0.00068,0.00071,0.00076,0.00081,0.00086,0.00093,0.00102
19,0.00044,0.00044,0.00044,0.00045,0.00045,0.00046,0.00047,0.00048,0.00049,0.0005,0.00051,0.00052,0.00053,0.00056,0.00058,0.0006,0.00064,0.00068,0.00071,0.00076,0.0008,0.00086,0.00093,0.00102,0.00111
20,0.00042,0.00042,0.00043,0.00043,0.00044,0.00046,0.00046,0.00047,0.00048,0.00048,0.0005,0.00051,0.00053,0.00056,0.0006,0.00064,0.00067,0.00071,0.00076,0.0008,0.00086,0.00093,0.00102,0.00111,0.00122
21,0.00039,0.0004,0.0004,0.00041,0.00043,0.00043,0.00045,0.00046,0.00046,0.00048,0.00049,0.00052,0.00054,0.00058,0.00063,0.00067,0.00071,0.00076,0.0008,0.00086,0.00093,0.00102,0.00111,0.00122,0.00135
22,0.00038,0.00038,0.00039,0.0004,0.00041,0.00042,0.00044,0.00044,0.00045,0.00048,0.0005,0.00052,0.00055,0.00061,0.00066,0.00071,0.00076,0.0008,0.00086,0.00093,0.00102,0.00111,0.00122,0.00135,0.00146
23,0.00035,0.00036,0.00038,0.00039,0.00041,0.00042,0.00043,0.00044,0.00046,0.00048,0.00051,0.00053,0.00058,0.00063,0.00069,0.00076,0.0008,0.00086,0.00093,0.00102,0.00111,0.00122,0.00135,0.00146,0.0016
24,0.00033,0.00034,0.00036,0.00039,0.00041,0.00042,0.00043,0.00045,0.00047,0.0005,0.00053,0.00057,0.00061,0.00066,0.00074,0.0008,0.00086,0.00093,0.00102,0.00111,0.00122,0.00135,0.00146,0.0016,0.00168
25,0.00029,0.00032,0.00036,0.0004,0.00041,0.00043,0.00045,0.00046,0.00049,0.00052,0.00056,0.0006,0.00064,0.00071,0.00078,0.00086,0.00093,0.00102,0.00111,0.00122,0.00135,0.00146,0.0016,0.00168,0.00182
26,0.00028,0.00033,0.00037,0.0004,0.00042,0.00044,0.00046,0.00049,0.00051,0.00056,0.00059,0.00063,0.00069,0.00076,0.00084,0.00093,0.00102,0.00111,0.00122,0.00135,0.00146,0.0016,0.00168,0.00182,0.00195
27,0.00028,0.00034,0.00037,0.00042,0.00044,0.00046,0.00049,0.00051,0.00055,0.00059,0.00063,0.00069,0.00074,0.00083,0.00091,0.00101,0.00111,0.00122,0.00135,0.00146,0.0016,0.00168,0.00182,0.00195,0.00215
28,0.00029,0.00034,0.00039,0.00043,0.00046,0.00048,0.00051,0.00055,0.00059,0.00063,0.00069,0.00074,0.00081,0.0009,0.00099,0.00111,0.00121,0.00134,0.00146,0.00159,0.00168,0.00182,0.00195,0.00215,0.00243
29,0.00029,0.00035,0.0004,0.00044,0.00048,0.00051,0.00055,0.00059,0.00062,0.00069,0.00074,0.00081,0.00089,0.00097,0.00108,0.00121,0.00133,0.00146,0.00159,0.00167,0.00182,0.00195,0.00215,0.00243,0.00272
30,0.00029,0.00036,0.00041,0.00046,0.0005,0.00055,0.00059,0.00062,0.00068,0.00074,0.0008,0.00087,0.00095,0.00105,0.00117,0.00131,0.00143,0.00156,0.00167,0.00182,0.00195,0.00215,0.00241,0.00272,0.00304
31,0.0003,0.00036,0.00042,0.00047,0.00053,0.00058,0.00062,0.00067,0.00072,0.00078,0.00085,0.00093,0.00103,0.00115,0.00129,0.00142,0.00154,0.00167,0.0018,0.00193,0.00208,0.00238,0.00268,0.00304,0.00346
32,0.0003,0.00036,0.00043,0.00049,0.00054,0.00059,0.00065,0.0007,0.00075,0.00081,0.00089,0.001,0.00113,0.00127,0.00141,0.00153,0.00166,0.00179,0.00193,0.00208,0.00235,0.00268,0.003,0.0034,0.0039
33,0.00032,0.00038,0.00045,0.00051,0.00057,0.00063,0.00069,0.00074,0.00079,0.00086,0.00095,0.00107,0.00123,0.00137,0.00151,0.00164,0.00177,0.00193,0.00208,0.00231,0.00264,0.00294,0.00333,0.0038,0.00435
34,0.00034,0.00041,0.00048,0.00053,0.00061,0.00066,0.00073,0.00079,0.00085,0.00092,0.00103,0.00118,0.00133,0.00149,0.00163,0.00175,0.00193,0.00208,0.00231,0.00252,0.00287,0.00325,0.00371,0.00424,0.00482
35,0.00037,0.00043,0.00049,0.00057,0.00063,0.0007,0.00077,0.00084,0.00092,0.00101,0.00114,0.00127,0.00143,0.00159,0.00174,0.00188,0.00208,0.00231,0.00251,0.00279,0.00315,0.00357,0.00406,0.00461,0.00508
36,0.00038,0.00045,0.00052,0.00059,0.00067,0.00074,0.00082,0.00091,0.00101,0.00112,0.00124,0.00139,0.00155,0.00172,0.00188,0.00208,0.00231,0.00246,0.00273,0.00305,0.00345,0.00391,0.00442,0.00502,0.00529
37,0.0004,0.00047,0.00054,0.00062,0.00069,0.00078,0.00088,0.00099,0.00111,0.00123,0.00135,0.00149,0.00166,0.00185,0.00204,0.00231,0.00244,0.00268,0.00298,0.00334,0.00377,0.00426,0.00482,0.00527,0.00608
38,0.00044,0.00051,0.00059,0.00066,0.00074,0.00083,0.00095,0.00108,0.00122,0.00134,0.00146,0.0016,0.00178,0.00198,0.00219,0.00241,0.00265,0.00293,0.00327,0.00366,0.00411,0.00464,0.00521,0.00596,0.00694
39,0.00046,0.00055,0.00063,0.00071,0.00079,0.0009,0.00104,0.00118,0.00132,0.00143,0.00157,0.00172,0.00192,0.00213,0.00237,0.00262,0.00289,0.00321,0.00357,0.00394,0.00449,0.00511,0.00585,0.00679,0.00797
40,0.0005,0.00059,0.00068,0.00076,0.00086,0.00099,0.00114,0.00129,0.00141,0.00155,0.00169,0.00187,0.00208,0.00231,0.00257,0.00285,0.00316,0.00351,0.0039,0.00428,0.00495,0.00564,0.00655,0.00761,0.00849
41,0.00053,0.00064,0.00074,0.00083,0.00094,0.00109,0.00124,0.00138,0.00152,0.00168,0.00185,0.00206,0.00228,0.00254,0.00282,0.00313,0.00346,0.00383,0.00428,0.00472,0.00547,0.00631,0.00729,0.00848,0.00939
42,0.00056,0.00069,0.00081,0.00091,0.00104,0.00118,0.00134,0.00149,0.00166,0.00183,0.00203,0.00226,0.00251,0.0028,0.00312,0.00342,0.00377,0.00419,0.0047,0.00524,0.00609,0.00701,0.00811,0.00928,0.01029
43,0.00059,0.00073,0.00086,0.00098,0.00111,0.00126,0.00143,0.0016,0.00178,0.00198,0.00221,0.00246,0.00277,0.00309,0.00342,0.00371,0.00412,0.00461,0.0052,0.0059,0.00677,0.00775,0.00884,0.01001,0.01125
44,0.00063,0.00077,0.0009,0.00103,0.00117,0.00133,0.00152,0.00173,0.00193,0.00215,0.00239,0.00272,0.00306,0.00339,0.00369,0.00406,0.00453,0.0051,0.00578,0.00654,0.00745,0.00848,0.0096,0.01086,0.01191
45,0.00068,0.00082,0.00096,0.00109,0.00125,0.00142,0.00164,0.00187,0.0021,0.00233,0.00263,0.00301,0.00335,0.00365,0.004,0.00445,0.00501,0.00565,0.00632,0.00691,0.00784,0.0092,0.01035,0.01191,0.0132
46,0.00073,0.00087,0.00101,0.00115,0.00133,0.00155,0.00178,0.00204,0.00229,0.00257,0.00291,0.0033,0.00363,0.00394,0.0044,0.00495,0.00557,0.00628,0.00688,0.00751,0.00874,0.00993,0.01135,0.01319,0.01477
47,0.00079,0.00092,0.00106,0.00123,0.00144,0.00166,0.00193,0.00222,0.0025,0.00283,0.00319,0.00358,0.00391,0.00432,0.00488,0.00551,0.00619,0.00687,0.00749,0.00831,0.00955,0.01086,0.01258,0.01474,0.01692
48,0.00085,0.00099,0.00114,0.00132,0.00154,0.00179,0.00209,0.0024,0.00272,0.00311,0.00346,0.00385,0.00425,0.00477,0.00543,0.00614,0.00687,0.00748,0.0083,0.00908,0.01044,0.01203,0.01406,0.01656,0.019
49,0.00089,0.00106,0.00124,0.00144,0.00166,0.00192,0.00224,0.0026,0.00293,0.00332,0.00373,0.00418,0.0047,0.00531,0.00605,0.00682,0.00747,0.0083,0.00902,0.01008,0.01156,0.01346,0.01579,0.0185,0.02099
50,0.00097,0.00115,0.00135,0.00156,0.00179,0.00207,0.00241,0.00279,0.00314,0.00354,0.00403,0.00461,0.00526,0.00597,0.00672,0.00745,0.00821,0.00892,0.00985,0.01117,0.01293,0.01511,0.01762,0.02051,0.023
51,0.00104,0.00126,0.00148,0.0017,0.00194,0.00223,0.00258,0.00296,0.00336,0.00383,0.00442,0.00517,0.00592,0.00666,0.00735,0.00816,0.00881,0.00968,0.01094,0.01255,0.01462,0.01704,0.01979,0.02298,0.02574
52,0.00112,0.00137,0.00162,0.00186,0.0021,0.00239,0.00274,0.00317,0.00363,0.00421,0.00494,0.0058,0.0066,0.00715,0.00795,0.00875,0.00953,0.01072,0.01225,0.01415,0.01646,0.01908,0.02212,0.02572,0.02886
53,0.00118,0.00147,0.00175,0.00202,0.00228,0.00259,0.00298,0.00347,0.004,0.0047,0.00555,0.00648,0.00709,0.00778,0.00858,0.00943,0.01054,0.01199,0.01365,0.0159,0.01838,0.02126,0.02469,0.02885,0.03274
54,0.00124,0.00158,0.0019,0.00218,0.00246,0.00281,0.00327,0.00385,0.00447,0.00528,0.00618,0.00695,0.0077,0.0085,0.00939,0.01042,0.01177,0.01336,0.0153,0.01773,0.02045,0.02369,0.02762,0.03246,0.03731
55,0.0013,0.00168,0.00203,0.00233,0.00264,0.00306,0.00362,0.00428,0.00498,0.00584,0.00659,0.00751,0.00841,0.00934,0.01036,0.01161,0.01306,0.01453,0.01702,0.01968,0.02272,0.02642,0.031,0.03683,0.04273
56,0.00137,0.0018,0.00218,0.00251,0.00287,0.00338,0.00402,0.00476,0.0055,0.00622,0.00711,0.00815,0.00922,0.0103,0.01154,0.01301,0.01451,0.01608,0.01881,0.02179,0.02526,0.02955,0.03493,0.04212,0.04873
57,0.00145,0.0019,0.00232,0.00272,0.00315,0.00374,0.00446,0.00524,0.006,0.00687,0.00789,0.00903,0.01018,0.01147,0.01298,0.01449,0.01606,0.01788,0.02078,0.02417,0.02817,0.03321,0.03951,0.04812,0.05566
58,0.00155,0.00203,0.00248,0.00295,0.00349,0.00414,0.00491,0.00571,0.00647,0.00744,0.00859,0.00995,0.01133,0.01282,0.01445,0.01602,0.01786,0.01969,0.023,0.02691,0.03159,0.03747,0.04523,0.05504,0.06314
59,0.00166,0.00216,0.00267,0.00322,0.00385,0.00457,0.00537,0.00616,0.00691,0.008,0.00931,0.01092,0.01266,0.01427,0.01597,0.01764,0.01966,0.02172,0.02554,0.03011,0.03554,0.04236,0.05183,0.06253,0.07133
60,0.0018,0.00232,0.00289,0.00352,0.00423,0.00501,0.00582,0.00661,0.00737,0.00859,0.01011,0.01191,0.01396,0.01576,0.01758,0.0194,0.02168,0.02406,0.0285,0.03379,0.0399,0.04863,0.05887,0.07056,0.08037
61,0.00197,0.00251,0.00312,0.00382,0.00461,0.00545,0.00628,0.00706,0.00783,0.00924,0.01093,0.01286,0.01499,0.01735,0.01933,0.02138,0.02401,0.02675,0.03192,0.03786,0.04559,0.05539,0.06666,0.07963,0.09094
62,0.00216,0.00271,0.00337,0.00414,0.00501,0.0059,0.00677,0.00757,0.0084,0.00996,0.01177,0.01377,0.01602,0.01857,0.02129,0.02365,0.02669,0.02986,0.03568,0.04276,0.0521,0.06289,0.07537,0.09022,0.10284
63,0.00229,0.00294,0.00369,0.00454,0.00547,0.00642,0.00734,0.00822,0.00913,0.01083,0.01273,0.01485,0.01728,0.0201,0.02341,0.02627,0.02979,0.03327,0.03997,0.04902,0.05934,0.07139,0.08567,0.10221,0.11609
64,0.00242,0.00319,0.00405,0.00498,0.00598,0.007,0.008,0.00899,0.01003,0.01181,0.01384,0.01616,0.01886,0.02203,0.02582,0.0293,0.03318,0.03723,0.04448,0.05602,0.06756,0.08133,0.09725,0.11552,0.13059
65,0.00253,0.00344,0.00442,0.00545,0.00654,0.00765,0.00873,0.00984,0.011,0.01292,0.01514,0.01773,0.02077,0.02439,0.02871,0.0326,0.03704,0.04198,0.04936,0.06393,0.07719,0.09257,0.11019,0.13016,0.14634
66,0.00263,0.00378,0.00486,0.00598,0.00721,0.00838,0.00954,0.01074,0.01206,0.01415,0.01663,0.01954,0.02301,0.02714,0.03187,0.03638,0.04106,0.04623,0.05522,0.07288,0.0877,0.10481,0.12414,0.14582,0.16304
67,0.00279,0.00417,0.00534,0.00656,0.00795,0.0092,0.01043,0.01172,0.01318,0.01552,0.0183,0.02163,0.02557,0.03011,0.03545,0.04032,0.04535,0.05063,0.06338,0.083,0.09952,0.11823,0.13927,0.16254,0.17941
68,0.0031,0.0046,0.00589,0.0072,0.00866,0.01013,0.0116,0.01308,0.01463,0.01728,0.02048,0.02428,0.02864,0.03379,0.03952,0.04459,0.04988,0.05812,0.07252,0.09432,0.11242,0.13284,0.15549,0.17898,0.19694
69,0.0034,0.00507,0.0065,0.0079,0.00911,0.01118,0.01269,0.01417,0.0159,0.01893,0.02252,0.02668,0.03158,0.03703,0.04323,0.04935,0.05717,0.06684,0.08284,0.10679,0.12662,0.14858,0.17154,0.19665,0.22415
70,0.00373,0.0056,0.00717,0.00869,0.00957,0.01232,0.01375,0.01533,0.01834,0.02187,0.02594,0.03073,0.03608,0.04215,0.04914,0.05648,0.06591,0.07669,0.09427,0.12046,0.14176,0.16405,0.18853,0.22395,0.24503
71,0.00442,0.00621,0.00792,0.00918,0.01093,0.01332,0.01476,0.01812,0.02036,0.02426,0.02884,0.03397,0.0398,0.04652,0.05516,0.06525,0.07578,0.08759,0.10686,0.13515,0.15687,0.18076,0.22382,0.24496,0.26708
72,0.00528,0.00686,0.00873,0.01048,0.01227,0.01418,0.01624,0.01854,0.02118,0.02542,0.03016,0.03556,0.04182,0.04985,0.06016,0.0748,0.08677,0.10125,0.12089,0.14992,0.17325,0.2237,0.24492,0.26706,0.28379
73,0.00598,0.00807,0.00997,0.01172,0.01338,0.01512,0.01706,0.02031,0.02247,0.02692,0.03198,0.03784,0.04535,0.05499,0.06733,0.08297,0.10107,0.11948,0.14179,0.17011,0.22358,0.24488,0.267,0.28379,0.30149
74,0.00684,0.00885,0.0109,0.01287,0.0147,0.01645,0.0195,0.02182,0.02432,0.02925,0.03482,0.04194,0.05107,0.06278,0.07763,0.09634,0.11936,0.14025,0.16667,0.22346,0.24485,0.26696,0.28379,0.30149,0.32038
75,0.00786,0.00948,0.01182,0.01431,0.01606,0.01878,0.02125,0.02389,0.02921,0.03453,0.04167,0.05077,0.06241,0.07719,0.09582,0.11934,0.14019,0.16496,0.22334,0.24482,0.26692,0.28379,0.30149,0.32038,0.34054
76,0.00821,0.0105,0.01302,0.01567,0.01806,0.02066,0.02343,0.02833,0.03426,0.04142,0.05046,0.06205,0.07675,0.09529,0.11839,0.13999,0.1647,0.22321,0.24479,0.26688,0.28379,0.30149,0.32038,0.34054,0.3621
77,0.00858,0.01137,0.01429,0.01736,0.02008,0.02294,0.02745,0.03348,0.03838,0.04868,0.05996,0.07432,0.09242,0.11501,0.13841,0.16446,0.22193,0.24476,0.26684,0.28379,0.30149,0.32038,0.34054,0.3621,0.37921
78,0.00919,0.01228,0.01568,0.01953,0.02251,0.02665,0.03278,0.03797,0.04851,0.05991,0.07424,0.09231,0.11487,0.13824,0.16424,0.2208,0.24445,0.26679,0.28375,0.30149,0.32038,0.34054,0.3621,0.37921,0.39744
79,0.0099,0.01335,0.01739,0.02203,0.02581,0.032,0.03746,0.04766,0.05453,0.0681,0.08507,0.10635,0.1318,0.16242,0.21982,0.24416,0.26649,0.28342,0.30145,0.32038,0.34054,0.3621,0.37921,0.39744,0.41684
80,0.0107,0.01479,0.01955,0.02505,0.03131,0.03703,0.04694,0.05394,0.06568,0.0824,0.10319,0.12812,0.15883,0.21897,0.24392,0.26621,0.28313,0.30115,0.32033,0.34054,0.3621,0.37921,0.39744,0.41684,0.43748
81,0.01166,0.01658,0.02228,0.02878,0.03664,0.04627,0.05339,0.06505,0.07926,0.09969,0.12401,0.15782,0.21823,0.2437,0.26598,0.28288,0.30088,0.32006,0.34051,0.3621,0.37921,0.39744,0.41684,0.43748,0.45913
82,0.01288,0.01887,0.02567,0.03376,0.04357,0.05287,0.06447,0.07864,0.09082,0.12382,0.1577,0.21758,0.24351,0.26577,0.28266,0.30065,0.31983,0.34027,0.36207,0.37921,0.39744,0.41684,0.43748,0.45913,0.48215
83,0.01463,0.02183,0.03022,0.04026,0.05244,0.06396,0.0781,0.0903,0.12341,0.15758,0.21697,0.24335,0.26559,0.28247,0.30045,0.31962,0.34006,0.36186,0.37918,0.39744,0.41684,0.43748,0.45913,0.48215,0.50662
84,0.01711,0.02584,0.03612,0.04848,0.06345,0.0776,0.08979,0.1229,0.15722,0.21644,0.2432,0.26543,0.2823,0.30028,0.31944,0.33989,0.36169,0.37904,0.39741,0.41684,0.43748,0.45913,0.48215,0.50662,0.53263
85,0.02065,0.03117,0.04367,0.05869,0.07709,0.0893,0.12242,0.15686,0.21459,0.24306,0.26528,0.28216,0.30012,0.31928,0.33973,0.36154,0.37891,0.39731,0.41683,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026
86,0.0254,0.03806,0.05321,0.07164,0.08882,0.12194,0.15638,0.21284,0.2426,0.26515,0.28201,0.29999,0.31915,0.3396,0.36141,0.37881,0.39723,0.41678,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959
87,0.03155,0.04716,0.06588,0.08835,0.12151,0.15592,0.21131,0.24217,0.2647,0.2819,0.29987,0.31902,0.33947,0.3613,0.37871,0.39715,0.41673,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074
88,0.0397,0.05946,0.08272,0.12105,0.1555,0.20985,0.24178,0.26428,0.28148,0.29975,0.31892,0.33936,0.3612,0.37863,0.39709,0.41669,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538
89,0.05116,0.07618,0.11685,0.15507,0.20858,0.24142,0.26391,0.28109,0.29937,0.31882,0.33926,0.3611,0.37856,0.39703,0.41666,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891
90,0.06769,0.11196,0.15187,0.20728,0.24109,0.26355,0.28073,0.29901,0.31847,0.33919,0.36102,0.3785,0.39699,0.41663,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615
91,0.10567,0.1482,0.20602,0.24077,0.26323,0.2804,0.29868,0.31814,0.33888,0.36096,0.37844,0.39694,0.4166,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567
92,0.14352,0.20472,0.24044,0.26293,0.2801,0.29839,0.31785,0.33861,0.3607,0.37839,0.3969,0.41658,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759
93,0.20406,0.24012,0.26261,0.27982,0.29811,0.31758,0.33834,0.36047,0.3782,0.39687,0.41656,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205
94,0.2398,0.26229,0.27952,0.29784,0.31734,0.33811,0.36025,0.37804,0.39673,0.41654,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922
95,0.26198,0.27923,0.29757,0.3171,0.33789,0.36005,0.37788,0.39662,0.41648,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922
96,0.27894,0.2973,0.31686,0.33768,0.35987,0.37774,0.39651,0.41642,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1
97,0.29703,0.31661,0.33747,0.35969,0.37761,0.39641,0.41636,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1,
98,0.31637,0.33726,0.35952,0.37749,0.39632,0.41631,0.43748,0.45913,0.48215,0.50662,0.53263,0.56026,0.58959,0.62074,0.6538,0.68891,0.72615,0.76567,0.80759,0.85205,0.89922,0.94922,1,,
