Table Name:,2017 Unloaded CSO Smoker Distinct Smoker Male ANB ,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00035,0.00041,0.00044,0.00048,0.00053,0.00059,0.00066,0.00074,0.00082,0.00091,0.001,0.00113,0.00136,0.00161,0.00184,0.00208,0.00232,0.00252,0.00269,0.00292,0.00311,0.00335,0.00359,0.00387,0.00419
28,0.00032,0.00039,0.00044,0.00049,0.00055,0.00062,0.0007,0.00078,0.00088,0.00097,0.0011,0.00126,0.00152,0.00178,0.00202,0.00225,0.00247,0.00265,0.00289,0.00311,0.00334,0.00359,0.00387,0.00418,0.00454
29,0.00031,0.0004,0.00047,0.00054,0.00061,0.00069,0.00076,0.00085,0.00094,0.00107,0.00122,0.00139,0.00167,0.00193,0.00216,0.00238,0.00259,0.00284,0.0031,0.00333,0.00358,0.00386,0.00418,0.00454,0.00494
30,0.0003,0.00042,0.00052,0.0006,0.00068,0.00076,0.00083,0.00091,0.00103,0.00118,0.00135,0.00153,0.00181,0.00205,0.00227,0.00248,0.00277,0.00304,0.00333,0.00358,0.00386,0.00418,0.00453,0.00493,0.00538
31,0.00031,0.00045,0.00057,0.00067,0.00075,0.00082,0.00089,0.00099,0.00114,0.00132,0.00149,0.00167,0.00193,0.00216,0.00236,0.00265,0.00297,0.00326,0.00357,0.00385,0.00417,0.00453,0.00493,0.00538,0.00588
32,0.00031,0.00047,0.00062,0.00072,0.00082,0.00088,0.00097,0.00109,0.00126,0.00146,0.00163,0.0018,0.00204,0.00225,0.00252,0.00284,0.00319,0.00351,0.00385,0.00417,0.00452,0.00492,0.00537,0.00587,0.00645
33,0.00032,0.0005,0.00067,0.00078,0.00087,0.00096,0.00105,0.00121,0.0014,0.0016,0.00176,0.00191,0.00214,0.00242,0.00271,0.00305,0.00343,0.00379,0.00416,0.00452,0.00492,0.00537,0.00587,0.00644,0.0071
34,0.00033,0.00051,0.0007,0.00081,0.00091,0.00103,0.00116,0.00134,0.00153,0.00172,0.00181,0.00201,0.0023,0.0026,0.00292,0.0033,0.00371,0.0041,0.00452,0.00492,0.00536,0.00586,0.00643,0.00708,0.00784
35,0.00034,0.00054,0.00074,0.00084,0.00097,0.00111,0.00128,0.00147,0.00165,0.00178,0.00192,0.00218,0.00249,0.00281,0.00316,0.00357,0.00402,0.00445,0.00491,0.00536,0.00586,0.00643,0.00707,0.00784,0.00868
36,0.00035,0.00057,0.00079,0.00089,0.00104,0.00121,0.0014,0.00158,0.00171,0.00184,0.00209,0.00237,0.0027,0.00305,0.00343,0.00389,0.00438,0.00485,0.00535,0.00585,0.00642,0.00706,0.00784,0.00868,0.00965
37,0.00037,0.0006,0.00085,0.00098,0.00115,0.00132,0.00151,0.00165,0.00174,0.00201,0.00228,0.00258,0.00294,0.00333,0.00374,0.00424,0.00477,0.00528,0.00584,0.00641,0.00705,0.00784,0.00867,0.00965,0.01076
38,0.0004,0.00065,0.00093,0.00108,0.00125,0.00143,0.00158,0.00166,0.00192,0.00221,0.0025,0.00282,0.00321,0.00364,0.0041,0.00464,0.00521,0.00577,0.0064,0.00704,0.00784,0.00866,0.00965,0.01076,0.01203
39,0.00043,0.00072,0.00102,0.00118,0.00135,0.00151,0.0016,0.00185,0.00213,0.00244,0.00276,0.00311,0.00354,0.00402,0.00452,0.0051,0.00571,0.00632,0.00703,0.00784,0.00866,0.00965,0.01076,0.01203,0.01344
40,0.00048,0.00079,0.00111,0.00127,0.00143,0.00155,0.00179,0.00206,0.00236,0.0027,0.00305,0.00343,0.00392,0.00445,0.005,0.00561,0.00627,0.00694,0.00783,0.00865,0.00965,0.01076,0.01203,0.01344,0.01495
41,0.00053,0.00087,0.00119,0.00136,0.0015,0.00173,0.00201,0.0023,0.00262,0.00299,0.00337,0.00381,0.00436,0.00494,0.00553,0.00619,0.00689,0.00783,0.00864,0.00965,0.01075,0.01203,0.01344,0.01495,0.01665
42,0.00058,0.00095,0.00126,0.00144,0.00167,0.00194,0.00225,0.00257,0.00292,0.00332,0.00375,0.00424,0.00485,0.00549,0.00613,0.00683,0.00783,0.00864,0.00964,0.01075,0.01202,0.01344,0.01494,0.01664,0.01849
43,0.00062,0.00102,0.00133,0.00157,0.00185,0.00217,0.00251,0.00286,0.00324,0.00368,0.00417,0.00473,0.0054,0.0061,0.00682,0.00773,0.00863,0.00964,0.01075,0.01202,0.01344,0.01493,0.01662,0.01849,0.0204
44,0.00067,0.00108,0.00143,0.00173,0.00206,0.00243,0.0028,0.00318,0.0036,0.0041,0.00465,0.00528,0.00604,0.0068,0.00764,0.00862,0.00964,0.01074,0.01202,0.01344,0.01492,0.0166,0.01848,0.02039,0.02241
45,0.00071,0.00118,0.00156,0.0019,0.0023,0.00271,0.00312,0.00353,0.004,0.00457,0.0052,0.00592,0.00676,0.00761,0.00854,0.00964,0.01074,0.01202,0.01344,0.01492,0.01659,0.01848,0.02039,0.0224,0.02459
46,0.00077,0.00128,0.0017,0.00211,0.00257,0.00302,0.00346,0.00391,0.00444,0.0051,0.00583,0.00664,0.00758,0.00853,0.00958,0.01074,0.01202,0.01343,0.01491,0.01657,0.01848,0.02039,0.0224,0.02457,0.02698
47,0.00083,0.00139,0.00187,0.00236,0.00287,0.00336,0.00383,0.00434,0.00495,0.00572,0.00655,0.00757,0.00851,0.00957,0.01074,0.01202,0.01343,0.0149,0.01655,0.01848,0.02039,0.02239,0.02455,0.02691,0.02978
48,0.00091,0.00151,0.00207,0.00265,0.00321,0.00373,0.00424,0.00482,0.00553,0.00641,0.00756,0.00851,0.00957,0.01073,0.01202,0.01343,0.01489,0.01654,0.01848,0.02038,0.02238,0.02453,0.02685,0.02972,0.03292
49,0.00099,0.00165,0.0023,0.00299,0.0036,0.00414,0.0047,0.00536,0.00619,0.00756,0.0085,0.00954,0.01073,0.01202,0.01343,0.01489,0.01652,0.01847,0.02038,0.02238,0.02451,0.02679,0.02966,0.03286,0.0364
50,0.00108,0.0018,0.00258,0.00338,0.00403,0.0046,0.00521,0.00597,0.00755,0.0085,0.00951,0.0107,0.01202,0.01343,0.01488,0.0165,0.01847,0.02038,0.02237,0.02449,0.02672,0.02961,0.0328,0.03639,0.03992
51,0.00118,0.00198,0.00291,0.00384,0.00452,0.00512,0.00591,0.00741,0.0085,0.00948,0.01068,0.012,0.01343,0.01487,0.01649,0.01847,0.02037,0.02236,0.02437,0.02666,0.02955,0.03274,0.03638,0.03981,0.04373
52,0.0013,0.00218,0.0033,0.00437,0.00508,0.00584,0.00724,0.00835,0.00944,0.01065,0.01198,0.01341,0.01486,0.01647,0.01845,0.02037,0.02235,0.02425,0.02659,0.02949,0.03269,0.03637,0.0397,0.04372,0.04727
53,0.00143,0.0024,0.00376,0.00499,0.00577,0.00703,0.00818,0.00941,0.01062,0.01195,0.01339,0.01486,0.01645,0.01844,0.02032,0.02233,0.02413,0.02653,0.02944,0.03263,0.03636,0.03959,0.0437,0.04713,0.05083
54,0.00158,0.00267,0.00429,0.0057,0.00678,0.00795,0.00922,0.0106,0.01193,0.01337,0.01485,0.01644,0.01843,0.02028,0.02232,0.02401,0.02646,0.02938,0.03257,0.03635,0.03948,0.04369,0.04698,0.05062,0.05438
55,0.00175,0.00296,0.00489,0.00649,0.00769,0.00898,0.01039,0.01191,0.01335,0.01484,0.01642,0.01841,0.02023,0.02231,0.02389,0.0264,0.02933,0.03251,0.03634,0.03937,0.04368,0.04684,0.05041,0.0541,0.05848
56,0.00193,0.00331,0.00557,0.00739,0.00869,0.01012,0.01166,0.01332,0.01483,0.0164,0.0184,0.02018,0.0223,0.02376,0.02633,0.02927,0.03245,0.03633,0.03926,0.04366,0.0467,0.05021,0.05382,0.05848,0.06257
57,0.00214,0.00369,0.00632,0.00837,0.00979,0.01135,0.01303,0.01483,0.01639,0.01838,0.02013,0.02229,0.02364,0.02627,0.02921,0.0324,0.03632,0.03915,0.04365,0.04656,0.05,0.05354,0.0584,0.06257,0.06709
58,0.00237,0.00413,0.00713,0.00942,0.01097,0.01265,0.01447,0.01637,0.01837,0.02009,0.02227,0.02352,0.0262,0.02916,0.03234,0.03631,0.03904,0.04364,0.04641,0.04979,0.05326,0.05832,0.06257,0.06709,0.07172
59,0.00263,0.00462,0.00798,0.01055,0.01221,0.01401,0.01593,0.01793,0.02004,0.02226,0.0234,0.02614,0.0291,0.03228,0.0363,0.03893,0.04363,0.04627,0.04958,0.05298,0.05824,0.06253,0.06709,0.07172,0.07885
60,0.00292,0.00517,0.00885,0.01172,0.01349,0.01539,0.01741,0.01952,0.02179,0.02328,0.02607,0.02904,0.03222,0.03629,0.03881,0.04361,0.04613,0.04937,0.0527,0.05816,0.0625,0.06709,0.07172,0.07885,0.08693
61,0.00324,0.00577,0.00974,0.01291,0.01478,0.01676,0.01852,0.02076,0.02315,0.02601,0.02899,0.03217,0.03628,0.0387,0.0436,0.04599,0.04917,0.05242,0.05808,0.06246,0.06699,0.07172,0.07885,0.08693,0.09613
62,0.00358,0.00642,0.01062,0.01409,0.01605,0.01779,0.01944,0.02173,0.02429,0.02741,0.03059,0.0339,0.03859,0.04359,0.04584,0.04896,0.05214,0.05801,0.06243,0.06695,0.07172,0.07885,0.08693,0.09613,0.10656
63,0.00396,0.0071,0.0115,0.01523,0.01732,0.01922,0.02046,0.02248,0.02525,0.02854,0.03182,0.03519,0.03986,0.0457,0.04875,0.05186,0.05793,0.06239,0.06673,0.07141,0.07885,0.08693,0.09613,0.10656,0.1182
64,0.00435,0.0078,0.01234,0.01637,0.01866,0.02014,0.02184,0.02441,0.0277,0.03031,0.03352,0.03661,0.0412,0.04854,0.05158,0.05785,0.06236,0.0665,0.07117,0.07885,0.08693,0.09613,0.10656,0.1182,0.131
65,0.00476,0.0085,0.01318,0.01756,0.01983,0.02169,0.02396,0.02686,0.02952,0.03327,0.03634,0.03915,0.04375,0.0513,0.05777,0.06232,0.06627,0.07093,0.07859,0.08693,0.09613,0.10656,0.1182,0.131,0.1444
66,0.00517,0.00921,0.01405,0.01886,0.02152,0.02376,0.02635,0.02921,0.0324,0.03628,0.03887,0.04326,0.04624,0.05406,0.06081,0.06605,0.07068,0.07846,0.08693,0.09613,0.10656,0.1182,0.131,0.1444,0.15823
67,0.0056,0.00994,0.015,0.02038,0.02352,0.02611,0.02898,0.03206,0.03534,0.03859,0.04276,0.04593,0.0493,0.05757,0.06479,0.07044,0.07838,0.08664,0.09613,0.10656,0.1182,0.131,0.1444,0.15823,0.17201
68,0.00606,0.01072,0.01608,0.02223,0.02584,0.02875,0.03185,0.03503,0.03832,0.04227,0.04561,0.04926,0.05671,0.06153,0.06932,0.07681,0.08636,0.09562,0.10656,0.1182,0.131,0.1444,0.15823,0.17201,0.18536
69,0.00657,0.0116,0.01735,0.02439,0.02844,0.0316,0.03481,0.03799,0.04127,0.0453,0.04922,0.05586,0.06092,0.06668,0.07613,0.08482,0.09525,0.10586,0.1182,0.131,0.1444,0.15823,0.17201,0.18536,0.19829
70,0.00714,0.0126,0.01881,0.02684,0.03125,0.03454,0.03774,0.04112,0.04523,0.04917,0.055,0.06031,0.06531,0.07321,0.08404,0.09375,0.1053,0.1182,0.131,0.1444,0.15823,0.17201,0.18536,0.19829,0.21012
71,0.00781,0.01374,0.02045,0.02949,0.03416,0.03746,0.04097,0.04513,0.04911,0.05414,0.0597,0.06451,0.07014,0.0808,0.0929,0.10402,0.11808,0.131,0.1444,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036
72,0.00858,0.015,0.02224,0.03226,0.03706,0.04078,0.04502,0.04902,0.05402,0.05909,0.06405,0.06991,0.07814,0.08912,0.10207,0.11747,0.13067,0.1444,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443
73,0.00944,0.01635,0.02411,0.035,0.0399,0.04413,0.04856,0.0528,0.05756,0.06301,0.06922,0.07621,0.08594,0.0976,0.11597,0.12952,0.1444,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987
74,0.01038,0.01778,0.02603,0.03772,0.04362,0.04809,0.05173,0.05626,0.06137,0.06808,0.07599,0.08321,0.09421,0.11471,0.12805,0.14338,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725
75,0.01139,0.01923,0.028,0.04043,0.04657,0.05071,0.05334,0.058,0.06627,0.07516,0.08293,0.094,0.11305,0.12648,0.14206,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629
76,0.01246,0.02073,0.03004,0.04318,0.04864,0.0529,0.05685,0.06447,0.07365,0.08201,0.09358,0.11089,0.12453,0.14023,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067
77,0.01358,0.0223,0.03221,0.04603,0.05181,0.05637,0.06222,0.07163,0.08041,0.09241,0.1083,0.12184,0.13773,0.15823,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825
78,0.01477,0.02397,0.03455,0.04903,0.05519,0.06075,0.0691,0.07829,0.09051,0.10532,0.11882,0.13444,0.15664,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002
79,0.01607,0.02578,0.0371,0.05221,0.06063,0.06608,0.07563,0.08798,0.10184,0.11535,0.13061,0.15408,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165
80,0.01751,0.02779,0.0399,0.05612,0.06532,0.07244,0.08481,0.09798,0.11131,0.12612,0.15055,0.17201,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279
81,0.01911,0.03,0.04339,0.06029,0.07037,0.08102,0.09373,0.10682,0.12083,0.14543,0.17045,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305
82,0.02092,0.03279,0.04722,0.06472,0.0758,0.08825,0.10188,0.11489,0.13903,0.16734,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208
83,0.02319,0.03588,0.05139,0.06931,0.0816,0.09518,0.10828,0.13134,0.16267,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951
84,0.02575,0.03931,0.05583,0.07412,0.08753,0.10107,0.12238,0.15644,0.18536,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498
85,0.02864,0.04305,0.0606,0.07893,0.09283,0.11214,0.14866,0.18135,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812
86,0.03186,0.04716,0.0655,0.08356,0.10061,0.13932,0.17334,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857
87,0.03546,0.05152,0.07039,0.08781,0.12842,0.16131,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595
88,0.03938,0.05604,0.07508,0.10473,0.14527,0.19829,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5
89,0.04355,0.06148,0.07957,0.12576,0.17474,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5
90,0.04788,0.06726,0.09277,0.1512,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5
91,0.05377,0.07814,0.14871,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5
92,0.06351,0.11328,0.21012,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5
93,0.07785,0.15366,0.22036,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5
94,0.0972,0.17107,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.12177,0.23443,0.24987,0.26725,0.28629,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Smoker Distinct Smoker, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00091,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00146,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00209,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00231,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00252,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00267,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00278,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00297,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00315,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00337,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00361,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00388,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00419,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00455,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00494,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00539,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00589,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00646,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00711,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00785,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00869,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00966,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01077,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01203,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01344,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01496,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01667,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01849,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0204,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02241,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02461,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02704,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02983,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03297,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03641,,,,,,,,,,,,,,,,,,,,,,,,
74,0.04004,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04374,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04741,,,,,,,,,,,,,,,,,,,,,,,,
77,0.05104,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05466,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05848,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06257,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06709,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07172,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07885,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08693,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09613,,,,,,,,,,,,,,,,,,,,,,,,
