Table Name:,2017 Unloaded CSO Composite Female ANB,,,,,,,,,,,,,,,,,,,,,,,,
14,9E-05,0.00015,0.00022,0.00026,0.00027,0.00027,0.00027,0.00027,0.0003,0.00033,0.00036,0.00036,0.00035,0.00034,0.00034,0.00036,0.00039,0.00042,0.00045,0.00049,0.00053,0.0006,0.00067,0.00075,0.00082
15,0.00015,0.00022,0.00026,0.00027,0.00027,0.00027,0.00027,0.0003,0.00033,0.00036,0.00036,0.00035,0.00034,0.00034,0.00036,0.00039,0.00042,0.00045,0.00049,0.00053,0.0006,0.00067,0.00075,0.00082,0.00089
16,0.00022,0.00026,0.00027,0.00027,0.00027,0.00027,0.0003,0.00033,0.00036,0.00036,0.00035,0.00034,0.00034,0.00036,0.00039,0.00042,0.00045,0.00049,0.00053,0.0006,0.00067,0.00075,0.00082,0.00089,0.00095
17,0.00026,0.00027,0.00027,0.00027,0.00027,0.0003,0.00033,0.00036,0.00036,0.00035,0.00034,0.00034,0.00036,0.00039,0.00042,0.00045,0.00049,0.00053,0.0006,0.00067,0.00075,0.00082,0.00089,0.00095,0.00099
18,0.00027,0.00027,0.00027,0.00027,0.00027,0.00028,0.00029,0.0003,0.0003,0.0003,0.00032,0.00034,0.00036,0.00038,0.00041,0.00046,0.00053,0.0006,0.00067,0.00075,0.00082,0.00089,0.00095,0.00099,0.00103
19,0.00027,0.00027,0.00025,0.00025,0.00026,0.00028,0.00028,0.00028,0.00028,0.0003,0.00032,0.00034,0.00036,0.00038,0.00042,0.00051,0.00059,0.00067,0.00075,0.00082,0.00089,0.00095,0.00099,0.00103,0.00106
20,0.00023,0.00023,0.00023,0.00024,0.00026,0.00026,0.00026,0.00026,0.00028,0.00031,0.00033,0.00035,0.00036,0.00039,0.00047,0.00055,0.00064,0.00074,0.00082,0.00089,0.00095,0.00099,0.00103,0.00106,0.0011
21,0.00018,0.00021,0.00022,0.00024,0.00024,0.00024,0.00024,0.00026,0.00029,0.00032,0.00034,0.00035,0.00037,0.00045,0.00051,0.00061,0.0007,0.00079,0.00087,0.00094,0.00099,0.00103,0.00106,0.0011,0.00115
22,0.00016,0.0002,0.00022,0.00022,0.00022,0.00022,0.00024,0.00027,0.0003,0.00033,0.00034,0.00036,0.00042,0.00048,0.00057,0.00066,0.00075,0.00083,0.00091,0.00098,0.00103,0.00106,0.0011,0.00115,0.00124
23,0.00016,0.00019,0.0002,0.0002,0.0002,0.00022,0.00025,0.00028,0.00031,0.00033,0.00035,0.00041,0.00045,0.00054,0.00063,0.00071,0.00079,0.00086,0.00094,0.00102,0.00106,0.0011,0.00115,0.00124,0.00133
24,0.00015,0.00018,0.00018,0.00018,0.0002,0.00022,0.00026,0.00029,0.00032,0.00035,0.0004,0.00044,0.00051,0.0006,0.00068,0.00076,0.00082,0.0009,0.00097,0.00105,0.0011,0.00115,0.00124,0.00133,0.00144
25,0.00013,0.00016,0.00016,0.00018,0.0002,0.00023,0.00026,0.0003,0.00033,0.00038,0.00042,0.00049,0.00057,0.00065,0.00073,0.00079,0.00086,0.00093,0.00101,0.00108,0.00115,0.00124,0.00133,0.00144,0.00156
26,0.00011,0.00014,0.00016,0.00018,0.00021,0.00024,0.00027,0.00031,0.00036,0.00041,0.00046,0.00054,0.00063,0.00071,0.00078,0.00083,0.0009,0.00097,0.00105,0.00114,0.00124,0.00133,0.00144,0.00156,0.00168
27,0.0001,0.00014,0.00016,0.00018,0.00021,0.00024,0.00028,0.00033,0.00038,0.00044,0.00051,0.00059,0.00069,0.00076,0.00082,0.00087,0.00094,0.00102,0.00111,0.00122,0.00133,0.00144,0.00156,0.00168,0.00183
28,9E-05,0.00014,0.00016,0.00019,0.00021,0.00025,0.00029,0.00035,0.00042,0.00048,0.00056,0.00064,0.00073,0.0008,0.00085,0.00091,0.00098,0.00107,0.00118,0.00131,0.00144,0.00156,0.00168,0.00183,0.00199
29,9E-05,0.00014,0.00017,0.00019,0.00022,0.00027,0.00032,0.00039,0.00046,0.00053,0.00061,0.00069,0.00077,0.00083,0.00088,0.00095,0.00103,0.00114,0.00126,0.00141,0.00156,0.00168,0.00183,0.00199,0.00216
30,0.0001,0.00015,0.00018,0.0002,0.00024,0.00029,0.00036,0.00043,0.0005,0.00058,0.00065,0.00073,0.00081,0.00086,0.00092,0.001,0.00111,0.00124,0.00137,0.00152,0.00168,0.00183,0.00199,0.00216,0.00236
31,0.0001,0.00016,0.00019,0.00022,0.00027,0.00033,0.0004,0.00047,0.00054,0.00061,0.00068,0.00076,0.00084,0.0009,0.00097,0.00107,0.0012,0.00134,0.00148,0.00164,0.00183,0.00199,0.00216,0.00236,0.00258
32,0.0001,0.00016,0.00021,0.00025,0.0003,0.00037,0.00044,0.00051,0.00058,0.00064,0.00071,0.00079,0.00088,0.00095,0.00105,0.00116,0.0013,0.00144,0.00159,0.00177,0.00199,0.00216,0.00236,0.00258,0.00282
33,0.00011,0.00018,0.00023,0.00028,0.00035,0.00041,0.00048,0.00055,0.0006,0.00067,0.00074,0.00083,0.00093,0.00103,0.00114,0.00126,0.00141,0.00155,0.00171,0.00192,0.00216,0.00236,0.00258,0.00282,0.00309
34,0.00012,0.00019,0.00026,0.00032,0.00039,0.00045,0.00052,0.00058,0.00063,0.0007,0.00077,0.00087,0.001,0.00112,0.00124,0.00137,0.00152,0.00167,0.00186,0.00209,0.00236,0.00258,0.00282,0.00309,0.0034
35,0.00013,0.0002,0.00029,0.00037,0.00043,0.00049,0.00056,0.00062,0.00066,0.00073,0.00082,0.00096,0.0011,0.00122,0.00135,0.00148,0.00164,0.00181,0.00204,0.0023,0.00258,0.00282,0.00309,0.0034,0.00375
36,0.00014,0.00022,0.00032,0.0004,0.00047,0.00054,0.0006,0.00065,0.00069,0.00077,0.00092,0.00105,0.00121,0.00134,0.00147,0.00162,0.00179,0.00199,0.00224,0.00253,0.00282,0.00309,0.0034,0.00375,0.00414
37,0.00015,0.00024,0.00035,0.00045,0.00052,0.00058,0.00063,0.00068,0.00073,0.00088,0.00101,0.00116,0.00133,0.00146,0.00161,0.00176,0.00196,0.00219,0.00247,0.00278,0.00309,0.0034,0.00375,0.00414,0.00459
38,0.00017,0.00025,0.00038,0.00049,0.00056,0.00062,0.00067,0.00072,0.00084,0.00097,0.00112,0.00128,0.00145,0.0016,0.00175,0.00193,0.00216,0.00242,0.00273,0.00306,0.0034,0.00375,0.00414,0.00459,0.0051
39,0.00018,0.00027,0.0004,0.00051,0.0006,0.00065,0.0007,0.00081,0.00092,0.00108,0.00124,0.00141,0.00158,0.00175,0.00191,0.00212,0.00238,0.00267,0.003,0.00337,0.00375,0.00414,0.00459,0.0051,0.00567
40,0.00019,0.00029,0.00042,0.00053,0.00063,0.00069,0.00079,0.00089,0.00102,0.00119,0.00137,0.00154,0.00173,0.00191,0.0021,0.00234,0.00262,0.00294,0.00331,0.00372,0.00414,0.00459,0.0051,0.00567,0.00631
41,0.0002,0.0003,0.00043,0.00056,0.00067,0.00077,0.00087,0.00098,0.00113,0.00132,0.0015,0.00168,0.00188,0.00209,0.00231,0.00258,0.00289,0.00324,0.00364,0.0041,0.00459,0.0051,0.00567,0.00631,0.00702
42,0.00021,0.00032,0.00045,0.00059,0.00073,0.00084,0.00094,0.00107,0.00124,0.00145,0.00163,0.00183,0.00205,0.00229,0.00255,0.00286,0.0032,0.00358,0.00402,0.00454,0.0051,0.00567,0.00631,0.00702,0.00781
43,0.00022,0.00034,0.00047,0.00065,0.00079,0.00091,0.00102,0.00117,0.00137,0.00158,0.00177,0.00199,0.00225,0.00252,0.00282,0.00317,0.00354,0.00398,0.00447,0.00504,0.00567,0.00631,0.00702,0.00781,0.00869
44,0.00023,0.00035,0.00051,0.00073,0.00086,0.00099,0.00111,0.00128,0.00149,0.00172,0.00193,0.00217,0.00246,0.00279,0.00312,0.00351,0.00392,0.00439,0.00494,0.0056,0.00631,0.00702,0.00781,0.00869,0.00966
45,0.00026,0.00037,0.00056,0.00081,0.00094,0.00107,0.00121,0.00141,0.00163,0.00187,0.0021,0.00237,0.00272,0.00309,0.00347,0.00388,0.00435,0.0049,0.00552,0.00624,0.00702,0.00781,0.00869,0.00966,0.01073
46,0.00028,0.00038,0.00063,0.00088,0.00102,0.00117,0.00133,0.00154,0.00178,0.00203,0.00227,0.00261,0.00302,0.00343,0.00384,0.00432,0.00486,0.00547,0.00617,0.00693,0.00781,0.00869,0.00966,0.01073,0.01191
47,0.0003,0.0004,0.00071,0.00096,0.00111,0.00128,0.00147,0.0017,0.00194,0.00219,0.0025,0.0029,0.00336,0.0038,0.00428,0.00482,0.00544,0.00611,0.00686,0.00771,0.00869,0.00966,0.01073,0.01191,0.01319
48,0.00032,0.00044,0.00081,0.00105,0.00123,0.00141,0.00162,0.00186,0.0021,0.0024,0.00275,0.00321,0.00374,0.00424,0.00477,0.00539,0.00608,0.00682,0.00764,0.00859,0.00966,0.01073,0.01191,0.01319,0.01459
49,0.00033,0.0005,0.00094,0.00117,0.00136,0.00156,0.00179,0.00203,0.0023,0.00264,0.00303,0.00354,0.00412,0.00468,0.00527,0.00597,0.00676,0.00757,0.00847,0.00953,0.01073,0.01191,0.01319,0.01459,0.01614
50,0.00035,0.0006,0.00107,0.00131,0.0015,0.00173,0.00197,0.00223,0.00253,0.00291,0.00334,0.00389,0.00451,0.00512,0.00579,0.00659,0.00745,0.00833,0.00936,0.0105,0.01191,0.01319,0.01459,0.01614,0.01786
51,0.00037,0.00073,0.00119,0.00144,0.00166,0.00191,0.00216,0.00245,0.0028,0.00323,0.00369,0.00426,0.00491,0.00558,0.00633,0.00722,0.00816,0.00915,0.01025,0.01154,0.01319,0.01459,0.01614,0.01786,0.01981
52,0.00039,0.00088,0.00129,0.00157,0.00182,0.00209,0.00238,0.00271,0.0031,0.00358,0.00408,0.00468,0.00536,0.00611,0.00697,0.00795,0.00894,0.01001,0.01127,0.01278,0.01459,0.01614,0.01786,0.01981,0.02201
53,0.00041,0.00097,0.00138,0.00171,0.002,0.0023,0.00263,0.00301,0.00346,0.00399,0.00449,0.00513,0.00584,0.00669,0.00766,0.00872,0.00982,0.01105,0.01248,0.01411,0.01614,0.01786,0.01981,0.02201,0.02452
54,0.00043,0.00102,0.00147,0.00184,0.00221,0.00255,0.00293,0.00336,0.00386,0.00443,0.00496,0.00562,0.00642,0.00737,0.00845,0.00962,0.01082,0.01223,0.01384,0.01575,0.01786,0.01981,0.02201,0.02452,0.02733
55,0.00045,0.00106,0.00155,0.00197,0.00245,0.00284,0.00328,0.00376,0.00431,0.00489,0.00544,0.00615,0.00706,0.00813,0.00933,0.01059,0.01197,0.01355,0.01545,0.01765,0.01981,0.02201,0.02452,0.02733,0.03052
56,0.00047,0.0011,0.00162,0.00211,0.00271,0.00317,0.00365,0.00417,0.00474,0.00532,0.00588,0.00669,0.00773,0.00894,0.01024,0.01169,0.0133,0.01511,0.01719,0.01959,0.02201,0.02452,0.02733,0.03052,0.03411
57,0.00049,0.00115,0.00168,0.00231,0.00303,0.00354,0.00406,0.00459,0.00517,0.00574,0.00632,0.00723,0.00841,0.00977,0.01125,0.01293,0.01476,0.01675,0.01904,0.02175,0.02452,0.02733,0.03052,0.03411,0.03844
58,0.00052,0.0012,0.00177,0.00257,0.00339,0.00394,0.00448,0.00501,0.00556,0.00615,0.00679,0.00784,0.00919,0.01072,0.01241,0.0143,0.01635,0.01858,0.02118,0.02421,0.02733,0.03052,0.03411,0.03844,0.04338
59,0.00055,0.00126,0.0019,0.00291,0.00379,0.00435,0.00489,0.0054,0.00596,0.00658,0.00733,0.00856,0.01013,0.01184,0.01375,0.01588,0.01817,0.02065,0.02355,0.02693,0.03052,0.03411,0.03844,0.04338,0.04894
60,0.00061,0.00133,0.00213,0.00326,0.00421,0.00476,0.00526,0.00577,0.00634,0.00706,0.00796,0.00943,0.01114,0.01303,0.01517,0.01749,0.01997,0.02261,0.02592,0.02974,0.03411,0.03844,0.04338,0.04894,0.05539
61,0.0007,0.00141,0.00244,0.0036,0.0046,0.00511,0.0056,0.00614,0.00679,0.00764,0.00879,0.01042,0.01236,0.01451,0.01682,0.01934,0.02203,0.02507,0.02885,0.0334,0.03844,0.04338,0.04894,0.05539,0.06273
62,0.0008,0.00156,0.00281,0.00388,0.00494,0.00544,0.00595,0.00655,0.00734,0.00841,0.00972,0.01164,0.01383,0.01617,0.0187,0.02148,0.02463,0.02845,0.03306,0.03808,0.04338,0.04894,0.05539,0.06273,0.07115
63,0.00093,0.00175,0.00321,0.00429,0.00525,0.00579,0.00639,0.00714,0.00811,0.00931,0.0109,0.01311,0.01551,0.01808,0.02086,0.02402,0.02793,0.03234,0.03777,0.04306,0.04894,0.05539,0.06273,0.07115,0.08029
64,0.00105,0.00208,0.00358,0.00463,0.00551,0.00618,0.007,0.00793,0.00895,0.01045,0.01229,0.01472,0.01721,0.01996,0.02311,0.02722,0.03192,0.03751,0.04281,0.04871,0.05539,0.06273,0.07115,0.08029,0.09036
65,0.00115,0.00245,0.0039,0.00492,0.00586,0.00677,0.00776,0.00872,0.01002,0.01187,0.01393,0.01637,0.01896,0.02191,0.02553,0.03064,0.03606,0.04198,0.04774,0.0543,0.06273,0.07115,0.08029,0.09036,0.10139
66,0.00127,0.00262,0.00418,0.00519,0.00625,0.00739,0.00849,0.0097,0.01137,0.01352,0.0157,0.01816,0.02095,0.02458,0.0289,0.03464,0.04147,0.04718,0.05371,0.06216,0.07115,0.08029,0.09036,0.10139,0.11332
67,0.00139,0.00277,0.00443,0.00549,0.00673,0.00806,0.00935,0.01092,0.01292,0.01535,0.01766,0.02042,0.02351,0.02767,0.03276,0.03946,0.04683,0.05337,0.06188,0.0709,0.08029,0.09036,0.10139,0.11332,0.12581
68,0.00153,0.00291,0.00469,0.00592,0.00734,0.00883,0.01045,0.01232,0.01464,0.01733,0.01984,0.02294,0.02707,0.03199,0.03707,0.04469,0.05274,0.06128,0.07025,0.07962,0.09036,0.10139,0.11332,0.12581,0.13921
69,0.00168,0.00306,0.00496,0.00648,0.00801,0.00979,0.01166,0.01382,0.01644,0.01947,0.02234,0.02643,0.03118,0.03633,0.04326,0.05176,0.06065,0.06956,0.07892,0.08964,0.10139,0.11332,0.12581,0.13921,0.15344
70,0.00184,0.00323,0.00528,0.00705,0.00889,0.01085,0.01291,0.01533,0.01844,0.02213,0.02578,0.03036,0.03559,0.04222,0.05077,0.05998,0.06883,0.07817,0.08889,0.10063,0.11332,0.12581,0.13921,0.15344,0.16748
71,0.00203,0.00342,0.00564,0.00776,0.00986,0.01191,0.01411,0.01699,0.02079,0.02509,0.0295,0.03453,0.04099,0.04884,0.05814,0.06806,0.07738,0.08809,0.09983,0.11253,0.12581,0.13921,0.15344,0.16748,0.18238
72,0.00222,0.00365,0.00607,0.00865,0.01083,0.01286,0.01541,0.01897,0.02349,0.02857,0.03353,0.03885,0.04634,0.05551,0.0662,0.07655,0.08725,0.09899,0.1117,0.125,0.13921,0.15344,0.16748,0.18238,0.20089
73,0.00244,0.00394,0.00658,0.00955,0.01166,0.01387,0.01697,0.02119,0.02663,0.03246,0.03774,0.04437,0.05307,0.0639,0.07568,0.08637,0.09811,0.11082,0.12415,0.13839,0.15344,0.16748,0.18238,0.20089,0.22099
74,0.00276,0.00429,0.00719,0.01033,0.01253,0.01514,0.01873,0.02382,0.03021,0.03671,0.04229,0.04993,0.06022,0.07269,0.08544,0.09718,0.1099,0.12325,0.13752,0.15263,0.16748,0.18238,0.20089,0.22099,0.24266
75,0.00313,0.00466,0.00793,0.01118,0.01366,0.01655,0.02082,0.02684,0.03417,0.04126,0.04718,0.05653,0.06842,0.08236,0.09621,0.10893,0.12231,0.13662,0.15178,0.1667,0.18238,0.20089,0.22099,0.24266,0.26552
76,0.00357,0.0052,0.00888,0.01244,0.01504,0.01839,0.02342,0.03042,0.03873,0.04643,0.05434,0.06569,0.07888,0.09359,0.10805,0.12143,0.13576,0.15094,0.16592,0.18168,0.20089,0.22099,0.24266,0.26552,0.28919
77,0.00402,0.0058,0.00993,0.01381,0.01665,0.02051,0.02636,0.03444,0.0438,0.05253,0.06331,0.07597,0.09084,0.10718,0.12055,0.13489,0.15011,0.16514,0.18097,0.20027,0.22099,0.24266,0.26552,0.28919,0.3133
78,0.00453,0.00656,0.01117,0.0154,0.01849,0.02302,0.02971,0.03901,0.04992,0.06034,0.07223,0.08724,0.10486,0.11967,0.13403,0.14928,0.16436,0.18027,0.19964,0.22048,0.24266,0.26552,0.28919,0.3133,0.33747
79,0.00505,0.00744,0.01266,0.01714,0.02069,0.02564,0.03358,0.04467,0.05692,0.06978,0.08443,0.1023,0.1188,0.13317,0.14845,0.16358,0.17956,0.19902,0.21997,0.24229,0.26552,0.28919,0.3133,0.33747,0.36133
80,0.0053,0.00853,0.01436,0.01911,0.02298,0.02881,0.03845,0.05128,0.06592,0.08171,0.09885,0.11792,0.1323,0.14762,0.1628,0.17885,0.1984,0.21945,0.24191,0.26532,0.28919,0.3133,0.33747,0.36133,0.3845
81,0.00583,0.00978,0.01628,0.02111,0.02549,0.03306,0.04422,0.05905,0.07546,0.09341,0.11429,0.13144,0.14678,0.16203,0.17815,0.19778,0.21894,0.24154,0.26511,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066
82,0.00647,0.01121,0.01839,0.02316,0.02949,0.03843,0.05122,0.06856,0.08883,0.11114,0.13058,0.14595,0.16125,0.17744,0.19715,0.21843,0.24116,0.2649,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726
83,0.0074,0.01287,0.02096,0.02708,0.03414,0.04467,0.06059,0.08303,0.10815,0.13058,0.14512,0.16047,0.17673,0.19653,0.21791,0.24078,0.2647,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611
84,0.00862,0.01478,0.02389,0.03171,0.04012,0.05283,0.07611,0.10389,0.13058,0.14512,0.15969,0.17603,0.19591,0.2174,0.24041,0.26449,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277
85,0.0098,0.01718,0.02814,0.03723,0.04716,0.06516,0.09511,0.1236,0.14512,0.15969,0.17532,0.19529,0.21689,0.24003,0.26429,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686
86,0.01091,0.02036,0.03321,0.04378,0.05771,0.08666,0.11663,0.14512,0.15969,0.17532,0.19466,0.21637,0.23966,0.26408,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488
87,0.01212,0.02419,0.03924,0.05156,0.07493,0.11211,0.14512,0.15969,0.17532,0.19466,0.21586,0.23928,0.26388,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583
88,0.01348,0.02874,0.0464,0.06559,0.10294,0.14512,0.15969,0.17532,0.19466,0.21586,0.2389,0.26367,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5
89,0.01498,0.03369,0.05487,0.08582,0.13414,0.15969,0.17532,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5
90,0.01664,0.03944,0.07057,0.1162,0.15969,0.17532,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5
91,0.02093,0.05012,0.1068,0.15969,0.17532,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5
92,0.02966,0.0765,0.15969,0.17532,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5
93,0.04416,0.11261,0.17532,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5
94,0.06553,0.13548,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.09564,0.19466,0.21586,0.2389,0.26346,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Composite, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 0. Maximum Ultimate Age: 120",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,,,,,,,,,,,,,,,,,,,,,,,,
