Table Name:,2017 Unloaded CSO Preferred Structure Nonsmoker Residual Standard Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00028,0.0003,0.00027,0.00027,0.00028,0.00028,0.00031,0.00036,0.00039,0.00046,0.00052,0.00059,0.00064,0.00072,0.00079,0.00087,0.001,0.00113,0.00121,0.00125,0.00132,0.00141,0.00158,0.00178,0.00199
26,0.00025,0.00027,0.00025,0.00026,0.00027,0.00029,0.00033,0.00037,0.0004,0.00049,0.00056,0.00063,0.00068,0.00077,0.00085,0.00094,0.00107,0.00117,0.00123,0.00128,0.00137,0.00152,0.00171,0.00192,0.00215
27,0.00022,0.00024,0.00024,0.00026,0.00028,0.0003,0.00035,0.00039,0.00043,0.00054,0.00061,0.00068,0.00074,0.00083,0.00093,0.00101,0.00114,0.00122,0.00128,0.00136,0.00148,0.00165,0.00186,0.00209,0.00234
28,0.00019,0.00022,0.00024,0.00028,0.0003,0.00033,0.00037,0.00042,0.00047,0.00058,0.00067,0.00074,0.0008,0.0009,0.001,0.00108,0.00119,0.00127,0.00135,0.00146,0.00161,0.00181,0.00203,0.00228,0.00256
29,0.00018,0.0002,0.00024,0.00028,0.00031,0.00034,0.00038,0.00044,0.00049,0.00062,0.0007,0.00077,0.00083,0.00094,0.00103,0.00113,0.00125,0.00135,0.00145,0.00158,0.00176,0.00198,0.00222,0.0025,0.0028
30,0.00017,0.00018,0.00025,0.00029,0.00031,0.00034,0.00038,0.00045,0.00053,0.00064,0.00072,0.00078,0.00085,0.00096,0.00106,0.00119,0.00133,0.00144,0.00156,0.00171,0.00192,0.00216,0.00243,0.00273,0.00305
31,0.00015,0.00017,0.00025,0.0003,0.00032,0.00035,0.0004,0.00048,0.00058,0.00069,0.00076,0.00082,0.0009,0.001,0.00112,0.00127,0.00142,0.00154,0.00168,0.00186,0.00209,0.00236,0.00266,0.00298,0.0033
32,0.00016,0.00017,0.00026,0.00031,0.00034,0.00038,0.00045,0.00052,0.00064,0.00074,0.0008,0.00086,0.00094,0.00106,0.0012,0.00136,0.00151,0.00165,0.00181,0.00201,0.00227,0.00258,0.0029,0.00323,0.00354
33,0.00016,0.00019,0.00028,0.00033,0.00037,0.00042,0.00049,0.00058,0.0007,0.00079,0.00084,0.0009,0.001,0.00114,0.00129,0.00145,0.00161,0.00176,0.00195,0.00218,0.00248,0.00281,0.00316,0.00349,0.00379
34,0.00017,0.0002,0.00031,0.00036,0.00041,0.00047,0.00053,0.00064,0.00075,0.00083,0.00088,0.00096,0.00108,0.00123,0.00138,0.00155,0.00172,0.00189,0.0021,0.00237,0.00271,0.00308,0.00344,0.00376,0.00406
35,0.00017,0.00021,0.00033,0.00039,0.00045,0.00052,0.00059,0.0007,0.0008,0.00087,0.00094,0.00104,0.00118,0.00133,0.00149,0.00167,0.00185,0.00204,0.00228,0.0026,0.00297,0.00337,0.00373,0.00405,0.00438
36,0.00017,0.00022,0.00036,0.00043,0.0005,0.00056,0.00066,0.00076,0.00084,0.00093,0.00103,0.00114,0.00129,0.00145,0.00161,0.00179,0.00199,0.00221,0.0025,0.00287,0.00328,0.00369,0.00405,0.00438,0.00478
37,0.00017,0.00025,0.00039,0.00047,0.00055,0.00062,0.00073,0.00082,0.0009,0.00101,0.00113,0.00126,0.00141,0.00158,0.00175,0.00194,0.00216,0.00242,0.00277,0.00319,0.00363,0.00403,0.00438,0.00478,0.00528
38,0.00018,0.00028,0.00043,0.00051,0.00059,0.00069,0.00079,0.00087,0.00098,0.00111,0.00125,0.00138,0.00155,0.00173,0.00191,0.00212,0.00237,0.00269,0.0031,0.00356,0.00401,0.00438,0.00478,0.00527,0.00588
39,0.00019,0.00033,0.00048,0.00056,0.00065,0.00075,0.00085,0.00095,0.00107,0.00123,0.00137,0.00152,0.0017,0.00189,0.00209,0.00233,0.00263,0.00302,0.00349,0.00398,0.00438,0.00478,0.00526,0.00583,0.00656
40,0.00021,0.00038,0.00052,0.00062,0.00071,0.00081,0.00091,0.00102,0.00118,0.00135,0.00151,0.00166,0.00187,0.00208,0.00231,0.00259,0.00296,0.00341,0.00392,0.00437,0.00478,0.00526,0.00578,0.00648,0.00727
41,0.00024,0.00043,0.00057,0.00067,0.00077,0.00087,0.00097,0.00111,0.00129,0.00147,0.00164,0.00182,0.00205,0.0023,0.00256,0.0029,0.00334,0.00386,0.00435,0.00478,0.00526,0.00576,0.00636,0.00716,0.00801
42,0.00028,0.00048,0.00061,0.00072,0.00083,0.00092,0.00104,0.0012,0.0014,0.00159,0.00177,0.00198,0.00226,0.00254,0.00284,0.00325,0.00378,0.00433,0.00478,0.00526,0.00574,0.00629,0.00701,0.00787,0.00883
43,0.00033,0.00052,0.00065,0.00079,0.00089,0.00098,0.00112,0.00131,0.00152,0.00172,0.00192,0.00217,0.00248,0.00281,0.00317,0.00365,0.00424,0.00478,0.00526,0.00573,0.00623,0.00691,0.00775,0.00871,0.00975
44,0.00039,0.00055,0.00071,0.00086,0.00095,0.00105,0.00122,0.00144,0.00164,0.00185,0.00209,0.00238,0.00274,0.0031,0.00352,0.00408,0.00471,0.00526,0.00573,0.00622,0.00679,0.00764,0.00862,0.00968,0.0108
45,0.00045,0.00058,0.00076,0.00093,0.00102,0.00115,0.00135,0.00158,0.00178,0.00201,0.00229,0.00263,0.00302,0.00342,0.0039,0.00451,0.00518,0.00573,0.00622,0.00677,0.00746,0.00852,0.00962,0.01077,0.01203
46,0.0005,0.00061,0.00083,0.00101,0.00111,0.00128,0.00151,0.00173,0.00193,0.0022,0.00254,0.00291,0.00332,0.00376,0.0043,0.00496,0.00565,0.00622,0.00675,0.00737,0.00827,0.00954,0.01073,0.01201,0.01345
47,0.00055,0.00064,0.0009,0.0011,0.00123,0.00145,0.00169,0.00189,0.00211,0.00244,0.00283,0.00322,0.00364,0.00412,0.00471,0.00543,0.00615,0.00675,0.00734,0.0081,0.00924,0.01071,0.01201,0.01345,0.01508
48,0.00059,0.00069,0.00098,0.00119,0.00138,0.00164,0.00187,0.00206,0.00233,0.00273,0.00315,0.00354,0.00397,0.00448,0.00514,0.00591,0.00667,0.00731,0.00802,0.00898,0.01035,0.012,0.01345,0.01507,0.01696
49,0.00061,0.00076,0.00108,0.0013,0.00155,0.00182,0.00204,0.00225,0.00258,0.00305,0.00349,0.00386,0.0043,0.00487,0.00559,0.00642,0.00722,0.00794,0.0088,0.00997,0.01159,0.01336,0.01503,0.01695,0.01914
50,0.00062,0.00085,0.00119,0.00143,0.00173,0.00199,0.00219,0.00245,0.00288,0.00341,0.00384,0.00422,0.00466,0.00531,0.00611,0.007,0.00784,0.00866,0.00971,0.01111,0.01291,0.01478,0.01673,0.01901,0.02157
51,0.00062,0.00097,0.00132,0.00159,0.00191,0.00214,0.00233,0.00267,0.00321,0.00379,0.0042,0.00463,0.0051,0.00585,0.00674,0.00769,0.00858,0.00953,0.0108,0.01243,0.01438,0.01637,0.01858,0.0212,0.02417
52,0.00063,0.00111,0.00147,0.00179,0.00209,0.00228,0.00252,0.00295,0.00358,0.00418,0.0046,0.00507,0.00564,0.00653,0.00751,0.00852,0.0095,0.0107,0.01212,0.01394,0.01604,0.01823,0.02071,0.02367,0.02702
53,0.00064,0.00124,0.00164,0.00202,0.00226,0.00246,0.00276,0.00328,0.00399,0.0046,0.00505,0.00558,0.00636,0.00739,0.00845,0.0095,0.0107,0.01209,0.01371,0.0157,0.01795,0.02052,0.02343,0.02675,0.03032
54,0.00065,0.00135,0.00183,0.00224,0.00244,0.00265,0.00304,0.00369,0.00444,0.00505,0.00556,0.00625,0.00728,0.00843,0.0095,0.0107,0.01207,0.01362,0.01558,0.01781,0.02027,0.02331,0.02665,0.0303,0.03412
55,0.00071,0.00142,0.00204,0.00242,0.00262,0.00288,0.00339,0.00418,0.00494,0.00556,0.00623,0.00715,0.00835,0.0095,0.01069,0.01206,0.0136,0.01548,0.01776,0.02025,0.0231,0.02653,0.03021,0.03412,0.03834
56,0.00084,0.00148,0.00225,0.00261,0.00286,0.0032,0.00388,0.00473,0.00548,0.00619,0.00706,0.00821,0.00947,0.01069,0.01204,0.01358,0.01545,0.01764,0.02021,0.02302,0.02626,0.03002,0.03411,0.03834,0.04318
57,0.00103,0.00155,0.00245,0.00284,0.00315,0.00361,0.00445,0.00531,0.00608,0.00693,0.00801,0.00936,0.01069,0.01204,0.01354,0.01534,0.01759,0.02012,0.02297,0.02614,0.02982,0.03395,0.03834,0.04318,0.04875
58,0.00127,0.00163,0.00262,0.0031,0.00344,0.00411,0.00505,0.00592,0.00673,0.00777,0.00908,0.01058,0.01203,0.01354,0.01525,0.01736,0.02004,0.02291,0.02604,0.02954,0.03379,0.03832,0.04318,0.04875,0.0551
59,0.00154,0.00178,0.00276,0.00329,0.00377,0.00467,0.00566,0.00652,0.00745,0.00872,0.01026,0.01191,0.01351,0.01518,0.01712,0.01964,0.02275,0.02598,0.02944,0.03351,0.03814,0.04317,0.04875,0.0551,0.06244
60,0.00176,0.00199,0.00289,0.00342,0.00417,0.00523,0.00622,0.00713,0.00824,0.00974,0.01148,0.01326,0.01501,0.01685,0.01916,0.02217,0.02571,0.02936,0.03336,0.03803,0.04313,0.04875,0.0551,0.06244,0.07092
61,0.00192,0.00227,0.00306,0.00363,0.00463,0.00577,0.00677,0.00777,0.0091,0.01082,0.01268,0.01454,0.01644,0.01862,0.02141,0.02492,0.02892,0.03313,0.03784,0.043,0.04872,0.0551,0.06244,0.07092,0.08072
62,0.00202,0.00261,0.00329,0.00396,0.00515,0.00631,0.00732,0.00847,0.01004,0.01194,0.01391,0.01588,0.018,0.0206,0.02391,0.02791,0.03241,0.03725,0.04281,0.0486,0.0551,0.06244,0.07092,0.08072,0.09195
63,0.0021,0.00298,0.00363,0.00443,0.00574,0.00686,0.00793,0.00928,0.01107,0.01314,0.01519,0.01727,0.01971,0.02276,0.02656,0.03113,0.03641,0.04223,0.04842,0.05499,0.06244,0.07092,0.08072,0.09195,0.10466
64,0.00219,0.00338,0.00406,0.00501,0.00641,0.00748,0.00864,0.0102,0.01221,0.01447,0.0166,0.01883,0.02163,0.02513,0.02938,0.03464,0.04087,0.04773,0.05486,0.06244,0.07092,0.08072,0.09195,0.10466,0.11863
65,0.00229,0.00379,0.00459,0.00566,0.00717,0.0082,0.0095,0.01128,0.01351,0.016,0.01828,0.02072,0.02391,0.02785,0.03256,0.03885,0.04648,0.05423,0.0623,0.07092,0.08072,0.09195,0.10466,0.11863,0.13352
66,0.00242,0.00416,0.00518,0.0064,0.00803,0.00906,0.01051,0.01251,0.01501,0.01782,0.0204,0.02315,0.02677,0.0312,0.03641,0.0438,0.05318,0.06203,0.07092,0.08072,0.09195,0.10466,0.11863,0.13352,0.14876
67,0.00258,0.00451,0.00581,0.00722,0.00887,0.01006,0.01168,0.01392,0.01678,0.02004,0.02305,0.02643,0.03038,0.03536,0.04114,0.04963,0.0605,0.07048,0.08072,0.09195,0.10466,0.11863,0.13352,0.14876,0.16378
68,0.00279,0.00487,0.00649,0.00814,0.00978,0.01119,0.01299,0.01555,0.01906,0.02274,0.02638,0.03034,0.03488,0.04062,0.04718,0.05691,0.069,0.08025,0.09195,0.10466,0.11863,0.13352,0.14876,0.16378,0.17844
69,0.00301,0.00519,0.00718,0.00908,0.01079,0.01229,0.01435,0.01763,0.02152,0.02569,0.03027,0.03475,0.04048,0.04713,0.05554,0.06606,0.07938,0.09168,0.10466,0.11863,0.13352,0.14876,0.16378,0.17844,0.19231
70,0.00323,0.00545,0.00781,0.00996,0.01165,0.01337,0.01602,0.0199,0.0239,0.02874,0.03461,0.04035,0.04705,0.05529,0.06429,0.07639,0.09125,0.10466,0.11863,0.13352,0.14876,0.16378,0.17844,0.19231,0.20472
71,0.00346,0.00569,0.00844,0.01086,0.01255,0.01486,0.01803,0.02203,0.02669,0.03265,0.04007,0.04699,0.05499,0.064,0.07286,0.08732,0.10389,0.11863,0.13352,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845
72,0.00372,0.006,0.00917,0.01189,0.01397,0.01678,0.02022,0.02452,0.03039,0.03769,0.04677,0.05491,0.06371,0.07278,0.08504,0.10165,0.11821,0.13352,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554
73,0.00407,0.00648,0.01011,0.01322,0.01582,0.01898,0.02295,0.02787,0.03502,0.04369,0.0548,0.06366,0.07272,0.08389,0.09978,0.11782,0.13352,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392
74,0.00448,0.00712,0.01127,0.01485,0.01786,0.02162,0.0263,0.03203,0.0405,0.05064,0.06357,0.07266,0.08344,0.09804,0.1155,0.13317,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364
75,0.00488,0.00778,0.01249,0.01673,0.02033,0.0248,0.03027,0.03711,0.04705,0.05847,0.07255,0.08329,0.09749,0.11478,0.1326,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431
76,0.00517,0.00823,0.0134,0.01838,0.02276,0.02787,0.03427,0.0432,0.05449,0.067,0.08307,0.09716,0.1146,0.13244,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552
77,0.00539,0.00857,0.01413,0.01982,0.02486,0.03099,0.03827,0.05,0.06245,0.07615,0.09622,0.11392,0.13203,0.14876,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699
78,0.00561,0.00896,0.01501,0.0214,0.02711,0.0343,0.04277,0.05633,0.07002,0.08639,0.11093,0.13102,0.14838,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854
79,0.0058,0.00935,0.01592,0.02309,0.02953,0.03729,0.04747,0.0618,0.07738,0.09794,0.12712,0.1478,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981
80,0.00615,0.00999,0.01741,0.02563,0.03278,0.04144,0.05362,0.06886,0.08817,0.11324,0.14482,0.16378,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044
81,0.00672,0.01103,0.01974,0.0293,0.03752,0.04735,0.06218,0.08056,0.10422,0.13564,0.16234,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009
82,0.00757,0.01259,0.02307,0.03435,0.04426,0.05584,0.07417,0.09819,0.12813,0.16003,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384
83,0.00883,0.01501,0.02828,0.04224,0.05459,0.0699,0.09288,0.12533,0.15698,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501
84,0.01044,0.01819,0.03513,0.05267,0.06877,0.08955,0.11928,0.15451,0.17844,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956
85,0.01252,0.02221,0.04376,0.06593,0.08759,0.11529,0.14954,0.17595,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817
86,0.01509,0.02729,0.05472,0.08347,0.112,0.14622,0.17529,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107
87,0.01788,0.03311,0.0674,0.10407,0.14019,0.17389,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731
88,0.02076,0.03915,0.08115,0.12629,0.16799,0.19231,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5
89,0.02393,0.04556,0.09616,0.151,0.19,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5
90,0.02903,0.06224,0.12824,0.18104,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5
91,0.03938,0.09364,0.17529,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5
92,0.05767,0.13381,0.20472,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5
93,0.0854,0.17021,0.21845,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5
94,0.12364,0.20427,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.17314,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Residual Standard, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00137,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00145,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00164,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0017,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00176,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00189,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00197,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00207,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0022,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00238,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0026,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00285,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0031,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00334,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00358,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00381,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00407,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00438,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00478,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00529,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00658,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00731,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00811,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00895,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00987,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01089,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01207,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01345,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01509,,,,,,,,,,,,,,,,,,,,,,,,
72,0.017,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0192,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02166,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02437,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02733,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03057,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0342,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03834,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04318,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04875,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0551,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06244,,,,,,,,,,,,,,,,,,,,,,,,
84,0.07092,,,,,,,,,,,,,,,,,,,,,,,,
