Table Name:,"2001 VBT Residual Standard Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00036,0.00039,0.0004,0.00042,0.00042,0.00044,0.00045,0.00045,0.00046
1,,,,,,,,,,,,,,,,0.00036,0.00038,0.0004,0.00041,0.00042,0.00044,0.00045,0.00045,0.00045,0.00046
2,,,,,,,,,,,,,,,0.00035,0.00037,0.00039,0.00041,0.00041,0.00043,0.00045,0.00045,0.00045,0.00046,0.00048
3,,,,,,,,,,,,,,0.00035,0.00036,0.00038,0.0004,0.00041,0.00042,0.00043,0.00045,0.00045,0.00046,0.00048,0.00051
4,,,,,,,,,,,,,0.00034,0.00036,0.00038,0.00039,0.0004,0.00042,0.00043,0.00044,0.00045,0.00046,0.00048,0.00051,0.00054
5,,,,,,,,,,,,0.00034,0.00035,0.00036,0.00039,0.0004,0.00041,0.00043,0.00044,0.00045,0.00046,0.00048,0.00051,0.00054,0.00056
6,,,,,,,,,,,0.00033,0.00035,0.00036,0.00038,0.00039,0.00041,0.00042,0.00044,0.00045,0.00046,0.00048,0.00051,0.00054,0.00055,0.00058
7,,,,,,,,,,0.00033,0.00034,0.00035,0.00038,0.00039,0.0004,0.00042,0.00042,0.00045,0.00046,0.00048,0.00051,0.00054,0.00055,0.00058,0.00062
8,,,,,,,,,0.00032,0.00034,0.00035,0.00036,0.00039,0.00039,0.00041,0.00042,0.00044,0.00046,0.00048,0.00051,0.00054,0.00055,0.00058,0.00062,0.00065
9,,,,,,,,0.00032,0.00033,0.00034,0.00036,0.00037,0.00039,0.0004,0.00041,0.00044,0.00046,0.00048,0.00051,0.00054,0.00055,0.00058,0.00062,0.00065,0.00071
10,,,,,,,0.00031,0.00033,0.00033,0.00035,0.00036,0.00038,0.0004,0.00041,0.00043,0.00045,0.00047,0.0005,0.00054,0.00055,0.00058,0.00062,0.00065,0.0007,0.00077
11,,,,,,0.00029,0.00032,0.00033,0.00034,0.00035,0.00036,0.00039,0.00041,0.00042,0.00045,0.00047,0.0005,0.00053,0.00055,0.00058,0.00061,0.00065,0.0007,0.00076,0.00083
12,,,,,0.00029,0.0003,0.00032,0.00033,0.00034,0.00035,0.00038,0.0004,0.00041,0.00044,0.00046,0.0005,0.00053,0.00055,0.00058,0.00061,0.00065,0.0007,0.00076,0.00083,0.00088
13,,,,0.00029,0.0003,0.0003,0.00032,0.00033,0.00034,0.00036,0.00039,0.0004,0.00043,0.00046,0.00048,0.00053,0.00055,0.00058,0.00061,0.00065,0.0007,0.00076,0.00082,0.00088,0.00093
14,,,0.00029,0.0003,0.0003,0.00031,0.00033,0.00033,0.00035,0.00036,0.00039,0.00042,0.00045,0.00048,0.00051,0.00055,0.00058,0.00061,0.00065,0.0007,0.00076,0.00082,0.00087,0.00093,0.00099
15,,0.00029,0.0003,0.0003,0.0003,0.00032,0.00033,0.00033,0.00035,0.00036,0.0004,0.00044,0.00047,0.00051,0.00054,0.00058,0.00061,0.00065,0.0007,0.00076,0.00082,0.00087,0.00092,0.00099,0.00104
16,0.00029,0.0003,0.0003,0.00029,0.0003,0.00032,0.00033,0.00034,0.00036,0.00038,0.00042,0.00046,0.0005,0.00054,0.00058,0.00061,0.00065,0.0007,0.00076,0.00082,0.00087,0.00092,0.00098,0.00104,0.0011
17,0.0003,0.00029,0.00029,0.00029,0.0003,0.00032,0.00033,0.00035,0.00037,0.00041,0.00045,0.00048,0.00053,0.00057,0.00061,0.00065,0.0007,0.00076,0.00082,0.00087,0.00092,0.00098,0.00104,0.0011,0.00118
18,0.00028,0.00028,0.00028,0.00029,0.0003,0.00032,0.00033,0.00036,0.0004,0.00043,0.00048,0.00052,0.00057,0.00061,0.00065,0.0007,0.00076,0.00082,0.00087,0.00092,0.00098,0.00104,0.0011,0.00118,0.00126
19,0.00026,0.00027,0.00028,0.00029,0.0003,0.00032,0.00035,0.00038,0.00042,0.00046,0.00051,0.00056,0.00061,0.00065,0.0007,0.00076,0.00082,0.00087,0.00092,0.00098,0.00104,0.0011,0.00118,0.00126,0.00136
20,0.00024,0.00025,0.00027,0.00028,0.00029,0.00033,0.00037,0.0004,0.00045,0.00049,0.00054,0.0006,0.00065,0.0007,0.00075,0.00082,0.00086,0.00092,0.00098,0.00104,0.0011,0.00118,0.00126,0.00136,0.00149
21,0.00021,0.00023,0.00026,0.00028,0.00031,0.00035,0.00039,0.00043,0.00048,0.00052,0.00058,0.00063,0.00068,0.00074,0.00079,0.00086,0.00091,0.00098,0.00104,0.0011,0.00118,0.00126,0.00136,0.00149,0.00164
22,0.00019,0.00022,0.00026,0.00028,0.00032,0.00036,0.00041,0.00046,0.00051,0.00056,0.00061,0.00067,0.00072,0.00078,0.00084,0.0009,0.00096,0.00103,0.0011,0.00118,0.00126,0.00136,0.00149,0.00164,0.00182
23,0.00017,0.00021,0.00025,0.00028,0.00033,0.00038,0.00043,0.00048,0.00054,0.00059,0.00065,0.00071,0.00076,0.00082,0.00088,0.00095,0.001,0.00108,0.00117,0.00126,0.00136,0.00149,0.00164,0.00182,0.00203
24,0.00016,0.00021,0.00025,0.00029,0.00034,0.0004,0.00046,0.00051,0.00057,0.00062,0.00068,0.00074,0.0008,0.00086,0.00092,0.00099,0.00106,0.00115,0.00125,0.00136,0.00149,0.00164,0.00182,0.00202,0.00226
25,0.00015,0.00021,0.00025,0.00031,0.00035,0.00042,0.00048,0.00053,0.0006,0.00065,0.00071,0.00076,0.00084,0.00089,0.00097,0.00105,0.00114,0.00123,0.00135,0.00149,0.00164,0.00181,0.00202,0.00225,0.00252
26,0.00015,0.00021,0.00026,0.00032,0.00037,0.00044,0.00049,0.00055,0.00062,0.00068,0.00074,0.00079,0.00087,0.00094,0.00102,0.00112,0.00122,0.00133,0.00148,0.00164,0.00181,0.00202,0.00225,0.00251,0.00281
27,0.00017,0.00021,0.00027,0.00033,0.00039,0.00045,0.00051,0.00057,0.00063,0.00069,0.00076,0.00083,0.00091,0.00099,0.00108,0.0012,0.00131,0.00146,0.00162,0.0018,0.00202,0.00225,0.00251,0.00281,0.00314
28,0.00018,0.00023,0.00029,0.00034,0.0004,0.00047,0.00053,0.0006,0.00065,0.00072,0.00079,0.00087,0.00096,0.00105,0.00117,0.0013,0.00144,0.00161,0.00179,0.002,0.00225,0.00251,0.00281,0.00314,0.00351
29,0.00019,0.00025,0.0003,0.00036,0.00041,0.00048,0.00054,0.00061,0.00067,0.00075,0.00083,0.00092,0.00101,0.00113,0.00127,0.00142,0.00159,0.00178,0.00199,0.00223,0.00251,0.00281,0.00314,0.0035,0.00389
30,0.00021,0.00027,0.00031,0.00038,0.00043,0.00049,0.00056,0.00062,0.00069,0.00079,0.00088,0.00098,0.0011,0.00124,0.00139,0.00157,0.00176,0.00198,0.00222,0.00249,0.0028,0.00314,0.00349,0.00389,0.00429
31,0.00022,0.00028,0.00033,0.00039,0.00045,0.00051,0.00058,0.00065,0.00073,0.00084,0.00094,0.00106,0.00121,0.00136,0.00154,0.00174,0.00196,0.00221,0.00248,0.00277,0.00312,0.00349,0.00388,0.00429,0.00474
32,0.00024,0.00028,0.00034,0.0004,0.00047,0.00054,0.00062,0.0007,0.00079,0.00091,0.00103,0.00117,0.00134,0.00151,0.00171,0.00194,0.00219,0.00246,0.00275,0.00308,0.00346,0.00386,0.00429,0.00474,0.00524
33,0.00025,0.00029,0.00035,0.00042,0.00049,0.00057,0.00066,0.00076,0.00086,0.00099,0.00114,0.0013,0.00149,0.00168,0.0019,0.00216,0.00244,0.00274,0.00306,0.00343,0.00384,0.00426,0.00473,0.00522,0.00575
34,0.00025,0.00029,0.00035,0.00044,0.00051,0.00061,0.00071,0.00084,0.00095,0.0011,0.00126,0.00145,0.00166,0.00188,0.00213,0.00241,0.00272,0.00305,0.00341,0.0038,0.00424,0.0047,0.0052,0.00573,0.00628
35,0.00025,0.00031,0.00037,0.00046,0.00055,0.00066,0.00078,0.00092,0.00106,0.00123,0.00141,0.00162,0.00185,0.0021,0.00238,0.00268,0.00303,0.00339,0.00378,0.0042,0.00468,0.00519,0.00571,0.00628,0.00685
36,0.00025,0.00032,0.00039,0.00049,0.00059,0.00072,0.00086,0.00101,0.00118,0.00137,0.00157,0.00181,0.00207,0.00234,0.00266,0.00299,0.00337,0.00377,0.0042,0.00465,0.00516,0.00571,0.00627,0.00685,0.00745
37,0.00025,0.00033,0.00041,0.00052,0.00065,0.00079,0.00095,0.00112,0.00131,0.00152,0.00175,0.00201,0.0023,0.0026,0.00295,0.00332,0.00373,0.00417,0.00464,0.00514,0.00568,0.00626,0.00685,0.00745,0.00811
38,0.00026,0.00035,0.00045,0.00058,0.00071,0.00086,0.00105,0.00124,0.00145,0.00169,0.00195,0.00223,0.00255,0.00289,0.00326,0.00368,0.00413,0.00461,0.00512,0.00566,0.00624,0.00684,0.00745,0.00811,0.0088
39,0.00028,0.00038,0.0005,0.00064,0.00079,0.00096,0.00116,0.00138,0.00161,0.00187,0.00216,0.00247,0.00283,0.00321,0.00361,0.00407,0.00456,0.00508,0.00563,0.00622,0.00683,0.00745,0.00811,0.0088,0.00953
40,0.00032,0.00043,0.00056,0.00071,0.00088,0.00107,0.00128,0.00152,0.00178,0.00207,0.00239,0.00274,0.00313,0.00355,0.00399,0.0045,0.00503,0.00559,0.00619,0.00682,0.00745,0.00811,0.0088,0.00953,0.01034
41,0.00035,0.00049,0.00063,0.00079,0.00098,0.00119,0.00143,0.00168,0.00197,0.00229,0.00264,0.00303,0.00345,0.00391,0.00441,0.00495,0.00553,0.00615,0.0068,0.00745,0.00811,0.0088,0.00953,0.01034,0.01123
42,0.0004,0.00055,0.00071,0.00089,0.00111,0.00133,0.0016,0.00188,0.00219,0.00253,0.00291,0.00334,0.0038,0.00431,0.00486,0.00545,0.00608,0.00676,0.00744,0.00811,0.0088,0.00953,0.01034,0.01123,0.01221
43,0.00046,0.00062,0.00081,0.00102,0.00125,0.0015,0.00178,0.00209,0.00243,0.0028,0.00323,0.00367,0.00418,0.00474,0.00535,0.00599,0.00668,0.00742,0.00811,0.0088,0.00953,0.01034,0.01123,0.01221,0.0133
44,0.00052,0.0007,0.00092,0.00115,0.0014,0.00168,0.00198,0.00232,0.00269,0.0031,0.00355,0.00404,0.0046,0.00521,0.00586,0.00656,0.00733,0.0081,0.0088,0.00953,0.01034,0.01123,0.01221,0.0133,0.0145
45,0.00058,0.00079,0.00103,0.00129,0.00157,0.00188,0.00221,0.00258,0.00298,0.00342,0.0039,0.00445,0.00504,0.0057,0.00641,0.00718,0.008,0.0088,0.00953,0.01034,0.01123,0.01221,0.0133,0.0145,0.01583
46,0.00065,0.00089,0.00116,0.00143,0.00174,0.00208,0.00245,0.00284,0.00327,0.00375,0.00428,0.00487,0.00551,0.00621,0.00699,0.00782,0.00871,0.00953,0.01034,0.01123,0.01221,0.0133,0.0145,0.01583,0.01734
47,0.00073,0.00099,0.00128,0.00158,0.00192,0.00228,0.00268,0.00311,0.00358,0.0041,0.00467,0.0053,0.006,0.00676,0.00761,0.00851,0.00948,0.01034,0.01123,0.01221,0.0133,0.0145,0.01583,0.01734,0.01905
48,0.00079,0.00106,0.0014,0.00173,0.00209,0.00248,0.0029,0.00337,0.00388,0.00445,0.00507,0.00576,0.00651,0.00735,0.00827,0.00925,0.01032,0.01123,0.01221,0.0133,0.0145,0.01583,0.01734,0.01905,0.02093
49,0.00082,0.00115,0.00152,0.00186,0.00225,0.00266,0.00312,0.00362,0.00417,0.00479,0.00547,0.00622,0.00704,0.00796,0.00896,0.01005,0.01122,0.01221,0.0133,0.0145,0.01583,0.01734,0.01905,0.02093,0.02298
50,0.00086,0.00128,0.00165,0.002,0.00241,0.00284,0.00333,0.00388,0.00447,0.00514,0.00588,0.00669,0.00759,0.0086,0.0097,0.0109,0.0122,0.0133,0.0145,0.01583,0.01734,0.01905,0.02093,0.02298,0.02525
51,0.00091,0.00144,0.00179,0.00215,0.00257,0.00303,0.00354,0.00412,0.00477,0.0055,0.0063,0.00719,0.00818,0.00929,0.01051,0.01183,0.01328,0.0145,0.01583,0.01734,0.01905,0.02093,0.02298,0.02525,0.02768
52,0.00095,0.00157,0.00193,0.0023,0.00272,0.0032,0.00374,0.00437,0.00507,0.00587,0.00674,0.00772,0.00881,0.01003,0.01139,0.01286,0.01449,0.01583,0.01734,0.01905,0.02093,0.02298,0.02525,0.02768,0.03027
53,0.001,0.00169,0.00208,0.00244,0.00288,0.00338,0.00396,0.00463,0.00538,0.00625,0.00721,0.0083,0.00951,0.01086,0.01237,0.01402,0.01583,0.01734,0.01905,0.02093,0.02298,0.02525,0.02768,0.03027,0.0331
54,0.00106,0.00181,0.00224,0.0026,0.00305,0.00358,0.0042,0.00491,0.00573,0.00667,0.00773,0.00894,0.01029,0.01179,0.01348,0.01534,0.01734,0.01905,0.02093,0.02298,0.02525,0.02768,0.03027,0.0331,0.03618
55,0.00115,0.00194,0.00242,0.0028,0.00327,0.00382,0.00448,0.00525,0.00614,0.00717,0.00834,0.00967,0.01117,0.01287,0.01474,0.01684,0.01905,0.02093,0.02298,0.02525,0.02768,0.03027,0.0331,0.03618,0.03954
56,0.00124,0.00209,0.00263,0.00303,0.00353,0.00412,0.00482,0.00566,0.00663,0.00775,0.00904,0.01051,0.01218,0.01408,0.01618,0.01853,0.02093,0.02298,0.02525,0.02768,0.03027,0.0331,0.03618,0.03954,0.04376
57,0.00129,0.00224,0.00285,0.00328,0.00382,0.00446,0.00523,0.00615,0.00721,0.00844,0.00986,0.01148,0.01333,0.01545,0.0178,0.02044,0.02298,0.02525,0.02768,0.03027,0.0331,0.03618,0.03954,0.04376,0.04898
58,0.00137,0.00239,0.00308,0.00355,0.00414,0.00485,0.0057,0.00671,0.00788,0.00925,0.01081,0.01261,0.01466,0.017,0.01963,0.02259,0.02525,0.02768,0.03027,0.0331,0.03618,0.03954,0.04376,0.04898,0.05446
59,0.00146,0.00253,0.00333,0.00384,0.00448,0.00528,0.00622,0.00734,0.00865,0.01016,0.0119,0.01389,0.01618,0.01878,0.02171,0.02499,0.02768,0.03027,0.0331,0.03618,0.03954,0.04376,0.04898,0.05446,0.06013
60,0.00153,0.00268,0.00357,0.00413,0.00484,0.00573,0.00679,0.00804,0.00951,0.01119,0.01315,0.01535,0.01792,0.02081,0.02407,0.02759,0.03027,0.0331,0.03618,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642
61,0.00163,0.00283,0.0038,0.00442,0.00521,0.00619,0.00738,0.00878,0.01044,0.01234,0.01454,0.01704,0.0199,0.02314,0.02677,0.03027,0.0331,0.03618,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268
62,0.00179,0.003,0.00403,0.00469,0.00556,0.00666,0.008,0.00958,0.01145,0.01361,0.0161,0.01894,0.02215,0.02578,0.02985,0.0331,0.03618,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797
63,0.002,0.00351,0.00427,0.00497,0.00592,0.00714,0.00865,0.01044,0.01256,0.01501,0.01783,0.02106,0.02468,0.02875,0.03304,0.03618,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876
64,0.00226,0.00407,0.00451,0.00525,0.00629,0.00765,0.00934,0.01138,0.01378,0.01655,0.01977,0.02342,0.0275,0.03208,0.03618,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876,0.09524
65,0.00247,0.00434,0.00478,0.00557,0.00672,0.00823,0.01014,0.01244,0.01517,0.01832,0.02195,0.02608,0.03067,0.03581,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876,0.09524,0.10319
66,0.00257,0.00465,0.00509,0.00594,0.00722,0.00891,0.01107,0.01367,0.01676,0.02035,0.02444,0.02909,0.03431,0.03954,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876,0.09524,0.10319,0.11142
67,0.00278,0.00499,0.00545,0.00639,0.00782,0.00973,0.01217,0.01511,0.0186,0.02266,0.02729,0.03251,0.03838,0.04376,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876,0.09524,0.10319,0.11142,0.11994
68,0.00315,0.00536,0.00589,0.00695,0.00856,0.01072,0.01347,0.01681,0.02075,0.02531,0.03051,0.03638,0.04292,0.04898,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876,0.09524,0.10319,0.11142,0.11994,0.12861
69,0.00355,0.00578,0.00641,0.00762,0.00946,0.01192,0.01502,0.0188,0.02324,0.02835,0.03417,0.04072,0.048,0.05446,0.06013,0.06642,0.07268,0.0797,0.0876,0.09519,0.10314,0.11136,0.11988,0.12861,0.13741
70,0.00403,0.00625,0.00702,0.00845,0.01057,0.01336,0.01688,0.02113,0.02611,0.03185,0.03832,0.0456,0.05369,0.06013,0.06628,0.07268,0.07958,0.08756,0.09519,0.10308,0.11131,0.11975,0.12848,0.13741,0.14817
71,0.0054,0.00677,0.00775,0.00944,0.0119,0.0151,0.01907,0.02385,0.02943,0.03583,0.04303,0.05108,0.05989,0.06593,0.07253,0.07949,0.08733,0.09514,0.10308,0.11131,0.11975,0.12841,0.13728,0.14809,0.162
72,0.00677,0.00738,0.00861,0.01063,0.01348,0.01714,0.02164,0.02699,0.03322,0.04035,0.04833,0.05721,0.06561,0.07215,0.07937,0.08719,0.09504,0.10308,0.11131,0.11975,0.12841,0.13728,0.14802,0.16183,0.17754
73,0.00736,0.00812,0.00966,0.01207,0.01536,0.01953,0.02461,0.03061,0.03755,0.04544,0.05425,0.0639,0.07166,0.07924,0.08702,0.09494,0.10304,0.11131,0.11969,0.12834,0.13721,0.14795,0.16183,0.17745,0.19456
74,0.00801,0.00903,0.01095,0.0138,0.01759,0.02233,0.02805,0.03476,0.04247,0.05118,0.06076,0.07111,0.07899,0.08684,0.0949,0.10298,0.11125,0.11969,0.12827,0.13714,0.14787,0.16175,0.17745,0.19456,0.21321
75,0.00878,0.01016,0.01251,0.01585,0.02019,0.02555,0.03193,0.03938,0.04789,0.05738,0.06763,0.07867,0.0867,0.09485,0.10298,0.1112,0.11969,0.12827,0.13707,0.14787,0.16168,0.17736,0.19447,0.21321,0.23362
76,0.00982,0.0116,0.01441,0.01828,0.02321,0.0292,0.0363,0.0445,0.05373,0.06391,0.07484,0.0865,0.09475,0.10298,0.1112,0.11963,0.12821,0.13707,0.14772,0.16168,0.17727,0.19437,0.2131,0.23362,0.25598
77,0.01123,0.01344,0.01675,0.02118,0.02673,0.03338,0.04122,0.05017,0.06005,0.07094,0.08246,0.09469,0.10293,0.1112,0.11957,0.12821,0.13693,0.14772,0.16151,0.17727,0.19437,0.2131,0.23351,0.25598,0.28032
78,0.01234,0.01579,0.01963,0.02463,0.03081,0.03819,0.04674,0.05633,0.06688,0.07835,0.09043,0.10288,0.11114,0.11957,0.12808,0.13693,0.14757,0.16151,0.17709,0.19437,0.2131,0.23351,0.25585,0.28032,0.30681
79,0.0134,0.01874,0.02311,0.02872,0.03554,0.0436,0.0528,0.06299,0.07415,0.08613,0.09868,0.11103,0.11945,0.12802,0.13672,0.14757,0.16135,0.17709,0.19417,0.21301,0.23351,0.25585,0.28032,0.30654,0.33601
80,0.01506,0.02237,0.02728,0.03348,0.04096,0.04958,0.05936,0.07012,0.0818,0.09425,0.10712,0.11938,0.12795,0.13665,0.14735,0.16135,0.177,0.19417,0.21289,0.23339,0.25585,0.28032,0.30641,0.33563,0.36802
81,0.01696,0.02678,0.03221,0.03897,0.04698,0.05615,0.06642,0.07767,0.08977,0.10259,0.11571,0.12789,0.13658,0.14735,0.16127,0.17692,0.19417,0.21289,0.23339,0.25585,0.28032,0.30614,0.33544,0.36802,0.40134
82,0.01896,0.03202,0.03795,0.04517,0.05363,0.06327,0.07393,0.08557,0.09799,0.11104,0.12426,0.13651,0.14719,0.16118,0.17692,0.19407,0.21289,0.23339,0.25585,0.28032,0.30587,0.33506,0.36802,0.40134,0.43542
83,0.02239,0.03791,0.04448,0.05207,0.06089,0.0709,0.08188,0.09379,0.10635,0.11942,0.13257,0.14719,0.1611,0.17682,0.19398,0.21289,0.23339,0.25573,0.28032,0.3056,0.33469,0.36802,0.40134,0.43542,0.47002
84,0.02731,0.04443,0.05177,0.05962,0.06872,0.07893,0.09015,0.10219,0.11473,0.12764,0.14242,0.16044,0.17674,0.19398,0.21268,0.23339,0.25573,0.28017,0.30547,0.33431,0.36802,0.40134,0.43542,0.47002,0.5052
85,0.03438,0.05172,0.05958,0.06779,0.07703,0.08736,0.09864,0.1106,0.12299,0.13745,0.15499,0.17443,0.19388,0.21268,0.23315,0.25573,0.28017,0.3052,0.33412,0.36802,0.40134,0.43542,0.47002,0.5052,0.54149
86,0.04222,0.05951,0.06775,0.07654,0.08575,0.09605,0.10723,0.11892,0.13275,0.14984,0.16874,0.1892,0.21112,0.2327,0.25559,0.28017,0.30493,0.33375,0.36802,0.40118,0.43525,0.47002,0.5052,0.54149,0.57784
87,0.05096,0.06772,0.07646,0.08559,0.09481,0.10486,0.11571,0.12873,0.14503,0.16338,0.18315,0.20466,0.22759,0.25214,0.27776,0.30477,0.33074,0.36483,0.39795,0.43189,0.46713,0.5033,0.54052,0.57784,0.61295
88,0.0628,0.07646,0.08555,0.09472,0.10399,0.11366,0.12567,0.14102,0.15848,0.17762,0.19831,0.22074,0.24477,0.2705,0.29792,0.32691,0.35738,0.38947,0.42318,0.4585,0.49541,0.5339,0.57395,0.61295,0.64651
89,0.07499,0.08555,0.09472,0.10394,0.1131,0.12395,0.13814,0.15446,0.1727,0.1926,0.21424,0.23757,0.26269,0.2896,0.31817,0.34831,0.38017,0.41373,0.449,0.48596,0.52458,0.56484,0.60674,0.64651,0.68104
90,0.08555,0.09472,0.10394,0.1131,0.12369,0.13668,0.1518,0.1687,0.18761,0.20836,0.2308,0.25513,0.28124,0.30933,0.33898,0.37044,0.40372,0.43878,0.47564,0.51425,0.55462,0.5967,0.64049,0.68094,0.72372
91,0.09472,0.10394,0.1131,0.12369,0.13661,0.15054,0.16621,0.18374,0.20319,0.22476,0.24811,0.27332,0.30047,0.32961,0.36051,0.39331,0.42802,0.46461,0.50307,0.54339,0.58553,0.62947,0.67519,0.72263,0.76443
92,0.10394,0.1131,0.12369,0.13661,0.15054,0.16525,0.18136,0.19949,0.21964,0.24191,0.26604,0.29221,0.32047,0.35061,0.38277,0.41693,0.45309,0.49123,0.53132,0.57336,0.61731,0.66314,0.71082,0.76029,0.80687
93,0.1131,0.12369,0.13661,0.15054,0.16525,0.18081,0.1973,0.21592,0.23687,0.2597,0.28466,0.31185,0.34102,0.37232,0.40575,0.44128,0.47891,0.51862,0.56037,0.60417,0.64996,0.69771,0.74737,0.79889,0.8518
94,0.12369,0.13661,0.15054,0.16525,0.18081,0.19715,0.21406,0.23312,0.25463,0.27818,0.30405,0.33204,0.36227,0.39474,0.42945,0.46636,0.50548,0.54678,0.59022,0.63579,0.68345,0.73314,0.78483,0.83844,0.89387
95,0.13661,0.15054,0.16525,0.18081,0.19715,0.21406,0.23152,0.25109,0.27311,0.29743,0.32399,0.35293,0.38422,0.41787,0.45386,0.49218,0.5328,0.57571,0.62086,0.66824,0.71779,0.76946,0.82319,0.87889,0.93776
96,0.15054,0.16525,0.18081,0.19715,0.21406,0.23152,0.24976,0.26985,0.29237,0.31725,0.34463,0.37451,0.40687,0.44171,0.479,0.51873,0.56087,0.6054,0.65229,0.70149,0.75296,0.80663,0.86241,0.92323,1
97,0.16525,0.18081,0.19715,0.21406,0.23152,0.24976,0.26881,0.28925,0.31219,0.33777,0.36598,0.3968,0.43023,0.46625,0.50485,0.546,0.58968,0.63586,0.6845,0.73555,0.78895,0.84463,0.90792,1,
98,0.18081,0.19715,0.21406,0.23152,0.24976,0.26881,0.28852,0.30925,0.33274,0.359,0.38802,0.41978,0.45428,0.4915,0.53141,0.574,0.61923,0.66707,0.71748,0.77039,0.82575,0.89208,1,,
