Table Name:,"1986-92 CIA - Female, ANB",,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",80,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00069,0.00042,0.00027,0.00019,0.00015,0.00014,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021
1,0.00042,0.00027,0.00019,0.00015,0.00014,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026
2,0.00027,0.00019,0.00015,0.00014,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00029
3,0.00019,0.00015,0.00014,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00029,0.00031
4,0.00015,0.00014,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00029,0.00031,0.00033
5,0.00014,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00029,0.00031,0.00033,0.00035
6,0.00014,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00029,0.00031,0.00033,0.00035,0.00037
7,0.00013,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00028,0.00030,0.00032,0.00034,0.00036,0.00037
8,0.00011,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00028,0.00030,0.00032,0.00034,0.00036,0.00036,0.00036
9,0.00010,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00028,0.00030,0.00032,0.00033,0.00035,0.00035,0.00036,0.00035
10,0.00010,0.00010,0.00012,0.00016,0.00021,0.00026,0.00028,0.00030,0.00031,0.00033,0.00034,0.00035,0.00035,0.00034,0.00033
11,0.00010,0.00012,0.00016,0.00021,0.00026,0.00028,0.00030,0.00031,0.00032,0.00033,0.00034,0.00034,0.00033,0.00032,0.00032
12,0.00012,0.00016,0.00021,0.00026,0.00028,0.00030,0.00031,0.00032,0.00033,0.00033,0.00033,0.00032,0.00031,0.00031,0.00034
13,0.00016,0.00021,0.00026,0.00028,0.00029,0.00030,0.00031,0.00032,0.00032,0.00032,0.00031,0.00030,0.00030,0.00033,0.00039
14,0.00021,0.00026,0.00028,0.00029,0.00030,0.00030,0.00031,0.00031,0.00031,0.00030,0.00029,0.00029,0.00032,0.00038,0.00045
15,0.00026,0.00028,0.00029,0.00030,0.00030,0.00030,0.00030,0.00030,0.00029,0.00028,0.00028,0.00031,0.00037,0.00044,0.00050
16,0.00028,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00028,0.00027,0.00027,0.00030,0.00036,0.00042,0.00049,0.00054
17,0.00028,0.00028,0.00028,0.00028,0.00028,0.00027,0.00027,0.00026,0.00026,0.00029,0.00034,0.00041,0.00047,0.00053,0.00057
18,0.00027,0.00027,0.00027,0.00026,0.00026,0.00025,0.00025,0.00025,0.00028,0.00033,0.00040,0.00046,0.00051,0.00055,0.00059
19,0.00025,0.00026,0.00025,0.00025,0.00024,0.00024,0.00024,0.00027,0.00032,0.00038,0.00044,0.00049,0.00054,0.00057,0.00062
20,0.00023,0.00023,0.00023,0.00023,0.00022,0.00023,0.00026,0.00031,0.00037,0.00043,0.00048,0.00052,0.00055,0.00060,0.00066
21,0.00020,0.00021,0.00021,0.00021,0.00022,0.00024,0.00029,0.00035,0.00041,0.00046,0.00050,0.00053,0.00058,0.00064,0.00070
22,0.00018,0.00019,0.00019,0.00020,0.00023,0.00028,0.00034,0.00039,0.00044,0.00048,0.00052,0.00056,0.00062,0.00068,0.00075
23,0.00015,0.00017,0.00019,0.00021,0.00026,0.00032,0.00038,0.00042,0.00046,0.00050,0.00054,0.00060,0.00066,0.00073,0.00081
24,0.00014,0.00017,0.00020,0.00024,0.00030,0.00036,0.00040,0.00044,0.00048,0.00052,0.00058,0.00064,0.00071,0.00079,0.00090
25,0.00013,0.00018,0.00022,0.00028,0.00033,0.00038,0.00042,0.00046,0.00050,0.00056,0.00062,0.00069,0.00077,0.00087,0.00101
26,0.00014,0.00020,0.00026,0.00031,0.00036,0.00040,0.00044,0.00048,0.00054,0.00060,0.00066,0.00074,0.00085,0.00098,0.00114
27,0.00016,0.00023,0.00029,0.00033,0.00038,0.00041,0.00046,0.00051,0.00057,0.00064,0.00072,0.00082,0.00095,0.00111,0.00126
28,0.00018,0.00025,0.00031,0.00035,0.00039,0.00043,0.00049,0.00055,0.00061,0.00069,0.00079,0.00092,0.00107,0.00123,0.00137
29,0.00020,0.00027,0.00032,0.00036,0.00041,0.00046,0.00052,0.00059,0.00066,0.00076,0.00089,0.00104,0.00119,0.00133,0.00149
30,0.00021,0.00029,0.00033,0.00038,0.00043,0.00049,0.00056,0.00063,0.00073,0.00086,0.00100,0.00115,0.00129,0.00144,0.00163
31,0.00022,0.00029,0.00035,0.00040,0.00046,0.00053,0.00060,0.00070,0.00082,0.00096,0.00111,0.00125,0.00140,0.00158,0.00175
32,0.00023,0.00031,0.00037,0.00043,0.00049,0.00057,0.00066,0.00079,0.00092,0.00107,0.00120,0.00135,0.00153,0.00170,0.00188
33,0.00024,0.00033,0.00039,0.00046,0.00053,0.00063,0.00075,0.00088,0.00102,0.00116,0.00130,0.00148,0.00164,0.00183,0.00203
34,0.00025,0.00035,0.00042,0.00050,0.00059,0.00071,0.00084,0.00098,0.00111,0.00125,0.00143,0.00159,0.00177,0.00197,0.00219
35,0.00027,0.00037,0.00045,0.00055,0.00066,0.00079,0.00093,0.00106,0.00120,0.00137,0.00153,0.00171,0.00191,0.00213,0.00237
36,0.00028,0.00040,0.00050,0.00062,0.00074,0.00088,0.00101,0.00115,0.00131,0.00147,0.00165,0.00184,0.00206,0.00230,0.00256
37,0.00031,0.00044,0.00056,0.00069,0.00083,0.00095,0.00109,0.00126,0.00141,0.00159,0.00178,0.00199,0.00222,0.00248,0.00277
38,0.00034,0.00050,0.00063,0.00077,0.00089,0.00103,0.00119,0.00135,0.00152,0.00171,0.00192,0.00215,0.00240,0.00269,0.00301
39,0.00038,0.00056,0.00070,0.00083,0.00097,0.00113,0.00128,0.00145,0.00164,0.00184,0.00207,0.00232,0.00260,0.00292,0.00327
40,0.00042,0.00061,0.00075,0.00090,0.00106,0.00121,0.00138,0.00156,0.00177,0.00199,0.00224,0.00252,0.00282,0.00317,0.00355
41,0.00047,0.00066,0.00082,0.00098,0.00113,0.00130,0.00148,0.00169,0.00191,0.00215,0.00242,0.00273,0.00307,0.00345,0.00387
42,0.00050,0.00072,0.00089,0.00105,0.00122,0.00140,0.00160,0.00182,0.00206,0.00233,0.00263,0.00296,0.00334,0.00375,0.00422
43,0.00054,0.00078,0.00095,0.00113,0.00131,0.00151,0.00173,0.00197,0.00223,0.00253,0.00285,0.00322,0.00363,0.00409,0.00461
44,0.00059,0.00084,0.00103,0.00121,0.00141,0.00163,0.00187,0.00213,0.00242,0.00274,0.00310,0.00351,0.00396,0.00447,0.00504
45,0.00063,0.00090,0.00110,0.00131,0.00152,0.00176,0.00202,0.00231,0.00263,0.00298,0.00338,0.00382,0.00433,0.00489,0.00552
46,0.00068,0.00097,0.00119,0.00141,0.00165,0.00190,0.00219,0.00250,0.00285,0.00325,0.00368,0.00418,0.00473,0.00535,0.00605
47,0.00073,0.00104,0.00128,0.00152,0.00178,0.00206,0.00237,0.00272,0.00311,0.00354,0.00402,0.00457,0.00518,0.00587,0.00665
48,0.00078,0.00112,0.00138,0.00164,0.00193,0.00224,0.00258,0.00296,0.00339,0.00386,0.00440,0.00500,0.00568,0.00644,0.00730
49,0.00084,0.00121,0.00149,0.00178,0.00209,0.00243,0.00281,0.00323,0.00369,0.00422,0.00481,0.00548,0.00623,0.00708,0.00803
50,0.00090,0.00130,0.00161,0.00193,0.00227,0.00264,0.00306,0.00352,0.00404,0.00462,0.00527,0.00601,0.00684,0.00778,0.00885
51,0.00097,0.00141,0.00175,0.00209,0.00247,0.00288,0.00334,0.00385,0.00442,0.00506,0.00579,0.00660,0.00753,0.00857,0.00975
52,0.00105,0.00153,0.00190,0.00228,0.00269,0.00314,0.00364,0.00421,0.00484,0.00555,0.00635,0.00726,0.00829,0.00945,0.01076
53,0.00113,0.00165,0.00206,0.00248,0.00293,0.00343,0.00399,0.00461,0.00531,0.00610,0.00699,0.00799,0.00913,0.01042,0.01188
54,0.00122,0.00180,0.00224,0.00270,0.00320,0.00375,0.00437,0.00505,0.00583,0.00670,0.00769,0.00881,0.01008,0.01151,0.01314
55,0.00132,0.00195,0.00244,0.00295,0.00350,0.00411,0.00479,0.00555,0.00641,0.00738,0.00848,0.00972,0.01113,0.01272,0.01453
56,0.00144,0.00212,0.00266,0.00322,0.00383,0.00450,0.00525,0.00610,0.00705,0.00813,0.00935,0.01073,0.01229,0.01407,0.01608
57,0.00156,0.00232,0.00291,0.00352,0.00420,0.00494,0.00577,0.00671,0.00777,0.00896,0.01032,0.01185,0.01360,0.01557,0.01781
58,0.00169,0.00253,0.00318,0.00386,0.00460,0.00543,0.00635,0.00739,0.00857,0.00989,0.01140,0.01311,0.01505,0.01725,0.01974
59,0.00184,0.00276,0.00348,0.00423,0.00505,0.00597,0.00699,0.00815,0.00945,0.01093,0.01260,0.01450,0.01667,0.01912,0.02189
60,0.00201,0.00302,0.00381,0.00465,0.00556,0.00657,0.00771,0.00899,0.01044,0.01208,0.01395,0.01607,0.01847,0.02120,0.02429
61,0.00219,0.00331,0.00418,0.00511,0.00612,0.00724,0.00850,0.00993,0.01154,0.01337,0.01545,0.01781,0.02048,0.02352,0.02695
62,0.00240,0.00363,0.00460,0.00562,0.00674,0.00798,0.00939,0.01097,0.01276,0.01480,0.01712,0.01975,0.02272,0.02610,0.02993
63,0.00262,0.00398,0.00505,0.00618,0.00743,0.00881,0.01037,0.01213,0.01414,0.01641,0.01898,0.02191,0.02522,0.02898,0.03323
64,0.00287,0.00437,0.00556,0.00682,0.00819,0.00973,0.01146,0.01344,0.01567,0.01819,0.02106,0.02431,0.02800,0.03218,0.03692
65,0.00314,0.00481,0.00612,0.00752,0.00905,0.01076,0.01270,0.01489,0.01737,0.02018,0.02337,0.02699,0.03109,0.03574,0.04102
66,0.00345,0.00529,0.00675,0.00830,0.01000,0.01192,0.01407,0.01651,0.01927,0.02240,0.02595,0.02997,0.03454,0.03971,0.04557
67,0.00378,0.00582,0.00745,0.00916,0.01107,0.01321,0.01561,0.01832,0.02139,0.02487,0.02882,0.03330,0.03837,0.04413,0.05064
68,0.00416,0.00642,0.00822,0.01015,0.01227,0.01464,0.01731,0.02033,0.02375,0.02762,0.03201,0.03699,0.04264,0.04904,0.05628
69,0.00457,0.00708,0.00910,0.01125,0.01361,0.01625,0.01922,0.02257,0.02637,0.03068,0.03557,0.04111,0.04738,0.05449,0.06253
70,0.00503,0.00784,0.01009,0.01247,0.01510,0.01803,0.02133,0.02507,0.02930,0.03409,0.03952,0.04568,0.05265,0.06055,0.06948
71,0.00557,0.00869,0.01119,0.01384,0.01676,0.02002,0.02369,0.02784,0.03255,0.03788,0.04392,0.05076,0.05850,0.06727,0.07717
72,0.00617,0.00964,0.01241,0.01536,0.01860,0.02223,0.02632,0.03094,0.03617,0.04209,0.04880,0.05640,0.06500,0.07472,0.08570
73,0.00684,0.01069,0.01378,0.01705,0.02066,0.02469,0.02924,0.03437,0.04019,0.04677,0.05423,0.06266,0.07220,0.08298,0.09515
74,0.00759,0.01186,0.01530,0.01894,0.02295,0.02744,0.03249,0.03820,0.04466,0.05197,0.06025,0.06961,0.08018,0.09212,0.10558
75,0.00843,0.01317,0.01699,0.02103,0.02550,0.03048,0.03610,0.04245,0.04962,0.05774,0.06692,0.07730,0.08902,0.10223,0.11711
76,0.00935,0.01463,0.01887,0.02337,0.02833,0.03388,0.04012,0.04717,0.05513,0.06414,0.07432,0.08582,0.09878,0.11339,0.12982
77,0.01039,0.01625,0.02096,0.02597,0.03148,0.03764,0.04458,0.05240,0.06124,0.07123,0.08251,0.09523,0.10957,0.12569,0.14380
78,0.01154,0.01805,0.02329,0.02886,0.03498,0.04183,0.04953,0.05821,0.06801,0.07908,0.09156,0.10563,0.12146,0.13924,0.15917
79,0.01282,0.02006,0.02589,0.03206,0.03887,0.04647,0.05502,0.06464,0.07550,0.08775,0.10155,0.11709,0.13454,0.15412,0.17603
80,0.01425,0.02229,0.02876,0.03563,0.04319,0.05162,0.06110,0.07176,0.08379,0.09733,0.11257,0.12970,0.14892,0.17044,0.19446

Table # ,2,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) - Female. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 105,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",105,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00026,,,,,,,,,,,,,,
16,0.00029,,,,,,,,,,,,,,
17,0.00031,,,,,,,,,,,,,,
18,0.00033,,,,,,,,,,,,,,
19,0.00036,,,,,,,,,,,,,,
20,0.00037,,,,,,,,,,,,,,
21,0.00038,,,,,,,,,,,,,,
22,0.00037,,,,,,,,,,,,,,
23,0.00036,,,,,,,,,,,,,,
24,0.00033,,,,,,,,,,,,,,
25,0.00033,,,,,,,,,,,,,,
26,0.00035,,,,,,,,,,,,,,
27,0.00040,,,,,,,,,,,,,,
28,0.00046,,,,,,,,,,,,,,
29,0.00052,,,,,,,,,,,,,,
30,0.00056,,,,,,,,,,,,,,
31,0.00058,,,,,,,,,,,,,,
32,0.00060,,,,,,,,,,,,,,
33,0.00063,,,,,,,,,,,,,,
34,0.00068,,,,,,,,,,,,,,
35,0.00072,,,,,,,,,,,,,,
36,0.00077,,,,,,,,,,,,,,
37,0.00084,,,,,,,,,,,,,,
38,0.00092,,,,,,,,,,,,,,
39,0.00104,,,,,,,,,,,,,,
40,0.00117,,,,,,,,,,,,,,
41,0.00130,,,,,,,,,,,,,,
42,0.00141,,,,,,,,,,,,,,
43,0.00153,,,,,,,,,,,,,,
44,0.00167,,,,,,,,,,,,,,
45,0.00180,,,,,,,,,,,,,,
46,0.00194,,,,,,,,,,,,,,
47,0.00209,,,,,,,,,,,,,,
48,0.00225,,,,,,,,,,,,,,
49,0.00244,,,,,,,,,,,,,,
50,0.00263,,,,,,,,,,,,,,
51,0.00285,,,,,,,,,,,,,,
52,0.00310,,,,,,,,,,,,,,
53,0.00336,,,,,,,,,,,,,,
54,0.00366,,,,,,,,,,,,,,
55,0.00399,,,,,,,,,,,,,,
56,0.00435,,,,,,,,,,,,,,
57,0.00475,,,,,,,,,,,,,,
58,0.00519,,,,,,,,,,,,,,
59,0.00569,,,,,,,,,,,,,,
60,0.00624,,,,,,,,,,,,,,
61,0.00685,,,,,,,,,,,,,,
62,0.00752,,,,,,,,,,,,,,
63,0.00828,,,,,,,,,,,,,,
64,0.00912,,,,,,,,,,,,,,
65,0.01005,,,,,,,,,,,,,,
66,0.01109,,,,,,,,,,,,,,
67,0.01225,,,,,,,,,,,,,,
68,0.01354,,,,,,,,,,,,,,
69,0.01498,,,,,,,,,,,,,,
70,0.01658,,,,,,,,,,,,,,
71,0.01836,,,,,,,,,,,,,,
72,0.02035,,,,,,,,,,,,,,
73,0.02257,,,,,,,,,,,,,,
74,0.02504,,,,,,,,,,,,,,
75,0.02779,,,,,,,,,,,,,,
76,0.03085,,,,,,,,,,,,,,
77,0.03426,,,,,,,,,,,,,,
78,0.03806,,,,,,,,,,,,,,
79,0.04228,,,,,,,,,,,,,,
80,0.04698,,,,,,,,,,,,,,
81,0.05221,,,,,,,,,,,,,,
82,0.05802,,,,,,,,,,,,,,
83,0.06447,,,,,,,,,,,,,,
84,0.07162,,,,,,,,,,,,,,
85,0.07956,,,,,,,,,,,,,,
86,0.08836,,,,,,,,,,,,,,
87,0.09809,,,,,,,,,,,,,,
88,0.10885,,,,,,,,,,,,,,
89,0.12073,,,,,,,,,,,,,,
90,0.13383,,,,,,,,,,,,,,
91,0.14825,,,,,,,,,,,,,,
92,0.16410,,,,,,,,,,,,,,
93,0.18147,,,,,,,,,,,,,,
94,0.20048,,,,,,,,,,,,,,
95,0.22122,,,,,,,,,,,,,,
96,0.24379,,,,,,,,,,,,,,
97,0.26828,,,,,,,,,,,,,,
98,0.29474,,,,,,,,,,,,,,
99,0.32322,,,,,,,,,,,,,,
100,0.35589,,,,,,,,,,,,,,
101,0.40346,,,,,,,,,,,,,,
102,0.47880,,,,,,,,,,,,,,
103,0.59476,,,,,,,,,,,,,,
104,0.76421,,,,,,,,,,,,,,
105,1.00000,,,,,,,,,,,,,,
