Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Residual Standard Female ANB,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00043,0.00044,0.00047,0.0005,0.00053,0.00056,0.00061,0.0007,0.00079,0.0009,0.00102,0.00114,0.00124,0.00129,0.00131,0.00132,0.00132
19,0.00042,0.00042,0.0004,0.0004,0.0004,0.0004,0.00039,0.00038,0.0004,0.00043,0.00046,0.00049,0.00051,0.00055,0.00062,0.00072,0.00085,0.00099,0.00112,0.00122,0.00129,0.00131,0.00132,0.00132,0.00133
20,0.00037,0.00035,0.00037,0.00038,0.00038,0.00036,0.00035,0.00036,0.00039,0.00043,0.00046,0.00048,0.0005,0.00055,0.00063,0.00076,0.00089,0.00103,0.00115,0.00125,0.00131,0.00132,0.00132,0.00133,0.00133
21,0.00029,0.00032,0.00035,0.00035,0.00034,0.00032,0.00033,0.00035,0.0004,0.00044,0.00046,0.00047,0.0005,0.00056,0.00067,0.0008,0.00092,0.00105,0.00117,0.00126,0.00132,0.00132,0.00133,0.00133,0.00134
22,0.00025,0.00031,0.00033,0.00031,0.0003,0.0003,0.00032,0.00036,0.00041,0.00044,0.00046,0.00047,0.00051,0.00059,0.00071,0.00084,0.00095,0.00106,0.00118,0.00127,0.00132,0.00133,0.00133,0.00134,0.00139
23,0.00022,0.00029,0.00029,0.00027,0.00027,0.00029,0.00033,0.00037,0.00042,0.00045,0.00046,0.00049,0.00055,0.00065,0.00077,0.00088,0.00097,0.00107,0.00118,0.00128,0.00133,0.00133,0.00134,0.00139,0.00144
24,0.0002,0.00025,0.00025,0.00024,0.00026,0.00029,0.00034,0.00038,0.00043,0.00046,0.00048,0.00052,0.0006,0.00071,0.00082,0.00091,0.00098,0.00107,0.00118,0.00128,0.00133,0.00134,0.00139,0.00144,0.00151
25,0.00017,0.00022,0.00022,0.00023,0.00026,0.0003,0.00034,0.00039,0.00044,0.00047,0.00051,0.00057,0.00066,0.00078,0.00087,0.00093,0.00099,0.00109,0.00119,0.00128,0.00134,0.00139,0.00144,0.00151,0.0016
26,0.00014,0.00019,0.00021,0.00023,0.00027,0.0003,0.00035,0.0004,0.00046,0.00051,0.00056,0.00063,0.00074,0.00084,0.00091,0.00096,0.00102,0.00112,0.00121,0.00131,0.00139,0.00144,0.00151,0.0016,0.00172
27,0.00012,0.00018,0.00021,0.00024,0.00027,0.00031,0.00036,0.00042,0.00049,0.00055,0.00062,0.00071,0.00081,0.0009,0.00095,0.00099,0.00105,0.00115,0.00125,0.00135,0.00144,0.00151,0.0016,0.00172,0.00186
28,0.00011,0.00018,0.00022,0.00024,0.00027,0.00031,0.00037,0.00045,0.00052,0.0006,0.00068,0.00077,0.00088,0.00094,0.00098,0.00102,0.00109,0.00119,0.0013,0.00141,0.00151,0.0016,0.00172,0.00186,0.00206
29,0.00011,0.00019,0.00022,0.00024,0.00027,0.00033,0.0004,0.00048,0.00056,0.00064,0.00073,0.00082,0.00091,0.00096,0.001,0.00106,0.00114,0.00124,0.00136,0.00148,0.0016,0.00172,0.00186,0.00206,0.0023
30,0.00011,0.00019,0.00022,0.00025,0.00029,0.00035,0.00043,0.00052,0.00061,0.00069,0.00077,0.00086,0.00094,0.00099,0.00104,0.00111,0.00122,0.00135,0.00147,0.00158,0.00172,0.00186,0.00206,0.0023,0.00257
31,0.00011,0.0002,0.00023,0.00026,0.00031,0.00039,0.00047,0.00054,0.00064,0.00072,0.0008,0.00088,0.00097,0.00103,0.00109,0.00119,0.00132,0.00144,0.00156,0.0017,0.00186,0.00206,0.0023,0.00257,0.00285
32,0.00011,0.0002,0.00025,0.00029,0.00035,0.00044,0.00051,0.00059,0.00067,0.00074,0.00082,0.00091,0.00101,0.00108,0.00117,0.00129,0.00142,0.00155,0.00168,0.00184,0.00206,0.0023,0.00257,0.00285,0.00311
33,0.00012,0.00021,0.00027,0.00033,0.0004,0.00048,0.00056,0.00064,0.00069,0.00076,0.00084,0.00094,0.00106,0.00116,0.00127,0.00139,0.00154,0.00167,0.00183,0.00204,0.0023,0.00257,0.00285,0.00311,0.00337
34,0.00012,0.00022,0.0003,0.00037,0.00046,0.00052,0.00061,0.00067,0.00072,0.00078,0.00087,0.00098,0.00113,0.00126,0.00139,0.00151,0.00166,0.00182,0.00202,0.00227,0.00257,0.00285,0.00311,0.00337,0.00363
35,0.00013,0.00023,0.00034,0.00043,0.00051,0.00057,0.00066,0.00071,0.00074,0.00081,0.00091,0.00107,0.00124,0.00138,0.0015,0.00164,0.0018,0.00198,0.00222,0.00252,0.00285,0.00311,0.00337,0.00363,0.0039
36,0.00015,0.00025,0.00038,0.00047,0.00054,0.00063,0.0007,0.00074,0.00078,0.00085,0.001,0.00118,0.00136,0.0015,0.00163,0.00177,0.00195,0.00217,0.00245,0.00278,0.00311,0.00337,0.00363,0.0039,0.00421
37,0.00016,0.00026,0.00041,0.00053,0.00061,0.00069,0.00073,0.00077,0.00082,0.00093,0.0011,0.00129,0.00148,0.00162,0.00176,0.00191,0.00211,0.00236,0.00268,0.00304,0.00337,0.00363,0.0039,0.00421,0.00458
38,0.00017,0.00027,0.00044,0.00058,0.00066,0.00073,0.00076,0.00081,0.00089,0.00103,0.00122,0.00142,0.00161,0.00175,0.00188,0.00205,0.00229,0.00257,0.00292,0.00329,0.00363,0.0039,0.00421,0.00458,0.00501
39,0.00018,0.00029,0.00046,0.00059,0.00071,0.00076,0.00081,0.00087,0.00098,0.00115,0.00135,0.00155,0.00173,0.00188,0.00202,0.00222,0.00248,0.00279,0.00315,0.00354,0.0039,0.00421,0.00458,0.00501,0.00549
40,0.00019,0.0003,0.00047,0.00061,0.00074,0.0008,0.00087,0.00096,0.00108,0.00128,0.00149,0.00167,0.00185,0.00201,0.00218,0.00241,0.00269,0.00302,0.00339,0.00381,0.00421,0.00458,0.00501,0.00549,0.00602
41,0.0002,0.00032,0.00048,0.00063,0.00078,0.00087,0.00095,0.00104,0.0012,0.00141,0.00162,0.0018,0.00199,0.00217,0.00237,0.00262,0.00292,0.00326,0.00366,0.00412,0.00458,0.00501,0.00549,0.00602,0.0066
42,0.00021,0.00035,0.00049,0.00067,0.00085,0.00095,0.00102,0.00113,0.00131,0.00154,0.00174,0.00192,0.00213,0.00235,0.00259,0.00287,0.00319,0.00354,0.00397,0.00449,0.00501,0.00549,0.00602,0.0066,0.00722
43,0.00023,0.00036,0.00051,0.00074,0.00091,0.00102,0.00109,0.00123,0.00144,0.00166,0.00186,0.00206,0.00231,0.00258,0.00286,0.00315,0.0035,0.0039,0.00437,0.00491,0.00549,0.00602,0.0066,0.00722,0.00789
44,0.00026,0.00037,0.00055,0.00084,0.00098,0.00108,0.00117,0.00134,0.00156,0.00179,0.00199,0.00222,0.00253,0.00283,0.00313,0.00345,0.00381,0.00423,0.00473,0.00538,0.00602,0.0066,0.00722,0.00789,0.00862
45,0.0003,0.00038,0.00061,0.00093,0.00106,0.00116,0.00127,0.00145,0.00168,0.00191,0.00214,0.00242,0.00277,0.00312,0.00344,0.00378,0.00419,0.00466,0.00524,0.0059,0.0066,0.00722,0.00789,0.00862,0.00943
46,0.00032,0.00039,0.00068,0.00099,0.00113,0.00125,0.00138,0.00158,0.00181,0.00205,0.00231,0.00266,0.00307,0.00344,0.00376,0.00415,0.00461,0.00513,0.00575,0.00646,0.00722,0.00789,0.00862,0.00943,0.01037
47,0.00035,0.00041,0.00079,0.00107,0.00122,0.00136,0.00151,0.00172,0.00195,0.00221,0.00252,0.00293,0.00339,0.00376,0.00415,0.00459,0.0051,0.00566,0.00632,0.00706,0.00789,0.00862,0.00943,0.01037,0.01148
48,0.00036,0.00044,0.00093,0.00117,0.00135,0.00149,0.00166,0.00188,0.00211,0.00239,0.00276,0.00323,0.00375,0.00415,0.00457,0.00506,0.00563,0.00624,0.00694,0.00772,0.00862,0.00943,0.01037,0.01148,0.01279
49,0.00038,0.00052,0.0011,0.00131,0.00149,0.00164,0.00183,0.00205,0.00228,0.0026,0.00302,0.00353,0.00409,0.00454,0.00498,0.00553,0.00616,0.00682,0.00756,0.00842,0.00943,0.01037,0.01148,0.01279,0.0143
50,0.00039,0.00068,0.00128,0.00147,0.00163,0.00181,0.00202,0.00222,0.00248,0.00284,0.00331,0.00384,0.00439,0.00487,0.00537,0.00602,0.0067,0.0074,0.00821,0.00919,0.01037,0.01148,0.01279,0.0143,0.01605
51,0.0004,0.00087,0.00144,0.00162,0.0018,0.002,0.00219,0.00241,0.00271,0.00312,0.00362,0.00415,0.00469,0.0052,0.00579,0.00652,0.00726,0.00801,0.0089,0.01005,0.01148,0.01279,0.0143,0.01605,0.01805
52,0.00042,0.00109,0.00154,0.00174,0.00195,0.00216,0.00239,0.00264,0.00299,0.00346,0.00397,0.00447,0.00502,0.00559,0.00628,0.0071,0.00783,0.00863,0.00972,0.01114,0.01279,0.0143,0.01605,0.01805,0.02031
53,0.00043,0.00121,0.00161,0.00187,0.00211,0.00236,0.00261,0.00292,0.00333,0.00383,0.00433,0.0048,0.00536,0.00602,0.00681,0.00769,0.00856,0.00961,0.01088,0.0124,0.0143,0.01605,0.01805,0.02031,0.02292
54,0.00044,0.00125,0.00168,0.00197,0.0023,0.00258,0.00289,0.00325,0.00371,0.00422,0.00471,0.00518,0.00579,0.00656,0.00747,0.00847,0.0095,0.01075,0.01222,0.01397,0.01605,0.01805,0.02031,0.02292,0.02594
55,0.00046,0.00126,0.00172,0.00204,0.00253,0.00286,0.00323,0.00363,0.00412,0.00462,0.00508,0.00556,0.00627,0.00719,0.00825,0.00941,0.01062,0.01204,0.01385,0.01605,0.01805,0.02031,0.02292,0.02594,0.02951
56,0.00047,0.00127,0.00174,0.00215,0.0028,0.0032,0.00362,0.00405,0.00454,0.005,0.00543,0.00599,0.00684,0.00793,0.00917,0.01053,0.01201,0.01367,0.01568,0.01805,0.02031,0.02292,0.02594,0.02951,0.03384
57,0.00048,0.00129,0.00175,0.00234,0.00314,0.0036,0.00404,0.00446,0.00492,0.00532,0.00577,0.00644,0.00748,0.00876,0.0102,0.01179,0.01349,0.01536,0.01762,0.02031,0.02292,0.02594,0.02951,0.03384,0.03883
58,0.0005,0.00131,0.00179,0.00263,0.00354,0.00402,0.00445,0.00484,0.00521,0.00562,0.00615,0.007,0.00827,0.00977,0.01145,0.01328,0.01521,0.01732,0.01988,0.02292,0.02594,0.02951,0.03384,0.03883,0.0437
59,0.00053,0.00135,0.00188,0.00302,0.00397,0.00444,0.00482,0.00513,0.00549,0.00594,0.00663,0.00774,0.00929,0.01104,0.01295,0.01504,0.01725,0.01963,0.02252,0.02594,0.02951,0.03384,0.03883,0.0437,0.049
60,0.00061,0.00139,0.00214,0.00342,0.00439,0.00481,0.0051,0.00538,0.00576,0.00635,0.00728,0.00871,0.01053,0.0125,0.0147,0.01704,0.01948,0.02203,0.02548,0.02951,0.03384,0.03883,0.0437,0.049,0.05535
61,0.00072,0.00144,0.00252,0.00376,0.00475,0.00508,0.00533,0.00564,0.00612,0.00692,0.00818,0.00994,0.01203,0.0143,0.01671,0.0193,0.02199,0.0251,0.02915,0.03384,0.03883,0.0437,0.049,0.05535,0.06489
62,0.00086,0.0016,0.00299,0.00397,0.00501,0.00528,0.00554,0.00595,0.00664,0.00775,0.00935,0.01143,0.01376,0.01621,0.01884,0.02172,0.02497,0.0291,0.03384,0.03883,0.0437,0.049,0.05535,0.06489,0.07346
63,0.00102,0.00182,0.00347,0.0044,0.00519,0.00552,0.0059,0.00655,0.00748,0.00887,0.01083,0.01321,0.01574,0.01841,0.02133,0.02462,0.02882,0.03326,0.03883,0.0437,0.049,0.05535,0.06489,0.07346,0.08292
64,0.00118,0.00226,0.00388,0.00468,0.00529,0.00581,0.00655,0.00743,0.00853,0.01031,0.01255,0.01508,0.01776,0.02064,0.02393,0.02837,0.03315,0.03883,0.0437,0.049,0.05535,0.06489,0.07346,0.08292,0.09403
65,0.0013,0.00276,0.0042,0.00484,0.00552,0.00642,0.0074,0.00841,0.00988,0.01206,0.01454,0.01715,0.02003,0.02311,0.02694,0.03236,0.03785,0.0437,0.049,0.05535,0.06489,0.07346,0.08292,0.09403,0.10629
66,0.00144,0.00291,0.00443,0.00498,0.00582,0.00708,0.00827,0.00963,0.01153,0.01412,0.01677,0.01941,0.02251,0.02639,0.03081,0.03668,0.0437,0.049,0.05535,0.06489,0.07346,0.08292,0.09403,0.10629,0.11967
67,0.00159,0.00303,0.0046,0.00513,0.00629,0.00784,0.00935,0.01109,0.01344,0.01643,0.01932,0.02235,0.02534,0.02952,0.03439,0.0412,0.049,0.05535,0.06489,0.07346,0.08292,0.09403,0.10629,0.11967,0.13376
68,0.00176,0.00313,0.00475,0.00548,0.00694,0.00879,0.01062,0.01278,0.01559,0.01902,0.0222,0.02523,0.0294,0.03415,0.0385,0.04675,0.05535,0.06489,0.07346,0.08292,0.09403,0.10629,0.11967,0.13376,0.14902
69,0.00194,0.00324,0.00492,0.00602,0.00778,0.00987,0.01203,0.01463,0.01797,0.02189,0.02513,0.0293,0.03392,0.03849,0.04573,0.05514,0.06489,0.07346,0.08292,0.09403,0.10629,0.11967,0.13376,0.14902,0.16523
70,0.00215,0.00338,0.00514,0.00657,0.00876,0.01107,0.01353,0.01662,0.02058,0.02504,0.0292,0.03369,0.03849,0.04538,0.0549,0.06489,0.07346,0.08292,0.09403,0.10629,0.11967,0.13376,0.14902,0.16523,0.18127
71,0.00237,0.00357,0.00542,0.00731,0.00985,0.01231,0.01512,0.01878,0.02343,0.02851,0.03348,0.03816,0.04484,0.05332,0.06384,0.07346,0.08292,0.09403,0.10629,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809
72,0.00262,0.00381,0.00578,0.00831,0.01099,0.0136,0.01681,0.02113,0.02658,0.03254,0.03798,0.043,0.05098,0.06128,0.0728,0.08292,0.09403,0.10629,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068
73,0.0029,0.00412,0.00626,0.0094,0.01216,0.01493,0.0186,0.02367,0.03021,0.03693,0.04279,0.04957,0.05918,0.07095,0.08292,0.09403,0.10629,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551
74,0.00333,0.00452,0.00689,0.01055,0.01336,0.01634,0.02055,0.02666,0.03427,0.04175,0.04811,0.05621,0.06724,0.08075,0.09403,0.10629,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259
75,0.00382,0.00496,0.00769,0.01178,0.01462,0.01786,0.02286,0.03,0.03873,0.04706,0.05385,0.06351,0.07616,0.09195,0.10629,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155
76,0.00437,0.00553,0.00869,0.01308,0.01597,0.01971,0.02556,0.03393,0.04403,0.05323,0.06211,0.07401,0.0887,0.10507,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199
77,0.00493,0.00617,0.00989,0.01449,0.01756,0.02182,0.02866,0.03851,0.05007,0.06008,0.07243,0.08643,0.10291,0.11967,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742
78,0.00555,0.00701,0.01134,0.0161,0.01933,0.02424,0.03234,0.04387,0.05698,0.06882,0.08308,0.09971,0.11941,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258
79,0.00612,0.00802,0.01312,0.01785,0.02132,0.02714,0.03678,0.05026,0.06487,0.08023,0.09771,0.11778,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703
80,0.00632,0.00925,0.01514,0.01971,0.02364,0.03067,0.04224,0.05792,0.07575,0.09474,0.11516,0.13376,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037
81,0.00682,0.01068,0.01739,0.02176,0.02639,0.03539,0.04896,0.0673,0.08726,0.10878,0.13317,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219
82,0.00746,0.01226,0.01986,0.02401,0.03124,0.04184,0.05745,0.07909,0.10369,0.13003,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721
83,0.00857,0.01417,0.02291,0.0289,0.03694,0.04953,0.06943,0.09702,0.12739,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811
84,0.01013,0.01637,0.02642,0.03475,0.04445,0.06001,0.08914,0.12328,0.14902,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554
85,0.01161,0.01918,0.03176,0.04181,0.0535,0.07569,0.11316,0.14605,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448
86,0.0128,0.02302,0.03813,0.05015,0.06677,0.10335,0.13809,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502
87,0.0141,0.02763,0.04568,0.05997,0.08872,0.13347,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724
88,0.01554,0.03313,0.05462,0.07764,0.1226,0.16523,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123
89,0.01712,0.03902,0.06513,0.10183,0.1574,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871
90,0.01886,0.0459,0.08469,0.13831,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494
91,0.02399,0.05992,0.12877,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487
92,0.03478,0.09102,0.18127,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699
93,0.05288,0.13256,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143
94,0.07965,0.16011,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833
95,0.11731,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833,0.9478

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Residual Standard, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00129,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00131,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00134,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00144,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00172,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00206,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0023,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00257,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00285,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00311,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00337,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00363,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0039,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00421,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00458,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00501,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00549,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00602,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0066,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00722,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00789,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00862,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00943,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01037,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01148,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01279,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0143,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01605,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01805,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02031,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02292,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02594,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02951,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03384,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03883,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0437,,,,,,,,,,,,,,,,,,,,,,,,
