Table Name:,"2001 VBT Preferred Select and Ultimate - Male Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Male Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,Dates,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00049,0.00062,0.00071,0.00078,0.00082,0.00085,0.0009,0.00094,0.00099
1,,,,,,,,,,,,,,,,0.00047,0.00059,0.00069,0.00076,0.0008,0.00085,0.0009,0.00094,0.00099,0.00104
2,,,,,,,,,,,,,,,0.00045,0.00056,0.00066,0.00075,0.0008,0.00085,0.0009,0.00094,0.00099,0.00104,0.00109
3,,,,,,,,,,,,,,0.00043,0.00055,0.00065,0.00074,0.0008,0.00085,0.0009,0.00094,0.00099,0.00104,0.00108,0.00113
4,,,,,,,,,,,,,0.00043,0.00055,0.00065,0.00074,0.0008,0.00085,0.0009,0.00094,0.00099,0.00104,0.00108,0.00111,0.00113
5,,,,,,,,,,,,0.00043,0.00055,0.00065,0.00074,0.0008,0.00085,0.0009,0.00094,0.00099,0.00104,0.00108,0.00109,0.00111,0.00112
6,,,,,,,,,,,0.00043,0.00055,0.00065,0.00074,0.0008,0.00085,0.00089,0.00093,0.00099,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111
7,,,,,,,,,,0.00043,0.00055,0.00065,0.00074,0.0008,0.00084,0.00089,0.00092,0.00097,0.00103,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111
8,,,,,,,,,0.00042,0.00055,0.00065,0.00074,0.00079,0.00083,0.00087,0.00091,0.00097,0.00102,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113
9,,,,,,,,0.00042,0.00055,0.00065,0.00074,0.00079,0.00083,0.00087,0.0009,0.00094,0.00101,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116
10,,,,,,,0.00042,0.00054,0.00065,0.00074,0.00079,0.00083,0.00085,0.00089,0.00094,0.00099,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116,0.0012
11,,,,,,0.00042,0.00054,0.00065,0.00072,0.00078,0.00081,0.00085,0.00088,0.00093,0.00099,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116,0.0012,0.00123
12,,,,,0.00042,0.00054,0.00065,0.00072,0.00077,0.0008,0.00084,0.00087,0.00092,0.00099,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116,0.0012,0.00123,0.0013
13,,,,0.00042,0.00054,0.00065,0.00071,0.00076,0.0008,0.00083,0.00086,0.00091,0.00097,0.00102,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116,0.0012,0.00123,0.0013,0.00137
14,,,0.00042,0.00054,0.00065,0.00071,0.00076,0.00078,0.00082,0.00085,0.00089,0.00095,0.00101,0.00106,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116,0.0012,0.00123,0.0013,0.00137,0.00147
15,,0.00042,0.00054,0.00065,0.00071,0.00074,0.00078,0.0008,0.00084,0.00088,0.00094,0.00099,0.00105,0.00107,0.00109,0.0011,0.00111,0.00113,0.00116,0.0012,0.00123,0.0013,0.00137,0.00147,0.00158
16,0.00042,0.00054,0.00065,0.00071,0.00074,0.00076,0.0008,0.00083,0.00087,0.00092,0.00097,0.00102,0.00105,0.00109,0.0011,0.00111,0.00113,0.00116,0.00119,0.00123,0.0013,0.00137,0.00147,0.00158,0.0017
17,0.00054,0.00065,0.00071,0.00073,0.00076,0.0008,0.00083,0.00085,0.00091,0.00094,0.00098,0.00102,0.00104,0.00106,0.00108,0.00109,0.00116,0.00119,0.00123,0.00129,0.00136,0.00147,0.00158,0.0017,0.00186
18,0.00065,0.00069,0.00072,0.00075,0.00078,0.0008,0.00085,0.00089,0.00092,0.00094,0.00097,0.00099,0.00102,0.00105,0.00109,0.0011,0.00119,0.00122,0.00129,0.00136,0.00147,0.00158,0.0017,0.00186,0.00206
19,0.00066,0.00069,0.00072,0.00075,0.00078,0.00081,0.00085,0.00089,0.00091,0.00092,0.00094,0.00096,0.00099,0.00104,0.0011,0.00115,0.00122,0.00129,0.00136,0.00146,0.00158,0.00169,0.00186,0.00206,0.00229
20,0.00065,0.00068,0.00071,0.00074,0.00076,0.00081,0.00083,0.00085,0.00087,0.00089,0.00091,0.00093,0.00098,0.00105,0.00115,0.00122,0.00129,0.00136,0.00146,0.00158,0.00169,0.00186,0.00206,0.00229,0.00257
21,0.00062,0.00065,0.00067,0.0007,0.00074,0.00076,0.0008,0.0008,0.00083,0.00085,0.00089,0.00093,0.00099,0.00108,0.00118,0.00129,0.00136,0.00146,0.00158,0.00169,0.00186,0.00206,0.00229,0.00257,0.00286
22,0.00059,0.00062,0.00064,0.00068,0.00071,0.00073,0.00075,0.00077,0.00079,0.00084,0.00088,0.00093,0.001,0.00111,0.00124,0.00136,0.00146,0.00158,0.00169,0.00186,0.00206,0.00229,0.00257,0.00286,0.00314
23,0.00055,0.00057,0.00062,0.00066,0.00069,0.00072,0.00074,0.00076,0.00079,0.00084,0.0009,0.00096,0.00105,0.00116,0.00131,0.00146,0.00158,0.00169,0.00186,0.00206,0.00229,0.00257,0.00285,0.00314,0.00344
24,0.0005,0.00054,0.00059,0.00064,0.00069,0.00071,0.00074,0.00077,0.00081,0.00087,0.00093,0.001,0.00109,0.00123,0.00141,0.00155,0.00169,0.00186,0.00206,0.00229,0.00256,0.00285,0.00314,0.00343,0.00359
25,0.00043,0.00049,0.00057,0.00065,0.00069,0.00073,0.00076,0.00079,0.00085,0.00092,0.00099,0.00106,0.00118,0.00132,0.00149,0.00169,0.00186,0.00206,0.00229,0.00256,0.00285,0.00314,0.00343,0.00359,0.00377
26,0.00039,0.00048,0.00058,0.00067,0.00071,0.00074,0.00078,0.00083,0.00089,0.00097,0.00106,0.00115,0.00127,0.00144,0.00162,0.00185,0.00206,0.00229,0.00256,0.00285,0.00314,0.00342,0.00359,0.00377,0.0041
27,0.00037,0.00049,0.0006,0.00069,0.00074,0.00078,0.00083,0.00089,0.00096,0.00106,0.00115,0.00126,0.00139,0.00159,0.00177,0.00204,0.00229,0.00255,0.00285,0.00314,0.00342,0.00359,0.00377,0.0041,0.00449
28,0.00038,0.00051,0.00062,0.00071,0.00078,0.00082,0.00087,0.00094,0.00103,0.00114,0.00126,0.00139,0.00155,0.00176,0.00197,0.00226,0.00254,0.00285,0.00314,0.00341,0.00359,0.00377,0.0041,0.00449,0.00502
29,0.00037,0.00052,0.00064,0.00073,0.00082,0.00087,0.00094,0.00103,0.00111,0.00126,0.00139,0.00155,0.00171,0.00193,0.00219,0.00252,0.00285,0.00314,0.00339,0.00359,0.00377,0.0041,0.00449,0.00502,0.00564
30,0.00038,0.00053,0.00064,0.00075,0.00085,0.00094,0.00103,0.00111,0.00123,0.00139,0.00152,0.00168,0.00186,0.0021,0.00241,0.00275,0.00308,0.00338,0.00359,0.00377,0.0041,0.00449,0.00502,0.00564,0.00618
31,0.00036,0.00052,0.00064,0.00077,0.00089,0.00101,0.00111,0.00121,0.00132,0.00146,0.0016,0.00181,0.00205,0.00235,0.00269,0.00302,0.00332,0.00359,0.00377,0.0041,0.00449,0.00502,0.00564,0.00618,0.00661
32,0.00035,0.0005,0.00065,0.00078,0.00091,0.00103,0.00116,0.00127,0.00138,0.00151,0.00169,0.00195,0.00229,0.00265,0.00299,0.0033,0.00359,0.00377,0.0041,0.00449,0.00502,0.00564,0.00618,0.00661,0.00745
33,0.00038,0.00053,0.00068,0.00083,0.00097,0.0011,0.00123,0.00134,0.00146,0.0016,0.00182,0.00214,0.00253,0.00291,0.00324,0.00355,0.00377,0.0041,0.00449,0.00502,0.00564,0.00618,0.00658,0.00745,0.00799
34,0.00041,0.00056,0.00073,0.00087,0.00103,0.00118,0.00132,0.00145,0.00158,0.00175,0.00202,0.00237,0.00277,0.00317,0.00351,0.00377,0.0041,0.00449,0.00502,0.00564,0.00618,0.00658,0.00745,0.00799,0.00861
35,0.00044,0.0006,0.00076,0.00092,0.00108,0.00125,0.0014,0.00156,0.00174,0.00197,0.00227,0.00263,0.00302,0.00343,0.00377,0.0041,0.00449,0.00502,0.00564,0.00618,0.00658,0.00745,0.00799,0.00861,0.00914
36,0.00047,0.00062,0.00079,0.00096,0.00113,0.0013,0.00148,0.00172,0.00196,0.00225,0.00254,0.00289,0.00329,0.00372,0.0041,0.00449,0.00502,0.00564,0.00618,0.00658,0.00745,0.00799,0.00861,0.00914,0.00984
37,0.0005,0.00064,0.00082,0.00099,0.00117,0.00137,0.00161,0.00191,0.00221,0.0025,0.00279,0.00313,0.00356,0.0041,0.00449,0.00502,0.00564,0.00618,0.00658,0.00745,0.00799,0.00861,0.00914,0.00984,0.01083
38,0.00053,0.00071,0.0009,0.00106,0.00124,0.00148,0.00179,0.00214,0.00247,0.00277,0.00305,0.0034,0.00384,0.00449,0.00502,0.00564,0.00618,0.00658,0.00745,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213
39,0.00059,0.0008,0.00098,0.00114,0.00134,0.00163,0.00201,0.00237,0.00272,0.00301,0.0033,0.0037,0.00419,0.00475,0.00564,0.00618,0.00658,0.00745,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364
40,0.00063,0.00086,0.00106,0.00125,0.0015,0.00185,0.00223,0.00262,0.00294,0.00327,0.00363,0.0041,0.00462,0.00522,0.00585,0.00655,0.00745,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513
41,0.00067,0.00093,0.00119,0.00141,0.0017,0.00209,0.0025,0.00286,0.00321,0.0036,0.00405,0.00456,0.00515,0.00578,0.00652,0.00745,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611
42,0.00071,0.00104,0.00134,0.00161,0.00193,0.00231,0.00272,0.00312,0.00353,0.004,0.00452,0.00509,0.00574,0.00648,0.00745,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704
43,0.00076,0.0011,0.00144,0.00174,0.00207,0.00246,0.00291,0.00337,0.00385,0.0044,0.00496,0.00565,0.00645,0.00735,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833
44,0.00081,0.00118,0.00152,0.00183,0.00218,0.00261,0.00312,0.00367,0.00421,0.00482,0.00545,0.00634,0.00724,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982
45,0.0009,0.00127,0.00161,0.00194,0.00234,0.00281,0.00341,0.00402,0.00466,0.0053,0.00608,0.00714,0.00799,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158
46,0.00099,0.00134,0.00168,0.00204,0.00251,0.00307,0.00371,0.00441,0.0051,0.00585,0.00676,0.00778,0.00861,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158,0.02463
47,0.00109,0.00142,0.00176,0.00218,0.00273,0.00335,0.00406,0.00483,0.00558,0.0065,0.0074,0.00836,0.00914,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991
48,0.0012,0.00154,0.00193,0.00239,0.00295,0.0036,0.00438,0.00522,0.00606,0.0071,0.00794,0.00891,0.00984,0.01083,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304
49,0.00128,0.0017,0.00214,0.00265,0.00321,0.00389,0.0047,0.00564,0.00651,0.00751,0.00847,0.00958,0.01082,0.01213,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597
50,0.00141,0.00189,0.00239,0.00291,0.00349,0.00418,0.00508,0.00603,0.00692,0.00792,0.00909,0.01054,0.01209,0.01364,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389
51,0.00158,0.00214,0.00269,0.00326,0.00382,0.00454,0.0054,0.00636,0.00734,0.00847,0.00993,0.0118,0.01357,0.01513,0.01611,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042
52,0.00175,0.0024,0.00304,0.00362,0.0042,0.00487,0.00574,0.00676,0.0079,0.00931,0.0111,0.01322,0.01504,0.01609,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655
53,0.00183,0.00262,0.00333,0.00399,0.0046,0.00531,0.00625,0.00744,0.00873,0.01044,0.01248,0.01468,0.01588,0.01704,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145
54,0.0019,0.00284,0.00367,0.00437,0.00499,0.00579,0.00692,0.00832,0.0098,0.01175,0.01385,0.01551,0.01702,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715
55,0.002,0.00308,0.004,0.0047,0.00541,0.00638,0.00774,0.00935,0.01097,0.01297,0.01457,0.01653,0.01833,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371
56,0.00208,0.00327,0.00426,0.00506,0.0059,0.00711,0.00871,0.0105,0.01219,0.01374,0.01565,0.01787,0.01982,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371,0.07078
57,0.00214,0.00343,0.00452,0.0055,0.00655,0.00798,0.00976,0.01164,0.01334,0.01525,0.01744,0.0198,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878
58,0.00231,0.00363,0.00484,0.00601,0.00733,0.00897,0.01083,0.01268,0.01432,0.01649,0.01894,0.02158,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696
59,0.00251,0.00388,0.00524,0.00663,0.00819,0.00999,0.01189,0.01366,0.01524,0.01765,0.02045,0.02463,0.02991,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562
60,0.00279,0.00419,0.00568,0.0073,0.00909,0.011,0.0129,0.01463,0.01614,0.01889,0.02213,0.02805,0.03304,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512
61,0.00312,0.00456,0.00617,0.00797,0.00996,0.01201,0.0139,0.01555,0.01706,0.02024,0.02385,0.028795,0.03597,0.0389,0.042,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512,0.11635
62,0.0035,0.00498,0.0067,0.00868,0.01086,0.01303,0.01496,0.01663,0.01822,0.02178,0.02554,0.02954,0.03767,0.042,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512,0.11635,0.12877
63,0.00373,0.00547,0.00744,0.00962,0.01192,0.0142,0.01624,0.01806,0.01985,0.02364,0.0275,0.03161,0.03787,0.04655,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512,0.11635,0.12877,0.14226
64,0.00389,0.00599,0.00825,0.01063,0.01311,0.01552,0.01774,0.01981,0.02184,0.0258,0.02982,0.03422,0.04132,0.05145,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512,0.11635,0.12877,0.14226,0.1566
65,0.00398,0.00648,0.00907,0.01175,0.01442,0.017,0.01942,0.02171,0.02402,0.02822,0.03255,0.03739,0.04631,0.05715,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512,0.11635,0.12877,0.14226,0.1566,0.17163
66,0.004,0.0072,0.01002,0.01282,0.0158,0.01845,0.02088,0.02327,0.02578,0.03021,0.03494,0.04031,0.04902,0.06371,0.07078,0.07878,0.08696,0.09562,0.10512,0.11635,0.12391,0.14199,0.1566,0.17163,0.18713
67,0.00422,0.00802,0.01104,0.01401,0.01733,0.02001,0.02247,0.02491,0.02759,0.03234,0.03758,0.04363,0.05167,0.07001,0.07878,0.08696,0.09562,0.10512,0.11635,0.12151,0.13766,0.1541,0.17139,0.18713,0.20136
68,0.00484,0.00892,0.01218,0.01529,0.01861,0.02176,0.02468,0.02742,0.03004,0.03524,0.04117,0.04796,0.05721,0.07774,0.08696,0.09562,0.10512,0.11635,0.121233333333333,0.13226,0.14884,0.16639,0.18486,0.20136,0.21601
69,0.00541,0.00991,0.01343,0.01668,0.01913,0.02377,0.02654,0.02902,0.03186,0.03755,0.04411,0.05135,0.05959,0.07872,0.09562,0.10512,0.11635,0.121233333333333,0.13129,0.14237,0.16009,0.17876,0.19666,0.21601,0.23125
70,0.00603,0.01102,0.0148,0.01819,0.01958,0.02577,0.02812,0.03059,0.03624,0.04262,0.04981,0.058,0.07122,0.09535,0.10512,0.11635,0.121233333333333,0.126116666666667,0.14037,0.15243,0.17163,0.19029,0.21601,0.23125,0.24716
71,0.0077,0.01226,0.0163,0.01882,0.0224,0.02733,0.02946,0.03399,0.03929,0.04598,0.05389,0.06233,0.07379,0.09992,0.11635,0.120213333333333,0.126116666666667,0.1341,0.14916,0.1622,0.18146,0.21601,0.23125,0.24716,0.26485
72,0.00983,0.01362,0.01797,0.02162,0.02507,0.02845,0.03188,0.03545,0.03937,0.04631,0.05419,0.0628,0.074445,0.10273,0.1199525,0.124076666666667,0.131,0.13639,0.1575,0.17019,0.21601,0.23125,0.24716,0.26485,0.2779
73,0.0114,0.01649,0.02067,0.02407,0.02692,0.02961,0.03245,0.03791,0.0403,0.04712,0.05524,0.06431,0.0751,0.10554,0.123555,0.12794,0.13254,0.15636,0.16826,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156
74,0.01336,0.01802,0.02237,0.02612,0.0291,0.03155,0.03663,0.03944,0.04214,0.05226,0.06264,0.06822,0.08045,0.10835,0.1271575,0.13108,0.15026,0.1676,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586
75,0.01558,0.01896,0.02385,0.02866,0.03115,0.0355,0.03872,0.04199,0.05083,0.06182,0.06754,0.07979,0.09424,0.11116,0.13076,0.14832,0.16704,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083
76,0.01569,0.02072,0.02588,0.03084,0.03462,0.03838,0.0419,0.04944,0.06101,0.06721,0.07904,0.09395,0.11098,0.12767,0.14641,0.16649,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648
77,0.01583,0.02199,0.02791,0.03366,0.03794,0.04182,0.04899,0.06021,0.06705,0.07867,0.09129,0.10817,0.12465,0.14452,0.16594,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285
78,0.01646,0.02316,0.03002,0.03737,0.04173,0.04843,0.05943,0.0669,0.0783,0.08893,0.10254,0.12169,0.14266,0.16539,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999
79,0.01733,0.02465,0.03284,0.04165,0.04767,0.05865,0.06674,0.07794,0.08777,0.09984,0.11881,0.14082,0.16484,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879
80,0.01821,0.02685,0.03639,0.04677,0.05789,0.06658,0.07757,0.08663,0.09871,0.1156,0.13737,0.16119,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663
81,0.01938,0.02969,0.04096,0.0531,0.06643,0.07721,0.0855,0.09803,0.11378,0.13317,0.16065,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021
82,0.02099,0.03342,0.04668,0.0611,0.07685,0.08439,0.09735,0.11316,0.13127,0.16012,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516
83,0.02362,0.03827,0.05393,0.07082,0.08329,0.09668,0.11255,0.12941,0.15958,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156
84,0.02762,0.04464,0.06274,0.08221,0.09602,0.11194,0.12757,0.15905,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949
85,0.03328,0.05261,0.0732,0.09536,0.11133,0.12575,0.15852,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905
86,0.04054,0.06243,0.08571,0.11073,0.12396,0.158,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031
87,0.04944,0.07458,0.10109,0.1222,0.15747,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339
88,0.06049,0.08994,0.12047,0.15695,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838
89,0.07513,0.10972,0.15643,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541
90,0.0954,0.15591,0.21601,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458
91,0.14562,0.20624,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603
92,0.18768,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988
93,0.23125,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627
94,0.24716,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536
95,0.26485,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729
96,0.2779,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1
97,0.29156,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,
98,0.30586,0.32083,0.33648,0.35285,0.36999,0.3879,0.40663,0.43021,0.45516,0.48156,0.50949,0.53905,0.57031,0.60339,0.63838,0.67541,0.71458,0.75603,0.79988,0.84627,0.89536,0.94729,1,,
