Table Name:,2017 Unloaded CSO Preferred Structure Nonsmoker Preferred Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00067,0.00069,0.00072,0.00075,0.00072,0.00069,0.00069,0.00069,0.00059,0.00056,0.00051,0.00047,0.00044,0.00047,0.00048,0.00055,0.00063,0.00073,0.00085,0.00097,0.00106,0.00112,0.00117,0.00124,0.00132
19,0.00062,0.00065,0.00066,0.00062,0.00062,0.00063,0.00063,0.00058,0.00051,0.00044,0.00046,0.00044,0.00044,0.00047,0.00052,0.00057,0.00065,0.00076,0.00088,0.00099,0.00109,0.00115,0.00122,0.00129,0.00138
20,0.00053,0.00055,0.00061,0.00059,0.00057,0.00055,0.00054,0.00049,0.00044,0.00045,0.00043,0.00043,0.00044,0.00049,0.00054,0.00058,0.00068,0.00078,0.0009,0.00102,0.00112,0.00118,0.00124,0.00132,0.00141
21,0.00045,0.00055,0.00049,0.00047,0.00046,0.00045,0.00045,0.00042,0.00039,0.00041,0.00041,0.00043,0.00045,0.00051,0.00056,0.00061,0.00069,0.0008,0.00092,0.00104,0.00112,0.00118,0.00125,0.00135,0.00146
22,0.00043,0.00045,0.00041,0.00039,0.00038,0.00037,0.00037,0.00036,0.00035,0.00039,0.00041,0.00044,0.00047,0.00052,0.00059,0.00063,0.00072,0.00083,0.00096,0.00107,0.00113,0.00119,0.00125,0.00137,0.0015
23,0.00036,0.00038,0.00034,0.00033,0.00032,0.00032,0.00032,0.00032,0.00033,0.00039,0.00041,0.00045,0.00049,0.00055,0.00061,0.00065,0.00075,0.00087,0.00099,0.00108,0.00114,0.00119,0.00126,0.00139,0.00155
24,0.00031,0.00032,0.00029,0.00028,0.00028,0.00028,0.00028,0.00031,0.00033,0.00039,0.00042,0.00047,0.00051,0.00058,0.00063,0.00068,0.00079,0.00091,0.00102,0.00108,0.00114,0.00119,0.00127,0.00142,0.0016
25,0.00026,0.00028,0.00025,0.00025,0.00025,0.00025,0.00027,0.00031,0.00033,0.0004,0.00044,0.0005,0.00054,0.00061,0.00067,0.00073,0.00084,0.00096,0.00104,0.00109,0.00115,0.0012,0.00134,0.0015,0.00168
26,0.00023,0.00024,0.00023,0.00023,0.00024,0.00025,0.00028,0.00032,0.00034,0.00041,0.00047,0.00053,0.00058,0.00064,0.00071,0.00078,0.0009,0.00101,0.00106,0.00109,0.00116,0.00127,0.00144,0.00162,0.0018
27,0.0002,0.00022,0.00021,0.00022,0.00024,0.00026,0.00029,0.00033,0.00036,0.00045,0.00051,0.00057,0.00062,0.0007,0.00077,0.00085,0.00096,0.00104,0.00108,0.00114,0.00124,0.00138,0.00156,0.00175,0.00196
28,0.00018,0.0002,0.00021,0.00023,0.00025,0.00027,0.00031,0.00035,0.00039,0.00049,0.00055,0.00062,0.00067,0.00075,0.00084,0.00091,0.00101,0.00107,0.00114,0.00122,0.00134,0.0015,0.00169,0.0019,0.00213
29,0.00016,0.00018,0.00021,0.00024,0.00027,0.0003,0.00033,0.00038,0.00042,0.00053,0.0006,0.00067,0.00072,0.00081,0.00089,0.00096,0.00105,0.00113,0.00121,0.00131,0.00146,0.00164,0.00185,0.00208,0.00233
30,0.00016,0.00016,0.00021,0.00025,0.00027,0.0003,0.00033,0.00038,0.00043,0.00054,0.00062,0.00067,0.00072,0.00082,0.00089,0.001,0.00111,0.0012,0.0013,0.00142,0.00159,0.00179,0.00202,0.00227,0.00255
31,0.00013,0.00015,0.00021,0.00025,0.00027,0.0003,0.00033,0.00039,0.00048,0.00057,0.00063,0.00068,0.00075,0.00084,0.00093,0.00106,0.00118,0.00128,0.00139,0.00154,0.00173,0.00195,0.0022,0.00247,0.00276
32,0.00013,0.00015,0.00022,0.00026,0.00029,0.00031,0.00036,0.00043,0.00052,0.00061,0.00067,0.00072,0.00079,0.00087,0.00099,0.00113,0.00125,0.00137,0.0015,0.00166,0.00188,0.00213,0.0024,0.00269,0.00297
33,0.00014,0.00015,0.00023,0.00028,0.0003,0.00034,0.0004,0.00047,0.00057,0.00065,0.0007,0.00075,0.00082,0.00093,0.00106,0.0012,0.00133,0.00146,0.00161,0.0018,0.00204,0.00231,0.00261,0.0029,0.00317
34,0.00014,0.00016,0.00025,0.00029,0.00032,0.00038,0.00044,0.00052,0.00062,0.00069,0.00073,0.00078,0.00088,0.00101,0.00113,0.00128,0.00142,0.00156,0.00173,0.00194,0.00221,0.00252,0.00283,0.00312,0.00338
35,0.00014,0.00017,0.00027,0.00031,0.00037,0.00042,0.00047,0.00057,0.00066,0.00072,0.00076,0.00084,0.00096,0.00108,0.00122,0.00136,0.00151,0.00167,0.00186,0.00211,0.00242,0.00275,0.00307,0.00335,0.00362
36,0.00014,0.00018,0.00029,0.00034,0.0004,0.00046,0.00052,0.00062,0.00069,0.00075,0.00082,0.00092,0.00104,0.00117,0.00131,0.00146,0.00162,0.00179,0.00202,0.00231,0.00266,0.00301,0.00332,0.00361,0.00393
37,0.00014,0.00019,0.00031,0.00038,0.00044,0.00049,0.00058,0.00066,0.00072,0.00081,0.0009,0.001,0.00113,0.00127,0.00141,0.00157,0.00174,0.00194,0.00221,0.00256,0.00293,0.00329,0.00361,0.00392,0.00431
38,0.00014,0.00022,0.00034,0.0004,0.00047,0.00054,0.00063,0.0007,0.00078,0.00088,0.00099,0.0011,0.00123,0.00138,0.00153,0.0017,0.00189,0.00214,0.00246,0.00284,0.00324,0.0036,0.00392,0.0043,0.00476
39,0.00015,0.00025,0.00038,0.00044,0.00051,0.0006,0.00068,0.00075,0.00085,0.00097,0.00109,0.00121,0.00135,0.00151,0.00167,0.00185,0.00208,0.00238,0.00276,0.00317,0.00357,0.00391,0.0043,0.00472,0.00531
40,0.00016,0.00029,0.00041,0.00049,0.00057,0.00065,0.00073,0.00081,0.00093,0.00107,0.00119,0.00132,0.00148,0.00165,0.00183,0.00204,0.00232,0.00268,0.00311,0.00353,0.00391,0.00429,0.00468,0.00523,0.00591
41,0.00018,0.00033,0.00045,0.00053,0.00061,0.00069,0.00077,0.00088,0.00102,0.00117,0.0013,0.00144,0.00162,0.00182,0.00202,0.00227,0.00262,0.00303,0.00349,0.00391,0.00429,0.00467,0.00514,0.00583,0.00653
42,0.00021,0.00037,0.00048,0.00057,0.00066,0.00074,0.00082,0.00095,0.00111,0.00126,0.0014,0.00157,0.00178,0.002,0.00224,0.00255,0.00296,0.00343,0.00389,0.00429,0.00466,0.00509,0.00566,0.00638,0.00719
43,0.00025,0.00041,0.00051,0.00062,0.00071,0.00078,0.00088,0.00103,0.0012,0.00136,0.00151,0.00171,0.00195,0.00221,0.00249,0.00286,0.00334,0.00384,0.00428,0.00465,0.00504,0.00557,0.00625,0.00706,0.00794
44,0.00029,0.00044,0.00055,0.00067,0.00075,0.00082,0.00095,0.00112,0.00129,0.00146,0.00164,0.00187,0.00215,0.00244,0.00277,0.00321,0.00374,0.00423,0.00464,0.00502,0.00548,0.00614,0.00694,0.00783,0.00879
45,0.00034,0.00046,0.0006,0.00073,0.0008,0.00089,0.00105,0.00123,0.0014,0.00157,0.00179,0.00206,0.00237,0.00269,0.00308,0.00357,0.00413,0.00462,0.00501,0.00547,0.006,0.00684,0.00777,0.00875,0.00979
46,0.00039,0.00048,0.00064,0.00079,0.00086,0.00098,0.00116,0.00135,0.00151,0.00171,0.00197,0.00228,0.00261,0.00297,0.0034,0.00394,0.00452,0.00499,0.00545,0.00596,0.00664,0.00767,0.00868,0.00974,0.01097
47,0.00043,0.00051,0.0007,0.00085,0.00095,0.00111,0.0013,0.00148,0.00164,0.00189,0.00219,0.00252,0.00287,0.00326,0.00374,0.00432,0.00493,0.00544,0.00592,0.00651,0.00741,0.00862,0.00972,0.01095,0.01232
48,0.00046,0.00053,0.00076,0.00093,0.00106,0.00125,0.00145,0.00161,0.00181,0.00211,0.00245,0.00278,0.00314,0.00356,0.00409,0.00473,0.00536,0.0059,0.00647,0.00722,0.00832,0.0097,0.01092,0.01229,0.01389
49,0.00049,0.00058,0.00083,0.00101,0.00118,0.00141,0.00159,0.00175,0.002,0.00236,0.00272,0.00305,0.00341,0.00387,0.00445,0.00514,0.00581,0.0064,0.00709,0.00802,0.00935,0.01087,0.01227,0.01384,0.01568
50,0.0005,0.00064,0.00091,0.0011,0.00133,0.00155,0.00172,0.00191,0.00222,0.00264,0.00301,0.00331,0.00369,0.00421,0.00486,0.0056,0.00631,0.00698,0.00781,0.00895,0.01048,0.0121,0.01374,0.01566,0.01781
51,0.0005,0.00073,0.00101,0.00121,0.00147,0.00168,0.00183,0.00208,0.00248,0.00295,0.00329,0.00365,0.00402,0.00461,0.00533,0.00612,0.00688,0.00765,0.00867,0.01001,0.01167,0.0134,0.01531,0.01755,0.02009
52,0.0005,0.00083,0.00111,0.00135,0.00162,0.00178,0.00195,0.00227,0.00276,0.00326,0.0036,0.00399,0.00442,0.00512,0.00593,0.00676,0.00758,0.00849,0.00972,0.01126,0.01308,0.01494,0.01706,0.01963,0.02257
53,0.00051,0.00094,0.00124,0.00152,0.00175,0.0019,0.00213,0.00252,0.00308,0.00359,0.00396,0.00437,0.00492,0.00574,0.00663,0.00755,0.00848,0.00968,0.01095,0.01267,0.01462,0.01673,0.01916,0.02206,0.02534
54,0.00051,0.00104,0.00138,0.00172,0.00189,0.00206,0.00234,0.00281,0.00342,0.00394,0.00433,0.00482,0.00561,0.00656,0.00753,0.00848,0.00963,0.01088,0.01249,0.01436,0.01646,0.01904,0.02198,0.02526,0.02868
55,0.00052,0.00111,0.00154,0.00186,0.00203,0.0022,0.00256,0.00317,0.0038,0.00433,0.00481,0.00548,0.00645,0.00751,0.00847,0.00959,0.0108,0.01233,0.01422,0.01638,0.01875,0.02174,0.02501,0.02859,0.03271
56,0.0006,0.00115,0.0017,0.002,0.00217,0.00243,0.00291,0.00359,0.00422,0.00478,0.00542,0.0063,0.00739,0.00845,0.00954,0.01077,0.01226,0.01409,0.0163,0.01869,0.02152,0.02485,0.02855,0.03271,0.03694
57,0.00072,0.00119,0.00186,0.00215,0.00238,0.00269,0.00333,0.00404,0.00467,0.00532,0.00613,0.00721,0.00843,0.00952,0.01066,0.01216,0.01397,0.01608,0.01852,0.02128,0.0244,0.02809,0.03252,0.03694,0.04189
58,0.00089,0.00124,0.002,0.00234,0.00262,0.00306,0.0038,0.00452,0.00517,0.00595,0.00696,0.00822,0.00947,0.01065,0.01204,0.01376,0.01595,0.0184,0.02116,0.02424,0.02804,0.03238,0.03694,0.04189,0.04745
59,0.00109,0.00132,0.00211,0.00254,0.00283,0.00348,0.00428,0.00499,0.00571,0.00668,0.00788,0.00921,0.01059,0.01202,0.01357,0.01561,0.0182,0.02096,0.02396,0.02738,0.03162,0.03653,0.04189,0.04745,0.05392
60,0.00129,0.00145,0.0022,0.00262,0.00312,0.00392,0.00473,0.00546,0.00631,0.00747,0.00888,0.01037,0.01185,0.01336,0.01521,0.01768,0.02067,0.02384,0.02733,0.03149,0.03639,0.04189,0.04745,0.05392,0.06144
61,0.00143,0.00163,0.0023,0.00273,0.00344,0.00435,0.00516,0.00595,0.00696,0.00833,0.00986,0.01143,0.01302,0.01479,0.01706,0.01998,0.0234,0.02699,0.03102,0.03575,0.04129,0.04745,0.05392,0.06144,0.07019
62,0.00152,0.00187,0.00244,0.00292,0.00382,0.00476,0.00558,0.00647,0.00768,0.00921,0.01085,0.0125,0.01425,0.01637,0.0191,0.02249,0.02637,0.03059,0.03554,0.04111,0.04745,0.05392,0.06144,0.07019,0.08033
63,0.00158,0.00215,0.00265,0.00324,0.00424,0.00518,0.00603,0.00706,0.00847,0.01015,0.01189,0.01367,0.01568,0.01821,0.02141,0.02528,0.02967,0.03445,0.04009,0.04638,0.05392,0.06144,0.07019,0.08033,0.09202
64,0.00163,0.00243,0.00294,0.00365,0.00473,0.00563,0.00654,0.00776,0.00935,0.01119,0.01298,0.01487,0.0172,0.02014,0.02379,0.02828,0.03359,0.03963,0.04631,0.05392,0.06144,0.07019,0.08033,0.09202,0.10527
65,0.0017,0.00274,0.00332,0.00412,0.00529,0.00615,0.00717,0.00857,0.01035,0.01237,0.01428,0.01635,0.01904,0.0224,0.0265,0.03169,0.03791,0.04472,0.0528,0.06144,0.07019,0.08033,0.09202,0.10527,0.11967
66,0.00178,0.00305,0.00375,0.00466,0.00593,0.00678,0.00793,0.00951,0.01151,0.01377,0.01588,0.01818,0.02125,0.02505,0.02961,0.03604,0.04405,0.05242,0.06144,0.07019,0.08033,0.09202,0.10527,0.11967,0.13507
67,0.00189,0.00332,0.00423,0.00527,0.00666,0.00753,0.00882,0.01061,0.01288,0.01548,0.01796,0.02064,0.02417,0.02849,0.0336,0.04084,0.05032,0.05982,0.07019,0.08033,0.09202,0.10527,0.11967,0.13507,0.15098
68,0.00203,0.00359,0.00474,0.00597,0.00726,0.00841,0.00986,0.01189,0.01453,0.01761,0.02056,0.02402,0.02776,0.03265,0.03834,0.04692,0.05785,0.06867,0.08033,0.09202,0.10527,0.11967,0.13507,0.15098,0.16693
69,0.00221,0.00388,0.00531,0.00675,0.00815,0.0094,0.01103,0.01338,0.01679,0.0202,0.02386,0.02775,0.03235,0.03822,0.04484,0.05452,0.06649,0.07873,0.09202,0.10527,0.11967,0.13507,0.15098,0.16693,0.18277
70,0.00238,0.00411,0.00584,0.00749,0.00893,0.01027,0.01219,0.01548,0.01884,0.02286,0.0276,0.03205,0.0381,0.04478,0.05395,0.06425,0.07832,0.09202,0.10527,0.11967,0.13507,0.15098,0.16693,0.18277,0.1977
71,0.00256,0.00431,0.00635,0.00821,0.00962,0.01127,0.01391,0.01733,0.02105,0.02573,0.03174,0.0381,0.04454,0.05338,0.06129,0.07424,0.08986,0.10527,0.11967,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108
72,0.00275,0.00453,0.00689,0.009,0.0105,0.01284,0.01569,0.01931,0.0239,0.02998,0.03748,0.04431,0.05281,0.06108,0.07048,0.08543,0.10307,0.11967,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779
73,0.00299,0.00484,0.00756,0.00996,0.01206,0.0146,0.01779,0.02184,0.02776,0.03491,0.04407,0.05273,0.06102,0.07039,0.08484,0.10266,0.11967,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559
74,0.00333,0.00533,0.00848,0.01127,0.01367,0.01669,0.02054,0.02533,0.03228,0.04097,0.05248,0.06096,0.0703,0.08253,0.09889,0.11816,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495
75,0.00366,0.0059,0.0095,0.01275,0.0156,0.01925,0.0238,0.02941,0.03786,0.04786,0.06091,0.07022,0.08169,0.09778,0.11578,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546
76,0.00398,0.00642,0.01055,0.0145,0.01795,0.02225,0.02757,0.03443,0.04416,0.0554,0.06967,0.08095,0.09716,0.11505,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067
77,0.00414,0.00668,0.01109,0.0156,0.01979,0.02458,0.03079,0.04014,0.05115,0.06332,0.08008,0.09601,0.11458,0.13507,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825
78,0.00434,0.00702,0.01182,0.01696,0.02159,0.02769,0.03463,0.04653,0.05858,0.07234,0.09392,0.11287,0.13371,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002
79,0.00451,0.00733,0.01255,0.01826,0.02366,0.03035,0.03877,0.05154,0.06508,0.08257,0.10809,0.13029,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165
80,0.00467,0.00766,0.01334,0.01983,0.02573,0.03292,0.04297,0.05647,0.07229,0.09416,0.12522,0.15098,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279
81,0.00507,0.00838,0.01504,0.02253,0.02923,0.03758,0.04968,0.0644,0.08515,0.11164,0.14304,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305
82,0.00558,0.00935,0.01718,0.02597,0.0338,0.04316,0.05805,0.07767,0.10202,0.13699,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208
83,0.00643,0.01091,0.0205,0.03097,0.04068,0.05227,0.07091,0.09636,0.13006,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951
84,0.00758,0.01325,0.02571,0.03913,0.05152,0.06748,0.09125,0.12775,0.16693,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498
85,0.00897,0.01601,0.0317,0.04832,0.06472,0.0862,0.1179,0.15176,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812
86,0.01084,0.01973,0.03996,0.06158,0.08397,0.11323,0.14774,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857
87,0.01301,0.02426,0.05014,0.07887,0.10873,0.1439,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595
88,0.0152,0.02932,0.06185,0.09889,0.13758,0.18277,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5
89,0.01749,0.03435,0.07475,0.12143,0.16843,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5
90,0.02011,0.04024,0.0898,0.14927,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5
91,0.02542,0.06298,0.13595,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5
92,0.03625,0.09491,0.1977,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5
93,0.05397,0.13813,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5
94,0.07957,0.16192,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.11371,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Preferred, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00097,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00106,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0014,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00157,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00162,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00169,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00177,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00199,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00217,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00238,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0026,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00281,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00301,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0032,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00341,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00364,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00393,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00431,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0048,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00534,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00595,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00661,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00732,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00808,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00892,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00988,,,,,,,,,,,,,,,,,,,,,,,,
70,0.011,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01235,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01394,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01581,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01794,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02032,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02295,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02583,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02904,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03271,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03694,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04189,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04745,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05392,,,,,,,,,,,,,,,,,,,,,,,,
84,0.06144,,,,,,,,,,,,,,,,,,,,,,,,
