Table Name:,2017 Loaded CSO Smoker Distinct Smoker Female ANB ,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00022,0.00028,0.00034,0.00041,0.00049,0.00057,0.00068,0.00082,0.00098,0.00116,0.00134,0.0015,0.00166,0.00177,0.00189,0.00203,0.00218,0.00236,0.00259,0.0029,0.0032,0.00351,0.00387,0.00426,0.00469
30,0.00023,0.00029,0.00037,0.00045,0.00054,0.00065,0.00077,0.00093,0.0011,0.00128,0.00145,0.0016,0.00175,0.00187,0.00199,0.00215,0.00236,0.00259,0.00284,0.00318,0.00351,0.00387,0.00426,0.00469,0.00516
31,0.00025,0.00032,0.0004,0.0005,0.00061,0.00073,0.00088,0.00104,0.00121,0.00139,0.00154,0.00168,0.00184,0.00197,0.00211,0.00232,0.00258,0.00284,0.00316,0.00349,0.00387,0.00426,0.00469,0.00516,0.00569
32,0.00026,0.00034,0.00045,0.00056,0.00069,0.00083,0.00098,0.00114,0.00131,0.00148,0.00163,0.00178,0.00196,0.0021,0.0023,0.00255,0.00284,0.00314,0.00347,0.00383,0.00426,0.00469,0.00516,0.00569,0.00629
33,0.00028,0.00037,0.0005,0.00064,0.00078,0.00093,0.00108,0.00124,0.00139,0.00157,0.00172,0.00189,0.00208,0.00229,0.00253,0.00281,0.00313,0.00346,0.00379,0.00422,0.00469,0.00516,0.00569,0.00629,0.00697
34,0.0003,0.00042,0.00057,0.00073,0.00088,0.00102,0.00117,0.00132,0.00147,0.00165,0.00182,0.002,0.00228,0.00253,0.00279,0.0031,0.00345,0.00378,0.00419,0.00465,0.00516,0.00569,0.00629,0.00697,0.00773
35,0.00033,0.00047,0.00064,0.00081,0.00097,0.00111,0.00125,0.0014,0.00156,0.00174,0.00193,0.00224,0.00251,0.00278,0.00307,0.00342,0.00378,0.00418,0.00464,0.00516,0.00569,0.00629,0.00697,0.00773,0.00857
36,0.00036,0.00052,0.00072,0.0009,0.00105,0.00119,0.00133,0.00148,0.00164,0.00184,0.00223,0.00247,0.00276,0.00307,0.00339,0.00377,0.00417,0.00463,0.00515,0.00569,0.00629,0.00697,0.00773,0.00857,0.00951
37,0.0004,0.00058,0.00079,0.00098,0.00113,0.00127,0.00141,0.00156,0.00174,0.0022,0.00245,0.00272,0.00305,0.00339,0.00374,0.00416,0.00462,0.00514,0.00569,0.00629,0.00697,0.00773,0.00857,0.00951,0.01055
38,0.00044,0.00064,0.00086,0.00105,0.0012,0.00135,0.0015,0.00166,0.00211,0.00242,0.0027,0.003,0.00336,0.00374,0.00415,0.00461,0.00513,0.00568,0.00628,0.00697,0.00773,0.00857,0.00951,0.01055,0.0117
39,0.00047,0.00068,0.00092,0.00112,0.00128,0.00143,0.00159,0.00201,0.00232,0.00266,0.00298,0.00331,0.00371,0.00414,0.00459,0.00512,0.00568,0.00628,0.00696,0.00772,0.00857,0.00951,0.01055,0.0117,0.01296
40,0.0005,0.00072,0.00097,0.00119,0.00136,0.00152,0.00189,0.00221,0.00256,0.00293,0.00329,0.00366,0.00411,0.00458,0.00507,0.00568,0.00628,0.00696,0.00772,0.00856,0.00951,0.01055,0.0117,0.01296,0.01433
41,0.00052,0.00076,0.00103,0.00127,0.00145,0.00176,0.00208,0.00244,0.00282,0.00324,0.00364,0.00406,0.00455,0.00507,0.00562,0.00628,0.00696,0.00771,0.00855,0.00949,0.01055,0.0117,0.01296,0.01433,0.01583
42,0.00053,0.00079,0.00109,0.00136,0.0016,0.00193,0.0023,0.00269,0.00311,0.00357,0.00402,0.00448,0.00503,0.00561,0.0062,0.00696,0.00771,0.00854,0.00948,0.01052,0.0117,0.01296,0.01433,0.01583,0.01743
43,0.00055,0.00083,0.00116,0.00149,0.00176,0.00213,0.00253,0.00297,0.00344,0.00395,0.00444,0.00496,0.00556,0.00614,0.00686,0.0077,0.00853,0.00946,0.0105,0.01166,0.01296,0.01433,0.01583,0.01743,0.01915
44,0.00057,0.00087,0.00127,0.00164,0.00195,0.00235,0.0028,0.00328,0.0038,0.00437,0.00491,0.00548,0.00605,0.0068,0.0076,0.00852,0.00945,0.01048,0.01165,0.01289,0.01433,0.01583,0.01743,0.01915,0.02096
45,0.00059,0.00094,0.00139,0.00181,0.00215,0.0026,0.00309,0.00363,0.00421,0.00483,0.00543,0.00594,0.00671,0.00753,0.00842,0.00943,0.01046,0.01164,0.01289,0.01432,0.01583,0.01743,0.01915,0.02096,0.02285
46,0.00063,0.00101,0.00152,0.002,0.00238,0.00288,0.00342,0.00402,0.00466,0.00534,0.00588,0.00658,0.00743,0.00834,0.00933,0.01044,0.01163,0.01289,0.0143,0.0157,0.01743,0.01915,0.02096,0.02285,0.02495
47,0.00067,0.0011,0.00167,0.00221,0.00264,0.00319,0.0038,0.00445,0.00516,0.00578,0.00651,0.0073,0.00824,0.00925,0.01035,0.01157,0.01288,0.01428,0.0157,0.01729,0.01915,0.02096,0.02285,0.02495,0.02728
48,0.00071,0.00119,0.00184,0.00244,0.00292,0.00354,0.00421,0.00493,0.00558,0.00641,0.00723,0.0081,0.00914,0.01027,0.01148,0.01283,0.01426,0.0157,0.01723,0.019,0.02096,0.02285,0.02495,0.02728,0.02953
49,0.00076,0.00129,0.00202,0.0027,0.00325,0.00393,0.00467,0.00535,0.00619,0.00712,0.008,0.00894,0.0101,0.01135,0.01267,0.01414,0.0157,0.01723,0.01886,0.02076,0.02285,0.02495,0.02728,0.02953,0.03202
50,0.00082,0.00141,0.00222,0.00298,0.00361,0.00436,0.00509,0.00594,0.00688,0.0079,0.00886,0.00989,0.01116,0.01253,0.01397,0.01556,0.01723,0.01885,0.02073,0.02259,0.02495,0.02728,0.02953,0.03202,0.03471
51,0.00088,0.00154,0.00244,0.0033,0.00402,0.0048,0.00566,0.0066,0.00764,0.00879,0.00983,0.01093,0.01233,0.01381,0.01536,0.01707,0.01885,0.0207,0.02258,0.02459,0.02728,0.02953,0.03202,0.03471,0.0377
52,0.00095,0.00168,0.00268,0.00366,0.00447,0.00534,0.0063,0.00734,0.0085,0.00978,0.01093,0.01224,0.01367,0.01528,0.01694,0.01876,0.02066,0.02258,0.02457,0.02679,0.02953,0.03202,0.03471,0.0377,0.04099
53,0.00102,0.00184,0.00296,0.00405,0.00498,0.00595,0.00702,0.00818,0.00947,0.01088,0.01215,0.0136,0.01512,0.01684,0.0187,0.02063,0.02258,0.02455,0.02674,0.02908,0.03202,0.03471,0.0377,0.04099,0.04469
54,0.0011,0.00201,0.00326,0.00449,0.00556,0.00664,0.00783,0.00912,0.01056,0.01211,0.01354,0.01509,0.0168,0.01865,0.0206,0.02258,0.02453,0.02669,0.02907,0.03189,0.03471,0.0377,0.04099,0.04469,0.04874
55,0.00119,0.00221,0.00359,0.00499,0.00622,0.00742,0.00875,0.01019,0.01176,0.01346,0.01506,0.01671,0.01862,0.02056,0.02258,0.02451,0.02664,0.02905,0.03176,0.03471,0.0377,0.04099,0.04469,0.04874,0.05322
56,0.00129,0.00242,0.00396,0.00554,0.00696,0.00831,0.00978,0.01137,0.0131,0.01494,0.01671,0.01853,0.02055,0.02257,0.02449,0.02659,0.02903,0.03171,0.03454,0.0377,0.04099,0.04469,0.04874,0.05322,0.05918
57,0.0014,0.00266,0.00439,0.00617,0.00782,0.00931,0.01095,0.01269,0.01456,0.01654,0.01842,0.02033,0.02241,0.02447,0.02654,0.02902,0.03167,0.03446,0.03747,0.04099,0.04469,0.04874,0.05322,0.05918,0.06633
58,0.00152,0.00294,0.00486,0.00689,0.00879,0.01044,0.01223,0.01413,0.01614,0.01825,0.02022,0.02219,0.02431,0.02649,0.02878,0.03145,0.03438,0.03744,0.04082,0.04469,0.04874,0.05322,0.05918,0.06633,0.07445
59,0.00166,0.00325,0.00541,0.00771,0.00988,0.0117,0.01365,0.01569,0.01785,0.02006,0.02213,0.02416,0.02647,0.02871,0.03126,0.03423,0.03741,0.04078,0.04448,0.04874,0.05322,0.05918,0.06633,0.07445,0.08354
60,0.00181,0.0036,0.00603,0.00864,0.01112,0.01309,0.01519,0.01738,0.01965,0.02196,0.02409,0.02638,0.02855,0.03115,0.03407,0.03727,0.04074,0.04441,0.04853,0.05322,0.05918,0.06633,0.07445,0.08354,0.09283
61,0.00198,0.004,0.00673,0.00969,0.01249,0.01462,0.01687,0.01918,0.02154,0.0239,0.02632,0.02837,0.03095,0.03396,0.03714,0.0406,0.04435,0.04837,0.05303,0.05918,0.06633,0.07445,0.08354,0.09283,0.10118
62,0.00218,0.00446,0.00753,0.01088,0.01401,0.01628,0.01866,0.02106,0.02349,0.02612,0.02817,0.03065,0.03369,0.03694,0.04037,0.04405,0.04826,0.0529,0.05918,0.06633,0.07445,0.08354,0.09283,0.10118,0.1144
63,0.0024,0.00497,0.00843,0.01221,0.01567,0.01808,0.02056,0.02303,0.02572,0.02795,0.0304,0.03339,0.03667,0.04012,0.0437,0.04784,0.05266,0.05894,0.06633,0.07445,0.08354,0.09283,0.10118,0.1144,0.12614
64,0.00264,0.00553,0.00944,0.0137,0.01746,0.01998,0.02253,0.02524,0.02753,0.03014,0.03298,0.03644,0.03938,0.04284,0.04683,0.05194,0.0586,0.06633,0.07445,0.08354,0.09283,0.10118,0.1144,0.12614,0.13898
65,0.0029,0.00615,0.01058,0.01535,0.01937,0.02196,0.02471,0.02708,0.02965,0.03293,0.03621,0.03928,0.04193,0.04582,0.05054,0.05769,0.06564,0.07445,0.08354,0.09283,0.10118,0.1144,0.12614,0.13898,0.15262
66,0.00319,0.00684,0.01186,0.01719,0.02136,0.02408,0.0266,0.02912,0.03247,0.03599,0.03919,0.04188,0.04474,0.04947,0.05582,0.06454,0.07445,0.08354,0.09283,0.10118,0.1144,0.12614,0.13898,0.15262,0.16687
67,0.00351,0.00758,0.0133,0.01922,0.0234,0.02606,0.02857,0.03195,0.03553,0.03909,0.04183,0.04452,0.04936,0.05572,0.06424,0.07414,0.08354,0.09283,0.10118,0.1144,0.12614,0.13898,0.15262,0.16687,0.18115
68,0.00385,0.00838,0.01492,0.02146,0.02552,0.02797,0.03146,0.03509,0.03867,0.04178,0.04431,0.04925,0.05563,0.06395,0.07382,0.08311,0.09283,0.10118,0.1144,0.12614,0.13898,0.15262,0.16687,0.18115,0.19589
69,0.00423,0.00924,0.01675,0.02392,0.02733,0.03087,0.0346,0.03818,0.04114,0.04409,0.04914,0.05554,0.06365,0.0735,0.08267,0.09224,0.10118,0.1144,0.12614,0.13898,0.15262,0.16687,0.18115,0.19589,0.21092
70,0.00463,0.01016,0.01878,0.0266,0.03024,0.03403,0.03764,0.04041,0.04388,0.04912,0.05544,0.06335,0.07318,0.08224,0.09165,0.10118,0.1144,0.12614,0.13898,0.15262,0.16687,0.18115,0.19589,0.21092,0.22476
71,0.00507,0.01115,0.02105,0.02953,0.0334,0.03701,0.03961,0.04289,0.04819,0.05503,0.06305,0.07287,0.08129,0.09106,0.1004,0.1144,0.12614,0.13898,0.15262,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885
72,0.00555,0.01221,0.02356,0.0327,0.03631,0.0387,0.04178,0.04715,0.05395,0.06215,0.0721,0.08129,0.09048,0.09961,0.11275,0.12614,0.13898,0.15262,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657
73,0.00608,0.01338,0.02632,0.03553,0.03767,0.04052,0.04592,0.05263,0.06075,0.0709,0.07784,0.08855,0.09883,0.11179,0.12614,0.13898,0.15262,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509
74,0.00667,0.01469,0.02934,0.03658,0.03917,0.0446,0.05119,0.05919,0.06924,0.07652,0.08538,0.09659,0.10825,0.12583,0.13898,0.15262,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422
75,0.00733,0.01615,0.03262,0.03773,0.04318,0.04964,0.05748,0.06735,0.07471,0.08441,0.0931,0.10825,0.12564,0.13837,0.15262,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337
76,0.00808,0.0178,0.03498,0.04167,0.04796,0.05562,0.06522,0.07471,0.08295,0.09202,0.10497,0.12545,0.13777,0.15196,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199
77,0.00893,0.01964,0.03747,0.04616,0.0536,0.06286,0.07132,0.08295,0.09049,0.10361,0.12527,0.13673,0.15123,0.16687,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742
78,0.0099,0.02172,0.04015,0.05142,0.06026,0.06768,0.07914,0.09049,0.10176,0.11797,0.13547,0.14977,0.16582,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258
79,0.01099,0.02404,0.04308,0.05742,0.06768,0.07355,0.08654,0.10176,0.1144,0.12909,0.14816,0.16406,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703
80,0.01224,0.02681,0.04629,0.06497,0.07286,0.08056,0.09696,0.11328,0.12492,0.14611,0.16158,0.18115,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037
81,0.01374,0.02992,0.0503,0.06973,0.07842,0.09002,0.10706,0.12339,0.13549,0.15805,0.17942,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219
82,0.01545,0.03338,0.05469,0.07478,0.0844,0.09797,0.11627,0.13259,0.15364,0.17596,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721
83,0.01738,0.0373,0.05946,0.08001,0.09077,0.10558,0.12347,0.14835,0.17076,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811
84,0.01961,0.04168,0.06455,0.08549,0.09729,0.11201,0.13966,0.16383,0.19589,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554
85,0.02214,0.04658,0.07,0.09096,0.10309,0.12951,0.15516,0.19145,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448
86,0.02504,0.05194,0.0756,0.09621,0.11163,0.14187,0.18256,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502
87,0.02828,0.05786,0.08117,0.10101,0.12672,0.16923,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724
88,0.03194,0.06422,0.08649,0.11073,0.15145,0.21092,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123
89,0.036,0.07096,0.09159,0.12923,0.19124,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871
90,0.04043,0.07756,0.10257,0.15189,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494
91,0.04751,0.08089,0.13459,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487
92,0.05921,0.1173,0.22476,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699
93,0.07641,0.16208,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143
94,0.0994,0.18418,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833
95,0.12951,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833,0.9478

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Distinct Smoker, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00039,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00044,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0014,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00166,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00177,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00187,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00198,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00209,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00222,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00243,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00266,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00292,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0032,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00351,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00387,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00426,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00469,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00516,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00569,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00629,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00697,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00773,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00857,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00951,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01055,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0117,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01296,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01433,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01583,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01743,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01915,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02096,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02285,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02495,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02728,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02953,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03202,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03471,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0377,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04099,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04469,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04874,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05322,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05918,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06633,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07445,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08354,,,,,,,,,,,,,,,,,,,,,,,,
