Table Name:,"2001 VBT Residual Standard Select and Ultimate - Male Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00087,0.00105,0.00118,0.00127,0.00135,0.00141,0.00147,0.00155,0.00163
1,,,,,,,,,,,,,,,,0.00083,0.00101,0.00116,0.00126,0.00134,0.00141,0.00147,0.00155,0.00163,0.00172
2,,,,,,,,,,,,,,,0.0008,0.00097,0.00113,0.00125,0.00134,0.00141,0.00147,0.00155,0.00163,0.00171,0.00179
3,,,,,,,,,,,,,,0.00079,0.00096,0.00112,0.00124,0.00134,0.00141,0.00147,0.00155,0.00163,0.00171,0.00176,0.00182
4,,,,,,,,,,,,,0.00079,0.00096,0.00112,0.00124,0.00133,0.00141,0.00147,0.00155,0.00163,0.00171,0.00175,0.00179,0.00182
5,,,,,,,,,,,,0.00078,0.00096,0.00112,0.00124,0.00133,0.0014,0.00147,0.00155,0.00163,0.00169,0.00174,0.00176,0.00178,0.0018
6,,,,,,,,,,,0.00078,0.00096,0.00112,0.00124,0.00132,0.0014,0.00145,0.00153,0.00162,0.00168,0.0017,0.00173,0.00175,0.00177,0.00179
7,,,,,,,,,,0.00078,0.00096,0.00112,0.00124,0.00131,0.00138,0.00145,0.00152,0.00161,0.00167,0.00169,0.00171,0.00174,0.00176,0.00178,0.0018
8,,,,,,,,,0.00078,0.00096,0.00112,0.00123,0.00131,0.00137,0.00143,0.00149,0.00159,0.00166,0.00169,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184
9,,,,,,,,0.00077,0.00096,0.00112,0.00123,0.0013,0.00136,0.00141,0.00149,0.00156,0.00165,0.00169,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189
10,,,,,,,0.00077,0.00096,0.0011,0.00122,0.00129,0.00135,0.0014,0.00146,0.00155,0.00163,0.00169,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189,0.00195
11,,,,,,0.00077,0.00096,0.0011,0.0012,0.00127,0.00133,0.00138,0.00145,0.00154,0.00163,0.00168,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189,0.00195,0.00203
12,,,,,0.00077,0.00096,0.0011,0.00119,0.00126,0.00131,0.00137,0.00143,0.00152,0.00162,0.00168,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189,0.00195,0.00203,0.00214
13,,,,0.00077,0.00096,0.0011,0.00118,0.00124,0.0013,0.00135,0.00141,0.0015,0.00159,0.00167,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189,0.00195,0.00203,0.00214,0.00228
14,,,0.00077,0.00096,0.00109,0.00117,0.00123,0.00128,0.00133,0.00139,0.00147,0.00156,0.00166,0.00171,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189,0.00195,0.00203,0.00214,0.00228,0.00245
15,,0.00077,0.00096,0.00109,0.00116,0.00121,0.00127,0.00131,0.00137,0.00145,0.00154,0.00161,0.00169,0.00174,0.00176,0.00178,0.0018,0.00184,0.00189,0.00195,0.00203,0.00214,0.00228,0.00245,0.00264
16,0.00077,0.00096,0.00109,0.00115,0.0012,0.00126,0.00131,0.00135,0.00143,0.0015,0.00157,0.00164,0.00168,0.00174,0.00176,0.00178,0.00184,0.00189,0.00195,0.00203,0.00214,0.00228,0.00245,0.00264,0.00287
17,0.00096,0.00108,0.00115,0.00119,0.00123,0.00129,0.00135,0.0014,0.00148,0.00152,0.00157,0.00162,0.00166,0.00171,0.00175,0.00176,0.00189,0.00194,0.00203,0.00213,0.00228,0.00245,0.00264,0.00287,0.00316
18,0.00106,0.00112,0.00116,0.00121,0.00125,0.0013,0.00137,0.00143,0.00148,0.00151,0.00154,0.00158,0.00162,0.00169,0.00176,0.00181,0.00194,0.00202,0.00213,0.00227,0.00245,0.00263,0.00287,0.00316,0.0035
19,0.00106,0.00111,0.00115,0.0012,0.00124,0.00131,0.00136,0.00141,0.00144,0.00146,0.0015,0.00153,0.00159,0.00168,0.00181,0.0019,0.00202,0.00213,0.00227,0.00245,0.00263,0.00286,0.00316,0.0035,0.00391
20,0.00103,0.00107,0.00111,0.00116,0.00122,0.00127,0.00132,0.00134,0.00138,0.00141,0.00145,0.0015,0.00159,0.00171,0.00188,0.00202,0.00213,0.00227,0.00245,0.00263,0.00286,0.00315,0.0035,0.00391,0.00438
21,0.00098,0.00102,0.00106,0.00111,0.00117,0.0012,0.00125,0.00127,0.00131,0.00137,0.00143,0.0015,0.0016,0.00176,0.00195,0.00213,0.00227,0.00245,0.00263,0.00286,0.00315,0.0035,0.00391,0.00438,0.00484
22,0.00092,0.00096,0.00101,0.00108,0.00113,0.00117,0.0012,0.00123,0.00128,0.00135,0.00143,0.00152,0.00165,0.00182,0.00205,0.00227,0.00245,0.00263,0.00286,0.00315,0.0035,0.00391,0.00436,0.00484,0.0053
23,0.00085,0.0009,0.00097,0.00105,0.00111,0.00116,0.00119,0.00123,0.00129,0.00138,0.00147,0.00158,0.00172,0.00192,0.00219,0.00243,0.00263,0.00286,0.00315,0.0035,0.00389,0.00436,0.00482,0.00529,0.00566
24,0.00075,0.00083,0.00094,0.00104,0.00111,0.00116,0.0012,0.00126,0.00134,0.00144,0.00154,0.00166,0.00183,0.00205,0.00233,0.00261,0.00286,0.00315,0.0035,0.00389,0.00434,0.00481,0.00525,0.00565,0.00593
25,0.00066,0.00079,0.00093,0.00106,0.00113,0.00118,0.00123,0.00131,0.0014,0.00152,0.00164,0.00178,0.00197,0.00222,0.00251,0.00285,0.00315,0.0035,0.00389,0.00434,0.00481,0.00525,0.00561,0.00593,0.00628
26,0.00062,0.00078,0.00095,0.00109,0.00117,0.00122,0.00129,0.00138,0.00149,0.00163,0.00177,0.00194,0.00213,0.00244,0.00274,0.00313,0.0035,0.00389,0.00434,0.00481,0.00524,0.00561,0.00593,0.00628,0.00674
27,0.0006,0.0008,0.00098,0.00112,0.00122,0.00128,0.00137,0.00147,0.0016,0.00177,0.00194,0.00213,0.00236,0.00269,0.00302,0.00346,0.00388,0.00433,0.00481,0.00523,0.0056,0.00593,0.00628,0.00674,0.00733
28,0.00061,0.00083,0.00101,0.00115,0.00128,0.00136,0.00146,0.00159,0.00172,0.00193,0.00213,0.00236,0.00262,0.00296,0.00335,0.00385,0.00433,0.00481,0.00523,0.0056,0.00593,0.00628,0.00674,0.00733,0.00807
29,0.0006,0.00084,0.00103,0.00119,0.00135,0.00146,0.00159,0.00172,0.00189,0.00213,0.00234,0.0026,0.00287,0.00324,0.0037,0.00425,0.00476,0.00523,0.0056,0.00593,0.00628,0.00674,0.00733,0.00807,0.00897
30,0.0006,0.00085,0.00103,0.00122,0.0014,0.00157,0.00172,0.00187,0.00206,0.00229,0.00251,0.00281,0.00315,0.00358,0.0041,0.00466,0.00515,0.00559,0.00593,0.00628,0.00674,0.00733,0.00807,0.00897,0.01002
31,0.00057,0.00082,0.00104,0.00124,0.00145,0.00164,0.00183,0.002,0.00217,0.00239,0.00265,0.00303,0.0035,0.00402,0.00457,0.0051,0.00556,0.00593,0.00628,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114
32,0.00058,0.00083,0.00107,0.00129,0.00151,0.00171,0.00193,0.00211,0.00228,0.0025,0.00283,0.00329,0.00389,0.00447,0.00502,0.00552,0.00593,0.00628,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114,0.0123
33,0.00063,0.00088,0.00113,0.00136,0.00161,0.00183,0.00206,0.00225,0.00244,0.00269,0.00309,0.00363,0.00428,0.00489,0.00544,0.0059,0.00628,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114,0.0123,0.01334
34,0.00068,0.00093,0.0012,0.00144,0.0017,0.00196,0.00219,0.00243,0.00267,0.003,0.00345,0.00403,0.00467,0.00532,0.00586,0.00628,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114,0.0123,0.01334,0.01432
35,0.00073,0.00098,0.00125,0.00151,0.00178,0.00205,0.00232,0.00264,0.00298,0.0034,0.00388,0.00444,0.00509,0.00576,0.00628,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114,0.0123,0.01334,0.01431,0.01549
36,0.00078,0.00101,0.0013,0.00157,0.00185,0.00214,0.00249,0.00292,0.00336,0.00382,0.0043,0.00485,0.00552,0.00624,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114,0.0123,0.01334,0.01431,0.01547,0.01699
37,0.00083,0.00109,0.00139,0.00166,0.00194,0.00229,0.00274,0.00326,0.00377,0.00424,0.00471,0.00526,0.00597,0.00674,0.00733,0.00807,0.00897,0.01002,0.01114,0.0123,0.01334,0.0143,0.01545,0.01695,0.01885
38,0.0009,0.00122,0.00152,0.00178,0.00208,0.0025,0.00306,0.00363,0.00418,0.00465,0.00512,0.00572,0.00648,0.00732,0.00807,0.00897,0.01002,0.01114,0.0123,0.01334,0.0143,0.01543,0.01692,0.01881,0.02101
39,0.00098,0.00134,0.00165,0.00193,0.00229,0.0028,0.00342,0.00401,0.00456,0.00506,0.00559,0.00628,0.0071,0.00803,0.00894,0.01001,0.01114,0.0123,0.01334,0.01429,0.01541,0.01688,0.01877,0.02098,0.02331
40,0.00105,0.00144,0.00182,0.00215,0.00258,0.00317,0.00381,0.00442,0.00496,0.00553,0.00619,0.00698,0.00787,0.00886,0.00997,0.01114,0.0123,0.01334,0.01429,0.01539,0.01684,0.01873,0.02095,0.02329,0.02557
41,0.00111,0.00159,0.00204,0.00244,0.00292,0.00354,0.00421,0.00482,0.00543,0.00613,0.0069,0.00778,0.00877,0.00988,0.01112,0.0123,0.01334,0.01428,0.01537,0.0168,0.01869,0.02092,0.02328,0.02552,0.02772
42,0.00118,0.00172,0.00223,0.0027,0.00321,0.00384,0.00454,0.00523,0.00595,0.00677,0.00764,0.00865,0.00982,0.01108,0.0123,0.01334,0.01428,0.01534,0.01677,0.01865,0.0209,0.02327,0.02548,0.02761,0.02981
43,0.00126,0.00184,0.00238,0.00288,0.00342,0.00408,0.00485,0.00567,0.0065,0.00742,0.00839,0.00966,0.01103,0.0123,0.01334,0.01427,0.01532,0.01673,0.01861,0.02087,0.02325,0.02544,0.02749,0.02967,0.03196
44,0.00138,0.00197,0.00252,0.00304,0.00364,0.00437,0.00526,0.00619,0.00715,0.00815,0.00929,0.01086,0.01228,0.01334,0.01427,0.0153,0.01669,0.01858,0.02084,0.02324,0.0254,0.02739,0.02952,0.03183,0.03418
45,0.00153,0.0021,0.00265,0.0032,0.0039,0.00474,0.00574,0.00679,0.00787,0.00898,0.01035,0.01203,0.01334,0.01427,0.0153,0.01666,0.01854,0.02081,0.02322,0.02535,0.02727,0.02938,0.03169,0.03409,0.03662
46,0.00168,0.00223,0.00277,0.0034,0.00422,0.00517,0.00626,0.00745,0.00861,0.00994,0.01141,0.01301,0.01427,0.0153,0.01666,0.0185,0.02078,0.02321,0.02531,0.02716,0.02923,0.03155,0.03399,0.0366,0.0394
47,0.00184,0.00238,0.00297,0.00369,0.00457,0.00559,0.0068,0.0081,0.00938,0.01095,0.01236,0.01392,0.0153,0.01666,0.0185,0.02076,0.02319,0.02526,0.02705,0.02909,0.03142,0.0339,0.03656,0.0394,0.04281
48,0.002,0.00261,0.00328,0.00406,0.00496,0.00603,0.00731,0.00875,0.01013,0.01177,0.01323,0.01491,0.01665,0.0185,0.02076,0.02318,0.02522,0.02693,0.02894,0.03128,0.03381,0.03653,0.0394,0.04281,0.04678
49,0.00217,0.00289,0.00365,0.00448,0.0054,0.0065,0.00788,0.00941,0.01082,0.01244,0.01415,0.01621,0.01846,0.02076,0.02318,0.02518,0.02682,0.02879,0.03115,0.03371,0.03651,0.0394,0.04281,0.04678,0.05076
50,0.00241,0.00324,0.00409,0.00497,0.00589,0.00702,0.00844,0.00999,0.01149,0.01322,0.01532,0.018,0.02067,0.02318,0.02518,0.02671,0.02865,0.03101,0.03362,0.03648,0.0394,0.04281,0.04678,0.05076,0.05507
51,0.00268,0.00365,0.00461,0.00554,0.00646,0.00758,0.00897,0.01058,0.01228,0.01433,0.01694,0.02015,0.02304,0.02517,0.02671,0.0285,0.03087,0.03353,0.03645,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974
52,0.00289,0.00404,0.00513,0.00613,0.00709,0.0082,0.00966,0.01145,0.0134,0.01592,0.01899,0.02248,0.02492,0.0267,0.0285,0.03074,0.03344,0.03642,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478
53,0.00301,0.00439,0.00564,0.00673,0.00773,0.00894,0.01061,0.01271,0.01493,0.01789,0.02121,0.02433,0.02651,0.0285,0.03074,0.03335,0.03639,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062
54,0.00314,0.00477,0.00617,0.00731,0.00838,0.00981,0.01181,0.01424,0.01673,0.01992,0.02291,0.02582,0.02849,0.03074,0.03335,0.03636,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732
55,0.00328,0.00512,0.00665,0.00787,0.00911,0.01088,0.01326,0.016,0.01866,0.02152,0.02435,0.02772,0.03074,0.03335,0.03636,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467
56,0.0034,0.0054,0.00707,0.00851,0.01003,0.01217,0.01488,0.01784,0.02057,0.02335,0.02665,0.03035,0.03335,0.03636,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266
57,0.00358,0.00569,0.00755,0.00927,0.01118,0.01366,0.01659,0.0196,0.02229,0.02557,0.02931,0.03334,0.03636,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011
58,0.00388,0.00605,0.00812,0.01019,0.01251,0.01527,0.01831,0.02123,0.02382,0.02751,0.03174,0.03636,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964
59,0.00427,0.0065,0.0088,0.01123,0.01393,0.01691,0.01998,0.0228,0.02529,0.02945,0.03431,0.0394,0.04281,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868
60,0.00476,0.00705,0.00955,0.0123,0.01535,0.01854,0.02159,0.02432,0.02675,0.03153,0.03704,0.04279,0.04678,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888
61,0.00533,0.00768,0.01037,0.01341,0.01678,0.02018,0.02325,0.02593,0.02843,0.03386,0.03979,0.04618,0.05076,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046
62,0.00583,0.00841,0.0114,0.01475,0.01836,0.02194,0.02514,0.02795,0.03068,0.03659,0.04272,0.04926,0.05507,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294
63,0.00614,0.00923,0.01264,0.01632,0.02017,0.02394,0.02737,0.03051,0.03358,0.03982,0.04616,0.05302,0.05974,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661
64,0.00634,0.01005,0.01396,0.01803,0.02218,0.0262,0.02994,0.03345,0.03693,0.0435,0.05023,0.05766,0.06478,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797
65,0.00643,0.01103,0.01539,0.01981,0.02435,0.02856,0.03247,0.03624,0.04012,0.04706,0.05436,0.06256,0.07062,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797,0.19352
66,0.00663,0.01227,0.01697,0.02162,0.02668,0.03098,0.03493,0.03881,0.043,0.05038,0.0584,0.06757,0.07732,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797,0.19352,0.2066
67,0.00731,0.01365,0.01871,0.0236,0.02895,0.03365,0.03797,0.04215,0.04642,0.05441,0.06338,0.07371,0.08467,0.09266,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797,0.19352,0.2066,0.21872
68,0.00826,0.01517,0.02064,0.02576,0.03041,0.03668,0.04125,0.04547,0.04986,0.05862,0.06866,0.07995,0.09218,0.1011,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797,0.19352,0.2066,0.21872,0.23098
69,0.00922,0.01686,0.02275,0.02809,0.0312,0.0399,0.04403,0.04802,0.05481,0.0645,0.07554,0.08791,0.10056,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797,0.19352,0.2066,0.21872,0.23098,0.2435
70,0.01106,0.01875,0.02506,0.02983,0.0338,0.04277,0.04638,0.05199,0.06082,0.07132,0.08346,0.09682,0.10964,0.11868,0.12888,0.14046,0.15294,0.1661,0.1797,0.19352,0.2066,0.21872,0.23098,0.2435,0.25678
71,0.01412,0.02085,0.02761,0.03257,0.03822,0.04494,0.0494,0.05594,0.06341,0.07438,0.08711,0.10085,0.1154,0.12838,0.14046,0.15255,0.1661,0.1797,0.19352,0.2066,0.21872,0.23098,0.2435,0.25678,0.27038
72,0.0171,0.02425,0.03112,0.03679,0.04187,0.04678,0.05184,0.05908,0.0642,0.07529,0.08817,0.10241,0.11821,0.13558,0.15148,0.16565,0.17923,0.19352,0.20576,0.21872,0.23098,0.2435,0.25678,0.27038,0.28363
73,0.01994,0.0278,0.03467,0.04043,0.04512,0.04926,0.05559,0.06231,0.06641,0.07994,0.09474,0.10617,0.12281,0.14088,0.16011,0.1783,0.19257,0.20539,0.21768,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749
74,0.02331,0.02979,0.03723,0.04412,0.04853,0.05396,0.06069,0.06557,0.0747,0.09162,0.10424,0.11653,0.13426,0.15321,0.17302,0.19029,0.20462,0.21722,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199
75,0.02521,0.03196,0.04005,0.04792,0.05295,0.05949,0.06491,0.07349,0.08981,0.10329,0.11541,0.1335,0.15259,0.17064,0.1889,0.20289,0.21683,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716
76,0.02541,0.03441,0.04333,0.05194,0.05842,0.06456,0.07308,0.08803,0.1025,0.11485,0.131,0.15045,0.16856,0.18539,0.20118,0.21645,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301
77,0.02602,0.03637,0.04666,0.05718,0.06413,0.07256,0.08706,0.10171,0.11445,0.129,0.14447,0.16444,0.18196,0.19948,0.21606,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958
78,0.02722,0.03852,0.05062,0.06359,0.07191,0.08598,0.10093,0.11405,0.12787,0.14071,0.15814,0.1786,0.19781,0.21568,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691
79,0.02864,0.04148,0.05573,0.07114,0.08477,0.10016,0.11365,0.12676,0.13899,0.15394,0.17432,0.19441,0.2153,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501
80,0.03029,0.04552,0.06224,0.08031,0.0994,0.11326,0.12565,0.1376,0.15187,0.16934,0.1916,0.21277,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541
81,0.03252,0.0508,0.07049,0.09132,0.11286,0.12456,0.13623,0.15093,0.1668,0.18825,0.2124,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927
82,0.03593,0.05768,0.08048,0.10394,0.12348,0.13487,0.15001,0.1652,0.18658,0.21203,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447
83,0.04124,0.06634,0.09196,0.11772,0.13353,0.14908,0.16361,0.18494,0.21166,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911
84,0.04874,0.07665,0.1046,0.13219,0.14817,0.16204,0.18332,0.2113,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922
85,0.0582,0.08852,0.11833,0.14726,0.16049,0.18172,0.21093,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891
86,0.06925,0.102,0.13344,0.15896,0.18014,0.21057,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025
87,0.08184,0.11749,0.15062,0.17858,0.21021,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333
88,0.09683,0.13567,0.17705,0.20985,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821
89,0.11579,0.16917,0.2095,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501
90,0.15322,0.20914,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378
91,0.20004,0.23098,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463
92,0.22837,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762
93,0.2435,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281
94,0.25678,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028
95,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993
96,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1
97,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,
98,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,,
