Table Name:,"2001 CSO Super Preferred Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,0.00039,0.00044,0.00047,0.00049,0.00049,0.00049,0.0005,0.0005,0.00052,0.00053,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063
11,,,,,,0.00039,0.00044,0.00047,0.00049,0.00049,0.00049,0.0005,0.0005,0.00052,0.00053,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063,0.00066
12,,,,,0.00039,0.00044,0.00047,0.00048,0.00048,0.00048,0.00049,0.0005,0.00051,0.00053,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063,0.00066,0.00069
13,,,,0.00039,0.00044,0.00047,0.00048,0.00048,0.00048,0.00049,0.00049,0.00051,0.00052,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063,0.00066,0.00069,0.00073
14,,,0.00039,0.00044,0.00046,0.00048,0.00048,0.00048,0.00049,0.00049,0.0005,0.00052,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063,0.00066,0.00069,0.00073,0.00078
15,,0.00039,0.00044,0.00046,0.00047,0.00047,0.00047,0.00048,0.00048,0.00049,0.00051,0.00053,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063,0.00066,0.00069,0.00073,0.00078,0.00083
16,0.00039,0.00043,0.00046,0.00047,0.00047,0.00047,0.00048,0.00048,0.00049,0.0005,0.00051,0.00054,0.00055,0.00056,0.00057,0.00058,0.00059,0.00061,0.00063,0.00066,0.00069,0.00073,0.00078,0.00083,0.00089
17,0.00043,0.00045,0.00046,0.00046,0.00046,0.00047,0.00047,0.00048,0.0005,0.00051,0.00052,0.00054,0.00054,0.00055,0.00056,0.00057,0.00061,0.00063,0.00066,0.00069,0.00073,0.00078,0.00083,0.00089,0.00097
18,0.00045,0.00045,0.00045,0.00046,0.00046,0.00047,0.00048,0.00049,0.0005,0.00051,0.00052,0.00053,0.00054,0.00056,0.00057,0.00059,0.00063,0.00066,0.00069,0.00073,0.00078,0.00083,0.00089,0.00097,0.00106
19,0.00043,0.00043,0.00044,0.00044,0.00045,0.00046,0.00047,0.00048,0.00049,0.00049,0.00051,0.00052,0.00053,0.00056,0.00059,0.00062,0.00065,0.00069,0.00073,0.00078,0.00083,0.00089,0.00097,0.00106,0.00116
20,0.00041,0.00041,0.00042,0.00042,0.00044,0.00045,0.00046,0.00047,0.00047,0.00048,0.0005,0.00051,0.00053,0.00057,0.00061,0.00065,0.00069,0.00073,0.00078,0.00083,0.00089,0.00097,0.00106,0.00116,0.00128
21,0.00039,0.00039,0.0004,0.00041,0.00042,0.00043,0.00045,0.00045,0.00046,0.00048,0.00049,0.00052,0.00054,0.00059,0.00064,0.00069,0.00073,0.00078,0.00083,0.00089,0.00097,0.00106,0.00116,0.00128,0.0014
22,0.00037,0.00037,0.00039,0.0004,0.00041,0.00042,0.00044,0.00044,0.00045,0.00048,0.0005,0.00052,0.00056,0.00062,0.00067,0.00073,0.00078,0.00083,0.00089,0.00097,0.00106,0.00116,0.00128,0.0014,0.00153
23,0.00034,0.00035,0.00037,0.00039,0.00041,0.00042,0.00043,0.00044,0.00046,0.00049,0.00052,0.00055,0.00059,0.00064,0.00071,0.00078,0.00083,0.00089,0.00097,0.00106,0.00116,0.00128,0.0014,0.00153,0.00164
24,0.00031,0.00033,0.00036,0.00039,0.00041,0.00042,0.00044,0.00045,0.00048,0.00051,0.00054,0.00058,0.00062,0.00068,0.00076,0.00083,0.00089,0.00097,0.00106,0.00116,0.00128,0.0014,0.00153,0.00164,0.00175
25,0.00029,0.00032,0.00036,0.0004,0.00041,0.00043,0.00045,0.00047,0.0005,0.00054,0.00057,0.00061,0.00066,0.00073,0.00081,0.00089,0.00097,0.00106,0.00116,0.00128,0.0014,0.00153,0.00164,0.00175,0.00188
26,0.00028,0.00033,0.00037,0.00041,0.00043,0.00045,0.00047,0.0005,0.00053,0.00057,0.00061,0.00066,0.00071,0.00079,0.00087,0.00097,0.00106,0.00116,0.00128,0.0014,0.00153,0.00164,0.00175,0.00188,0.00205
27,0.00028,0.00034,0.00038,0.00042,0.00045,0.00047,0.0005,0.00053,0.00057,0.00061,0.00066,0.00071,0.00077,0.00086,0.00095,0.00106,0.00116,0.00128,0.0014,0.00152,0.00164,0.00175,0.00188,0.00205,0.00229
28,0.00029,0.00034,0.00039,0.00043,0.00047,0.00049,0.00053,0.00057,0.0006,0.00066,0.00071,0.00077,0.00085,0.00093,0.00103,0.00116,0.00127,0.0014,0.00152,0.00163,0.00175,0.00188,0.00205,0.00229,0.00257
29,0.00029,0.00035,0.0004,0.00045,0.00049,0.00053,0.00057,0.0006,0.00065,0.00071,0.00077,0.00084,0.00092,0.00101,0.00112,0.00126,0.00138,0.00151,0.00163,0.00174,0.00188,0.00205,0.00228,0.00257,0.00288
30,0.00029,0.00036,0.00041,0.00046,0.00051,0.00056,0.0006,0.00064,0.0007,0.00076,0.00082,0.0009,0.00099,0.0011,0.00123,0.00136,0.00148,0.00161,0.00173,0.00187,0.00201,0.00226,0.00254,0.00288,0.00325
31,0.0003,0.00036,0.00042,0.00048,0.00053,0.00058,0.00063,0.00068,0.00073,0.00079,0.00087,0.00096,0.00108,0.00121,0.00135,0.00147,0.0016,0.00173,0.00186,0.002,0.00221,0.00253,0.00284,0.00322,0.00368
32,0.00031,0.00037,0.00044,0.0005,0.00055,0.00061,0.00067,0.00072,0.00077,0.00083,0.00092,0.00103,0.00118,0.00132,0.00146,0.00158,0.00171,0.00186,0.002,0.00219,0.00249,0.00281,0.00316,0.0036,0.00412
33,0.00033,0.00039,0.00046,0.00052,0.00059,0.00064,0.00071,0.00076,0.00082,0.00089,0.00099,0.00112,0.00128,0.00143,0.00157,0.00169,0.00185,0.002,0.00219,0.00241,0.00275,0.00309,0.00352,0.00402,0.00458
34,0.00035,0.00042,0.00048,0.00055,0.00062,0.00068,0.00075,0.00081,0.00088,0.00096,0.00108,0.00122,0.00138,0.00154,0.00168,0.00181,0.002,0.00219,0.00241,0.00265,0.00301,0.00341,0.00388,0.00442,0.00495
35,0.00037,0.00044,0.0005,0.00058,0.00065,0.00072,0.00079,0.00087,0.00096,0.00106,0.00119,0.00133,0.00149,0.00165,0.00181,0.00198,0.00219,0.00238,0.00262,0.00292,0.0033,0.00374,0.00424,0.00481,0.00518
36,0.00039,0.00046,0.00053,0.0006,0.00068,0.00076,0.00085,0.00095,0.00106,0.00117,0.00129,0.00144,0.0016,0.00178,0.00196,0.00219,0.00237,0.00257,0.00285,0.00319,0.00361,0.00408,0.00462,0.00514,0.00568
37,0.00042,0.00049,0.00056,0.00064,0.00071,0.0008,0.00091,0.00103,0.00116,0.00128,0.0014,0.00154,0.00172,0.00191,0.00211,0.00236,0.00254,0.0028,0.00312,0.0035,0.00394,0.00445,0.00501,0.00561,0.00651
38,0.00045,0.00053,0.00061,0.00068,0.00076,0.00086,0.00099,0.00113,0.00127,0.00138,0.00151,0.00166,0.00185,0.00205,0.00228,0.00251,0.00277,0.00307,0.00342,0.0038,0.0043,0.00487,0.00553,0.00637,0.00745
39,0.00048,0.00057,0.00065,0.00073,0.00082,0.00094,0.00109,0.00123,0.00136,0.00149,0.00163,0.00179,0.002,0.00222,0.00247,0.00273,0.00302,0.00336,0.00373,0.00411,0.00472,0.00537,0.0062,0.0072,0.00823
40,0.00051,0.00061,0.00071,0.00079,0.0009,0.00104,0.00119,0.00133,0.00146,0.00161,0.00177,0.00196,0.00218,0.00242,0.00269,0.00299,0.00331,0.00367,0.00409,0.0045,0.00521,0.00597,0.00692,0.00804,0.00894
41,0.00054,0.00066,0.00077,0.00087,0.00099,0.00113,0.00129,0.00143,0.00159,0.00175,0.00194,0.00216,0.00239,0.00267,0.00297,0.00327,0.00361,0.00401,0.00449,0.00498,0.00578,0.00666,0.0077,0.00888,0.00984
42,0.00057,0.00071,0.00083,0.00094,0.00107,0.00122,0.00138,0.00154,0.00172,0.0019,0.00212,0.00236,0.00264,0.00294,0.00327,0.00356,0.00394,0.0044,0.00495,0.00557,0.00643,0.00738,0.00847,0.00964,0.01077
43,0.00061,0.00075,0.00088,0.001,0.00114,0.00129,0.00147,0.00166,0.00185,0.00206,0.0023,0.00259,0.00291,0.00324,0.00355,0.00388,0.00432,0.00485,0.00549,0.00622,0.00711,0.00811,0.00922,0.01043,0.01158
44,0.00065,0.00079,0.00093,0.00106,0.00121,0.00137,0.00158,0.0018,0.00201,0.00224,0.00251,0.00286,0.0032,0.00352,0.00384,0.00425,0.00477,0.00537,0.00605,0.00672,0.00764,0.00884,0.00997,0.01138,0.01255
45,0.0007,0.00084,0.00098,0.00112,0.00129,0.00148,0.00171,0.00195,0.00219,0.00245,0.00277,0.00315,0.00349,0.00379,0.0042,0.0047,0.00529,0.00596,0.0066,0.00721,0.00829,0.00956,0.01085,0.01255,0.01398
46,0.00076,0.00089,0.00103,0.00119,0.00138,0.0016,0.00185,0.00213,0.00239,0.0027,0.00305,0.00344,0.00377,0.00413,0.00464,0.00523,0.00588,0.00657,0.00718,0.00791,0.00914,0.01039,0.01196,0.01396,0.01584
47,0.00082,0.00095,0.0011,0.00127,0.00149,0.00172,0.00201,0.00231,0.00261,0.00297,0.00332,0.00371,0.00408,0.00454,0.00515,0.00582,0.00653,0.00717,0.00789,0.00869,0.00999,0.01144,0.01332,0.01564,0.01795
48,0.00087,0.00102,0.00119,0.00138,0.0016,0.00185,0.00216,0.0025,0.00282,0.00321,0.00359,0.00401,0.00447,0.00504,0.00574,0.00648,0.00717,0.00789,0.00866,0.00958,0.011,0.01274,0.01492,0.01752,0.01999
49,0.00093,0.0011,0.00129,0.0015,0.00172,0.00199,0.00232,0.00269,0.00303,0.00343,0.00388,0.00439,0.00498,0.00564,0.00638,0.00713,0.00784,0.00861,0.00943,0.01062,0.01224,0.01428,0.0167,0.0195,0.02198
50,0.001,0.0012,0.00141,0.00163,0.00186,0.00215,0.00249,0.00287,0.00325,0.00368,0.00422,0.00489,0.00559,0.00631,0.00703,0.0078,0.00851,0.0093,0.01039,0.01186,0.01377,0.01607,0.0187,0.02173,0.02435
51,0.00108,0.00131,0.00155,0.00178,0.00202,0.00231,0.00266,0.00306,0.00349,0.00402,0.00468,0.00548,0.00626,0.0069,0.00765,0.00845,0.00917,0.0102,0.01159,0.01334,0.01553,0.01805,0.02094,0.02433,0.02728
52,0.00115,0.00142,0.00168,0.00194,0.00219,0.00249,0.00286,0.00332,0.00381,0.00445,0.00524,0.00614,0.00684,0.00746,0.00826,0.00909,0.01003,0.01135,0.01295,0.01502,0.01741,0.02016,0.02339,0.02726,0.03077
53,0.00121,0.00152,0.00182,0.0021,0.00237,0.0027,0.00312,0.00366,0.00423,0.00499,0.00586,0.00671,0.00739,0.00814,0.00898,0.00992,0.01115,0.01267,0.01447,0.01681,0.01941,0.02246,0.02614,0.03063,0.03499
54,0.00127,0.00163,0.00196,0.00225,0.00255,0.00293,0.00344,0.00406,0.00472,0.00556,0.00638,0.00723,0.00805,0.00892,0.00987,0.01101,0.01241,0.01394,0.01615,0.0187,0.02157,0.02504,0.02929,0.03461,0.03997
55,0.00133,0.00174,0.0021,0.00242,0.00275,0.00322,0.00382,0.00452,0.00524,0.00603,0.00685,0.00783,0.00881,0.00982,0.01095,0.01231,0.01378,0.0153,0.01791,0.02072,0.02398,0.02796,0.03293,0.03943,0.04566
56,0.00141,0.00185,0.00225,0.00261,0.00301,0.00356,0.00424,0.005,0.00575,0.00654,0.0075,0.00859,0.0097,0.01088,0.01226,0.01375,0.01528,0.01697,0.01979,0.02297,0.0267,0.03135,0.03718,0.04506,0.05211
57,0.0015,0.00196,0.0024,0.00283,0.00332,0.00394,0.00468,0.00547,0.00623,0.00715,0.00824,0.00949,0.01075,0.01214,0.01371,0.01525,0.01695,0.01878,0.02188,0.02552,0.02986,0.0353,0.04231,0.05149,0.05929
58,0.0016,0.00209,0.00257,0.00308,0.00367,0.00435,0.00514,0.00593,0.00669,0.00772,0.00895,0.01043,0.01199,0.01354,0.0152,0.01682,0.01875,0.02069,0.02426,0.02849,0.03353,0.03987,0.04845,0.05868,0.0671
59,0.00173,0.00224,0.00278,0.00337,0.00404,0.00479,0.00559,0.00638,0.00714,0.00829,0.00971,0.01141,0.01331,0.01501,0.01677,0.01851,0.02066,0.02288,0.027,0.03192,0.03768,0.04543,0.05526,0.06642,0.07568
60,0.00188,0.00241,0.003,0.00367,0.00442,0.00523,0.00605,0.00683,0.0076,0.00891,0.01052,0.01238,0.01447,0.01655,0.01845,0.02038,0.02283,0.02539,0.03019,0.03579,0.04269,0.05193,0.06265,0.07493,0.08543
61,0.00206,0.00261,0.00324,0.00398,0.00481,0.00567,0.00652,0.00731,0.00811,0.0096,0.01135,0.01331,0.0155,0.01795,0.0203,0.0225,0.02533,0.02828,0.03377,0.04026,0.04877,0.05903,0.07086,0.08471,0.09661
62,0.00222,0.00282,0.00353,0.00434,0.00524,0.00616,0.00705,0.00789,0.00876,0.01039,0.01225,0.01431,0.01664,0.01933,0.02234,0.02494,0.02822,0.03154,0.03779,0.04582,0.05562,0.067,0.08032,0.09593,0.10911
63,0.00235,0.00306,0.00387,0.00476,0.00572,0.00671,0.00767,0.0086,0.00958,0.01132,0.01328,0.0155,0.01806,0.02106,0.0246,0.02776,0.03146,0.03522,0.04218,0.05243,0.06332,0.07618,0.0912,0.10851,0.12289
64,0.00247,0.00331,0.00423,0.00521,0.00626,0.00732,0.00836,0.00941,0.01051,0.01236,0.01449,0.01694,0.01981,0.0232,0.02725,0.03093,0.03508,0.03956,0.04686,0.05986,0.07221,0.08671,0.10339,0.12239,0.13791
65,0.00258,0.00361,0.00464,0.00571,0.00687,0.00801,0.00913,0.01029,0.01153,0.01353,0.01588,0.01863,0.02188,0.02575,0.03027,0.03446,0.03901,0.04406,0.05222,0.06826,0.08223,0.09839,0.11676,0.13744,0.15403
66,0.00271,0.00397,0.0051,0.00627,0.00758,0.00879,0.00998,0.01123,0.01262,0.01483,0.01746,0.02057,0.02428,0.0286,0.03363,0.03831,0.04316,0.04838,0.05918,0.07775,0.09334,0.11115,0.1312,0.15352,0.1705
67,0.00294,0.00438,0.00561,0.00688,0.0083,0.00966,0.01101,0.0124,0.0139,0.01639,0.01938,0.02294,0.02709,0.03192,0.03745,0.04241,0.04756,0.05428,0.0678,0.08841,0.10563,0.12508,0.14677,0.17003,0.18731
68,0.00325,0.00483,0.00619,0.00755,0.00888,0.01065,0.01214,0.01362,0.01526,0.0181,0.02149,0.02547,0.03009,0.03538,0.04134,0.04692,0.05343,0.06235,0.07749,0.10025,0.1191,0.14015,0.16284,0.18695,0.20906
69,0.00356,0.00533,0.00683,0.00829,0.00934,0.01175,0.01322,0.01475,0.01711,0.02039,0.02421,0.02868,0.03379,0.03954,0.04612,0.05282,0.06141,0.07159,0.08831,0.11324,0.13368,0.15569,0.17924,0.20881,0.23327
70,0.00407,0.0059,0.00754,0.00893,0.01025,0.01282,0.01425,0.01671,0.01934,0.02305,0.02737,0.03232,0.03791,0.04429,0.05207,0.06074,0.07068,0.08192,0.10025,0.12733,0.14874,0.17166,0.20434,0.23313,0.25452
71,0.00485,0.00653,0.00832,0.00983,0.0116,0.01375,0.01549,0.01833,0.02077,0.02483,0.02949,0.03475,0.04079,0.04815,0.05759,0.06986,0.08106,0.09411,0.11348,0.142,0.16436,0.2001,0.23304,0.25447,0.27415
72,0.00563,0.00746,0.00935,0.0111,0.01282,0.01465,0.01665,0.01942,0.02182,0.02616,0.03106,0.03668,0.04355,0.05235,0.06363,0.07873,0.0936,0.10988,0.13067,0.1592,0.19603,0.23296,0.25442,0.27414,0.29118
73,0.00641,0.00846,0.01043,0.01229,0.01404,0.01578,0.01827,0.02106,0.02338,0.02807,0.03338,0.03985,0.04814,0.05877,0.0723,0.08937,0.10973,0.12921,0.15328,0.19431,0.23288,0.25438,0.2741,0.29118,0.30926
74,0.00735,0.00916,0.01136,0.01359,0.01537,0.01761,0.02037,0.02284,0.02673,0.03185,0.03818,0.04626,0.05659,0.06975,0.08636,0.10726,0.12911,0.15167,0.19243,0.2328,0.25435,0.27408,0.29118,0.30926,0.32854
75,0.00803,0.00999,0.01242,0.01499,0.01705,0.01971,0.02233,0.02608,0.0317,0.03791,0.04597,0.05626,0.06935,0.08588,0.10654,0.12901,0.15152,0.19147,0.23272,0.25431,0.27406,0.29118,0.30926,0.32854,0.34911
76,0.00839,0.01093,0.01365,0.01651,0.01906,0.02179,0.02542,0.03087,0.03628,0.04497,0.05509,0.06799,0.08427,0.10466,0.12777,0.1513,0.19075,0.23263,0.25428,0.27403,0.29118,0.30926,0.32854,0.34911,0.36876
77,0.00888,0.01182,0.01498,0.01844,0.02128,0.02477,0.03008,0.03569,0.04335,0.05415,0.06688,0.08297,0.1031,0.12592,0.15036,0.19011,0.23178,0.25424,0.27399,0.29118,0.30926,0.32854,0.34911,0.36876,0.38619
78,0.00954,0.01281,0.01653,0.02077,0.02414,0.02929,0.03508,0.04272,0.05145,0.06388,0.07945,0.09899,0.12282,0.14943,0.18954,0.23103,0.25394,0.27383,0.29114,0.30926,0.32854,0.34911,0.36876,0.38619,0.40473
79,0.0103,0.01407,0.01846,0.02352,0.02852,0.03447,0.04211,0.05072,0.05995,0.075,0.09373,0.11662,0.14436,0.1882,0.23038,0.25365,0.27353,0.29082,0.30921,0.32854,0.34911,0.36876,0.38619,0.40473,0.42444
80,0.01118,0.01568,0.0209,0.02689,0.03393,0.04156,0.05009,0.05934,0.07224,0.09067,0.11303,0.14195,0.18597,0.22981,0.25342,0.27327,0.29054,0.30893,0.3285,0.34911,0.36876,0.38619,0.40473,0.42444,0.44527
81,0.01227,0.01772,0.02396,0.03123,0.04004,0.04949,0.05878,0.07162,0.0848,0.11112,0.13974,0.18514,0.22932,0.2532,0.27304,0.2903,0.30868,0.32824,0.34908,0.36876,0.38619,0.40473,0.42444,0.44527,0.46721
82,0.01375,0.02034,0.02792,0.03695,0.04791,0.05826,0.07106,0.08423,0.10634,0.13959,0.1848,0.22889,0.25302,0.27284,0.29009,0.30846,0.32802,0.34885,0.36873,0.38619,0.40473,0.42444,0.44527,0.46721,0.4905
83,0.01586,0.02381,0.03312,0.04429,0.0578,0.07055,0.08371,0.10583,0.1392,0.18449,0.22849,0.25286,0.27267,0.28991,0.30827,0.32783,0.34866,0.36855,0.38616,0.40473,0.42444,0.44527,0.46721,0.4905,0.51521
84,0.01886,0.02847,0.03983,0.05346,0.07005,0.08321,0.10534,0.13877,0.18346,0.22813,0.25271,0.27251,0.28975,0.3081,0.32766,0.3485,0.3684,0.38604,0.40471,0.42444,0.44527,0.46721,0.4905,0.51521,0.54143
85,0.023,0.03456,0.04833,0.06497,0.08272,0.10486,0.13829,0.18247,0.22691,0.25258,0.27237,0.28961,0.30796,0.32751,0.34835,0.36827,0.38593,0.40463,0.42444,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922
86,0.02844,0.04252,0.05937,0.07968,0.10441,0.13783,0.18152,0.22576,0.25212,0.27224,0.28947,0.30783,0.32738,0.34823,0.36815,0.38584,0.40456,0.42441,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865
87,0.03556,0.05316,0.07401,0.10394,0.13741,0.18061,0.22475,0.2517,0.27181,0.28936,0.30771,0.32726,0.34811,0.36805,0.38575,0.4045,0.42437,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983
88,0.04531,0.06756,0.09905,0.13696,0.1798,0.22378,0.25132,0.27141,0.28896,0.3076,0.32716,0.34801,0.36797,0.38568,0.40445,0.42435,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283
89,0.05921,0.09336,0.13327,0.17898,0.22294,0.25097,0.27104,0.28858,0.30724,0.32707,0.34792,0.36788,0.38562,0.4044,0.42433,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775
90,0.08601,0.12901,0.17672,0.22209,0.25064,0.2707,0.28824,0.30689,0.32674,0.34785,0.36781,0.38557,0.40437,0.42431,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465
91,0.12354,0.1742,0.22125,0.25033,0.27039,0.28793,0.30658,0.32644,0.34756,0.36776,0.38552,0.40433,0.42429,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363
92,0.17145,0.2204,0.25001,0.2701,0.28764,0.3063,0.32616,0.34731,0.36752,0.38547,0.4043,0.42428,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476
93,0.2199,0.24969,0.26979,0.28736,0.30604,0.32591,0.34706,0.36732,0.3853,0.40427,0.42427,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813
94,0.24938,0.26948,0.28708,0.30578,0.32568,0.34685,0.36713,0.38516,0.40416,0.42426,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038
95,0.26918,0.2868,0.30553,0.32545,0.34665,0.36695,0.38503,0.40407,0.42422,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167
96,0.28652,0.30527,0.32523,0.34645,0.36679,0.3849,0.40398,0.42418,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1
97,0.30501,0.32499,0.34626,0.36664,0.38479,0.4039,0.42414,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,
98,0.32477,0.34606,0.36649,0.38468,0.40383,0.42411,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,,
