Table Name:,"2001 VBT Select and Ultimate - Female Composite, ANB ",,,,,,,,,,,,,,,,,,,,,,,,
2,0.00019,0.00012,0.00012,0.00012,0.00012,0.00012,0.00014,0.00014,0.00014,0.00014,0.00018,0.0002,0.00025,0.00027,0.00029,0.00032,0.00034,0.00036,0.00037,0.00039,0.0004,0.0004,0.00041,0.00042,0.00044
3,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00014,0.00014,0.00014,0.00017,0.00018,0.00024,0.00027,0.00029,0.00031,0.00033,0.00035,0.00037,0.00038,0.00039,0.0004,0.00041,0.00042,0.00044,0.00047
4,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00014,0.00014,0.00016,0.00018,0.00024,0.00026,0.00029,0.00031,0.00033,0.00034,0.00036,0.00038,0.00039,0.0004,0.00041,0.00042,0.00044,0.00047,0.00049
5,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00014,0.00015,0.00018,0.00022,0.00026,0.00028,0.0003,0.00032,0.00034,0.00036,0.00037,0.00039,0.0004,0.00041,0.00042,0.00044,0.00047,0.00049,0.00052
6,0.00012,0.00012,0.00012,0.00012,0.00012,0.00013,0.00015,0.00018,0.00022,0.00026,0.00028,0.0003,0.00032,0.00033,0.00035,0.00037,0.00038,0.0004,0.00041,0.00042,0.00044,0.00047,0.00049,0.00052,0.00053
7,0.00012,0.00012,0.00012,0.00012,0.00012,0.00015,0.00017,0.00022,0.00026,0.00028,0.00029,0.00031,0.00033,0.00034,0.00036,0.00038,0.00039,0.00041,0.00042,0.00044,0.00047,0.00049,0.00052,0.00053,0.00057
8,0.00012,0.00012,0.00012,0.00012,0.00013,0.00017,0.0002,0.00025,0.00027,0.00029,0.00031,0.00032,0.00034,0.00035,0.00037,0.00039,0.0004,0.00042,0.00044,0.00047,0.00049,0.00052,0.00053,0.00057,0.0006
9,0.00012,0.00012,0.00012,0.00013,0.00015,0.0002,0.00025,0.00027,0.00028,0.0003,0.00032,0.00033,0.00035,0.00036,0.00038,0.0004,0.00042,0.00044,0.00046,0.00049,0.00052,0.00053,0.00057,0.0006,0.00064
10,0.00012,0.00012,0.00013,0.00015,0.00018,0.00024,0.00026,0.00028,0.00029,0.00031,0.00032,0.00034,0.00036,0.00037,0.00039,0.00041,0.00043,0.00046,0.00049,0.00052,0.00053,0.00057,0.0006,0.00064,0.00069
11,0.00012,0.00013,0.00015,0.00018,0.00024,0.00025,0.00027,0.00029,0.0003,0.00032,0.00033,0.00035,0.00037,0.00038,0.00041,0.00043,0.00045,0.00048,0.00052,0.00053,0.00057,0.0006,0.00064,0.00069,0.00076
12,0.00013,0.00015,0.00018,0.00024,0.00025,0.00026,0.00028,0.00029,0.00031,0.00032,0.00034,0.00036,0.00038,0.0004,0.00042,0.00045,0.00048,0.00051,0.00053,0.00057,0.0006,0.00064,0.00069,0.00076,0.00081
13,0.00015,0.00018,0.00024,0.00025,0.00026,0.00027,0.00028,0.0003,0.00031,0.00033,0.00035,0.00037,0.00039,0.00042,0.00044,0.00048,0.00051,0.00053,0.00057,0.0006,0.00064,0.00069,0.00076,0.00081,0.00087
14,0.00018,0.00024,0.00025,0.00026,0.00026,0.00027,0.00029,0.0003,0.00032,0.00033,0.00036,0.00038,0.00041,0.00044,0.00047,0.00051,0.00053,0.00057,0.0006,0.00064,0.00069,0.00076,0.00081,0.00086,0.00091
15,0.00024,0.00025,0.00026,0.00026,0.00027,0.00028,0.00029,0.0003,0.00032,0.00034,0.00037,0.0004,0.00043,0.00046,0.0005,0.00053,0.00057,0.0006,0.00064,0.00069,0.00076,0.00081,0.00086,0.00091,0.00097
16,0.00025,0.00026,0.00026,0.00026,0.00027,0.00028,0.00029,0.00031,0.00033,0.00035,0.00038,0.00042,0.00045,0.00049,0.00053,0.00057,0.0006,0.00064,0.00069,0.00076,0.00081,0.00086,0.00091,0.00097,0.00102
17,0.00026,0.00026,0.00026,0.00026,0.00027,0.00028,0.0003,0.00032,0.00034,0.00037,0.0004,0.00044,0.00048,0.00052,0.00057,0.0006,0.00064,0.00069,0.00076,0.00081,0.00086,0.00091,0.00097,0.00102,0.00108
18,0.00025,0.00025,0.00025,0.00026,0.00027,0.00028,0.0003,0.00033,0.00036,0.00039,0.00043,0.00047,0.00051,0.00056,0.0006,0.00064,0.00069,0.00076,0.00081,0.00086,0.00091,0.00097,0.00102,0.00108,0.00116
19,0.00024,0.00024,0.00025,0.00026,0.00027,0.00029,0.00031,0.00034,0.00038,0.00041,0.00046,0.0005,0.00055,0.0006,0.00064,0.00069,0.00076,0.00081,0.00086,0.00091,0.00097,0.00102,0.00108,0.00116,0.00125
20,0.00022,0.00023,0.00024,0.00025,0.00027,0.0003,0.00033,0.00036,0.0004,0.00044,0.00049,0.00054,0.00059,0.00064,0.00069,0.00075,0.0008,0.00086,0.00091,0.00097,0.00102,0.00108,0.00116,0.00125,0.00136
21,0.0002,0.00021,0.00023,0.00025,0.00028,0.00031,0.00035,0.00038,0.00043,0.00047,0.00052,0.00057,0.00062,0.00068,0.00073,0.00079,0.00084,0.0009,0.00096,0.00102,0.00108,0.00116,0.00125,0.00136,0.00149
22,0.00018,0.0002,0.00023,0.00026,0.00029,0.00033,0.00037,0.00041,0.00046,0.00051,0.00056,0.00061,0.00066,0.00072,0.00077,0.00083,0.00089,0.00095,0.00101,0.00108,0.00116,0.00125,0.00136,0.00149,0.00164
23,0.00016,0.00019,0.00022,0.00026,0.0003,0.00034,0.00039,0.00044,0.00049,0.00054,0.00059,0.00065,0.0007,0.00076,0.00081,0.00087,0.00093,0.001,0.00108,0.00116,0.00125,0.00136,0.00149,0.00164,0.00183
24,0.00015,0.00019,0.00023,0.00027,0.00031,0.00036,0.00041,0.00046,0.00052,0.00057,0.00063,0.00068,0.00074,0.00079,0.00085,0.00092,0.00098,0.00106,0.00115,0.00125,0.00136,0.00149,0.00164,0.00183,0.00204
25,0.00014,0.00019,0.00023,0.00028,0.00033,0.00038,0.00044,0.00049,0.00055,0.0006,0.00066,0.00071,0.00077,0.00083,0.00089,0.00097,0.00104,0.00113,0.00124,0.00136,0.00149,0.00164,0.00183,0.00204,0.00228
26,0.00014,0.00019,0.00024,0.00029,0.00034,0.0004,0.00046,0.00051,0.00057,0.00063,0.00069,0.00074,0.00081,0.00087,0.00094,0.00102,0.00112,0.00122,0.00135,0.00149,0.00164,0.00183,0.00204,0.00228,0.00255
27,0.00015,0.0002,0.00025,0.0003,0.00036,0.00042,0.00047,0.00053,0.00059,0.00065,0.00071,0.00077,0.00084,0.00092,0.001,0.0011,0.00121,0.00133,0.00148,0.00164,0.00183,0.00204,0.00228,0.00255,0.00285
28,0.00016,0.00021,0.00026,0.00032,0.00037,0.00043,0.00049,0.00055,0.00061,0.00067,0.00074,0.00081,0.00089,0.00097,0.00107,0.00119,0.00131,0.00146,0.00163,0.00182,0.00204,0.00228,0.00255,0.00285,0.00319
29,0.00017,0.00023,0.00028,0.00033,0.00039,0.00045,0.0005,0.00057,0.00063,0.0007,0.00077,0.00085,0.00094,0.00104,0.00116,0.00129,0.00145,0.00162,0.00181,0.00203,0.00228,0.00255,0.00285,0.00319,0.00356
30,0.00019,0.00024,0.00029,0.00035,0.0004,0.00046,0.00052,0.00058,0.00065,0.00073,0.00081,0.0009,0.00101,0.00113,0.00127,0.00142,0.0016,0.0018,0.00202,0.00227,0.00255,0.00285,0.00319,0.00356,0.00395
31,0.00021,0.00026,0.00031,0.00036,0.00042,0.00048,0.00054,0.00061,0.00068,0.00077,0.00086,0.00097,0.0011,0.00124,0.0014,0.00158,0.00178,0.00201,0.00226,0.00254,0.00285,0.00319,0.00356,0.00395,0.00437
32,0.00022,0.00027,0.00032,0.00038,0.00043,0.0005,0.00057,0.00064,0.00073,0.00083,0.00094,0.00107,0.00121,0.00137,0.00156,0.00176,0.00199,0.00224,0.00252,0.00283,0.00317,0.00355,0.00395,0.00437,0.00485
33,0.00023,0.00028,0.00033,0.00039,0.00046,0.00053,0.00061,0.00069,0.00079,0.00091,0.00104,0.00118,0.00135,0.00153,0.00174,0.00197,0.00222,0.0025,0.00281,0.00315,0.00353,0.00393,0.00437,0.00484,0.00536
34,0.00023,0.00028,0.00034,0.00041,0.00048,0.00056,0.00065,0.00076,0.00087,0.001,0.00115,0.00132,0.00151,0.00171,0.00194,0.0022,0.00248,0.00279,0.00313,0.0035,0.00391,0.00434,0.00482,0.00532,0.00587
35,0.00023,0.00029,0.00035,0.00043,0.00051,0.00061,0.00072,0.00084,0.00097,0.00112,0.00129,0.00148,0.00169,0.00192,0.00217,0.00246,0.00277,0.00311,0.00348,0.00388,0.00432,0.00479,0.00529,0.00583,0.0064
36,0.00023,0.0003,0.00037,0.00046,0.00055,0.00066,0.00079,0.00093,0.00108,0.00125,0.00144,0.00165,0.00189,0.00214,0.00243,0.00274,0.00308,0.00345,0.00385,0.00428,0.00475,0.00526,0.00579,0.00636,0.00696
37,0.00024,0.00031,0.00039,0.00049,0.0006,0.00073,0.00087,0.00103,0.0012,0.0014,0.00161,0.00185,0.0021,0.00239,0.0027,0.00304,0.00341,0.00381,0.00425,0.00472,0.00522,0.00576,0.00633,0.00693,0.00757
38,0.00025,0.00033,0.00042,0.00053,0.00066,0.0008,0.00096,0.00114,0.00134,0.00155,0.00179,0.00205,0.00234,0.00265,0.00299,0.00337,0.00377,0.00421,0.00468,0.00518,0.00572,0.00629,0.0069,0.00754,0.00821
39,0.00027,0.00036,0.00046,0.00059,0.00073,0.00089,0.00107,0.00127,0.00148,0.00173,0.00199,0.00228,0.00259,0.00294,0.00331,0.00372,0.00416,0.00463,0.00514,0.00568,0.00626,0.00687,0.00751,0.00819,0.0089
40,0.0003,0.0004,0.00052,0.00066,0.00081,0.00099,0.00119,0.00141,0.00165,0.00191,0.0022,0.00252,0.00287,0.00325,0.00366,0.0041,0.00458,0.00509,0.00563,0.00622,0.00683,0.00749,0.00817,0.00889,0.00964
41,0.00034,0.00045,0.00059,0.00074,0.00091,0.00111,0.00132,0.00156,0.00183,0.00212,0.00244,0.00279,0.00317,0.00358,0.00403,0.00451,0.00503,0.00558,0.00617,0.0068,0.00746,0.00816,0.00889,0.00964,0.01044
42,0.00038,0.00052,0.00067,0.00084,0.00103,0.00124,0.00148,0.00174,0.00203,0.00235,0.00269,0.00308,0.00349,0.00394,0.00443,0.00495,0.00551,0.00611,0.00675,0.00742,0.00814,0.00889,0.00964,0.01044,0.01131
43,0.00044,0.00059,0.00076,0.00095,0.00117,0.0014,0.00166,0.00195,0.00226,0.0026,0.00298,0.00339,0.00384,0.00433,0.00486,0.00543,0.00604,0.00669,0.00738,0.00811,0.00887,0.00964,0.01044,0.01131,0.01227
44,0.0005,0.00067,0.00087,0.00109,0.00132,0.00158,0.00186,0.00217,0.00251,0.00288,0.00329,0.00373,0.00422,0.00475,0.00532,0.00594,0.0066,0.00731,0.00806,0.00885,0.00964,0.01044,0.01131,0.01227,0.01333
45,0.00057,0.00077,0.00099,0.00123,0.00149,0.00178,0.00208,0.00242,0.00279,0.00319,0.00362,0.0041,0.00463,0.0052,0.00581,0.00648,0.00721,0.00798,0.00879,0.00964,0.01044,0.01131,0.01227,0.01333,0.01449
46,0.00064,0.00087,0.00112,0.00138,0.00167,0.00198,0.00232,0.00268,0.00308,0.00351,0.00398,0.0045,0.00506,0.00567,0.00634,0.00706,0.00784,0.00868,0.00958,0.01044,0.01131,0.01227,0.01333,0.01449,0.0158
47,0.00073,0.00098,0.00125,0.00154,0.00186,0.0022,0.00256,0.00295,0.00338,0.00385,0.00435,0.00491,0.00551,0.00617,0.00689,0.00767,0.00852,0.00943,0.01042,0.01131,0.01227,0.01333,0.01449,0.0158,0.01731
48,0.00082,0.0011,0.00139,0.00171,0.00204,0.00241,0.0028,0.00323,0.00369,0.00419,0.00474,0.00533,0.00599,0.0067,0.00748,0.00833,0.00924,0.01024,0.01131,0.01227,0.01333,0.01449,0.0158,0.01731,0.01897
49,0.00086,0.00116,0.00153,0.00187,0.00223,0.00262,0.00304,0.00349,0.00399,0.00453,0.00512,0.00577,0.00648,0.00726,0.00811,0.00903,0.01003,0.01112,0.01227,0.01333,0.01449,0.0158,0.01731,0.01897,0.02079
50,0.00091,0.0013,0.00167,0.00202,0.0024,0.00281,0.00326,0.00375,0.00428,0.00487,0.00551,0.00622,0.00699,0.00784,0.00877,0.00978,0.01089,0.01209,0.01333,0.01449,0.0158,0.01731,0.01897,0.02079,0.02279
51,0.00096,0.00146,0.00182,0.00217,0.00257,0.003,0.00348,0.004,0.00458,0.00521,0.00591,0.00668,0.00753,0.00846,0.00948,0.0106,0.01182,0.01316,0.01449,0.0158,0.01731,0.01897,0.02079,0.02279,0.02497
52,0.00101,0.00163,0.00197,0.00233,0.00273,0.00318,0.00368,0.00424,0.00487,0.00556,0.00632,0.00716,0.00809,0.00912,0.01025,0.01149,0.01286,0.01435,0.0158,0.01731,0.01897,0.02079,0.02279,0.02497,0.02736
53,0.00107,0.00175,0.00213,0.00248,0.00289,0.00336,0.00389,0.00449,0.00516,0.00592,0.00675,0.00768,0.00871,0.00984,0.0111,0.01248,0.014,0.01568,0.01731,0.01897,0.02079,0.02279,0.02497,0.02736,0.02998
54,0.00113,0.00188,0.00229,0.00264,0.00306,0.00355,0.00412,0.00476,0.00548,0.0063,0.00722,0.00825,0.00939,0.01066,0.01206,0.0136,0.0153,0.01718,0.01897,0.02079,0.02279,0.02497,0.02736,0.02998,0.03286
55,0.00119,0.00202,0.00247,0.00282,0.00326,0.00377,0.00437,0.00505,0.00584,0.00674,0.00775,0.00889,0.01016,0.01157,0.01314,0.01488,0.01678,0.01888,0.02079,0.02279,0.02497,0.02736,0.02998,0.03286,0.03601
56,0.00131,0.00215,0.00266,0.00303,0.00348,0.00402,0.00466,0.0054,0.00626,0.00724,0.00835,0.00961,0.01102,0.01261,0.01437,0.01632,0.01846,0.02079,0.02279,0.02497,0.02736,0.02998,0.03286,0.03601,0.03946
57,0.00137,0.00229,0.00287,0.00325,0.00374,0.00432,0.00501,0.00582,0.00675,0.00782,0.00904,0.01044,0.01201,0.01378,0.01575,0.01794,0.02035,0.02279,0.02497,0.02736,0.02998,0.03286,0.03601,0.03946,0.04324
58,0.0014,0.00244,0.00308,0.0035,0.00403,0.00467,0.00542,0.00631,0.00733,0.00851,0.00985,0.01139,0.01313,0.0151,0.0173,0.01975,0.02246,0.02497,0.02736,0.02998,0.03286,0.03601,0.03946,0.04324,0.04739
59,0.0015,0.00257,0.00331,0.00377,0.00434,0.00505,0.00588,0.00686,0.00799,0.0093,0.01079,0.01249,0.01442,0.0166,0.01905,0.02178,0.02482,0.02736,0.02998,0.03286,0.03601,0.03946,0.04324,0.04739,0.05193
60,0.00156,0.0027,0.00353,0.00403,0.00467,0.00546,0.00639,0.00748,0.00874,0.0102,0.01186,0.01375,0.0159,0.01832,0.02104,0.02408,0.02736,0.02998,0.03286,0.03601,0.03946,0.04324,0.04739,0.05193,0.0569
61,0.00162,0.00283,0.00374,0.00429,0.005,0.00588,0.00692,0.00814,0.00957,0.0112,0.01307,0.01519,0.01758,0.02028,0.02331,0.02669,0.02998,0.03286,0.03601,0.03946,0.04324,0.04739,0.05193,0.0569,0.06236
62,0.00173,0.00296,0.00395,0.00454,0.00532,0.0063,0.00747,0.00885,0.01046,0.01231,0.01441,0.0168,0.0195,0.02252,0.0259,0.02966,0.03286,0.03601,0.03946,0.04324,0.04739,0.05193,0.0569,0.06236,0.06833
63,0.00192,0.0031,0.00414,0.00478,0.00563,0.00672,0.00804,0.0096,0.01142,0.01352,0.01591,0.01861,0.02165,0.02505,0.02883,0.03286,0.03601,0.03946,0.04324,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488
64,0.00214,0.00394,0.00435,0.00502,0.00595,0.00716,0.00864,0.01041,0.01247,0.01485,0.01756,0.02063,0.02406,0.02788,0.03211,0.03601,0.03946,0.04324,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206
65,0.00241,0.00416,0.00456,0.00527,0.00629,0.00763,0.00929,0.01129,0.01363,0.01633,0.01941,0.02287,0.02673,0.03103,0.03577,0.03946,0.04324,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993
66,0.00251,0.00442,0.00481,0.00556,0.00668,0.00817,0.01004,0.01229,0.01494,0.01799,0.02146,0.02537,0.02972,0.03454,0.03946,0.04324,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854
67,0.00257,0.0047,0.00509,0.00591,0.00715,0.00882,0.01092,0.01345,0.01643,0.01987,0.02378,0.02816,0.03304,0.03843,0.04324,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799
68,0.00289,0.00501,0.00544,0.00635,0.00773,0.0096,0.01196,0.01481,0.01816,0.02202,0.0264,0.0313,0.03676,0.04276,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834
69,0.00324,0.00535,0.00585,0.00688,0.00845,0.01055,0.0132,0.0164,0.02015,0.02447,0.02936,0.03483,0.0409,0.04739,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968
70,0.00363,0.00573,0.00634,0.00753,0.00932,0.0117,0.01468,0.01827,0.02247,0.02728,0.03272,0.03879,0.0455,0.05193,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211
71,0.00411,0.00616,0.00692,0.00832,0.01038,0.01308,0.01644,0.02045,0.02513,0.03048,0.0365,0.04321,0.05059,0.0569,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573
72,0.00616,0.00664,0.00761,0.00927,0.01164,0.01471,0.01849,0.02298,0.02818,0.0341,0.04075,0.04812,0.05621,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066
73,0.00664,0.00721,0.00843,0.01041,0.01314,0.01663,0.02087,0.02587,0.03164,0.03818,0.04548,0.05355,0.06236,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701
74,0.00717,0.00791,0.00944,0.01178,0.01492,0.01887,0.02362,0.02918,0.03555,0.04273,0.05073,0.05954,0.06833,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494
75,0.00775,0.00879,0.01068,0.01342,0.01701,0.02146,0.02676,0.03292,0.03993,0.0478,0.05653,0.06612,0.07488,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458
76,0.00852,0.00991,0.0122,0.01539,0.01947,0.02446,0.03035,0.03713,0.04482,0.05342,0.06292,0.07333,0.08206,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461
77,0.00959,0.01136,0.01407,0.01774,0.02235,0.0279,0.03441,0.04186,0.05026,0.05962,0.06993,0.0812,0.08993,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969
78,0.01103,0.01321,0.01637,0.02053,0.02569,0.03184,0.03899,0.04714,0.05628,0.06643,0.07758,0.08974,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554
79,0.01155,0.01554,0.01917,0.02384,0.02956,0.03633,0.04414,0.053,0.06292,0.07388,0.0859,0.09854,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387
80,0.01288,0.01844,0.02254,0.02773,0.03402,0.04142,0.04991,0.0595,0.07019,0.08199,0.0949,0.10799,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491
81,0.01445,0.02199,0.02655,0.03226,0.03912,0.04714,0.05632,0.06665,0.07813,0.09078,0.10459,0.11834,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491,0.38835
82,0.01622,0.02626,0.03126,0.03748,0.04491,0.05355,0.06341,0.07448,0.08676,0.10027,0.11499,0.12968,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491,0.38835,0.42259
83,0.01797,0.03126,0.03674,0.04344,0.05142,0.06068,0.0712,0.08301,0.09609,0.11046,0.1261,0.14211,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491,0.38835,0.42259,0.45763
84,0.02229,0.03674,0.04303,0.05019,0.0587,0.06855,0.07973,0.09227,0.10614,0.12136,0.13792,0.15573,0.17066,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491,0.38835,0.42259,0.45763,0.49287
85,0.02669,0.04303,0.05016,0.05775,0.06676,0.07718,0.08901,0.10225,0.11691,0.13298,0.15047,0.16937,0.18701,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951
86,0.03507,0.05016,0.05775,0.06615,0.07563,0.0866,0.09905,0.11299,0.12841,0.14533,0.16373,0.18362,0.20494,0.22458,0.2461,0.26969,0.29554,0.32387,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951,0.56695
87,0.04099,0.05775,0.06615,0.07541,0.08532,0.09681,0.10985,0.12447,0.14065,0.1584,0.17771,0.1986,0.22105,0.24507,0.26969,0.29554,0.32387,0.35491,0.38835,0.42216,0.45717,0.49287,0.52951,0.56695,0.603
88,0.05149,0.06615,0.07541,0.08532,0.09584,0.10781,0.12144,0.13671,0.15363,0.1722,0.19242,0.2143,0.23782,0.263,0.28982,0.3183,0.34843,0.38022,0.41365,0.44874,0.48548,0.52387,0.56392,0.603,0.638
89,0.06353,0.07541,0.08532,0.09584,0.1072,0.11963,0.13379,0.1497,0.16735,0.18673,0.20785,0.23072,0.25532,0.28166,0.30973,0.33955,0.37111,0.4044,0.43943,0.47621,0.51472,0.55496,0.59695,0.638,0.67
90,0.07541,0.08532,0.09584,0.1072,0.11938,0.13224,0.14693,0.16345,0.18181,0.20199,0.22401,0.24786,0.27354,0.30105,0.33039,0.36157,0.39457,0.4294,0.46607,0.50456,0.54489,0.58704,0.63103,0.67,0.7145
91,0.08532,0.09584,0.1072,0.11938,0.13224,0.14566,0.16085,0.17797,0.19701,0.21799,0.24089,0.26573,0.29249,0.32118,0.3518,0.38434,0.41882,0.45522,0.49355,0.53381,0.57599,0.6201,0.66614,0.7141,0.756
92,0.09584,0.1072,0.11938,0.13224,0.14566,0.15989,0.17555,0.19324,0.21296,0.23471,0.2585,0.28431,0.31216,0.34204,0.37395,0.40789,0.44386,0.48186,0.52188,0.56394,0.60803,0.65414,0.70229,0.75246,0.799
93,0.1072,0.11938,0.13224,0.14566,0.15989,0.17492,0.19103,0.20927,0.22965,0.25217,0.27683,0.30363,0.33256,0.36364,0.39685,0.4322,0.46969,0.50931,0.55107,0.59497,0.641,0.68917,0.73947,0.79191,0.846
