Table Name:,"2001 CSO Select and Ultimate - Female Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00039,0.00041,0.00042,0.00045,0.00045,0.00046,0.00048,0.00048,0.0005
1,,,,,,,,,,,,,,,,0.00038,0.0004,0.00041,0.00044,0.00045,0.00046,0.00048,0.00048,0.00049,0.0005
2,,,,,,,,,,,,,,,0.00037,0.0004,0.00041,0.00044,0.00044,0.00046,0.00048,0.00048,0.00049,0.0005,0.00052
3,,,,,,,,,,,,,,0.00037,0.00039,0.0004,0.00043,0.00044,0.00045,0.00047,0.00048,0.00049,0.0005,0.00052,0.00056
4,,,,,,,,,,,,,0.00037,0.00039,0.0004,0.00042,0.00043,0.00045,0.00047,0.00047,0.00049,0.0005,0.00052,0.00056,0.00058
5,,,,,,,,,,,,0.00036,0.00038,0.00039,0.00042,0.00043,0.00044,0.00047,0.00047,0.00049,0.0005,0.00052,0.00056,0.00058,0.00062
6,,,,,,,,,,,0.00036,0.00038,0.00039,0.00041,0.00042,0.00044,0.00046,0.00047,0.00049,0.0005,0.00052,0.00056,0.00058,0.00061,0.00063
7,,,,,,,,,,0.00036,0.00037,0.00038,0.00041,0.00042,0.00043,0.00046,0.00046,0.00049,0.0005,0.00052,0.00056,0.00058,0.00061,0.00063,0.00068
8,,,,,,,,,0.00035,0.00037,0.00038,0.0004,0.00042,0.00042,0.00045,0.00046,0.00048,0.0005,0.00052,0.00056,0.00058,0.00061,0.00063,0.00068,0.00071
9,,,,,,,,0.00035,0.00036,0.00037,0.0004,0.00041,0.00042,0.00044,0.00045,0.00048,0.0005,0.00052,0.00055,0.00058,0.00061,0.00063,0.00068,0.00071,0.00076
10,,,,,,,0.00034,0.00036,0.00036,0.00039,0.0004,0.00041,0.00044,0.00045,0.00047,0.00049,0.00051,0.00055,0.00058,0.00061,0.00063,0.00068,0.00071,0.00076,0.00082
11,,,,,,0.00033,0.00035,0.00036,0.00038,0.00039,0.0004,0.00043,0.00045,0.00046,0.00049,0.00051,0.00054,0.00057,0.00061,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088
12,,,,,0.00033,0.00034,0.00035,0.00037,0.00038,0.00039,0.00042,0.00044,0.00046,0.00048,0.0005,0.00054,0.00057,0.0006,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088,0.00095
13,,,,0.00033,0.00034,0.00034,0.00036,0.00037,0.00038,0.00041,0.00043,0.00045,0.00047,0.0005,0.00053,0.00057,0.0006,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088,0.00095,0.00101
14,,,0.00033,0.00034,0.00034,0.00035,0.00037,0.00037,0.0004,0.00041,0.00044,0.00046,0.0005,0.00053,0.00056,0.0006,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00106
15,,0.00033,0.00034,0.00034,0.00035,0.00036,0.00037,0.00038,0.0004,0.00042,0.00045,0.00049,0.00052,0.00055,0.00059,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00106,0.00113
16,0.00033,0.00034,0.00034,0.00034,0.00035,0.00036,0.00038,0.00039,0.00042,0.00043,0.00047,0.00051,0.00054,0.00059,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00105,0.00113,0.00119
17,0.00034,0.00034,0.00034,0.00034,0.00035,0.00037,0.00038,0.00041,0.00042,0.00046,0.0005,0.00053,0.00058,0.00062,0.00067,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00105,0.00113,0.00119,0.00127
18,0.00033,0.00033,0.00033,0.00034,0.00036,0.00037,0.00039,0.00042,0.00045,0.00049,0.00053,0.00057,0.00062,0.00067,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00105,0.00113,0.00119,0.00127,0.00135
19,0.00032,0.00032,0.00033,0.00035,0.00036,0.00038,0.0004,0.00044,0.00048,0.00051,0.00056,0.00061,0.00066,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00105,0.00113,0.00119,0.00127,0.00135,0.00145
20,0.0003,0.00031,0.00033,0.00034,0.00036,0.00039,0.00043,0.00047,0.0005,0.00055,0.0006,0.00066,0.00071,0.00075,0.00081,0.00088,0.00094,0.001,0.00105,0.00113,0.00119,0.00127,0.00135,0.00145,0.00157
21,0.00028,0.0003,0.00032,0.00035,0.00037,0.00041,0.00046,0.00048,0.00054,0.00058,0.00064,0.00069,0.00075,0.00081,0.00086,0.00094,0.00099,0.00105,0.00112,0.00119,0.00127,0.00135,0.00145,0.00157,0.00171
22,0.00027,0.00029,0.00033,0.00035,0.00039,0.00044,0.00047,0.00052,0.00057,0.00063,0.00068,0.00074,0.00079,0.00085,0.00092,0.00098,0.00104,0.00112,0.00119,0.00127,0.00135,0.00145,0.00157,0.00171,0.00187
23,0.00025,0.00029,0.00032,0.00036,0.00041,0.00045,0.0005,0.00056,0.00061,0.00066,0.00072,0.00078,0.00084,0.00091,0.00096,0.00103,0.0011,0.00118,0.00127,0.00135,0.00145,0.00157,0.00171,0.00187,0.00207
24,0.00025,0.00029,0.00033,0.00038,0.00042,0.00047,0.00053,0.00058,0.00065,0.0007,0.00076,0.00082,0.00089,0.00095,0.00101,0.00109,0.00116,0.00125,0.00134,0.00145,0.00157,0.00171,0.00187,0.00207,0.00229
25,0.00024,0.0003,0.00034,0.00039,0.00044,0.0005,0.00056,0.00062,0.00068,0.00074,0.0008,0.00086,0.00093,0.00099,0.00106,0.00115,0.00124,0.00133,0.00144,0.00157,0.00171,0.00187,0.00207,0.00229,0.00253
26,0.00025,0.00031,0.00035,0.00041,0.00046,0.00053,0.00059,0.00064,0.00071,0.00077,0.00084,0.0009,0.00097,0.00104,0.00113,0.00122,0.00132,0.00142,0.00157,0.00171,0.00187,0.00207,0.00229,0.00253,0.00281
27,0.00027,0.00031,0.00037,0.00043,0.00049,0.00055,0.00061,0.00067,0.00074,0.00081,0.00087,0.00093,0.00102,0.00111,0.0012,0.0013,0.00141,0.00155,0.0017,0.00187,0.00207,0.00229,0.00253,0.00281,0.00312
28,0.00028,0.00033,0.00039,0.00045,0.00051,0.00057,0.00064,0.0007,0.00077,0.00083,0.00091,0.00099,0.00108,0.00117,0.00127,0.0014,0.00153,0.00169,0.00186,0.00205,0.00229,0.00253,0.00281,0.00312,0.00347
29,0.0003,0.00036,0.00042,0.00047,0.00053,0.0006,0.00065,0.00074,0.0008,0.00087,0.00095,0.00104,0.00113,0.00124,0.00137,0.00151,0.00168,0.00185,0.00204,0.00227,0.00253,0.00281,0.00312,0.00347,0.00385
30,0.00032,0.00038,0.00043,0.0005,0.00055,0.00062,0.00069,0.00075,0.00082,0.00092,0.00101,0.0011,0.00121,0.00134,0.00149,0.00165,0.00183,0.00203,0.00226,0.00251,0.0028,0.00312,0.00346,0.00384,0.00425
31,0.00035,0.00041,0.00046,0.00052,0.00058,0.00065,0.00072,0.00079,0.00087,0.00097,0.00106,0.00118,0.00131,0.00147,0.00163,0.00181,0.00201,0.00225,0.0025,0.00278,0.00311,0.00345,0.00383,0.00424,0.00468
32,0.00037,0.00042,0.00048,0.00054,0.00061,0.00068,0.00075,0.00083,0.00093,0.00103,0.00115,0.00128,0.00144,0.0016,0.00179,0.00199,0.00223,0.00248,0.00276,0.00306,0.00342,0.00381,0.00423,0.00467,0.00517
33,0.00039,0.00044,0.0005,0.00057,0.00064,0.00072,0.00081,0.0009,0.00099,0.00112,0.00126,0.00141,0.00158,0.00176,0.00197,0.00221,0.00246,0.00274,0.00304,0.00339,0.00378,0.00419,0.00466,0.00515,0.00569
34,0.0004,0.00045,0.00052,0.0006,0.00067,0.00076,0.00086,0.00097,0.00108,0.00122,0.00138,0.00155,0.00174,0.00194,0.00218,0.00244,0.00272,0.00302,0.00336,0.00374,0.00416,0.00461,0.00511,0.00564,0.00621
35,0.00041,0.00048,0.00054,0.00062,0.00071,0.00082,0.00093,0.00106,0.00119,0.00135,0.00152,0.00171,0.00192,0.00216,0.00241,0.00269,0.003,0.00334,0.00371,0.00411,0.00457,0.00507,0.00559,0.00616,0.00676
36,0.00043,0.0005,0.00057,0.00067,0.00077,0.00088,0.00101,0.00115,0.00132,0.00149,0.00167,0.00189,0.00213,0.00238,0.00267,0.00297,0.00332,0.00369,0.00409,0.00453,0.00502,0.00555,0.0061,0.00671,0.00735
37,0.00044,0.00051,0.0006,0.00071,0.00082,0.00096,0.0011,0.00127,0.00144,0.00164,0.00185,0.00209,0.00235,0.00263,0.00294,0.00328,0.00366,0.00406,0.00451,0.00498,0.0055,0.00607,0.00667,0.0073,0.00799
38,0.00046,0.00055,0.00065,0.00076,0.00089,0.00103,0.0012,0.00138,0.00158,0.0018,0.00204,0.0023,0.00259,0.00289,0.00324,0.00362,0.00402,0.00447,0.00494,0.00546,0.00602,0.00662,0.00726,0.00794,0.00867
39,0.00049,0.00059,0.00069,0.00083,0.00097,0.00113,0.00132,0.00152,0.00173,0.00198,0.00224,0.00253,0.00284,0.00319,0.00356,0.00397,0.00443,0.0049,0.00543,0.00598,0.00658,0.00722,0.0079,0.00863,0.0094
40,0.00054,0.00064,0.00076,0.0009,0.00106,0.00124,0.00144,0.00167,0.00191,0.00217,0.00246,0.00277,0.00313,0.00351,0.00391,0.00437,0.00485,0.00538,0.00593,0.00654,0.00718,0.00788,0.00861,0.00938,0.01018
41,0.00058,0.0007,0.00084,0.00099,0.00117,0.00137,0.00158,0.00182,0.00209,0.00238,0.0027,0.00305,0.00343,0.00385,0.0043,0.00479,0.00533,0.00589,0.0065,0.00715,0.00785,0.00859,0.00937,0.01017,0.01104
42,0.00063,0.00077,0.00092,0.0011,0.00129,0.0015,0.00175,0.00201,0.00229,0.00261,0.00295,0.00335,0.00376,0.00422,0.00471,0.00525,0.00582,0.00644,0.0071,0.00781,0.00857,0.00936,0.01017,0.01103,0.01197
43,0.0007,0.00085,0.00103,0.00121,0.00144,0.00167,0.00193,0.00221,0.00252,0.00286,0.00325,0.00366,0.00412,0.00462,0.00517,0.00575,0.00638,0.00705,0.00777,0.00854,0.00933,0.01016,0.01102,0.01196,0.013
44,0.00077,0.00094,0.00114,0.00136,0.00159,0.00185,0.00212,0.00243,0.00277,0.00314,0.00356,0.004,0.00451,0.00505,0.00565,0.00628,0.00696,0.0077,0.00849,0.00931,0.01016,0.01102,0.01195,0.01299,0.01413
45,0.00085,0.00104,0.00126,0.00149,0.00175,0.00204,0.00234,0.00268,0.00305,0.00345,0.00388,0.00438,0.00492,0.00552,0.00616,0.00685,0.00761,0.00841,0.00926,0.01016,0.01101,0.01195,0.01297,0.01413,0.01538
46,0.00093,0.00115,0.00139,0.00164,0.00193,0.00224,0.00258,0.00294,0.00334,0.00377,0.00425,0.00479,0.00537,0.00601,0.00671,0.00746,0.00826,0.00914,0.01009,0.01101,0.01195,0.01297,0.01412,0.01536,0.01677
47,0.00101,0.00125,0.00152,0.0018,0.00212,0.00245,0.00282,0.00321,0.00363,0.00411,0.00463,0.00521,0.00584,0.00652,0.00728,0.00809,0.00898,0.00994,0.01098,0.01194,0.01297,0.01412,0.01536,0.01675,0.01837
48,0.00111,0.00137,0.00165,0.00197,0.00229,0.00265,0.00305,0.00348,0.00395,0.00446,0.00503,0.00565,0.00633,0.00708,0.0079,0.00878,0.00974,0.01079,0.01193,0.01297,0.0141,0.01534,0.01675,0.01837,0.02013
49,0.00117,0.00144,0.0018,0.00212,0.00248,0.00286,0.00329,0.00375,0.00425,0.00481,0.00542,0.0061,0.00684,0.00766,0.00856,0.00953,0.01058,0.01173,0.01295,0.0141,0.01534,0.01675,0.01837,0.02013,0.02208
50,0.00122,0.00158,0.00193,0.00227,0.00265,0.00306,0.00352,0.00401,0.00455,0.00516,0.00583,0.00657,0.00737,0.00827,0.00926,0.01032,0.01148,0.01276,0.01409,0.01534,0.01675,0.01837,0.02013,0.02208,0.02424
51,0.0013,0.00174,0.00209,0.00243,0.00284,0.00326,0.00375,0.00428,0.00487,0.00552,0.00625,0.00705,0.00794,0.00893,0.01,0.01118,0.01247,0.01389,0.01532,0.01675,0.01837,0.02013,0.02208,0.02424,0.02656
52,0.00137,0.00192,0.00225,0.0026,0.00301,0.00346,0.00397,0.00454,0.00518,0.0059,0.00669,0.00757,0.00853,0.00962,0.01082,0.01212,0.01356,0.01514,0.01671,0.01837,0.02013,0.02208,0.02424,0.02656,0.02915
53,0.00145,0.00205,0.00241,0.00277,0.00319,0.00366,0.0042,0.00482,0.00551,0.00629,0.00715,0.00812,0.00919,0.01039,0.01171,0.01315,0.01478,0.01655,0.01831,0.02013,0.02208,0.02424,0.02656,0.02915,0.03196
54,0.00153,0.00219,0.00258,0.00295,0.00338,0.00388,0.00445,0.00511,0.00586,0.0067,0.00766,0.00872,0.00991,0.01124,0.01272,0.01434,0.01613,0.01812,0.02007,0.02206,0.02422,0.02656,0.02915,0.03196,0.03509
55,0.00162,0.00234,0.00277,0.00315,0.0036,0.00412,0.00473,0.00543,0.00624,0.00717,0.00822,0.0094,0.01072,0.0122,0.01385,0.01568,0.01769,0.01992,0.022,0.02421,0.02656,0.02915,0.03196,0.03509,0.03852
56,0.00177,0.00251,0.00299,0.00339,0.00386,0.00441,0.00507,0.00583,0.00672,0.00772,0.00887,0.01017,0.01164,0.01331,0.01514,0.01719,0.01947,0.02194,0.02412,0.02654,0.02912,0.03196,0.03508,0.03849,0.04227
57,0.00187,0.00269,0.00324,0.00365,0.00416,0.00475,0.00546,0.0063,0.00725,0.00836,0.00962,0.01106,0.01269,0.01454,0.01659,0.01888,0.02144,0.02405,0.02644,0.02908,0.03192,0.03505,0.03849,0.04222,0.04637
58,0.00195,0.00287,0.00349,0.00393,0.00449,0.00515,0.00592,0.00684,0.00788,0.0091,0.01048,0.01207,0.01387,0.01594,0.01821,0.0208,0.02365,0.02635,0.02898,0.03189,0.03501,0.03844,0.04221,0.04636,0.05094
59,0.00211,0.00305,0.00376,0.00425,0.00485,0.00558,0.00643,0.00743,0.00859,0.00994,0.01147,0.01323,0.01523,0.0175,0.02006,0.02292,0.02611,0.02888,0.03176,0.03498,0.0384,0.04216,0.04631,0.05087,0.05589
60,0.00222,0.00324,0.00403,0.00456,0.00523,0.00604,0.00699,0.00811,0.0094,0.01089,0.0126,0.01454,0.01679,0.0193,0.02213,0.02531,0.02876,0.03166,0.03483,0.03835,0.04211,0.04624,0.05085,0.05587,0.06133
61,0.00234,0.00343,0.0043,0.00489,0.00562,0.00652,0.00758,0.00883,0.01029,0.01195,0.01387,0.01604,0.01853,0.02134,0.02449,0.02802,0.03153,0.03472,0.0382,0.04201,0.04618,0.05074,0.0558,0.0613,0.06739
62,0.00251,0.00364,0.00458,0.00521,0.00602,0.00702,0.00821,0.00961,0.01125,0.01312,0.01528,0.01774,0.02052,0.02367,0.02719,0.03113,0.03457,0.03807,0.04189,0.04608,0.05067,0.05571,0.06122,0.06729,0.07404
63,0.00274,0.00385,0.00485,0.00553,0.00642,0.00752,0.00886,0.01044,0.01229,0.01442,0.01686,0.01964,0.02277,0.02629,0.03023,0.03447,0.03791,0.04175,0.04593,0.05055,0.05558,0.06113,0.06718,0.07392,0.08128
64,0.00302,0.00467,0.00514,0.00586,0.00683,0.00806,0.00956,0.01134,0.01343,0.01583,0.0186,0.02175,0.02528,0.02921,0.03361,0.03779,0.04157,0.04577,0.05038,0.05539,0.06098,0.06707,0.07378,0.08113,0.08923
65,0.00334,0.00496,0.00545,0.00621,0.00727,0.00863,0.01031,0.01232,0.01468,0.01741,0.02055,0.02409,0.02804,0.03249,0.0374,0.04143,0.04558,0.05021,0.0552,0.06075,0.06689,0.07359,0.08097,0.08905,0.09804
66,0.00352,0.00531,0.00579,0.00661,0.00778,0.00929,0.01118,0.01345,0.01614,0.01922,0.02274,0.02675,0.03122,0.03622,0.04137,0.04552,0.05013,0.05512,0.06067,0.06679,0.07346,0.08083,0.08896,0.09783,0.10762
67,0.00368,0.00568,0.00617,0.00707,0.00836,0.01007,0.0122,0.01476,0.01777,0.02128,0.02526,0.02975,0.0348,0.04039,0.04551,0.05008,0.05511,0.06065,0.0667,0.07337,0.08071,0.08882,0.09769,0.10754,0.11824
68,0.00408,0.00608,0.00664,0.00763,0.00908,0.01099,0.0134,0.01628,0.0197,0.02363,0.02811,0.03316,0.0388,0.04504,0.05002,0.05505,0.06058,0.06663,0.07335,0.08069,0.08871,0.09765,0.1074,0.11818,0.13009
69,0.0045,0.00654,0.00716,0.00828,0.00993,0.01209,0.01479,0.01807,0.02189,0.02631,0.03134,0.03699,0.04326,0.05001,0.05504,0.0605,0.06661,0.07326,0.0806,0.08868,0.09761,0.10735,0.11812,0.13,0.14301
70,0.00498,0.00703,0.00778,0.00907,0.01094,0.01339,0.01645,0.02013,0.02444,0.02939,0.03497,0.04127,0.04824,0.05502,0.06049,0.06659,0.07323,0.08057,0.08864,0.09747,0.10718,0.11792,0.12976,0.14285,0.15736
71,0.00555,0.00759,0.00849,0.01,0.01216,0.01494,0.01839,0.02253,0.02735,0.03288,0.03911,0.04607,0.05382,0.06046,0.06593,0.07286,0.08029,0.08851,0.0974,0.10709,0.1178,0.12949,0.14251,0.15707,0.17273
72,0.00756,0.0082,0.00932,0.0111,0.01358,0.01677,0.02067,0.0253,0.03069,0.03685,0.04377,0.05146,0.05994,0.06528,0.07248,0.0801,0.0883,0.09734,0.10701,0.11769,0.12934,0.14231,0.15664,0.17216,0.1895
73,0.00817,0.00893,0.01029,0.0124,0.01528,0.01889,0.02329,0.02848,0.03449,0.04134,0.04897,0.05745,0.06469,0.07211,0.07984,0.08816,0.09728,0.10693,0.11759,0.1292,0.14212,0.15638,0.17179,0.1888,0.20757
74,0.00886,0.00979,0.01147,0.01397,0.01726,0.02137,0.02632,0.03213,0.03881,0.04637,0.0548,0.06405,0.07175,0.0796,0.08806,0.09717,0.10681,0.11755,0.12903,0.14192,0.15615,0.17151,0.18862,0.2073,0.22794
75,0.00961,0.01084,0.0129,0.01582,0.0196,0.02426,0.0298,0.03631,0.04371,0.05207,0.06128,0.07143,0.07944,0.08798,0.09716,0.10681,0.11754,0.12902,0.14191,0.15613,0.17149,0.18858,0.20724,0.22784,0.25035
76,0.01053,0.01211,0.01459,0.01796,0.02227,0.02751,0.03369,0.04084,0.04899,0.0581,0.06815,0.0792,0.0879,0.09716,0.1068,0.11743,0.12902,0.1419,0.15597,0.17148,0.1884,0.20704,0.22764,0.25035,0.27546
77,0.01176,0.01373,0.01664,0.02052,0.02536,0.0312,0.03806,0.04594,0.05482,0.06483,0.07578,0.08778,0.09707,0.1068,0.11743,0.12901,0.14177,0.15597,0.17132,0.1884,0.20704,0.22764,0.25035,0.27546,0.29755
78,0.01335,0.01574,0.01913,0.02353,0.02897,0.03542,0.04298,0.05164,0.06134,0.07224,0.08406,0.09706,0.1068,0.11742,0.12889,0.14176,0.15582,0.17131,0.18823,0.20704,0.22763,0.25035,0.27521,0.29755,0.32189
79,0.01412,0.01826,0.02214,0.02708,0.0331,0.04027,0.04856,0.05797,0.06855,0.0803,0.09317,0.10669,0.11731,0.12889,0.14163,0.15582,0.17115,0.18822,0.20684,0.22763,0.25034,0.2752,0.29755,0.32189,0.34839
80,0.01568,0.02137,0.02573,0.03125,0.0379,0.04572,0.05478,0.06502,0.07647,0.08919,0.10298,0.11719,0.12876,0.14149,0.15553,0.17114,0.18804,0.20683,0.2274,0.25011,0.27519,0.29755,0.32189,0.34774,0.3786
81,0.01752,0.02511,0.02999,0.03606,0.04338,0.0519,0.06171,0.07278,0.08515,0.09886,0.11371,0.12876,0.14149,0.15553,0.17098,0.18804,0.20683,0.2274,0.25011,0.27519,0.29755,0.32189,0.34742,0.3786,0.41056
82,0.01955,0.02962,0.03499,0.04163,0.04956,0.0588,0.06939,0.08132,0.09464,0.10938,0.12529,0.14135,0.15537,0.17098,0.18804,0.20665,0.2274,0.2501,0.27518,0.29755,0.32189,0.34677,0.3786,0.41056,0.44332
83,0.02163,0.03489,0.0408,0.04801,0.05658,0.06655,0.07785,0.09067,0.10495,0.12073,0.13777,0.15537,0.17081,0.18785,0.20664,0.2274,0.2501,0.27517,0.29755,0.32189,0.34613,0.3786,0.41056,0.44332,0.47688
84,0.02621,0.04069,0.04748,0.05523,0.06438,0.07506,0.08724,0.10095,0.11612,0.13285,0.15102,0.17081,0.18785,0.20664,0.22718,0.25009,0.27516,0.29728,0.32189,0.34548,0.3786,0.41056,0.44332,0.47688,0.51064
85,0.03097,0.04736,0.05505,0.06329,0.07312,0.08443,0.0974,0.112,0.12815,0.14596,0.16532,0.18637,0.20644,0.22718,0.24985,0.27515,0.29728,0.32189,0.34515,0.3786,0.41056,0.44332,0.47688,0.51064,0.5458
86,0.03961,0.05493,0.0632,0.07233,0.08269,0.09478,0.10856,0.12395,0.14109,0.16001,0.18059,0.20298,0.22717,0.24983,0.27489,0.29728,0.32189,0.34451,0.3786,0.41056,0.44332,0.47688,0.51064,0.5458,0.58176
87,0.04598,0.06305,0.07216,0.08234,0.09327,0.10595,0.1205,0.13678,0.15492,0.17497,0.19679,0.22058,0.24618,0.27381,0.29728,0.32189,0.34386,0.3786,0.41056,0.44289,0.47642,0.51064,0.5458,0.58176,0.61632
88,0.05689,0.07206,0.08214,0.09302,0.10479,0.11812,0.13335,0.1505,0.16963,0.19078,0.21364,0.23879,0.26589,0.2906,0.31618,0.34347,0.37212,0.40243,0.43438,0.46799,0.50325,0.54016,0.57873,0.61632,0.64984
89,0.06943,0.08204,0.09289,0.10453,0.11719,0.13116,0.14712,0.16513,0.18526,0.20734,0.23162,0.25793,0.28294,0.30803,0.3349,0.36324,0.39332,0.42513,0.45868,0.49398,0.53101,0.56977,0.61027,0.64984,0.68036
90,0.08197,0.0928,0.10441,0.11703,0.13057,0.14529,0.162,0.18074,0.20186,0.22506,0.25039,0.27549,0.29992,0.32622,0.35408,0.38378,0.4153,0.44865,0.48384,0.52085,0.5597,0.60036,0.64287,0.68036,0.72338
91,0.09273,0.10431,0.11691,0.1304,0.14493,0.16028,0.17774,0.19732,0.21924,0.24359,0.26854,0.29211,0.31737,0.34487,0.37401,0.40507,0.43807,0.47299,0.50984,0.54862,0.58931,0.63194,0.6765,0.72298,0.7634
92,0.10425,0.11682,0.13028,0.14476,0.16005,0.1763,0.19448,0.21491,0.23763,0.26237,0.28489,0.3092,0.33585,0.36425,0.39468,0.42714,0.46163,0.49815,0.53669,0.57726,0.61987,0.6645,0.71117,0.75986,0.80492
93,0.11676,0.1302,0.14465,0.15989,0.17607,0.19334,0.21206,0.23334,0.25732,0.27857,0.30172,0.32732,0.35477,0.38437,0.4161,0.44997,0.48598,0.52412,0.56439,0.60681,0.65136,0.69805,0.74687,0.79783,0.85044
94,0.13014,0.14457,0.15978,0.17591,0.19312,0.21146,0.23086,0.25351,0.27348,0.29526,0.31957,0.34587,0.37442,0.40522,0.43827,0.47356,0.51111,0.5509,0.59294,0.63724,0.68378,0.73257,0.78361,0.8369,0.89244
95,0.14451,0.15971,0.17581,0.19297,0.21124,0.23053,0.25178,0.26976,0.29015,0.31296,0.33787,0.36515,0.39479,0.4268,0.46118,0.49793,0.53703,0.57851,0.62235,0.66856,0.71714,0.76808,0.82139,0.87707,0.93511
96,0.15966,0.17574,0.19287,0.2111,0.23032,0.25178,0.2683,0.28681,0.30786,0.33113,0.35689,0.38515,0.41589,0.44912,0.48484,0.52304,0.56374,0.60693,0.65261,0.70078,0.75143,0.80458,0.86021,0.91833,1
97,0.1757,0.19281,0.21101,0.23018,0.25178,0.2683,0.28563,0.30465,0.32603,0.35003,0.37664,0.40587,0.43771,0.47217,0.50924,0.54894,0.59125,0.63618,0.68372,0.73388,0.78666,0.84205,0.90006,1,
98,0.19277,0.21095,0.23009,0.25178,0.2683,0.28563,0.30378,0.32299,0.34495,0.36965,0.39711,0.42731,0.46026,0.49595,0.5344,0.5756,0.61954,0.66624,0.71568,0.76787,0.82282,0.88051,1,,
99,0.21091,0.23004,0.25178,0.2683,0.28563,0.30378,0.32245,0.34209,0.36461,0.39001,0.4183,0.44947,0.48352,0.52047,0.5603,0.60302,0.64863,0.69712,0.7485,0.80276,0.85991,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Nonsmoker. Basis: Age Nearest Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
