Table Name:,2017 Unloaded CSO Preferred Structure Nonsmoker Preferred Female ANB,,,,,,,,,,,,,,,,,,,,,,,,
28,7E-05,0.00012,0.00014,0.00015,0.00017,0.0002,0.00024,0.00029,0.00034,0.00038,0.00044,0.0005,0.00057,0.00061,0.00063,0.00066,0.00071,0.00077,0.00085,0.00092,0.00099,0.00105,0.00114,0.00124,0.00138
29,7E-05,0.00012,0.00014,0.00015,0.00018,0.00021,0.00026,0.00031,0.00037,0.00042,0.00047,0.00054,0.00059,0.00063,0.00065,0.00069,0.00074,0.00081,0.00089,0.00097,0.00105,0.00114,0.00124,0.00138,0.00156
30,7E-05,0.00012,0.00015,0.00016,0.00019,0.00023,0.00028,0.00034,0.0004,0.00045,0.0005,0.00056,0.00062,0.00065,0.00068,0.00073,0.0008,0.00089,0.00097,0.00105,0.00114,0.00124,0.00138,0.00156,0.00175
31,7E-05,0.00013,0.00015,0.00017,0.0002,0.00025,0.00031,0.00037,0.00042,0.00047,0.00052,0.00058,0.00064,0.00068,0.00072,0.00078,0.00087,0.00096,0.00104,0.00113,0.00124,0.00138,0.00156,0.00175,0.00194
32,7E-05,0.00013,0.00016,0.00019,0.00023,0.00029,0.00034,0.0004,0.00044,0.00049,0.00054,0.0006,0.00067,0.00071,0.00078,0.00085,0.00095,0.00103,0.00113,0.00123,0.00138,0.00156,0.00175,0.00194,0.00214
33,8E-05,0.00014,0.00018,0.00022,0.00027,0.00032,0.00037,0.00042,0.00046,0.0005,0.00056,0.00062,0.0007,0.00078,0.00085,0.00093,0.00103,0.00112,0.00123,0.00137,0.00156,0.00175,0.00194,0.00214,0.00232
34,8E-05,0.00015,0.0002,0.00025,0.0003,0.00034,0.0004,0.00045,0.00048,0.00052,0.00058,0.00066,0.00076,0.00084,0.00093,0.00102,0.00112,0.00123,0.00136,0.00154,0.00175,0.00194,0.00214,0.00232,0.00251
35,9E-05,0.00015,0.00023,0.00029,0.00034,0.00038,0.00044,0.00047,0.00049,0.00054,0.00061,0.00072,0.00083,0.00093,0.00101,0.00111,0.00122,0.00134,0.00151,0.00172,0.00194,0.00214,0.00232,0.00251,0.00271
36,0.0001,0.00017,0.00025,0.00031,0.00036,0.00042,0.00047,0.00049,0.00052,0.00057,0.00067,0.00079,0.00092,0.00101,0.0011,0.0012,0.00132,0.00147,0.00167,0.0019,0.00214,0.00232,0.00251,0.00271,0.00294
37,0.00011,0.00017,0.00027,0.00036,0.00041,0.00046,0.00049,0.00051,0.00055,0.00063,0.00074,0.00087,0.001,0.0011,0.0012,0.0013,0.00144,0.00161,0.00184,0.00209,0.00232,0.00251,0.00271,0.00294,0.0032
38,0.00011,0.00018,0.00029,0.00038,0.00044,0.00049,0.00051,0.00054,0.0006,0.0007,0.00082,0.00096,0.00109,0.00119,0.00128,0.0014,0.00156,0.00176,0.002,0.00227,0.00251,0.00271,0.00294,0.0032,0.00351
39,0.00012,0.00019,0.00031,0.0004,0.00048,0.00051,0.00054,0.00059,0.00066,0.00078,0.00091,0.00105,0.00117,0.00128,0.00138,0.00152,0.0017,0.00192,0.00217,0.00245,0.00271,0.00294,0.0032,0.00351,0.00386
40,0.00013,0.0002,0.00031,0.00041,0.0005,0.00054,0.00059,0.00065,0.00073,0.00086,0.00101,0.00114,0.00126,0.00137,0.00149,0.00165,0.00185,0.00208,0.00235,0.00265,0.00294,0.0032,0.00351,0.00386,0.00425
41,0.00014,0.00022,0.00032,0.00042,0.00052,0.00058,0.00064,0.0007,0.00081,0.00095,0.0011,0.00122,0.00135,0.00148,0.00162,0.0018,0.00201,0.00226,0.00254,0.00287,0.0032,0.00351,0.00386,0.00425,0.00468
42,0.00014,0.00023,0.00033,0.00045,0.00057,0.00064,0.00069,0.00076,0.00089,0.00104,0.00118,0.00131,0.00145,0.00161,0.00178,0.00198,0.0022,0.00245,0.00276,0.00313,0.00351,0.00386,0.00425,0.00468,0.00513
43,0.00015,0.00024,0.00034,0.0005,0.00061,0.00068,0.00074,0.00083,0.00097,0.00113,0.00127,0.0014,0.00158,0.00177,0.00196,0.00218,0.00242,0.00271,0.00305,0.00344,0.00386,0.00425,0.00468,0.00513,0.00563
44,0.00017,0.00025,0.00037,0.00056,0.00066,0.00073,0.00079,0.0009,0.00105,0.00121,0.00136,0.00152,0.00173,0.00194,0.00215,0.00239,0.00264,0.00294,0.00331,0.00378,0.00425,0.00468,0.00513,0.00563,0.00617
45,0.0002,0.00026,0.00041,0.00063,0.00071,0.00078,0.00085,0.00098,0.00114,0.0013,0.00146,0.00165,0.0019,0.00214,0.00237,0.00262,0.00291,0.00326,0.00367,0.00416,0.00468,0.00513,0.00563,0.00617,0.00678
46,0.00022,0.00026,0.00046,0.00067,0.00076,0.00084,0.00093,0.00107,0.00123,0.00139,0.00158,0.00182,0.0021,0.00237,0.0026,0.00288,0.00322,0.0036,0.00405,0.00457,0.00513,0.00563,0.00617,0.00678,0.0075
47,0.00023,0.00027,0.00053,0.00072,0.00082,0.00092,0.00102,0.00116,0.00132,0.0015,0.00172,0.00201,0.00233,0.0026,0.00288,0.0032,0.00357,0.00398,0.00446,0.00501,0.00563,0.00617,0.00678,0.0075,0.00834
48,0.00024,0.0003,0.00062,0.00078,0.00091,0.001,0.00112,0.00127,0.00143,0.00163,0.00188,0.00222,0.00258,0.00288,0.00318,0.00353,0.00395,0.0044,0.00491,0.0055,0.00617,0.00678,0.0075,0.00834,0.00934
49,0.00025,0.00035,0.00074,0.00088,0.001,0.0011,0.00124,0.00139,0.00155,0.00177,0.00206,0.00243,0.00282,0.00315,0.00347,0.00387,0.00434,0.00482,0.00537,0.00602,0.00678,0.0075,0.00834,0.00934,0.01051
50,0.00026,0.00045,0.00085,0.00099,0.0011,0.00122,0.00137,0.00151,0.00169,0.00194,0.00227,0.00265,0.00304,0.00338,0.00375,0.00422,0.00473,0.00525,0.00586,0.0066,0.0075,0.00834,0.00934,0.01051,0.01188
51,0.00027,0.00058,0.00096,0.00109,0.00121,0.00135,0.00148,0.00164,0.00185,0.00214,0.00249,0.00287,0.00326,0.00363,0.00406,0.0046,0.00515,0.00571,0.00638,0.00726,0.00834,0.00934,0.01051,0.01188,0.01346
52,0.00028,0.00073,0.00103,0.00117,0.00131,0.00146,0.00162,0.0018,0.00205,0.00237,0.00274,0.0031,0.0035,0.00392,0.00442,0.00503,0.00558,0.00619,0.00701,0.00808,0.00934,0.01051,0.01188,0.01346,0.01525
53,0.00029,0.00081,0.00108,0.00126,0.00143,0.0016,0.00178,0.002,0.00228,0.00264,0.003,0.00334,0.00375,0.00424,0.00482,0.00547,0.00613,0.00692,0.00789,0.00905,0.01051,0.01188,0.01346,0.01525,0.01735
54,0.0003,0.00084,0.00113,0.00133,0.00156,0.00176,0.00197,0.00223,0.00255,0.00292,0.00328,0.00362,0.00407,0.00464,0.00532,0.00606,0.00684,0.00779,0.00892,0.01027,0.01188,0.01346,0.01525,0.01735,0.01979
55,0.00031,0.00084,0.00116,0.00138,0.00172,0.00195,0.00221,0.0025,0.00285,0.00321,0.00355,0.00391,0.00443,0.00511,0.0059,0.00677,0.00769,0.00878,0.01017,0.01188,0.01346,0.01525,0.01735,0.01979,0.02271
56,0.00031,0.00085,0.00118,0.00146,0.00191,0.00219,0.00249,0.0028,0.00315,0.00349,0.00381,0.00423,0.00486,0.00567,0.00659,0.00762,0.00875,0.01003,0.01159,0.01346,0.01525,0.01735,0.01979,0.02271,0.02625
57,0.00032,0.00087,0.00119,0.0016,0.00215,0.00247,0.00279,0.0031,0.00344,0.00373,0.00407,0.00458,0.00534,0.0063,0.00738,0.00859,0.0099,0.01136,0.01312,0.01525,0.01735,0.01979,0.02271,0.02625,0.03034
58,0.00034,0.00089,0.00122,0.0018,0.00243,0.00278,0.00309,0.00337,0.00366,0.00396,0.00436,0.005,0.00594,0.00707,0.00834,0.00974,0.01124,0.01289,0.01492,0.01735,0.01979,0.02271,0.02625,0.03034,0.0344
59,0.00036,0.00092,0.00129,0.00208,0.00274,0.00308,0.00336,0.0036,0.00387,0.00422,0.00473,0.00556,0.00672,0.00803,0.0095,0.01111,0.01284,0.01473,0.01703,0.01979,0.02271,0.02625,0.03034,0.0344,0.03882
60,0.00041,0.00095,0.00147,0.00236,0.00304,0.00335,0.00358,0.0038,0.00408,0.00453,0.00523,0.0063,0.00767,0.00916,0.01086,0.01268,0.01461,0.01666,0.01943,0.02271,0.02625,0.03034,0.0344,0.03882,0.04415
61,0.00049,0.00099,0.00174,0.00261,0.00331,0.00356,0.00375,0.00399,0.00436,0.00497,0.00591,0.00723,0.00882,0.01056,0.01243,0.01447,0.01662,0.01913,0.02241,0.02625,0.03034,0.0344,0.03882,0.04415,0.05234
62,0.00059,0.0011,0.00207,0.00277,0.00351,0.00371,0.00392,0.00424,0.00476,0.00559,0.0068,0.00837,0.01015,0.01205,0.01412,0.01641,0.01903,0.02237,0.02625,0.03034,0.0344,0.03882,0.04415,0.05234,0.05961
63,0.0007,0.00126,0.00241,0.00308,0.00365,0.0039,0.0042,0.00469,0.0054,0.00644,0.00792,0.00973,0.01169,0.01379,0.0161,0.01874,0.02214,0.02575,0.03034,0.0344,0.03882,0.04415,0.05234,0.05961,0.06777
64,0.00081,0.00157,0.00271,0.00329,0.00373,0.00413,0.00469,0.00536,0.00619,0.00753,0.00924,0.01119,0.01328,0.01556,0.01821,0.02177,0.02564,0.03034,0.0344,0.03882,0.04415,0.05234,0.05961,0.06777,0.07736
65,0.0009,0.00192,0.00294,0.00342,0.00392,0.00459,0.00532,0.00609,0.00721,0.00887,0.01078,0.01282,0.01509,0.01756,0.02066,0.02504,0.02955,0.0344,0.03882,0.04415,0.05234,0.05961,0.06777,0.07736,0.08803
66,0.001,0.00204,0.00311,0.00353,0.00415,0.00508,0.00598,0.00702,0.00846,0.01045,0.01251,0.01461,0.01708,0.02021,0.02381,0.02859,0.0344,0.03882,0.04415,0.05234,0.05961,0.06777,0.07736,0.08803,0.09976
67,0.00111,0.00212,0.00325,0.00365,0.0045,0.00566,0.0068,0.00813,0.00993,0.01223,0.01451,0.01694,0.01938,0.02277,0.02677,0.03234,0.03882,0.04415,0.05234,0.05961,0.06777,0.07736,0.08803,0.09976,0.1123
68,0.00123,0.0022,0.00337,0.00392,0.005,0.00637,0.00776,0.00942,0.01159,0.01426,0.01679,0.01926,0.02265,0.02654,0.03017,0.03695,0.04415,0.05234,0.05961,0.06777,0.07736,0.08803,0.09976,0.1123,0.12594
69,0.00136,0.00229,0.00351,0.00432,0.00562,0.0072,0.00884,0.01084,0.01344,0.01652,0.01915,0.02252,0.02631,0.03012,0.03608,0.04387,0.05234,0.05961,0.06777,0.07736,0.08803,0.09976,0.1123,0.12594,0.1407
70,0.00151,0.0024,0.00368,0.00473,0.00637,0.00811,0.01001,0.0124,0.01549,0.01903,0.0224,0.02608,0.0301,0.03575,0.04361,0.05234,0.05961,0.06777,0.07736,0.08803,0.09976,0.1123,0.12594,0.1407,0.15564
71,0.00168,0.00254,0.00389,0.00529,0.0072,0.00907,0.01124,0.0141,0.01776,0.02181,0.02585,0.02974,0.03525,0.04228,0.05104,0.05961,0.06777,0.07736,0.08803,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179
72,0.00186,0.00272,0.00417,0.00605,0.00807,0.01008,0.01258,0.01596,0.02028,0.02506,0.02953,0.03373,0.04035,0.04891,0.05859,0.06777,0.07736,0.08803,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155
73,0.00206,0.00296,0.00453,0.00687,0.00897,0.01113,0.014,0.018,0.0232,0.02863,0.03348,0.03913,0.04713,0.05699,0.06777,0.07736,0.08803,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329
74,0.00237,0.00326,0.00501,0.00775,0.00991,0.01225,0.01557,0.0204,0.02648,0.03257,0.03788,0.04466,0.05389,0.06526,0.07736,0.08803,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702
75,0.00273,0.00358,0.00562,0.0087,0.01091,0.01348,0.01744,0.02313,0.03016,0.03701,0.04275,0.05086,0.06152,0.07486,0.08803,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244
76,0.00314,0.00402,0.00638,0.00971,0.01197,0.01493,0.01956,0.02623,0.03437,0.04197,0.04943,0.05946,0.07192,0.08595,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919
77,0.00355,0.0045,0.00729,0.01079,0.01321,0.01658,0.02201,0.02987,0.03922,0.04754,0.05789,0.06976,0.08389,0.09976,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133
78,0.00402,0.00513,0.00839,0.01203,0.0146,0.01849,0.02493,0.03417,0.04485,0.05474,0.06678,0.081,0.0981,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747
79,0.00448,0.00588,0.00973,0.01338,0.01615,0.02079,0.02848,0.03934,0.05134,0.0642,0.07907,0.09639,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133
80,0.00465,0.00681,0.01127,0.01482,0.01798,0.02357,0.03283,0.04553,0.06023,0.07621,0.09375,0.1123,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845
81,0.00504,0.00789,0.013,0.01643,0.02014,0.02731,0.03821,0.05313,0.06973,0.08802,0.10916,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066
82,0.00555,0.00913,0.0149,0.01821,0.02394,0.03242,0.04502,0.06274,0.08332,0.10594,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726
83,0.0064,0.01058,0.01726,0.022,0.02842,0.03853,0.05465,0.07737,0.10305,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611
84,0.00758,0.01225,0.01999,0.02656,0.03435,0.04687,0.0705,0.09892,0.12594,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277
85,0.00864,0.01442,0.02413,0.0321,0.04151,0.05936,0.08998,0.11809,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686
86,0.00957,0.01741,0.02917,0.03881,0.05229,0.08189,0.11118,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488
87,0.01059,0.02104,0.03527,0.04694,0.07043,0.10745,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583
88,0.01173,0.02544,0.04265,0.06166,0.09906,0.1407,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5
89,0.013,0.03024,0.05153,0.08229,0.12994,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5
90,0.0144,0.03591,0.06795,0.11382,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5
91,0.01842,0.04738,0.10494,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5
92,0.02686,0.073,0.15564,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5
93,0.0411,0.10872,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5
94,0.06232,0.13181,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.0924,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Nonsmoker, Preferred, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0003,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00039,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00114,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00138,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00156,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00194,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00214,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00232,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00251,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00271,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00294,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0032,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00351,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00386,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00425,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00468,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00513,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00563,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00617,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00678,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0075,,,,,,,,,,,,,,,,,,,,,,,,
71,0.00834,,,,,,,,,,,,,,,,,,,,,,,,
72,0.00934,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01051,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01188,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01346,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01525,,,,,,,,,,,,,,,,,,,,,,,,
77,0.01735,,,,,,,,,,,,,,,,,,,,,,,,
78,0.01979,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02271,,,,,,,,,,,,,,,,,,,,,,,,
80,0.02625,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03034,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0344,,,,,,,,,,,,,,,,,,,,,,,,
83,0.03882,,,,,,,,,,,,,,,,,,,,,,,,
84,0.04415,,,,,,,,,,,,,,,,,,,,,,,,
