Table Name:,2017 Unloaded CSO Preferred Structure Smoker Preferred Female ANB,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00019,0.00025,0.00033,0.00042,0.00052,0.00062,0.00074,0.00086,0.00098,0.00111,0.00123,0.00134,0.00147,0.00159,0.00174,0.00193,0.00215,0.00239,0.00264,0.00292,0.00325,0.00356,0.00392,0.00431,0.00476
33,0.00021,0.00028,0.00037,0.00048,0.00058,0.00069,0.00081,0.00093,0.00104,0.00117,0.00129,0.00142,0.00156,0.00172,0.0019,0.00212,0.00236,0.00262,0.00287,0.0032,0.00356,0.00392,0.00431,0.00476,0.00527
34,0.00022,0.00031,0.00042,0.00054,0.00065,0.00076,0.00087,0.00098,0.0011,0.00123,0.00136,0.0015,0.00171,0.00189,0.00209,0.00233,0.0026,0.00285,0.00316,0.00352,0.00392,0.00431,0.00476,0.00527,0.00584
35,0.00024,0.00035,0.00048,0.0006,0.00072,0.00082,0.00093,0.00104,0.00116,0.0013,0.00144,0.00167,0.00187,0.00208,0.0023,0.00257,0.00284,0.00315,0.0035,0.0039,0.00431,0.00476,0.00527,0.00584,0.00648
36,0.00027,0.00039,0.00053,0.00067,0.00078,0.00088,0.00099,0.0011,0.00122,0.00137,0.00166,0.00184,0.00206,0.00229,0.00254,0.00283,0.00313,0.00348,0.00388,0.00429,0.00476,0.00527,0.00584,0.00648,0.0072
37,0.0003,0.00043,0.00058,0.00072,0.00083,0.00094,0.00104,0.00116,0.00128,0.00163,0.00182,0.00202,0.00227,0.00253,0.0028,0.00311,0.00346,0.00386,0.00428,0.00474,0.00527,0.00584,0.00648,0.0072,0.008
38,0.00032,0.00047,0.00063,0.00077,0.00089,0.00099,0.0011,0.00122,0.00156,0.00179,0.002,0.00223,0.0025,0.00279,0.0031,0.00344,0.00384,0.00427,0.00473,0.00525,0.00584,0.00648,0.0072,0.008,0.00889
39,0.00035,0.0005,0.00067,0.00082,0.00094,0.00105,0.00117,0.00148,0.00172,0.00197,0.00221,0.00246,0.00276,0.00308,0.00343,0.00383,0.00426,0.00472,0.00524,0.00583,0.00648,0.0072,0.008,0.00889,0.00988
40,0.00036,0.00053,0.00071,0.00088,0.001,0.00112,0.00139,0.00163,0.00189,0.00217,0.00244,0.00272,0.00306,0.00341,0.00379,0.00425,0.00471,0.00523,0.00581,0.00646,0.0072,0.008,0.00889,0.00988,0.01096
41,0.00038,0.00055,0.00076,0.00093,0.00107,0.00129,0.00153,0.0018,0.00209,0.0024,0.0027,0.00301,0.00339,0.00378,0.0042,0.0047,0.00522,0.0058,0.00645,0.00718,0.008,0.00889,0.00988,0.01096,0.01215
42,0.00039,0.00058,0.0008,0.001,0.00118,0.00142,0.00169,0.00199,0.0023,0.00265,0.00298,0.00333,0.00375,0.00419,0.00464,0.00522,0.0058,0.00644,0.00716,0.00797,0.00889,0.00988,0.01096,0.01215,0.01344
43,0.0004,0.00061,0.00085,0.0011,0.0013,0.00157,0.00187,0.00219,0.00255,0.00293,0.0033,0.00369,0.00415,0.00459,0.00514,0.00579,0.00643,0.00715,0.00796,0.00886,0.00988,0.01096,0.01215,0.01344,0.01482
44,0.00042,0.00064,0.00093,0.00121,0.00143,0.00174,0.00207,0.00243,0.00282,0.00325,0.00366,0.00409,0.00453,0.0051,0.00571,0.00642,0.00714,0.00794,0.00885,0.00983,0.01096,0.01215,0.01344,0.01482,0.0163
45,0.00043,0.00069,0.00102,0.00134,0.00159,0.00192,0.00229,0.00269,0.00313,0.0036,0.00405,0.00445,0.00503,0.00566,0.00635,0.00713,0.00793,0.00885,0.00983,0.01096,0.01215,0.01344,0.01482,0.0163,0.01786
46,0.00046,0.00075,0.00113,0.00148,0.00176,0.00213,0.00254,0.00299,0.00347,0.00399,0.0044,0.00494,0.00559,0.0063,0.00706,0.00792,0.00885,0.00983,0.01095,0.01206,0.01344,0.01482,0.0163,0.01786,0.01959
47,0.00049,0.00081,0.00124,0.00163,0.00196,0.00237,0.00283,0.00332,0.00386,0.00433,0.0049,0.0055,0.00622,0.00701,0.00786,0.00881,0.00983,0.01094,0.01206,0.01334,0.01482,0.0163,0.01786,0.01959,0.02153
48,0.00053,0.00088,0.00136,0.00181,0.00218,0.00264,0.00314,0.00369,0.00419,0.00482,0.00545,0.00612,0.00693,0.00781,0.00875,0.00981,0.01093,0.01206,0.01331,0.01473,0.0163,0.01786,0.01959,0.02153,0.02342
49,0.00057,0.00096,0.0015,0.00201,0.00243,0.00294,0.0035,0.00402,0.00467,0.00537,0.00606,0.00679,0.00769,0.00866,0.0097,0.01086,0.01206,0.01331,0.01463,0.01616,0.01786,0.01959,0.02153,0.02342,0.02554
50,0.00061,0.00105,0.00166,0.00223,0.00271,0.00328,0.00383,0.00448,0.0052,0.00599,0.00674,0.00754,0.00853,0.00961,0.01074,0.01201,0.01331,0.01463,0.01615,0.01767,0.01959,0.02153,0.02342,0.02554,0.02782
51,0.00066,0.00115,0.00183,0.00248,0.00302,0.00362,0.00428,0.005,0.00581,0.00669,0.00751,0.00837,0.00947,0.01064,0.01187,0.01324,0.01463,0.01614,0.01767,0.01934,0.02153,0.02342,0.02554,0.02782,0.03038
52,0.00071,0.00126,0.00202,0.00276,0.00338,0.00405,0.00478,0.00559,0.00649,0.00748,0.00837,0.00942,0.01055,0.01183,0.01315,0.01459,0.01612,0.01767,0.01933,0.02118,0.02342,0.02554,0.02782,0.03038,0.0332
53,0.00077,0.00139,0.00223,0.00307,0.00378,0.00453,0.00535,0.00625,0.00726,0.00835,0.00936,0.01052,0.01172,0.0131,0.01457,0.01611,0.01767,0.01932,0.02116,0.0231,0.02554,0.02782,0.03038,0.0332,0.03638
54,0.00083,0.00152,0.00247,0.00342,0.00424,0.00507,0.006,0.00701,0.00813,0.00935,0.01048,0.01171,0.01309,0.01454,0.0161,0.01767,0.01931,0.02114,0.0231,0.02547,0.02782,0.03038,0.0332,0.03638,0.03987
55,0.0009,0.00168,0.00274,0.00381,0.00476,0.00569,0.00673,0.00786,0.0091,0.01044,0.0117,0.01304,0.01453,0.01608,0.01767,0.0193,0.02112,0.02309,0.0254,0.02782,0.03038,0.0332,0.03638,0.03987,0.04374
56,0.00098,0.00185,0.00303,0.00425,0.00535,0.0064,0.00756,0.00881,0.01018,0.01164,0.01304,0.0145,0.01608,0.01767,0.0193,0.0211,0.02309,0.02538,0.02775,0.03038,0.0332,0.03638,0.03987,0.04374,0.04885
57,0.00107,0.00204,0.00337,0.00476,0.00604,0.00721,0.0085,0.00988,0.01137,0.01295,0.01445,0.01599,0.0176,0.01929,0.02108,0.02308,0.02536,0.02772,0.03026,0.0332,0.03638,0.03987,0.04374,0.04885,0.05498
58,0.00117,0.00226,0.00375,0.00533,0.00681,0.00812,0.00954,0.01105,0.01266,0.01436,0.01594,0.01751,0.01922,0.02105,0.02298,0.02524,0.02769,0.03024,0.03313,0.03638,0.03987,0.04374,0.04885,0.05498,0.06194
59,0.00128,0.00251,0.00419,0.00599,0.0077,0.00913,0.01068,0.01232,0.01406,0.01585,0.01748,0.01916,0.02105,0.02295,0.02511,0.02759,0.03023,0.03311,0.03627,0.03987,0.04374,0.04885,0.05498,0.06194,0.06974
60,0.0014,0.00279,0.00469,0.00674,0.00869,0.01026,0.01195,0.01371,0.01554,0.01742,0.01913,0.02101,0.02288,0.02504,0.02749,0.03018,0.0331,0.03624,0.03976,0.04374,0.04885,0.05498,0.06194,0.06974,0.07775
61,0.00154,0.00312,0.00525,0.00759,0.0098,0.01151,0.01332,0.01518,0.01711,0.01904,0.02099,0.02275,0.02491,0.02742,0.0301,0.03303,0.03621,0.03965,0.04364,0.04885,0.05498,0.06194,0.06974,0.07775,0.08515
62,0.0017,0.00348,0.0059,0.00854,0.01103,0.01286,0.01478,0.01674,0.01873,0.0209,0.0226,0.02468,0.02722,0.02995,0.03286,0.03599,0.03958,0.04355,0.04885,0.05498,0.06194,0.06974,0.07775,0.08515,0.09655
63,0.00187,0.00389,0.00663,0.00962,0.01239,0.01434,0.01635,0.01837,0.02058,0.02244,0.02449,0.027,0.02975,0.03267,0.03571,0.03924,0.04336,0.0487,0.05498,0.06194,0.06974,0.07775,0.08515,0.09655,0.10679
64,0.00207,0.00435,0.00745,0.01083,0.01385,0.0159,0.01799,0.02021,0.02212,0.02429,0.02668,0.02958,0.03207,0.03503,0.03843,0.04278,0.04843,0.05498,0.06194,0.06974,0.07775,0.08515,0.09655,0.10679,0.118
65,0.00228,0.00485,0.00837,0.01218,0.01542,0.01753,0.01979,0.02175,0.0239,0.02664,0.02939,0.032,0.03429,0.03761,0.04164,0.04771,0.05449,0.06194,0.06974,0.07775,0.08515,0.09655,0.10679,0.118,0.12996
66,0.00252,0.00541,0.00941,0.01368,0.01705,0.01928,0.02137,0.02347,0.02626,0.02921,0.03192,0.03424,0.03671,0.04075,0.04616,0.05356,0.06194,0.06974,0.07775,0.08515,0.09655,0.10679,0.118,0.12996,0.14248
67,0.00278,0.00601,0.01058,0.01534,0.01873,0.02093,0.02302,0.02584,0.02883,0.03184,0.03419,0.03653,0.04065,0.04606,0.0533,0.06173,0.06974,0.07775,0.08515,0.09655,0.10679,0.118,0.12996,0.14248,0.15512
68,0.00305,0.00666,0.0119,0.01717,0.02049,0.02253,0.02542,0.02846,0.03148,0.03414,0.03634,0.04054,0.04597,0.05304,0.06144,0.06941,0.07775,0.08515,0.09655,0.10679,0.118,0.12996,0.14248,0.15512,0.1682
69,0.00336,0.00736,0.01338,0.01918,0.02199,0.02493,0.02804,0.03106,0.03359,0.03614,0.04043,0.04587,0.05276,0.06115,0.06902,0.07727,0.08515,0.09655,0.10679,0.118,0.12996,0.14248,0.15512,0.1682,0.18165
70,0.00369,0.00811,0.01505,0.02139,0.0244,0.02755,0.03059,0.03297,0.03593,0.04039,0.04576,0.05248,0.06086,0.06863,0.07674,0.08515,0.09655,0.10679,0.118,0.12996,0.14248,0.15512,0.1682,0.18165,0.19419
71,0.00404,0.00892,0.0169,0.02379,0.02701,0.03004,0.03228,0.03509,0.03959,0.04539,0.05219,0.06054,0.06779,0.0762,0.0843,0.09655,0.10679,0.118,0.12996,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713
72,0.00443,0.00979,0.01896,0.02641,0.02944,0.0315,0.03414,0.03869,0.04445,0.0514,0.05986,0.06774,0.07567,0.08359,0.09494,0.10679,0.118,0.12996,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269
73,0.00486,0.01075,0.02122,0.02876,0.03061,0.03307,0.03763,0.04331,0.05019,0.0588,0.06481,0.07399,0.08287,0.09407,0.10679,0.118,0.12996,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898
74,0.00534,0.01182,0.0237,0.02967,0.03191,0.03649,0.04207,0.04884,0.05736,0.06364,0.07128,0.08093,0.09102,0.10616,0.118,0.12996,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583
75,0.00588,0.01302,0.02641,0.03068,0.03527,0.04073,0.04738,0.05575,0.06209,0.07044,0.07798,0.09099,0.10598,0.11709,0.12996,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273
76,0.00649,0.01437,0.02838,0.03397,0.03925,0.04572,0.05384,0.06193,0.06903,0.07689,0.08804,0.10562,0.11641,0.12886,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919
77,0.00719,0.0159,0.03047,0.03769,0.04395,0.05176,0.05898,0.06887,0.07544,0.08672,0.10527,0.11536,0.12809,0.14248,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133
78,0.00798,0.01761,0.0327,0.04205,0.04949,0.05583,0.06556,0.07528,0.08502,0.09898,0.11414,0.1267,0.14086,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747
79,0.00888,0.01951,0.03513,0.04703,0.05568,0.06078,0.07183,0.08484,0.0958,0.10858,0.12517,0.13921,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133
80,0.0099,0.0218,0.03781,0.0533,0.06005,0.06669,0.08063,0.09463,0.10483,0.12318,0.13685,0.15512,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845
81,0.01114,0.02438,0.04116,0.05731,0.06475,0.07466,0.0892,0.10328,0.11396,0.13358,0.15239,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066
82,0.01255,0.02724,0.04483,0.06158,0.06981,0.08139,0.09705,0.11122,0.12953,0.14913,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726
83,0.01414,0.03049,0.04883,0.066,0.07521,0.08787,0.10325,0.12471,0.14435,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611
84,0.01598,0.03413,0.0531,0.07064,0.08075,0.09338,0.11703,0.13807,0.1682,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277
85,0.01808,0.03821,0.05767,0.07528,0.08571,0.10816,0.1303,0.16182,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686
86,0.02048,0.04269,0.06244,0.07987,0.09312,0.11893,0.15402,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488
87,0.02316,0.04767,0.06727,0.0842,0.10624,0.1427,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583
88,0.0262,0.05306,0.07197,0.0928,0.12782,0.18165,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5
89,0.02957,0.05881,0.07658,0.109,0.16271,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5
90,0.03325,0.06449,0.08619,0.129,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5
91,0.03912,0.06749,0.11378,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5
92,0.04881,0.09837,0.19419,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5
93,0.06306,0.13716,0.20713,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5
94,0.08211,0.156,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.10708,0.22269,0.23898,0.25583,0.27273,0.28919,0.3133,0.33747,0.36133,0.3845,0.4066,0.42726,0.44611,0.46277,0.47686,0.488,0.49583,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Smoker, Preferred, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00027,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00032,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00038,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00069,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00111,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00122,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00132,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0014,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00164,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00173,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00189,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00206,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00225,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00246,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00269,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00296,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00325,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00356,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00392,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00431,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00476,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00527,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00584,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00648,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0072,,,,,,,,,,,,,,,,,,,,,,,,
61,0.008,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00889,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00988,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01096,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01215,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01344,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01482,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0163,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01786,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01959,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02153,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02342,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02554,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02782,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03038,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0332,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03638,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03987,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04374,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04885,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05498,,,,,,,,,,,,,,,,,,,,,,,,
82,0.06194,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06974,,,,,,,,,,,,,,,,,,,,,,,,
84,0.07775,,,,,,,,,,,,,,,,,,,,,,,,
85,0.08515,,,,,,,,,,,,,,,,,,,,,,,,
