Table Name:,"2001 VBT Preferred Select and Ultimate - Female Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.00019,0.0002,0.0002,0.00022,0.00022,0.00023,0.00024,0.00025,0.00026,0.00027,0.00028,0.00029,0.00032,0.00033,0.00034,0.00036,0.00038,0.00041
10,,,,,,,0.00018,0.0002,0.0002,0.00021,0.00022,0.00022,0.00024,0.00025,0.00025,0.00027,0.00027,0.00029,0.00032,0.00033,0.00034,0.00036,0.00038,0.00041,0.00044
11,,,,,,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00023,0.00025,0.00025,0.00027,0.00027,0.00029,0.00031,0.00033,0.00034,0.00036,0.00038,0.0004,0.00043,0.00048
12,,,,,0.00018,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00024,0.00025,0.00026,0.00027,0.00029,0.00031,0.00032,0.00034,0.00036,0.00038,0.0004,0.00043,0.00048,0.00051
13,,,,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024,0.00025,0.00027,0.00028,0.00031,0.00032,0.00034,0.00036,0.00038,0.0004,0.00043,0.00048,0.00051,0.00055
14,,,0.00018,0.00018,0.00018,0.00018,0.0002,0.0002,0.00021,0.00022,0.00023,0.00025,0.00027,0.00028,0.0003,0.00032,0.00034,0.00036,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057
15,,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00024,0.00026,0.00027,0.00029,0.00032,0.00034,0.00036,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057,0.00061
16,0.00018,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.00022,0.00022,0.00025,0.00027,0.00029,0.00032,0.00034,0.00036,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057,0.00061,0.00064
17,0.00018,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00024,0.00026,0.00028,0.00031,0.00033,0.00036,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057,0.00061,0.00064,0.00068
18,0.00018,0.00017,0.00017,0.00018,0.00018,0.00019,0.0002,0.00022,0.00023,0.00025,0.00028,0.0003,0.00033,0.00036,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057,0.00061,0.00064,0.00068,0.00073
19,0.00016,0.00016,0.00017,0.00018,0.00018,0.00019,0.0002,0.00022,0.00025,0.00027,0.00029,0.00032,0.00035,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057,0.00061,0.00064,0.00068,0.00073,0.00078
20,0.00015,0.00015,0.00016,0.00017,0.00018,0.0002,0.00022,0.00024,0.00026,0.00029,0.00032,0.00035,0.00038,0.0004,0.00043,0.00048,0.0005,0.00054,0.00057,0.00061,0.00064,0.00068,0.00073,0.00078,0.00085
21,0.00013,0.00014,0.00015,0.00017,0.00018,0.0002,0.00023,0.00025,0.00028,0.0003,0.00034,0.00036,0.0004,0.00043,0.00046,0.0005,0.00053,0.00057,0.0006,0.00064,0.00068,0.00073,0.00078,0.00085,0.00093
22,0.00012,0.00013,0.00015,0.00017,0.00019,0.00022,0.00024,0.00027,0.00029,0.00033,0.00036,0.00039,0.00042,0.00046,0.00049,0.00053,0.00056,0.0006,0.00064,0.00068,0.00073,0.00078,0.00085,0.00093,0.00103
23,0.00011,0.00013,0.00015,0.00017,0.0002,0.00022,0.00025,0.00029,0.00032,0.00034,0.00038,0.00041,0.00045,0.00048,0.00051,0.00055,0.00059,0.00063,0.00068,0.00073,0.00078,0.00085,0.00093,0.00103,0.00115
24,0.0001,0.00013,0.00015,0.00018,0.0002,0.00023,0.00027,0.00029,0.00034,0.00036,0.0004,0.00043,0.00047,0.0005,0.00054,0.00058,0.00062,0.00067,0.00072,0.00078,0.00085,0.00093,0.00103,0.00115,0.00131
25,9E-05,0.00013,0.00015,0.00018,0.00021,0.00025,0.00028,0.00032,0.00035,0.00039,0.00042,0.00045,0.00049,0.00053,0.00056,0.00061,0.00066,0.00072,0.00077,0.00085,0.00093,0.00103,0.00115,0.00131,0.00146
26,9E-05,0.00013,0.00015,0.00019,0.00022,0.00026,0.00029,0.00032,0.00036,0.0004,0.00043,0.00047,0.00051,0.00055,0.0006,0.00064,0.00071,0.00076,0.00085,0.00093,0.00103,0.00115,0.0013,0.00146,0.00165
27,0.0001,0.00013,0.00016,0.0002,0.00023,0.00027,0.0003,0.00034,0.00038,0.00041,0.00045,0.00048,0.00053,0.00058,0.00063,0.00069,0.00076,0.00083,0.00093,0.00103,0.00115,0.0013,0.00146,0.00165,0.00185
28,0.00011,0.00013,0.00017,0.0002,0.00024,0.00027,0.00032,0.00035,0.00039,0.00042,0.00047,0.00051,0.00056,0.00061,0.00067,0.00075,0.00082,0.00092,0.00103,0.00115,0.0013,0.00146,0.00165,0.00185,0.00211
29,0.00011,0.00015,0.00018,0.00021,0.00025,0.00029,0.00032,0.00036,0.0004,0.00044,0.00048,0.00053,0.00059,0.00065,0.00073,0.00081,0.00091,0.00102,0.00114,0.00128,0.00146,0.00165,0.00185,0.00211,0.00239
30,0.00012,0.00015,0.00018,0.00022,0.00025,0.00029,0.00033,0.00036,0.00041,0.00046,0.00051,0.00057,0.00063,0.00071,0.00079,0.00089,0.001,0.00113,0.00127,0.00144,0.00163,0.00185,0.0021,0.00237,0.00269
31,0.00013,0.00017,0.0002,0.00023,0.00027,0.0003,0.00034,0.00039,0.00043,0.00048,0.00054,0.00061,0.00069,0.00078,0.00088,0.00099,0.00111,0.00126,0.00142,0.00161,0.00183,0.00208,0.00235,0.00266,0.00301
32,0.00014,0.00017,0.0002,0.00024,0.00027,0.00032,0.00036,0.0004,0.00046,0.00052,0.00059,0.00067,0.00076,0.00085,0.00097,0.00109,0.00124,0.0014,0.00159,0.00179,0.00204,0.00232,0.00264,0.00298,0.00337
33,0.00015,0.00018,0.00021,0.00025,0.00029,0.00034,0.00039,0.00043,0.00049,0.00057,0.00065,0.00074,0.00084,0.00095,0.00108,0.00123,0.00138,0.00156,0.00177,0.00201,0.00228,0.00258,0.00295,0.00332,0.00378
34,0.00015,0.00018,0.00021,0.00026,0.0003,0.00035,0.00041,0.00048,0.00054,0.00062,0.00071,0.00082,0.00094,0.00106,0.0012,0.00137,0.00154,0.00174,0.00197,0.00223,0.00254,0.00287,0.00326,0.00369,0.00417
35,0.00015,0.00018,0.00022,0.00027,0.00032,0.00038,0.00045,0.00053,0.0006,0.00069,0.0008,0.00092,0.00104,0.00119,0.00134,0.00152,0.00172,0.00194,0.00219,0.00247,0.0028,0.00317,0.00358,0.00405,0.00456
36,0.00015,0.00019,0.00023,0.00029,0.00034,0.00041,0.00049,0.00057,0.00067,0.00078,0.00089,0.00102,0.00117,0.00132,0.00151,0.00169,0.00192,0.00216,0.00243,0.00274,0.00309,0.00349,0.00392,0.00442,0.00499
37,0.00015,0.00019,0.00024,0.0003,0.00037,0.00046,0.00054,0.00064,0.00074,0.00087,0.00099,0.00114,0.0013,0.00148,0.00167,0.00188,0.00213,0.00239,0.00269,0.00302,0.0034,0.00384,0.00431,0.00485,0.00547
38,0.00015,0.0002,0.00026,0.00033,0.00041,0.00049,0.0006,0.0007,0.00083,0.00096,0.00111,0.00127,0.00145,0.00164,0.00186,0.00209,0.00235,0.00265,0.00297,0.00333,0.00375,0.0042,0.00474,0.00533,0.00593
39,0.00016,0.00022,0.00028,0.00036,0.00045,0.00055,0.00066,0.00078,0.00091,0.00106,0.00123,0.00141,0.0016,0.00182,0.00205,0.00231,0.0026,0.00292,0.00328,0.00367,0.00411,0.00463,0.00522,0.00582,0.00649
40,0.00018,0.00025,0.00032,0.0004,0.0005,0.0006,0.00073,0.00087,0.00102,0.00118,0.00136,0.00155,0.00178,0.00202,0.00227,0.00256,0.00287,0.00322,0.0036,0.00403,0.00452,0.00516,0.00576,0.00643,0.00707
41,0.0002,0.00027,0.00036,0.00045,0.00055,0.00068,0.00081,0.00095,0.00112,0.0013,0.00151,0.00172,0.00196,0.00223,0.00251,0.00282,0.00317,0.00354,0.00396,0.00444,0.00508,0.00571,0.0064,0.00704,0.0077
42,0.00022,0.00031,0.0004,0.0005,0.00062,0.00075,0.0009,0.00106,0.00124,0.00144,0.00165,0.0019,0.00216,0.00245,0.00277,0.0031,0.00347,0.00389,0.00434,0.00497,0.00565,0.00638,0.00704,0.00767,0.00835
43,0.00026,0.00035,0.00046,0.00057,0.00071,0.00085,0.00101,0.00118,0.00138,0.00159,0.00183,0.00209,0.00238,0.0027,0.00305,0.00342,0.00382,0.00428,0.00486,0.00557,0.00632,0.00701,0.00765,0.00832,0.00908
44,0.00029,0.00039,0.00052,0.00065,0.00079,0.00095,0.00112,0.00132,0.00153,0.00176,0.00202,0.0023,0.00263,0.00297,0.00335,0.00375,0.00419,0.00468,0.00543,0.00627,0.00701,0.00765,0.00829,0.00905,0.00985
45,0.00033,0.00045,0.00058,0.00073,0.00089,0.00106,0.00125,0.00146,0.00169,0.00195,0.00222,0.00253,0.00288,0.00326,0.00366,0.0041,0.0046,0.00521,0.00613,0.00701,0.00762,0.00829,0.009,0.00985,0.01073
46,0.00037,0.0005,0.00066,0.00081,0.00099,0.00118,0.00139,0.00162,0.00187,0.00214,0.00244,0.00279,0.00315,0.00356,0.004,0.00448,0.005,0.0058,0.00682,0.00762,0.00829,0.009,0.00982,0.0107,0.01173
47,0.00041,0.00056,0.00073,0.0009,0.0011,0.0013,0.00153,0.00178,0.00204,0.00235,0.00267,0.00304,0.00344,0.00387,0.00435,0.00487,0.00545,0.00641,0.00754,0.00826,0.009,0.00982,0.0107,0.01168,0.01289
48,0.00046,0.00062,0.0008,0.00099,0.0012,0.00142,0.00167,0.00194,0.00223,0.00256,0.00291,0.0033,0.00374,0.00421,0.00474,0.0053,0.00592,0.00701,0.00824,0.009,0.00977,0.01064,0.01168,0.01289,0.01411
49,0.00048,0.00065,0.00088,0.00108,0.0013,0.00154,0.00181,0.00209,0.00241,0.00276,0.00315,0.00358,0.00405,0.00457,0.00515,0.00576,0.00645,0.00769,0.00894,0.00977,0.01064,0.01168,0.01289,0.01411,0.01554
50,0.0005,0.00072,0.00095,0.00116,0.00139,0.00165,0.00193,0.00224,0.00258,0.00297,0.00339,0.00386,0.00437,0.00494,0.00557,0.00625,0.00701,0.00842,0.00974,0.01064,0.01168,0.01289,0.01411,0.01554,0.01717
51,0.00053,0.00081,0.00103,0.00124,0.00149,0.00176,0.00206,0.00239,0.00277,0.00318,0.00364,0.00414,0.00471,0.00534,0.00603,0.00678,0.00763,0.00919,0.01059,0.01168,0.01289,0.01411,0.01554,0.01717,0.01878
52,0.00055,0.00091,0.00111,0.00133,0.00158,0.00186,0.00218,0.00253,0.00294,0.0034,0.00389,0.00445,0.00507,0.00576,0.00653,0.00736,0.00831,0.01009,0.01157,0.01289,0.01411,0.01554,0.01717,0.01878,0.02092
53,0.00059,0.00097,0.0012,0.00141,0.00167,0.00197,0.0023,0.00269,0.00312,0.00362,0.00417,0.00478,0.00547,0.00623,0.00708,0.00801,0.0091,0.01113,0.01273,0.01411,0.01554,0.01717,0.01878,0.02092,0.0232
54,0.00062,0.00104,0.00129,0.00151,0.00177,0.00208,0.00244,0.00285,0.00332,0.00385,0.00446,0.00514,0.0059,0.00676,0.00771,0.00875,0.00997,0.01221,0.01394,0.01549,0.01712,0.01878,0.02092,0.0232,0.0258
55,0.00065,0.00112,0.00139,0.00161,0.00188,0.00221,0.00258,0.00302,0.00354,0.00412,0.00479,0.00554,0.00639,0.00734,0.00841,0.00959,0.01102,0.01353,0.01532,0.01712,0.01878,0.02092,0.0232,0.0258,0.0288
56,0.00072,0.0012,0.00151,0.00174,0.00202,0.00237,0.00277,0.00325,0.00381,0.00445,0.00518,0.00601,0.00696,0.00804,0.00921,0.01054,0.01229,0.01516,0.01687,0.01873,0.02084,0.0232,0.0258,0.02871,0.03193
57,0.00076,0.0013,0.00164,0.00188,0.00219,0.00256,0.003,0.00352,0.00412,0.00482,0.00563,0.00655,0.0076,0.0088,0.01013,0.01161,0.01381,0.01668,0.01845,0.02076,0.02311,0.02572,0.02871,0.03182,0.03352
58,0.00078,0.00139,0.00177,0.00204,0.00237,0.00278,0.00326,0.00384,0.00449,0.00527,0.00615,0.00718,0.00834,0.00967,0.01115,0.01283,0.01558,0.01823,0.02048,0.02303,0.02564,0.0286,0.03182,0.03352,0.03521
59,0.00085,0.00147,0.00192,0.00221,0.00258,0.00302,0.00356,0.00419,0.00492,0.00578,0.00676,0.0079,0.00918,0.01065,0.01232,0.01418,0.01757,0.02023,0.0227,0.02555,0.02852,0.03171,0.03341,0.03507,0.03807
60,0.0009,0.00156,0.00207,0.00238,0.00279,0.00329,0.00389,0.00459,0.00541,0.00636,0.00746,0.00871,0.01016,0.0118,0.01364,0.01571,0.01993,0.02245,0.02517,0.02841,0.0316,0.03328,0.03507,0.03807,0.0412
61,0.00094,0.00165,0.00221,0.00256,0.003,0.00356,0.00423,0.00502,0.00595,0.00701,0.00825,0.00965,0.01126,0.01309,0.01514,0.01792,0.02212,0.02492,0.02803,0.03138,0.03317,0.03482,0.03793,0.0412,0.0446
62,0.00101,0.00174,0.00235,0.00272,0.00322,0.00384,0.00459,0.00548,0.00653,0.00774,0.00913,0.01072,0.01253,0.01458,0.01688,0.02105,0.02454,0.02772,0.03108,0.03292,0.03468,0.03776,0.04106,0.04441,0.05092
63,0.00113,0.00184,0.00248,0.00288,0.00343,0.00412,0.00497,0.00598,0.00716,0.00854,0.01012,0.01192,0.01396,0.01625,0.01883,0.02429,0.02731,0.03075,0.03256,0.03441,0.03749,0.04089,0.04425,0.05073,0.05432
64,0.00127,0.00236,0.00263,0.00305,0.00365,0.00442,0.00537,0.00651,0.00785,0.00941,0.01121,0.01326,0.01556,0.01813,0.02198,0.02704,0.03031,0.0322,0.03402,0.03705,0.04059,0.04408,0.05053,0.05413,0.06103
65,0.00144,0.00251,0.00277,0.00323,0.00388,0.00473,0.0058,0.0071,0.00862,0.01039,0.01243,0.01474,0.01733,0.02024,0.02602,0.02998,0.03174,0.03364,0.03664,0.0401,0.04372,0.05018,0.05391,0.06081,0.06923
66,0.00151,0.00269,0.00295,0.00343,0.00415,0.0051,0.00631,0.00778,0.00952,0.01152,0.01382,0.01644,0.01937,0.02283,0.02987,0.03163,0.0335,0.0365,0.03996,0.04356,0.04998,0.05372,0.06081,0.06898,0.07888
67,0.00156,0.00288,0.00314,0.00367,0.00447,0.00555,0.00692,0.00857,0.01052,0.01281,0.01541,0.01835,0.02167,0.0272,0.03163,0.03339,0.0365,0.03996,0.04339,0.04979,0.0535,0.06057,0.06873,0.07888,0.09035
68,0.00177,0.00309,0.00338,0.00398,0.00487,0.00608,0.00763,0.0095,0.01172,0.01429,0.01722,0.02053,0.02424,0.03036,0.03325,0.03636,0.03979,0.04323,0.04979,0.0535,0.06035,0.06873,0.07861,0.09035,0.10425
69,0.002,0.00333,0.00366,0.00433,0.00536,0.00673,0.00847,0.0106,0.01309,0.01598,0.01928,0.02299,0.02711,0.03325,0.03636,0.03963,0.04323,0.0496,0.05331,0.06035,0.06873,0.07861,0.09035,0.10425,0.12057
70,0.00225,0.00358,0.004,0.00478,0.00595,0.00752,0.00949,0.01188,0.01469,0.01793,0.0216,0.02574,0.03032,0.03636,0.03963,0.04323,0.0496,0.05331,0.06035,0.06866,0.07853,0.09026,0.10414,0.12057,0.13999
71,0.00257,0.00389,0.0044,0.00532,0.00668,0.00846,0.01069,0.01338,0.01653,0.02016,0.02425,0.02883,0.03393,0.03963,0.042,0.04866,0.05314,0.06029,0.06866,0.07853,0.09026,0.10404,0.12045,0.13999,0.15511
72,0.00389,0.00421,0.00487,0.00596,0.00754,0.00959,0.01212,0.01513,0.01866,0.0227,0.02724,0.03231,0.03828,0.04156,0.04773,0.05303,0.06017,0.06866,0.07853,0.09026,0.10404,0.12045,0.13985,0.15495,0.17015
73,0.00421,0.00461,0.00543,0.00674,0.00858,0.01091,0.01376,0.01715,0.02108,0.02558,0.0306,0.03618,0.04117,0.04679,0.05287,0.0601,0.06866,0.07853,0.09026,0.10404,0.12045,0.13985,0.15495,0.16998,0.18645
74,0.00459,0.0051,0.00612,0.00769,0.00979,0.01245,0.01567,0.01947,0.02384,0.02881,0.03434,0.04073,0.04642,0.0527,0.06004,0.06859,0.07845,0.09026,0.10393,0.12033,0.13971,0.1548,0.16998,0.18645,0.20453
75,0.00499,0.0057,0.00697,0.00881,0.01124,0.01426,0.01787,0.02212,0.02697,0.03246,0.03879,0.04619,0.05259,0.05998,0.06859,0.07845,0.09026,0.10393,0.12033,0.13971,0.1548,0.16998,0.18645,0.20453,0.22413
76,0.00551,0.00645,0.00799,0.01014,0.01291,0.0163,0.02033,0.025,0.03034,0.03658,0.04387,0.05241,0.05992,0.06859,0.07845,0.09016,0.10393,0.12033,0.13956,0.1548,0.16981,0.18626,0.20433,0.22413,0.24585
77,0.00623,0.00742,0.00925,0.01173,0.01485,0.01863,0.0231,0.02825,0.03431,0.04152,0.04993,0.05983,0.06852,0.07845,0.09016,0.10393,0.12021,0.13956,0.15464,0.16981,0.18626,0.20433,0.22413,0.24585,0.26942
78,0.00719,0.00865,0.01079,0.01361,0.01712,0.02131,0.02623,0.03212,0.03908,0.04739,0.05706,0.06852,0.07845,0.09016,0.10382,0.12021,0.13942,0.15464,0.16964,0.18626,0.20433,0.22413,0.24561,0.26942,0.29524
79,0.00756,0.01023,0.01268,0.01586,0.01974,0.02439,0.03001,0.03672,0.04475,0.05428,0.06552,0.07837,0.09007,0.10382,0.12008,0.13942,0.15448,0.16964,0.18607,0.20433,0.22413,0.24561,0.26942,0.29524,0.32322
80,0.00846,0.01219,0.01496,0.0185,0.02279,0.02807,0.03451,0.04223,0.05146,0.06248,0.0754,0.08998,0.10372,0.11996,0.13914,0.15448,0.16947,0.18607,0.20412,0.22391,0.24561,0.26942,0.29524,0.32257,0.35491
81,0.00954,0.01457,0.01768,0.02157,0.02649,0.03253,0.03989,0.04876,0.05941,0.07212,0.08706,0.10372,0.11996,0.13914,0.15433,0.16947,0.18607,0.20412,0.22391,0.24561,0.26942,0.29524,0.32225,0.35491,0.38835
82,0.01074,0.01747,0.02087,0.02533,0.03092,0.03785,0.0463,0.05652,0.06879,0.08347,0.10068,0.11984,0.139,0.15433,0.16947,0.18589,0.20412,0.22391,0.24561,0.26942,0.29524,0.3216,0.35491,0.38835,0.42259
83,0.01194,0.02085,0.0248,0.02989,0.0363,0.04426,0.05392,0.06569,0.07982,0.09671,0.11653,0.139,0.15417,0.16929,0.18589,0.20412,0.22391,0.24561,0.26942,0.29524,0.32096,0.35491,0.38835,0.42259,0.45763
84,0.01485,0.02477,0.02957,0.0354,0.04272,0.05186,0.06303,0.07657,0.09275,0.11204,0.13477,0.15417,0.16929,0.18589,0.20392,0.22391,0.24561,0.26915,0.29524,0.32031,0.35491,0.38835,0.42259,0.45763,0.49287
85,0.018,0.02954,0.03534,0.04199,0.05045,0.06089,0.07371,0.08926,0.10782,0.12994,0.14881,0.16785,0.1857,0.20392,0.22368,0.24561,0.26915,0.29524,0.31998,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951
86,0.02407,0.0353,0.04199,0.04994,0.0596,0.07164,0.08637,0.1041,0.12534,0.14373,0.16226,0.18233,0.20392,0.22368,0.24536,0.26915,0.29524,0.31934,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951,0.56695
87,0.02885,0.04195,0.04989,0.05943,0.07051,0.08425,0.1011,0.12137,0.13896,0.15697,0.17647,0.19761,0.22017,0.24433,0.26915,0.29524,0.31869,0.35491,0.38835,0.42216,0.45717,0.49287,0.52951,0.56695,0.603
88,0.0374,0.04989,0.05936,0.07044,0.0834,0.09913,0.11831,0.13493,0.15209,0.17099,0.19127,0.21344,0.23711,0.26247,0.28953,0.3183,0.34843,0.38022,0.41365,0.44874,0.48548,0.52387,0.56392,0.603,0.638
89,0.04791,0.05936,0.07044,0.08332,0.09847,0.11642,0.13192,0.14805,0.16601,0.18561,0.20702,0.23003,0.25481,0.28138,0.30973,0.33955,0.37111,0.4044,0.43943,0.47621,0.51472,0.55496,0.59695,0.638,0.67
90,0.05936,0.07044,0.08332,0.09847,0.11606,0.13039,0.14531,0.16198,0.18072,0.20118,0.22334,0.24736,0.27327,0.30105,0.33039,0.36157,0.39457,0.4294,0.46607,0.50456,0.54489,0.58704,0.63103,0.67,0.7145
91,0.07044,0.08332,0.09847,0.11606,0.13026,0.14391,0.1594,0.17672,0.19602,0.21734,0.24041,0.26546,0.2922,0.32118,0.3518,0.38434,0.41882,0.45522,0.49355,0.53381,0.57599,0.6201,0.66614,0.7141,0.756
92,0.08332,0.09847,0.11606,0.13026,0.14391,0.15829,0.17432,0.19227,0.21211,0.23424,0.25824,0.28403,0.31216,0.34204,0.37395,0.40789,0.44386,0.48186,0.52188,0.56394,0.60803,0.65414,0.70229,0.75246,0.799
93,0.09847,0.11606,0.13026,0.14391,0.15829,0.17352,0.18988,0.20843,0.22919,0.25192,0.27655,0.30363,0.33256,0.36364,0.39685,0.4322,0.46969,0.50931,0.55107,0.59497,0.641,0.68917,0.73947,0.79191,0.846
94,0.11606,0.13026,0.14391,0.15829,0.17352,0.18962,0.20645,0.22538,0.24683,0.27009,0.29588,0.32366,0.35369,0.38597,0.4205,0.45727,0.4963,0.53758,0.5811,0.62688,0.6749,0.72517,0.77769,0.83246,0.88948
95,0.13026,0.14391,0.15829,0.17352,0.18962,0.20645,0.22365,0.24311,0.26498,0.28927,0.31566,0.34442,0.37554,0.40903,0.44489,0.48312,0.52371,0.56667,0.61199,0.65968,0.70974,0.76216,0.81695,0.87411,0.93363
96,0.14391,0.15829,0.17352,0.18962,0.20645,0.22365,0.24165,0.26164,0.28417,0.30892,0.33616,0.3659,0.39812,0.43283,0.47003,0.50972,0.5519,0.59657,0.64373,0.69338,0.74551,0.80014,0.85725,0.91685,1
97,0.15829,0.17352,0.18962,0.20645,0.22365,0.24165,0.26046,0.28096,0.30382,0.3293,0.35739,0.3881,0.42142,0.45736,0.49592,0.5371,0.58089,0.6273,0.67632,0.72796,0.78222,0.83909,0.89858,1,
98,0.17352,0.18962,0.20645,0.22365,0.24165,0.26046,0.28009,0.30078,0.32422,0.3504,0.37934,0.41102,0.44545,0.48263,0.52256,0.56524,0.61066,0.65884,0.70976,0.76343,0.81986,0.87903,1,,
99,0.18962,0.20645,0.22365,0.24165,0.26046,0.28009,0.30024,0.32136,0.34536,0.37224,0.40201,0.43466,0.4702,0.50863,0.54994,0.59414,0.64123,0.6912,0.74406,0.7998,0.85843,1,,,

