Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Preferred Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00028,0.00047,0.0006,0.00071,0.00082,0.00091,0.00102,0.00119,0.00138,0.00157,0.00175,0.00196,0.00223,0.00251,0.00282,0.00323,0.00375,0.00432,0.00485,0.0053,0.00575,0.00631,0.00705,0.00795,0.00894
43,0.00033,0.00051,0.00064,0.00078,0.00087,0.00096,0.0011,0.00129,0.00149,0.00169,0.00189,0.00214,0.00245,0.00277,0.00313,0.00361,0.00421,0.0048,0.0053,0.00573,0.00624,0.00693,0.0078,0.0088,0.00988
44,0.00038,0.00054,0.00069,0.00084,0.00093,0.00103,0.0012,0.00141,0.00161,0.00181,0.00205,0.00234,0.0027,0.00306,0.00348,0.00403,0.00467,0.00526,0.00573,0.00621,0.0068,0.00768,0.00869,0.00979,0.01096
45,0.00043,0.00057,0.00075,0.00091,0.001,0.00112,0.00132,0.00154,0.00174,0.00196,0.00225,0.00258,0.00297,0.00337,0.00385,0.00447,0.00513,0.0057,0.0062,0.00677,0.00748,0.00857,0.00971,0.01091,0.01224
46,0.00049,0.00059,0.00081,0.00099,0.00108,0.00125,0.00148,0.00169,0.00188,0.00215,0.00248,0.00286,0.00326,0.0037,0.00424,0.00491,0.0056,0.00618,0.00673,0.00737,0.0083,0.00962,0.01085,0.0122,0.01372
47,0.00054,0.00062,0.00087,0.00107,0.0012,0.00141,0.00164,0.00184,0.00206,0.00238,0.00276,0.00316,0.00357,0.00405,0.00465,0.00537,0.0061,0.00672,0.00733,0.00811,0.00929,0.01081,0.01217,0.01369,0.01542
48,0.00057,0.00067,0.00095,0.00116,0.00134,0.00159,0.00181,0.00201,0.00227,0.00266,0.00308,0.00347,0.00389,0.00441,0.00507,0.00585,0.00662,0.00728,0.00801,0.009,0.01042,0.01213,0.01366,0.01537,0.01738
49,0.00059,0.00073,0.00104,0.00126,0.0015,0.00177,0.00197,0.00218,0.00251,0.00298,0.00341,0.00378,0.00422,0.00479,0.00552,0.00636,0.00717,0.00791,0.0088,0.01001,0.01169,0.01353,0.0153,0.01734,0.01967
50,0.0006,0.00082,0.00115,0.00138,0.00167,0.00193,0.00212,0.00237,0.0028,0.00332,0.00374,0.00413,0.00457,0.00522,0.00603,0.00693,0.00779,0.00864,0.00972,0.01118,0.01304,0.01501,0.01707,0.0195,0.02224
51,0.0006,0.00093,0.00127,0.00153,0.00184,0.00206,0.00226,0.00259,0.00312,0.00369,0.00409,0.00453,0.005,0.00576,0.00666,0.00762,0.00854,0.00952,0.01084,0.01253,0.01456,0.01666,0.01901,0.02182,0.02501
52,0.0006,0.00106,0.00141,0.00171,0.00201,0.00219,0.00243,0.00285,0.00347,0.00406,0.00449,0.00496,0.00553,0.00642,0.00742,0.00846,0.00947,0.01071,0.01218,0.01408,0.01628,0.0186,0.02125,0.02444,0.02806
53,0.00061,0.00118,0.00157,0.00193,0.00217,0.00236,0.00266,0.00317,0.00386,0.00446,0.00491,0.00544,0.00623,0.00727,0.00836,0.00946,0.01068,0.0121,0.01379,0.01588,0.01825,0.02099,0.02411,0.0277,0.0316
54,0.00062,0.00128,0.00174,0.00213,0.00233,0.00253,0.00291,0.00355,0.00429,0.0049,0.00541,0.0061,0.00712,0.00831,0.00944,0.01065,0.01203,0.01365,0.0157,0.01805,0.02066,0.02391,0.02752,0.0315,0.03587
55,0.00067,0.00135,0.00193,0.0023,0.0025,0.00275,0.00325,0.00401,0.00475,0.00539,0.00605,0.00697,0.00817,0.00942,0.01062,0.01199,0.01357,0.01553,0.01792,0.02058,0.0236,0.02728,0.03133,0.03582,0.04066
56,0.00079,0.0014,0.00212,0.00247,0.00271,0.00304,0.0037,0.00452,0.00526,0.00598,0.00683,0.00798,0.00933,0.01059,0.0119,0.01349,0.01542,0.01772,0.02043,0.02343,0.02689,0.03097,0.03569,0.04066,0.04598
57,0.00096,0.00145,0.0023,0.00267,0.00297,0.00341,0.00422,0.00507,0.00582,0.00667,0.00774,0.00911,0.01055,0.01188,0.01336,0.01523,0.01757,0.02023,0.02326,0.02666,0.03067,0.03533,0.04055,0.04598,0.05205
58,0.00118,0.00152,0.00244,0.0029,0.00323,0.00388,0.00478,0.00562,0.00643,0.00746,0.00876,0.01027,0.01181,0.01334,0.01505,0.01724,0.02004,0.02307,0.02642,0.0302,0.03487,0.04023,0.04598,0.05205,0.05899
59,0.00142,0.00164,0.00256,0.00306,0.00352,0.00438,0.00533,0.00618,0.0071,0.00835,0.00988,0.01153,0.0132,0.01492,0.0169,0.01953,0.02279,0.02623,0.03,0.0344,0.0397,0.04573,0.05205,0.05899,0.06705
60,0.00162,0.00183,0.00267,0.00317,0.00388,0.00489,0.00585,0.00674,0.00783,0.00931,0.01104,0.01283,0.01462,0.01653,0.01893,0.02207,0.02581,0.02973,0.0341,0.03926,0.04531,0.05205,0.05899,0.06705,0.07641
61,0.00175,0.00207,0.00281,0.00335,0.00429,0.00538,0.00634,0.00733,0.00863,0.01033,0.01219,0.01407,0.01602,0.01828,0.0212,0.02487,0.02911,0.03365,0.03886,0.04481,0.05169,0.05899,0.06705,0.07641,0.08727
62,0.00183,0.00238,0.00301,0.00364,0.00476,0.00587,0.00685,0.00798,0.00951,0.0114,0.01337,0.01537,0.01756,0.02027,0.02373,0.02795,0.03275,0.03797,0.04411,0.05097,0.05899,0.06705,0.07641,0.08727,0.09979
63,0.0019,0.00271,0.00331,0.00407,0.0053,0.00637,0.00741,0.00873,0.01049,0.01255,0.01461,0.01675,0.01928,0.02246,0.02645,0.03131,0.03694,0.0432,0.05032,0.05835,0.06705,0.07641,0.08727,0.09979,0.11407
64,0.00197,0.00306,0.0037,0.00459,0.00591,0.00694,0.00808,0.00961,0.01158,0.01383,0.016,0.01831,0.02123,0.02489,0.02939,0.03502,0.04171,0.04915,0.05767,0.06705,0.07641,0.08727,0.09979,0.11407,0.1299
65,0.00206,0.00342,0.00417,0.00518,0.00661,0.00761,0.00889,0.01063,0.01284,0.01534,0.01768,0.02023,0.02357,0.02774,0.03276,0.0395,0.04774,0.05651,0.06637,0.07641,0.08727,0.09979,0.11407,0.1299,0.14693
66,0.00217,0.00376,0.00471,0.00586,0.00741,0.00842,0.00985,0.01182,0.01431,0.01715,0.01982,0.02272,0.02655,0.03126,0.03687,0.04479,0.05492,0.06524,0.07641,0.08727,0.09979,0.11407,0.1299,0.14693,0.1648
67,0.00232,0.00408,0.00529,0.00662,0.00819,0.00938,0.01098,0.01321,0.01607,0.01938,0.02254,0.0261,0.03033,0.03566,0.04192,0.05107,0.06287,0.07459,0.08727,0.09979,0.11407,0.1299,0.14693,0.1648,0.18298
68,0.00251,0.0044,0.00592,0.00748,0.00906,0.01047,0.01226,0.01482,0.01834,0.02212,0.02596,0.03022,0.03506,0.04129,0.04841,0.05896,0.07218,0.08546,0.09979,0.11407,0.1299,0.14693,0.1648,0.18298,0.2011
69,0.00271,0.00471,0.00656,0.00837,0.01004,0.01155,0.01361,0.0169,0.02085,0.02517,0.03005,0.03488,0.04104,0.0483,0.0574,0.06893,0.08392,0.09882,0.11407,0.1299,0.14693,0.1648,0.18298,0.2011,0.21864
70,0.00291,0.00495,0.00717,0.00922,0.01089,0.01263,0.01529,0.0192,0.02332,0.02837,0.03462,0.04086,0.04809,0.05704,0.06692,0.0803,0.09738,0.11407,0.1299,0.14693,0.1648,0.18298,0.2011,0.21864,0.23481
71,0.00313,0.00519,0.00778,0.01011,0.0118,0.01412,0.01732,0.02142,0.02626,0.0325,0.04032,0.04796,0.05657,0.06646,0.07642,0.09246,0.11155,0.1299,0.14693,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516
72,0.00338,0.0055,0.00849,0.01112,0.01321,0.01606,0.01958,0.02403,0.03014,0.03781,0.04745,0.05639,0.06609,0.07624,0.08987,0.10864,0.12855,0.14693,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103
73,0.00371,0.00597,0.00941,0.01244,0.01506,0.01829,0.02239,0.02752,0.03499,0.04416,0.05611,0.06601,0.07616,0.08853,0.10621,0.12748,0.14693,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189
74,0.0041,0.00658,0.01054,0.01406,0.01711,0.02099,0.02587,0.03191,0.04082,0.05164,0.06583,0.07608,0.08801,0.10421,0.12389,0.14599,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426
75,0.00448,0.00722,0.01174,0.01593,0.0196,0.02422,0.02994,0.03716,0.04769,0.05996,0.07574,0.08755,0.10336,0.12282,0.14453,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768
76,0.00476,0.00767,0.01266,0.01758,0.02203,0.02731,0.03399,0.04337,0.05536,0.06887,0.08674,0.10228,0.12219,0.14409,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089
77,0.00497,0.00802,0.01339,0.01901,0.02413,0.03045,0.03807,0.05035,0.06367,0.07861,0.1006,0.12055,0.14307,0.1648,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306
78,0.00518,0.00839,0.01423,0.02054,0.02636,0.03378,0.04266,0.05694,0.0717,0.08965,0.11667,0.14017,0.16396,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502
79,0.00537,0.00875,0.0151,0.02219,0.02875,0.03679,0.04747,0.06266,0.07956,0.10215,0.13451,0.16184,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637
80,0.00569,0.00936,0.01653,0.02465,0.03195,0.04094,0.05372,0.06999,0.09097,0.11865,0.15449,0.18298,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673
81,0.00621,0.01033,0.01875,0.02819,0.0366,0.04683,0.06238,0.08208,0.10793,0.14291,0.17803,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657
82,0.007,0.01179,0.0219,0.03306,0.04318,0.05525,0.07452,0.10032,0.13332,0.17428,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631
83,0.00815,0.01405,0.02683,0.04063,0.05336,0.06917,0.09344,0.12865,0.17003,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238
84,0.00963,0.017,0.0333,0.05063,0.06717,0.0886,0.12021,0.16054,0.2011,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981
85,0.01151,0.02074,0.0415,0.06351,0.08571,0.11462,0.15237,0.19158,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867
86,0.01384,0.0255,0.05211,0.081,0.11081,0.14747,0.18909,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903
87,0.01636,0.03102,0.06468,0.10234,0.14133,0.18672,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096
88,0.01894,0.03684,0.0788,0.12663,0.17528,0.21864,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453
89,0.02177,0.04311,0.09478,0.15521,0.20956,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981
90,0.02632,0.05938,0.12898,0.19767,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687
91,0.03557,0.09053,0.18958,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578
92,0.05191,0.13309,0.23481,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166
93,0.07662,0.17189,0.2516,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594
94,0.11053,0.22068,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594,0.90421
95,0.15425,0.27103,0.29189,0.31426,0.33768,0.36089,0.38306,0.40502,0.42637,0.44673,0.4657,0.48631,0.51238,0.53981,0.56867,0.59903,0.63096,0.66453,0.69981,0.73687,0.77578,0.8166,0.8594,0.90421,0.95108

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Preferred, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00054,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00137,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00144,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00153,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00163,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00173,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00179,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00185,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00192,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00199,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00207,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00217,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00231,,,,,,,,,,,,,,,,,,,,,,,,
51,0.0025,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00272,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00297,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00323,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00347,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00371,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00394,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00419,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0049,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00541,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00602,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00669,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00744,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00824,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0091,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01004,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01109,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01231,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01375,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01547,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01749,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01982,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02245,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02536,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02856,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0321,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03609,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04066,,,,,,,,,,,,,,,,,,,,,,,,
80,0.04598,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05205,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05899,,,,,,,,,,,,,,,,,,,,,,,,
83,0.06705,,,,,,,,,,,,,,,,,,,,,,,,
