Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Super Preferred Female ANB,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00015,0.00019,0.00019,0.00018,0.00018,0.00019,0.00022,0.00025,0.00028,0.0003,0.00031,0.00032,0.00036,0.00043,0.00051,0.00058,0.00064,0.00071,0.00078,0.00085,0.00088,0.00088,0.00089,0.00092,0.00096
24,0.00013,0.00017,0.00017,0.00016,0.00017,0.00019,0.00022,0.00025,0.00028,0.0003,0.00032,0.00035,0.0004,0.00047,0.00054,0.0006,0.00065,0.00071,0.00078,0.00085,0.00088,0.00089,0.00092,0.00096,0.00101
25,0.00011,0.00015,0.00015,0.00016,0.00017,0.0002,0.00023,0.00026,0.00029,0.00031,0.00034,0.00038,0.00044,0.00051,0.00058,0.00062,0.00066,0.00072,0.00079,0.00085,0.00089,0.00092,0.00096,0.00101,0.00108
26,9E-05,0.00013,0.00014,0.00015,0.00018,0.0002,0.00023,0.00027,0.0003,0.00034,0.00037,0.00042,0.00049,0.00056,0.0006,0.00064,0.00068,0.00074,0.0008,0.00087,0.00092,0.00096,0.00101,0.00108,0.00116
27,8E-05,0.00012,0.00014,0.00016,0.00018,0.0002,0.00024,0.00028,0.00032,0.00036,0.00041,0.00047,0.00054,0.0006,0.00063,0.00066,0.0007,0.00076,0.00083,0.0009,0.00096,0.00101,0.00108,0.00116,0.00126
28,7E-05,0.00012,0.00014,0.00016,0.00018,0.00021,0.00025,0.0003,0.00035,0.0004,0.00045,0.00051,0.00058,0.00063,0.00065,0.00068,0.00073,0.00079,0.00087,0.00094,0.00101,0.00108,0.00116,0.00126,0.00139
29,7E-05,0.00012,0.00015,0.00016,0.00018,0.00022,0.00026,0.00032,0.00038,0.00043,0.00049,0.00055,0.00061,0.00064,0.00067,0.00071,0.00076,0.00083,0.00091,0.00099,0.00108,0.00116,0.00126,0.00139,0.00156
30,7E-05,0.00013,0.00015,0.00016,0.00019,0.00023,0.00029,0.00035,0.0004,0.00046,0.00051,0.00057,0.00063,0.00066,0.00069,0.00074,0.00082,0.0009,0.00098,0.00106,0.00116,0.00126,0.00139,0.00156,0.00174
31,7E-05,0.00013,0.00015,0.00017,0.00021,0.00026,0.00032,0.00038,0.00043,0.00048,0.00053,0.00059,0.00064,0.00068,0.00073,0.00079,0.00088,0.00097,0.00105,0.00114,0.00126,0.00139,0.00156,0.00174,0.00194
32,7E-05,0.00014,0.00016,0.00019,0.00023,0.00029,0.00034,0.0004,0.00045,0.00049,0.00055,0.00061,0.00067,0.00072,0.00078,0.00086,0.00095,0.00104,0.00113,0.00124,0.00139,0.00156,0.00174,0.00194,0.00212
33,8E-05,0.00014,0.00018,0.00022,0.00027,0.00032,0.00037,0.00043,0.00046,0.00051,0.00056,0.00063,0.0007,0.00078,0.00085,0.00093,0.00103,0.00112,0.00123,0.00137,0.00156,0.00174,0.00194,0.00212,0.0023
34,8E-05,0.00015,0.0002,0.00025,0.0003,0.00034,0.0004,0.00045,0.00047,0.00052,0.00058,0.00065,0.00075,0.00084,0.00092,0.00101,0.00111,0.00122,0.00136,0.00153,0.00174,0.00194,0.00212,0.0023,0.00248
35,9E-05,0.00015,0.00022,0.00028,0.00033,0.00037,0.00043,0.00047,0.00049,0.00054,0.0006,0.00071,0.00083,0.00092,0.001,0.0011,0.00121,0.00133,0.0015,0.00171,0.00194,0.00212,0.0023,0.00248,0.00267
36,0.0001,0.00016,0.00025,0.00031,0.00036,0.00041,0.00046,0.00049,0.00051,0.00056,0.00066,0.00078,0.0009,0.001,0.00109,0.00119,0.00131,0.00146,0.00165,0.00189,0.00212,0.0023,0.00248,0.00267,0.00289
37,0.0001,0.00017,0.00027,0.00035,0.0004,0.00044,0.00048,0.0005,0.00054,0.00061,0.00073,0.00085,0.00098,0.00108,0.00117,0.00127,0.00141,0.00159,0.00181,0.00206,0.0023,0.00248,0.00267,0.00289,0.00316
38,0.00011,0.00018,0.00029,0.00036,0.00042,0.00047,0.0005,0.00053,0.00058,0.00068,0.0008,0.00094,0.00106,0.00116,0.00125,0.00137,0.00153,0.00173,0.00197,0.00223,0.00248,0.00267,0.00289,0.00316,0.00346
39,0.00012,0.00019,0.0003,0.00039,0.00046,0.0005,0.00053,0.00057,0.00064,0.00076,0.00089,0.00102,0.00114,0.00124,0.00135,0.00148,0.00166,0.00188,0.00213,0.00241,0.00267,0.00289,0.00316,0.00346,0.00382
40,0.00013,0.0002,0.0003,0.0004,0.00048,0.00052,0.00057,0.00063,0.00071,0.00084,0.00098,0.0011,0.00122,0.00133,0.00145,0.00161,0.00181,0.00204,0.0023,0.0026,0.00289,0.00316,0.00346,0.00382,0.00421
41,0.00013,0.00021,0.00031,0.00041,0.0005,0.00056,0.00062,0.00068,0.00078,0.00092,0.00106,0.00118,0.00131,0.00144,0.00158,0.00176,0.00197,0.00221,0.00249,0.00282,0.00316,0.00346,0.00382,0.00421,0.00464
42,0.00014,0.00022,0.00032,0.00043,0.00055,0.00061,0.00066,0.00074,0.00086,0.00101,0.00114,0.00127,0.00141,0.00156,0.00173,0.00193,0.00215,0.0024,0.00271,0.00308,0.00346,0.00382,0.00421,0.00464,0.00511
43,0.00015,0.00023,0.00033,0.00048,0.00059,0.00066,0.00071,0.0008,0.00093,0.00109,0.00122,0.00136,0.00153,0.00171,0.00191,0.00212,0.00236,0.00265,0.00299,0.00339,0.00382,0.00421,0.00464,0.00511,0.00562
44,0.00016,0.00024,0.00035,0.00054,0.00063,0.0007,0.00076,0.00087,0.00101,0.00117,0.00131,0.00146,0.00167,0.00189,0.00209,0.00233,0.00258,0.00288,0.00326,0.00373,0.00421,0.00464,0.00511,0.00562,0.00618
45,0.00019,0.00025,0.00039,0.0006,0.00068,0.00075,0.00082,0.00094,0.00109,0.00125,0.0014,0.0016,0.00184,0.00208,0.00231,0.00255,0.00285,0.0032,0.00362,0.00411,0.00464,0.00511,0.00562,0.00618,0.00682
46,0.00021,0.00025,0.00044,0.00064,0.00073,0.0008,0.00089,0.00103,0.00118,0.00134,0.00152,0.00176,0.00204,0.0023,0.00254,0.00282,0.00316,0.00354,0.004,0.00453,0.00511,0.00562,0.00618,0.00682,0.00757
47,0.00022,0.00026,0.0005,0.00069,0.00078,0.00088,0.00097,0.00112,0.00127,0.00145,0.00166,0.00194,0.00226,0.00253,0.00281,0.00313,0.0035,0.00392,0.00441,0.00498,0.00562,0.00618,0.00682,0.00757,0.00846
48,0.00023,0.00028,0.00059,0.00075,0.00087,0.00096,0.00107,0.00122,0.00137,0.00157,0.00182,0.00215,0.00251,0.0028,0.0031,0.00346,0.00389,0.00435,0.00488,0.00548,0.00618,0.00682,0.00757,0.00846,0.00952
49,0.00024,0.00033,0.0007,0.00084,0.00095,0.00105,0.00118,0.00133,0.00149,0.00171,0.002,0.00235,0.00274,0.00307,0.00339,0.0038,0.00428,0.00478,0.00535,0.00602,0.00682,0.00757,0.00846,0.00952,0.01076
50,0.00025,0.00043,0.0008,0.00094,0.00105,0.00116,0.00131,0.00144,0.00162,0.00187,0.00219,0.00257,0.00296,0.00331,0.00369,0.00416,0.00469,0.00523,0.00586,0.00663,0.00757,0.00846,0.00952,0.01076,0.01222
51,0.00026,0.00055,0.00089,0.00104,0.00116,0.00129,0.00142,0.00158,0.00178,0.00207,0.00242,0.00279,0.00318,0.00356,0.004,0.00455,0.00511,0.0057,0.0064,0.00732,0.00846,0.00952,0.01076,0.01222,0.01392
52,0.00026,0.00069,0.00098,0.00111,0.00125,0.0014,0.00155,0.00173,0.00198,0.0023,0.00266,0.00302,0.00342,0.00385,0.00437,0.00499,0.00556,0.0062,0.00706,0.00819,0.00952,0.01076,0.01222,0.01392,0.01586
53,0.00027,0.00077,0.00102,0.0012,0.00136,0.00153,0.00171,0.00192,0.00221,0.00256,0.00292,0.00327,0.00368,0.00418,0.00478,0.00545,0.00614,0.00697,0.00798,0.00921,0.01076,0.01222,0.01392,0.01586,0.01814
54,0.00028,0.00079,0.00107,0.00126,0.00149,0.00168,0.0019,0.00215,0.00247,0.00284,0.0032,0.00355,0.00401,0.00459,0.00529,0.00606,0.00687,0.00787,0.00906,0.0105,0.01222,0.01392,0.01586,0.01814,0.02083
55,0.00029,0.0008,0.0011,0.00132,0.00164,0.00187,0.00213,0.00242,0.00277,0.00313,0.00347,0.00384,0.00438,0.00507,0.00588,0.00679,0.00776,0.00891,0.01039,0.01222,0.01392,0.01586,0.01814,0.02083,0.02405
56,0.0003,0.00081,0.00112,0.0014,0.00183,0.00211,0.0024,0.00271,0.00307,0.00341,0.00374,0.00417,0.00482,0.00565,0.00661,0.00768,0.00888,0.01023,0.0119,0.01392,0.01586,0.01814,0.02083,0.02405,0.02796
57,0.00031,0.00083,0.00113,0.00153,0.00206,0.00238,0.0027,0.00301,0.00335,0.00366,0.00401,0.00453,0.00532,0.0063,0.00743,0.0087,0.01008,0.01164,0.01354,0.01586,0.01814,0.02083,0.02405,0.02796,0.03249
58,0.00032,0.00085,0.00116,0.00172,0.00234,0.00268,0.00299,0.00328,0.00358,0.0039,0.00431,0.00497,0.00594,0.0071,0.00843,0.00991,0.0115,0.01329,0.01548,0.01814,0.02083,0.02405,0.02796,0.03249,0.03702
59,0.00034,0.00087,0.00123,0.00199,0.0026,0.00298,0.00327,0.00351,0.0038,0.00416,0.00469,0.00555,0.00674,0.00811,0.00965,0.01136,0.01322,0.01526,0.01778,0.02083,0.02405,0.02796,0.03249,0.03702,0.04199
60,0.00039,0.00091,0.00141,0.00226,0.00288,0.00325,0.00348,0.00372,0.00402,0.00448,0.00521,0.00631,0.00773,0.00929,0.01108,0.01304,0.01513,0.01737,0.02041,0.02405,0.02796,0.03249,0.03702,0.04199,0.04797
61,0.00047,0.00094,0.00167,0.00251,0.00319,0.00346,0.00367,0.00392,0.00431,0.00494,0.00591,0.00728,0.00893,0.01076,0.01276,0.01496,0.01731,0.02007,0.02369,0.02796,0.03249,0.03702,0.04199,0.04797,0.05742
62,0.00056,0.00106,0.00199,0.00267,0.0034,0.00362,0.00385,0.00418,0.00472,0.00558,0.00683,0.00846,0.01033,0.01235,0.01457,0.01706,0.01993,0.02361,0.02796,0.03249,0.03702,0.04199,0.04797,0.05742,0.06565
63,0.00067,0.00121,0.00232,0.00298,0.00355,0.00382,0.00414,0.00465,0.00538,0.00646,0.008,0.00989,0.01197,0.01422,0.01673,0.01962,0.02335,0.02732,0.03249,0.03702,0.04199,0.04797,0.05742,0.06565,0.07504
64,0.00078,0.0015,0.00262,0.00319,0.00365,0.00405,0.00463,0.00533,0.0062,0.00759,0.00938,0.01144,0.01367,0.01614,0.01903,0.02294,0.02719,0.03249,0.03702,0.04199,0.04797,0.05742,0.06565,0.07504,0.08605
65,0.00086,0.00185,0.00285,0.00333,0.00384,0.00453,0.00528,0.00609,0.00726,0.00899,0.011,0.01317,0.01563,0.01833,0.02174,0.02656,0.03158,0.03702,0.04199,0.04797,0.05742,0.06565,0.07504,0.08605,0.09839
66,0.00096,0.00197,0.00303,0.00345,0.00408,0.00503,0.00597,0.00705,0.00856,0.01064,0.01284,0.01511,0.01781,0.02124,0.02522,0.0305,0.03702,0.04199,0.04797,0.05742,0.06565,0.07504,0.08605,0.09839,0.112
67,0.00107,0.00206,0.00317,0.00359,0.00445,0.00563,0.00681,0.0082,0.01009,0.01254,0.01499,0.01763,0.02034,0.02408,0.02851,0.0347,0.04199,0.04797,0.05742,0.06565,0.07504,0.08605,0.09839,0.112,0.12669
68,0.00119,0.00214,0.0033,0.00386,0.00496,0.00637,0.00782,0.00956,0.01185,0.0147,0.01745,0.02018,0.02392,0.02824,0.03233,0.03986,0.04797,0.05742,0.06565,0.07504,0.08605,0.09839,0.112,0.12669,0.14271
69,0.00132,0.00224,0.00345,0.00428,0.00561,0.00723,0.00895,0.01106,0.01382,0.01713,0.02002,0.02375,0.02795,0.03223,0.03888,0.04758,0.05742,0.06565,0.07504,0.08605,0.09839,0.112,0.12669,0.14271,0.16025
70,0.00147,0.00235,0.00363,0.00471,0.00638,0.00819,0.01018,0.01272,0.01603,0.01986,0.02357,0.02766,0.03216,0.03847,0.04724,0.05742,0.06565,0.07504,0.08605,0.09839,0.112,0.12669,0.14271,0.16025,0.17824
71,0.00164,0.0025,0.00385,0.00528,0.00724,0.0092,0.0115,0.01455,0.01849,0.0229,0.02736,0.03171,0.03785,0.04572,0.05555,0.06565,0.07504,0.08605,0.09839,0.112,0.12669,0.14271,0.16025,0.17824,0.19809
72,0.00182,0.00268,0.00414,0.00606,0.00815,0.01027,0.01294,0.01657,0.02124,0.02646,0.03143,0.03617,0.04357,0.05316,0.06409,0.07504,0.08605,0.09839,0.112,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068
73,0.00202,0.00292,0.00452,0.00691,0.00911,0.0114,0.01448,0.01878,0.02442,0.03038,0.0358,0.04216,0.05113,0.06223,0.07504,0.08605,0.09839,0.112,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551
74,0.00233,0.00323,0.00501,0.00783,0.01011,0.01262,0.01619,0.0214,0.02801,0.03473,0.04071,0.04834,0.05873,0.07158,0.08605,0.09839,0.112,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259
75,0.00269,0.00356,0.00564,0.00882,0.01117,0.01395,0.01823,0.02441,0.03211,0.03972,0.04623,0.05539,0.06743,0.08254,0.09839,0.112,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155
76,0.0031,0.004,0.00642,0.00988,0.0123,0.01548,0.02047,0.0277,0.03661,0.04506,0.05349,0.06483,0.07896,0.09502,0.112,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199
77,0.00351,0.00449,0.00737,0.011,0.0136,0.01723,0.02307,0.03158,0.04183,0.05113,0.06277,0.07625,0.0924,0.112,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742
78,0.00397,0.00514,0.00847,0.01228,0.01504,0.01923,0.02618,0.03621,0.04795,0.05905,0.07267,0.0889,0.10857,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258
79,0.00434,0.00588,0.00982,0.01365,0.01665,0.02164,0.02995,0.04178,0.05505,0.0695,0.08641,0.10632,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703
80,0.0045,0.00681,0.01139,0.01514,0.01855,0.02457,0.03456,0.04843,0.06472,0.08273,0.1028,0.12669,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037
81,0.00487,0.00789,0.01313,0.01678,0.02079,0.02848,0.04027,0.0566,0.07509,0.09584,0.12019,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219
82,0.00535,0.00913,0.01506,0.0186,0.02472,0.03383,0.0475,0.06695,0.08998,0.11582,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721
83,0.00615,0.01057,0.01744,0.02248,0.02936,0.04022,0.05772,0.08274,0.1117,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811
84,0.00723,0.01224,0.0202,0.02714,0.03548,0.04894,0.07455,0.1061,0.14271,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554
85,0.00853,0.0144,0.02437,0.0328,0.04288,0.062,0.09531,0.12725,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448
86,0.00944,0.0174,0.02954,0.03982,0.05433,0.08615,0.11896,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502
87,0.01044,0.02108,0.03591,0.04857,0.07401,0.11466,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724
88,0.01155,0.02558,0.04379,0.06461,0.10587,0.16025,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123
89,0.01278,0.03057,0.0535,0.08768,0.14198,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871
90,0.01414,0.03651,0.07142,0.12355,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494
91,0.01806,0.04853,0.11204,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487
92,0.0263,0.07576,0.17824,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699
93,0.04019,0.11591,0.19809,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143
94,0.06083,0.14036,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833
95,0.09005,0.22068,0.24551,0.27259,0.30155,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833,0.9478

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Super Preferred, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00028,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00029,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00031,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00033,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00037,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00116,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00126,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00156,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00174,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00194,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0023,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00248,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00267,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00289,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00316,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00346,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00382,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00421,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00464,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00511,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00562,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00618,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00682,,,,,,,,,,,,,,,,,,,,,,,,
70,0.00757,,,,,,,,,,,,,,,,,,,,,,,,
71,0.00846,,,,,,,,,,,,,,,,,,,,,,,,
72,0.00952,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01076,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01222,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01392,,,,,,,,,,,,,,,,,,,,,,,,
76,0.01586,,,,,,,,,,,,,,,,,,,,,,,,
77,0.01814,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02083,,,,,,,,,,,,,,,,,,,,,,,,
79,0.02405,,,,,,,,,,,,,,,,,,,,,,,,
80,0.02796,,,,,,,,,,,,,,,,,,,,,,,,
81,0.03249,,,,,,,,,,,,,,,,,,,,,,,,
82,0.03702,,,,,,,,,,,,,,,,,,,,,,,,
