Table Name:,2017 Unloaded CSO Smoker Distinct Nonsmoker Male ANB ,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00067,0.0007,0.00072,0.00075,0.00073,0.0007,0.0007,0.0007,0.00059,0.00057,0.00051,0.00047,0.00045,0.00047,0.00049,0.00055,0.00064,0.00074,0.00086,0.00098,0.00107,0.00113,0.00118,0.00125,0.00133
19,0.00062,0.00065,0.00067,0.00063,0.00063,0.00064,0.00064,0.00059,0.00051,0.00045,0.00047,0.00045,0.00044,0.00048,0.00053,0.00057,0.00066,0.00077,0.00089,0.001,0.0011,0.00116,0.00123,0.00131,0.00139
20,0.00054,0.00055,0.00062,0.0006,0.00057,0.00056,0.00054,0.0005,0.00045,0.00045,0.00044,0.00044,0.00045,0.00049,0.00055,0.00059,0.00068,0.00079,0.00091,0.00103,0.00113,0.00119,0.00125,0.00133,0.00143
21,0.00045,0.00056,0.0005,0.00047,0.00046,0.00046,0.00045,0.00042,0.00039,0.00042,0.00042,0.00044,0.00046,0.00051,0.00056,0.00062,0.0007,0.00081,0.00093,0.00106,0.00114,0.0012,0.00127,0.00136,0.00148
22,0.00044,0.00046,0.00041,0.00039,0.00038,0.00038,0.00037,0.00036,0.00036,0.0004,0.00042,0.00044,0.00047,0.00053,0.00059,0.00064,0.00072,0.00084,0.00097,0.00108,0.00114,0.0012,0.00127,0.00138,0.00152
23,0.00037,0.00039,0.00035,0.00033,0.00032,0.00032,0.00032,0.00033,0.00034,0.00039,0.00042,0.00046,0.00049,0.00056,0.00062,0.00066,0.00075,0.00088,0.001,0.00109,0.00115,0.0012,0.00127,0.0014,0.00156
24,0.00031,0.00032,0.00029,0.00028,0.00028,0.00028,0.00029,0.00031,0.00033,0.00039,0.00043,0.00047,0.00052,0.00059,0.00064,0.00069,0.0008,0.00092,0.00103,0.00109,0.00116,0.00121,0.00128,0.00144,0.00161
25,0.00027,0.00028,0.00025,0.00025,0.00025,0.00025,0.00028,0.00031,0.00034,0.0004,0.00044,0.0005,0.00055,0.00061,0.00067,0.00074,0.00085,0.00097,0.00105,0.0011,0.00116,0.00121,0.00135,0.00152,0.0017
26,0.00023,0.00025,0.00023,0.00024,0.00024,0.00025,0.00028,0.00032,0.00035,0.00042,0.00048,0.00054,0.00058,0.00065,0.00072,0.00079,0.00092,0.00102,0.00108,0.0011,0.00117,0.00129,0.00145,0.00163,0.00183
27,0.0002,0.00022,0.00022,0.00023,0.00024,0.00026,0.00029,0.00033,0.00036,0.00045,0.00052,0.00058,0.00063,0.0007,0.00078,0.00086,0.00097,0.00106,0.00109,0.00116,0.00125,0.00139,0.00157,0.00177,0.00198
28,0.00018,0.0002,0.00021,0.00024,0.00026,0.00028,0.00031,0.00035,0.00039,0.00049,0.00056,0.00063,0.00068,0.00076,0.00085,0.00092,0.00103,0.00109,0.00115,0.00124,0.00136,0.00152,0.00172,0.00192,0.00216
29,0.00016,0.00019,0.00021,0.00025,0.00027,0.0003,0.00033,0.00038,0.00043,0.00054,0.00061,0.00068,0.00073,0.00082,0.0009,0.00097,0.00106,0.00115,0.00123,0.00133,0.00148,0.00166,0.00187,0.0021,0.00236
30,0.00016,0.00016,0.00021,0.00025,0.00027,0.0003,0.00034,0.00039,0.00044,0.00055,0.00062,0.00068,0.00073,0.00083,0.00091,0.00101,0.00113,0.00122,0.00131,0.00144,0.00161,0.00182,0.00204,0.0023,0.00258
31,0.00013,0.00015,0.00022,0.00025,0.00028,0.0003,0.00034,0.0004,0.00048,0.00057,0.00064,0.00069,0.00076,0.00085,0.00094,0.00107,0.0012,0.0013,0.00141,0.00156,0.00175,0.00198,0.00223,0.00251,0.0028
32,0.00013,0.00015,0.00022,0.00026,0.00029,0.00032,0.00037,0.00043,0.00053,0.00062,0.00068,0.00073,0.0008,0.00089,0.00101,0.00114,0.00127,0.00139,0.00152,0.00169,0.0019,0.00216,0.00243,0.00272,0.00301
33,0.00014,0.00015,0.00024,0.00028,0.00031,0.00035,0.00041,0.00048,0.00058,0.00066,0.00072,0.00076,0.00084,0.00095,0.00108,0.00122,0.00135,0.00148,0.00163,0.00182,0.00207,0.00235,0.00265,0.00294,0.00321
34,0.00014,0.00017,0.00026,0.00029,0.00033,0.00039,0.00045,0.00053,0.00063,0.0007,0.00075,0.00079,0.0009,0.00102,0.00115,0.0013,0.00144,0.00158,0.00175,0.00197,0.00225,0.00256,0.00287,0.00317,0.00343
35,0.00015,0.00017,0.00027,0.00032,0.00037,0.00042,0.00047,0.00058,0.00067,0.00073,0.00078,0.00086,0.00097,0.0011,0.00124,0.00139,0.00154,0.0017,0.00189,0.00215,0.00246,0.00279,0.00312,0.00341,0.00367
36,0.00015,0.00018,0.00029,0.00035,0.00041,0.00046,0.00053,0.00063,0.0007,0.00076,0.00084,0.00093,0.00106,0.00119,0.00133,0.00149,0.00165,0.00183,0.00206,0.00235,0.0027,0.00306,0.00338,0.00367,0.00399
37,0.00015,0.0002,0.00032,0.00039,0.00045,0.0005,0.00059,0.00068,0.00074,0.00082,0.00092,0.00102,0.00115,0.00129,0.00144,0.0016,0.00178,0.00198,0.00225,0.0026,0.00298,0.00334,0.00367,0.00399,0.00438
38,0.00015,0.00022,0.00035,0.00041,0.00048,0.00055,0.00065,0.00071,0.0008,0.0009,0.00101,0.00112,0.00126,0.00141,0.00156,0.00173,0.00193,0.00218,0.00251,0.0029,0.0033,0.00366,0.00399,0.00438,0.00484
39,0.00015,0.00025,0.00038,0.00045,0.00052,0.00061,0.00069,0.00077,0.00087,0.00099,0.00111,0.00123,0.00138,0.00154,0.0017,0.00189,0.00213,0.00243,0.00281,0.00323,0.00364,0.00399,0.00438,0.0048,0.0054
40,0.00016,0.0003,0.00042,0.0005,0.00058,0.00066,0.00074,0.00083,0.00095,0.00109,0.00122,0.00135,0.00151,0.00169,0.00187,0.00208,0.00237,0.00274,0.00317,0.0036,0.00399,0.00438,0.00477,0.00532,0.00602
41,0.00019,0.00034,0.00046,0.00054,0.00062,0.00071,0.00079,0.0009,0.00104,0.00119,0.00133,0.00147,0.00166,0.00186,0.00206,0.00232,0.00267,0.0031,0.00356,0.00399,0.00438,0.00476,0.00524,0.00594,0.00665
42,0.00022,0.00038,0.00049,0.00058,0.00068,0.00075,0.00084,0.00097,0.00113,0.00129,0.00144,0.0016,0.00182,0.00205,0.00229,0.00261,0.00303,0.0035,0.00397,0.00438,0.00475,0.00519,0.00578,0.0065,0.00732
43,0.00026,0.00042,0.00052,0.00063,0.00072,0.0008,0.0009,0.00105,0.00123,0.00139,0.00155,0.00175,0.002,0.00226,0.00254,0.00293,0.00342,0.00392,0.00437,0.00475,0.00515,0.00568,0.00638,0.0072,0.00809
44,0.0003,0.00045,0.00057,0.00069,0.00077,0.00085,0.00098,0.00115,0.00133,0.0015,0.00168,0.00192,0.0022,0.0025,0.00283,0.00328,0.00382,0.00433,0.00474,0.00513,0.0056,0.00627,0.00708,0.00798,0.00896
45,0.00035,0.00048,0.00061,0.00075,0.00082,0.00091,0.00107,0.00126,0.00143,0.00162,0.00184,0.00211,0.00243,0.00276,0.00315,0.00366,0.00423,0.00473,0.00513,0.00559,0.00613,0.00698,0.00792,0.00892,0.00998
46,0.0004,0.0005,0.00066,0.00081,0.00089,0.00101,0.0012,0.00138,0.00155,0.00176,0.00203,0.00233,0.00268,0.00304,0.00349,0.00404,0.00463,0.00511,0.00558,0.00609,0.00678,0.00783,0.00885,0.00994,0.01118
47,0.00044,0.00052,0.00072,0.00088,0.00097,0.00114,0.00134,0.00152,0.00169,0.00194,0.00225,0.00259,0.00294,0.00334,0.00383,0.00443,0.00505,0.00557,0.00605,0.00665,0.00757,0.0088,0.00992,0.01116,0.01255
48,0.00048,0.00055,0.00078,0.00095,0.00109,0.00129,0.00149,0.00166,0.00186,0.00216,0.00251,0.00286,0.00322,0.00365,0.00419,0.00484,0.00549,0.00604,0.00662,0.00738,0.0085,0.0099,0.01114,0.01253,0.01414
49,0.0005,0.00059,0.00085,0.00104,0.00122,0.00145,0.00164,0.0018,0.00205,0.00242,0.00279,0.00313,0.0035,0.00397,0.00456,0.00526,0.00595,0.00655,0.00725,0.0082,0.00954,0.0111,0.01251,0.0141,0.01596
50,0.00051,0.00066,0.00094,0.00113,0.00137,0.0016,0.00177,0.00196,0.00228,0.00271,0.00309,0.0034,0.00379,0.00432,0.00498,0.00573,0.00646,0.00714,0.00799,0.00914,0.0107,0.01235,0.014,0.01595,0.01812
51,0.00051,0.00075,0.00104,0.00125,0.00152,0.00173,0.00189,0.00213,0.00255,0.00303,0.00338,0.00374,0.00412,0.00472,0.00546,0.00627,0.00704,0.00782,0.00886,0.01022,0.0119,0.01366,0.01559,0.01786,0.02043
52,0.00052,0.00086,0.00115,0.00139,0.00166,0.00183,0.00201,0.00234,0.00284,0.00335,0.0037,0.00409,0.00453,0.00524,0.00607,0.00692,0.00775,0.00868,0.00993,0.0115,0.01334,0.01522,0.01737,0.01997,0.02294
53,0.00052,0.00097,0.00128,0.00157,0.0018,0.00196,0.00219,0.00259,0.00316,0.00368,0.00407,0.00449,0.00505,0.00589,0.00679,0.00773,0.00867,0.00989,0.01118,0.01292,0.01491,0.01704,0.01949,0.02242,0.02574
54,0.00053,0.00107,0.00143,0.00177,0.00194,0.00212,0.00241,0.00289,0.00352,0.00404,0.00444,0.00495,0.00575,0.00672,0.00771,0.00867,0.00985,0.01111,0.01274,0.01464,0.01677,0.01938,0.02235,0.02566,0.0291
55,0.00054,0.00114,0.00159,0.00191,0.00209,0.00226,0.00263,0.00326,0.00391,0.00444,0.00494,0.00562,0.00661,0.00769,0.00867,0.0098,0.01104,0.01258,0.0145,0.01669,0.01909,0.02211,0.02541,0.02902,0.03313
56,0.00062,0.00119,0.00176,0.00206,0.00224,0.0025,0.00299,0.00369,0.00433,0.00491,0.00556,0.00646,0.00757,0.00865,0.00976,0.011,0.01252,0.01438,0.01661,0.01904,0.0219,0.02526,0.02898,0.03313,0.03738
57,0.00075,0.00123,0.00192,0.00222,0.00246,0.00277,0.00342,0.00415,0.0048,0.00546,0.00629,0.00739,0.00863,0.00974,0.0109,0.01242,0.01426,0.01639,0.01886,0.02166,0.0248,0.02852,0.03299,0.03738,0.04236
58,0.00092,0.00128,0.00206,0.00241,0.0027,0.00315,0.0039,0.00464,0.00531,0.00611,0.00714,0.00842,0.00969,0.01089,0.0123,0.01404,0.01627,0.01875,0.02154,0.02465,0.02848,0.03284,0.03738,0.04236,0.04795
59,0.00113,0.00136,0.00218,0.00262,0.00291,0.00358,0.0044,0.00512,0.00586,0.00685,0.00808,0.00943,0.01083,0.01229,0.01385,0.01592,0.01855,0.02134,0.02436,0.02781,0.03208,0.03703,0.04236,0.04795,0.05446
60,0.00133,0.00149,0.00227,0.0027,0.00321,0.00403,0.00487,0.00561,0.00647,0.00766,0.0091,0.01062,0.01212,0.01365,0.01552,0.01802,0.02105,0.02425,0.02777,0.03196,0.0369,0.04236,0.04795,0.05446,0.062
61,0.00148,0.00168,0.00237,0.00282,0.00354,0.00447,0.0053,0.0061,0.00714,0.00853,0.0101,0.01169,0.0133,0.01509,0.01739,0.02035,0.0238,0.02743,0.03149,0.03625,0.04183,0.04795,0.05446,0.062,0.07078
62,0.00156,0.00192,0.00251,0.00301,0.00392,0.00489,0.00573,0.00664,0.00787,0.00943,0.0111,0.01277,0.01455,0.01669,0.01946,0.02288,0.0268,0.03106,0.03604,0.04165,0.04795,0.05446,0.062,0.07078,0.08095
63,0.00163,0.00221,0.00273,0.00333,0.00436,0.00532,0.00618,0.00724,0.00867,0.01039,0.01215,0.01396,0.01599,0.01856,0.0218,0.0257,0.03013,0.03495,0.04062,0.04695,0.05446,0.062,0.07078,0.08095,0.09266
64,0.00168,0.0025,0.00303,0.00375,0.00486,0.00577,0.00671,0.00795,0.00957,0.01144,0.01326,0.01517,0.01753,0.0205,0.02419,0.02872,0.03408,0.04017,0.04689,0.05446,0.062,0.07078,0.08095,0.09266,0.10592
65,0.00175,0.00282,0.00341,0.00424,0.00543,0.0063,0.00735,0.00877,0.01059,0.01263,0.01457,0.01667,0.01938,0.02278,0.02691,0.03215,0.03841,0.04526,0.05338,0.062,0.07078,0.08095,0.09266,0.10592,0.12032
66,0.00183,0.00313,0.00385,0.00479,0.00608,0.00695,0.00812,0.00973,0.01176,0.01405,0.01619,0.01851,0.02161,0.02544,0.03004,0.03652,0.04459,0.05301,0.062,0.07078,0.08095,0.09266,0.10592,0.12032,0.1357
67,0.00194,0.00341,0.00434,0.00541,0.00682,0.00771,0.00902,0.01084,0.01314,0.01578,0.01829,0.021,0.02455,0.0289,0.03405,0.04134,0.05089,0.06043,0.07078,0.08095,0.09266,0.10592,0.12032,0.1357,0.15153
68,0.00209,0.00368,0.00486,0.00612,0.00744,0.0086,0.01008,0.01214,0.01482,0.01793,0.02091,0.0244,0.02817,0.03309,0.03882,0.04745,0.05844,0.0693,0.08095,0.09266,0.10592,0.12032,0.1357,0.15153,0.16737
69,0.00227,0.00398,0.00545,0.00691,0.00834,0.00961,0.01125,0.01364,0.0171,0.02054,0.02424,0.02815,0.03278,0.03869,0.04535,0.05508,0.0671,0.07938,0.09266,0.10592,0.12032,0.1357,0.15153,0.16737,0.18308
70,0.00245,0.00421,0.00598,0.00766,0.00913,0.01048,0.01243,0.01576,0.01916,0.02322,0.02801,0.03248,0.03857,0.04528,0.0545,0.06485,0.07897,0.09266,0.10592,0.12032,0.1357,0.15153,0.16737,0.18308,0.19786
71,0.00262,0.00441,0.00649,0.00839,0.00982,0.01148,0.01416,0.01762,0.02139,0.0261,0.03217,0.03857,0.04504,0.05392,0.06186,0.07485,0.09052,0.10592,0.12032,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108
72,0.00282,0.00463,0.00704,0.00919,0.01071,0.01307,0.01596,0.01961,0.02425,0.03038,0.03793,0.0448,0.05335,0.06164,0.07106,0.08605,0.10373,0.12032,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779
73,0.00306,0.00494,0.00772,0.01016,0.01227,0.01485,0.01807,0.02216,0.02814,0.03533,0.04456,0.05327,0.06158,0.07097,0.08546,0.10333,0.12032,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559
74,0.0034,0.00544,0.00864,0.01148,0.01391,0.01696,0.02084,0.02567,0.03268,0.04143,0.05302,0.06152,0.07088,0.08314,0.09953,0.11882,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495
75,0.00373,0.00601,0.00968,0.01297,0.01584,0.01953,0.02412,0.02977,0.03828,0.04834,0.06146,0.07079,0.08228,0.09841,0.11643,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546
76,0.00406,0.00654,0.01073,0.01473,0.01822,0.02256,0.02792,0.03483,0.04463,0.05593,0.07028,0.08157,0.09782,0.11572,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067
77,0.00422,0.0068,0.01127,0.01584,0.02007,0.02491,0.03117,0.04059,0.05167,0.0639,0.08073,0.09669,0.11528,0.1357,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825
78,0.00442,0.00714,0.01201,0.01722,0.02189,0.02804,0.03504,0.04702,0.05914,0.07295,0.09461,0.11358,0.13442,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002
79,0.00459,0.00745,0.01275,0.01853,0.02398,0.03072,0.0392,0.05206,0.06566,0.08322,0.10881,0.13101,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165
80,0.00476,0.00779,0.01354,0.02011,0.02606,0.03332,0.04344,0.05702,0.0729,0.09485,0.12599,0.15153,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279
81,0.00516,0.00852,0.01526,0.02285,0.0296,0.03802,0.0502,0.065,0.08584,0.1124,0.14383,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305
82,0.00567,0.0095,0.01743,0.02632,0.03423,0.04365,0.05865,0.07837,0.1028,0.13785,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208
83,0.00654,0.01108,0.0208,0.03139,0.04119,0.05287,0.07162,0.0972,0.131,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951
84,0.00771,0.01347,0.0261,0.03967,0.05217,0.06825,0.09216,0.12881,0.16737,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498
85,0.00913,0.01627,0.03217,0.04899,0.06554,0.08718,0.11906,0.15295,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812
86,0.01103,0.02005,0.04056,0.06242,0.08498,0.11444,0.14903,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857
87,0.01324,0.02465,0.05087,0.07988,0.10992,0.14523,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595
88,0.01548,0.02979,0.06271,0.10004,0.13885,0.18308,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5
89,0.01782,0.0349,0.07572,0.12262,0.16957,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5
90,0.0205,0.04087,0.09085,0.15043,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5
91,0.02593,0.06393,0.13731,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5
92,0.03701,0.09622,0.19786,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5
93,0.05513,0.13961,0.21108,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5
94,0.08135,0.1637,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.11633,0.22779,0.24559,0.26495,0.28546,0.3067,0.32825,0.35002,0.37165,0.39279,0.41305,0.43208,0.44951,0.46498,0.47812,0.48857,0.49595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Smoker Distinct Nonsmoker, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00051,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00055,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00064,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00074,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00125,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00141,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00148,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00152,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00159,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00164,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00171,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00179,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00188,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00202,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0022,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00241,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00263,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00285,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00305,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00325,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00345,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00369,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00399,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00438,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00487,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00543,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00605,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00673,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00745,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00823,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00908,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01006,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0112,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01257,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01419,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01608,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01824,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02065,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0233,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02621,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02944,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03313,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03738,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04236,,,,,,,,,,,,,,,,,,,,,,,,
82,0.04795,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05446,,,,,,,,,,,,,,,,,,,,,,,,
84,0.062,,,,,,,,,,,,,,,,,,,,,,,,
