Table Name:,"2001 CSO Select and Ultimate - Female Composite, ANB",,,,,,,,,,,,,,,,,,,,,,,,
4,0.00019,0.00018,0.00018,0.00018,0.00019,0.00019,0.00021,0.00021,0.00023,0.00025,0.00031,0.00033,0.00037,0.00039,0.00041,0.00043,0.00045,0.00047,0.00049,0.0005,0.00052,0.00054,0.00056,0.0006,0.00063
5,0.00018,0.00018,0.00018,0.00019,0.00019,0.00019,0.00021,0.00022,0.00025,0.00029,0.00033,0.00036,0.00038,0.0004,0.00043,0.00045,0.00046,0.00049,0.0005,0.00052,0.00054,0.00056,0.0006,0.00063,0.00066
6,0.00018,0.00018,0.00019,0.00019,0.00019,0.0002,0.00022,0.00025,0.00029,0.00033,0.00036,0.00038,0.0004,0.00042,0.00044,0.00046,0.00048,0.0005,0.00052,0.00054,0.00056,0.0006,0.00063,0.00066,0.00068
7,0.00018,0.00019,0.00019,0.00019,0.00019,0.00022,0.00024,0.00029,0.00033,0.00036,0.00037,0.00039,0.00042,0.00043,0.00045,0.00048,0.00049,0.00052,0.00054,0.00056,0.0006,0.00063,0.00066,0.00068,0.00073
8,0.00019,0.00019,0.00019,0.00019,0.0002,0.00024,0.00027,0.00032,0.00035,0.00037,0.00039,0.00041,0.00043,0.00044,0.00047,0.00049,0.00051,0.00054,0.00056,0.0006,0.00063,0.00066,0.00068,0.00073,0.00077
9,0.00019,0.00019,0.00019,0.0002,0.00022,0.00027,0.00032,0.00035,0.00036,0.00038,0.00041,0.00042,0.00044,0.00046,0.00048,0.00051,0.00054,0.00056,0.00059,0.00063,0.00066,0.00068,0.00073,0.00077,0.00082
10,0.00019,0.00019,0.0002,0.00022,0.00025,0.00031,0.00034,0.00036,0.00037,0.0004,0.00041,0.00043,0.00046,0.00047,0.0005,0.00053,0.00055,0.00059,0.00063,0.00066,0.00068,0.00073,0.00077,0.00082,0.00088
11,0.00019,0.0002,0.00022,0.00025,0.00031,0.00033,0.00035,0.00037,0.00039,0.00041,0.00042,0.00045,0.00047,0.00049,0.00053,0.00055,0.00058,0.00062,0.00066,0.00068,0.00073,0.00077,0.00082,0.00088,0.00097
12,0.0002,0.00022,0.00025,0.00031,0.00033,0.00034,0.00036,0.00038,0.0004,0.00041,0.00044,0.00046,0.00049,0.00052,0.00054,0.00058,0.00062,0.00065,0.00068,0.00073,0.00077,0.00082,0.00088,0.00097,0.00103
13,0.00022,0.00025,0.00031,0.00033,0.00034,0.00035,0.00037,0.00039,0.0004,0.00043,0.00045,0.00048,0.00051,0.00054,0.00057,0.00062,0.00065,0.00068,0.00073,0.00077,0.00082,0.00088,0.00097,0.00103,0.0011
14,0.00025,0.00031,0.00033,0.00034,0.00034,0.00036,0.00038,0.00039,0.00042,0.00043,0.00047,0.0005,0.00053,0.00057,0.00061,0.00065,0.00068,0.00073,0.00077,0.00082,0.00088,0.00097,0.00103,0.00109,0.00116
15,0.00031,0.00033,0.00034,0.00034,0.00036,0.00037,0.00038,0.0004,0.00042,0.00045,0.00049,0.00052,0.00056,0.0006,0.00064,0.00068,0.00073,0.00077,0.00082,0.00088,0.00097,0.00103,0.00109,0.00116,0.00123
16,0.00033,0.00034,0.00034,0.00035,0.00036,0.00037,0.00039,0.00041,0.00044,0.00047,0.0005,0.00055,0.00059,0.00063,0.00068,0.00073,0.00077,0.00082,0.00088,0.00097,0.00103,0.00109,0.00116,0.00123,0.0013
17,0.00034,0.00034,0.00035,0.00035,0.00036,0.00038,0.0004,0.00043,0.00046,0.00049,0.00053,0.00058,0.00062,0.00067,0.00073,0.00077,0.00082,0.00088,0.00097,0.00103,0.00109,0.00116,0.00123,0.0013,0.00138
18,0.00033,0.00034,0.00034,0.00035,0.00037,0.00038,0.00041,0.00045,0.00048,0.00052,0.00057,0.00061,0.00066,0.00072,0.00077,0.00082,0.00088,0.00097,0.00103,0.00109,0.00116,0.00123,0.0013,0.00138,0.00148
19,0.00033,0.00033,0.00034,0.00036,0.00037,0.0004,0.00043,0.00046,0.00051,0.00055,0.0006,0.00065,0.00071,0.00077,0.00082,0.00088,0.00097,0.00103,0.00109,0.00116,0.00123,0.0013,0.00138,0.00148,0.00159
20,0.00031,0.00032,0.00034,0.00035,0.00038,0.00042,0.00045,0.00049,0.00054,0.00058,0.00064,0.0007,0.00076,0.00082,0.00088,0.00096,0.00102,0.00109,0.00116,0.00123,0.0013,0.00138,0.00148,0.00159,0.00172
21,0.00029,0.00031,0.00033,0.00036,0.0004,0.00043,0.00048,0.00052,0.00057,0.00062,0.00068,0.00074,0.0008,0.00087,0.00094,0.00101,0.00107,0.00115,0.00122,0.0013,0.00138,0.00148,0.00159,0.00172,0.00187
22,0.00028,0.0003,0.00034,0.00038,0.00041,0.00046,0.00051,0.00055,0.00061,0.00067,0.00073,0.00079,0.00085,0.00093,0.00099,0.00106,0.00114,0.00121,0.00129,0.00138,0.00148,0.00159,0.00172,0.00187,0.00205
23,0.00026,0.0003,0.00034,0.00038,0.00043,0.00048,0.00053,0.00059,0.00065,0.00071,0.00077,0.00084,0.00091,0.00098,0.00104,0.00112,0.00119,0.00128,0.00138,0.00148,0.00159,0.00172,0.00187,0.00205,0.00227
24,0.00026,0.00031,0.00035,0.0004,0.00045,0.0005,0.00056,0.00062,0.00069,0.00075,0.00082,0.00089,0.00096,0.00102,0.0011,0.00118,0.00126,0.00136,0.00147,0.00159,0.00172,0.00187,0.00205,0.00227,0.0025
25,0.00025,0.00031,0.00036,0.00042,0.00047,0.00053,0.0006,0.00066,0.00073,0.00079,0.00087,0.00093,0.001,0.00108,0.00115,0.00125,0.00134,0.00145,0.00158,0.00172,0.00187,0.00205,0.00227,0.0025,0.00278
26,0.00026,0.00032,0.00038,0.00043,0.00049,0.00056,0.00063,0.00069,0.00076,0.00084,0.00091,0.00097,0.00106,0.00113,0.00122,0.00132,0.00144,0.00156,0.00171,0.00187,0.00205,0.00227,0.0025,0.00278,0.00308
27,0.00028,0.00034,0.00039,0.00045,0.00052,0.00059,0.00065,0.00072,0.0008,0.00087,0.00094,0.00102,0.0011,0.0012,0.0013,0.00142,0.00155,0.00169,0.00186,0.00205,0.00227,0.0025,0.00278,0.00308,0.00341
28,0.0003,0.00035,0.00041,0.00048,0.00054,0.00061,0.00068,0.00076,0.00083,0.0009,0.00099,0.00107,0.00117,0.00127,0.00139,0.00153,0.00167,0.00184,0.00204,0.00226,0.0025,0.00278,0.00308,0.00341,0.00379
29,0.00031,0.00038,0.00044,0.0005,0.00057,0.00064,0.00071,0.00079,0.00086,0.00095,0.00103,0.00113,0.00124,0.00136,0.0015,0.00165,0.00183,0.00203,0.00225,0.00249,0.00278,0.00308,0.00341,0.00379,0.0042
30,0.00034,0.0004,0.00046,0.00053,0.00059,0.00067,0.00074,0.00081,0.0009,0.00099,0.00109,0.0012,0.00133,0.00147,0.00163,0.0018,0.00201,0.00224,0.00248,0.00277,0.00308,0.00341,0.00379,0.0042,0.00463
31,0.00037,0.00043,0.00049,0.00055,0.00063,0.0007,0.00077,0.00086,0.00094,0.00105,0.00116,0.00129,0.00144,0.0016,0.00178,0.00199,0.00222,0.00247,0.00276,0.00307,0.00341,0.00379,0.0042,0.00463,0.0051
32,0.00039,0.00045,0.00051,0.00059,0.00065,0.00073,0.00082,0.0009,0.00101,0.00113,0.00126,0.00141,0.00157,0.00175,0.00197,0.0022,0.00245,0.00274,0.00305,0.00339,0.00377,0.00419,0.00463,0.0051,0.00563
33,0.00041,0.00047,0.00054,0.00061,0.00069,0.00078,0.00087,0.00097,0.00109,0.00123,0.00138,0.00154,0.00173,0.00194,0.00218,0.00243,0.00272,0.00303,0.00337,0.00375,0.00417,0.00461,0.0051,0.00562,0.00619
34,0.00042,0.00049,0.00056,0.00064,0.00073,0.00082,0.00093,0.00106,0.00119,0.00134,0.00151,0.0017,0.00192,0.00215,0.0024,0.0027,0.00301,0.00335,0.00373,0.00414,0.00459,0.00507,0.0056,0.00615,0.00676
35,0.00044,0.00051,0.00058,0.00068,0.00077,0.00089,0.00102,0.00116,0.00131,0.00148,0.00167,0.00189,0.00213,0.00238,0.00267,0.00299,0.00333,0.00371,0.00412,0.00456,0.00505,0.00557,0.00612,0.00672,0.00735
36,0.00045,0.00053,0.00062,0.00072,0.00083,0.00096,0.00111,0.00127,0.00144,0.00163,0.00185,0.00209,0.00235,0.00263,0.00296,0.0033,0.00368,0.00409,0.00453,0.00501,0.00553,0.00609,0.00667,0.0073,0.00797
37,0.00047,0.00056,0.00065,0.00077,0.0009,0.00105,0.00121,0.00139,0.00158,0.00181,0.00205,0.00231,0.00259,0.00292,0.00326,0.00364,0.00405,0.00449,0.00498,0.0055,0.00605,0.00664,0.00727,0.00794,0.00865
38,0.0005,0.00059,0.0007,0.00083,0.00098,0.00114,0.00132,0.00152,0.00175,0.00199,0.00225,0.00254,0.00287,0.00321,0.00359,0.00401,0.00445,0.00494,0.00546,0.00601,0.0066,0.00723,0.00791,0.00862,0.00936
39,0.00053,0.00064,0.00076,0.00091,0.00107,0.00125,0.00145,0.00168,0.00191,0.00219,0.00248,0.00281,0.00315,0.00354,0.00395,0.0044,0.00489,0.00541,0.00597,0.00656,0.0072,0.00788,0.00859,0.00934,0.01013
40,0.00058,0.0007,0.00084,0.001,0.00117,0.00137,0.0016,0.00184,0.00211,0.0024,0.00273,0.00308,0.00347,0.00389,0.00434,0.00483,0.00536,0.00592,0.00651,0.00716,0.00784,0.00857,0.00932,0.01012,0.01096
41,0.00064,0.00077,0.00093,0.0011,0.00129,0.00152,0.00175,0.00202,0.00232,0.00265,0.003,0.00339,0.00381,0.00426,0.00476,0.00529,0.00586,0.00646,0.00711,0.00781,0.00854,0.00931,0.01012,0.01096,0.01185
42,0.0007,0.00086,0.00103,0.00122,0.00144,0.00167,0.00194,0.00223,0.00256,0.00291,0.00329,0.00372,0.00417,0.00467,0.00521,0.00578,0.00639,0.00705,0.00776,0.0085,0.00929,0.01012,0.01096,0.01185,0.01282
43,0.00078,0.00095,0.00114,0.00136,0.0016,0.00186,0.00215,0.00248,0.00282,0.0032,0.00362,0.00407,0.00457,0.00511,0.00569,0.00631,0.00698,0.0077,0.00846,0.00926,0.0101,0.01096,0.01185,0.01282,0.01389
44,0.00086,0.00105,0.00128,0.00152,0.00178,0.00207,0.00238,0.00273,0.00311,0.00352,0.00397,0.00446,0.00499,0.00558,0.0062,0.00688,0.00761,0.00839,0.00921,0.01008,0.01096,0.01185,0.01282,0.01389,0.01507
45,0.00095,0.00118,0.00142,0.00169,0.00198,0.0023,0.00264,0.00302,0.00343,0.00387,0.00435,0.00487,0.00546,0.00608,0.00675,0.00749,0.00829,0.00913,0.01002,0.01096,0.01185,0.01282,0.01389,0.01507,0.01636
46,0.00104,0.0013,0.00158,0.00187,0.00219,0.00254,0.00292,0.00332,0.00376,0.00423,0.00475,0.00533,0.00594,0.00661,0.00735,0.00814,0.00899,0.00991,0.0109,0.01185,0.01282,0.01389,0.01507,0.01636,0.01781
47,0.00116,0.00144,0.00174,0.00206,0.00242,0.00279,0.00319,0.00363,0.0041,0.00462,0.00517,0.00579,0.00645,0.00718,0.00797,0.00882,0.00975,0.01075,0.01183,0.01282,0.01389,0.01507,0.01636,0.01781,0.01947
48,0.00128,0.00159,0.00191,0.00227,0.00263,0.00304,0.00348,0.00395,0.00446,0.00501,0.00562,0.00627,0.007,0.00778,0.00863,0.00956,0.01056,0.01165,0.01282,0.01389,0.01507,0.01636,0.01781,0.01947,0.0213
49,0.00135,0.00168,0.00208,0.00246,0.00286,0.00329,0.00376,0.00426,0.00481,0.00541,0.00606,0.00677,0.00755,0.00841,0.00934,0.01035,0.01144,0.01263,0.01389,0.01507,0.01636,0.01781,0.01947,0.0213,0.0233
50,0.00143,0.00185,0.00226,0.00265,0.00307,0.00353,0.00403,0.00457,0.00516,0.00581,0.00651,0.00729,0.00814,0.00907,0.01009,0.01119,0.0124,0.01371,0.01507,0.01636,0.01781,0.01947,0.0213,0.0233,0.0255
51,0.00151,0.00205,0.00245,0.00284,0.00329,0.00377,0.0043,0.00487,0.00552,0.00621,0.00698,0.00783,0.00876,0.00978,0.01089,0.01211,0.01344,0.0149,0.01636,0.01781,0.01947,0.0213,0.0233,0.0255,0.0279
52,0.0016,0.00226,0.00264,0.00304,0.00349,0.004,0.00455,0.00517,0.00587,0.00663,0.00746,0.00839,0.0094,0.01053,0.01176,0.01311,0.0146,0.01622,0.01781,0.01947,0.0213,0.0233,0.0255,0.0279,0.03053
53,0.00169,0.00242,0.00284,0.00324,0.0037,0.00423,0.00482,0.00548,0.00622,0.00706,0.00797,0.00899,0.01012,0.01135,0.01272,0.01422,0.01587,0.01769,0.01947,0.0213,0.0233,0.0255,0.0279,0.03053,0.03341
54,0.00179,0.00259,0.00305,0.00345,0.00392,0.00448,0.00511,0.00582,0.00662,0.00752,0.00853,0.00965,0.0109,0.01228,0.0138,0.01547,0.01731,0.01934,0.0213,0.0233,0.0255,0.0279,0.03053,0.03341,0.03658
55,0.00189,0.00277,0.00328,0.00368,0.00418,0.00476,0.00543,0.00618,0.00705,0.00804,0.00915,0.01039,0.01177,0.0133,0.01501,0.01689,0.01894,0.02121,0.0233,0.0255,0.0279,0.03053,0.03341,0.03658,0.04005
56,0.00206,0.00295,0.00352,0.00395,0.00446,0.00507,0.00579,0.00661,0.00756,0.00863,0.00985,0.01122,0.01275,0.01447,0.01638,0.01848,0.02079,0.0233,0.0255,0.0279,0.03053,0.03341,0.03658,0.04005,0.04386
57,0.00217,0.00314,0.00378,0.00423,0.00479,0.00544,0.00621,0.00711,0.00814,0.00931,0.01064,0.01217,0.01387,0.01578,0.01791,0.02027,0.02286,0.0255,0.0279,0.03053,0.03341,0.03658,0.04005,0.04385,0.04802
58,0.00225,0.00335,0.00405,0.00454,0.00515,0.00587,0.0067,0.00769,0.00881,0.01011,0.01157,0.01324,0.01512,0.01725,0.01962,0.02226,0.02517,0.02789,0.03052,0.0334,0.03657,0.04004,0.04384,0.04801,0.0526
59,0.0024,0.00354,0.00434,0.00488,0.00553,0.00633,0.00725,0.00834,0.00958,0.01101,0.01263,0.01448,0.01656,0.01891,0.02155,0.02448,0.02774,0.03052,0.0334,0.03656,0.04003,0.04383,0.048,0.05258,0.05761
60,0.00252,0.00373,0.00463,0.00521,0.00594,0.00682,0.00786,0.00906,0.01044,0.01203,0.01384,0.01588,0.0182,0.02081,0.02373,0.02699,0.03051,0.03339,0.03656,0.04002,0.04382,0.04799,0.05257,0.05759,0.0631
61,0.00264,0.00392,0.00491,0.00555,0.00635,0.00734,0.00849,0.00983,0.01139,0.01316,0.01519,0.01748,0.02006,0.02296,0.02621,0.02983,0.03338,0.03655,0.04001,0.04381,0.04797,0.05255,0.05756,0.06307,0.06913
62,0.00281,0.00412,0.0052,0.00588,0.00677,0.00786,0.00915,0.01066,0.01241,0.01442,0.01669,0.01927,0.02217,0.02541,0.02903,0.03305,0.03654,0.04,0.04379,0.04795,0.05253,0.05754,0.06304,0.0691,0.07574
63,0.00307,0.00434,0.00547,0.00621,0.00717,0.00838,0.00983,0.01154,0.01351,0.01579,0.01836,0.02126,0.02453,0.02817,0.03221,0.03653,0.03999,0.04378,0.04794,0.05251,0.05751,0.06301,0.06905,0.07569,0.08299
64,0.00337,0.00526,0.00577,0.00655,0.0076,0.00894,0.01056,0.01249,0.01472,0.01728,0.0202,0.02349,0.02716,0.03124,0.03576,0.03997,0.04376,0.04791,0.05248,0.05748,0.06297,0.06901,0.07563,0.08291,0.09093
65,0.00372,0.00556,0.00607,0.0069,0.00805,0.00953,0.01135,0.01352,0.01604,0.01895,0.02225,0.02595,0.03007,0.03466,0.03971,0.04374,0.04789,0.05245,0.05745,0.06293,0.06896,0.07556,0.08283,0.09082,0.09962
66,0.0039,0.00592,0.00642,0.0073,0.00856,0.0102,0.01224,0.01468,0.01753,0.0208,0.02452,0.02869,0.03333,0.03847,0.04373,0.04787,0.05243,0.05742,0.06289,0.06891,0.07551,0.08276,0.09074,0.09951,0.10915
67,0.00405,0.00629,0.00681,0.00777,0.00916,0.011,0.01328,0.01602,0.01922,0.0229,0.02708,0.03175,0.03695,0.04268,0.04786,0.05242,0.05741,0.06288,0.06889,0.07548,0.08273,0.0907,0.09946,0.10908,0.1197
68,0.00446,0.00671,0.00728,0.00834,0.00988,0.01194,0.0145,0.01757,0.02117,0.0253,0.02997,0.03519,0.041,0.04738,0.05241,0.0574,0.06287,0.06888,0.07547,0.08271,0.09067,0.09942,0.10904,0.11964,0.13132
69,0.00492,0.00716,0.00781,0.00901,0.01076,0.01306,0.01593,0.01938,0.0234,0.02801,0.03322,0.03905,0.0455,0.0524,0.05739,0.06285,0.06887,0.07545,0.08269,0.09064,0.09938,0.10899,0.11957,0.13123,0.1441
70,0.00542,0.00767,0.00844,0.00981,0.0118,0.0144,0.01762,0.02148,0.02598,0.03111,0.03691,0.04336,0.05049,0.05738,0.06284,0.06885,0.07543,0.08266,0.0906,0.09934,0.10892,0.11949,0.13112,0.14394,0.15811
71,0.00602,0.00823,0.00917,0.01076,0.01304,0.01598,0.01961,0.02391,0.02892,0.03463,0.04104,0.04817,0.05601,0.06282,0.06882,0.07539,0.08262,0.09055,0.09927,0.10884,0.11937,0.13096,0.14373,0.15782,0.17339
72,0.0082,0.00885,0.01002,0.01189,0.0145,0.01783,0.02191,0.02672,0.03228,0.03859,0.04567,0.05351,0.0621,0.0688,0.07536,0.08258,0.0905,0.09921,0.10876,0.11926,0.13082,0.14353,0.15753,0.17298,0.19005
73,0.00882,0.00958,0.01101,0.01322,0.01621,0.02,0.02456,0.02992,0.03608,0.04305,0.05083,0.05941,0.06877,0.07533,0.08254,0.09046,0.09915,0.10868,0.11916,0.13068,0.14334,0.15727,0.17261,0.18952,0.20816
74,0.00951,0.01045,0.01221,0.01481,0.01824,0.02251,0.02761,0.03357,0.04037,0.04803,0.05655,0.06593,0.07532,0.08253,0.09044,0.09913,0.10865,0.11913,0.13063,0.14328,0.15719,0.17249,0.18934,0.2079,0.22838
75,0.01026,0.01152,0.01366,0.01669,0.02059,0.0254,0.03109,0.03768,0.04517,0.05357,0.06288,0.0731,0.08253,0.09044,0.09912,0.10865,0.11912,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083
76,0.01121,0.01285,0.01541,0.01892,0.02335,0.02873,0.03505,0.04231,0.05054,0.05972,0.06986,0.08096,0.09044,0.09912,0.10865,0.11912,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573
77,0.01248,0.01452,0.01754,0.02156,0.02655,0.03253,0.03952,0.04751,0.0565,0.06651,0.07753,0.08957,0.09912,0.10865,0.11912,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784
78,0.01415,0.01663,0.02012,0.02466,0.03025,0.03688,0.04456,0.05331,0.0631,0.07398,0.08592,0.09893,0.10865,0.11912,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221
79,0.01491,0.01923,0.02324,0.02833,0.03452,0.04182,0.05022,0.05974,0.07039,0.08215,0.09505,0.10865,0.11912,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906
80,0.01651,0.02244,0.02695,0.03261,0.03942,0.0474,0.05655,0.06687,0.07838,0.09107,0.10497,0.11912,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861
81,0.01838,0.02634,0.03135,0.03757,0.04501,0.05368,0.06359,0.07473,0.08712,0.10077,0.11568,0.13062,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861,0.41057
82,0.02049,0.03099,0.03649,0.04327,0.05134,0.0607,0.07137,0.08335,0.09664,0.11127,0.12723,0.14326,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861,0.41057,0.44333
83,0.0226,0.03642,0.04245,0.04977,0.05846,0.06851,0.07993,0.09275,0.10696,0.12259,0.13963,0.15717,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861,0.41057,0.44333,0.47689
84,0.02734,0.04238,0.04927,0.05712,0.06641,0.07714,0.08932,0.10299,0.11812,0.13476,0.1529,0.17246,0.1893,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861,0.41057,0.44333,0.47689,0.51065
85,0.03221,0.0492,0.05699,0.06534,0.07521,0.08661,0.09955,0.11404,0.13012,0.14779,0.16708,0.18798,0.20784,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861,0.41057,0.44333,0.47689,0.51065,0.54581
86,0.04113,0.05692,0.06524,0.07447,0.0849,0.09695,0.11063,0.12597,0.14298,0.16171,0.18216,0.20436,0.22828,0.25083,0.27573,0.29784,0.32221,0.34906,0.37861,0.41057,0.44333,0.47689,0.51065,0.54581,0.58177
87,0.04762,0.06516,0.07437,0.08455,0.0955,0.10818,0.12258,0.13875,0.15671,0.17649,0.19812,0.22167,0.24716,0.27466,0.29784,0.32221,0.34906,0.37861,0.41057,0.4429,0.47643,0.51065,0.54581,0.58177,0.61633
88,0.05878,0.07428,0.08442,0.09534,0.10699,0.12027,0.13539,0.15237,0.17125,0.19206,0.21486,0.23971,0.26664,0.29115,0.31649,0.34349,0.37213,0.40244,0.43439,0.468,0.50326,0.54017,0.57874,0.61633,0.64985
89,0.07156,0.08433,0.09521,0.10683,0.11944,0.13329,0.14908,0.16687,0.18667,0.20853,0.2325,0.25866,0.28347,0.30833,0.33492,0.36325,0.39333,0.42514,0.45869,0.49399,0.53102,0.56978,0.61028,0.64985,0.68037
90,0.08426,0.09512,0.10671,0.11927,0.13281,0.14723,0.1637,0.18228,0.20301,0.22592,0.2511,0.27601,0.30021,0.32624,0.35409,0.38379,0.41531,0.44866,0.48385,0.52086,0.55971,0.60037,0.64288,0.68037,0.72339
91,0.09505,0.10662,0.11915,0.13265,0.147,0.16212,0.17926,0.19864,0.22029,0.24428,0.26904,0.2924,0.31768,0.34488,0.37402,0.40508,0.43808,0.473,0.50985,0.54863,0.58932,0.63195,0.67651,0.72299,0.76341
92,0.10655,0.11906,0.13253,0.14684,0.16189,0.17798,0.19578,0.21594,0.23853,0.26286,0.28517,0.3095,0.33586,0.36426,0.39469,0.42715,0.46164,0.49816,0.5367,0.57727,0.61988,0.66451,0.71118,0.75987,0.80493
93,0.119,0.13245,0.14673,0.16173,0.17775,0.19482,0.21327,0.23422,0.2578,0.27884,0.30202,0.32733,0.35478,0.38438,0.41611,0.44998,0.48599,0.52413,0.5644,0.60682,0.65137,0.69806,0.74688,0.79784,0.85044
94,0.13239,0.14665,0.16162,0.1776,0.1946,0.21267,0.23174,0.25421,0.27375,0.29555,0.31958,0.34588,0.37443,0.40523,0.43828,0.47357,0.51112,0.55091,0.59295,0.63725,0.68379,0.73258,0.78362,0.8369,0.89244
95,0.14659,0.16155,0.1775,0.19445,0.21245,0.23141,0.25247,0.27027,0.29044,0.31297,0.33788,0.36516,0.3948,0.42681,0.46119,0.49794,0.53704,0.57852,0.62236,0.66857,0.71715,0.76809,0.82139,0.87707,0.93511
