Table Name:,"2001 CSO Super Preferred Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,0.00022,0.00023,0.00024,0.00025,0.00026,0.00027,0.00027,0.00029,0.0003,0.00031,0.00032,0.00035,0.00037,0.00038,0.00039
7,,,,,,,,,,0.00022,0.00023,0.00023,0.00025,0.00026,0.00026,0.00027,0.00028,0.0003,0.00031,0.00032,0.00035,0.00037,0.00038,0.00039,0.00042
8,,,,,,,,,0.00021,0.00023,0.00023,0.00024,0.00026,0.00026,0.00027,0.00028,0.0003,0.00031,0.00032,0.00035,0.00037,0.00038,0.00039,0.00042,0.00044
9,,,,,,,,0.00021,0.00022,0.00023,0.00024,0.00025,0.00026,0.00027,0.00028,0.00029,0.00031,0.00032,0.00034,0.00037,0.00038,0.00039,0.00042,0.00044,0.00048
10,,,,,,,0.00021,0.00022,0.00022,0.00023,0.00025,0.00025,0.00027,0.00028,0.00029,0.0003,0.00032,0.00034,0.00037,0.00038,0.00039,0.00042,0.00044,0.00047,0.00051
11,,,,,,0.0002,0.00022,0.00022,0.00023,0.00024,0.00025,0.00026,0.00028,0.00029,0.0003,0.00032,0.00034,0.00036,0.00038,0.00039,0.00042,0.00044,0.00047,0.00051,0.00055
12,,,,,0.0002,0.00021,0.00022,0.00022,0.00024,0.00024,0.00026,0.00027,0.00028,0.0003,0.00031,0.00034,0.00036,0.00037,0.00039,0.00042,0.00044,0.00047,0.00051,0.00055,0.00059
13,,,,0.0002,0.00021,0.00021,0.00022,0.00023,0.00024,0.00025,0.00027,0.00028,0.00029,0.00031,0.00033,0.00036,0.00037,0.00039,0.00042,0.00044,0.00047,0.00051,0.00054,0.00059,0.00062
14,,,0.0002,0.00021,0.00021,0.00022,0.00023,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00033,0.00036,0.00037,0.00039,0.00042,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066
15,,0.0002,0.00021,0.00021,0.00021,0.00023,0.00023,0.00024,0.00025,0.00026,0.00028,0.0003,0.00033,0.00035,0.00037,0.00039,0.00042,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066,0.0007
16,0.0002,0.00021,0.00021,0.00021,0.00022,0.00023,0.00023,0.00025,0.00026,0.00027,0.0003,0.00032,0.00035,0.00037,0.00039,0.00042,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066,0.0007,0.00074
17,0.00021,0.00021,0.00021,0.00022,0.00022,0.00023,0.00024,0.00026,0.00027,0.00029,0.00032,0.00034,0.00037,0.00039,0.00042,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066,0.0007,0.00074,0.00079
18,0.00021,0.0002,0.00021,0.00022,0.00022,0.00024,0.00025,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00042,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066,0.0007,0.00074,0.00079,0.00084
19,0.0002,0.00021,0.00021,0.00022,0.00023,0.00024,0.00026,0.00028,0.00031,0.00033,0.00036,0.00038,0.00041,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066,0.0007,0.00074,0.00079,0.00084,0.0009
20,0.0002,0.0002,0.00021,0.00022,0.00023,0.00025,0.00028,0.0003,0.00033,0.00035,0.00038,0.00041,0.00044,0.00047,0.0005,0.00054,0.00058,0.00062,0.00065,0.0007,0.00074,0.00079,0.00084,0.0009,0.00098
21,0.00019,0.00019,0.00021,0.00022,0.00024,0.00027,0.00029,0.00032,0.00034,0.00037,0.0004,0.00043,0.00047,0.0005,0.00053,0.00058,0.00061,0.00065,0.00069,0.00074,0.00079,0.00084,0.0009,0.00098,0.00107
22,0.00018,0.0002,0.00021,0.00023,0.00025,0.00028,0.00031,0.00034,0.00036,0.0004,0.00043,0.00046,0.00049,0.00053,0.00057,0.00061,0.00064,0.00069,0.00074,0.00079,0.00084,0.0009,0.00098,0.00107,0.00117
23,0.00018,0.00019,0.00022,0.00024,0.00027,0.0003,0.00032,0.00035,0.00039,0.00042,0.00045,0.00049,0.00052,0.00056,0.0006,0.00064,0.00068,0.00073,0.00079,0.00084,0.0009,0.00098,0.00107,0.00117,0.0013
24,0.00017,0.0002,0.00022,0.00025,0.00028,0.00031,0.00034,0.00037,0.00041,0.00044,0.00048,0.00051,0.00055,0.00059,0.00063,0.00068,0.00073,0.00078,0.00084,0.0009,0.00098,0.00107,0.00117,0.0013,0.00145
25,0.00018,0.0002,0.00023,0.00027,0.00029,0.00033,0.00036,0.00039,0.00043,0.00047,0.0005,0.00054,0.00058,0.00062,0.00066,0.00072,0.00078,0.00083,0.0009,0.00097,0.00107,0.00117,0.0013,0.00145,0.00161
26,0.00018,0.00021,0.00024,0.00028,0.00031,0.00034,0.00038,0.00041,0.00045,0.00049,0.00052,0.00057,0.00061,0.00065,0.00071,0.00076,0.00082,0.00089,0.00097,0.00107,0.00117,0.0013,0.00145,0.00161,0.0018
27,0.0002,0.00022,0.00025,0.00029,0.00032,0.00036,0.0004,0.00043,0.00047,0.00051,0.00055,0.00059,0.00064,0.0007,0.00075,0.00082,0.00088,0.00097,0.00107,0.00117,0.0013,0.00145,0.00161,0.0018,0.00202
28,0.00021,0.00024,0.00027,0.0003,0.00034,0.00038,0.00041,0.00045,0.00049,0.00053,0.00058,0.00062,0.00068,0.00074,0.0008,0.00088,0.00096,0.00106,0.00117,0.00129,0.00145,0.00161,0.0018,0.00202,0.00227
29,0.00022,0.00025,0.00028,0.00032,0.00035,0.00039,0.00043,0.00047,0.00051,0.00056,0.00061,0.00066,0.00072,0.00079,0.00086,0.00095,0.00105,0.00116,0.00128,0.00143,0.0016,0.0018,0.00201,0.00227,0.00255
30,0.00024,0.00027,0.0003,0.00034,0.00037,0.00041,0.00045,0.00049,0.00053,0.00059,0.00065,0.00071,0.00077,0.00085,0.00094,0.00104,0.00114,0.00127,0.00141,0.00158,0.00178,0.002,0.00225,0.00254,0.00287
31,0.00025,0.00028,0.00032,0.00035,0.00039,0.00043,0.00048,0.00052,0.00057,0.00063,0.00069,0.00076,0.00083,0.00092,0.00103,0.00113,0.00125,0.0014,0.00155,0.00175,0.00197,0.00222,0.0025,0.00284,0.00321
32,0.00027,0.0003,0.00033,0.00037,0.00041,0.00046,0.0005,0.00055,0.00061,0.00067,0.00074,0.00082,0.00091,0.00101,0.00112,0.00124,0.00138,0.00153,0.00171,0.00193,0.00217,0.00245,0.0028,0.00316,0.00359
33,0.00028,0.00031,0.00034,0.00039,0.00044,0.00048,0.00053,0.00059,0.00065,0.00073,0.00081,0.0009,0.001,0.00111,0.00123,0.00137,0.00151,0.00169,0.00189,0.00213,0.0024,0.00271,0.0031,0.00351,0.004
34,0.00029,0.00032,0.00036,0.00041,0.00046,0.00051,0.00057,0.00064,0.00071,0.00079,0.00088,0.00099,0.0011,0.00122,0.00135,0.0015,0.00166,0.00186,0.00208,0.00233,0.00264,0.00299,0.00339,0.00385,0.00438
35,0.0003,0.00034,0.00039,0.00043,0.00049,0.00055,0.00062,0.00069,0.00077,0.00087,0.00097,0.00108,0.00121,0.00134,0.00148,0.00164,0.00183,0.00204,0.00228,0.00256,0.00289,0.00327,0.00369,0.00419,0.00478
36,0.00032,0.00036,0.0004,0.00046,0.00053,0.0006,0.00067,0.00075,0.00084,0.00095,0.00106,0.00119,0.00132,0.00147,0.00163,0.00181,0.00201,0.00224,0.0025,0.00281,0.00316,0.00357,0.00403,0.00458,0.00523
37,0.00033,0.00038,0.00043,0.0005,0.00056,0.00064,0.00073,0.00082,0.00092,0.00104,0.00116,0.0013,0.00145,0.00161,0.00179,0.00199,0.0022,0.00246,0.00274,0.00307,0.00345,0.0039,0.00443,0.00503,0.00568
38,0.00035,0.0004,0.00046,0.00053,0.0006,0.00069,0.00079,0.00089,0.00101,0.00113,0.00127,0.00142,0.00159,0.00176,0.00196,0.00217,0.00242,0.00269,0.003,0.00336,0.00377,0.00427,0.00488,0.0055,0.00618
39,0.00037,0.00043,0.0005,0.00057,0.00066,0.00075,0.00085,0.00097,0.0011,0.00123,0.00139,0.00155,0.00174,0.00193,0.00214,0.00238,0.00264,0.00294,0.00328,0.00367,0.00413,0.00476,0.00539,0.00606,0.00676
40,0.0004,0.00047,0.00054,0.00062,0.00072,0.00082,0.00093,0.00106,0.0012,0.00135,0.00152,0.0017,0.0019,0.00211,0.00234,0.0026,0.00289,0.00321,0.00358,0.00401,0.00461,0.00531,0.006,0.0067,0.00736
41,0.00043,0.00051,0.00059,0.00068,0.00078,0.0009,0.00102,0.00115,0.00131,0.00147,0.00165,0.00186,0.00207,0.00231,0.00256,0.00284,0.00315,0.00351,0.00391,0.00448,0.00521,0.00594,0.00668,0.00732,0.00797
42,0.00047,0.00055,0.00065,0.00074,0.00086,0.00098,0.00112,0.00127,0.00143,0.00161,0.0018,0.00203,0.00226,0.00252,0.0028,0.0031,0.00344,0.00383,0.00434,0.00507,0.00587,0.00664,0.0073,0.00793,0.00864
43,0.00052,0.0006,0.00071,0.00082,0.00095,0.00108,0.00122,0.00139,0.00156,0.00176,0.00198,0.00221,0.00247,0.00275,0.00306,0.00338,0.00375,0.00417,0.00489,0.00577,0.0066,0.00728,0.00789,0.0086,0.00935
44,0.00056,0.00066,0.00078,0.0009,0.00104,0.00118,0.00134,0.00152,0.00171,0.00192,0.00216,0.00241,0.00269,0.003,0.00333,0.00368,0.00408,0.00461,0.00557,0.00656,0.00726,0.00789,0.00854,0.00933,0.01012
45,0.00061,0.00072,0.00085,0.00098,0.00114,0.0013,0.00147,0.00166,0.00187,0.0021,0.00235,0.00262,0.00293,0.00326,0.00362,0.004,0.00444,0.00518,0.00632,0.00726,0.00787,0.00854,0.00927,0.0101,0.01102
46,0.00067,0.00079,0.00093,0.00108,0.00124,0.00141,0.00161,0.00181,0.00204,0.00228,0.00255,0.00285,0.00318,0.00353,0.00392,0.00434,0.00482,0.0058,0.00706,0.00785,0.00854,0.00927,0.01008,0.01096,0.01206
47,0.00072,0.00086,0.00101,0.00117,0.00135,0.00153,0.00174,0.00196,0.00221,0.00247,0.00276,0.00309,0.00344,0.00383,0.00425,0.00471,0.00523,0.0064,0.00778,0.00852,0.00924,0.01004,0.01096,0.01202,0.01317
48,0.00077,0.00092,0.00109,0.00126,0.00145,0.00165,0.00187,0.00212,0.00238,0.00266,0.00298,0.00333,0.00372,0.00414,0.00461,0.0051,0.00566,0.00701,0.00846,0.00924,0.01001,0.01092,0.01202,0.01317,0.01441
49,0.00081,0.00098,0.00118,0.00135,0.00155,0.00177,0.002,0.00227,0.00255,0.00286,0.00321,0.00359,0.004,0.00446,0.00497,0.00552,0.00614,0.0077,0.00918,0.01001,0.01092,0.01202,0.01317,0.01441,0.01588
50,0.00085,0.00107,0.00126,0.00145,0.00166,0.00189,0.00214,0.00242,0.00273,0.00306,0.00344,0.00385,0.00431,0.00481,0.00536,0.00597,0.00666,0.00841,0.00995,0.01092,0.01202,0.01317,0.01441,0.01588,0.01741
51,0.0009,0.00117,0.00136,0.00155,0.00177,0.00201,0.00228,0.00257,0.00291,0.00328,0.00368,0.00413,0.00463,0.00519,0.00579,0.00646,0.00722,0.0092,0.0108,0.01201,0.01317,0.01441,0.01588,0.01741,0.01926
52,0.00096,0.00126,0.00146,0.00165,0.00187,0.00213,0.00242,0.00273,0.00309,0.0035,0.00394,0.00443,0.00498,0.00559,0.00626,0.00699,0.00787,0.01014,0.01182,0.01316,0.01441,0.01588,0.01741,0.01926,0.02154
53,0.00101,0.00135,0.00156,0.00175,0.00199,0.00225,0.00256,0.0029,0.00329,0.00372,0.00421,0.00475,0.00536,0.00603,0.00678,0.0076,0.00861,0.01113,0.01292,0.01437,0.01585,0.01741,0.01926,0.02154,0.02406
54,0.00107,0.00143,0.00166,0.00187,0.00211,0.00239,0.00271,0.00308,0.0035,0.00397,0.00451,0.00511,0.00578,0.00653,0.00736,0.00828,0.00946,0.01226,0.01413,0.01581,0.01738,0.01926,0.02154,0.02406,0.02703
55,0.00115,0.00153,0.00178,0.002,0.00225,0.00255,0.00289,0.00328,0.00375,0.00426,0.00485,0.00551,0.00626,0.0071,0.00802,0.00905,0.01053,0.01371,0.01551,0.01734,0.0192,0.02154,0.02406,0.02697,0.03028
56,0.00123,0.00164,0.00192,0.00215,0.00242,0.00273,0.0031,0.00353,0.00403,0.0046,0.00523,0.00597,0.00679,0.00773,0.00876,0.00991,0.01186,0.01525,0.01696,0.0191,0.02142,0.02401,0.02696,0.03013,0.03222
57,0.0013,0.00175,0.00206,0.00231,0.0026,0.00295,0.00334,0.00382,0.00436,0.00498,0.00568,0.00649,0.0074,0.00844,0.00959,0.01088,0.01349,0.01665,0.0187,0.02128,0.02387,0.02681,0.03011,0.03211,0.03271
58,0.00137,0.00186,0.00222,0.00248,0.0028,0.00317,0.00361,0.00413,0.00472,0.00541,0.00618,0.00708,0.00808,0.00923,0.01051,0.01195,0.01538,0.01834,0.02083,0.02372,0.02666,0.02992,0.032,0.03265,0.03402
59,0.00146,0.00198,0.00238,0.00266,0.003,0.00342,0.00391,0.00448,0.00514,0.00589,0.00675,0.00773,0.00885,0.01013,0.01155,0.01315,0.01763,0.02045,0.02319,0.02648,0.02974,0.03177,0.03243,0.03395,0.03634
60,0.00154,0.00209,0.00254,0.00284,0.00322,0.00369,0.00423,0.00486,0.0056,0.00643,0.0074,0.00848,0.00973,0.01114,0.01272,0.01488,0.01997,0.0228,0.0259,0.02946,0.03155,0.03218,0.03368,0.03624,0.03883
61,0.00163,0.00221,0.0027,0.00303,0.00345,0.00397,0.00456,0.00527,0.0061,0.00703,0.00811,0.00933,0.01072,0.01229,0.01405,0.01773,0.02225,0.02546,0.02893,0.03117,0.03199,0.0334,0.03595,0.03857,0.04363
62,0.00175,0.00234,0.00286,0.00322,0.00367,0.00425,0.00492,0.00571,0.00663,0.00769,0.0089,0.01028,0.01183,0.01359,0.01554,0.02126,0.02485,0.02842,0.03064,0.03154,0.03308,0.03561,0.03823,0.0432,0.04823
63,0.0019,0.00262,0.00302,0.0034,0.00391,0.00454,0.00529,0.00618,0.00721,0.00841,0.00978,0.01133,0.01308,0.01502,0.01801,0.02443,0.02776,0.03032,0.03096,0.03247,0.0351,0.03787,0.04278,0.04776,0.05272
64,0.00207,0.00292,0.00319,0.0036,0.00415,0.00484,0.00568,0.00668,0.00785,0.00919,0.01074,0.01249,0.01445,0.01664,0.022,0.02728,0.02943,0.03084,0.03184,0.03433,0.03728,0.04227,0.04727,0.05219,0.06083
65,0.00222,0.00311,0.00338,0.00382,0.00441,0.00518,0.00612,0.00725,0.00857,0.01009,0.01182,0.0138,0.01599,0.0186,0.02641,0.029,0.02975,0.03164,0.03384,0.0367,0.04174,0.04672,0.05182,0.06023,0.07099
66,0.00233,0.00332,0.0036,0.00406,0.00473,0.00558,0.00663,0.0079,0.00939,0.01111,0.01306,0.01527,0.01775,0.02219,0.02889,0.02949,0.03107,0.03368,0.0364,0.04139,0.0463,0.05135,0.05986,0.07055,0.08349
67,0.0025,0.00354,0.00384,0.00436,0.00509,0.00605,0.00723,0.00866,0.01033,0.01227,0.01447,0.01695,0.01973,0.02603,0.02941,0.03085,0.03352,0.03623,0.04121,0.04608,0.05094,0.05955,0.07,0.08326,0.09904
68,0.00274,0.00379,0.00413,0.0047,0.00552,0.0066,0.00793,0.00954,0.01142,0.0136,0.01606,0.01884,0.02194,0.02842,0.03078,0.03326,0.03607,0.04091,0.04589,0.05087,0.0593,0.06989,0.0829,0.09884,0.11815
69,0.003,0.00406,0.00445,0.00511,0.00604,0.00725,0.00876,0.01057,0.01269,0.01511,0.01787,0.02097,0.02441,0.03071,0.03324,0.03593,0.04087,0.04571,0.05068,0.05922,0.06979,0.08277,0.09867,0.11798,0.14124
70,0.0033,0.00437,0.00483,0.00559,0.00665,0.00803,0.00973,0.01176,0.01413,0.01684,0.01991,0.02336,0.02719,0.03322,0.0351,0.04019,0.04562,0.05062,0.05917,0.0697,0.08266,0.09847,0.11772,0.14102,0.16309
71,0.00399,0.00471,0.00527,0.00615,0.00737,0.00894,0.01086,0.01313,0.01578,0.01882,0.02223,0.02604,0.03059,0.03491,0.03868,0.04486,0.05047,0.05909,0.06963,0.08256,0.09834,0.11749,0.14066,0.16268,0.18032
72,0.00469,0.0051,0.00578,0.00681,0.00823,0.01,0.01216,0.01471,0.01767,0.02105,0.02483,0.02904,0.03376,0.03782,0.04409,0.05036,0.059,0.06956,0.08248,0.09822,0.11732,0.14044,0.16229,0.1797,0.19759
73,0.00507,0.00555,0.00637,0.0076,0.00922,0.01124,0.01367,0.01653,0.01982,0.02357,0.02775,0.03263,0.03747,0.04332,0.05025,0.05891,0.06949,0.08242,0.0981,0.11717,0.14023,0.16202,0.17941,0.19709,0.21658
74,0.00549,0.00609,0.0071,0.00853,0.01039,0.01268,0.01541,0.01861,0.02228,0.02643,0.03127,0.03721,0.04308,0.05015,0.05888,0.06945,0.08237,0.09807,0.11709,0.14013,0.16189,0.17924,0.19696,0.21638,0.2377
75,0.00597,0.00675,0.00796,0.00962,0.01174,0.01432,0.01738,0.02093,0.025,0.02979,0.03565,0.04292,0.05009,0.05885,0.06944,0.08233,0.09807,0.11708,0.14005,0.16187,0.17915,0.19685,0.21626,0.23765,0.26111
76,0.00658,0.00755,0.00899,0.0109,0.01329,0.01619,0.01959,0.02352,0.02819,0.03398,0.04112,0.04999,0.0588,0.06944,0.08232,0.09803,0.11702,0.14005,0.16171,0.17915,0.19675,0.21615,0.23754,0.26111,0.28474
77,0.00737,0.00854,0.01022,0.01241,0.0151,0.01832,0.02209,0.02662,0.03223,0.03928,0.04795,0.05876,0.06941,0.08232,0.09797,0.11702,0.13991,0.16171,0.17898,0.19675,0.21615,0.23754,0.261,0.28474,0.30759
78,0.00805,0.00978,0.01171,0.01417,0.01718,0.02075,0.0251,0.03054,0.03734,0.04589,0.05644,0.06938,0.08228,0.09797,0.11691,0.13991,0.16155,0.17897,0.19657,0.21615,0.23753,0.261,0.2846,0.30759,0.3326
79,0.00873,0.0113,0.01348,0.01625,0.01958,0.0237,0.02893,0.03548,0.04375,0.0541,0.06689,0.0822,0.09788,0.11685,0.13972,0.16155,0.1788,0.19656,0.21593,0.23743,0.26099,0.28459,0.30759,0.33234,0.36031
80,0.0097,0.01314,0.0156,0.01866,0.02252,0.02745,0.03374,0.04169,0.05171,0.06424,0.07965,0.09783,0.1168,0.13965,0.16133,0.1788,0.19646,0.21593,0.2373,0.26086,0.28459,0.30759,0.33221,0.35992,0.39085
81,0.01079,0.01535,0.01807,0.02161,0.02623,0.03218,0.03978,0.04942,0.06153,0.07664,0.09514,0.11674,0.13958,0.16133,0.17871,0.19638,0.21593,0.23729,0.26085,0.28459,0.30759,0.33194,0.35973,0.39085,0.42271
82,0.01196,0.01795,0.02112,0.02537,0.03095,0.03815,0.04733,0.05897,0.07356,0.09169,0.11374,0.13951,0.16116,0.17863,0.19637,0.21583,0.23729,0.26084,0.28458,0.30759,0.33169,0.35935,0.39085,0.42271,0.45532
83,0.01378,0.02106,0.025,0.03015,0.03689,0.04561,0.0567,0.07072,0.08818,0.10972,0.13582,0.16116,0.17853,0.19627,0.21573,0.23729,0.26084,0.28446,0.30759,0.33142,0.35897,0.39085,0.42271,0.45532,0.48847
84,0.01641,0.02493,0.02995,0.03618,0.04434,0.05485,0.06823,0.08501,0.10576,0.13118,0.15635,0.17786,0.19618,0.21573,0.23706,0.26083,0.28446,0.30744,0.33129,0.35858,0.39085,0.42271,0.45532,0.48847,0.52219
85,0.02042,0.02987,0.03609,0.04375,0.05362,0.06627,0.08228,0.10221,0.12672,0.15125,0.17227,0.19382,0.21561,0.23705,0.26058,0.28445,0.30744,0.33103,0.35839,0.39085,0.42271,0.45532,0.48847,0.52219,0.55703
86,0.02535,0.03598,0.04366,0.05323,0.06509,0.08022,0.09926,0.12276,0.14633,0.16684,0.18789,0.21079,0.23546,0.26011,0.2843,0.30744,0.33077,0.35801,0.39085,0.42255,0.45516,0.48847,0.52219,0.55703,0.59195
87,0.03168,0.04355,0.05308,0.06485,0.07916,0.09712,0.11954,0.14203,0.16166,0.18212,0.2043,0.22856,0.25465,0.28087,0.30508,0.33061,0.35506,0.38773,0.41939,0.45187,0.48564,0.52034,0.55609,0.59195,0.62562
88,0.04088,0.05299,0.06471,0.07894,0.09622,0.1174,0.13867,0.15722,0.17672,0.19819,0.22155,0.24706,0.27311,0.29783,0.32378,0.35131,0.3803,0.41092,0.44316,0.47702,0.51246,0.54949,0.58808,0.62562,0.65776
89,0.0521,0.06461,0.07882,0.09601,0.11669,0.13667,0.15397,0.17223,0.19271,0.21518,0.23978,0.26541,0.29003,0.31547,0.34256,0.37123,0.40162,0.43372,0.46752,0.50301,0.54017,0.57897,0.61942,0.65776,0.69078
90,0.06455,0.07873,0.09589,0.11652,0.1362,0.1522,0.16918,0.18821,0.20957,0.23315,0.25817,0.28247,0.30711,0.33373,0.3619,0.3919,0.4237,0.4573,0.49269,0.52985,0.56875,0.60939,0.65173,0.69068,0.73205
91,0.07866,0.09581,0.1164,0.13603,0.1519,0.16759,0.18529,0.20515,0.2273,0.25168,0.27545,0.29919,0.32487,0.35254,0.38197,0.4133,0.44655,0.48167,0.51867,0.55753,0.59822,0.64071,0.68497,0.73098,0.77134
92,0.09574,0.11632,0.13591,0.15173,0.16736,0.184,0.20232,0.22302,0.24615,0.26925,0.29191,0.3166,0.3434,0.37207,0.40276,0.43546,0.47015,0.50683,0.54546,0.58605,0.62855,0.67293,0.71917,0.76721,0.81235
93,0.11626,0.13583,0.15163,0.1672,0.18377,0.20143,0.22035,0.24209,0.26421,0.28556,0.30906,0.33478,0.36248,0.39231,0.42427,0.45834,0.49451,0.53276,0.57306,0.61541,0.65974,0.70606,0.75429,0.8044,0.8559
94,0.13578,0.15155,0.1671,0.18362,0.20121,0.21987,0.23996,0.26046,0.28049,0.30258,0.32698,0.35349,0.38226,0.41327,0.44651,0.48196,0.51962,0.55947,0.60146,0.64558,0.69179,0.74006,0.79033,0.84253,0.89658
95,0.1515,0.16703,0.18352,0.20107,0.21965,0.23977,0.25885,0.27696,0.2975,0.32036,0.34545,0.37292,0.40275,0.43493,0.46946,0.50633,0.54549,0.58694,0.63065,0.67658,0.7247,0.77495,0.82727,0.88159,0.93906
96,0.16698,0.18345,0.20097,0.21951,0.23965,0.25885,0.27562,0.29424,0.31529,0.3387,0.36462,0.39304,0.42394,0.45731,0.49314,0.53141,0.5721,0.61518,0.66063,0.7084,0.75844,0.81071,0.8651,0.9245,1
97,0.18341,0.20091,0.21942,0.23958,0.25885,0.27562,0.29319,0.31217,0.33365,0.35776,0.3845,0.41386,0.44583,0.48039,0.51753,0.55723,0.59946,0.6442,0.6914,0.74102,0.79302,0.8473,0.90914,1,
98,0.20087,0.21937,0.23953,0.25885,0.27562,0.29319,0.31144,0.3307,0.35273,0.37752,0.40508,0.43538,0.46842,0.50418,0.54263,0.58377,0.62756,0.67397,0.72295,0.77444,0.8284,0.89326,1,,
