Table Name:,"2001 CSO Residual Standard Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00046,0.00051,0.00055,0.00061,0.00064,0.00069,0.00072,0.00075,0.0008
1,,,,,,,,,,,,,,,,0.00045,0.0005,0.00054,0.0006,0.00064,0.00069,0.00072,0.00075,0.00079,0.00083
2,,,,,,,,,,,,,,,0.00044,0.0005,0.00054,0.0006,0.00062,0.00069,0.00072,0.00075,0.00079,0.00083,0.0009
3,,,,,,,,,,,,,,0.00044,0.00047,0.00052,0.00057,0.00062,0.00066,0.00071,0.00075,0.00079,0.00083,0.0009,0.00096
4,,,,,,,,,,,,,0.00044,0.00047,0.00052,0.00056,0.00061,0.00066,0.00071,0.00075,0.00079,0.00083,0.0009,0.00096,0.00102
5,,,,,,,,,,,,0.00043,0.00046,0.00051,0.00056,0.00061,0.00065,0.00071,0.00075,0.00079,0.00083,0.0009,0.00096,0.00102,0.0011
6,,,,,,,,,,,0.00043,0.00046,0.00051,0.00055,0.0006,0.00065,0.00069,0.00075,0.00079,0.00083,0.00088,0.00095,0.00101,0.00109,0.00112
7,,,,,,,,,,0.00043,0.00045,0.0005,0.00055,0.00059,0.00064,0.00069,0.00073,0.00079,0.00083,0.00088,0.00095,0.00101,0.00109,0.00112,0.00122
8,,,,,,,,,0.00042,0.00045,0.0005,0.00054,0.00059,0.00063,0.00067,0.00073,0.00077,0.00083,0.00088,0.00095,0.00101,0.00109,0.00112,0.00122,0.00132
9,,,,,,,,0.00042,0.00044,0.00049,0.00054,0.00056,0.00063,0.00066,0.00072,0.00077,0.00083,0.00088,0.00093,0.00101,0.00109,0.00112,0.00122,0.00132,0.00142
10,,,,,,,0.00039,0.00044,0.00047,0.00053,0.00055,0.00061,0.00066,0.00071,0.00075,0.00082,0.00087,0.00093,0.00101,0.00109,0.00112,0.00122,0.00132,0.00142,0.00154
11,,,,,,0.00038,0.00043,0.00047,0.00051,0.00055,0.0006,0.00064,0.00071,0.00074,0.00082,0.00087,0.00092,0.00099,0.00109,0.00112,0.00122,0.00131,0.00141,0.00152,0.00168
12,,,,,0.00038,0.00042,0.00046,0.0005,0.00054,0.00058,0.00063,0.00068,0.00074,0.0008,0.00085,0.00092,0.00099,0.00106,0.00112,0.00122,0.00131,0.00141,0.00152,0.00168,0.00181
13,,,,0.00038,0.00042,0.00044,0.00048,0.00053,0.00056,0.00062,0.00067,0.00072,0.00078,0.00085,0.0009,0.00099,0.00106,0.00112,0.00122,0.00131,0.00141,0.00152,0.00168,0.00181,0.00196
14,,,0.00038,0.00042,0.00043,0.00047,0.00051,0.00055,0.0006,0.00064,0.00071,0.00077,0.00084,0.0009,0.00097,0.00106,0.00112,0.00122,0.00131,0.00141,0.00152,0.00168,0.00181,0.00194,0.00207
15,,0.00038,0.00042,0.00043,0.00047,0.0005,0.00054,0.00056,0.00063,0.00067,0.00075,0.00082,0.00088,0.00095,0.00104,0.00112,0.00122,0.00131,0.00141,0.00152,0.00168,0.0018,0.00193,0.00206,0.00222
16,0.00038,0.00042,0.00043,0.00046,0.00048,0.00053,0.00055,0.00061,0.00066,0.00072,0.00078,0.00086,0.00094,0.00103,0.00112,0.00122,0.00131,0.00141,0.00152,0.00168,0.0018,0.00193,0.00206,0.00222,0.00235
17,0.00042,0.00043,0.00046,0.00047,0.00051,0.00054,0.00059,0.00064,0.00071,0.00077,0.00084,0.00093,0.00102,0.00111,0.00122,0.00131,0.00141,0.00152,0.00168,0.0018,0.00193,0.00206,0.00222,0.00235,0.00251
18,0.00042,0.00045,0.00046,0.00049,0.00053,0.00056,0.00062,0.00069,0.00076,0.00082,0.00091,0.00101,0.0011,0.00121,0.00131,0.00141,0.00152,0.00168,0.0018,0.00193,0.00206,0.00222,0.00235,0.00251,0.00271
19,0.00043,0.00045,0.00047,0.00052,0.00055,0.00059,0.00066,0.00073,0.00081,0.00087,0.00098,0.00108,0.0012,0.00131,0.00141,0.00152,0.00168,0.0018,0.00193,0.00206,0.00222,0.00235,0.00251,0.00271,0.00293
20,0.00042,0.00044,0.00048,0.00053,0.00057,0.00065,0.00072,0.00077,0.00086,0.00095,0.00106,0.00118,0.00131,0.00141,0.00152,0.00168,0.0018,0.00193,0.00206,0.00222,0.00235,0.00251,0.00271,0.00293,0.00319
21,0.00039,0.00044,0.00049,0.00054,0.0006,0.00068,0.00076,0.00083,0.00094,0.00103,0.00114,0.00127,0.00138,0.00152,0.00165,0.00178,0.00192,0.00206,0.00221,0.00235,0.00251,0.00271,0.00293,0.00319,0.00349
22,0.00039,0.00044,0.0005,0.00057,0.00065,0.00072,0.0008,0.0009,0.00102,0.00113,0.00125,0.00137,0.00148,0.00163,0.00175,0.0019,0.00204,0.00219,0.00234,0.00251,0.00271,0.00293,0.00319,0.00349,0.00383
23,0.00038,0.00044,0.0005,0.00059,0.00067,0.00076,0.00086,0.00097,0.00108,0.00122,0.00133,0.00147,0.00159,0.00173,0.00186,0.00201,0.00215,0.00233,0.00251,0.00271,0.00293,0.00319,0.00349,0.00383,0.00424
24,0.00037,0.00046,0.00054,0.00061,0.0007,0.00081,0.00091,0.00103,0.00117,0.00129,0.00143,0.00157,0.00169,0.00184,0.002,0.00214,0.00233,0.00251,0.00271,0.00293,0.00319,0.00349,0.00383,0.00424,0.00477
25,0.00037,0.00047,0.00055,0.00065,0.00076,0.00086,0.00099,0.00111,0.00125,0.00137,0.00152,0.00163,0.00177,0.00193,0.00207,0.00233,0.00251,0.00265,0.00292,0.00318,0.00348,0.00383,0.00424,0.00477,0.00536
26,0.00038,0.00047,0.00058,0.00068,0.00079,0.00091,0.00106,0.00117,0.0013,0.00146,0.00159,0.00171,0.00188,0.00204,0.0022,0.0024,0.00264,0.00288,0.00318,0.00348,0.00383,0.00424,0.00477,0.00536,0.00599
27,0.0004,0.0005,0.00061,0.00071,0.00085,0.00098,0.00109,0.00122,0.00138,0.00151,0.00166,0.00181,0.00198,0.00217,0.00236,0.00259,0.00286,0.00315,0.00348,0.00383,0.00424,0.00477,0.00536,0.00599,0.00668
28,0.00043,0.00053,0.00064,0.00077,0.00089,0.00101,0.00115,0.00129,0.00144,0.00158,0.00175,0.00192,0.00211,0.0023,0.00254,0.00283,0.00311,0.00346,0.00383,0.00424,0.00477,0.00536,0.00599,0.00668,0.00742
29,0.00046,0.00059,0.00069,0.00081,0.00094,0.00107,0.0012,0.00136,0.0015,0.00167,0.00183,0.00203,0.00225,0.00248,0.00277,0.00307,0.00345,0.00383,0.00424,0.00477,0.00536,0.00599,0.00668,0.00742,0.00822
30,0.00051,0.00062,0.00072,0.00086,0.00098,0.00112,0.00125,0.0014,0.00157,0.00175,0.00194,0.00217,0.00241,0.0027,0.00303,0.00338,0.00383,0.00424,0.00477,0.00536,0.00599,0.00668,0.00742,0.00822,0.00906
31,0.00056,0.00066,0.00079,0.0009,0.00104,0.00118,0.00132,0.00149,0.00165,0.00186,0.00208,0.00233,0.00265,0.00297,0.00335,0.00379,0.00424,0.00477,0.00536,0.00599,0.00668,0.00742,0.00822,0.00906,0.00996
32,0.0006,0.00071,0.00082,0.00096,0.00107,0.00124,0.00141,0.00156,0.00179,0.00202,0.00228,0.00258,0.0029,0.00328,0.00373,0.00421,0.00477,0.00536,0.00599,0.00668,0.00742,0.00822,0.00906,0.00996,0.0109
33,0.00064,0.00074,0.00086,0.00099,0.00116,0.00133,0.0015,0.00171,0.00193,0.00221,0.00252,0.00285,0.00324,0.00366,0.00417,0.00471,0.00532,0.00599,0.00668,0.00742,0.00822,0.00906,0.00996,0.0109,0.01191
34,0.00065,0.00076,0.0009,0.00106,0.00123,0.00141,0.00162,0.00187,0.00213,0.00244,0.00278,0.00318,0.00363,0.00411,0.00465,0.00527,0.00595,0.00668,0.00742,0.00822,0.00906,0.00996,0.0109,0.01191,0.01287
35,0.00066,0.0008,0.00095,0.00113,0.0013,0.00154,0.00178,0.00206,0.00238,0.00272,0.00311,0.00356,0.00406,0.0046,0.00521,0.00591,0.00667,0.00742,0.00822,0.00906,0.00996,0.0109,0.01191,0.01287,0.01395
36,0.00069,0.00085,0.001,0.0012,0.00141,0.00167,0.00196,0.00228,0.00262,0.00302,0.00346,0.00395,0.00451,0.00509,0.00578,0.00653,0.00735,0.00822,0.00906,0.00996,0.0109,0.01191,0.01287,0.01395,0.0151
37,0.00073,0.00089,0.00107,0.00129,0.00155,0.00184,0.00216,0.00252,0.00291,0.00337,0.00386,0.0044,0.00498,0.00565,0.00638,0.00719,0.00807,0.00906,0.00996,0.0109,0.01191,0.01287,0.01395,0.0151,0.0163
38,0.00078,0.00095,0.00116,0.00141,0.0017,0.00203,0.00238,0.00279,0.00325,0.00373,0.00426,0.00486,0.00552,0.00623,0.00701,0.0079,0.00883,0.00985,0.0109,0.01191,0.01287,0.01395,0.0151,0.0163,0.01766
39,0.00084,0.00104,0.00128,0.00157,0.00188,0.00224,0.00265,0.0031,0.00358,0.00414,0.00473,0.00538,0.00609,0.00687,0.00771,0.00865,0.00965,0.01073,0.01189,0.01287,0.01395,0.0151,0.0163,0.01766,0.01901
40,0.00093,0.00115,0.00143,0.00174,0.00209,0.00249,0.00294,0.00344,0.00398,0.00457,0.00521,0.00593,0.0067,0.00755,0.00846,0.00946,0.01054,0.01169,0.01287,0.01395,0.0151,0.0163,0.01766,0.01901,0.02043
41,0.00104,0.0013,0.00161,0.00195,0.00233,0.00278,0.00325,0.0038,0.0044,0.00507,0.00577,0.00654,0.00738,0.00829,0.00929,0.01035,0.0115,0.0127,0.01395,0.0151,0.0163,0.01766,0.01901,0.02043,0.02199
42,0.00116,0.00147,0.00182,0.00221,0.00264,0.00311,0.00365,0.00424,0.00488,0.00559,0.00635,0.0072,0.00811,0.00909,0.01016,0.0113,0.0125,0.01378,0.0151,0.0163,0.01766,0.01901,0.02043,0.02199,0.02365
43,0.00132,0.00166,0.00205,0.00249,0.00298,0.00351,0.00409,0.00474,0.00542,0.00618,0.00702,0.00792,0.0089,0.00996,0.01111,0.01232,0.01361,0.01497,0.0163,0.01766,0.01901,0.02043,0.02199,0.02365,0.02551
44,0.00149,0.00188,0.00233,0.00283,0.00336,0.00394,0.00457,0.00526,0.00602,0.00684,0.00774,0.00869,0.00975,0.0109,0.01212,0.01342,0.01477,0.01621,0.01766,0.01901,0.02043,0.02199,0.02365,0.02551,0.02755
45,0.00168,0.00214,0.00264,0.00319,0.00378,0.00443,0.00511,0.00587,0.00668,0.00756,0.0085,0.00955,0.01067,0.01189,0.01317,0.01456,0.01602,0.01755,0.01901,0.02043,0.02199,0.02365,0.02551,0.02755,0.02977
46,0.00187,0.00239,0.00297,0.00355,0.00421,0.00491,0.00567,0.00647,0.00735,0.00829,0.00931,0.01042,0.01162,0.0129,0.0143,0.01575,0.0173,0.01893,0.02043,0.02199,0.02365,0.02551,0.02755,0.02977,0.03224
47,0.00209,0.00266,0.00328,0.00394,0.00468,0.00544,0.00624,0.00711,0.00806,0.00908,0.01015,0.01134,0.0126,0.01398,0.01546,0.017,0.01866,0.02039,0.02199,0.02365,0.02551,0.02755,0.02977,0.03224,0.03507
48,0.00232,0.00296,0.00363,0.00437,0.00511,0.00594,0.00681,0.00776,0.00877,0.00986,0.01103,0.01228,0.01364,0.01511,0.01668,0.01836,0.02009,0.02195,0.02365,0.02551,0.02755,0.02977,0.03224,0.03507,0.03817
49,0.00245,0.00314,0.00398,0.00476,0.00558,0.00646,0.00738,0.00839,0.00949,0.01065,0.0119,0.01326,0.01471,0.01629,0.01799,0.01977,0.02165,0.02365,0.02551,0.02752,0.02967,0.03223,0.03507,0.03816,0.04148
50,0.00259,0.00348,0.00433,0.00514,0.006,0.00693,0.00793,0.00901,0.01017,0.01144,0.01279,0.01426,0.01583,0.01752,0.01937,0.02128,0.02333,0.0255,0.0275,0.02947,0.03206,0.0349,0.03798,0.04132,0.04492
51,0.00276,0.00391,0.00473,0.00555,0.00647,0.00743,0.00851,0.00965,0.0109,0.01224,0.0137,0.01529,0.017,0.01884,0.02083,0.02293,0.02514,0.02749,0.02925,0.03184,0.03466,0.03774,0.04103,0.04463,0.04847
52,0.00293,0.00436,0.00516,0.00598,0.0069,0.00792,0.00903,0.01026,0.01162,0.01309,0.01466,0.01636,0.01823,0.02023,0.0224,0.02469,0.02713,0.02903,0.0316,0.03446,0.03753,0.04079,0.04435,0.04817,0.05228
53,0.00314,0.00472,0.00559,0.00642,0.00736,0.00843,0.00959,0.0109,0.01235,0.01395,0.01566,0.01753,0.01956,0.02175,0.02413,0.02665,0.02879,0.03138,0.03421,0.0373,0.04062,0.04409,0.04789,0.05197,0.05684
54,0.00335,0.00509,0.00606,0.00688,0.00784,0.00895,0.01022,0.0116,0.01315,0.01486,0.01674,0.01881,0.02103,0.02347,0.02607,0.02852,0.03114,0.03397,0.03709,0.04044,0.04397,0.04765,0.05173,0.05683,0.06118
55,0.00355,0.0055,0.00657,0.00739,0.00841,0.00955,0.01089,0.01236,0.01404,0.01592,0.01797,0.02024,0.0227,0.02536,0.02826,0.03086,0.03372,0.03685,0.04024,0.04386,0.04761,0.05172,0.05681,0.06114,0.06602
56,0.00386,0.00581,0.007,0.00786,0.00889,0.0101,0.0115,0.01309,0.01492,0.01693,0.01918,0.02166,0.02437,0.02736,0.03058,0.03345,0.03662,0.04004,0.04371,0.04756,0.05172,0.05679,0.0611,0.06602,0.0711
57,0.00402,0.00613,0.00747,0.00835,0.00946,0.01074,0.01225,0.01397,0.01592,0.01811,0.02055,0.02329,0.02629,0.02957,0.03315,0.03632,0.03979,0.04355,0.04751,0.05171,0.05677,0.06106,0.06602,0.0711,0.07815
58,0.00411,0.00648,0.00794,0.00889,0.01008,0.01148,0.01309,0.01498,0.0171,0.01949,0.02214,0.02512,0.02842,0.03205,0.03602,0.03951,0.04334,0.04739,0.0517,0.05675,0.06102,0.06601,0.07109,0.07804,0.08511
59,0.00436,0.00677,0.00843,0.00948,0.01074,0.01228,0.01405,0.0161,0.01841,0.02105,0.02399,0.02725,0.03087,0.03483,0.03921,0.04308,0.04724,0.05169,0.05672,0.06097,0.06601,0.07109,0.07793,0.08491,0.0928
60,0.00454,0.00705,0.0089,0.01002,0.01142,0.01311,0.01508,0.01734,0.01991,0.02282,0.02604,0.02963,0.03362,0.03799,0.04279,0.04708,0.05165,0.05666,0.06093,0.066,0.07108,0.07782,0.08469,0.09258,0.09972
61,0.00468,0.00735,0.00934,0.01056,0.0121,0.01397,0.01614,0.01864,0.02152,0.02477,0.02834,0.03233,0.0367,0.04155,0.04682,0.05154,0.0566,0.06088,0.06599,0.07107,0.07771,0.08447,0.09236,0.09939,0.1064
62,0.00496,0.00763,0.00977,0.01107,0.01274,0.01481,0.01722,0.02002,0.02325,0.02686,0.03087,0.03529,0.04019,0.04555,0.05138,0.05655,0.06085,0.06598,0.07105,0.07759,0.08426,0.09214,0.09907,0.10608,0.11328
63,0.0054,0.00792,0.01015,0.01154,0.01334,0.01561,0.01831,0.02146,0.02506,0.02915,0.03364,0.0386,0.04406,0.05,0.05644,0.06074,0.06596,0.07103,0.07747,0.08403,0.0919,0.09873,0.10573,0.11293,0.12054
64,0.00587,0.00965,0.01057,0.012,0.01396,0.01644,0.01945,0.02298,0.02703,0.0316,0.03664,0.04221,0.0483,0.05492,0.06053,0.06588,0.07101,0.07734,0.0838,0.09167,0.09838,0.10538,0.11256,0.12016,0.12886
65,0.00645,0.01007,0.01097,0.01248,0.01461,0.01734,0.02066,0.0246,0.02914,0.03432,0.03995,0.04618,0.05296,0.06031,0.06566,0.07099,0.0773,0.08356,0.09142,0.09803,0.10502,0.11219,0.11977,0.12845,0.13671
66,0.00667,0.01057,0.01144,0.013,0.01528,0.01824,0.02188,0.0262,0.03121,0.03685,0.0431,0.04993,0.05736,0.06542,0.07097,0.07721,0.08333,0.09119,0.09769,0.10466,0.11182,0.11939,0.12805,0.13628,0.14462
67,0.00682,0.01111,0.01194,0.01361,0.01607,0.01931,0.02331,0.02804,0.0335,0.03966,0.04651,0.05398,0.06213,0.07089,0.07694,0.08318,0.09097,0.09737,0.10434,0.11149,0.11905,0.12771,0.13594,0.14426,0.15278
68,0.00748,0.01167,0.01257,0.01438,0.01705,0.02059,0.02496,0.03013,0.03609,0.04278,0.05024,0.0584,0.06726,0.07672,0.08295,0.09023,0.09705,0.10421,0.11117,0.11873,0.12739,0.13561,0.14393,0.15245,0.16206
69,0.00819,0.01227,0.0133,0.0153,0.01826,0.02212,0.02689,0.0325,0.03896,0.04621,0.05432,0.06312,0.07272,0.08265,0.08914,0.09617,0.10349,0.11104,0.1184,0.12705,0.13526,0.14357,0.15207,0.16134,0.16991
70,0.00893,0.01294,0.01414,0.01637,0.01966,0.02392,0.02913,0.03523,0.04222,0.05001,0.05872,0.06825,0.07845,0.08796,0.09489,0.10216,0.10975,0.11757,0.12569,0.13399,0.14273,0.15161,0.16056,0.16917,0.17763
71,0.00984,0.01368,0.01512,0.01767,0.02135,0.02603,0.0317,0.0383,0.04579,0.0541,0.06345,0.07365,0.08459,0.09351,0.10066,0.10819,0.11604,0.12403,0.13237,0.14086,0.15016,0.15973,0.16836,0.17682,0.19124
72,0.01356,0.01447,0.01625,0.01918,0.02329,0.02843,0.03461,0.04175,0.04974,0.05855,0.06855,0.07935,0.09089,0.09907,0.10345,0.11425,0.12225,0.13054,0.13897,0.14753,0.15739,0.16754,0.17615,0.18961,0.20654
73,0.01435,0.0154,0.01755,0.02095,0.02552,0.03118,0.03787,0.04548,0.05399,0.06328,0.07391,0.08532,0.09724,0.10297,0.10612,0.12019,0.12841,0.13675,0.14535,0.15403,0.16458,0.17538,0.18803,0.20381,0.22531
74,0.01521,0.01651,0.01914,0.02302,0.0281,0.03429,0.04148,0.04963,0.05861,0.06832,0.07951,0.09138,0.10257,0.10507,0.11778,0.12608,0.13434,0.14286,0.15159,0.16036,0.17157,0.1867,0.20144,0.22286,0.24346
75,0.01611,0.01789,0.02102,0.02543,0.03104,0.03773,0.04543,0.05405,0.06345,0.07358,0.08519,0.09737,0.10404,0.11537,0.11884,0.13308,0.14195,0.15085,0.15981,0.17081,0.18177,0.19934,0.21865,0.23991,0.26329
76,0.0175,0.01983,0.02358,0.02864,0.03491,0.04236,0.05081,0.06017,0.07037,0.08118,0.0934,0.10307,0.11323,0.11841,0.13185,0.141,0.15017,0.15936,0.17033,0.18138,0.19838,0.21741,0.23835,0.26138,0.28671
77,0.01936,0.02229,0.02667,0.03243,0.03945,0.0476,0.05681,0.06696,0.07786,0.08924,0.10215,0.11101,0.11797,0.13065,0.14015,0.14951,0.15892,0.16985,0.18118,0.1978,0.21658,0.23722,0.26014,0.28512,0.30714
78,0.02181,0.02538,0.03041,0.03683,0.04459,0.05351,0.06347,0.07431,0.08578,0.09783,0.10891,0.11761,0.12943,0.13919,0.14886,0.15848,0.16924,0.18097,0.1974,0.21575,0.23652,0.25914,0.28377,0.30579,0.32931
79,0.02274,0.02919,0.03491,0.042,0.05046,0.06013,0.07074,0.08222,0.0943,0.10681,0.1172,0.12821,0.13834,0.14821,0.15804,0.16876,0.18062,0.19701,0.21512,0.23542,0.25838,0.28294,0.30498,0.32812,0.35314
80,0.02404,0.03388,0.0402,0.04796,0.05709,0.06745,0.07861,0.0906,0.10318,0.11613,0.12702,0.1375,0.14768,0.15748,0.1683,0.18042,0.19644,0.21429,0.2343,0.25672,0.28239,0.30417,0.32753,0.35281,0.37941
81,0.02671,0.03951,0.04641,0.05481,0.0645,0.07535,0.08704,0.09951,0.11252,0.12585,0.13662,0.14701,0.15704,0.16768,0.18005,0.19602,0.21346,0.23317,0.25503,0.28008,0.3039,0.32724,0.35249,0.37941,0.41132
82,0.02988,0.04613,0.05356,0.06245,0.07263,0.08388,0.09599,0.10884,0.12208,0.13569,0.14631,0.15659,0.1672,0.17983,0.19542,0.21279,0.2318,0.2533,0.27767,0.30094,0.32665,0.35217,0.37941,0.41132,0.44403
83,0.03302,0.05229,0.06163,0.07089,0.08139,0.09306,0.10538,0.11844,0.13199,0.14575,0.15611,0.16673,0.17962,0.19501,0.21195,0.23065,0.25181,0.2763,0.29932,0.32428,0.35184,0.37941,0.41132,0.44403,0.47753
84,0.03801,0.06083,0.07058,0.08005,0.09084,0.10267,0.11517,0.12838,0.14192,0.15573,0.16611,0.17928,0.19463,0.21134,0.22958,0.25133,0.27627,0.29932,0.32369,0.35055,0.37941,0.41132,0.44403,0.47753,0.51124
85,0.04525,0.07029,0.07873,0.08994,0.1008,0.11272,0.12526,0.13837,0.15201,0.16562,0.17904,0.19411,0.21055,0.22874,0.25133,0.27627,0.29932,0.32369,0.35055,0.37941,0.41132,0.44403,0.47753,0.51124,0.54635
86,0.05825,0.07739,0.08905,0.1004,0.11123,0.12477,0.13556,0.14855,0.16193,0.17886,0.19365,0.20984,0.22874,0.25133,0.27627,0.29932,0.32369,0.35055,0.37941,0.41132,0.44403,0.47753,0.51124,0.54635,0.58226
87,0.06349,0.08816,0.09998,0.11103,0.12436,0.13509,0.14577,0.15852,0.17491,0.19326,0.20916,0.2264,0.24764,0.2752,0.29932,0.32369,0.35055,0.37941,0.41132,0.4436,0.47707,0.51124,0.54635,0.58226,0.61678
88,0.07865,0.09963,0.11079,0.1239,0.13464,0.14536,0.15589,0.17145,0.18909,0.20819,0.22505,0.2435,0.26717,0.29262,0.31796,0.34497,0.37293,0.40319,0.43509,0.46864,0.50385,0.54071,0.57923,0.61678,0.65025
89,0.09567,0.11063,0.12346,0.13422,0.14503,0.15554,0.16909,0.18576,0.20389,0.22372,0.24159,0.26157,0.28492,0.31006,0.33638,0.36405,0.39408,0.42584,0.45933,0.49458,0.53156,0.57027,0.61073,0.65025,0.68072
90,0.11041,0.12293,0.13383,0.14459,0.15521,0.16871,0.18342,0.20059,0.21931,0.23973,0.25891,0.27844,0.30766,0.32768,0.35489,0.38454,0.41601,0.4493,0.48444,0.5214,0.5602,0.60082,0.64328,0.68072,0.72369
91,0.12251,0.13348,0.14429,0.15487,0.1683,0.18296,0.19984,0.21583,0.23514,0.25653,0.27576,0.29993,0.32203,0.34568,0.37477,0.40578,0.43872,0.47359,0.51039,0.54912,0.58977,0.63235,0.67686,0.72329,0.76366
92,0.13311,0.144,0.15465,0.16804,0.18249,0.19917,0.21513,0.23177,0.25146,0.27319,0.29278,0.31404,0.33666,0.36501,0.39539,0.42779,0.46223,0.4987,0.53719,0.57772,0.62028,0.66486,0.71148,0.76012,0.80512
93,0.14371,0.15433,0.16766,0.18205,0.19848,0.21432,0.23069,0.248,0.26861,0.28654,0.30646,0.32813,0.35553,0.38508,0.41675,0.45057,0.48653,0.52462,0.56485,0.60722,0.65172,0.69836,0.74713,0.79803,0.85059
94,0.15403,0.16744,0.18164,0.19784,0.21358,0.2299,0.2469,0.26577,0.28181,0.2999,0.32038,0.34663,0.37513,0.40587,0.43887,0.47411,0.51161,0.55136,0.59335,0.6376,0.68409,0.73283,0.78381,0.83705,0.89254
95,0.16711,0.18125,0.19723,0.21306,0.22929,0.24596,0.26485,0.27871,0.29526,0.31377,0.33863,0.36586,0.39544,0.4274,0.46173,0.49843,0.53749,0.57892,0.62271,0.66887,0.7174,0.76828,0.82154,0.87717,0.93516
96,0.18088,0.19632,0.21241,0.22854,0.24509,0.26418,0.27792,0.29212,0.30867,0.33189,0.3576,0.3858,0.41649,0.44967,0.48534,0.5235,0.56415,0.60729,0.65292,0.70104,0.75163,0.80473,0.86031,0.91838,1
97,0.19509,0.21123,0.22783,0.24428,0.26328,0.2772,0.29118,0.30546,0.32679,0.35074,0.37729,0.40647,0.43826,0.47267,0.5097,0.54935,0.59161,0.63649,0.68398,0.73408,0.78681,0.84215,0.90011,1,
98,0.2097,0.22635,0.2435,0.26238,0.27647,0.29066,0.30459,0.32375,0.34566,0.3703,0.39771,0.42786,0.46076,0.49641,0.53481,0.57596,0.61985,0.6665,0.71588,0.76802,0.82292,0.88056,1,,
