Table Name:,"2001 VBT Preferred Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.00021,0.00022,0.00023,0.00025,0.00025,0.00026,0.00027,0.00027,0.00027,0.00027,0.00029
3,,,,,,,,,,,,,,0.00021,0.00022,0.00022,0.00024,0.00025,0.00025,0.00026,0.00027,0.00027,0.00027,0.00029,0.00031
4,,,,,,,,,,,,,0.0002,0.00022,0.00022,0.00023,0.00024,0.00025,0.00026,0.00026,0.00027,0.00027,0.00029,0.00031,0.00033
5,,,,,,,,,,,,0.0002,0.00021,0.00022,0.00023,0.00024,0.00025,0.00026,0.00026,0.00027,0.00027,0.00029,0.00031,0.00032,0.00034
6,,,,,,,,,,,0.0002,0.00021,0.00022,0.00022,0.00023,0.00025,0.00025,0.00026,0.00027,0.00027,0.00029,0.00031,0.00032,0.00033,0.00035
7,,,,,,,,,,0.0002,0.0002,0.00021,0.00022,0.00023,0.00024,0.00025,0.00025,0.00027,0.00027,0.00029,0.00031,0.00032,0.00033,0.00035,0.00037
8,,,,,,,,,0.00019,0.0002,0.00021,0.00022,0.00023,0.00023,0.00025,0.00025,0.00026,0.00027,0.00028,0.00031,0.00032,0.00033,0.00035,0.00037,0.00039
9,,,,,,,,0.00019,0.0002,0.0002,0.00022,0.00022,0.00023,0.00024,0.00025,0.00026,0.00027,0.00028,0.0003,0.00032,0.00033,0.00035,0.00037,0.00039,0.00042
10,,,,,,,0.00018,0.0002,0.0002,0.00021,0.00022,0.00022,0.00024,0.00025,0.00026,0.00027,0.00028,0.0003,0.00032,0.00033,0.00035,0.00037,0.00039,0.00042,0.00046
11,,,,,,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00023,0.00025,0.00025,0.00027,0.00028,0.0003,0.00031,0.00033,0.00035,0.00037,0.00039,0.00041,0.00045,0.00049
12,,,,,0.00018,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00024,0.00025,0.00026,0.00027,0.0003,0.00031,0.00033,0.00035,0.00037,0.00039,0.00041,0.00045,0.00049,0.00053
13,,,,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00033,0.00035,0.00037,0.00039,0.00041,0.00045,0.00049,0.00052,0.00056
14,,,0.00018,0.00018,0.00018,0.00018,0.0002,0.0002,0.00021,0.00022,0.00023,0.00025,0.00027,0.00028,0.00031,0.00033,0.00035,0.00037,0.00039,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059
15,,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00024,0.00026,0.00028,0.0003,0.00033,0.00035,0.00037,0.00039,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059,0.00062
16,0.00018,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.00022,0.00023,0.00025,0.00027,0.0003,0.00032,0.00035,0.00037,0.00039,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059,0.00062,0.00066
17,0.00018,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00024,0.00027,0.00029,0.00032,0.00034,0.00037,0.00039,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059,0.00062,0.00066,0.0007
18,0.00017,0.00017,0.00017,0.00018,0.00018,0.00019,0.0002,0.00022,0.00024,0.00026,0.00028,0.00031,0.00034,0.00037,0.00039,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059,0.00062,0.00066,0.0007,0.00075
19,0.00016,0.00016,0.00017,0.00018,0.00018,0.00019,0.00021,0.00023,0.00025,0.00028,0.0003,0.00033,0.00036,0.00039,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059,0.00062,0.00066,0.0007,0.00075,0.00081
20,0.00014,0.00015,0.00016,0.00017,0.00018,0.0002,0.00022,0.00024,0.00027,0.00029,0.00033,0.00035,0.00039,0.00041,0.00044,0.00049,0.00051,0.00055,0.00058,0.00062,0.00066,0.0007,0.00075,0.00081,0.00089
21,0.00013,0.00014,0.00015,0.00017,0.00018,0.00021,0.00023,0.00026,0.00028,0.00031,0.00035,0.00037,0.00041,0.00044,0.00047,0.00051,0.00054,0.00058,0.00062,0.00066,0.0007,0.00075,0.00081,0.00089,0.00098
22,0.00012,0.00013,0.00015,0.00017,0.00019,0.00022,0.00024,0.00028,0.0003,0.00033,0.00037,0.0004,0.00043,0.00047,0.0005,0.00054,0.00057,0.00061,0.00066,0.0007,0.00075,0.00081,0.00089,0.00098,0.00109
23,0.00011,0.00013,0.00015,0.00017,0.0002,0.00022,0.00026,0.00029,0.00033,0.00035,0.00039,0.00042,0.00046,0.00049,0.00052,0.00056,0.0006,0.00065,0.0007,0.00075,0.00081,0.00089,0.00098,0.00109,0.00123
24,0.0001,0.00013,0.00015,0.00018,0.0002,0.00024,0.00027,0.0003,0.00034,0.00037,0.00041,0.00044,0.00048,0.00051,0.00055,0.00059,0.00064,0.00069,0.00074,0.00081,0.00089,0.00098,0.00109,0.00123,0.00138
25,9E-05,0.00013,0.00015,0.00018,0.00021,0.00025,0.00028,0.00032,0.00035,0.00039,0.00042,0.00046,0.0005,0.00054,0.00058,0.00062,0.00068,0.00074,0.00081,0.00089,0.00098,0.00109,0.00122,0.00138,0.00155
26,9E-05,0.00013,0.00015,0.00019,0.00022,0.00026,0.00029,0.00033,0.00037,0.0004,0.00044,0.00047,0.00052,0.00056,0.00061,0.00066,0.00073,0.00079,0.00089,0.00098,0.00109,0.00122,0.00138,0.00155,0.00175
27,0.0001,0.00013,0.00016,0.0002,0.00023,0.00027,0.00031,0.00034,0.00038,0.00041,0.00046,0.00049,0.00054,0.00059,0.00065,0.00072,0.00079,0.00087,0.00098,0.00109,0.00122,0.00138,0.00155,0.00175,0.00198
28,0.00011,0.00014,0.00017,0.0002,0.00024,0.00028,0.00032,0.00035,0.00039,0.00043,0.00047,0.00052,0.00057,0.00063,0.0007,0.00078,0.00086,0.00097,0.00108,0.00121,0.00138,0.00155,0.00175,0.00198,0.00225
29,0.00011,0.00015,0.00018,0.00021,0.00025,0.00029,0.00032,0.00036,0.0004,0.00045,0.00049,0.00055,0.00061,0.00068,0.00076,0.00085,0.00095,0.00107,0.0012,0.00136,0.00154,0.00175,0.00197,0.00224,0.00254
30,0.00012,0.00016,0.00019,0.00022,0.00026,0.00029,0.00033,0.00037,0.00042,0.00047,0.00052,0.00059,0.00066,0.00074,0.00083,0.00094,0.00105,0.00119,0.00134,0.00152,0.00173,0.00196,0.00222,0.00251,0.00285
31,0.00013,0.00017,0.0002,0.00023,0.00027,0.00031,0.00035,0.00039,0.00044,0.0005,0.00056,0.00064,0.00072,0.00081,0.00092,0.00104,0.00117,0.00133,0.0015,0.0017,0.00193,0.0022,0.00249,0.00282,0.00319
32,0.00014,0.00017,0.0002,0.00024,0.00028,0.00033,0.00037,0.00041,0.00047,0.00054,0.00062,0.0007,0.0008,0.0009,0.00102,0.00116,0.00131,0.00148,0.00168,0.0019,0.00216,0.00245,0.00279,0.00315,0.00357
33,0.00015,0.00018,0.00021,0.00025,0.00029,0.00034,0.0004,0.00045,0.00051,0.00059,0.00068,0.00078,0.00089,0.001,0.00114,0.0013,0.00146,0.00165,0.00187,0.00212,0.00241,0.00272,0.0031,0.0035,0.00397
34,0.00015,0.00018,0.00021,0.00026,0.00031,0.00036,0.00043,0.0005,0.00057,0.00065,0.00075,0.00087,0.00099,0.00112,0.00127,0.00144,0.00163,0.00184,0.00208,0.00235,0.00267,0.00302,0.00342,0.00387,0.00436
35,0.00015,0.00018,0.00022,0.00028,0.00033,0.00039,0.00047,0.00055,0.00063,0.00073,0.00084,0.00097,0.0011,0.00125,0.00142,0.0016,0.00182,0.00205,0.00231,0.0026,0.00294,0.00333,0.00375,0.00423,0.00477
36,0.00015,0.00019,0.00023,0.00029,0.00035,0.00043,0.00051,0.0006,0.0007,0.00082,0.00094,0.00108,0.00123,0.0014,0.00159,0.00178,0.00202,0.00227,0.00256,0.00288,0.00324,0.00366,0.00411,0.00463,0.00523
37,0.00015,0.00019,0.00025,0.00031,0.00039,0.00047,0.00057,0.00067,0.00078,0.00091,0.00105,0.0012,0.00137,0.00156,0.00176,0.00198,0.00224,0.00252,0.00283,0.00317,0.00357,0.00402,0.00452,0.00509,0.0057
38,0.00015,0.00021,0.00027,0.00034,0.00043,0.00052,0.00063,0.00074,0.00087,0.00101,0.00117,0.00134,0.00152,0.00173,0.00195,0.0022,0.00247,0.00278,0.00312,0.0035,0.00393,0.00441,0.00498,0.00557,0.00621
39,0.00017,0.00023,0.0003,0.00038,0.00047,0.00057,0.00069,0.00082,0.00096,0.00112,0.00129,0.00148,0.00169,0.00192,0.00216,0.00243,0.00273,0.00307,0.00344,0.00385,0.00431,0.00489,0.00549,0.00612,0.00678
40,0.00019,0.00026,0.00034,0.00042,0.00052,0.00064,0.00077,0.00091,0.00107,0.00124,0.00143,0.00163,0.00187,0.00212,0.00239,0.00269,0.00302,0.00338,0.00378,0.00423,0.0048,0.00543,0.00608,0.00673,0.00738
41,0.00021,0.00029,0.00038,0.00047,0.00058,0.00071,0.00085,0.001,0.00118,0.00137,0.00158,0.00181,0.00206,0.00234,0.00264,0.00296,0.00332,0.00371,0.00415,0.0047,0.00536,0.00604,0.00672,0.00735,0.00802
42,0.00024,0.00033,0.00043,0.00053,0.00066,0.0008,0.00095,0.00112,0.00131,0.00151,0.00174,0.00199,0.00227,0.00257,0.00291,0.00326,0.00364,0.00408,0.0046,0.00527,0.00598,0.00669,0.00734,0.00799,0.00871
43,0.00027,0.00037,0.00049,0.00061,0.00075,0.0009,0.00106,0.00125,0.00145,0.00167,0.00192,0.00219,0.0025,0.00283,0.0032,0.00358,0.004,0.00448,0.00514,0.00592,0.00666,0.00733,0.00797,0.00868,0.00946
44,0.00031,0.00042,0.00055,0.00069,0.00084,0.001,0.00118,0.00139,0.00161,0.00185,0.00212,0.00241,0.00275,0.00311,0.0035,0.00392,0.00439,0.00494,0.00578,0.00664,0.00731,0.00797,0.00864,0.00945,0.01029
45,0.00035,0.00047,0.00062,0.00077,0.00094,0.00112,0.00132,0.00154,0.00178,0.00204,0.00233,0.00266,0.00301,0.00341,0.00383,0.00429,0.0048,0.0055,0.00647,0.00731,0.00795,0.00864,0.00941,0.01027,0.01123
46,0.00039,0.00053,0.00069,0.00085,0.00104,0.00124,0.00146,0.0017,0.00195,0.00224,0.00255,0.00291,0.00329,0.00371,0.00417,0.00467,0.00522,0.0061,0.00718,0.00794,0.00864,0.00941,0.01026,0.01119,0.01231
47,0.00043,0.00059,0.00076,0.00094,0.00115,0.00136,0.0016,0.00186,0.00213,0.00245,0.00279,0.00317,0.00359,0.00404,0.00454,0.00508,0.00568,0.00671,0.00789,0.00863,0.00938,0.01023,0.01119,0.01228,0.0135
48,0.00047,0.00063,0.00084,0.00103,0.00125,0.00148,0.00174,0.00201,0.00232,0.00266,0.00303,0.00344,0.00389,0.00439,0.00494,0.00553,0.00618,0.00735,0.00859,0.00938,0.0102,0.01116,0.01228,0.0135,0.01482
49,0.00049,0.00068,0.00091,0.00112,0.00134,0.00159,0.00187,0.00216,0.00249,0.00286,0.00327,0.00372,0.00421,0.00475,0.00536,0.006,0.00673,0.00805,0.00934,0.0102,0.01116,0.01228,0.0135,0.01482,0.01635
50,0.00051,0.00076,0.00099,0.0012,0.00144,0.0017,0.00199,0.00231,0.00267,0.00307,0.00351,0.004,0.00454,0.00514,0.0058,0.00651,0.00732,0.0088,0.01016,0.01116,0.01228,0.0135,0.01482,0.01635,0.01797
51,0.00054,0.00086,0.00107,0.00128,0.00153,0.00181,0.00212,0.00246,0.00285,0.00329,0.00376,0.00429,0.00489,0.00555,0.00628,0.00707,0.00797,0.00964,0.01108,0.01228,0.0135,0.01482,0.01635,0.01797,0.01984
52,0.00057,0.00094,0.00115,0.00137,0.00162,0.00191,0.00224,0.00261,0.00303,0.00351,0.00403,0.00461,0.00527,0.00599,0.0068,0.00768,0.0087,0.01061,0.01215,0.0135,0.01482,0.01635,0.01797,0.01984,0.02205
53,0.0006,0.001,0.00124,0.00146,0.00172,0.00202,0.00237,0.00277,0.00322,0.00373,0.00431,0.00496,0.00568,0.00649,0.00739,0.00838,0.00953,0.01167,0.01333,0.0148,0.01632,0.01797,0.01984,0.02205,0.02448
54,0.00063,0.00108,0.00134,0.00156,0.00182,0.00214,0.00251,0.00293,0.00343,0.00398,0.00462,0.00534,0.00614,0.00705,0.00806,0.00917,0.01049,0.01287,0.01463,0.0163,0.01794,0.01984,0.02205,0.02448,0.02728
55,0.00068,0.00116,0.00145,0.00167,0.00195,0.00229,0.00267,0.00313,0.00367,0.00428,0.00498,0.00577,0.00667,0.00769,0.00881,0.01006,0.01165,0.01434,0.01609,0.01792,0.0198,0.02205,0.02448,0.02724,0.03034
56,0.00074,0.00125,0.00157,0.00181,0.0021,0.00246,0.00288,0.00338,0.00396,0.00463,0.0054,0.00628,0.00728,0.00842,0.00967,0.01107,0.01305,0.01591,0.01765,0.01974,0.02196,0.02445,0.02724,0.03024,0.03271
57,0.00077,0.00134,0.0017,0.00196,0.00228,0.00267,0.00313,0.00368,0.0043,0.00504,0.00589,0.00686,0.00797,0.00923,0.01064,0.01222,0.01469,0.01745,0.01946,0.02188,0.02436,0.02714,0.03024,0.03266,0.03435
58,0.00081,0.00143,0.00184,0.00212,0.00247,0.0029,0.00341,0.00401,0.0047,0.00552,0.00645,0.00754,0.00876,0.01016,0.01173,0.0135,0.01657,0.01922,0.02158,0.02428,0.02706,0.03013,0.0326,0.03428,0.03661
59,0.00087,0.00151,0.00199,0.00229,0.00268,0.00315,0.00372,0.00439,0.00516,0.00607,0.00711,0.0083,0.00967,0.01122,0.01298,0.01494,0.01874,0.02133,0.02392,0.02696,0.03004,0.03248,0.03423,0.03654,0.0396
60,0.00092,0.0016,0.00214,0.00247,0.00289,0.00342,0.00406,0.0048,0.00568,0.00668,0.00785,0.00918,0.01071,0.01244,0.01438,0.01681,0.02101,0.02367,0.02658,0.02987,0.03237,0.03404,0.03647,0.0396,0.04286
61,0.00097,0.00169,0.00228,0.00264,0.00311,0.0037,0.00441,0.00525,0.00624,0.00737,0.00869,0.01018,0.01189,0.01383,0.016,0.01947,0.02332,0.0263,0.02953,0.03214,0.03391,0.03626,0.03946,0.04277,0.04769
62,0.00107,0.00179,0.00241,0.0028,0.00332,0.00398,0.00478,0.00573,0.00684,0.00814,0.00962,0.01132,0.01324,0.01541,0.01785,0.02265,0.02591,0.02921,0.03181,0.03365,0.03606,0.03929,0.04262,0.0475,0.05258
63,0.0012,0.0021,0.00255,0.00296,0.00354,0.00427,0.00517,0.00624,0.0075,0.00897,0.01066,0.01259,0.01475,0.01718,0.02039,0.02565,0.02879,0.03146,0.03328,0.03571,0.03901,0.04245,0.04732,0.05239,0.05758
64,0.00135,0.00243,0.0027,0.00314,0.00376,0.00457,0.00558,0.0068,0.00823,0.0099,0.01182,0.014,0.01644,0.01918,0.02398,0.02849,0.03101,0.03291,0.03531,0.03855,0.04212,0.04706,0.05218,0.05738,0.065
65,0.00147,0.0026,0.00286,0.00333,0.00401,0.00491,0.00605,0.00744,0.00907,0.01095,0.01312,0.01558,0.01834,0.02152,0.02792,0.03079,0.03261,0.03505,0.03827,0.04179,0.04678,0.0519,0.05726,0.06477,0.07388
66,0.00153,0.00278,0.00304,0.00355,0.00431,0.00532,0.00661,0.00817,0.01002,0.01216,0.01461,0.01739,0.02051,0.02499,0.03074,0.0325,0.03497,0.0382,0.04164,0.04661,0.05169,0.05705,0.06465,0.07375,0.08438
67,0.00166,0.00298,0.00326,0.00382,0.00467,0.00581,0.00727,0.00903,0.01112,0.01355,0.01631,0.01943,0.02294,0.02876,0.03243,0.03485,0.03811,0.04156,0.04652,0.0516,0.05683,0.06452,0.07349,0.08438,0.09697
68,0.00188,0.00321,0.00352,0.00415,0.00511,0.0064,0.00805,0.01005,0.0124,0.01513,0.01824,0.02175,0.02566,0.03178,0.03478,0.03796,0.04148,0.04634,0.05151,0.05683,0.06441,0.07349,0.08424,0.09697,0.11196
69,0.00212,0.00345,0.00383,0.00455,0.00565,0.00712,0.00898,0.01124,0.01388,0.01695,0.02043,0.02435,0.02869,0.03478,0.03796,0.04139,0.04634,0.05141,0.05673,0.06438,0.07346,0.0842,0.09692,0.11196,0.12966
70,0.00241,0.00373,0.0042,0.00505,0.00631,0.00799,0.01009,0.01263,0.0156,0.01903,0.02291,0.02726,0.0321,0.03796,0.04079,0.04589,0.05132,0.0567,0.06438,0.07342,0.08416,0.09682,0.11185,0.12966,0.14698
71,0.00323,0.00405,0.00463,0.00564,0.00711,0.00902,0.0114,0.01425,0.01759,0.02142,0.02573,0.03054,0.03607,0.04058,0.0448,0.05079,0.05656,0.06434,0.07342,0.08416,0.09682,0.11179,0.12953,0.14691,0.162
72,0.00405,0.00441,0.00515,0.00635,0.00806,0.01025,0.01294,0.01613,0.01986,0.02412,0.0289,0.03421,0.0397,0.04412,0.05024,0.05647,0.06428,0.07342,0.08416,0.09682,0.11179,0.12953,0.14683,0.16183,0.17754
73,0.0044,0.00485,0.00577,0.00721,0.00918,0.01168,0.01471,0.0183,0.02245,0.02717,0.03244,0.03841,0.04374,0.04967,0.05636,0.06421,0.07338,0.08416,0.09677,0.11174,0.12946,0.14676,0.16183,0.17745,0.19456
74,0.00479,0.0054,0.00654,0.00825,0.01051,0.01335,0.01676,0.02078,0.02539,0.03061,0.03653,0.0434,0.04943,0.05624,0.06418,0.07334,0.08411,0.09677,0.11168,0.1294,0.14669,0.16175,0.17745,0.19456,0.21321
75,0.00525,0.00607,0.00748,0.00947,0.01207,0.01527,0.01909,0.02354,0.02863,0.03449,0.04128,0.04923,0.05616,0.06415,0.07334,0.08407,0.09677,0.11168,0.12933,0.14669,0.16168,0.17736,0.19447,0.21321,0.23362
76,0.00587,0.00693,0.00862,0.01093,0.01387,0.01746,0.0217,0.0266,0.03229,0.039,0.04683,0.05602,0.06409,0.07334,0.08407,0.09672,0.11162,0.12933,0.14653,0.16168,0.17727,0.19437,0.2131,0.23362,0.25598
77,0.00671,0.00803,0.01002,0.01266,0.01598,0.01996,0.02465,0.03016,0.03665,0.04439,0.0534,0.06404,0.07331,0.08407,0.09667,0.11162,0.1292,0.14653,0.16151,0.17727,0.19437,0.2131,0.23351,0.25598,0.28032
78,0.00737,0.00944,0.01173,0.01473,0.01842,0.02283,0.02809,0.03438,0.04186,0.05075,0.06117,0.07327,0.08402,0.09667,0.1115,0.1292,0.14639,0.16151,0.17709,0.19437,0.2131,0.23351,0.25585,0.28032,0.30681
79,0.00801,0.0112,0.01381,0.01717,0.02125,0.02621,0.03223,0.03942,0.04803,0.05827,0.07029,0.08394,0.09657,0.11145,0.129,0.14639,0.16135,0.17709,0.19417,0.21301,0.23351,0.25585,0.28032,0.30654,0.33601
80,0.009,0.01337,0.01631,0.02002,0.02462,0.03027,0.03715,0.04542,0.05533,0.06714,0.081,0.09653,0.1114,0.12894,0.14617,0.16135,0.177,0.19417,0.21289,0.23339,0.25585,0.28032,0.30641,0.33563,0.36802
81,0.01014,0.01601,0.01926,0.02343,0.02868,0.03515,0.04303,0.05254,0.06396,0.07758,0.09356,0.11134,0.12887,0.14617,0.16127,0.17692,0.19417,0.21289,0.23339,0.25585,0.28032,0.30614,0.33544,0.36802,0.40134
82,0.01134,0.01915,0.02281,0.02758,0.03357,0.04099,0.05002,0.06097,0.07411,0.0898,0.10818,0.12881,0.14602,0.16118,0.17692,0.19407,0.21289,0.23339,0.25585,0.28032,0.30587,0.33506,0.36802,0.40134,0.43542
83,0.01339,0.02279,0.02716,0.0326,0.03945,0.04797,0.05835,0.07095,0.08602,0.10399,0.12509,0.14602,0.1611,0.17682,0.19398,0.21289,0.23339,0.25573,0.28032,0.3056,0.33469,0.36802,0.40134,0.43542,0.47002
84,0.01641,0.02713,0.03241,0.03864,0.0465,0.05625,0.0682,0.08266,0.09992,0.12046,0.14128,0.16044,0.17674,0.19398,0.21268,0.23339,0.25573,0.28017,0.30547,0.33431,0.36802,0.40134,0.43542,0.47002,0.5052
85,0.02101,0.03238,0.03861,0.04588,0.05491,0.0661,0.0798,0.09633,0.11608,0.13636,0.15499,0.17443,0.19388,0.21268,0.23315,0.25573,0.28017,0.3052,0.33412,0.36802,0.40134,0.43542,0.47002,0.5052,0.54149
86,0.02643,0.03857,0.04586,0.05456,0.06489,0.07771,0.0934,0.11226,0.13169,0.14984,0.16874,0.1892,0.21112,0.2327,0.25559,0.28017,0.30493,0.33375,0.36802,0.40118,0.43525,0.47002,0.5052,0.54149,0.57784
87,0.03306,0.04583,0.0545,0.06477,0.07672,0.09136,0.10925,0.12771,0.14503,0.16338,0.18315,0.20466,0.22759,0.25214,0.27776,0.30477,0.33074,0.36483,0.39795,0.43189,0.46713,0.5033,0.54052,0.57784,0.61295
88,0.04255,0.0545,0.06473,0.07664,0.09061,0.10732,0.12469,0.14102,0.15848,0.17762,0.19831,0.22074,0.24477,0.2705,0.29792,0.32691,0.35738,0.38947,0.42318,0.4585,0.49541,0.5339,0.57395,0.61295,0.64651
89,0.05349,0.06473,0.07664,0.09057,0.10681,0.12297,0.13814,0.15446,0.1727,0.1926,0.21424,0.23757,0.26269,0.2896,0.31817,0.34831,0.38017,0.41373,0.449,0.48596,0.52458,0.56484,0.60674,0.64651,0.68104
90,0.06473,0.07664,0.09057,0.10681,0.12272,0.13668,0.1518,0.1687,0.18761,0.20836,0.2308,0.25513,0.28124,0.30933,0.33898,0.37044,0.40372,0.43878,0.47564,0.51425,0.55462,0.5967,0.64049,0.68094,0.72372
91,0.07664,0.09057,0.10681,0.12272,0.13661,0.15054,0.16621,0.18374,0.20319,0.22476,0.24811,0.27332,0.30047,0.32961,0.36051,0.39331,0.42802,0.46461,0.50307,0.54339,0.58553,0.62947,0.67519,0.72263,0.76443
92,0.09057,0.10681,0.12272,0.13661,0.15054,0.16525,0.18136,0.19949,0.21964,0.24191,0.26604,0.29221,0.32047,0.35061,0.38277,0.41693,0.45309,0.49123,0.53132,0.57336,0.61731,0.66314,0.71082,0.76029,0.80687
93,0.10681,0.12272,0.13661,0.15054,0.16525,0.18081,0.1973,0.21592,0.23687,0.2597,0.28466,0.31185,0.34102,0.37232,0.40575,0.44128,0.47891,0.51862,0.56037,0.60417,0.64996,0.69771,0.74737,0.79889,0.8518
94,0.12272,0.13661,0.15054,0.16525,0.18081,0.19715,0.21406,0.23312,0.25463,0.27818,0.30405,0.33204,0.36227,0.39474,0.42945,0.46636,0.50548,0.54678,0.59022,0.63579,0.68345,0.73314,0.78483,0.83844,0.89387
95,0.13661,0.15054,0.16525,0.18081,0.19715,0.21406,0.23152,0.25109,0.27311,0.29743,0.32399,0.35293,0.38422,0.41787,0.45386,0.49218,0.5328,0.57571,0.62086,0.66824,0.71779,0.76946,0.82319,0.87889,0.93776
96,0.15054,0.16525,0.18081,0.19715,0.21406,0.23152,0.24976,0.26985,0.29237,0.31725,0.34463,0.37451,0.40687,0.44171,0.479,0.51873,0.56087,0.6054,0.65229,0.70149,0.75296,0.80663,0.86241,0.92323,1
97,0.16525,0.18081,0.19715,0.21406,0.23152,0.24976,0.26881,0.28925,0.31219,0.33777,0.36598,0.3968,0.43023,0.46625,0.50485,0.546,0.58968,0.63586,0.6845,0.73555,0.78895,0.84463,0.90792,1,
98,0.18081,0.19715,0.21406,0.23152,0.24976,0.26881,0.28852,0.30925,0.33274,0.359,0.38802,0.41978,0.45428,0.4915,0.53141,0.574,0.61923,0.66707,0.71748,0.77039,0.82575,0.89208,1,,
99,0.19715,0.21406,0.23152,0.24976,0.26881,0.28852,0.30893,0.33106,0.35599,0.38372,0.41423,0.4475,0.48351,0.52224,0.56366,0.60773,0.65442,0.70367,0.75542,0.80958,0.87599,1,,,

