Table Name:,"2001 CSO Preferred Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00029,0.00031,0.00032,0.00033,0.00034,0.00036,0.00037,0.00037,0.00038
1,,,,,,,,,,,,,,,,0.00029,0.0003,0.00032,0.00033,0.00034,0.00036,0.00037,0.00037,0.00038,0.00039
2,,,,,,,,,,,,,,,0.00028,0.0003,0.00031,0.00033,0.00034,0.00035,0.00037,0.00037,0.00038,0.00039,0.00041
3,,,,,,,,,,,,,,0.00028,0.0003,0.0003,0.00032,0.00034,0.00035,0.00036,0.00037,0.00038,0.00039,0.00041,0.00043
4,,,,,,,,,,,,,0.00028,0.0003,0.0003,0.00032,0.00033,0.00035,0.00036,0.00037,0.00038,0.00039,0.00041,0.00043,0.00046
5,,,,,,,,,,,,0.00028,0.00029,0.0003,0.00031,0.00033,0.00034,0.00036,0.00037,0.00038,0.00039,0.00041,0.00043,0.00046,0.00048
6,,,,,,,,,,,0.00027,0.00029,0.0003,0.00031,0.00032,0.00034,0.00035,0.00037,0.00038,0.00039,0.00041,0.00043,0.00046,0.00048,0.0005
7,,,,,,,,,,0.00027,0.00028,0.00029,0.00031,0.00032,0.00034,0.00035,0.00036,0.00038,0.00039,0.00041,0.00043,0.00046,0.00048,0.0005,0.00053
8,,,,,,,,,0.00027,0.00028,0.00029,0.0003,0.00032,0.00033,0.00035,0.00036,0.00037,0.00039,0.0004,0.00043,0.00046,0.00048,0.0005,0.00053,0.00056
9,,,,,,,,0.00027,0.00028,0.00028,0.0003,0.00031,0.00033,0.00034,0.00035,0.00037,0.00038,0.0004,0.00043,0.00046,0.00048,0.0005,0.00053,0.00056,0.0006
10,,,,,,,0.00026,0.00028,0.00028,0.00029,0.00031,0.00032,0.00034,0.00035,0.00037,0.00038,0.0004,0.00042,0.00046,0.00048,0.0005,0.00053,0.00055,0.0006,0.00065
11,,,,,,0.00025,0.00027,0.00028,0.00028,0.0003,0.00031,0.00033,0.00035,0.00036,0.00038,0.0004,0.00042,0.00045,0.00048,0.0005,0.00053,0.00055,0.00059,0.00065,0.0007
12,,,,,0.00025,0.00026,0.00027,0.00028,0.00029,0.00031,0.00032,0.00034,0.00036,0.00038,0.00039,0.00042,0.00045,0.00047,0.0005,0.00053,0.00055,0.00059,0.00065,0.0007,0.00074
13,,,,0.00025,0.00026,0.00026,0.00028,0.00029,0.0003,0.00032,0.00033,0.00035,0.00037,0.00039,0.00041,0.00045,0.00047,0.0005,0.00053,0.00055,0.00059,0.00065,0.00069,0.00074,0.00079
14,,,0.00025,0.00026,0.00026,0.00027,0.00029,0.00029,0.00031,0.00032,0.00034,0.00037,0.00039,0.00041,0.00044,0.00047,0.0005,0.00053,0.00055,0.00059,0.00065,0.00069,0.00073,0.00078,0.00083
15,,0.00025,0.00026,0.00026,0.00026,0.00028,0.00029,0.0003,0.00032,0.00033,0.00036,0.00038,0.0004,0.00044,0.00047,0.0005,0.00053,0.00055,0.00059,0.00065,0.00069,0.00073,0.00078,0.00083,0.00088
16,0.00025,0.00026,0.00026,0.00026,0.00027,0.00028,0.0003,0.00031,0.00033,0.00034,0.00037,0.0004,0.00043,0.00047,0.0005,0.00053,0.00055,0.00059,0.00065,0.00069,0.00073,0.00078,0.00083,0.00088,0.00093
17,0.00026,0.00026,0.00026,0.00027,0.00027,0.00029,0.0003,0.00032,0.00034,0.00036,0.00039,0.00042,0.00046,0.0005,0.00053,0.00055,0.00059,0.00065,0.00069,0.00073,0.00078,0.00083,0.00088,0.00093,0.00099
18,0.00025,0.00025,0.00026,0.00027,0.00028,0.00029,0.00031,0.00033,0.00036,0.00038,0.00042,0.00045,0.00049,0.00053,0.00055,0.00059,0.00065,0.00069,0.00073,0.00078,0.00083,0.00088,0.00093,0.00099,0.00106
19,0.00024,0.00025,0.00026,0.00028,0.00028,0.0003,0.00032,0.00035,0.00038,0.00041,0.00045,0.00049,0.00052,0.00055,0.00059,0.00065,0.00069,0.00073,0.00078,0.00083,0.00088,0.00093,0.00099,0.00106,0.00114
20,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00037,0.0004,0.00044,0.00048,0.00051,0.00055,0.00059,0.00064,0.00069,0.00073,0.00078,0.00083,0.00088,0.00093,0.00099,0.00106,0.00114,0.00124
21,0.00022,0.00024,0.00025,0.00028,0.0003,0.00033,0.00036,0.00039,0.00043,0.00047,0.00051,0.00054,0.00059,0.00064,0.00068,0.00073,0.00077,0.00083,0.00088,0.00093,0.00099,0.00106,0.00114,0.00124,0.00135
22,0.00022,0.00023,0.00026,0.00028,0.00031,0.00034,0.00038,0.00042,0.00046,0.00049,0.00053,0.00058,0.00063,0.00067,0.00071,0.00077,0.00082,0.00087,0.00093,0.00099,0.00106,0.00114,0.00124,0.00135,0.00149
23,0.00021,0.00024,0.00026,0.00029,0.00032,0.00036,0.0004,0.00044,0.00049,0.00051,0.00057,0.00061,0.00066,0.0007,0.00075,0.00081,0.00086,0.00092,0.00099,0.00106,0.00114,0.00124,0.00135,0.00149,0.00165
24,0.0002,0.00024,0.00027,0.0003,0.00034,0.00038,0.00042,0.00046,0.00051,0.00055,0.0006,0.00064,0.00069,0.00074,0.00079,0.00085,0.00091,0.00098,0.00105,0.00114,0.00124,0.00135,0.00149,0.00165,0.00184
25,0.0002,0.00025,0.00027,0.00032,0.00036,0.0004,0.00044,0.00048,0.00053,0.00059,0.00063,0.00067,0.00073,0.00078,0.00084,0.0009,0.00097,0.00105,0.00114,0.00124,0.00135,0.00149,0.00165,0.00184,0.00204
26,0.00021,0.00025,0.00029,0.00034,0.00037,0.00042,0.00046,0.00051,0.00056,0.00061,0.00065,0.0007,0.00076,0.00082,0.00089,0.00095,0.00104,0.00112,0.00124,0.00135,0.00149,0.00165,0.00183,0.00204,0.00226
27,0.00023,0.00026,0.00031,0.00035,0.00039,0.00043,0.00049,0.00054,0.00059,0.00063,0.00069,0.00074,0.0008,0.00087,0.00094,0.00103,0.00112,0.00122,0.00135,0.00149,0.00165,0.00183,0.00204,0.00226,0.00253
28,0.00024,0.00028,0.00032,0.00036,0.00041,0.00046,0.00051,0.00056,0.00061,0.00066,0.00072,0.00078,0.00085,0.00092,0.00101,0.00111,0.00121,0.00134,0.00148,0.00164,0.00183,0.00204,0.00226,0.00253,0.00283
29,0.00026,0.0003,0.00033,0.00038,0.00043,0.00048,0.00053,0.00057,0.00063,0.00069,0.00075,0.00082,0.0009,0.00099,0.00109,0.0012,0.00133,0.00147,0.00163,0.00181,0.00203,0.00226,0.00252,0.00282,0.00316
30,0.00027,0.00031,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00066,0.00073,0.0008,0.00088,0.00097,0.00107,0.00118,0.00131,0.00145,0.00162,0.0018,0.00201,0.00224,0.00251,0.00281,0.00313,0.00351
31,0.00029,0.00033,0.00037,0.00042,0.00047,0.00052,0.00058,0.00064,0.0007,0.00077,0.00085,0.00095,0.00105,0.00116,0.0013,0.00144,0.0016,0.00178,0.00199,0.00221,0.00248,0.00278,0.00311,0.00348,0.0039
32,0.00031,0.00035,0.00039,0.00045,0.00049,0.00056,0.00062,0.00067,0.00075,0.00083,0.00093,0.00103,0.00115,0.00127,0.00142,0.00158,0.00176,0.00196,0.00219,0.00245,0.00274,0.00307,0.00346,0.00386,0.00433
33,0.00032,0.00037,0.00041,0.00047,0.00052,0.00059,0.00066,0.00073,0.0008,0.0009,0.00101,0.00113,0.00126,0.0014,0.00156,0.00175,0.00194,0.00216,0.00242,0.0027,0.00303,0.00338,0.00381,0.00426,0.00478
34,0.00034,0.00038,0.00043,0.00049,0.00055,0.00062,0.0007,0.00079,0.00088,0.00098,0.0011,0.00124,0.00139,0.00155,0.00172,0.00193,0.00214,0.00239,0.00266,0.00297,0.00333,0.00372,0.00417,0.00467,0.00522
35,0.00035,0.0004,0.00045,0.00052,0.00059,0.00067,0.00076,0.00086,0.00096,0.00108,0.00122,0.00137,0.00153,0.00171,0.00191,0.00212,0.00236,0.00263,0.00293,0.00326,0.00365,0.00408,0.00455,0.00509,0.00569
36,0.00036,0.00042,0.00048,0.00055,0.00063,0.00072,0.00082,0.00093,0.00105,0.0012,0.00134,0.0015,0.00169,0.00188,0.0021,0.00233,0.0026,0.00289,0.00322,0.00358,0.004,0.00447,0.00497,0.00555,0.00621
37,0.00037,0.00044,0.00051,0.00059,0.00068,0.00078,0.0009,0.00102,0.00116,0.00131,0.00147,0.00166,0.00186,0.00207,0.00231,0.00256,0.00286,0.00318,0.00353,0.00393,0.00438,0.00488,0.00544,0.00607,0.00674
38,0.00039,0.00047,0.00054,0.00063,0.00074,0.00085,0.00098,0.00111,0.00127,0.00143,0.00162,0.00182,0.00204,0.00227,0.00253,0.00282,0.00313,0.00349,0.00388,0.0043,0.00479,0.00533,0.00596,0.00662,0.00732
39,0.00043,0.00051,0.00059,0.00069,0.0008,0.00092,0.00107,0.00122,0.00139,0.00157,0.00178,0.00199,0.00223,0.0025,0.00278,0.00309,0.00344,0.00382,0.00424,0.0047,0.00523,0.00587,0.00653,0.00724,0.00797
40,0.00046,0.00055,0.00065,0.00075,0.00087,0.00101,0.00117,0.00133,0.00152,0.00172,0.00195,0.00218,0.00245,0.00274,0.00305,0.00339,0.00377,0.00418,0.00463,0.00514,0.00578,0.00648,0.00719,0.00792,0.00866
41,0.0005,0.0006,0.00071,0.00082,0.00095,0.00111,0.00128,0.00146,0.00166,0.00188,0.00212,0.00239,0.00268,0.003,0.00334,0.00371,0.00412,0.00457,0.00506,0.00568,0.00641,0.00716,0.00791,0.00863,0.00939
42,0.00055,0.00066,0.00078,0.0009,0.00106,0.00122,0.0014,0.0016,0.00182,0.00206,0.00232,0.00261,0.00293,0.00328,0.00366,0.00406,0.0045,0.00499,0.00557,0.00631,0.0071,0.00788,0.00862,0.00936,0.01018
43,0.0006,0.00072,0.00086,0.001,0.00117,0.00135,0.00154,0.00176,0.002,0.00225,0.00254,0.00285,0.00321,0.00358,0.004,0.00444,0.00491,0.00545,0.00619,0.00703,0.00785,0.0086,0.00933,0.01015,0.01104
44,0.00066,0.00079,0.00094,0.00111,0.00129,0.00148,0.00169,0.00193,0.00219,0.00247,0.00278,0.00312,0.0035,0.00391,0.00436,0.00483,0.00537,0.00599,0.00689,0.00783,0.00859,0.00933,0.01011,0.01102,0.01198
45,0.00072,0.00087,0.00104,0.00122,0.00141,0.00163,0.00186,0.00212,0.0024,0.0027,0.00303,0.00341,0.00381,0.00426,0.00474,0.00526,0.00584,0.00662,0.00766,0.00859,0.00932,0.01011,0.01098,0.01196,0.01304
46,0.00078,0.00095,0.00114,0.00133,0.00155,0.00178,0.00204,0.00232,0.00261,0.00294,0.0033,0.00371,0.00415,0.00462,0.00515,0.00572,0.00634,0.00729,0.00845,0.0093,0.01011,0.01098,0.01195,0.013,0.01426
47,0.00085,0.00103,0.00124,0.00145,0.00169,0.00194,0.00221,0.00252,0.00283,0.0032,0.00358,0.00402,0.0045,0.00501,0.00558,0.0062,0.00687,0.00798,0.00925,0.01009,0.01096,0.01192,0.013,0.01423,0.01559
48,0.00091,0.00111,0.00134,0.00157,0.00182,0.00209,0.00239,0.00271,0.00306,0.00345,0.00388,0.00435,0.00486,0.00542,0.00605,0.00672,0.00746,0.00871,0.01005,0.01096,0.01189,0.01297,0.01423,0.01559,0.01708
49,0.00096,0.00119,0.00145,0.00169,0.00195,0.00224,0.00257,0.00291,0.00329,0.00371,0.00418,0.00469,0.00524,0.00586,0.00655,0.00728,0.00809,0.00951,0.01091,0.01189,0.01297,0.01423,0.01559,0.01708,0.01879
50,0.00102,0.0013,0.00156,0.00181,0.00209,0.0024,0.00274,0.00311,0.00352,0.00398,0.00448,0.00503,0.00564,0.00632,0.00707,0.00788,0.00878,0.01037,0.01185,0.01297,0.01423,0.01559,0.01708,0.01879,0.02061
51,0.00107,0.00143,0.00168,0.00193,0.00222,0.00255,0.00291,0.0033,0.00375,0.00425,0.0048,0.0054,0.00607,0.00681,0.00764,0.00853,0.00953,0.01132,0.01289,0.01423,0.01559,0.01708,0.01879,0.02061,0.02269
52,0.00114,0.00155,0.0018,0.00206,0.00236,0.0027,0.00308,0.00351,0.00399,0.00454,0.00513,0.00579,0.00653,0.00735,0.00826,0.00925,0.01038,0.01241,0.0141,0.01559,0.01708,0.01879,0.0206,0.02269,0.02514
53,0.00121,0.00165,0.00193,0.00219,0.0025,0.00286,0.00326,0.00373,0.00424,0.00483,0.00549,0.00622,0.00704,0.00794,0.00895,0.01006,0.01134,0.01361,0.01542,0.01705,0.01876,0.0206,0.02269,0.02514,0.02784
54,0.00127,0.00176,0.00207,0.00234,0.00266,0.00303,0.00346,0.00395,0.00452,0.00515,0.00588,0.00668,0.00759,0.0086,0.00973,0.01097,0.01243,0.01496,0.01688,0.01874,0.02058,0.02269,0.02514,0.02784,0.03093
55,0.00136,0.00189,0.00222,0.00251,0.00284,0.00324,0.00369,0.00422,0.00484,0.00553,0.00633,0.00721,0.00823,0.00936,0.0106,0.012,0.01374,0.01659,0.01852,0.02055,0.02265,0.02514,0.02784,0.03089,0.03432
56,0.00146,0.00202,0.0024,0.00269,0.00305,0.00347,0.00397,0.00454,0.00521,0.00597,0.00684,0.00782,0.00894,0.01021,0.0116,0.01316,0.01529,0.01834,0.02028,0.02258,0.02505,0.0278,0.03088,0.03421,0.03704
57,0.00154,0.00217,0.00258,0.0029,0.00329,0.00374,0.00428,0.00492,0.00563,0.00647,0.00742,0.00852,0.00975,0.01115,0.01271,0.01446,0.01711,0.02007,0.02229,0.02495,0.0277,0.03077,0.03419,0.03697,0.03906
58,0.00163,0.0023,0.00278,0.00312,0.00354,0.00404,0.00464,0.00533,0.00612,0.00704,0.0081,0.00931,0.01066,0.01222,0.01396,0.0159,0.01917,0.02204,0.02463,0.02759,0.03067,0.03405,0.03688,0.03896,0.04175
59,0.00174,0.00244,0.00298,0.00335,0.00382,0.00437,0.00503,0.00579,0.00667,0.00769,0.00886,0.01019,0.01171,0.01343,0.01536,0.01752,0.02154,0.02437,0.02721,0.03054,0.03393,0.03672,0.03886,0.04163,0.04521
60,0.00184,0.00258,0.00319,0.00359,0.0041,0.00472,0.00545,0.0063,0.00729,0.00842,0.00973,0.0112,0.01289,0.0148,0.01694,0.01958,0.02403,0.02694,0.03013,0.03373,0.03658,0.03863,0.04151,0.04515,0.049
61,0.00195,0.00274,0.00339,0.00384,0.0044,0.00508,0.00589,0.00685,0.00796,0.00923,0.01069,0.01235,0.01423,0.01637,0.01875,0.02246,0.02655,0.02982,0.03335,0.0363,0.03846,0.04124,0.04494,0.04882,0.05441
62,0.0021,0.0029,0.0036,0.00407,0.00469,0.00545,0.00636,0.00743,0.00868,0.01012,0.01177,0.01364,0.01575,0.01813,0.0208,0.02586,0.02939,0.033,0.03592,0.03815,0.04098,0.0447,0.04859,0.05411,0.05995
63,0.00229,0.00327,0.00381,0.00431,0.00499,0.00583,0.00685,0.00806,0.00946,0.01109,0.01296,0.01507,0.01744,0.0201,0.02356,0.02909,0.03253,0.03553,0.03771,0.04056,0.04434,0.04832,0.05381,0.05961,0.06566
64,0.00251,0.00368,0.00404,0.00457,0.00531,0.00624,0.00738,0.00874,0.01032,0.01216,0.01427,0.01665,0.01932,0.0223,0.02738,0.03219,0.03504,0.03728,0.04009,0.04379,0.0479,0.05344,0.05926,0.06527,0.07387
65,0.0027,0.00392,0.00428,0.00485,0.00565,0.00669,0.00796,0.0095,0.0113,0.01337,0.01574,0.01843,0.02143,0.02488,0.03158,0.03477,0.03693,0.03976,0.04344,0.04748,0.05305,0.05886,0.06499,0.07342,0.08362
66,0.00284,0.00419,0.00455,0.00517,0.00606,0.00721,0.00865,0.01038,0.01241,0.01475,0.01743,0.02045,0.02384,0.02861,0.03468,0.03679,0.03965,0.04332,0.04726,0.0528,0.05855,0.06467,0.07315,0.08329,0.09513
67,0.00305,0.00448,0.00487,0.00555,0.00654,0.00783,0.00946,0.0114,0.01369,0.01633,0.01934,0.02273,0.02654,0.03268,0.03669,0.0395,0.0432,0.04715,0.05267,0.05839,0.06437,0.07293,0.08291,0.09497,0.10893
68,0.00336,0.0048,0.00523,0.006,0.00711,0.00857,0.01039,0.01259,0.01516,0.01813,0.02151,0.02531,0.02955,0.03603,0.03941,0.04303,0.04703,0.05246,0.05826,0.06432,0.07275,0.08282,0.09471,0.10878,0.12532
69,0.00369,0.00515,0.00566,0.00653,0.00779,0.00944,0.0115,0.01397,0.01686,0.02019,0.02397,0.02821,0.03291,0.0394,0.04301,0.04693,0.05243,0.05813,0.06418,0.07267,0.08272,0.09458,0.10861,0.12516,0.14459
70,0.00408,0.00554,0.00615,0.00716,0.0086,0.01048,0.01279,0.01557,0.01882,0.02254,0.02674,0.03145,0.03668,0.04299,0.0463,0.05194,0.05801,0.06411,0.07261,0.08262,0.09446,0.1084,0.12489,0.14437,0.16361
71,0.00502,0.00598,0.00672,0.0079,0.00957,0.0117,0.01431,0.01743,0.02106,0.02521,0.02988,0.03509,0.04105,0.04606,0.05083,0.05744,0.06392,0.07253,0.08254,0.09436,0.10828,0.12466,0.144,0.1632,0.18032
72,0.00596,0.00648,0.00739,0.00878,0.0107,0.01313,0.01607,0.01956,0.02361,0.02824,0.03341,0.03917,0.04514,0.05011,0.05685,0.06379,0.07242,0.08248,0.09427,0.10816,0.1245,0.14378,0.1628,0.1797,0.19759
73,0.00645,0.00707,0.00818,0.00983,0.01203,0.01478,0.01811,0.02202,0.02653,0.03165,0.03736,0.04383,0.04971,0.05626,0.06365,0.07231,0.0824,0.09422,0.10803,0.12434,0.14357,0.16253,0.17941,0.19709,0.21658
74,0.00698,0.00778,0.00913,0.01107,0.01359,0.01672,0.02045,0.02483,0.02983,0.03551,0.04192,0.04936,0.05601,0.06353,0.07227,0.08234,0.09416,0.108,0.12425,0.14346,0.1624,0.17924,0.19696,0.21638,0.2377
75,0.0076,0.00864,0.01027,0.01252,0.0154,0.01893,0.0231,0.02796,0.0335,0.03986,0.04722,0.0558,0.06344,0.07224,0.08234,0.0941,0.108,0.12424,0.14338,0.16238,0.17915,0.19685,0.21626,0.23765,0.26111
76,0.0084,0.0097,0.01163,0.01423,0.01749,0.02143,0.02608,0.03144,0.03763,0.04492,0.05338,0.06329,0.07216,0.08234,0.0941,0.10795,0.12419,0.14337,0.16223,0.17915,0.19675,0.21615,0.23754,0.26111,0.28474
77,0.00944,0.01102,0.01327,0.01624,0.01991,0.02429,0.02943,0.03545,0.04253,0.05092,0.06066,0.07212,0.0823,0.0941,0.10789,0.12418,0.14325,0.16222,0.17898,0.19675,0.21615,0.23754,0.261,0.28474,0.30759
78,0.01032,0.01266,0.01526,0.01861,0.0227,0.02757,0.03334,0.0402,0.04833,0.05797,0.06922,0.08226,0.09406,0.10788,0.12406,0.14324,0.16207,0.17897,0.19657,0.21615,0.23753,0.261,0.2846,0.30759,0.3326
79,0.01119,0.0147,0.01765,0.02139,0.02592,0.03139,0.03798,0.04583,0.05519,0.06627,0.07925,0.09396,0.10778,0.124,0.14303,0.16206,0.1788,0.19656,0.21593,0.23743,0.26099,0.28459,0.30759,0.33234,0.36031
80,0.01245,0.01716,0.02049,0.02463,0.02974,0.03596,0.04349,0.05251,0.06327,0.07605,0.091,0.10773,0.12394,0.14296,0.16183,0.1788,0.19646,0.21593,0.2373,0.26086,0.28459,0.30759,0.33221,0.35992,0.39085
81,0.01388,0.02013,0.02382,0.02848,0.03429,0.04141,0.05004,0.0604,0.07278,0.08751,0.10473,0.12388,0.1429,0.16183,0.17871,0.19638,0.21593,0.23729,0.26085,0.28459,0.30759,0.33194,0.35973,0.39085,0.42271
82,0.0154,0.02365,0.0278,0.03312,0.03974,0.0479,0.05777,0.0697,0.08394,0.10089,0.12067,0.14282,0.16168,0.17863,0.19637,0.21583,0.23729,0.26084,0.28458,0.30759,0.33169,0.35935,0.39085,0.42271,0.45532
83,0.01782,0.02772,0.03262,0.0387,0.04627,0.05562,0.06695,0.08065,0.09698,0.11638,0.13905,0.16167,0.17853,0.19627,0.21573,0.23729,0.26084,0.28446,0.30759,0.33142,0.35897,0.39085,0.42271,0.45532,0.48847
84,0.02127,0.03254,0.03843,0.04536,0.05404,0.06473,0.07776,0.09347,0.11215,0.13428,0.15685,0.17786,0.19618,0.21573,0.23706,0.26083,0.28446,0.30744,0.33129,0.35858,0.39085,0.42271,0.45532,0.48847,0.52219
85,0.02633,0.03833,0.04525,0.05331,0.06325,0.0755,0.09043,0.10837,0.12969,0.15172,0.17227,0.19382,0.21561,0.23705,0.26058,0.28445,0.30744,0.33103,0.35839,0.39085,0.42271,0.45532,0.48847,0.52219,0.55703
86,0.03229,0.04513,0.05319,0.06279,0.07414,0.08816,0.10522,0.12562,0.14679,0.16684,0.18789,0.21079,0.23546,0.26011,0.2843,0.30744,0.33077,0.35801,0.39085,0.42255,0.45516,0.48847,0.52219,0.55703,0.59195
87,0.03953,0.05309,0.06262,0.07388,0.08699,0.10294,0.12233,0.14247,0.16166,0.18212,0.2043,0.22856,0.25465,0.28087,0.30508,0.33061,0.35506,0.38773,0.41939,0.45187,0.48564,0.52034,0.55609,0.59195,0.62562
88,0.04971,0.06253,0.07373,0.08675,0.10198,0.12012,0.13911,0.15722,0.17672,0.19819,0.22155,0.24706,0.27311,0.29783,0.32378,0.35131,0.3803,0.41092,0.44316,0.47702,0.51246,0.54949,0.58808,0.62562,0.65776
89,0.06144,0.07364,0.08663,0.10177,0.11939,0.13709,0.15397,0.17223,0.19271,0.21518,0.23978,0.26541,0.29003,0.31547,0.34256,0.37123,0.40162,0.43372,0.46752,0.50301,0.54017,0.57897,0.61942,0.65776,0.69078
90,0.07357,0.08654,0.10165,0.11922,0.13662,0.1522,0.16918,0.18821,0.20957,0.23315,0.25817,0.28247,0.30711,0.33373,0.3619,0.3919,0.4237,0.4573,0.49269,0.52985,0.56875,0.60939,0.65173,0.69068,0.73205
91,0.08647,0.10156,0.1191,0.13645,0.1519,0.16759,0.18529,0.20515,0.2273,0.25168,0.27545,0.29919,0.32487,0.35254,0.38197,0.4133,0.44655,0.48167,0.51867,0.55753,0.59822,0.64071,0.68497,0.73098,0.77134
92,0.1015,0.11902,0.13633,0.15173,0.16736,0.184,0.20232,0.22302,0.24615,0.26925,0.29191,0.3166,0.3434,0.37207,0.40276,0.43546,0.47015,0.50683,0.54546,0.58605,0.62855,0.67293,0.71917,0.76721,0.81235
93,0.11896,0.13625,0.15163,0.1672,0.18377,0.20143,0.22035,0.24209,0.26421,0.28556,0.30906,0.33478,0.36248,0.39231,0.42427,0.45834,0.49451,0.53276,0.57306,0.61541,0.65974,0.70606,0.75429,0.8044,0.8559
94,0.13619,0.15155,0.1671,0.18362,0.20121,0.21987,0.23996,0.26046,0.28049,0.30258,0.32698,0.35349,0.38226,0.41327,0.44651,0.48196,0.51962,0.55947,0.60146,0.64558,0.69179,0.74006,0.79033,0.84253,0.89658
95,0.1515,0.16703,0.18352,0.20107,0.21965,0.23977,0.25885,0.27696,0.2975,0.32036,0.34545,0.37292,0.40275,0.43493,0.46946,0.50633,0.54549,0.58694,0.63065,0.67658,0.7247,0.77495,0.82727,0.88159,0.93906
96,0.16698,0.18345,0.20097,0.21951,0.23965,0.25885,0.27562,0.29424,0.31529,0.3387,0.36462,0.39304,0.42394,0.45731,0.49314,0.53141,0.5721,0.61518,0.66063,0.7084,0.75844,0.81071,0.8651,0.9245,1
97,0.18341,0.20091,0.21942,0.23958,0.25885,0.27562,0.29319,0.31217,0.33365,0.35776,0.3845,0.41386,0.44583,0.48039,0.51753,0.55723,0.59946,0.6442,0.6914,0.74102,0.79302,0.8473,0.90914,1,
98,0.20087,0.21937,0.23953,0.25885,0.27562,0.29319,0.31144,0.3307,0.35273,0.37752,0.40508,0.43538,0.46842,0.50418,0.54263,0.58377,0.62756,0.67397,0.72295,0.77444,0.8284,0.89326,1,,
