Table Name:,"2001 VBT Super Preferred Select and Ultimate - Female Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Super Preferred Select and Ultimate Table - Female Nonsmoker.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,Dates,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00016,0.00017,0.00017,0.00018,0.00018,0.00019,0.00019,0.00019,0.0002
1,,,,,,,,,,,,,,,,0.00015,0.00016,0.00017,0.00018,0.00018,0.00019,0.00019,0.00019,0.00019,0.0002
2,,,,,,,,,,,,,,,0.00015,0.00016,0.00017,0.00018,0.00018,0.00019,0.00019,0.00019,0.00019,0.0002,0.0002
3,,,,,,,,,,,,,,0.00015,0.00016,0.00016,0.00017,0.00018,0.00018,0.00019,0.00019,0.00019,0.0002,0.0002,0.00022
4,,,,,,,,,,,,,0.00015,0.00016,0.00016,0.00017,0.00017,0.00018,0.00019,0.00019,0.00019,0.0002,0.0002,0.00022,0.00023
5,,,,,,,,,,,,0.00014,0.00015,0.00016,0.00017,0.00017,0.00018,0.00019,0.00019,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024
6,,,,,,,,,,,0.00014,0.00015,0.00016,0.00016,0.00017,0.00018,0.00018,0.00019,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024,0.00024
7,,,,,,,,,,0.00014,0.00015,0.00015,0.00016,0.00017,0.00017,0.00018,0.00018,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024,0.00024,0.00026
8,,,,,,,,,0.00014,0.00015,0.00015,0.00016,0.00017,0.00017,0.00018,0.00018,0.00019,0.0002,0.0002,0.00022,0.00023,0.00024,0.00024,0.00026,0.00027
9,,,,,,,,0.00014,0.00014,0.00015,0.00016,0.00016,0.00017,0.00017,0.00018,0.00019,0.0002,0.0002,0.00021,0.00023,0.00024,0.00024,0.00026,0.00027,0.00029
10,,,,,,,0.00013,0.00014,0.00014,0.00015,0.00016,0.00016,0.00017,0.00018,0.00018,0.00019,0.0002,0.00021,0.00023,0.00024,0.00024,0.00026,0.00027,0.00029,0.00032
11,,,,,,0.00013,0.00014,0.00014,0.00015,0.00015,0.00016,0.00017,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00024,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034
12,,,,,0.00013,0.00013,0.00014,0.00014,0.00015,0.00015,0.00016,0.00017,0.00018,0.00019,0.00019,0.00021,0.00022,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00037
13,,,,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00017,0.00018,0.00019,0.0002,0.00022,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00037,0.00039
14,,,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002,0.00022,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041
15,,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00016,0.00017,0.00019,0.0002,0.00021,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044
16,0.00013,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00016,0.00018,0.00019,0.00021,0.00023,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044,0.00046
17,0.00013,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00019,0.0002,0.00022,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044,0.00046,0.00049
18,0.00013,0.00012,0.00012,0.00013,0.00013,0.00014,0.00014,0.00016,0.00017,0.00018,0.0002,0.00022,0.00024,0.00026,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044,0.00046,0.00049,0.00052
19,0.00012,0.00012,0.00012,0.00013,0.00013,0.00014,0.00015,0.00016,0.00018,0.00019,0.00021,0.00023,0.00025,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044,0.00046,0.00049,0.00052,0.00056
20,0.00011,0.00011,0.00012,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.00021,0.00023,0.00025,0.00027,0.00029,0.00031,0.00034,0.00036,0.00039,0.00041,0.00044,0.00046,0.00049,0.00052,0.00056,0.00061
21,0.0001,0.0001,0.00011,0.00012,0.00013,0.00015,0.00017,0.00018,0.0002,0.00022,0.00024,0.00026,0.00029,0.00031,0.00033,0.00036,0.00038,0.00041,0.00043,0.00046,0.00049,0.00052,0.00056,0.00061,0.00067
22,9E-05,0.0001,0.00011,0.00012,0.00014,0.00016,0.00017,0.00019,0.00021,0.00024,0.00026,0.00028,0.0003,0.00033,0.00035,0.00038,0.0004,0.00043,0.00046,0.00049,0.00052,0.00056,0.00061,0.00067,0.00074
23,8E-05,9E-05,0.00011,0.00012,0.00014,0.00016,0.00018,0.00021,0.00023,0.00025,0.00027,0.0003,0.00032,0.00035,0.00037,0.0004,0.00042,0.00045,0.00049,0.00052,0.00056,0.00061,0.00067,0.00074,0.00082
24,7E-05,9E-05,0.00011,0.00013,0.00015,0.00017,0.00019,0.00021,0.00024,0.00026,0.00029,0.00031,0.00034,0.00036,0.00039,0.00042,0.00044,0.00048,0.00052,0.00056,0.00061,0.00067,0.00074,0.00082,0.00096
25,7E-05,9E-05,0.00011,0.00013,0.00015,0.00018,0.0002,0.00023,0.00025,0.00028,0.0003,0.00032,0.00035,0.00038,0.0004,0.00044,0.00048,0.00052,0.00056,0.0006,0.00067,0.00074,0.00082,0.00096,0.00107
26,7E-05,9E-05,0.00011,0.00014,0.00016,0.00019,0.00021,0.00023,0.00026,0.00029,0.00031,0.00034,0.00037,0.00039,0.00043,0.00046,0.00051,0.00055,0.0006,0.00067,0.00074,0.00082,0.00095,0.00107,0.00122
27,7E-05,9E-05,0.00012,0.00014,0.00017,0.00019,0.00022,0.00024,0.00027,0.0003,0.00032,0.00035,0.00038,0.00042,0.00045,0.0005,0.00054,0.0006,0.00067,0.00074,0.00082,0.00095,0.00107,0.00122,0.00138
28,8E-05,0.0001,0.00012,0.00015,0.00017,0.0002,0.00023,0.00025,0.00028,0.0003,0.00034,0.00037,0.0004,0.00044,0.00048,0.00054,0.00059,0.00066,0.00074,0.00082,0.00095,0.00107,0.00122,0.00138,0.0016
29,8E-05,0.00011,0.00013,0.00015,0.00018,0.00021,0.00023,0.00026,0.00029,0.00032,0.00035,0.00038,0.00042,0.00047,0.00052,0.00058,0.00065,0.00073,0.00082,0.00093,0.00107,0.00122,0.00138,0.0016,0.00182
30,9E-05,0.00011,0.00013,0.00016,0.00018,0.00021,0.00024,0.00026,0.00029,0.00033,0.00037,0.00041,0.00045,0.00051,0.00057,0.00064,0.00072,0.00081,0.00092,0.00105,0.0012,0.00138,0.00158,0.00182,0.00209
31,0.0001,0.00012,0.00014,0.00017,0.00019,0.00022,0.00025,0.00028,0.00031,0.00035,0.00039,0.00044,0.00049,0.00056,0.00063,0.00071,0.00079,0.00091,0.00103,0.00118,0.00136,0.00156,0.00179,0.00206,0.00238
32,0.0001,0.00012,0.00015,0.00017,0.0002,0.00023,0.00026,0.00029,0.00033,0.00037,0.00042,0.00048,0.00054,0.00061,0.0007,0.00078,0.00089,0.00101,0.00115,0.00132,0.00152,0.00175,0.00202,0.00234,0.00268
33,0.00011,0.00013,0.00015,0.00018,0.00021,0.00024,0.00028,0.00031,0.00035,0.00041,0.00047,0.00053,0.0006,0.00068,0.00077,0.00088,0.00099,0.00113,0.00129,0.00148,0.0017,0.00196,0.0023,0.00262,0.00305
34,0.00011,0.00013,0.00015,0.00019,0.00022,0.00025,0.00029,0.00034,0.00039,0.00045,0.00051,0.00059,0.00067,0.00076,0.00086,0.00098,0.00111,0.00126,0.00144,0.00165,0.0019,0.00219,0.00254,0.00294,0.0034
35,0.00011,0.00013,0.00016,0.00019,0.00023,0.00027,0.00032,0.00038,0.00043,0.0005,0.00057,0.00066,0.00075,0.00085,0.00096,0.00109,0.00123,0.0014,0.0016,0.00182,0.0021,0.00242,0.00279,0.00322,0.00371
36,0.00011,0.00014,0.00017,0.00021,0.00025,0.0003,0.00035,0.00041,0.00048,0.00056,0.00064,0.00073,0.00084,0.00095,0.00108,0.00121,0.00137,0.00156,0.00177,0.00202,0.00232,0.00267,0.00304,0.00351,0.00408
37,0.00011,0.00014,0.00017,0.00022,0.00027,0.00033,0.00039,0.00046,0.00053,0.00062,0.00071,0.00082,0.00093,0.00106,0.0012,0.00135,0.00152,0.00173,0.00196,0.00223,0.00255,0.00293,0.00336,0.00388,0.00449
38,0.00011,0.00015,0.00019,0.00024,0.00029,0.00035,0.00043,0.0005,0.00059,0.00069,0.00079,0.00091,0.00104,0.00117,0.00133,0.0015,0.00169,0.00191,0.00217,0.00246,0.00281,0.00321,0.00373,0.00429,0.00486
39,0.00012,0.00016,0.0002,0.00026,0.00032,0.00039,0.00047,0.00056,0.00065,0.00076,0.00088,0.00101,0.00115,0.0013,0.00147,0.00165,0.00187,0.00211,0.00239,0.00271,0.00308,0.00357,0.00414,0.0047,0.00536
40,0.00013,0.00018,0.00023,0.00029,0.00036,0.00043,0.00052,0.00062,0.00073,0.00084,0.00097,0.00111,0.00127,0.00144,0.00162,0.00183,0.00206,0.00232,0.00262,0.00298,0.00341,0.00406,0.00462,0.00528,0.00586
41,0.00015,0.0002,0.00026,0.00032,0.0004,0.00049,0.00058,0.00068,0.0008,0.00093,0.00108,0.00123,0.0014,0.00159,0.00179,0.00202,0.00227,0.00256,0.00289,0.00329,0.00394,0.00454,0.00524,0.00582,0.0064
42,0.00016,0.00022,0.00029,0.00036,0.00045,0.00054,0.00065,0.00076,0.00089,0.00103,0.00118,0.00136,0.00155,0.00175,0.00198,0.00222,0.00249,0.00281,0.00317,0.00379,0.00447,0.0052,0.00582,0.00636,0.00692
43,0.00019,0.00025,0.00033,0.00041,0.00051,0.00061,0.00072,0.00085,0.00099,0.00114,0.00131,0.0015,0.0017,0.00193,0.00218,0.00244,0.00274,0.00309,0.00363,0.00435,0.00512,0.00578,0.00632,0.00688,0.00754
44,0.00021,0.00028,0.00037,0.00047,0.00057,0.00068,0.0008,0.00094,0.00109,0.00126,0.00145,0.00165,0.00188,0.00212,0.00239,0.00268,0.003,0.00338,0.00415,0.00504,0.00578,0.00632,0.00684,0.0075,0.00814
45,0.00024,0.00032,0.00042,0.00052,0.00064,0.00076,0.0009,0.00105,0.00121,0.00139,0.00159,0.00181,0.00206,0.00233,0.00262,0.00293,0.00329,0.00384,0.00485,0.00578,0.00628,0.00684,0.00742,0.00814,0.00886
46,0.00027,0.00036,0.00047,0.00058,0.00071,0.00085,0.001,0.00116,0.00134,0.00153,0.00175,0.00199,0.00225,0.00254,0.00286,0.0032,0.00359,0.00438,0.0055,0.00628,0.00684,0.00742,0.0081,0.00882,0.0097
47,0.0003,0.0004,0.00052,0.00065,0.00079,0.00093,0.0011,0.00127,0.00146,0.00168,0.00191,0.00217,0.00246,0.00277,0.00311,0.00348,0.00391,0.00492,0.00617,0.0068,0.00742,0.0081,0.00882,0.00962,0.01066
48,0.00033,0.00045,0.00057,0.00071,0.00086,0.00102,0.00119,0.00139,0.0016,0.00183,0.00208,0.00236,0.00267,0.00301,0.00339,0.00379,0.00425,0.00542,0.00677,0.00742,0.00803,0.00874,0.00962,0.01066,0.01163
49,0.00035,0.00047,0.00063,0.00077,0.00093,0.0011,0.00129,0.0015,0.00172,0.00197,0.00225,0.00256,0.00289,0.00327,0.00368,0.00412,0.00462,0.00598,0.00734,0.00803,0.00874,0.00962,0.01066,0.01163,0.01284
50,0.00036,0.00052,0.00068,0.00083,0.001,0.00118,0.00138,0.0016,0.00185,0.00212,0.00242,0.00276,0.00312,0.00353,0.00398,0.00447,0.00503,0.0066,0.00799,0.00874,0.00962,0.01066,0.01163,0.01284,0.01424
51,0.00038,0.00058,0.00074,0.00089,0.00107,0.00126,0.00147,0.00171,0.00198,0.00227,0.0026,0.00296,0.00337,0.00382,0.00431,0.00485,0.00547,0.0072,0.00866,0.00962,0.01066,0.01163,0.01284,0.01424,0.01552
52,0.0004,0.00065,0.0008,0.00095,0.00113,0.00133,0.00156,0.00181,0.0021,0.00243,0.00278,0.00318,0.00362,0.00412,0.00467,0.00526,0.00596,0.00796,0.00946,0.01066,0.01163,0.01284,0.01424,0.01552,0.01752
53,0.00042,0.0007,0.00086,0.00101,0.0012,0.00141,0.00165,0.00192,0.00223,0.00259,0.00298,0.00342,0.00391,0.00445,0.00506,0.00572,0.00655,0.00884,0.01043,0.01163,0.01284,0.01424,0.01552,0.01752,0.01961
54,0.00044,0.00075,0.00092,0.00108,0.00127,0.00149,0.00174,0.00204,0.00237,0.00275,0.00319,0.00367,0.00422,0.00483,0.00551,0.00625,0.00719,0.00969,0.01139,0.01276,0.01417,0.01552,0.01752,0.01961,0.02206
55,0.00047,0.0008,0.00099,0.00115,0.00135,0.00158,0.00185,0.00216,0.00253,0.00295,0.00342,0.00396,0.00457,0.00525,0.00601,0.00685,0.008,0.0108,0.01253,0.01417,0.01552,0.01752,0.01961,0.02206,0.02497
56,0.00052,0.00086,0.00108,0.00125,0.00145,0.00169,0.00198,0.00232,0.00272,0.00318,0.0037,0.0043,0.00497,0.00574,0.00658,0.00753,0.00904,0.01229,0.01381,0.01544,0.0174,0.01961,0.02206,0.02485,0.02793
57,0.00055,0.00093,0.00117,0.00135,0.00157,0.00183,0.00214,0.00252,0.00295,0.00345,0.00402,0.00468,0.00543,0.00629,0.00724,0.0083,0.01037,0.01354,0.01505,0.01729,0.0195,0.02195,0.02485,0.02778,0.02811
58,0.00056,0.00099,0.00127,0.00146,0.0017,0.00199,0.00233,0.00274,0.00321,0.00377,0.0044,0.00513,0.00596,0.00691,0.00797,0.00917,0.01197,0.01474,0.0169,0.01938,0.02183,0.0247,0.02778,0.02811,0.02816
59,0.00061,0.00105,0.00137,0.00158,0.00184,0.00216,0.00254,0.00299,0.00352,0.00413,0.00483,0.00564,0.00656,0.00761,0.0088,0.01013,0.0138,0.01654,0.01891,0.02171,0.02458,0.02762,0.02796,0.02815,0.02994
60,0.00064,0.00112,0.00148,0.0017,0.00199,0.00235,0.00278,0.00328,0.00387,0.00455,0.00533,0.00622,0.00726,0.00843,0.00974,0.01122,0.01611,0.01856,0.02116,0.02442,0.02746,0.02776,0.02797,0.02994,0.03187
61,0.00067,0.00118,0.00158,0.00183,0.00215,0.00255,0.00302,0.00359,0.00425,0.00501,0.0059,0.0069,0.00805,0.00935,0.01082,0.01325,0.01809,0.02081,0.02388,0.02715,0.0276,0.0278,0.02974,0.03187,0.03389
62,0.00072,0.00125,0.00168,0.00195,0.0023,0.00275,0.00328,0.00392,0.00467,0.00553,0.00652,0.00766,0.00895,0.01042,0.01206,0.01656,0.02026,0.02344,0.02672,0.02725,0.0277,0.0295,0.03167,0.03361,0.0404
63,0.00081,0.00132,0.00177,0.00206,0.00245,0.00295,0.00355,0.00427,0.00512,0.0061,0.00723,0.00852,0.00997,0.01161,0.01345,0.01991,0.02286,0.02625,0.02674,0.0273,0.02911,0.03144,0.03338,0.04013,0.04172
64,0.00091,0.00169,0.00188,0.00218,0.00261,0.00316,0.00384,0.00465,0.00561,0.00672,0.00801,0.00947,0.01112,0.01295,0.01662,0.02247,0.02562,0.0267,0.0268,0.02848,0.031,0.03314,0.03985,0.04145,0.04811
65,0.00103,0.00179,0.00198,0.00231,0.00277,0.00338,0.00415,0.00507,0.00616,0.00742,0.00888,0.01053,0.01238,0.01446,0.02102,0.02515,0.02567,0.02675,0.02789,0.0303,0.03263,0.03935,0.04113,0.0478,0.05644
66,0.00108,0.00192,0.00211,0.00245,0.00297,0.00365,0.00451,0.00556,0.0068,0.00823,0.00987,0.01175,0.01384,0.01647,0.025,0.02541,0.02572,0.0277,0.0301,0.0324,0.03907,0.04086,0.0478,0.05609,0.06677
67,0.00112,0.00206,0.00224,0.00262,0.0032,0.00397,0.00494,0.00612,0.00752,0.00915,0.01101,0.01311,0.01548,0.0212,0.02541,0.02557,0.0277,0.0301,0.03216,0.0388,0.04055,0.04744,0.05574,0.06677,0.07952
68,0.00127,0.00221,0.00242,0.00284,0.00348,0.00435,0.00545,0.00679,0.00837,0.01021,0.0123,0.01467,0.01732,0.02361,0.02547,0.0275,0.02987,0.03193,0.0388,0.04055,0.04713,0.05574,0.06637,0.07952,0.09565
69,0.00143,0.00238,0.00262,0.0031,0.00383,0.00481,0.00605,0.00757,0.00935,0.01142,0.01377,0.01642,0.01937,0.02537,0.0275,0.02963,0.03193,0.03852,0.04027,0.04713,0.05574,0.06637,0.07952,0.09565,0.11519
70,0.00161,0.00256,0.00286,0.00342,0.00425,0.00537,0.00678,0.00849,0.0105,0.01281,0.01543,0.01839,0.02166,0.0275,0.02963,0.03193,0.03852,0.04027,0.04713,0.05568,0.06631,0.07944,0.09555,0.11519,0.13904
71,0.00184,0.00278,0.00314,0.0038,0.00477,0.00605,0.00764,0.00956,0.01181,0.0144,0.01732,0.02059,0.02424,0.02963,0.0303,0.03719,0.04014,0.04708,0.05568,0.06631,0.07944,0.09545,0.11507,0.13904,0.15511
72,0.00278,0.00301,0.00348,0.00426,0.00539,0.00685,0.00866,0.01081,0.01333,0.01622,0.01946,0.02308,0.02771,0.02998,0.03586,0.04006,0.04699,0.05568,0.06631,0.07944,0.09545,0.11507,0.13891,0.15495,0.17015
73,0.00301,0.0033,0.00388,0.00482,0.00613,0.00779,0.00983,0.01225,0.01506,0.01827,0.02186,0.02584,0.0297,0.03453,0.03994,0.04694,0.05568,0.06631,0.07944,0.09545,0.11507,0.13891,0.15495,0.16998,0.18645
74,0.00328,0.00364,0.00437,0.00549,0.007,0.0089,0.0112,0.01391,0.01703,0.02058,0.02453,0.02938,0.03413,0.03981,0.04689,0.05563,0.06624,0.07944,0.09535,0.11496,0.13877,0.1548,0.16998,0.18645,0.20453
75,0.00357,0.00407,0.00498,0.0063,0.00803,0.01019,0.01277,0.0158,0.01927,0.02319,0.02798,0.03397,0.03973,0.04684,0.05563,0.06624,0.07944,0.09535,0.11496,0.13877,0.1548,0.16998,0.18645,0.20453,0.22413
76,0.00394,0.00461,0.00571,0.00724,0.00922,0.01165,0.01452,0.01786,0.02167,0.02639,0.03226,0.0396,0.0468,0.05563,0.06624,0.07936,0.09535,0.11496,0.13862,0.1548,0.16981,0.18626,0.20433,0.22413,0.24585
77,0.00445,0.0053,0.00661,0.00838,0.01061,0.01331,0.0165,0.02018,0.02475,0.03053,0.03772,0.04673,0.05557,0.06624,0.07936,0.09535,0.11484,0.13862,0.15464,0.16981,0.18626,0.20433,0.22413,0.24585,0.26942
78,0.00514,0.00618,0.00771,0.00972,0.01223,0.01522,0.01874,0.02317,0.02873,0.0358,0.04456,0.05557,0.06624,0.07936,0.09525,0.11484,0.13848,0.15464,0.16964,0.18626,0.20433,0.22413,0.24561,0.26942,0.29524
79,0.0054,0.00731,0.00906,0.01133,0.0141,0.01742,0.02165,0.027,0.0338,0.04239,0.05314,0.06618,0.07928,0.09525,0.11473,0.13848,0.15448,0.16964,0.18607,0.20433,0.22413,0.24561,0.26942,0.29524,0.32322
80,0.00605,0.00871,0.01069,0.01322,0.01628,0.02025,0.02538,0.0319,0.04019,0.05067,0.06366,0.07919,0.09516,0.11461,0.13821,0.15448,0.16947,0.18607,0.20412,0.22391,0.24561,0.26942,0.29524,0.32257,0.35491
81,0.00682,0.01041,0.01263,0.01541,0.01911,0.02392,0.03013,0.03808,0.04818,0.0609,0.07663,0.09516,0.11461,0.13821,0.15433,0.16947,0.18607,0.20412,0.22391,0.24561,0.26942,0.29524,0.32225,0.35491,0.38835
82,0.00767,0.01248,0.01491,0.01827,0.02274,0.02859,0.03616,0.04583,0.05808,0.07346,0.09237,0.11449,0.13806,0.15433,0.16947,0.18589,0.20412,0.22391,0.24561,0.26942,0.29524,0.3216,0.35491,0.38835,0.42259
83,0.00853,0.0149,0.01789,0.02198,0.02743,0.03457,0.04373,0.05546,0.07026,0.08873,0.11133,0.13806,0.15417,0.16929,0.18589,0.20412,0.22391,0.24561,0.26942,0.29524,0.32096,0.35491,0.38835,0.42259,0.45763
84,0.01061,0.01787,0.02174,0.02674,0.03337,0.04205,0.05322,0.06739,0.08509,0.10704,0.13386,0.15417,0.16929,0.18589,0.20392,0.22391,0.24561,0.26915,0.29524,0.32031,0.35491,0.38835,0.42259,0.45763,0.49287
85,0.01298,0.02172,0.0267,0.0328,0.04092,0.05141,0.06488,0.08189,0.10301,0.12906,0.14881,0.16785,0.1857,0.20392,0.22368,0.24561,0.26915,0.29524,0.31998,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951
86,0.0177,0.02667,0.0328,0.0405,0.05032,0.06306,0.07924,0.09946,0.1245,0.14373,0.16226,0.18233,0.20392,0.22368,0.24536,0.26915,0.29524,0.31934,0.35491,0.38835,0.42259,0.45763,0.49287,0.52951,0.56695
87,0.02179,0.03276,0.04046,0.05018,0.06206,0.07729,0.09659,0.12056,0.13896,0.15697,0.17647,0.19761,0.22017,0.24433,0.26915,0.29524,0.31869,0.35491,0.38835,0.42216,0.45717,0.49287,0.52951,0.56695,0.603
88,0.02921,0.04046,0.05012,0.062,0.07652,0.0947,0.11751,0.13493,0.15209,0.17099,0.19127,0.21344,0.23711,0.26247,0.28953,0.3183,0.34843,0.38022,0.41365,0.44874,0.48548,0.52387,0.56392,0.603,0.638
89,0.03886,0.05012,0.062,0.07644,0.09408,0.11564,0.13192,0.14805,0.16601,0.18561,0.20702,0.23003,0.25481,0.28138,0.30973,0.33955,0.37111,0.4044,0.43943,0.47621,0.51472,0.55496,0.59695,0.638,0.67
90,0.05012,0.062,0.07644,0.09408,0.11528,0.13039,0.14531,0.16198,0.18072,0.20118,0.22334,0.24736,0.27327,0.30105,0.33039,0.36157,0.39457,0.4294,0.46607,0.50456,0.54489,0.58704,0.63103,0.67,0.7145
91,0.062,0.07644,0.09408,0.11528,0.13026,0.14391,0.1594,0.17672,0.19602,0.21734,0.24041,0.26546,0.2922,0.32118,0.3518,0.38434,0.41882,0.45522,0.49355,0.53381,0.57599,0.6201,0.66614,0.7141,0.756
92,0.07644,0.09408,0.11528,0.13026,0.14391,0.15829,0.17432,0.19227,0.21211,0.23424,0.25824,0.28403,0.31216,0.34204,0.37395,0.40789,0.44386,0.48186,0.52188,0.56394,0.60803,0.65414,0.70229,0.75246,0.799
93,0.09408,0.11528,0.13026,0.14391,0.15829,0.17352,0.18988,0.20843,0.22919,0.25192,0.27655,0.30363,0.33256,0.36364,0.39685,0.4322,0.46969,0.50931,0.55107,0.59497,0.641,0.68917,0.73947,0.79191,0.846
94,0.11528,0.13026,0.14391,0.15829,0.17352,0.18962,0.20645,0.22538,0.24683,0.27009,0.29588,0.32366,0.35369,0.38597,0.4205,0.45727,0.4963,0.53758,0.5811,0.62688,0.6749,0.72517,0.77769,0.83246,0.88948
95,0.13026,0.14391,0.15829,0.17352,0.18962,0.20645,0.22365,0.24311,0.26498,0.28927,0.31566,0.34442,0.37554,0.40903,0.44489,0.48312,0.52371,0.56667,0.61199,0.65968,0.70974,0.76216,0.81695,0.87411,0.93363
96,0.14391,0.15829,0.17352,0.18962,0.20645,0.22365,0.24165,0.26164,0.28417,0.30892,0.33616,0.3659,0.39812,0.43283,0.47003,0.50972,0.5519,0.59657,0.64373,0.69338,0.74551,0.80014,0.85725,0.91685,1
97,0.15829,0.17352,0.18962,0.20645,0.22365,0.24165,0.26046,0.28096,0.30382,0.3293,0.35739,0.3881,0.42142,0.45736,0.49592,0.5371,0.58089,0.6273,0.67632,0.72796,0.78222,0.83909,0.89858,1,
98,0.17352,0.18962,0.20645,0.22365,0.24165,0.26046,0.28009,0.30078,0.32422,0.3504,0.37934,0.41102,0.44545,0.48263,0.52256,0.56524,0.61066,0.65884,0.70976,0.76343,0.81986,0.87903,1,,
