Table Name:,"2001 VBT Preferred Select and Ultimate - Male Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table -  Male Smoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,Dates,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00054,0.00065,0.00073,0.00079,0.00083,0.00087,0.00092,0.00096,0.00101
1,,,,,,,,,,,,,,,,0.00051,0.00062,0.00072,0.00078,0.00082,0.00087,0.00092,0.00096,0.00101,0.00106
2,,,,,,,,,,,,,,,0.0005,0.0006,0.0007,0.00077,0.00082,0.00087,0.00092,0.00096,0.00101,0.00106,0.00111
3,,,,,,,,,,,,,,0.00049,0.0006,0.00069,0.00077,0.00082,0.00087,0.00092,0.00096,0.00101,0.00106,0.00109,0.00113
4,,,,,,,,,,,,,0.00049,0.0006,0.00069,0.00077,0.00082,0.00087,0.00092,0.00096,0.00101,0.00106,0.00108,0.00111,0.00113
5,,,,,,,,,,,,0.00049,0.0006,0.00069,0.00077,0.00082,0.00087,0.00091,0.00096,0.00101,0.00105,0.00108,0.00109,0.00111,0.00112
6,,,,,,,,,,,0.00049,0.0006,0.00069,0.00077,0.00082,0.00087,0.0009,0.00095,0.00101,0.00104,0.00106,0.00107,0.00109,0.0011,0.00111
7,,,,,,,,,,0.00049,0.0006,0.00069,0.00076,0.00081,0.00085,0.0009,0.00094,0.00099,0.00103,0.00105,0.00106,0.00108,0.00109,0.0011,0.00112
8,,,,,,,,,0.00048,0.0006,0.00069,0.00076,0.00081,0.00085,0.00088,0.00092,0.00099,0.00103,0.00105,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114
9,,,,,,,,0.00048,0.0006,0.00069,0.00076,0.00081,0.00084,0.00088,0.00092,0.00096,0.00102,0.00105,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114,0.00118
10,,,,,,,0.00048,0.00059,0.00068,0.00076,0.0008,0.00084,0.00086,0.00091,0.00096,0.00101,0.00105,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114,0.00118,0.00121
11,,,,,,0.00048,0.00059,0.00068,0.00074,0.00079,0.00082,0.00086,0.0009,0.00096,0.00101,0.00105,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114,0.00118,0.00121,0.00126
12,,,,,0.00048,0.00059,0.00068,0.00074,0.00078,0.00081,0.00085,0.00089,0.00094,0.001,0.00105,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114,0.00118,0.00121,0.00126,0.00133
13,,,,0.00048,0.00059,0.00068,0.00073,0.00077,0.00081,0.00084,0.00087,0.00093,0.00099,0.00104,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114,0.00118,0.00121,0.00126,0.00133,0.00142
14,,,0.00048,0.00059,0.00068,0.00072,0.00077,0.00079,0.00083,0.00086,0.00091,0.00097,0.00103,0.00106,0.00108,0.00109,0.0011,0.00112,0.00114,0.00118,0.00121,0.00126,0.00133,0.00142,0.00152
15,,0.00048,0.00059,0.00068,0.00072,0.00075,0.00079,0.00081,0.00085,0.0009,0.00095,0.001,0.00105,0.00108,0.00109,0.0011,0.00112,0.00114,0.00117,0.00121,0.00126,0.00133,0.00142,0.00152,0.00164
16,0.00048,0.00059,0.00068,0.00072,0.00075,0.00078,0.00081,0.00084,0.00089,0.00093,0.00097,0.00102,0.00105,0.00108,0.00109,0.0011,0.00114,0.00117,0.00121,0.00126,0.00133,0.00142,0.00152,0.00164,0.00178
17,0.00059,0.00067,0.00071,0.00074,0.00077,0.0008,0.00084,0.00087,0.00091,0.00094,0.00098,0.00101,0.00103,0.00106,0.00108,0.00109,0.00117,0.0012,0.00126,0.00132,0.00141,0.00152,0.00164,0.00178,0.00196
18,0.00065,0.00069,0.00072,0.00075,0.00078,0.0008,0.00085,0.00089,0.00092,0.00093,0.00096,0.00098,0.00101,0.00105,0.00109,0.00112,0.0012,0.00125,0.00132,0.00141,0.00152,0.00163,0.00178,0.00196,0.00217
19,0.00066,0.00069,0.00072,0.00075,0.00077,0.00081,0.00084,0.00087,0.00089,0.00091,0.00093,0.00095,0.00099,0.00104,0.00112,0.00118,0.00125,0.00132,0.00141,0.00152,0.00163,0.00177,0.00196,0.00217,0.00243
20,0.00064,0.00067,0.00069,0.00072,0.00075,0.00079,0.00082,0.00083,0.00085,0.00087,0.0009,0.00093,0.00098,0.00106,0.00116,0.00125,0.00132,0.00141,0.00152,0.00163,0.00177,0.00196,0.00217,0.00243,0.00271
21,0.00061,0.00064,0.00066,0.00069,0.00073,0.00075,0.00078,0.00079,0.00081,0.00085,0.00089,0.00093,0.00099,0.00109,0.00121,0.00132,0.00141,0.00152,0.00163,0.00177,0.00196,0.00217,0.00243,0.00271,0.003
22,0.00057,0.0006,0.00063,0.00067,0.0007,0.00073,0.00075,0.00077,0.00079,0.00084,0.00089,0.00094,0.00102,0.00113,0.00127,0.00141,0.00152,0.00163,0.00177,0.00196,0.00217,0.00243,0.00271,0.003,0.00329
23,0.00053,0.00056,0.00061,0.00065,0.00069,0.00072,0.00074,0.00076,0.0008,0.00085,0.00091,0.00098,0.00107,0.00119,0.00136,0.0015,0.00163,0.00177,0.00196,0.00217,0.00242,0.00271,0.00299,0.00328,0.00351
24,0.00047,0.00052,0.00058,0.00064,0.00069,0.00072,0.00075,0.00078,0.00083,0.00089,0.00096,0.00103,0.00113,0.00127,0.00145,0.00162,0.00177,0.00196,0.00217,0.00242,0.0027,0.00299,0.00328,0.00351,0.00368
25,0.00041,0.00049,0.00057,0.00066,0.0007,0.00073,0.00077,0.00081,0.00087,0.00094,0.00102,0.0011,0.00122,0.00138,0.00155,0.00177,0.00196,0.00217,0.00242,0.0027,0.00299,0.00328,0.00351,0.00368,0.00393
26,0.00038,0.00048,0.00059,0.00068,0.00072,0.00076,0.0008,0.00086,0.00092,0.00101,0.0011,0.0012,0.00133,0.00151,0.00169,0.00194,0.00217,0.00242,0.0027,0.00299,0.00328,0.0035,0.00368,0.00393,0.00429
27,0.00037,0.0005,0.00061,0.0007,0.00076,0.0008,0.00085,0.00091,0.00099,0.0011,0.0012,0.00132,0.00147,0.00167,0.00187,0.00215,0.00241,0.0027,0.00299,0.00327,0.0035,0.00368,0.00393,0.00429,0.00475
28,0.00038,0.00051,0.00063,0.00072,0.0008,0.00084,0.0009,0.00098,0.00107,0.0012,0.00132,0.00147,0.00163,0.00184,0.00208,0.00239,0.00269,0.00299,0.00326,0.0035,0.00368,0.00393,0.00429,0.00475,0.00533
29,0.00037,0.00052,0.00064,0.00074,0.00083,0.0009,0.00098,0.00107,0.00117,0.00132,0.00145,0.00161,0.00178,0.00201,0.0023,0.00263,0.00296,0.00326,0.00349,0.00368,0.00393,0.00429,0.00475,0.00533,0.00591
30,0.00037,0.00053,0.00064,0.00076,0.00087,0.00097,0.00107,0.00116,0.00127,0.00142,0.00156,0.00174,0.00195,0.00222,0.00255,0.00288,0.0032,0.00348,0.00368,0.00393,0.00429,0.00475,0.00533,0.00591,0.00639
31,0.00036,0.00051,0.00064,0.00077,0.0009,0.00102,0.00113,0.00124,0.00135,0.00148,0.00164,0.00188,0.00217,0.0025,0.00284,0.00316,0.00345,0.00368,0.00393,0.00429,0.00475,0.00533,0.00591,0.00639,0.00703
32,0.00036,0.00051,0.00066,0.0008,0.00094,0.00106,0.00119,0.0013,0.00142,0.00155,0.00175,0.00204,0.00241,0.00278,0.00311,0.00342,0.00368,0.00393,0.00429,0.00475,0.00533,0.00591,0.00638,0.00703,0.00772
33,0.00039,0.00054,0.0007,0.00085,0.001,0.00114,0.00127,0.00139,0.00152,0.00167,0.00192,0.00225,0.00265,0.00304,0.00337,0.00366,0.00393,0.00429,0.00475,0.00533,0.00591,0.00638,0.00701,0.00772,0.0083
34,0.00042,0.00058,0.00074,0.00089,0.00105,0.00121,0.00136,0.0015,0.00166,0.00186,0.00214,0.0025,0.00289,0.0033,0.00364,0.00393,0.00429,0.00475,0.00533,0.00591,0.00638,0.00701,0.00772,0.0083,0.00887
35,0.00045,0.00061,0.00077,0.00094,0.0011,0.00127,0.00144,0.00164,0.00185,0.00211,0.0024,0.00276,0.00315,0.00357,0.00393,0.00429,0.00475,0.00533,0.00591,0.00638,0.00701,0.00772,0.0083,0.00887,0.00949
36,0.00048,0.00063,0.0008,0.00097,0.00115,0.00133,0.00154,0.00181,0.00208,0.00237,0.00266,0.00301,0.00342,0.00391,0.00429,0.00475,0.00533,0.00591,0.00638,0.00701,0.00772,0.0083,0.00887,0.00949,0.01033
37,0.00051,0.00067,0.00086,0.00102,0.0012,0.00142,0.0017,0.00202,0.00234,0.00263,0.00292,0.00326,0.0037,0.00429,0.00475,0.00533,0.00591,0.00638,0.00701,0.00772,0.0083,0.00887,0.00949,0.01033,0.01148
38,0.00056,0.00075,0.00094,0.0011,0.00129,0.00155,0.0019,0.00225,0.00259,0.00289,0.00317,0.00355,0.00401,0.00462,0.00533,0.00591,0.00638,0.00701,0.00772,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288
39,0.00061,0.00083,0.00102,0.00119,0.00142,0.00174,0.00212,0.00249,0.00283,0.00314,0.00346,0.0039,0.0044,0.00498,0.00574,0.00636,0.00701,0.00772,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438
40,0.00065,0.00089,0.00112,0.00133,0.0016,0.00197,0.00236,0.00274,0.00307,0.00343,0.00384,0.00433,0.00488,0.0055,0.00618,0.007,0.00772,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562
41,0.00069,0.00098,0.00126,0.00151,0.00181,0.0022,0.00261,0.00299,0.00337,0.0038,0.00428,0.00482,0.00544,0.00613,0.00698,0.00772,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657
42,0.00073,0.00107,0.00139,0.00167,0.002,0.00238,0.00281,0.00324,0.00369,0.0042,0.00474,0.00537,0.00609,0.00691,0.00772,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768
43,0.00078,0.00114,0.00148,0.00178,0.00212,0.00253,0.00301,0.00352,0.00403,0.00461,0.0052,0.00599,0.00684,0.00767,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907
44,0.00085,0.00122,0.00156,0.00188,0.00226,0.00271,0.00326,0.00384,0.00443,0.00506,0.00576,0.00674,0.00761,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069
45,0.00094,0.0013,0.00164,0.00199,0.00242,0.00294,0.00356,0.00421,0.00488,0.00557,0.00642,0.00746,0.0083,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069,0.02309
46,0.00104,0.00138,0.00172,0.00211,0.00262,0.00321,0.00388,0.00462,0.00534,0.00617,0.00708,0.00807,0.00887,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069,0.02309,0.02724
47,0.00114,0.00148,0.00184,0.00228,0.00284,0.00347,0.00422,0.00502,0.00582,0.0068,0.00767,0.00863,0.00949,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145
48,0.00124,0.00162,0.00203,0.00252,0.00308,0.00374,0.00454,0.00543,0.00628,0.0073,0.0082,0.00924,0.01033,0.01148,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448
49,0.00134,0.00179,0.00226,0.00278,0.00335,0.00403,0.00489,0.00583,0.00671,0.00771,0.00878,0.01006,0.01145,0.01288,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741
50,0.00149,0.00201,0.00254,0.00308,0.00365,0.00436,0.00524,0.00619,0.00713,0.00819,0.00951,0.01117,0.01283,0.01438,0.01562,0.01657,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042
51,0.00166,0.00227,0.00286,0.00344,0.00401,0.0047,0.00557,0.00656,0.00762,0.00889,0.01051,0.01251,0.0143,0.01561,0.01657,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423
52,0.00179,0.00251,0.00318,0.0038,0.0044,0.00509,0.00599,0.0071,0.00831,0.00987,0.01179,0.01395,0.01546,0.01656,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894
53,0.00186,0.00273,0.0035,0.00418,0.00479,0.00555,0.00658,0.00788,0.00926,0.01109,0.01316,0.01509,0.01645,0.01768,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422
54,0.00195,0.00296,0.00383,0.00453,0.0052,0.00608,0.00733,0.00883,0.01038,0.01236,0.01421,0.01602,0.01767,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033
55,0.00204,0.00317,0.00413,0.00488,0.00565,0.00674,0.00822,0.00992,0.01158,0.01335,0.01511,0.01719,0.01907,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713
56,0.00211,0.00335,0.00439,0.00528,0.00622,0.00754,0.00923,0.01107,0.01276,0.01449,0.01654,0.01883,0.02069,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463
57,0.00222,0.00353,0.00468,0.00575,0.00694,0.00847,0.01029,0.01216,0.01383,0.01587,0.01818,0.02068,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827
58,0.00241,0.00375,0.00504,0.00632,0.00776,0.00948,0.01136,0.01317,0.01478,0.01707,0.01969,0.02309,0.02724,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109
59,0.00265,0.00403,0.00546,0.00696,0.00864,0.01049,0.01239,0.01414,0.01569,0.01826,0.02128,0.02632,0.03145,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013
60,0.00295,0.00437,0.00592,0.00763,0.00952,0.0115,0.0134,0.01509,0.0166,0.01956,0.02298,0.02842,0.03448,0.03741,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013,0.11042
61,0.00331,0.00477,0.00643,0.00832,0.01041,0.01252,0.01443,0.01609,0.01764,0.021,0.02468,0.02916,0.0368,0.04042,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013,0.11042,0.12218
62,0.00361,0.00522,0.00707,0.00915,0.01139,0.01361,0.0156,0.01734,0.01903,0.0227,0.02651,0.03056,0.03777,0.04423,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013,0.11042,0.12218,0.13505
63,0.00381,0.00573,0.00784,0.01012,0.01251,0.01486,0.01698,0.01893,0.02084,0.02471,0.02864,0.03289,0.03956,0.04894,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013,0.11042,0.12218,0.13505,0.14888
64,0.00393,0.00623,0.00866,0.01119,0.01376,0.01625,0.01857,0.02075,0.02292,0.02699,0.03116,0.03578,0.04376,0.05422,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013,0.11042,0.12218,0.13505,0.14888,0.16348
65,0.00399,0.00684,0.00954,0.01228,0.0151,0.01772,0.02014,0.02248,0.02489,0.0292,0.03373,0.03882,0.04763,0.06033,0.06713,0.07463,0.0827,0.09109,0.10013,0.11042,0.1199,0.13493,0.14888,0.16348,0.17865
66,0.00411,0.00761,0.01053,0.01341,0.01656,0.01922,0.02167,0.02408,0.02667,0.03126,0.03624,0.04194,0.05031,0.06676,0.07463,0.0827,0.09109,0.10013,0.11042,0.11877,0.13033,0.14758,0.16337,0.17865,0.19351
67,0.00453,0.00847,0.01161,0.01465,0.01796,0.02088,0.02356,0.02615,0.0288,0.03377,0.03934,0.04575,0.05437,0.07373,0.0827,0.09109,0.10013,0.11042,0.11864,0.12654,0.14284,0.15973,0.17749,0.19351,0.20786
68,0.00512,0.00941,0.0128,0.01598,0.01887,0.02275,0.0256,0.02821,0.03094,0.03637,0.04261,0.04961,0.05836,0.07821,0.09109,0.10013,0.11042,0.11864,0.12594,0.13696,0.15401,0.17201,0.19016,0.20786,0.22271
69,0.00572,0.01046,0.01411,0.01743,0.01935,0.02476,0.02732,0.02979,0.03401,0.04004,0.0469,0.05459,0.06523,0.08669,0.10013,0.11042,0.11864,0.12352,0.13551,0.14701,0.16536,0.18396,0.20528,0.22271,0.23816
70,0.00686,0.01164,0.01554,0.0185,0.02098,0.02654,0.02878,0.03226,0.03774,0.04426,0.0518,0.0601,0.07246,0.09752,0.11042,0.11816,0.12352,0.12984,0.14443,0.15691,0.17608,0.2018,0.22271,0.23816,0.25476
71,0.00876,0.01294,0.01713,0.02021,0.02372,0.02788,0.03065,0.03471,0.03933,0.04614,0.05404,0.06256,0.0741,0.10125,0.11804,0.12202,0.12839,0.13516,0.15299,0.16584,0.19701,0.22271,0.23816,0.25476,0.27038
72,0.01061,0.01505,0.01931,0.02283,0.02598,0.02902,0.03216,0.03666,0.03983,0.04671,0.0547,0.06353,0.07476,0.10406,0.12164,0.12588,0.13172,0.14564,0.16242,0.19097,0.22271,0.23816,0.25476,0.27038,0.28363
73,0.01237,0.01725,0.02151,0.02508,0.028,0.03057,0.03451,0.03866,0.0412,0.04963,0.05883,0.0662,0.07767,0.10687,0.12524,0.1294,0.14077,0.1615,0.18994,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749
74,0.01446,0.01849,0.0231,0.02737,0.03011,0.03349,0.03766,0.04069,0.04639,0.05691,0.06501,0.0738,0.08706,0.10967,0.12884,0.1391,0.15797,0.18959,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199
75,0.01563,0.01983,0.02485,0.02973,0.03286,0.03691,0.04028,0.04564,0.05579,0.06443,0.07309,0.08658,0.1022,0.11893,0.13804,0.15668,0.18929,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716
76,0.01576,0.02135,0.02688,0.03223,0.03625,0.04007,0.04537,0.05469,0.06393,0.07274,0.08491,0.10071,0.11741,0.13552,0.1554,0.189,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301
77,0.01614,0.02257,0.02895,0.03548,0.0398,0.04505,0.05408,0.06345,0.07248,0.08359,0.09665,0.11454,0.13306,0.15414,0.18871,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958
78,0.01689,0.0239,0.03141,0.03947,0.04464,0.05341,0.06297,0.07223,0.08284,0.09413,0.11024,0.13064,0.1529,0.18842,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691
79,0.01777,0.02574,0.03459,0.04416,0.05266,0.0625,0.07197,0.08211,0.09299,0.10731,0.1275,0.15023,0.18813,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501
80,0.01879,0.02825,0.03863,0.04986,0.06203,0.07171,0.08138,0.09207,0.10585,0.12385,0.14815,0.1862,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541
81,0.02018,0.03153,0.04376,0.05699,0.07146,0.08066,0.09116,0.10521,0.122,0.14568,0.18591,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927
82,0.02229,0.0358,0.05022,0.06581,0.07994,0.09026,0.10456,0.1208,0.14443,0.18563,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447
83,0.0256,0.04139,0.05821,0.07631,0.08938,0.10392,0.11961,0.1432,0.18535,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911
84,0.03041,0.04853,0.0678,0.0885,0.10329,0.11844,0.14199,0.18507,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922
85,0.03685,0.05739,0.07922,0.10266,0.11727,0.14079,0.18479,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891
86,0.0449,0.06831,0.09306,0.11613,0.13961,0.18452,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025
87,0.05482,0.08196,0.11026,0.13844,0.18424,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333
88,0.06758,0.09936,0.1373,0.18397,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821
89,0.08487,0.13147,0.18369,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501
90,0.11925,0.17895,0.22271,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378
91,0.165,0.21731,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463
92,0.20721,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762
93,0.23816,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281
94,0.25476,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028
95,0.27038,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993
96,0.28363,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1
97,0.29749,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,
98,0.31199,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,,
99,0.32716,0.34301,0.35958,0.37691,0.39501,0.41541,0.43927,0.46447,0.4911,0.51922,0.54891,0.58025,0.61333,0.64821,0.68501,0.72378,0.76463,0.80762,0.85281,0.90028,0.94993,1,,,

