Table Name:,"2001 CSO Residual Standard Select and Ultimate - Female Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2001 Commissioners Standard Ordinary (CSO) Residual Standard Select and Ultimate Table -  Female, Nonsmoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00044,0.00047,0.00048,0.00051,0.00051,0.00052,0.00055,0.00055,0.00057
1,,,,,,,,,,,,,,,,0.00043,0.00045,0.00047,0.0005,0.00051,0.00052,0.00055,0.00055,0.00056,0.00058
2,,,,,,,,,,,,,,,0.00042,0.00045,0.00047,0.0005,0.0005,0.00052,0.00055,0.00055,0.00056,0.00058,0.00059
3,,,,,,,,,,,,,,0.00042,0.00044,0.00045,0.00049,0.0005,0.00051,0.00053,0.00055,0.00056,0.00058,0.00059,0.00063
4,,,,,,,,,,,,,0.00042,0.00044,0.00045,0.00048,0.00049,0.00051,0.00053,0.00053,0.00056,0.00058,0.00059,0.00063,0.00067
5,,,,,,,,,,,,0.00041,0.00043,0.00044,0.00048,0.00049,0.0005,0.00053,0.00053,0.00056,0.00058,0.00059,0.00063,0.00067,0.00071
6,,,,,,,,,,,0.00041,0.00043,0.00044,0.00046,0.00048,0.0005,0.00052,0.00053,0.00056,0.00058,0.00059,0.00063,0.00067,0.0007,0.00071
7,,,,,,,,,,0.00041,0.00042,0.00043,0.00046,0.00048,0.00049,0.00052,0.00052,0.00056,0.00058,0.00059,0.00063,0.00067,0.0007,0.00071,0.00077
8,,,,,,,,,0.0004,0.00042,0.00043,0.00045,0.00048,0.00048,0.00051,0.00052,0.00054,0.00058,0.00059,0.00063,0.00067,0.0007,0.00071,0.00077,0.0008
9,,,,,,,,0.0004,0.00041,0.00042,0.00045,0.00046,0.00048,0.0005,0.00051,0.00054,0.00058,0.00059,0.00062,0.00067,0.0007,0.00071,0.00077,0.0008,0.00086
10,,,,,,,0.00038,0.00041,0.00041,0.00044,0.00045,0.00046,0.0005,0.00051,0.00053,0.00057,0.00058,0.00062,0.00067,0.0007,0.00071,0.00077,0.0008,0.00086,0.00094
11,,,,,,0.00037,0.0004,0.00041,0.00043,0.00044,0.00045,0.00049,0.00051,0.00052,0.00057,0.00058,0.00061,0.00066,0.0007,0.00071,0.00076,0.0008,0.00085,0.00093,0.00101
12,,,,,0.00037,0.00038,0.0004,0.00042,0.00043,0.00044,0.00047,0.0005,0.00052,0.00055,0.00057,0.00061,0.00066,0.00069,0.00071,0.00076,0.0008,0.00085,0.00093,0.00101,0.00108
13,,,,0.00037,0.00038,0.00038,0.00041,0.00042,0.00043,0.00046,0.00049,0.00051,0.00054,0.00057,0.0006,0.00066,0.00069,0.00071,0.00076,0.0008,0.00085,0.00093,0.00101,0.00108,0.00114
14,,,0.00037,0.00038,0.00038,0.00039,0.00042,0.00042,0.00045,0.00046,0.0005,0.00053,0.00057,0.0006,0.00064,0.00069,0.00071,0.00076,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.00121
15,,0.00037,0.00038,0.00038,0.00039,0.00041,0.00042,0.00043,0.00045,0.00047,0.00052,0.00055,0.00059,0.00063,0.00068,0.00071,0.00076,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.00121,0.00129
16,0.00037,0.00038,0.00038,0.00038,0.00039,0.00041,0.00043,0.00044,0.00047,0.00049,0.00053,0.00058,0.00062,0.00068,0.00071,0.00076,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.0012,0.00129,0.00135
17,0.00038,0.00038,0.00038,0.00038,0.00039,0.00042,0.00043,0.00046,0.00048,0.00052,0.00056,0.00061,0.00067,0.0007,0.00076,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.0012,0.00129,0.00135,0.00144
18,0.00037,0.00037,0.00037,0.00038,0.0004,0.00042,0.00044,0.00048,0.00051,0.00055,0.00061,0.00065,0.0007,0.00076,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.0012,0.00129,0.00135,0.00144,0.00154
19,0.00036,0.00036,0.00037,0.00039,0.0004,0.00043,0.00046,0.00049,0.00054,0.00059,0.00064,0.00069,0.00075,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.0012,0.00129,0.00135,0.00144,0.00154,0.00165
20,0.00034,0.00035,0.00037,0.00038,0.0004,0.00045,0.00048,0.00053,0.00057,0.00063,0.00068,0.00075,0.0008,0.00085,0.00093,0.00101,0.00106,0.00113,0.0012,0.00129,0.00135,0.00144,0.00154,0.00165,0.00178
21,0.00031,0.00033,0.00036,0.00039,0.00042,0.00046,0.00052,0.00055,0.00061,0.00065,0.00072,0.00078,0.00085,0.00093,0.00098,0.00106,0.00112,0.0012,0.00128,0.00135,0.00144,0.00154,0.00165,0.00178,0.00195
22,0.0003,0.00032,0.00037,0.0004,0.00044,0.00049,0.00054,0.00059,0.00064,0.00071,0.00077,0.00084,0.0009,0.00097,0.00104,0.00111,0.00119,0.00128,0.00135,0.00144,0.00154,0.00165,0.00178,0.00195,0.00213
23,0.00028,0.00032,0.00037,0.0004,0.00046,0.00051,0.00056,0.00063,0.00069,0.00074,0.00081,0.00089,0.00096,0.00103,0.00109,0.00118,0.00125,0.00133,0.00144,0.00154,0.00165,0.00178,0.00195,0.00213,0.00236
24,0.00027,0.00033,0.00037,0.00042,0.00048,0.00053,0.0006,0.00065,0.00073,0.00079,0.00087,0.00094,0.001,0.00107,0.00115,0.00124,0.00131,0.00141,0.00153,0.00165,0.00178,0.00195,0.00213,0.00236,0.00261
25,0.00027,0.00033,0.00038,0.00044,0.00049,0.00056,0.00063,0.0007,0.00077,0.00084,0.00091,0.00097,0.00105,0.00113,0.00121,0.0013,0.0014,0.00151,0.00163,0.00178,0.00195,0.00213,0.00236,0.0026,0.00288
26,0.00027,0.00034,0.0004,0.00046,0.00051,0.00059,0.00066,0.00072,0.00081,0.00088,0.00095,0.00101,0.00111,0.00118,0.00128,0.00138,0.0015,0.00162,0.00178,0.00195,0.00213,0.00235,0.0026,0.00287,0.00319
27,0.00029,0.00035,0.00041,0.00048,0.00055,0.00062,0.00068,0.00076,0.00084,0.00091,0.00098,0.00106,0.00116,0.00125,0.00135,0.00148,0.0016,0.00175,0.00193,0.00213,0.00235,0.0026,0.00287,0.00319,0.00354
28,0.00032,0.00036,0.00043,0.0005,0.00057,0.00064,0.00073,0.0008,0.00086,0.00093,0.00103,0.00113,0.00122,0.00132,0.00144,0.00159,0.00173,0.00192,0.00212,0.00233,0.0026,0.00287,0.00319,0.00354,0.00393
29,0.00033,0.0004,0.00046,0.00052,0.00059,0.00067,0.00074,0.00083,0.0009,0.00099,0.00108,0.00117,0.00128,0.00141,0.00156,0.00171,0.00191,0.00211,0.00232,0.00258,0.00287,0.00319,0.00354,0.00393,0.00435
30,0.00035,0.00042,0.00047,0.00055,0.00061,0.0007,0.00077,0.00084,0.00093,0.00104,0.00114,0.00125,0.00137,0.00152,0.00168,0.00188,0.00208,0.00231,0.00257,0.00285,0.00318,0.00354,0.00392,0.00434,0.00478
31,0.00038,0.00045,0.00051,0.00058,0.00066,0.00072,0.0008,0.00089,0.00098,0.00109,0.0012,0.00134,0.00149,0.00166,0.00185,0.00206,0.00229,0.00256,0.00285,0.00316,0.00353,0.00392,0.00433,0.00478,0.00524
32,0.0004,0.00046,0.00053,0.00061,0.00068,0.00076,0.00085,0.00094,0.00104,0.00117,0.0013,0.00145,0.00163,0.00182,0.00204,0.00227,0.00254,0.00283,0.00314,0.00349,0.00389,0.00432,0.00478,0.00524,0.00578
33,0.00043,0.00048,0.00056,0.00063,0.00071,0.00081,0.00091,0.00101,0.00112,0.00127,0.00143,0.00159,0.0018,0.002,0.00224,0.00252,0.00281,0.00312,0.00347,0.00386,0.0043,0.00474,0.00524,0.00577,0.00633
34,0.00044,0.0005,0.00057,0.00066,0.00075,0.00086,0.00096,0.0011,0.00122,0.00138,0.00155,0.00176,0.00198,0.00221,0.00248,0.00278,0.0031,0.00346,0.00384,0.00426,0.00472,0.00521,0.00575,0.00631,0.00691
35,0.00046,0.00052,0.00059,0.0007,0.00079,0.00091,0.00105,0.0012,0.00135,0.00152,0.00173,0.00194,0.00219,0.00246,0.00275,0.00307,0.00344,0.00382,0.00424,0.00468,0.00519,0.00573,0.00629,0.0069,0.00752
36,0.00047,0.00055,0.00064,0.00074,0.00085,0.00099,0.00114,0.0013,0.00148,0.00169,0.0019,0.00215,0.00243,0.00271,0.00305,0.0034,0.00381,0.00423,0.00467,0.00516,0.0057,0.00628,0.00688,0.00752,0.00816
37,0.00048,0.00057,0.00066,0.00078,0.00092,0.00108,0.00124,0.00143,0.00163,0.00186,0.0021,0.00238,0.00268,0.003,0.00337,0.00376,0.0042,0.00465,0.00516,0.00568,0.00625,0.00688,0.00752,0.00816,0.00886
38,0.00051,0.0006,0.00071,0.00085,0.001,0.00116,0.00136,0.00156,0.00179,0.00204,0.00232,0.00262,0.00295,0.00331,0.00371,0.00415,0.00461,0.00512,0.00566,0.00623,0.00685,0.0075,0.00816,0.00886,0.00962
39,0.00053,0.00064,0.00077,0.00093,0.00109,0.00127,0.00149,0.00172,0.00196,0.00225,0.00255,0.00288,0.00325,0.00366,0.00408,0.00456,0.00508,0.00563,0.00621,0.00683,0.00749,0.00816,0.00886,0.00962,0.0104
40,0.00058,0.00071,0.00085,0.00101,0.00119,0.0014,0.00163,0.00189,0.00217,0.00247,0.0028,0.00317,0.00359,0.00402,0.00449,0.00502,0.00558,0.00617,0.0068,0.00747,0.00816,0.00886,0.00962,0.0104,0.01126
41,0.00064,0.00078,0.00094,0.00111,0.00132,0.00155,0.00179,0.00206,0.00237,0.00271,0.00309,0.00349,0.00393,0.00442,0.00493,0.00551,0.00612,0.00676,0.00745,0.00816,0.00886,0.00962,0.0104,0.01126,0.01219
42,0.00069,0.00086,0.00103,0.00123,0.00145,0.00169,0.00198,0.00228,0.0026,0.00298,0.00336,0.00384,0.00431,0.00484,0.00542,0.00603,0.00669,0.0074,0.00814,0.00886,0.00962,0.0104,0.01126,0.01219,0.01324
43,0.00077,0.00095,0.00114,0.00136,0.00162,0.00189,0.00219,0.00251,0.00288,0.00326,0.00372,0.00419,0.00471,0.0053,0.00594,0.00662,0.00734,0.0081,0.00886,0.00962,0.0104,0.01126,0.01219,0.01324,0.01438
44,0.00085,0.00104,0.00128,0.00153,0.00179,0.00209,0.0024,0.00277,0.00315,0.00358,0.00408,0.00458,0.00517,0.00581,0.0065,0.00723,0.00801,0.00885,0.00962,0.0104,0.01126,0.01219,0.01324,0.01438,0.01564
45,0.00093,0.00116,0.00141,0.00169,0.00199,0.00231,0.00267,0.00305,0.00347,0.00395,0.00444,0.00502,0.00565,0.00634,0.00709,0.00788,0.00876,0.00962,0.0104,0.01126,0.01219,0.01324,0.01438,0.01564,0.01703
46,0.00103,0.00128,0.00156,0.00186,0.00218,0.00254,0.00293,0.00335,0.00382,0.00431,0.00487,0.0055,0.00616,0.00691,0.00772,0.00859,0.00951,0.0104,0.01126,0.01219,0.01324,0.01438,0.01564,0.01703,0.01859
47,0.00112,0.0014,0.00171,0.00204,0.0024,0.00278,0.00321,0.00367,0.00415,0.0047,0.00531,0.00597,0.0067,0.0075,0.00838,0.00932,0.01034,0.01126,0.01219,0.01324,0.01438,0.01564,0.01703,0.01859,0.02035
48,0.00123,0.00153,0.00187,0.00222,0.0026,0.00302,0.00347,0.00397,0.00452,0.00511,0.00576,0.00648,0.00728,0.00814,0.0091,0.01012,0.01122,0.01219,0.01324,0.01438,0.01564,0.01703,0.01859,0.02035,0.02233
49,0.0013,0.00162,0.00202,0.0024,0.00282,0.00326,0.00375,0.00428,0.00486,0.00551,0.00622,0.00701,0.00786,0.00882,0.00986,0.01098,0.01219,0.01324,0.01438,0.01564,0.01703,0.01859,0.02035,0.02233,0.02448
50,0.00135,0.00177,0.00218,0.00257,0.00301,0.00348,0.00401,0.00458,0.00521,0.00592,0.00669,0.00754,0.00848,0.00952,0.01066,0.01189,0.01323,0.01438,0.01564,0.01703,0.01859,0.02035,0.02233,0.02448,0.02683
51,0.00145,0.00195,0.00235,0.00275,0.00322,0.00371,0.00427,0.0049,0.00558,0.00633,0.00718,0.00809,0.00913,0.01028,0.01152,0.01289,0.01437,0.01564,0.01703,0.01859,0.02035,0.02233,0.02448,0.02683,0.02944
52,0.00152,0.00215,0.00254,0.00295,0.00342,0.00395,0.00452,0.00518,0.00593,0.00676,0.00767,0.00869,0.00981,0.01107,0.01247,0.01397,0.01562,0.01703,0.01859,0.02035,0.02233,0.02448,0.02683,0.02944,0.03215
53,0.00161,0.0023,0.00272,0.00314,0.00362,0.00417,0.00479,0.00551,0.0063,0.00722,0.00821,0.00933,0.01058,0.01196,0.0135,0.01517,0.01703,0.01859,0.02035,0.02233,0.02448,0.02683,0.02944,0.03215,0.03513
54,0.0017,0.00247,0.00292,0.00334,0.00384,0.00442,0.00508,0.00585,0.0067,0.00768,0.00879,0.01002,0.01141,0.01294,0.01467,0.01654,0.01859,0.02035,0.02233,0.02448,0.02683,0.02944,0.03215,0.03513,0.03839
55,0.0018,0.00263,0.00313,0.00356,0.00408,0.00469,0.00539,0.00621,0.00715,0.00822,0.00943,0.01081,0.01234,0.01406,0.01597,0.01809,0.02035,0.02233,0.02448,0.02683,0.02944,0.03215,0.03513,0.03839,0.04191
56,0.00197,0.00282,0.00339,0.00385,0.00438,0.00503,0.00578,0.00667,0.00769,0.00886,0.01019,0.0117,0.0134,0.01535,0.01746,0.01984,0.02233,0.02448,0.02683,0.02944,0.03215,0.03513,0.03839,0.04191,0.0458
57,0.00209,0.00303,0.00366,0.00414,0.00473,0.00542,0.00623,0.0072,0.00831,0.00959,0.01105,0.01272,0.01461,0.01676,0.01915,0.0218,0.02448,0.02683,0.02944,0.03215,0.03513,0.03839,0.04191,0.0458,0.05114
58,0.00217,0.00324,0.00394,0.00446,0.0051,0.00586,0.00676,0.00782,0.00903,0.01044,0.01205,0.0139,0.01598,0.01838,0.02103,0.02403,0.02683,0.02944,0.03215,0.03513,0.03839,0.04191,0.0458,0.05114,0.05712
59,0.00234,0.00344,0.00426,0.00483,0.00552,0.00636,0.00735,0.00851,0.00986,0.01142,0.0132,0.01524,0.01756,0.02019,0.02317,0.02649,0.02944,0.03215,0.03513,0.03839,0.04191,0.0458,0.05114,0.05712,0.06301
60,0.00247,0.00365,0.00458,0.00518,0.00595,0.0069,0.00799,0.00929,0.01079,0.01252,0.01451,0.01675,0.01937,0.02229,0.02557,0.02927,0.03215,0.03513,0.03839,0.04191,0.0458,0.05114,0.05712,0.06301,0.06949
61,0.00261,0.00386,0.00488,0.00556,0.00641,0.00744,0.00868,0.01012,0.01182,0.01375,0.01598,0.0185,0.02139,0.02466,0.02832,0.03215,0.03513,0.03839,0.04191,0.0458,0.05114,0.05712,0.06301,0.06949,0.07675
62,0.00279,0.00411,0.00519,0.00593,0.00687,0.00802,0.00939,0.01102,0.01293,0.0151,0.01762,0.02048,0.02371,0.02737,0.03146,0.03513,0.03839,0.04191,0.0458,0.05114,0.05712,0.06301,0.06949,0.07675,0.08322
63,0.00306,0.00434,0.00551,0.00629,0.00732,0.0086,0.01016,0.01199,0.01413,0.01662,0.01945,0.02268,0.02632,0.03041,0.035,0.03839,0.04191,0.0458,0.05114,0.05711,0.06301,0.06949,0.07675,0.08322,0.09227
64,0.00337,0.0053,0.00584,0.00667,0.00779,0.00921,0.01095,0.01302,0.01545,0.01825,0.02147,0.02514,0.02924,0.03382,0.03839,0.04191,0.04579,0.05113,0.05711,0.063,0.06948,0.07673,0.0832,0.09225,0.1005
65,0.00374,0.00563,0.00619,0.00707,0.0083,0.00987,0.01183,0.01417,0.01691,0.02008,0.02374,0.02786,0.03246,0.03765,0.0419,0.04579,0.05112,0.05709,0.06299,0.06946,0.07671,0.08318,0.09222,0.10046,0.10919
66,0.00395,0.00603,0.00658,0.00753,0.00888,0.01063,0.01284,0.01548,0.01861,0.0222,0.02629,0.03097,0.03617,0.0419,0.04578,0.05111,0.05708,0.06298,0.06944,0.07669,0.08315,0.09218,0.10042,0.10914,0.11819
67,0.00412,0.00645,0.00702,0.00805,0.00956,0.01154,0.01401,0.017,0.0205,0.02459,0.02923,0.03445,0.04035,0.04578,0.05111,0.05708,0.06297,0.06944,0.07669,0.08315,0.09218,0.10042,0.10913,0.11818,0.12769
68,0.00458,0.00692,0.00755,0.0087,0.01037,0.0126,0.0154,0.01877,0.02274,0.02733,0.03255,0.03843,0.04501,0.05111,0.05708,0.06297,0.06944,0.07669,0.08315,0.09218,0.10042,0.10913,0.11818,0.12769,0.13761
69,0.00507,0.00743,0.00815,0.00945,0.01136,0.01387,0.01701,0.02084,0.0253,0.03044,0.0363,0.04289,0.05019,0.05708,0.06297,0.06943,0.07668,0.08314,0.09216,0.1004,0.10911,0.11815,0.12764,0.13755,0.14771
70,0.00561,0.008,0.00886,0.01036,0.01253,0.01538,0.01894,0.02323,0.02825,0.03402,0.04053,0.04787,0.05599,0.06295,0.06942,0.07666,0.08311,0.09213,0.10035,0.10894,0.11797,0.12743,0.1373,0.14755,0.15818
71,0.00627,0.00864,0.00968,0.01143,0.01394,0.01718,0.02119,0.02602,0.03163,0.03808,0.04534,0.05345,0.06247,0.06939,0.07634,0.08308,0.09183,0.10021,0.10887,0.11788,0.12732,0.13702,0.14721,0.15789,0.17273
72,0.00861,0.00934,0.01063,0.0127,0.01559,0.0193,0.02384,0.02924,0.03552,0.0427,0.05075,0.05971,0.06937,0.07558,0.08304,0.0916,0.09997,0.10881,0.11779,0.12721,0.13687,0.147,0.15746,0.17216,0.1895
73,0.00931,0.01017,0.01175,0.0142,0.01755,0.02176,0.02688,0.03293,0.03993,0.04791,0.0568,0.06667,0.0749,0.08301,0.09131,0.09982,0.10875,0.11772,0.1271,0.13673,0.14681,0.1572,0.17179,0.1888,0.20757
74,0.01009,0.01116,0.01312,0.01601,0.01984,0.02463,0.0304,0.03717,0.04495,0.05376,0.06357,0.07416,0.08267,0.09103,0.09971,0.10862,0.11758,0.12706,0.13654,0.1466,0.15697,0.17151,0.18862,0.2073,0.22794
75,0.01094,0.01237,0.01476,0.01815,0.02255,0.02797,0.03444,0.04202,0.05064,0.06038,0.07091,0.08229,0.09085,0.09961,0.10862,0.11758,0.12705,0.13653,0.14659,0.15695,0.17149,0.18858,0.20724,0.22784,0.25035
76,0.01201,0.01384,0.01671,0.02063,0.02565,0.03174,0.03894,0.04727,0.05676,0.06721,0.07848,0.09057,0.09952,0.10861,0.11757,0.12693,0.13653,0.14658,0.15679,0.17148,0.1884,0.20704,0.22764,0.25035,0.27546
77,0.01343,0.0157,0.01908,0.02359,0.02923,0.03602,0.04401,0.05318,0.06337,0.07462,0.08663,0.09939,0.10851,0.11757,0.12693,0.13653,0.14645,0.15679,0.17132,0.1884,0.20704,0.22764,0.25035,0.27546,0.29755
78,0.01526,0.01802,0.02196,0.02707,0.0334,0.04092,0.04971,0.05964,0.07056,0.08254,0.09514,0.10851,0.11757,0.12692,0.1364,0.14645,0.15664,0.17131,0.18823,0.20704,0.22763,0.25035,0.27521,0.29755,0.32189
79,0.01613,0.02094,0.02545,0.03119,0.03819,0.04652,0.05605,0.06664,0.07829,0.09085,0.10413,0.11745,0.1268,0.1364,0.1463,0.15663,0.17115,0.18822,0.20684,0.22763,0.25034,0.2752,0.29755,0.32189,0.34839
80,0.01792,0.02454,0.02961,0.03602,0.04375,0.05271,0.06293,0.0742,0.08647,0.09963,0.11333,0.12667,0.13626,0.14616,0.15634,0.17114,0.18804,0.20683,0.2274,0.25011,0.27519,0.29755,0.32189,0.34774,0.3786
81,0.02003,0.02889,0.03455,0.04159,0.04999,0.05958,0.07038,0.08225,0.09509,0.10876,0.12288,0.13626,0.14616,0.15634,0.17098,0.18804,0.20683,0.2274,0.25011,0.27519,0.29755,0.32189,0.34742,0.3786,0.41056
82,0.02237,0.03412,0.04034,0.04795,0.05686,0.06703,0.07838,0.09077,0.10409,0.11817,0.13257,0.14601,0.15618,0.17098,0.18804,0.20665,0.2274,0.2501,0.27518,0.29755,0.32189,0.34677,0.3786,0.41056,0.44332
83,0.02475,0.04023,0.04697,0.05505,0.06447,0.07514,0.08687,0.09969,0.11336,0.12772,0.1423,0.15618,0.17081,0.18785,0.20664,0.2274,0.2501,0.27517,0.29755,0.32189,0.34613,0.3786,0.41056,0.44332,0.47688
84,0.03007,0.04684,0.05444,0.06291,0.07267,0.08372,0.09589,0.10901,0.12282,0.1372,0.15181,0.17081,0.18785,0.20664,0.22718,0.25009,0.27516,0.29728,0.32189,0.34548,0.3786,0.41056,0.44332,0.47688,0.51064
85,0.0355,0.05431,0.06272,0.07143,0.08154,0.09278,0.10516,0.11846,0.13234,0.14673,0.16532,0.18637,0.20644,0.22718,0.24985,0.27515,0.29728,0.32189,0.34515,0.3786,0.41056,0.44332,0.47688,0.51064,0.5458
86,0.04531,0.06258,0.07133,0.08066,0.09085,0.10232,0.11479,0.128,0.14182,0.16001,0.18059,0.20298,0.22717,0.24983,0.27489,0.29728,0.32189,0.34451,0.3786,0.41056,0.44332,0.47688,0.51064,0.5458,0.58176
87,0.05226,0.07117,0.08047,0.09048,0.10068,0.11203,0.12443,0.13749,0.15492,0.17497,0.19679,0.22058,0.24618,0.27381,0.29728,0.32189,0.34386,0.3786,0.41056,0.44289,0.47642,0.51064,0.5458,0.58176,0.61633
88,0.06415,0.08037,0.09026,0.10043,0.1108,0.12197,0.13405,0.1505,0.16963,0.19078,0.21364,0.23879,0.26589,0.2906,0.31618,0.34347,0.37212,0.40243,0.43438,0.46799,0.50325,0.54016,0.57873,0.61633,0.64985
89,0.07742,0.09016,0.1003,0.11054,0.12102,0.13184,0.14712,0.16513,0.18526,0.20734,0.23162,0.25793,0.28294,0.30803,0.3349,0.36324,0.39332,0.42513,0.45868,0.49398,0.53101,0.56977,0.61028,0.64985,0.68036
90,0.09009,0.1002,0.11042,0.12086,0.13125,0.14529,0.162,0.18074,0.20186,0.22506,0.25039,0.27549,0.29992,0.32622,0.35408,0.38378,0.4153,0.44865,0.48384,0.52085,0.5597,0.60037,0.64288,0.68036,0.72338
91,0.10013,0.11033,0.12073,0.13108,0.14493,0.16028,0.17774,0.19732,0.21924,0.24359,0.26854,0.29211,0.31737,0.34487,0.37401,0.40507,0.43807,0.47299,0.50984,0.54862,0.58932,0.63195,0.6765,0.72298,0.7634
92,0.11026,0.12065,0.13096,0.14476,0.16005,0.1763,0.19448,0.21491,0.23763,0.26237,0.28489,0.3092,0.33585,0.36425,0.39468,0.42714,0.46163,0.49815,0.53669,0.57727,0.61988,0.6645,0.71117,0.75986,0.80492
93,0.12058,0.13088,0.14465,0.15989,0.17607,0.19334,0.21206,0.23334,0.25732,0.27857,0.30172,0.32732,0.35477,0.38437,0.4161,0.44997,0.48598,0.52412,0.5644,0.60682,0.65136,0.69805,0.74687,0.79783,0.85044
94,0.13082,0.14457,0.15978,0.17591,0.19312,0.21146,0.23086,0.25351,0.27348,0.29526,0.31957,0.34587,0.37442,0.40522,0.43827,0.47356,0.51111,0.55091,0.59295,0.63724,0.68378,0.73257,0.78361,0.8369,0.89244
95,0.14451,0.15971,0.17581,0.19297,0.21124,0.23053,0.25178,0.26976,0.29015,0.31296,0.33787,0.36515,0.39479,0.4268,0.46118,0.49793,0.53704,0.57852,0.62235,0.66856,0.71714,0.76808,0.82139,0.87707,0.93511
96,0.15966,0.17574,0.19287,0.2111,0.23032,0.25178,0.2683,0.28681,0.30786,0.33113,0.35689,0.38515,0.41589,0.44912,0.48484,0.52305,0.56375,0.60693,0.65261,0.70078,0.75143,0.80458,0.86021,0.91833,1
97,0.1757,0.19281,0.21101,0.23018,0.25178,0.2683,0.28563,0.30465,0.32603,0.35003,0.37664,0.40587,0.43771,0.47217,0.50925,0.54895,0.59125,0.63618,0.68372,0.73388,0.78666,0.84205,0.90006,1,
98,0.19277,0.21095,0.23009,0.25178,0.2683,0.28563,0.30378,0.32299,0.34495,0.36965,0.39711,0.42731,0.46026,0.49596,0.53441,0.5756,0.61954,0.66624,0.71568,0.76787,0.82282,0.88051,1,,
