Table Name:,2017 Loaded CSO Preferred Structure Nonsmoker Super Preferred Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00047,0.00057,0.00051,0.00049,0.00048,0.00047,0.00046,0.00043,0.0004,0.00043,0.00043,0.00045,0.00047,0.00052,0.00058,0.00063,0.00072,0.00082,0.00095,0.00107,0.00115,0.00121,0.00128,0.00138,0.00149
22,0.00045,0.00047,0.00043,0.0004,0.00039,0.00039,0.00038,0.00037,0.00036,0.00041,0.00043,0.00045,0.00048,0.00054,0.0006,0.00065,0.00074,0.00085,0.00098,0.0011,0.00116,0.00122,0.00128,0.0014,0.00154
23,0.00038,0.0004,0.00036,0.00034,0.00033,0.00033,0.00033,0.00033,0.00035,0.0004,0.00043,0.00047,0.0005,0.00057,0.00063,0.00067,0.00077,0.00089,0.00102,0.00111,0.00117,0.00122,0.00129,0.00142,0.00158
24,0.00032,0.00033,0.0003,0.00029,0.00029,0.00029,0.00029,0.00032,0.00034,0.0004,0.00044,0.00048,0.00053,0.0006,0.00065,0.0007,0.00081,0.00094,0.00105,0.00111,0.00117,0.00122,0.0013,0.00146,0.00163
25,0.00028,0.00029,0.00026,0.00025,0.00026,0.00026,0.00028,0.00032,0.00034,0.00041,0.00045,0.00051,0.00056,0.00062,0.00069,0.00075,0.00087,0.00098,0.00107,0.00111,0.00118,0.00122,0.00137,0.00154,0.00172
26,0.00024,0.00025,0.00024,0.00024,0.00024,0.00025,0.00029,0.00033,0.00035,0.00043,0.00049,0.00055,0.00059,0.00066,0.00073,0.00081,0.00093,0.00103,0.00109,0.00111,0.00118,0.0013,0.00147,0.00166,0.00185
27,0.00021,0.00023,0.00022,0.00023,0.00024,0.00026,0.0003,0.00034,0.00037,0.00046,0.00052,0.00058,0.00063,0.00071,0.00079,0.00086,0.00098,0.00106,0.0011,0.00116,0.00125,0.0014,0.00158,0.00177,0.00198
28,0.00018,0.0002,0.00021,0.00024,0.00026,0.00028,0.00031,0.00035,0.00039,0.00049,0.00056,0.00062,0.00067,0.00076,0.00084,0.00091,0.00101,0.00107,0.00114,0.00122,0.00134,0.0015,0.0017,0.00191,0.00214
29,0.00016,0.00019,0.00021,0.00024,0.00027,0.0003,0.00033,0.00038,0.00042,0.00053,0.0006,0.00066,0.00071,0.0008,0.00088,0.00095,0.00104,0.00112,0.0012,0.0013,0.00144,0.00163,0.00183,0.00206,0.00231
30,0.00015,0.00016,0.00021,0.00024,0.00027,0.0003,0.00033,0.00038,0.00043,0.00053,0.0006,0.00066,0.00071,0.0008,0.00088,0.00097,0.00109,0.00118,0.00127,0.00139,0.00156,0.00176,0.00198,0.00222,0.0025
31,0.00013,0.00014,0.00021,0.00024,0.00027,0.0003,0.00033,0.00038,0.00046,0.00055,0.00061,0.00066,0.00073,0.00081,0.00089,0.00102,0.00114,0.00124,0.00134,0.00149,0.00167,0.00189,0.00213,0.0024,0.00268
32,0.00013,0.00014,0.00021,0.00025,0.00027,0.0003,0.00035,0.00041,0.0005,0.00059,0.00064,0.00069,0.00075,0.00083,0.00094,0.00107,0.0012,0.0013,0.00143,0.00159,0.00179,0.00204,0.0023,0.00258,0.00286
33,0.00013,0.00014,0.00022,0.00026,0.00029,0.00032,0.00038,0.00044,0.00054,0.00062,0.00066,0.00071,0.00077,0.00088,0.001,0.00113,0.00126,0.00138,0.00152,0.0017,0.00193,0.00219,0.00248,0.00276,0.00302
34,0.00013,0.00015,0.00024,0.00027,0.0003,0.00035,0.00041,0.00048,0.00057,0.00064,0.00068,0.00073,0.00082,0.00094,0.00106,0.00119,0.00133,0.00146,0.00161,0.00182,0.00208,0.00237,0.00267,0.00295,0.0032
35,0.00013,0.00016,0.00025,0.00029,0.00034,0.00038,0.00043,0.00053,0.0006,0.00066,0.0007,0.00078,0.00088,0.001,0.00112,0.00126,0.0014,0.00154,0.00173,0.00196,0.00225,0.00257,0.00287,0.00315,0.00341
36,0.00013,0.00017,0.00026,0.00032,0.00037,0.00042,0.00048,0.00056,0.00063,0.00068,0.00075,0.00084,0.00095,0.00107,0.0012,0.00134,0.00149,0.00165,0.00186,0.00213,0.00246,0.00279,0.00309,0.00337,0.00368
37,0.00013,0.00018,0.00028,0.00035,0.0004,0.00044,0.00052,0.0006,0.00065,0.00073,0.00081,0.00091,0.00103,0.00115,0.00128,0.00143,0.00159,0.00178,0.00203,0.00234,0.0027,0.00304,0.00334,0.00365,0.00403
38,0.00013,0.00019,0.00031,0.00036,0.00042,0.00049,0.00057,0.00063,0.0007,0.00079,0.00089,0.00099,0.00111,0.00124,0.00138,0.00154,0.00172,0.00194,0.00224,0.0026,0.00297,0.00331,0.00362,0.004,0.00444
39,0.00013,0.00022,0.00034,0.0004,0.00046,0.00054,0.0006,0.00067,0.00076,0.00087,0.00097,0.00108,0.00121,0.00135,0.0015,0.00167,0.00188,0.00216,0.00251,0.0029,0.00327,0.0036,0.00397,0.00438,0.00495
40,0.00014,0.00026,0.00037,0.00043,0.0005,0.00057,0.00064,0.00072,0.00083,0.00095,0.00106,0.00118,0.00132,0.00148,0.00164,0.00184,0.0021,0.00243,0.00282,0.00322,0.00358,0.00395,0.00433,0.00486,0.00552
41,0.00016,0.00029,0.0004,0.00047,0.00054,0.00061,0.00068,0.00078,0.0009,0.00104,0.00116,0.00128,0.00145,0.00162,0.00181,0.00205,0.00236,0.00275,0.00317,0.00357,0.00394,0.0043,0.00477,0.00543,0.00612
42,0.00019,0.00033,0.00043,0.0005,0.00058,0.00065,0.00073,0.00084,0.00098,0.00112,0.00125,0.00139,0.00159,0.00179,0.00201,0.0023,0.00268,0.00311,0.00354,0.00392,0.00429,0.0047,0.00527,0.00597,0.00676
43,0.00022,0.00036,0.00045,0.00054,0.00062,0.00069,0.00078,0.00091,0.00106,0.00121,0.00135,0.00152,0.00175,0.00198,0.00224,0.00259,0.00303,0.00349,0.00391,0.00427,0.00466,0.00517,0.00584,0.00664,0.00751
44,0.00026,0.00038,0.00049,0.00059,0.00066,0.00073,0.00084,0.00099,0.00115,0.0013,0.00146,0.00167,0.00193,0.00219,0.0025,0.00291,0.0034,0.00387,0.00426,0.00464,0.00509,0.00574,0.00652,0.0074,0.00837
45,0.0003,0.00041,0.00052,0.00064,0.0007,0.00079,0.00093,0.00109,0.00124,0.0014,0.0016,0.00184,0.00213,0.00243,0.00279,0.00325,0.00377,0.00425,0.00463,0.00508,0.00561,0.00643,0.00735,0.00833,0.00938
46,0.00034,0.00043,0.00057,0.0007,0.00076,0.00087,0.00103,0.0012,0.00135,0.00153,0.00177,0.00205,0.00236,0.00269,0.0031,0.00361,0.00415,0.00461,0.00507,0.00557,0.00624,0.00726,0.00827,0.00935,0.0106
47,0.00038,0.00045,0.00062,0.00075,0.00084,0.00098,0.00116,0.00131,0.00147,0.00169,0.00197,0.00227,0.0026,0.00296,0.00342,0.00397,0.00455,0.00505,0.00553,0.00612,0.00701,0.00821,0.00932,0.01057,0.01199
48,0.00041,0.00047,0.00067,0.00082,0.00094,0.00111,0.00129,0.00144,0.00162,0.00189,0.00221,0.00252,0.00286,0.00326,0.00376,0.00437,0.00498,0.00552,0.00608,0.00683,0.00792,0.0093,0.01055,0.01196,0.01361
49,0.00043,0.00051,0.00073,0.00089,0.00105,0.00125,0.00142,0.00157,0.0018,0.00213,0.00246,0.00277,0.00312,0.00355,0.00411,0.00477,0.00543,0.00602,0.00671,0.00764,0.00896,0.0105,0.01194,0.01357,0.01549
50,0.00044,0.00057,0.00081,0.00098,0.00118,0.00139,0.00154,0.00171,0.00201,0.00239,0.00274,0.00303,0.0034,0.00389,0.00452,0.00523,0.00593,0.0066,0.00744,0.00859,0.01013,0.01178,0.01347,0.01547,0.01775
51,0.00044,0.00065,0.00089,0.00108,0.00132,0.0015,0.00165,0.00187,0.00225,0.00268,0.00301,0.00335,0.00371,0.00428,0.00498,0.00576,0.00651,0.00729,0.00832,0.00968,0.01136,0.01314,0.01513,0.01749,0.02019
52,0.00045,0.00074,0.00099,0.00121,0.00145,0.0016,0.00176,0.00206,0.00252,0.00298,0.00331,0.00369,0.00411,0.00478,0.00557,0.0064,0.00722,0.00814,0.0094,0.01097,0.01283,0.01477,0.01701,0.01973,0.02287
53,0.00045,0.00084,0.00111,0.00136,0.00158,0.00172,0.00193,0.00229,0.00282,0.0033,0.00366,0.00407,0.0046,0.00541,0.00627,0.0072,0.00814,0.00935,0.01066,0.01243,0.01446,0.01667,0.01925,0.02235,0.0259
54,0.00045,0.00093,0.00124,0.00155,0.0017,0.00187,0.00213,0.00257,0.00315,0.00364,0.00402,0.00451,0.00527,0.0062,0.00718,0.00813,0.0093,0.01059,0.01225,0.01419,0.0164,0.01913,0.02227,0.02581,0.02956
55,0.00046,0.00099,0.00138,0.00167,0.00184,0.002,0.00234,0.00291,0.00351,0.00402,0.0045,0.00516,0.0061,0.00715,0.00812,0.00926,0.01051,0.01209,0.01405,0.01631,0.01883,0.02202,0.02555,0.02946,0.03427
56,0.00054,0.00103,0.00154,0.00181,0.00197,0.00222,0.00267,0.00331,0.00391,0.00446,0.00509,0.00596,0.00703,0.0081,0.00921,0.01047,0.01201,0.01392,0.01622,0.01877,0.02179,0.02538,0.02941,0.03427,0.03907
57,0.00065,0.00107,0.00168,0.00196,0.00218,0.00247,0.00307,0.00375,0.00436,0.005,0.00579,0.00686,0.00807,0.00918,0.01036,0.0119,0.01379,0.01599,0.01858,0.02153,0.0249,0.02893,0.03379,0.03907,0.04457
58,0.0008,0.00112,0.00181,0.00213,0.0024,0.00282,0.00352,0.00421,0.00484,0.00562,0.00662,0.00787,0.00912,0.01034,0.01178,0.01357,0.01586,0.01845,0.0214,0.02473,0.02886,0.03363,0.03907,0.04457,0.05079
59,0.00098,0.00119,0.00192,0.00232,0.0026,0.00322,0.00398,0.00467,0.00538,0.00633,0.00753,0.00886,0.01027,0.01175,0.01336,0.0155,0.01823,0.02118,0.02442,0.02816,0.03282,0.03825,0.04457,0.05079,0.05806
60,0.00116,0.00131,0.00201,0.00241,0.00288,0.00364,0.00443,0.00514,0.00598,0.00713,0.00854,0.01005,0.01157,0.01315,0.01509,0.0177,0.02087,0.02428,0.02809,0.03267,0.03807,0.04457,0.05079,0.05806,0.06654
61,0.0013,0.00149,0.00211,0.00252,0.00319,0.00406,0.00485,0.00563,0.00664,0.008,0.00955,0.01115,0.0128,0.01466,0.01706,0.02015,0.02381,0.02772,0.03216,0.03736,0.0435,0.05079,0.05806,0.06654,0.07645
62,0.00138,0.00171,0.00225,0.00271,0.00356,0.00446,0.00527,0.00616,0.00736,0.0089,0.01057,0.01228,0.01412,0.01635,0.01925,0.02287,0.02706,0.03169,0.03711,0.04327,0.05079,0.05806,0.06654,0.07645,0.08799
63,0.00144,0.00198,0.00245,0.00301,0.00398,0.00488,0.00573,0.00676,0.00817,0.00988,0.01166,0.01353,0.01565,0.01834,0.02176,0.02593,0.03071,0.03594,0.04215,0.04914,0.05806,0.06654,0.07645,0.08799,0.10133
64,0.0015,0.00224,0.00274,0.00341,0.00446,0.00534,0.00626,0.00748,0.00909,0.01097,0.01283,0.01483,0.0173,0.02045,0.02437,0.02926,0.03502,0.04163,0.04902,0.05806,0.06654,0.07645,0.08799,0.10133,0.11654
65,0.00157,0.00255,0.0031,0.00388,0.00501,0.00587,0.00691,0.00832,0.01014,0.01221,0.01422,0.01644,0.01931,0.02294,0.02739,0.03307,0.03992,0.04751,0.05653,0.06654,0.07645,0.08799,0.10133,0.11654,0.13317
66,0.00165,0.00284,0.00352,0.00441,0.00565,0.00652,0.00769,0.0093,0.01135,0.0137,0.01595,0.01843,0.02174,0.02587,0.03087,0.03789,0.0467,0.05602,0.06654,0.07645,0.08799,0.10133,0.11654,0.13317,0.15104
67,0.00176,0.00311,0.00399,0.00502,0.00639,0.00729,0.00861,0.01045,0.0128,0.01553,0.01818,0.0211,0.02494,0.02966,0.03529,0.04326,0.05374,0.06437,0.07645,0.08799,0.10133,0.11654,0.13317,0.15104,0.16999
68,0.0019,0.00338,0.00451,0.00572,0.00702,0.0082,0.0097,0.0118,0.01456,0.0178,0.02098,0.02476,0.02889,0.03427,0.04058,0.05005,0.06218,0.07436,0.08799,0.10133,0.11654,0.13317,0.15104,0.16999,0.18917
69,0.00208,0.00368,0.00508,0.00651,0.00793,0.00923,0.01092,0.01337,0.01695,0.02059,0.02456,0.02883,0.03391,0.04041,0.04779,0.05855,0.07193,0.08579,0.10133,0.11654,0.13317,0.15104,0.16999,0.18917,0.2084
70,0.00225,0.00392,0.00562,0.00727,0.00875,0.01015,0.01216,0.0156,0.01917,0.02349,0.02864,0.03355,0.04024,0.04768,0.05788,0.06944,0.08525,0.10133,0.11654,0.13317,0.15104,0.16999,0.18917,0.2084,0.22673
71,0.00243,0.00413,0.00614,0.00802,0.00948,0.01121,0.01398,0.01759,0.02159,0.02663,0.03317,0.04016,0.04734,0.05718,0.06616,0.08071,0.09839,0.11654,0.13317,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434
72,0.00263,0.00436,0.0067,0.00884,0.01041,0.01286,0.01588,0.01974,0.02469,0.03127,0.03943,0.04702,0.0565,0.06585,0.07653,0.09339,0.11344,0.13317,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243
73,0.00287,0.00468,0.00739,0.00983,0.01202,0.01472,0.01813,0.02248,0.02887,0.03663,0.04665,0.05629,0.06565,0.0763,0.09261,0.11282,0.13317,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269
74,0.0032,0.00517,0.00832,0.01118,0.01371,0.01693,0.02107,0.02624,0.03376,0.04325,0.05588,0.06544,0.07605,0.08993,0.1085,0.13047,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471
75,0.00352,0.00575,0.00937,0.01271,0.01573,0.01965,0.02457,0.03069,0.03989,0.05089,0.06533,0.07592,0.08897,0.1072,0.12771,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328
76,0.00384,0.00628,0.01043,0.01452,0.01816,0.02276,0.0285,0.03595,0.04656,0.05894,0.07479,0.08763,0.10603,0.12652,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209
77,0.004,0.00654,0.01101,0.01564,0.02006,0.02519,0.03188,0.04198,0.05401,0.0675,0.08616,0.10423,0.12548,0.15104,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447
78,0.0042,0.00689,0.01173,0.01702,0.0219,0.0284,0.03591,0.04875,0.06201,0.07735,0.10143,0.12308,0.1472,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968
79,0.00436,0.00717,0.01244,0.01831,0.02401,0.03115,0.04025,0.05412,0.06909,0.08863,0.11726,0.14283,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866
80,0.00452,0.0075,0.01321,0.01988,0.02611,0.03381,0.04465,0.05937,0.07689,0.10132,0.13633,0.16999,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965
81,0.00489,0.00819,0.01488,0.02258,0.02965,0.03858,0.05164,0.06777,0.09075,0.12051,0.15642,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936
82,0.00537,0.00913,0.01698,0.026,0.03427,0.0443,0.06036,0.08184,0.10901,0.1485,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743
83,0.00618,0.01062,0.02023,0.03096,0.0412,0.05362,0.07374,0.10172,0.13948,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332
84,0.00726,0.01288,0.02533,0.03907,0.05212,0.06915,0.09494,0.1352,0.18917,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061
85,0.00857,0.01551,0.03115,0.04814,0.06537,0.08824,0.12278,0.16136,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939
86,0.01031,0.0191,0.03931,0.06157,0.08527,0.11678,0.15558,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972
87,0.01233,0.02349,0.04957,0.07955,0.11183,0.15086,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217
88,0.01435,0.02846,0.06166,0.10118,0.14433,0.2084,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542
89,0.01644,0.03349,0.07546,0.12672,0.18149,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096
90,0.01882,0.03945,0.09197,0.15935,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843
91,0.02368,0.06223,0.14189,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794
92,0.03362,0.09526,0.22673,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958
93,0.04979,0.14355,0.2434,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348
94,0.07304,0.16782,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977
95,0.10381,0.26243,0.28269,0.30471,0.328,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977,0.94856

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Nonsmoker, Super Preferred, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0007,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00072,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00048,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0012,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00143,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0015,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00166,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00173,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0019,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00204,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0022,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00258,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00276,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00293,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00309,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00326,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00346,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00371,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00406,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00501,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00559,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00622,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00691,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00766,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0085,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00948,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01063,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01203,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0137,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01567,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01794,,,,,,,,,,,,,,,,,,,,,,,,
75,0.02051,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02337,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02656,,,,,,,,,,,,,,,,,,,,,,,,
78,0.03014,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03427,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03907,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04457,,,,,,,,,,,,,,,,,,,,,,,,
82,0.05079,,,,,,,,,,,,,,,,,,,,,,,,
83,0.05806,,,,,,,,,,,,,,,,,,,,,,,,
