Table Name:,2017 Unloaded CSO Composite Female ALB,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00022,0.00011,8E-05,6E-05,7E-05,7E-05,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036
1,0.00011,8E-05,6E-05,7E-05,7E-05,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035
2,8E-05,6E-05,7E-05,7E-05,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034
3,6E-05,7E-05,7E-05,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034
4,7E-05,7E-05,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035
5,7E-05,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038
6,7E-05,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041
7,7E-05,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044
8,6E-05,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047
9,7E-05,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051
10,7E-05,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057
11,7E-05,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057,0.00063
12,7E-05,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057,0.00063,0.00071
13,7E-05,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057,0.00063,0.00071,0.00079
14,0.00012,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057,0.00063,0.00071,0.00079,0.00086
15,0.00019,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057,0.00063,0.00071,0.00079,0.00086,0.00092
16,0.00024,0.00026,0.00027,0.00027,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00034,0.00034,0.00035,0.00038,0.00041,0.00044,0.00047,0.00051,0.00057,0.00063,0.00071,0.00079,0.00086,0.00092,0.00097
17,0.00026,0.00026,0.00026,0.00027,0.00028,0.00031,0.00034,0.00036,0.00035,0.00033,0.00033,0.00035,0.00038,0.00041,0.00043,0.00047,0.00051,0.00056,0.00063,0.00071,0.00079,0.00086,0.00092,0.00097,0.00101
18,0.00026,0.00026,0.00026,0.00026,0.00027,0.00028,0.00028,0.00029,0.00029,0.0003,0.00032,0.00034,0.00036,0.00038,0.00042,0.00049,0.00056,0.00063,0.00071,0.00079,0.00086,0.00092,0.00097,0.00101,0.00104
19,0.00025,0.00025,0.00024,0.00025,0.00026,0.00027,0.00027,0.00027,0.00028,0.0003,0.00033,0.00034,0.00036,0.00039,0.00045,0.00053,0.00062,0.00071,0.00079,0.00086,0.00092,0.00097,0.00101,0.00104,0.00108
20,0.00021,0.00022,0.00023,0.00024,0.00025,0.00025,0.00025,0.00026,0.00029,0.00031,0.00033,0.00035,0.00037,0.00042,0.00049,0.00058,0.00067,0.00076,0.00085,0.00092,0.00097,0.00101,0.00104,0.00108,0.00113
21,0.00017,0.0002,0.00022,0.00023,0.00023,0.00023,0.00024,0.00026,0.0003,0.00032,0.00034,0.00036,0.0004,0.00046,0.00054,0.00063,0.00072,0.00081,0.00089,0.00096,0.00101,0.00104,0.00108,0.00113,0.00119
22,0.00016,0.00019,0.00021,0.00021,0.00021,0.00022,0.00024,0.00027,0.00031,0.00033,0.00035,0.00039,0.00044,0.00051,0.0006,0.00069,0.00077,0.00085,0.00093,0.001,0.00104,0.00108,0.00113,0.00119,0.00129
23,0.00015,0.00018,0.00019,0.00019,0.0002,0.00022,0.00025,0.00029,0.00032,0.00034,0.00037,0.00042,0.00048,0.00057,0.00066,0.00074,0.0008,0.00088,0.00096,0.00103,0.00108,0.00113,0.00119,0.00129,0.00139
24,0.00014,0.00017,0.00017,0.00018,0.0002,0.00023,0.00026,0.0003,0.00033,0.00036,0.00041,0.00046,0.00054,0.00062,0.00071,0.00078,0.00084,0.00091,0.00099,0.00107,0.00113,0.00119,0.00129,0.00139,0.0015
25,0.00012,0.00015,0.00016,0.00018,0.0002,0.00023,0.00027,0.00031,0.00034,0.00039,0.00044,0.00051,0.0006,0.00068,0.00075,0.00081,0.00088,0.00095,0.00103,0.00111,0.00119,0.00129,0.00139,0.0015,0.00162
26,0.00011,0.00014,0.00016,0.00018,0.00021,0.00024,0.00028,0.00032,0.00037,0.00043,0.00049,0.00056,0.00066,0.00074,0.0008,0.00085,0.00092,0.001,0.00108,0.00118,0.00129,0.00139,0.0015,0.00162,0.00176
27,0.0001,0.00014,0.00016,0.00019,0.00021,0.00024,0.00029,0.00034,0.0004,0.00046,0.00053,0.00062,0.00071,0.00078,0.00083,0.00089,0.00096,0.00105,0.00114,0.00127,0.00139,0.0015,0.00162,0.00176,0.00191
28,9E-05,0.00014,0.00017,0.00019,0.00022,0.00026,0.00031,0.00037,0.00044,0.00051,0.00058,0.00067,0.00075,0.00081,0.00087,0.00093,0.00101,0.0011,0.00122,0.00136,0.0015,0.00162,0.00176,0.00191,0.00208
29,9E-05,0.00015,0.00017,0.0002,0.00023,0.00028,0.00034,0.00041,0.00048,0.00055,0.00063,0.00071,0.00079,0.00085,0.0009,0.00097,0.00107,0.00119,0.00131,0.00146,0.00162,0.00176,0.00191,0.00208,0.00226
30,0.0001,0.00015,0.00018,0.00021,0.00025,0.00031,0.00038,0.00045,0.00052,0.00059,0.00066,0.00074,0.00082,0.00088,0.00095,0.00104,0.00116,0.00129,0.00142,0.00158,0.00176,0.00191,0.00208,0.00226,0.00247
31,0.0001,0.00016,0.0002,0.00023,0.00028,0.00035,0.00042,0.00049,0.00056,0.00063,0.00069,0.00077,0.00086,0.00093,0.00101,0.00112,0.00125,0.00139,0.00154,0.0017,0.00191,0.00208,0.00226,0.00247,0.0027
32,0.00011,0.00017,0.00022,0.00026,0.00032,0.00039,0.00046,0.00053,0.00059,0.00066,0.00072,0.00081,0.0009,0.00099,0.00109,0.00121,0.00135,0.0015,0.00165,0.00184,0.00208,0.00226,0.00247,0.0027,0.00296
33,0.00011,0.00018,0.00024,0.0003,0.00037,0.00043,0.0005,0.00057,0.00062,0.00068,0.00076,0.00085,0.00096,0.00107,0.00119,0.00131,0.00146,0.00161,0.00178,0.002,0.00226,0.00247,0.0027,0.00296,0.00325
34,0.00012,0.00019,0.00027,0.00034,0.00041,0.00047,0.00054,0.0006,0.00064,0.00071,0.0008,0.00091,0.00105,0.00117,0.00129,0.00143,0.00158,0.00174,0.00195,0.00219,0.00247,0.0027,0.00296,0.00325,0.00358
35,0.00013,0.00021,0.00031,0.00038,0.00045,0.00051,0.00058,0.00063,0.00068,0.00075,0.00087,0.00101,0.00115,0.00128,0.00141,0.00155,0.00171,0.0019,0.00214,0.00241,0.0027,0.00296,0.00325,0.00358,0.00395
36,0.00015,0.00023,0.00034,0.00043,0.00049,0.00056,0.00062,0.00066,0.00071,0.00082,0.00096,0.00111,0.00127,0.0014,0.00154,0.00169,0.00187,0.00209,0.00236,0.00265,0.00296,0.00325,0.00358,0.00395,0.00437
37,0.00016,0.00025,0.00037,0.00047,0.00054,0.0006,0.00065,0.0007,0.00078,0.00092,0.00107,0.00122,0.00139,0.00153,0.00168,0.00185,0.00206,0.00231,0.0026,0.00292,0.00325,0.00358,0.00395,0.00437,0.00485
38,0.00017,0.00026,0.00039,0.0005,0.00058,0.00064,0.00068,0.00076,0.00088,0.00102,0.00118,0.00135,0.00152,0.00167,0.00183,0.00203,0.00227,0.00254,0.00286,0.00322,0.00358,0.00395,0.00437,0.00485,0.00538
39,0.00018,0.00028,0.00041,0.00052,0.00061,0.00067,0.00075,0.00085,0.00097,0.00113,0.0013,0.00148,0.00165,0.00183,0.00201,0.00223,0.0025,0.0028,0.00316,0.00355,0.00395,0.00437,0.00485,0.00538,0.00599
40,0.00019,0.00029,0.00042,0.00054,0.00065,0.00073,0.00083,0.00094,0.00107,0.00125,0.00143,0.00161,0.0018,0.002,0.0022,0.00246,0.00276,0.00309,0.00347,0.00391,0.00437,0.00485,0.00538,0.00599,0.00666
41,0.0002,0.00031,0.00044,0.00057,0.0007,0.00081,0.00091,0.00102,0.00119,0.00138,0.00157,0.00175,0.00197,0.00219,0.00243,0.00272,0.00304,0.00341,0.00383,0.00432,0.00485,0.00538,0.00599,0.00666,0.00741
42,0.00021,0.00033,0.00046,0.00062,0.00076,0.00088,0.00098,0.00112,0.0013,0.00151,0.0017,0.00191,0.00215,0.0024,0.00269,0.00301,0.00337,0.00378,0.00424,0.00479,0.00538,0.00599,0.00666,0.00741,0.00825
43,0.00023,0.00034,0.00049,0.00069,0.00083,0.00095,0.00107,0.00123,0.00143,0.00165,0.00185,0.00208,0.00235,0.00265,0.00297,0.00334,0.00373,0.00418,0.00471,0.00532,0.00599,0.00666,0.00741,0.00825,0.00917
44,0.00025,0.00036,0.00054,0.00077,0.0009,0.00103,0.00116,0.00135,0.00156,0.00179,0.00201,0.00227,0.00259,0.00294,0.00329,0.00369,0.00413,0.00464,0.00523,0.00592,0.00666,0.00741,0.00825,0.00917,0.0102
45,0.00027,0.00037,0.0006,0.00084,0.00098,0.00112,0.00127,0.00148,0.00171,0.00195,0.00219,0.00249,0.00287,0.00326,0.00365,0.0041,0.00461,0.00518,0.00584,0.00659,0.00741,0.00825,0.00917,0.0102,0.01132
46,0.00029,0.00039,0.00067,0.00092,0.00106,0.00122,0.0014,0.00162,0.00186,0.00211,0.00238,0.00276,0.00319,0.00362,0.00406,0.00457,0.00515,0.00579,0.00651,0.00732,0.00825,0.00917,0.0102,0.01132,0.01255
47,0.00031,0.00042,0.00076,0.001,0.00117,0.00135,0.00154,0.00178,0.00202,0.0023,0.00262,0.00305,0.00355,0.00402,0.00452,0.0051,0.00576,0.00646,0.00725,0.00815,0.00917,0.0102,0.01132,0.01255,0.01389
48,0.00033,0.00047,0.00088,0.00111,0.00129,0.00148,0.00171,0.00195,0.0022,0.00252,0.00289,0.00338,0.00393,0.00446,0.00502,0.00568,0.00642,0.00719,0.00805,0.00906,0.0102,0.01132,0.01255,0.01389,0.01536
49,0.00034,0.00055,0.001,0.00124,0.00143,0.00164,0.00188,0.00213,0.00242,0.00278,0.00319,0.00371,0.00432,0.0049,0.00553,0.00628,0.0071,0.00795,0.00891,0.01001,0.01132,0.01255,0.01389,0.01536,0.01699
50,0.00036,0.00067,0.00113,0.00137,0.00158,0.00182,0.00207,0.00234,0.00267,0.00307,0.00351,0.00407,0.00471,0.00535,0.00606,0.0069,0.0078,0.00874,0.0098,0.01102,0.01255,0.01389,0.01536,0.01699,0.01883
51,0.00038,0.0008,0.00124,0.0015,0.00174,0.002,0.00227,0.00258,0.00295,0.0034,0.00388,0.00447,0.00513,0.00585,0.00665,0.00759,0.00855,0.00958,0.01075,0.01216,0.01389,0.01536,0.01699,0.01883,0.0209
52,0.0004,0.00092,0.00134,0.00164,0.00191,0.0022,0.00251,0.00286,0.00328,0.00378,0.00428,0.00491,0.0056,0.0064,0.00731,0.00833,0.00938,0.01053,0.01187,0.01344,0.01536,0.01699,0.01883,0.0209,0.02325
53,0.00042,0.00099,0.00142,0.00177,0.00211,0.00243,0.00278,0.00318,0.00366,0.00421,0.00472,0.00537,0.00613,0.00703,0.00805,0.00917,0.01032,0.01164,0.01315,0.01492,0.01699,0.01883,0.0209,0.02325,0.02591
54,0.00044,0.00104,0.00151,0.0019,0.00233,0.0027,0.0031,0.00356,0.00409,0.00466,0.0052,0.00588,0.00674,0.00775,0.00889,0.0101,0.01139,0.01289,0.01464,0.01669,0.01883,0.0209,0.02325,0.02591,0.0289
55,0.00046,0.00108,0.00158,0.00204,0.00258,0.003,0.00346,0.00396,0.00453,0.00511,0.00566,0.00642,0.00739,0.00853,0.00978,0.01114,0.01263,0.01433,0.01631,0.01861,0.0209,0.02325,0.02591,0.0289,0.03229
56,0.00048,0.00112,0.00165,0.00221,0.00287,0.00335,0.00385,0.00438,0.00496,0.00553,0.0061,0.00696,0.00807,0.00935,0.01074,0.01231,0.01403,0.01593,0.01811,0.02066,0.02325,0.02591,0.0289,0.03229,0.03624
57,0.0005,0.00117,0.00173,0.00244,0.00321,0.00374,0.00427,0.0048,0.00537,0.00594,0.00655,0.00753,0.0088,0.01024,0.01183,0.01361,0.01555,0.01765,0.0201,0.02297,0.02591,0.0289,0.03229,0.03624,0.04086
58,0.00053,0.00123,0.00184,0.00274,0.00359,0.00415,0.00468,0.0052,0.00576,0.00636,0.00706,0.0082,0.00966,0.01128,0.01307,0.01508,0.01725,0.01961,0.02235,0.02555,0.0289,0.03229,0.03624,0.04086,0.0461
59,0.00058,0.0013,0.00201,0.00309,0.004,0.00456,0.00507,0.00558,0.00615,0.00682,0.00764,0.00899,0.01063,0.01243,0.01445,0.01668,0.01906,0.02162,0.02472,0.02832,0.03229,0.03624,0.04086,0.0461,0.05208
60,0.00066,0.00137,0.00228,0.00343,0.0044,0.00493,0.00543,0.00595,0.00657,0.00735,0.00838,0.00992,0.01174,0.01377,0.01599,0.01841,0.02099,0.02383,0.02736,0.03154,0.03624,0.04086,0.0461,0.05208,0.05895
61,0.00075,0.00149,0.00263,0.00374,0.00477,0.00528,0.00578,0.00635,0.00706,0.00803,0.00925,0.01102,0.01309,0.01533,0.01775,0.0204,0.02332,0.02674,0.03092,0.0357,0.04086,0.0461,0.05208,0.05895,0.0668
62,0.00087,0.00166,0.00301,0.00408,0.0051,0.00562,0.00617,0.00685,0.00772,0.00886,0.01031,0.01237,0.01466,0.01711,0.01977,0.02273,0.02626,0.03037,0.03538,0.04052,0.0461,0.05208,0.05895,0.0668,0.07555
63,0.00099,0.00192,0.00339,0.00446,0.00538,0.00599,0.00669,0.00754,0.00853,0.00987,0.01159,0.01391,0.01635,0.01901,0.02197,0.0256,0.0299,0.03488,0.04024,0.04582,0.05208,0.05895,0.0668,0.07555,0.08511
64,0.0011,0.00226,0.00374,0.00477,0.00569,0.00648,0.00738,0.00833,0.00948,0.01115,0.01311,0.01554,0.01808,0.02092,0.0243,0.02891,0.03396,0.0397,0.04522,0.05143,0.05895,0.0668,0.07555,0.08511,0.09561
65,0.00121,0.00254,0.00404,0.00505,0.00605,0.00708,0.00812,0.00921,0.01069,0.01269,0.01481,0.01726,0.01995,0.02323,0.02719,0.03261,0.03872,0.04452,0.05065,0.05812,0.0668,0.07555,0.08511,0.09561,0.10704
66,0.00133,0.00269,0.0043,0.00534,0.00649,0.00773,0.00892,0.01031,0.01214,0.01443,0.01668,0.01928,0.02222,0.02611,0.0308,0.037,0.04409,0.0502,0.05768,0.06639,0.07555,0.08511,0.09561,0.10704,0.11919
67,0.00146,0.00284,0.00456,0.0057,0.00703,0.00844,0.0099,0.01162,0.01377,0.01633,0.01874,0.02167,0.02527,0.0298,0.03488,0.04202,0.04971,0.05722,0.06593,0.0751,0.08511,0.09561,0.10704,0.11919,0.13206
68,0.0016,0.00298,0.00483,0.0062,0.00767,0.00931,0.01105,0.01307,0.01553,0.01839,0.02108,0.02466,0.0291,0.03412,0.04011,0.04815,0.05659,0.06529,0.07442,0.08443,0.09561,0.10704,0.11919,0.13206,0.14579
69,0.00176,0.00314,0.00512,0.00676,0.00845,0.01032,0.01228,0.01457,0.01743,0.02079,0.02404,0.02837,0.03335,0.03922,0.04693,0.05576,0.06461,0.07371,0.0837,0.09488,0.10704,0.11919,0.13206,0.14579,0.15987
70,0.00193,0.00332,0.00546,0.00741,0.00938,0.01137,0.01351,0.01615,0.0196,0.02359,0.02761,0.03241,0.03824,0.04546,0.05436,0.0639,0.07295,0.08293,0.09411,0.10627,0.11919,0.13206,0.14579,0.15987,0.17425
71,0.00212,0.00354,0.00585,0.00821,0.01034,0.01238,0.01475,0.01797,0.02213,0.02681,0.03149,0.03665,0.04361,0.05209,0.06205,0.07216,0.08212,0.09329,0.10545,0.1184,0.13206,0.14579,0.15987,0.17425,0.19071
72,0.00233,0.0038,0.00632,0.0091,0.01124,0.01336,0.01618,0.02007,0.02504,0.03049,0.0356,0.04155,0.04963,0.05958,0.07078,0.08126,0.09243,0.1046,0.11755,0.13125,0.14579,0.15987,0.17425,0.19071,0.20982
73,0.0026,0.00411,0.00688,0.00994,0.01209,0.0145,0.01784,0.02249,0.0284,0.03455,0.03997,0.04709,0.05655,0.06815,0.08037,0.09153,0.1037,0.11667,0.13039,0.14498,0.15987,0.17425,0.19071,0.20982,0.23048
74,0.00295,0.00448,0.00756,0.01076,0.01309,0.01584,0.01977,0.02531,0.03216,0.03894,0.04468,0.05315,0.0642,0.07734,0.09058,0.10275,0.11574,0.12949,0.14412,0.15908,0.17425,0.19071,0.20982,0.23048,0.25251
75,0.00335,0.00493,0.0084,0.01181,0.01435,0.01746,0.02211,0.02861,0.03641,0.04379,0.05067,0.06097,0.07347,0.08773,0.10183,0.11482,0.12859,0.14326,0.15827,0.17351,0.19071,0.20982,0.23048,0.25251,0.27555
76,0.0038,0.0055,0.0094,0.01312,0.01584,0.01944,0.02487,0.0324,0.04122,0.04941,0.0587,0.07065,0.08462,0.10005,0.11395,0.12773,0.14241,0.15746,0.17276,0.19004,0.20982,0.23048,0.25251,0.27555,0.29921
77,0.00427,0.00618,0.01055,0.0146,0.01756,0.02176,0.02801,0.03669,0.04679,0.05633,0.06762,0.08138,0.09752,0.11307,0.12686,0.14157,0.15666,0.17202,0.18938,0.20925,0.23048,0.25251,0.27555,0.29921,0.32314
78,0.00479,0.007,0.01191,0.01626,0.01958,0.02432,0.03162,0.04179,0.05333,0.06491,0.0781,0.09443,0.11144,0.12599,0.14072,0.15585,0.17128,0.18871,0.20868,0.23003,0.25251,0.27555,0.29921,0.32314,0.34698
79,0.00518,0.00798,0.0135,0.01812,0.02182,0.0272,0.03598,0.0479,0.06129,0.07553,0.09132,0.10969,0.12512,0.13988,0.15505,0.17054,0.18805,0.20811,0.22958,0.25221,0.27555,0.29921,0.32314,0.34698,0.37036
80,0.00556,0.00915,0.01531,0.0201,0.02422,0.03091,0.04128,0.05507,0.07052,0.08731,0.10617,0.12426,0.13903,0.15425,0.1698,0.18738,0.20754,0.22913,0.25192,0.27543,0.29921,0.32314,0.34698,0.37036,0.39292
81,0.00615,0.01049,0.01733,0.02212,0.02746,0.0357,0.04764,0.06366,0.08188,0.10184,0.12194,0.13819,0.15344,0.16905,0.18672,0.20697,0.22868,0.25162,0.27531,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143
82,0.00693,0.01204,0.01966,0.0251,0.03178,0.04149,0.05578,0.07554,0.09804,0.12029,0.13734,0.15264,0.16831,0.18606,0.2064,0.22823,0.25132,0.27519,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413
83,0.00801,0.01382,0.02241,0.02936,0.03708,0.04866,0.06811,0.09301,0.11872,0.13734,0.15183,0.16757,0.18539,0.20583,0.22778,0.25102,0.27508,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205
84,0.00921,0.01597,0.02599,0.03442,0.04357,0.05883,0.08523,0.11321,0.13734,0.15183,0.16683,0.18473,0.20526,0.22734,0.25072,0.27496,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769
85,0.01035,0.01876,0.03064,0.04044,0.05231,0.07555,0.10533,0.13365,0.15183,0.16683,0.18406,0.20469,0.22689,0.25042,0.27484,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068
86,0.01151,0.02226,0.03617,0.04758,0.06606,0.09881,0.12999,0.15183,0.16683,0.18406,0.20412,0.22644,0.25012,0.27473,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065
87,0.01279,0.02643,0.04275,0.05839,0.08839,0.12763,0.15183,0.16683,0.18406,0.20412,0.22599,0.24982,0.27461,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723
88,0.01422,0.03118,0.05053,0.07536,0.11769,0.15183,0.16683,0.18406,0.20412,0.22599,0.24952,0.27449,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5
89,0.0158,0.03651,0.0625,0.10033,0.146,0.16683,0.18406,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5
90,0.01877,0.04467,0.08802,0.1366,0.16683,0.18406,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5
91,0.02525,0.06297,0.13175,0.16683,0.18406,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5
92,0.0368,0.09384,0.16683,0.18406,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5
93,0.0546,0.12337,0.18406,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5,0.5
94,0.08008,0.16292,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.11496,0.20412,0.22599,0.24952,0.27438,0.29921,0.32314,0.34698,0.37036,0.39292,0.4143,0.43413,0.45205,0.46769,0.48068,0.49065,0.49723,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Composite, Female, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 0. Maximum Ultimate Age: 120",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,,,,,,,,,,,,,,,,,,,,,,,,
