Table Name:,"2001 CSO Preferred Select and Ultimate - Female Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0.00029,0.00032,0.00035,0.00037,0.0004,0.00043,0.00046,0.00051,0.00054,0.00057,0.00061,0.00065,0.00069,0.00073,0.00078,0.00084,0.0009
9,,,,,,,,0.00029,0.00031,0.00035,0.00036,0.00039,0.00043,0.00045,0.00049,0.00054,0.00057,0.00061,0.00065,0.00069,0.00073,0.00078,0.00084,0.0009,0.00098
10,,,,,,,0.00028,0.00031,0.00033,0.00036,0.00038,0.00042,0.00045,0.00049,0.00053,0.00057,0.0006,0.00064,0.00069,0.00073,0.00078,0.00084,0.0009,0.00097,0.00107
11,,,,,,0.00027,0.0003,0.00033,0.00035,0.00038,0.00041,0.00044,0.00049,0.00052,0.00056,0.0006,0.00064,0.00068,0.00073,0.00078,0.00084,0.0009,0.00097,0.00106,0.00116
12,,,,,0.00027,0.00029,0.00032,0.00035,0.00037,0.0004,0.00043,0.00047,0.00052,0.00055,0.00059,0.00064,0.00068,0.00073,0.00078,0.00084,0.0009,0.00097,0.00106,0.00116,0.00125
13,,,,0.00027,0.00029,0.00031,0.00033,0.00036,0.00039,0.00042,0.00046,0.0005,0.00054,0.00059,0.00063,0.00068,0.00073,0.00078,0.00084,0.0009,0.00097,0.00106,0.00116,0.00124,0.00134
14,,,0.00027,0.00029,0.00031,0.00033,0.00035,0.00037,0.00041,0.00044,0.00049,0.00053,0.00058,0.00062,0.00067,0.00073,0.00078,0.00084,0.0009,0.00097,0.00106,0.00115,0.00124,0.00133,0.00142
15,,0.00027,0.00029,0.0003,0.00032,0.00035,0.00037,0.00039,0.00044,0.00047,0.00052,0.00057,0.00061,0.00066,0.00072,0.00078,0.00084,0.0009,0.00097,0.00106,0.00115,0.00123,0.00132,0.00141,0.0015
16,0.00027,0.00029,0.0003,0.00031,0.00034,0.00036,0.00038,0.00042,0.00047,0.0005,0.00055,0.0006,0.00065,0.00071,0.00078,0.00084,0.0009,0.00097,0.00106,0.00115,0.00123,0.00132,0.00141,0.0015,0.0016
17,0.00028,0.0003,0.00031,0.00033,0.00035,0.00037,0.00041,0.00045,0.0005,0.00054,0.00059,0.00065,0.0007,0.00077,0.00084,0.0009,0.00097,0.00106,0.00115,0.00123,0.00132,0.00141,0.0015,0.0016,0.00171
18,0.00029,0.00031,0.00032,0.00034,0.00037,0.00039,0.00044,0.00048,0.00053,0.00057,0.00063,0.0007,0.00076,0.00084,0.0009,0.00097,0.00106,0.00115,0.00123,0.00132,0.00141,0.0015,0.0016,0.00171,0.00186
19,0.00029,0.00031,0.00033,0.00035,0.00039,0.00042,0.00047,0.00051,0.00056,0.00061,0.00068,0.00076,0.00083,0.0009,0.00097,0.00106,0.00115,0.00123,0.00132,0.00141,0.0015,0.0016,0.00171,0.00186,0.00202
20,0.00029,0.00031,0.00033,0.00037,0.0004,0.00045,0.00051,0.00054,0.0006,0.00066,0.00074,0.00081,0.00089,0.00097,0.00105,0.00115,0.00123,0.00132,0.00141,0.0015,0.0016,0.00171,0.00186,0.00202,0.0022
21,0.00028,0.0003,0.00035,0.00038,0.00043,0.00048,0.00054,0.00058,0.00066,0.00072,0.0008,0.00087,0.00095,0.00104,0.00112,0.00122,0.00131,0.00141,0.0015,0.0016,0.00171,0.00186,0.00202,0.0022,0.0024
22,0.00028,0.00031,0.00036,0.0004,0.00046,0.00051,0.00056,0.00063,0.00071,0.00078,0.00085,0.00095,0.00102,0.00111,0.0012,0.00129,0.00139,0.00149,0.0016,0.00171,0.00186,0.00202,0.0022,0.0024,0.00264
23,0.00027,0.00032,0.00037,0.00042,0.00047,0.00054,0.0006,0.00068,0.00075,0.00083,0.00092,0.00101,0.00109,0.00118,0.00127,0.00137,0.00146,0.00158,0.0017,0.00186,0.00202,0.0022,0.0024,0.00264,0.00295
24,0.00027,0.00032,0.00039,0.00043,0.00049,0.00056,0.00064,0.00072,0.0008,0.00089,0.00098,0.00106,0.00115,0.00124,0.00134,0.00145,0.00156,0.00169,0.00183,0.00202,0.0022,0.0024,0.00264,0.00295,0.00332
25,0.00027,0.00033,0.0004,0.00045,0.00052,0.0006,0.00068,0.00076,0.00085,0.00095,0.00103,0.00112,0.00122,0.00131,0.00142,0.00154,0.00168,0.00183,0.00201,0.0022,0.0024,0.00264,0.00295,0.00332,0.00374
26,0.00029,0.00035,0.00042,0.00048,0.00056,0.00064,0.00072,0.00081,0.0009,0.00099,0.00108,0.00118,0.00129,0.00139,0.00151,0.00165,0.00182,0.002,0.0022,0.0024,0.00264,0.00295,0.00332,0.00374,0.00423
27,0.00031,0.00037,0.00044,0.00051,0.00059,0.00067,0.00076,0.00085,0.00095,0.00103,0.00114,0.00124,0.00136,0.00148,0.00162,0.0018,0.00198,0.00219,0.0024,0.00264,0.00295,0.00332,0.00374,0.00423,0.00477
28,0.00033,0.0004,0.00047,0.00054,0.00063,0.00071,0.0008,0.00089,0.00099,0.00109,0.00119,0.00132,0.00145,0.00159,0.00176,0.00196,0.00217,0.0024,0.00264,0.00295,0.00332,0.00374,0.00423,0.00477,0.00535
29,0.00035,0.00043,0.0005,0.00058,0.00066,0.00075,0.00083,0.00093,0.00103,0.00115,0.00126,0.0014,0.00155,0.00172,0.00192,0.00214,0.00239,0.00264,0.00295,0.00332,0.00374,0.00423,0.00477,0.00535,0.00598
30,0.00039,0.00045,0.00053,0.00061,0.0007,0.00078,0.00087,0.00098,0.00108,0.00121,0.00134,0.0015,0.00168,0.00188,0.00211,0.00236,0.00263,0.00295,0.00332,0.00374,0.00423,0.00477,0.00535,0.00598,0.00669
31,0.00042,0.00048,0.00056,0.00065,0.00073,0.00082,0.00093,0.00103,0.00115,0.0013,0.00145,0.00164,0.00184,0.00207,0.00234,0.00262,0.00295,0.00331,0.00374,0.00423,0.00477,0.00535,0.00598,0.00669,0.00745
32,0.00044,0.00051,0.00059,0.00068,0.00077,0.00087,0.00099,0.0011,0.00125,0.00142,0.0016,0.00181,0.00204,0.00229,0.00259,0.00292,0.0033,0.00373,0.00423,0.00477,0.00535,0.00598,0.00669,0.00745,0.00826
33,0.00047,0.00054,0.00062,0.00071,0.00082,0.00093,0.00106,0.0012,0.00136,0.00156,0.00177,0.002,0.00227,0.00255,0.00289,0.00327,0.00368,0.00423,0.00477,0.00535,0.00598,0.00669,0.00745,0.00826,0.0091
34,0.00048,0.00056,0.00065,0.00076,0.00087,0.00101,0.00115,0.00132,0.00151,0.00173,0.00196,0.00223,0.00253,0.00286,0.00322,0.00365,0.00412,0.00477,0.00535,0.00598,0.00669,0.00745,0.00826,0.0091,0.00999
35,0.00049,0.00059,0.00069,0.00081,0.00094,0.00109,0.00127,0.00146,0.00168,0.00192,0.00218,0.00247,0.00282,0.00317,0.00358,0.00405,0.00456,0.00535,0.00598,0.00669,0.00745,0.00826,0.0091,0.00999,0.0109
36,0.00052,0.00062,0.00073,0.00087,0.00102,0.00119,0.00139,0.00161,0.00185,0.00212,0.00241,0.00275,0.00311,0.00351,0.00396,0.00445,0.005,0.00598,0.00656,0.00745,0.00826,0.0091,0.00999,0.0109,0.01178
37,0.00055,0.00066,0.00079,0.00094,0.00111,0.00131,0.00153,0.00177,0.00205,0.00234,0.00267,0.00304,0.00343,0.00388,0.00436,0.00489,0.00548,0.00637,0.00704,0.00816,0.0091,0.00999,0.0109,0.01178,0.01273
38,0.00059,0.00072,0.00085,0.00103,0.00122,0.00144,0.00169,0.00196,0.00226,0.00259,0.00295,0.00336,0.00378,0.00427,0.00478,0.00536,0.00599,0.0067,0.00753,0.00886,0.00991,0.0109,0.01178,0.01273,0.01374
39,0.00065,0.00078,0.00094,0.00114,0.00135,0.0016,0.00187,0.00217,0.0025,0.00287,0.00326,0.0037,0.00416,0.00469,0.00524,0.00585,0.00654,0.00729,0.00814,0.00961,0.01064,0.01178,0.01268,0.01374,0.01478
40,0.00071,0.00086,0.00106,0.00127,0.0015,0.00177,0.00207,0.0024,0.00277,0.00316,0.00359,0.00406,0.00458,0.00514,0.00574,0.0064,0.00713,0.00792,0.00886,0.01033,0.01145,0.01261,0.01369,0.01478,0.0159
41,0.00079,0.00097,0.00118,0.00142,0.00168,0.00197,0.0023,0.00265,0.00306,0.00349,0.00395,0.00447,0.00503,0.00563,0.00628,0.00699,0.00776,0.0086,0.00961,0.01109,0.01233,0.01356,0.01478,0.01588,0.0171
42,0.00088,0.00109,0.00132,0.00159,0.00189,0.0022,0.00256,0.00295,0.00338,0.00385,0.00436,0.00491,0.00552,0.00616,0.00686,0.00761,0.00843,0.00933,0.01044,0.01188,0.01324,0.01462,0.01582,0.01703,0.01836
43,0.00098,0.00122,0.00149,0.0018,0.00212,0.00247,0.00285,0.00329,0.00375,0.00425,0.0048,0.00538,0.00604,0.00674,0.00749,0.00828,0.00916,0.01011,0.01129,0.01278,0.01427,0.01556,0.01685,0.01823,0.01969
44,0.0011,0.00138,0.00168,0.00202,0.00237,0.00277,0.00318,0.00365,0.00415,0.00469,0.00527,0.0059,0.0066,0.00735,0.00815,0.00899,0.00993,0.01094,0.0122,0.01381,0.0152,0.01651,0.01796,0.01947,0.02115
45,0.00123,0.00155,0.00189,0.00225,0.00265,0.00308,0.00354,0.00403,0.00457,0.00515,0.00577,0.00646,0.0072,0.00799,0.00884,0.00974,0.01074,0.01181,0.01332,0.01476,0.01611,0.01756,0.01912,0.02083,0.02281
46,0.00136,0.00172,0.0021,0.00249,0.00294,0.0034,0.0039,0.00443,0.00501,0.00564,0.0063,0.00703,0.00781,0.00866,0.00957,0.01053,0.01158,0.01273,0.0145,0.01564,0.01713,0.01868,0.0204,0.02239,0.02465
47,0.00152,0.0019,0.00231,0.00276,0.00323,0.00373,0.00427,0.00484,0.00547,0.00614,0.00685,0.00762,0.00846,0.00936,0.01034,0.01136,0.01247,0.01371,0.01539,0.01657,0.01817,0.01989,0.02188,0.02416,0.02671
48,0.00164,0.00206,0.00254,0.00302,0.00352,0.00406,0.00463,0.00525,0.00592,0.00664,0.0074,0.00824,0.00913,0.0101,0.01114,0.01224,0.01343,0.01477,0.01622,0.01753,0.01928,0.02124,0.02352,0.02611,0.029
49,0.00173,0.00223,0.00277,0.00327,0.00381,0.00438,0.00499,0.00565,0.00637,0.00715,0.00796,0.00887,0.00983,0.01087,0.012,0.01317,0.01446,0.01591,0.01733,0.01874,0.02066,0.02286,0.02537,0.02823,0.03147
50,0.00184,0.00248,0.00301,0.00353,0.00409,0.0047,0.00536,0.00606,0.00683,0.00766,0.00855,0.00952,0.01056,0.01169,0.0129,0.01418,0.01558,0.01713,0.01853,0.02026,0.02238,0.02481,0.02755,0.03069,0.03423
51,0.00196,0.00276,0.00328,0.0038,0.00438,0.00502,0.00571,0.00647,0.0073,0.00819,0.00915,0.01019,0.01133,0.01255,0.01387,0.01527,0.01681,0.0183,0.0199,0.02197,0.02432,0.02699,0.03001,0.03347,0.03739
52,0.00209,0.00302,0.00356,0.00409,0.00468,0.00534,0.00606,0.00688,0.00776,0.00874,0.00978,0.01091,0.01216,0.01348,0.01493,0.01646,0.01799,0.01958,0.02156,0.02384,0.02644,0.02934,0.03267,0.03648,0.04028
53,0.00223,0.00326,0.00385,0.00438,0.00498,0.00568,0.00645,0.00731,0.00826,0.00931,0.01045,0.0117,0.01305,0.01452,0.01611,0.01768,0.01928,0.02119,0.02339,0.0259,0.02873,0.03188,0.03556,0.0389,0.04356
54,0.00236,0.00352,0.00416,0.00469,0.00532,0.00604,0.00687,0.00778,0.0088,0.00994,0.01119,0.01256,0.01405,0.01567,0.01741,0.01902,0.02086,0.02296,0.0254,0.02815,0.03123,0.03436,0.03758,0.04172,0.0476
55,0.00253,0.00376,0.00447,0.00501,0.00566,0.00642,0.00729,0.00826,0.00937,0.01061,0.01197,0.01348,0.01511,0.0169,0.01884,0.02058,0.02262,0.02494,0.0276,0.0306,0.03374,0.03615,0.04014,0.04575,0.05201
56,0.00269,0.00397,0.00477,0.00533,0.00601,0.0068,0.00773,0.00878,0.00997,0.01131,0.01279,0.01445,0.01625,0.01823,0.0204,0.02232,0.02456,0.02712,0.03002,0.03318,0.03582,0.03926,0.04421,0.05016,0.05521
57,0.00279,0.00419,0.00507,0.00566,0.0064,0.00725,0.00824,0.00938,0.01067,0.01213,0.01374,0.01554,0.01753,0.01972,0.02212,0.02424,0.02671,0.02951,0.03264,0.03549,0.03891,0.04371,0.04852,0.05341,0.05745
58,0.00291,0.0044,0.00538,0.00603,0.0068,0.00774,0.00881,0.01006,0.01147,0.01306,0.01483,0.01679,0.01899,0.02139,0.02402,0.02637,0.02907,0.03215,0.03516,0.03855,0.04307,0.04798,0.05191,0.05582,0.06043
59,0.00305,0.00459,0.0057,0.00639,0.00723,0.00826,0.00945,0.01081,0.01236,0.01412,0.01605,0.01821,0.02063,0.02326,0.02616,0.02875,0.03171,0.03486,0.03816,0.04247,0.04727,0.05134,0.05433,0.05838,0.06412
60,0.00316,0.00479,0.006,0.00674,0.00768,0.00881,0.01012,0.01163,0.01335,0.01529,0.01743,0.01982,0.02246,0.02537,0.02855,0.0314,0.03458,0.03784,0.04184,0.04656,0.05068,0.05383,0.05742,0.06176,0.07164
61,0.00331,0.00498,0.00629,0.00709,0.00811,0.00936,0.01081,0.01249,0.01441,0.01657,0.01896,0.02161,0.02453,0.02774,0.03125,0.03438,0.03751,0.04125,0.04588,0.05005,0.05334,0.05713,0.06158,0.06992,0.07993
62,0.00355,0.00518,0.00655,0.00741,0.00852,0.00989,0.0115,0.01338,0.01553,0.01795,0.02063,0.02358,0.02685,0.03041,0.03427,0.0373,0.04066,0.04527,0.04947,0.05289,0.05686,0.06133,0.06929,0.07849,0.08634
63,0.00384,0.00582,0.00682,0.00772,0.00892,0.01042,0.01222,0.01432,0.01673,0.01945,0.02245,0.02577,0.0294,0.03336,0.03716,0.04024,0.04459,0.04891,0.05246,0.05658,0.06107,0.06846,0.0773,0.08469,0.09348
64,0.00418,0.0065,0.00709,0.00803,0.00933,0.01098,0.01297,0.01532,0.01802,0.02109,0.02444,0.02815,0.03219,0.03659,0.04006,0.04397,0.04816,0.05198,0.0563,0.06091,0.06762,0.07586,0.08315,0.09195,0.1013
65,0.00445,0.00681,0.00738,0.00836,0.00976,0.01156,0.01375,0.01635,0.01934,0.02275,0.02647,0.03058,0.03505,0.03989,0.04353,0.04756,0.0514,0.05602,0.06065,0.06691,0.07457,0.08141,0.09044,0.09997,0.11066
66,0.00459,0.00715,0.00771,0.00874,0.01024,0.0122,0.01461,0.01745,0.02073,0.02444,0.02854,0.03303,0.03794,0.04322,0.0471,0.05089,0.05576,0.06042,0.06619,0.07317,0.07994,0.08849,0.09858,0.10905,0.12129
67,0.00486,0.00751,0.00809,0.0092,0.01082,0.01296,0.01559,0.0187,0.02228,0.02631,0.0308,0.0357,0.04106,0.04678,0.05069,0.055,0.06019,0.0652,0.07202,0.07836,0.0867,0.09653,0.1072,0.11936,0.13293
68,0.00531,0.0079,0.00854,0.00975,0.01153,0.01386,0.01673,0.02012,0.02401,0.02838,0.03326,0.03858,0.04439,0.05049,0.05455,0.05914,0.06424,0.07022,0.07691,0.08466,0.09438,0.10493,0.11712,0.13151,0.14718
69,0.00578,0.00833,0.00905,0.0104,0.01237,0.01493,0.01806,0.02174,0.02596,0.03068,0.03595,0.04171,0.04794,0.05408,0.05838,0.06325,0.06898,0.07567,0.08334,0.09267,0.10334,0.11568,0.12993,0.14646,0.16494
70,0.00633,0.0088,0.00965,0.01117,0.01337,0.01618,0.0196,0.02359,0.02814,0.0332,0.03887,0.04507,0.05172,0.05759,0.06238,0.06807,0.07475,0.08251,0.09162,0.10219,0.11479,0.1294,0.14575,0.16419,0.1825
71,0.0078,0.00931,0.01034,0.01209,0.01454,0.01763,0.02136,0.02568,0.03054,0.03593,0.04201,0.04862,0.05572,0.06146,0.06611,0.07366,0.0814,0.09039,0.1009,0.11305,0.12783,0.14502,0.16348,0.18133,0.19808
72,0.00924,0.00988,0.01114,0.01315,0.01589,0.01929,0.02334,0.02798,0.03317,0.03886,0.04536,0.05237,0.06007,0.06545,0.06952,0.0801,0.08903,0.09941,0.11147,0.12537,0.14269,0.16273,0.18026,0.19597,0.21484
73,0.00978,0.01056,0.01208,0.01439,0.01744,0.02117,0.02554,0.0305,0.03601,0.042,0.04889,0.0565,0.06473,0.06902,0.07655,0.0875,0.09774,0.10964,0.12347,0.13935,0.15955,0.17924,0.19404,0.21225,0.23323
74,0.01037,0.01138,0.01321,0.01583,0.01922,0.02327,0.02796,0.03325,0.03906,0.04533,0.05278,0.06123,0.06856,0.0754,0.08417,0.09642,0.10834,0.12212,0.13802,0.15713,0.17497,0.19237,0.20908,0.23032,0.252
75,0.01113,0.01246,0.01465,0.01765,0.0214,0.02585,0.03095,0.03663,0.04282,0.04968,0.05802,0.06654,0.07434,0.08317,0.0933,0.10747,0.12146,0.13748,0.15664,0.17439,0.18924,0.20737,0.22729,0.24918,0.27322
76,0.01219,0.01388,0.01646,0.01989,0.02408,0.02901,0.03459,0.04076,0.04765,0.05544,0.06494,0.07328,0.08226,0.09271,0.10667,0.12079,0.13699,0.1562,0.17403,0.18877,0.20648,0.22611,0.24777,0.27147,0.29522
77,0.01359,0.01567,0.01865,0.02251,0.02717,0.03258,0.03864,0.04549,0.05331,0.0622,0.07229,0.08135,0.09211,0.10584,0.12018,0.13651,0.15571,0.17368,0.18848,0.20579,0.22534,0.24671,0.27019,0.29374,0.31621
78,0.01471,0.01788,0.02129,0.02557,0.0307,0.03659,0.0433,0.05107,0.05996,0.07013,0.08048,0.09154,0.10504,0.11951,0.13603,0.15528,0.17319,0.18819,0.20529,0.2244,0.24598,0.26927,0.29262,0.31494,0.33888
79,0.01548,0.0206,0.02442,0.02913,0.03471,0.04124,0.04881,0.05762,0.06775,0.07937,0.09096,0.10425,0.11895,0.13549,0.15486,0.17286,0.18774,0.20471,0.22355,0.24465,0.2686,0.29181,0.31423,0.33804,0.36346
80,0.01679,0.02389,0.02809,0.03323,0.03939,0.04674,0.05531,0.0653,0.07685,0.09014,0.10345,0.11832,0.13506,0.15431,0.17244,0.18745,0.20402,0.2226,0.24329,0.26668,0.29138,0.31364,0.33757,0.36326,0.39163
81,0.0187,0.02779,0.03236,0.03803,0.04496,0.05323,0.06294,0.07431,0.08746,0.10263,0.11767,0.13457,0.15386,0.17201,0.18697,0.20349,0.22153,0.24191,0.2647,0.28881,0.31324,0.33727,0.36307,0.39163,0.42344
82,0.02076,0.03188,0.03739,0.04376,0.05155,0.06092,0.07189,0.0848,0.09977,0.11707,0.13404,0.15343,0.17165,0.18667,0.20279,0.22066,0.24049,0.26313,0.28675,0.31054,0.33679,0.36288,0.39163,0.42344,0.45599
83,0.02341,0.03674,0.0434,0.05055,0.05934,0.06994,0.08235,0.09698,0.11398,0.13363,0.15291,0.17124,0.18638,0.20229,0.21972,0.23964,0.26228,0.28597,0.30936,0.33487,0.36268,0.39163,0.42344,0.45599,0.4891
84,0.02746,0.04305,0.05003,0.05859,0.06852,0.08047,0.09453,0.11105,0.13033,0.1525,0.17081,0.18596,0.20173,0.21901,0.23904,0.26201,0.28595,0.30936,0.33453,0.36191,0.39163,0.42344,0.45599,0.4891,0.52277
85,0.03434,0.0495,0.05785,0.06805,0.07924,0.09337,0.10863,0.12725,0.14902,0.17046,0.18563,0.20113,0.21857,0.23858,0.26201,0.28595,0.30936,0.33453,0.36191,0.39163,0.42344,0.45599,0.4891,0.52277,0.55756
86,0.04113,0.0571,0.06758,0.07901,0.09264,0.10822,0.12481,0.14579,0.1667,0.18535,0.20057,0.21715,0.23697,0.26155,0.28595,0.30936,0.33453,0.36191,0.39163,0.42328,0.45583,0.4891,0.52277,0.55756,0.59243
87,0.0493,0.06715,0.07875,0.09236,0.10786,0.12441,0.14324,0.16331,0.18132,0.19993,0.21618,0.23386,0.25603,0.28252,0.307,0.33228,0.35936,0.38852,0.42012,0.45255,0.48627,0.52092,0.55661,0.59243,0.62605
88,0.06247,0.07856,0.09209,0.10748,0.12406,0.14287,0.16084,0.17793,0.19572,0.21505,0.23227,0.25128,0.27468,0.29985,0.32543,0.35252,0.38108,0.41165,0.44383,0.47764,0.51304,0.55001,0.58856,0.62605,0.65815
89,0.07702,0.09182,0.10713,0.12368,0.14255,0.16047,0.17559,0.19242,0.21072,0.23072,0.24906,0.26874,0.2944,0.31725,0.34376,0.37202,0.40235,0.43439,0.46814,0.50358,0.5407,0.57945,0.61985,0.65815,0.69112
90,0.09157,0.10676,0.12336,0.14218,0.16011,0.17518,0.1908,0.20736,0.22625,0.24699,0.26608,0.28745,0.31354,0.33492,0.36269,0.39263,0.42438,0.45793,0.49327,0.53037,0.56923,0.60982,0.65211,0.69102,0.73234
91,0.10643,0.12307,0.14193,0.15981,0.17474,0.19025,0.20664,0.22284,0.24221,0.26363,0.28291,0.30574,0.32794,0.35333,0.3827,0.41398,0.44717,0.48225,0.5192,0.55801,0.59865,0.64109,0.68531,0.73127,0.77159
92,0.12278,0.14163,0.15952,0.1744,0.18968,0.20591,0.22197,0.23882,0.2588,0.27881,0.29845,0.31977,0.34419,0.3728,0.40343,0.43608,0.47073,0.50735,0.54594,0.58648,0.62893,0.67327,0.71946,0.76745,0.81254
93,0.14136,0.15925,0.17401,0.18915,0.2052,0.22118,0.23774,0.25563,0.27419,0.2921,0.31216,0.33556,0.36321,0.39299,0.4249,0.45892,0.49504,0.53324,0.57349,0.61579,0.66008,0.70635,0.75453,0.80459,0.85604
94,0.15893,0.17371,0.18866,0.20461,0.2205,0.23689,0.25461,0.27125,0.28743,0.30561,0.32776,0.35423,0.38293,0.41389,0.44709,0.48249,0.5201,0.5599,0.60184,0.64592,0.69209,0.7403,0.79052,0.84267,0.89668
95,0.17337,0.18803,0.20399,0.21988,0.23617,0.25379,0.27039,0.28433,0.3008,0.32114,0.34618,0.37359,0.40337,0.43551,0.46999,0.5068,0.54592,0.58733,0.63099,0.67687,0.72494,0.77514,0.82741,0.88168,0.93911
96,0.18728,0.20296,0.2192,0.23539,0.25291,0.2697,0.28348,0.29765,0.31608,0.33944,0.3653,0.39366,0.42451,0.45783,0.49362,0.53184,0.57249,0.61552,0.66092,0.70864,0.75863,0.81084,0.86519,0.92454,1
97,0.20161,0.2179,0.23466,0.25207,0.26888,0.28285,0.29674,0.31296,0.33438,0.35843,0.38513,0.41444,0.44635,0.48087,0.51796,0.55762,0.5998,0.64449,0.69164,0.74121,0.79316,0.84739,0.90918,1,
98,0.21623,0.23305,0.25134,0.26805,0.2821,0.29644,0.31223,0.33143,0.35341,0.37815,0.40566,0.43591,0.46889,0.50461,0.54302,0.58411,0.62785,0.67421,0.72313,0.77458,0.82849,0.8933,1,,
