Table Name:,2017 Unloaded CSO Smoker Distinct Smoker Male ALB ,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00037,0.00042,0.00045,0.00048,0.00052,0.00058,0.00064,0.00072,0.00079,0.00088,0.00097,0.00108,0.0013,0.00153,0.00175,0.00199,0.00223,0.00244,0.00262,0.00281,0.00302,0.00323,0.00347,0.00373,0.00403
27,0.00034,0.0004,0.00044,0.00048,0.00054,0.00061,0.00068,0.00076,0.00085,0.00094,0.00105,0.00119,0.00144,0.00169,0.00193,0.00217,0.00239,0.00259,0.00279,0.00301,0.00323,0.00347,0.00373,0.00403,0.00437
28,0.00031,0.00039,0.00045,0.00051,0.00058,0.00066,0.00073,0.00081,0.00091,0.00102,0.00116,0.00132,0.00159,0.00185,0.00209,0.00232,0.00253,0.00275,0.003,0.00322,0.00346,0.00372,0.00402,0.00436,0.00474
29,0.00031,0.00041,0.00049,0.00057,0.00065,0.00072,0.0008,0.00088,0.00098,0.00112,0.00128,0.00146,0.00174,0.00199,0.00221,0.00243,0.00268,0.00294,0.00321,0.00345,0.00372,0.00402,0.00436,0.00474,0.00516
30,0.00031,0.00043,0.00055,0.00063,0.00072,0.00079,0.00086,0.00095,0.00108,0.00125,0.00142,0.0016,0.00187,0.00211,0.00231,0.00256,0.00287,0.00315,0.00345,0.00372,0.00401,0.00435,0.00473,0.00516,0.00563
31,0.00031,0.00046,0.0006,0.0007,0.00079,0.00085,0.00093,0.00104,0.0012,0.00139,0.00156,0.00173,0.00199,0.00221,0.00244,0.00274,0.00308,0.00339,0.00371,0.00401,0.00435,0.00473,0.00515,0.00563,0.00616
32,0.00032,0.00048,0.00064,0.00075,0.00085,0.00092,0.00101,0.00115,0.00133,0.00153,0.0017,0.00186,0.00209,0.00233,0.00261,0.00295,0.00331,0.00365,0.00401,0.00434,0.00472,0.00515,0.00562,0.00616,0.00677
33,0.00033,0.00051,0.00068,0.00079,0.00089,0.001,0.00111,0.00128,0.00147,0.00166,0.00179,0.00196,0.00222,0.00251,0.00281,0.00318,0.00357,0.00394,0.00434,0.00472,0.00514,0.00561,0.00615,0.00676,0.00747
34,0.00033,0.00053,0.00072,0.00083,0.00094,0.00107,0.00122,0.0014,0.00159,0.00175,0.00187,0.0021,0.00239,0.00271,0.00304,0.00343,0.00387,0.00428,0.00471,0.00514,0.00561,0.00614,0.00675,0.00746,0.00826
35,0.00034,0.00055,0.00077,0.00087,0.00101,0.00116,0.00134,0.00152,0.00168,0.00181,0.00201,0.00227,0.00259,0.00293,0.0033,0.00373,0.0042,0.00465,0.00513,0.0056,0.00614,0.00674,0.00746,0.00826,0.00917
36,0.00036,0.00058,0.00082,0.00094,0.00109,0.00127,0.00145,0.00162,0.00172,0.00192,0.00219,0.00247,0.00282,0.00319,0.00359,0.00406,0.00457,0.00506,0.0056,0.00613,0.00673,0.00745,0.00825,0.00916,0.01021
37,0.00038,0.00062,0.00089,0.00103,0.0012,0.00138,0.00154,0.00165,0.00183,0.00211,0.00239,0.0027,0.00308,0.00348,0.00392,0.00444,0.00499,0.00553,0.00612,0.00672,0.00744,0.00825,0.00916,0.0102,0.01139
38,0.00041,0.00068,0.00098,0.00113,0.0013,0.00147,0.00159,0.00176,0.00202,0.00233,0.00263,0.00296,0.00338,0.00383,0.00431,0.00487,0.00546,0.00605,0.00671,0.00744,0.00825,0.00915,0.0102,0.01139,0.01273
39,0.00045,0.00075,0.00106,0.00123,0.00139,0.00153,0.0017,0.00196,0.00224,0.00257,0.0029,0.00327,0.00373,0.00423,0.00476,0.00535,0.00599,0.00663,0.00743,0.00824,0.00915,0.0102,0.01139,0.01273,0.01419
40,0.0005,0.00083,0.00115,0.00132,0.00147,0.00164,0.0019,0.00218,0.00249,0.00285,0.00321,0.00362,0.00414,0.00469,0.00526,0.0059,0.00658,0.00739,0.00824,0.00915,0.0102,0.01139,0.01273,0.01419,0.0158
41,0.00055,0.00091,0.00123,0.0014,0.00158,0.00184,0.00213,0.00244,0.00277,0.00315,0.00356,0.00403,0.0046,0.00521,0.00583,0.00651,0.00736,0.00823,0.00914,0.0102,0.01139,0.01273,0.01418,0.01579,0.01756
42,0.0006,0.00099,0.00129,0.00151,0.00176,0.00206,0.00238,0.00271,0.00308,0.0035,0.00396,0.00448,0.00513,0.00579,0.00647,0.00728,0.00823,0.00914,0.01019,0.01138,0.01273,0.01418,0.01577,0.01755,0.01943
43,0.00065,0.00105,0.00138,0.00165,0.00196,0.0023,0.00266,0.00302,0.00342,0.00389,0.00441,0.005,0.00572,0.00645,0.00723,0.00818,0.00913,0.01019,0.01138,0.01273,0.01418,0.01576,0.01754,0.01943,0.02139
44,0.00069,0.00113,0.00149,0.00182,0.00218,0.00257,0.00296,0.00335,0.0038,0.00433,0.00492,0.0056,0.0064,0.0072,0.00809,0.00913,0.01019,0.01138,0.01273,0.01417,0.01575,0.01754,0.01943,0.02139,0.02349
45,0.00074,0.00123,0.00163,0.00201,0.00243,0.00287,0.00329,0.00372,0.00422,0.00484,0.00551,0.00628,0.00717,0.00806,0.00906,0.01019,0.01138,0.01272,0.01417,0.01574,0.01753,0.01943,0.02138,0.02347,0.02577
46,0.0008,0.00133,0.00178,0.00224,0.00272,0.00319,0.00364,0.00413,0.0047,0.00541,0.00619,0.0071,0.00804,0.00905,0.01015,0.01138,0.01272,0.01416,0.01573,0.01752,0.01942,0.02138,0.02346,0.02573,0.02836
47,0.00087,0.00145,0.00197,0.0025,0.00304,0.00355,0.00404,0.00458,0.00524,0.00606,0.00705,0.00804,0.00904,0.01015,0.01138,0.01272,0.01416,0.01571,0.01751,0.01942,0.02137,0.02345,0.02569,0.0283,0.03132
48,0.00095,0.00158,0.00218,0.00282,0.00341,0.00394,0.00447,0.00508,0.00586,0.00698,0.00803,0.00902,0.01015,0.01137,0.01272,0.01416,0.0157,0.0175,0.01942,0.02137,0.02344,0.02564,0.02824,0.03127,0.03463
49,0.00103,0.00172,0.00244,0.00318,0.00381,0.00437,0.00496,0.00566,0.00687,0.00803,0.009,0.01012,0.01137,0.01272,0.01415,0.01569,0.01749,0.01942,0.02137,0.02342,0.0256,0.02818,0.03121,0.03459,0.03813
50,0.00113,0.00189,0.00275,0.00361,0.00428,0.00486,0.00556,0.00669,0.00803,0.00899,0.01009,0.01135,0.01272,0.01415,0.01568,0.01748,0.01941,0.02136,0.02336,0.02556,0.02812,0.03115,0.03456,0.03807,0.04179
51,0.00124,0.00208,0.00311,0.00411,0.0048,0.00548,0.00658,0.00788,0.00897,0.01006,0.01132,0.0127,0.01414,0.01567,0.01746,0.01941,0.02135,0.02329,0.02547,0.02806,0.03109,0.03453,0.03801,0.04172,0.04546
52,0.00137,0.00229,0.00353,0.00468,0.00542,0.00644,0.00771,0.00888,0.01003,0.0113,0.01268,0.01413,0.01565,0.01745,0.01938,0.02134,0.02323,0.02537,0.028,0.03104,0.03449,0.03795,0.04166,0.04538,0.04901
53,0.00151,0.00254,0.00402,0.00534,0.00627,0.00749,0.0087,0.01,0.01127,0.01266,0.01411,0.01564,0.01743,0.01935,0.02131,0.02316,0.02528,0.02794,0.03098,0.03446,0.03789,0.0416,0.04531,0.04883,0.05256
54,0.00166,0.00282,0.00459,0.00609,0.00723,0.00846,0.0098,0.01125,0.01263,0.0141,0.01563,0.01742,0.01932,0.02128,0.0231,0.02519,0.02787,0.03092,0.03442,0.03783,0.04154,0.04523,0.04866,0.05232,0.05637
55,0.00184,0.00314,0.00523,0.00694,0.00819,0.00955,0.01102,0.01261,0.01409,0.01562,0.0174,0.01929,0.02125,0.02303,0.02509,0.02781,0.03087,0.03439,0.03777,0.04147,0.04515,0.04848,0.05208,0.05623,0.06046
56,0.00204,0.0035,0.00595,0.00787,0.00924,0.01073,0.01234,0.01407,0.0156,0.01738,0.01926,0.02122,0.02296,0.025,0.02775,0.03081,0.03435,0.03771,0.04141,0.04508,0.04831,0.05183,0.05605,0.06046,0.06475
57,0.00226,0.00391,0.00673,0.00889,0.01038,0.012,0.01375,0.01559,0.01737,0.01923,0.02119,0.0229,0.02491,0.02769,0.03075,0.03432,0.03765,0.04135,0.045,0.04813,0.05159,0.05587,0.06042,0.06475,0.06932
58,0.0025,0.00438,0.00755,0.00998,0.01159,0.01333,0.01519,0.01714,0.0192,0.02116,0.02283,0.02481,0.02763,0.0307,0.03429,0.03759,0.04129,0.04493,0.04796,0.05135,0.05569,0.06036,0.06475,0.06932,0.07515
59,0.00278,0.0049,0.00841,0.01113,0.01285,0.0147,0.01666,0.01872,0.0209,0.02276,0.02472,0.02757,0.03064,0.03425,0.03753,0.04122,0.04485,0.04779,0.0511,0.0555,0.06031,0.06474,0.06932,0.07515,0.08272
60,0.00308,0.00547,0.00929,0.01231,0.01413,0.01607,0.01796,0.02013,0.02246,0.02463,0.02751,0.03058,0.03422,0.03747,0.04116,0.04477,0.04761,0.05086,0.05532,0.06025,0.06467,0.06932,0.07515,0.08272,0.09132
61,0.00341,0.0061,0.01018,0.01349,0.01541,0.01727,0.01898,0.02124,0.02372,0.0267,0.02978,0.03302,0.03741,0.0411,0.0447,0.04744,0.05062,0.05514,0.06019,0.06463,0.06927,0.07515,0.08272,0.09132,0.10108
62,0.00377,0.00676,0.01106,0.01466,0.01668,0.0185,0.01994,0.0221,0.02477,0.02797,0.0312,0.03453,0.03921,0.04462,0.04726,0.05037,0.05496,0.06013,0.06451,0.0691,0.07515,0.08272,0.09132,0.10108,0.11205
63,0.00415,0.00745,0.01192,0.0158,0.01799,0.01968,0.02114,0.02344,0.02646,0.02941,0.03266,0.03589,0.04051,0.04709,0.05013,0.05478,0.06008,0.06438,0.06887,0.07499,0.08272,0.09132,0.10108,0.11205,0.1242
64,0.00455,0.00815,0.01276,0.01696,0.01924,0.02091,0.02289,0.02562,0.0286,0.03176,0.03491,0.03786,0.04245,0.04989,0.0546,0.06002,0.06425,0.06864,0.07474,0.08272,0.09132,0.10108,0.11205,0.1242,0.13723
65,0.00497,0.00885,0.01361,0.0182,0.02066,0.02271,0.02514,0.02802,0.03094,0.03475,0.03758,0.04116,0.04497,0.05264,0.05924,0.06412,0.0684,0.07456,0.08259,0.09132,0.10108,0.11205,0.1242,0.13723,0.15078
66,0.00539,0.00957,0.01452,0.01961,0.02251,0.02492,0.02765,0.03061,0.03385,0.03741,0.04078,0.04456,0.04773,0.05577,0.06274,0.06817,0.07439,0.08238,0.09132,0.10108,0.11205,0.1242,0.13723,0.15078,0.16453
67,0.00583,0.01033,0.01553,0.02129,0.02467,0.02741,0.0304,0.03352,0.0368,0.0404,0.04416,0.04755,0.05291,0.05949,0.06698,0.07351,0.08221,0.09093,0.10108,0.11205,0.1242,0.13723,0.15078,0.16453,0.17806
68,0.00631,0.01116,0.01671,0.0233,0.02712,0.03015,0.03331,0.03648,0.03976,0.04375,0.04737,0.05247,0.05876,0.06402,0.0726,0.08065,0.0906,0.10048,0.11205,0.1242,0.13723,0.15078,0.16453,0.17806,0.19117
69,0.00685,0.0121,0.01807,0.0256,0.02982,0.03304,0.03625,0.03952,0.0432,0.04719,0.05204,0.05802,0.06305,0.06983,0.07993,0.08909,0.10002,0.11168,0.1242,0.13723,0.15078,0.16453,0.17806,0.19117,0.20355
70,0.00747,0.01317,0.01962,0.02815,0.03268,0.03597,0.03932,0.04309,0.04712,0.0516,0.05729,0.06235,0.06765,0.07686,0.08828,0.09863,0.11133,0.1242,0.13723,0.15078,0.16453,0.17806,0.19117,0.20355,0.21464
71,0.00819,0.01436,0.02133,0.03085,0.03559,0.03909,0.04295,0.04703,0.0515,0.05655,0.06181,0.06712,0.07399,0.08479,0.09726,0.11038,0.12398,0.13723,0.15078,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652
72,0.009,0.01567,0.02316,0.03361,0.03846,0.04242,0.04675,0.05087,0.05574,0.06099,0.06655,0.07295,0.08188,0.09316,0.10865,0.12312,0.13706,0.15078,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113
73,0.00991,0.01706,0.02506,0.03633,0.04173,0.04607,0.05011,0.05448,0.05941,0.06546,0.07248,0.07957,0.08989,0.10571,0.12164,0.13597,0.15078,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732
74,0.01089,0.0185,0.027,0.03905,0.04506,0.04937,0.05251,0.0571,0.06374,0.07149,0.07932,0.08837,0.10317,0.12023,0.13458,0.15023,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753
75,0.01192,0.01998,0.02901,0.04178,0.04758,0.05178,0.05505,0.06114,0.06983,0.07845,0.08803,0.10203,0.11845,0.13289,0.14953,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479
76,0.01301,0.02151,0.03111,0.04458,0.05019,0.05459,0.05946,0.06793,0.0769,0.08699,0.10058,0.11604,0.13069,0.14855,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552
77,0.01417,0.02313,0.03336,0.0475,0.05346,0.0585,0.06555,0.07483,0.08525,0.09855,0.11326,0.12773,0.14649,0.16453,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699
78,0.01542,0.02487,0.0358,0.05058,0.05783,0.06333,0.07225,0.08294,0.09591,0.11006,0.12435,0.14355,0.16367,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854
79,0.01678,0.02677,0.03848,0.05411,0.0629,0.06915,0.08004,0.09275,0.10632,0.1204,0.13988,0.1623,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981
80,0.0183,0.02888,0.04161,0.05815,0.06776,0.07657,0.08907,0.10217,0.11579,0.13512,0.15969,0.17806,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044
81,0.02001,0.03137,0.04526,0.06244,0.07299,0.08448,0.0976,0.11063,0.12934,0.15553,0.17721,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009
82,0.02205,0.03431,0.04925,0.06694,0.07859,0.09155,0.10491,0.12261,0.14997,0.17553,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384
83,0.02446,0.03756,0.05355,0.07163,0.08444,0.09798,0.11493,0.14301,0.17301,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501
84,0.02718,0.04114,0.05815,0.07643,0.09006,0.10631,0.13466,0.16784,0.19117,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956
85,0.03023,0.04506,0.06297,0.08115,0.09653,0.12492,0.16001,0.18898,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817
86,0.03363,0.04929,0.06787,0.08559,0.11378,0.14949,0.18463,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107
87,0.03738,0.05372,0.07265,0.09588,0.13627,0.17818,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731
88,0.04142,0.05868,0.07724,0.11467,0.15885,0.20355,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5
89,0.04567,0.06428,0.0859,0.13763,0.19074,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5
90,0.05076,0.07251,0.11938,0.17825,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5
91,0.0585,0.095,0.17695,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5
92,0.07044,0.13226,0.21464,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5
93,0.08713,0.16164,0.22652,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5
94,0.10886,0.19978,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.13717,0.24113,0.25732,0.2753,0.29479,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Smoker Distinct Smoker, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00076,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00081,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0008,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0008,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00082,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00092,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00116,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00127,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00197,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00219,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0024,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00259,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00273,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00288,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00306,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00326,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00349,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00374,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00404,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00437,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00474,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00516,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00564,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00617,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00678,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00748,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00827,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00917,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01021,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01139,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01273,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01419,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01581,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01757,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01944,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0214,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0235,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02581,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02842,,,,,,,,,,,,,,,,,,,,,,,,
71,0.03138,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03466,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03819,,,,,,,,,,,,,,,,,,,,,,,,
74,0.04185,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04553,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04918,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0528,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05652,,,,,,,,,,,,,,,,,,,,,,,,
79,0.06046,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06475,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06932,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07515,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08272,,,,,,,,,,,,,,,,,,,,,,,,
84,0.09132,,,,,,,,,,,,,,,,,,,,,,,,
85,0.10108,,,,,,,,,,,,,,,,,,,,,,,,
