Table Name:,"2001 CSO Residual Standard Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Residual Standard Select and Ultimate Table - Male Nonsmoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.0009,0.00101,0.00106,0.00109,0.0011,0.0011,0.00111,0.00111,0.00112
1,,,,,,,,,,,,,,,,0.00086,0.00097,0.00105,0.00107,0.0011,0.0011,0.00111,0.00111,0.00112,0.00114
2,,,,,,,,,,,,,,,0.00083,0.00094,0.00102,0.00107,0.00109,0.0011,0.00111,0.00111,0.00112,0.00114,0.00117
3,,,,,,,,,,,,,,0.00082,0.00093,0.00101,0.00106,0.00109,0.0011,0.00111,0.00111,0.00112,0.00114,0.00116,0.00119
4,,,,,,,,,,,,,0.00082,0.00093,0.00101,0.00106,0.00109,0.0011,0.00111,0.00111,0.00112,0.00113,0.00115,0.00117,0.00118
5,,,,,,,,,,,,0.00082,0.00093,0.00101,0.00106,0.00108,0.0011,0.0011,0.00111,0.00111,0.00112,0.00113,0.00114,0.00115,0.00116
6,,,,,,,,,,,0.00082,0.00093,0.00101,0.00106,0.00108,0.00108,0.00109,0.00109,0.0011,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115
7,,,,,,,,,,0.00082,0.00093,0.00101,0.00105,0.00107,0.00107,0.00108,0.00108,0.00109,0.00109,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115
8,,,,,,,,,0.00081,0.00093,0.00101,0.00104,0.00106,0.00106,0.00107,0.00107,0.00109,0.00109,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117
9,,,,,,,,0.0008,0.00093,0.001,0.00104,0.00105,0.00105,0.00106,0.00106,0.00107,0.00109,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119
10,,,,,,,0.0008,0.00092,0.001,0.00103,0.00104,0.00104,0.00105,0.00105,0.00107,0.00109,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119,0.00123
11,,,,,,0.0008,0.00092,0.00099,0.00102,0.00102,0.00103,0.00103,0.00104,0.00106,0.00108,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119,0.00123,0.00128
12,,,,,0.0008,0.00092,0.00098,0.001,0.00101,0.00101,0.00102,0.00103,0.00105,0.00108,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119,0.00123,0.00128,0.00134
13,,,,0.0008,0.00092,0.00098,0.00099,0.001,0.001,0.00101,0.00101,0.00105,0.00107,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119,0.00123,0.00128,0.00134,0.00141
14,,,0.0008,0.00092,0.00098,0.00099,0.001,0.001,0.00101,0.00101,0.00102,0.00106,0.0011,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119,0.00123,0.00128,0.00134,0.00141,0.00151
15,,0.0008,0.00092,0.00098,0.00098,0.00099,0.00099,0.001,0.001,0.00101,0.00103,0.00108,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00119,0.00123,0.00128,0.00134,0.00141,0.00151,0.00162
16,0.0008,0.00091,0.00097,0.00097,0.00098,0.00098,0.00099,0.00099,0.001,0.00102,0.00104,0.00109,0.00111,0.00112,0.00113,0.00114,0.00117,0.00119,0.00123,0.00128,0.00134,0.00141,0.00151,0.00162,0.00174
17,0.00091,0.00096,0.00096,0.00097,0.00097,0.00098,0.00098,0.00099,0.001,0.00103,0.00105,0.00108,0.00109,0.00111,0.00112,0.00113,0.00119,0.00122,0.00128,0.00134,0.00141,0.00151,0.00162,0.00174,0.00189
18,0.00093,0.00094,0.00094,0.00095,0.00095,0.00096,0.00096,0.00098,0.001,0.00101,0.00103,0.00105,0.00106,0.0011,0.00113,0.00115,0.00122,0.00127,0.00134,0.00141,0.00151,0.00162,0.00174,0.00189,0.00207
19,0.00089,0.0009,0.0009,0.00091,0.00091,0.00092,0.00093,0.00096,0.00097,0.00098,0.001,0.00102,0.00104,0.00109,0.00115,0.0012,0.00126,0.00134,0.00141,0.00151,0.00161,0.00174,0.00189,0.00207,0.00228
20,0.00084,0.00084,0.00085,0.00085,0.00086,0.00088,0.0009,0.00092,0.00093,0.00095,0.00097,0.001,0.00103,0.0011,0.00119,0.00126,0.00133,0.00141,0.00151,0.00161,0.00174,0.00189,0.00207,0.00228,0.00253
21,0.00078,0.00078,0.00079,0.0008,0.00082,0.00084,0.00086,0.00088,0.00089,0.00093,0.00095,0.001,0.00104,0.00113,0.00123,0.00133,0.00141,0.00151,0.00161,0.00174,0.00189,0.00207,0.00228,0.00253,0.00279
22,0.00072,0.00072,0.00074,0.00077,0.0008,0.00082,0.00084,0.00086,0.00087,0.00092,0.00095,0.001,0.00107,0.00117,0.00129,0.00141,0.00151,0.00161,0.00174,0.00189,0.00207,0.00228,0.00253,0.00279,0.00306
23,0.00065,0.00067,0.00071,0.00075,0.00078,0.00081,0.00083,0.00085,0.00088,0.00093,0.00097,0.00103,0.00112,0.00122,0.00137,0.00149,0.00161,0.00174,0.00189,0.00207,0.00228,0.00253,0.00279,0.00304,0.00327
24,0.00058,0.00062,0.00069,0.00074,0.00078,0.0008,0.00084,0.00086,0.00091,0.00096,0.00102,0.00109,0.00118,0.00129,0.00145,0.0016,0.00174,0.00189,0.00207,0.00228,0.00253,0.00279,0.00304,0.00326,0.00344
25,0.00052,0.0006,0.00068,0.00076,0.00079,0.00082,0.00085,0.00089,0.00094,0.00101,0.00108,0.00116,0.00126,0.00139,0.00155,0.00173,0.00189,0.00207,0.00228,0.00253,0.00279,0.00303,0.00325,0.00344,0.00366
26,0.0005,0.0006,0.00069,0.00078,0.00082,0.00085,0.00088,0.00093,0.00099,0.00107,0.00115,0.00124,0.00135,0.00152,0.00168,0.00189,0.00207,0.00228,0.00252,0.00278,0.00302,0.00323,0.00343,0.00366,0.00394
27,0.00049,0.00061,0.00071,0.00079,0.00085,0.00088,0.00093,0.00099,0.00106,0.00115,0.00124,0.00135,0.00148,0.00166,0.00183,0.00207,0.00228,0.00252,0.00278,0.00302,0.00322,0.00342,0.00365,0.00394,0.00428
28,0.0005,0.00062,0.00073,0.00081,0.00088,0.00092,0.00099,0.00106,0.00113,0.00124,0.00135,0.00148,0.00162,0.0018,0.00201,0.00227,0.00251,0.00277,0.00301,0.00322,0.00342,0.00365,0.00393,0.00428,0.0047
29,0.0005,0.00063,0.00074,0.00083,0.00092,0.00099,0.00106,0.00113,0.00122,0.00134,0.00147,0.00161,0.00176,0.00195,0.0022,0.00248,0.00274,0.003,0.00321,0.00342,0.00365,0.00393,0.00427,0.0047,0.0052
30,0.0005,0.00064,0.00074,0.00084,0.00095,0.00105,0.00113,0.00121,0.00132,0.00143,0.00157,0.00172,0.00191,0.00214,0.00241,0.0027,0.00296,0.0032,0.00342,0.00365,0.00393,0.00427,0.00469,0.00519,0.00576
31,0.0005,0.00063,0.00075,0.00085,0.00098,0.00108,0.00119,0.00128,0.00138,0.00149,0.00165,0.00184,0.00209,0.00236,0.00266,0.00292,0.00318,0.00342,0.00365,0.00393,0.00427,0.00468,0.00518,0.00573,0.00636
32,0.0005,0.00064,0.00077,0.00089,0.00101,0.00113,0.00125,0.00134,0.00144,0.00156,0.00174,0.00198,0.00229,0.0026,0.00289,0.00315,0.0034,0.00365,0.00393,0.00427,0.00468,0.00518,0.00572,0.00632,0.007
33,0.00053,0.00067,0.00081,0.00094,0.00107,0.00119,0.00132,0.00142,0.00153,0.00167,0.00188,0.00216,0.0025,0.00282,0.00311,0.00337,0.00364,0.00393,0.00427,0.00468,0.00516,0.0057,0.00629,0.00695,0.00763
34,0.00056,0.0007,0.00085,0.00098,0.00112,0.00126,0.00139,0.00152,0.00165,0.00183,0.00207,0.00237,0.0027,0.00304,0.00335,0.00362,0.00393,0.00426,0.00467,0.00515,0.00567,0.00627,0.00692,0.0076,0.00831
35,0.00059,0.00073,0.00088,0.00103,0.00118,0.00132,0.00147,0.00164,0.00182,0.00203,0.00229,0.00258,0.00292,0.00327,0.00361,0.00392,0.00426,0.00466,0.00514,0.00564,0.00624,0.00689,0.00757,0.00829,0.00912
36,0.00063,0.00077,0.00092,0.00107,0.00122,0.00138,0.00157,0.0018,0.00202,0.00226,0.00251,0.0028,0.00315,0.00354,0.00391,0.00426,0.00466,0.00512,0.00563,0.00618,0.00685,0.00754,0.00827,0.0091,0.01004
37,0.00067,0.00082,0.00098,0.00112,0.00128,0.00147,0.0017,0.00197,0.00224,0.00248,0.00272,0.00302,0.00339,0.00381,0.00423,0.00464,0.00511,0.00561,0.00618,0.00679,0.00749,0.00824,0.00907,0.01003,0.01118
38,0.00073,0.0009,0.00106,0.0012,0.00137,0.00159,0.00188,0.00216,0.00245,0.00269,0.00294,0.00326,0.00366,0.0041,0.00457,0.00507,0.00559,0.00617,0.00679,0.00745,0.00819,0.00905,0.01002,0.01118,0.01256
39,0.00078,0.00097,0.00114,0.00129,0.00149,0.00176,0.00207,0.00237,0.00264,0.0029,0.00319,0.00355,0.00397,0.00445,0.00497,0.00553,0.00612,0.00677,0.00745,0.00818,0.00902,0.01001,0.01118,0.01254,0.01409
40,0.00083,0.00105,0.00124,0.00142,0.00165,0.00195,0.00228,0.00258,0.00285,0.00314,0.00348,0.0039,0.00436,0.00487,0.00545,0.00607,0.00673,0.00743,0.00816,0.00901,0.01,0.01117,0.01253,0.01403,0.01563
41,0.00088,0.00114,0.00137,0.00158,0.00183,0.00215,0.00248,0.00279,0.0031,0.00344,0.00384,0.0043,0.0048,0.00539,0.00605,0.00669,0.00738,0.00814,0.00899,0.00998,0.01115,0.0125,0.01397,0.01553,0.01695
42,0.00094,0.00122,0.00148,0.00173,0.002,0.00231,0.00266,0.003,0.00336,0.00375,0.00421,0.00473,0.00533,0.00599,0.00668,0.0073,0.00808,0.00896,0.00996,0.0111,0.01244,0.01388,0.01542,0.01687,0.01835
43,0.001,0.00129,0.00157,0.00184,0.00212,0.00245,0.00283,0.00323,0.00364,0.00408,0.00458,0.00522,0.00593,0.00662,0.00728,0.00798,0.0089,0.00992,0.01109,0.01235,0.0138,0.01529,0.0168,0.01826,0.02011
44,0.00107,0.00138,0.00166,0.00194,0.00224,0.00261,0.00304,0.0035,0.00396,0.00444,0.00502,0.0058,0.00654,0.00721,0.0079,0.00878,0.00985,0.01104,0.01234,0.01373,0.01522,0.01668,0.01818,0.01995,0.02219
45,0.00116,0.00147,0.00175,0.00205,0.0024,0.00282,0.00331,0.00382,0.00435,0.00488,0.00557,0.00642,0.00715,0.0078,0.00866,0.00975,0.01098,0.01231,0.01371,0.0152,0.01663,0.01807,0.0198,0.02202,0.02474
46,0.00126,0.00155,0.00184,0.00217,0.00258,0.00306,0.00361,0.0042,0.00477,0.00542,0.00618,0.00703,0.00774,0.0085,0.00963,0.0109,0.01228,0.0137,0.01518,0.01663,0.01797,0.01966,0.02186,0.02456,0.0277
47,0.00136,0.00165,0.00196,0.00233,0.00278,0.00331,0.00391,0.00457,0.00522,0.00601,0.00677,0.0076,0.00839,0.0094,0.01075,0.01221,0.01368,0.01517,0.01662,0.01796,0.01951,0.02168,0.02439,0.02758,0.03098
48,0.00145,0.00178,0.00213,0.00254,0.003,0.00356,0.00422,0.00496,0.00567,0.00652,0.00732,0.00825,0.00924,0.01047,0.01202,0.01365,0.01516,0.01661,0.01795,0.01941,0.02151,0.0242,0.02739,0.03095,0.03451
49,0.00156,0.00193,0.00233,0.00277,0.00325,0.00384,0.00455,0.00536,0.0061,0.00697,0.00792,0.00907,0.01034,0.01179,0.01342,0.01514,0.01661,0.01795,0.0194,0.02133,0.02401,0.02719,0.03072,0.03449,0.03822
50,0.00169,0.00212,0.00257,0.00304,0.00353,0.00414,0.00489,0.00572,0.00654,0.00748,0.00867,0.01015,0.01169,0.01328,0.01484,0.0166,0.01794,0.01937,0.02131,0.02381,0.02696,0.03049,0.0342,0.03811,0.04216
51,0.00184,0.00235,0.00285,0.00334,0.00385,0.00446,0.00523,0.00609,0.00705,0.00819,0.00966,0.01145,0.01316,0.01456,0.01617,0.01792,0.01933,0.02125,0.02376,0.02674,0.03025,0.03394,0.03779,0.04192,0.04639
52,0.00196,0.00255,0.00311,0.00366,0.0042,0.00483,0.00564,0.00662,0.00772,0.00914,0.0109,0.01289,0.01443,0.01575,0.01749,0.01928,0.02118,0.02369,0.02653,0.03002,0.03369,0.03753,0.04162,0.04614,0.05108
53,0.00206,0.00274,0.00338,0.00399,0.00456,0.00525,0.00618,0.00735,0.00863,0.01031,0.01225,0.01413,0.01561,0.0172,0.01904,0.02109,0.02361,0.02649,0.02963,0.03348,0.0373,0.04138,0.04587,0.05093,0.05647
54,0.00215,0.00294,0.00367,0.00429,0.00492,0.00574,0.00686,0.00823,0.00969,0.01155,0.01337,0.01524,0.01704,0.01891,0.02098,0.0235,0.02643,0.0296,0.03304,0.0371,0.04117,0.04565,0.05068,0.05642,0.0627
55,0.00225,0.00315,0.00394,0.00462,0.00534,0.00634,0.00767,0.00922,0.01081,0.01257,0.01436,0.01652,0.01871,0.02088,0.02337,0.02636,0.02957,0.03298,0.03657,0.04094,0.04542,0.05047,0.05622,0.0627,0.06966
56,0.00237,0.00335,0.00422,0.005,0.00587,0.00705,0.00858,0.01026,0.01192,0.01368,0.01577,0.01819,0.02063,0.02323,0.02627,0.02955,0.03292,0.03648,0.04033,0.04517,0.05022,0.056,0.06261,0.06966,0.07736
57,0.00252,0.00355,0.00452,0.00545,0.00651,0.00788,0.00954,0.01129,0.01296,0.015,0.0174,0.02018,0.02296,0.02603,0.0295,0.03288,0.03639,0.04021,0.0445,0.04998,0.05577,0.06242,0.06966,0.07736,0.08569
58,0.00272,0.0038,0.00487,0.00597,0.00726,0.00879,0.01052,0.01227,0.01391,0.0162,0.01893,0.02224,0.02571,0.02914,0.03281,0.03636,0.0401,0.04436,0.04923,0.05553,0.0622,0.06956,0.07736,0.08569,0.09444
59,0.00297,0.00409,0.00527,0.00657,0.00805,0.00972,0.0115,0.01323,0.01486,0.01743,0.02057,0.02438,0.02863,0.03242,0.03628,0.04008,0.04424,0.04908,0.05471,0.06198,0.0694,0.07736,0.08569,0.09444,0.10393
60,0.00327,0.00442,0.00572,0.00719,0.00886,0.01066,0.01247,0.01418,0.01582,0.01875,0.02234,0.02651,0.03119,0.03583,0.03999,0.04421,0.04895,0.05454,0.06105,0.06919,0.07731,0.08569,0.09444,0.10393,0.11443
61,0.00362,0.00481,0.00621,0.00784,0.00968,0.01161,0.01346,0.01519,0.0169,0.02022,0.02414,0.02854,0.03343,0.03891,0.0441,0.04891,0.05439,0.06087,0.06817,0.0772,0.08569,0.09444,0.10393,0.11443,0.12606
62,0.00392,0.00524,0.00681,0.0086,0.01059,0.01264,0.01459,0.01643,0.01831,0.02194,0.02609,0.0307,0.03592,0.04192,0.04863,0.05434,0.06069,0.06797,0.0761,0.08569,0.09444,0.10393,0.11443,0.12606,0.13876
63,0.00416,0.00573,0.00751,0.00949,0.01164,0.01381,0.01592,0.01797,0.02009,0.02395,0.02834,0.03331,0.03904,0.04574,0.05365,0.06063,0.06776,0.07587,0.08474,0.09444,0.10393,0.11443,0.12606,0.13876,0.15239
64,0.00435,0.00623,0.00827,0.01047,0.01279,0.01513,0.01744,0.01973,0.02212,0.02625,0.03099,0.03648,0.04289,0.0505,0.05955,0.06768,0.07564,0.08438,0.09388,0.10393,0.11443,0.12606,0.13876,0.15239,0.16678
65,0.00452,0.00684,0.00914,0.01155,0.01412,0.01664,0.01912,0.02164,0.02434,0.02882,0.03407,0.04023,0.04751,0.0562,0.06633,0.07558,0.08425,0.09342,0.10376,0.11443,0.12606,0.13876,0.15239,0.16678,0.18174
66,0.00476,0.00762,0.01014,0.01274,0.01567,0.01835,0.02098,0.0237,0.02674,0.0317,0.03758,0.04458,0.0529,0.06261,0.07388,0.08424,0.09341,0.1035,0.11443,0.12606,0.13876,0.15239,0.16678,0.18174,0.19647
67,0.00523,0.00848,0.01125,0.01407,0.01725,0.02026,0.02325,0.0263,0.02958,0.03519,0.04189,0.04989,0.05923,0.07008,0.08246,0.0934,0.10346,0.1144,0.12606,0.13876,0.15239,0.16678,0.18174,0.19647,0.21079
68,0.00585,0.00943,0.01249,0.01553,0.01848,0.02245,0.02575,0.02901,0.0326,0.03899,0.04662,0.05556,0.06597,0.07788,0.09118,0.10343,0.11437,0.12606,0.13876,0.15239,0.16678,0.18174,0.19647,0.21079,0.22567
69,0.00649,0.01051,0.01387,0.01714,0.01942,0.02488,0.0281,0.03147,0.03674,0.04411,0.05274,0.0628,0.0743,0.08718,0.10185,0.11433,0.12606,0.13876,0.15239,0.16678,0.18174,0.19647,0.21079,0.22567,0.24121
70,0.00759,0.01173,0.01541,0.01851,0.0214,0.02723,0.03037,0.03588,0.04175,0.05013,0.05987,0.07106,0.08359,0.09786,0.11419,0.12605,0.13876,0.15239,0.16678,0.18174,0.19647,0.21079,0.22567,0.24118,0.25747
71,0.00929,0.01307,0.01711,0.02046,0.02442,0.02923,0.03309,0.03947,0.04485,0.05404,0.06454,0.07639,0.08992,0.10543,0.12302,0.13876,0.15239,0.16653,0.18167,0.19647,0.21079,0.22567,0.24116,0.25741,0.27415
72,0.01098,0.01511,0.01936,0.02325,0.02709,0.03111,0.03554,0.04172,0.04699,0.05677,0.06775,0.08035,0.09485,0.11134,0.12984,0.14992,0.16643,0.1804,0.19523,0.21016,0.22567,0.24114,0.25736,0.27414,0.29118
73,0.01265,0.01727,0.02169,0.02583,0.02968,0.0335,0.03902,0.0452,0.05025,0.06074,0.07258,0.08623,0.10181,0.11933,0.1387,0.15968,0.18021,0.19305,0.20675,0.22488,0.24113,0.25733,0.2741,0.29118,0.30926
74,0.01467,0.01874,0.02364,0.02862,0.03255,0.03745,0.04358,0.04897,0.05755,0.06896,0.08226,0.09737,0.1144,0.13324,0.15367,0.17563,0.19291,0.20451,0.22239,0.24111,0.2573,0.27408,0.29118,0.30926,0.32854
75,0.01607,0.02045,0.02588,0.03162,0.03616,0.04203,0.04774,0.05604,0.0686,0.08163,0.09674,0.11368,0.13244,0.15277,0.17442,0.19276,0.20431,0.22115,0.24109,0.25726,0.27406,0.29118,0.30926,0.32854,0.34911
76,0.01671,0.02241,0.0285,0.03488,0.0405,0.04647,0.05447,0.06664,0.07795,0.09455,0.11127,0.12981,0.14994,0.17141,0.1909,0.20403,0.22097,0.24108,0.25722,0.27403,0.29118,0.30926,0.32854,0.34911,0.36876
77,0.01761,0.02421,0.03129,0.03904,0.04528,0.05297,0.06478,0.07654,0.09075,0.10915,0.12745,0.14733,0.16855,0.18779,0.20265,0.22082,0.24094,0.25718,0.27399,0.29118,0.30926,0.32854,0.34911,0.36876,0.38619
78,0.01888,0.02622,0.03458,0.04409,0.05151,0.06295,0.07513,0.08938,0.10362,0.12177,0.14126,0.16213,0.18344,0.20147,0.22066,0.24081,0.25687,0.27383,0.29114,0.30926,0.32854,0.34911,0.36876,0.38619,0.40473
79,0.02034,0.0288,0.03872,0.05006,0.06118,0.07372,0.08801,0.10207,0.11363,0.13267,0.15281,0.17347,0.19423,0.21937,0.24069,0.25658,0.27353,0.29082,0.30921,0.32854,0.34911,0.36876,0.38619,0.40473,0.42444
80,0.02204,0.03218,0.04394,0.05738,0.07248,0.08679,0.1007,0.11242,0.12758,0.14764,0.16798,0.19071,0.2168,0.24059,0.25634,0.27327,0.29054,0.30893,0.3285,0.34911,0.36876,0.38619,0.40473,0.42444,0.44527
81,0.02418,0.03648,0.05051,0.06623,0.0835,0.09941,0.11129,0.1264,0.13798,0.16479,0.1874,0.21608,0.24051,0.25613,0.27304,0.2903,0.30868,0.32824,0.34908,0.36876,0.38619,0.40473,0.42444,0.44527,0.46721
82,0.02717,0.04204,0.05854,0.07654,0.09589,0.11025,0.12536,0.13699,0.15687,0.18719,0.216,0.24042,0.25595,0.27284,0.29009,0.30846,0.32802,0.34885,0.36873,0.38619,0.40473,0.42444,0.44527,0.46721,0.4905
83,0.03153,0.04903,0.06794,0.08811,0.10933,0.12441,0.13611,0.15609,0.18667,0.21592,0.24035,0.25578,0.27267,0.28991,0.30827,0.32783,0.34866,0.36855,0.38616,0.40473,0.42444,0.44527,0.46721,0.4905,0.51521
84,0.03753,0.05745,0.07856,0.1006,0.12348,0.13526,0.15534,0.18607,0.21566,0.24029,0.25563,0.27251,0.28975,0.3081,0.32766,0.3485,0.3684,0.38604,0.40471,0.42444,0.44527,0.46721,0.4905,0.51521,0.54143
85,0.04513,0.06726,0.0903,0.11404,0.13444,0.15462,0.18544,0.21542,0.24008,0.2555,0.27237,0.28961,0.30796,0.32751,0.34835,0.36827,0.38593,0.40463,0.42444,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922
86,0.05412,0.07859,0.10361,0.12894,0.15393,0.18482,0.21509,0.23988,0.25503,0.27224,0.28947,0.30783,0.32738,0.34823,0.36815,0.38584,0.40456,0.42441,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865
87,0.06458,0.09204,0.11925,0.15325,0.18425,0.21478,0.23969,0.25461,0.27181,0.28936,0.30771,0.32726,0.34811,0.36805,0.38575,0.4045,0.42437,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983
88,0.07742,0.10826,0.14562,0.18367,0.21448,0.23953,0.25422,0.27141,0.28896,0.3076,0.32716,0.34801,0.36797,0.38568,0.40445,0.42435,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283
89,0.09401,0.13676,0.1785,0.21418,0.23937,0.25386,0.27104,0.28858,0.30724,0.32707,0.34792,0.36788,0.38562,0.4044,0.42433,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775
90,0.12533,0.17251,0.21193,0.23921,0.25353,0.2707,0.28824,0.30689,0.32674,0.34785,0.36781,0.38557,0.40437,0.42431,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465
91,0.16484,0.20934,0.23905,0.25322,0.27039,0.28793,0.30658,0.32644,0.34756,0.36776,0.38552,0.40433,0.42429,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363
92,0.20597,0.2389,0.25289,0.2701,0.28764,0.3063,0.32616,0.34731,0.36752,0.38547,0.4043,0.42428,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476
93,0.23864,0.25257,0.26979,0.28736,0.30604,0.32591,0.34706,0.36732,0.3853,0.40427,0.42427,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813
94,0.25225,0.26948,0.28708,0.30578,0.32568,0.34685,0.36713,0.38516,0.40416,0.42426,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038
95,0.26918,0.2868,0.30553,0.32545,0.34665,0.36695,0.38503,0.40407,0.42422,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167
96,0.28652,0.30527,0.32523,0.34645,0.36679,0.3849,0.40398,0.42418,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1
97,0.30501,0.32499,0.34626,0.36664,0.38479,0.4039,0.42414,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,
98,0.32477,0.34606,0.36649,0.38468,0.40383,0.42411,0.44527,0.46721,0.4905,0.51521,0.54143,0.56922,0.59865,0.62983,0.66283,0.69775,0.73465,0.77363,0.81476,0.85813,0.9038,0.95167,1,,
